isin,issuer_name,position_holder,net_short_position,position_date,source
NL0015002MS2,The Magnum Ice Cream Company N.V.,Qube Research & Technologies Ltd.,0.88,2026-06-17,current
NL0012969182,Adyen N.V.,Capital Fund Management S.A.,0.62,2026-06-16,current
NL0013267909,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,1.3,2026-06-16,current
NL0011821392,Signify N.V.,"Farallon Capital Management, L.L.C.",0.61,2026-06-16,current
NL0009739416,PostNL N.V.,Winton Capital Management Limited,0.51,2026-06-16,current
NL0012817175,Alfen N.V.,"WorldQuant, LLC",0.63,2026-06-16,current
NL0000817179,Sligro Food Group N.V.,"WorldQuant, LLC",0.51,2026-06-16,current
NL0011821392,Signify N.V.,Citadel Advisors Europe Limited,0.99,2026-06-15,current
NL0010391025,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",0.57,2026-06-15,current
NL0011821392,Signify N.V.,"Farallon Capital Management, L.L.C.",0.56,2026-06-15,current
NL0015002MS2,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,0.9,2026-06-15,current
NL0013267909,Akzo Nobel N.V.,Millennium International Management LP,0.5,2026-06-15,current
NL0013267909,Akzo Nobel N.V.,"O'Connor Alternative Investments, LLC",1.09,2026-06-15,current
NL0015002MS2,The Magnum Ice Cream Company N.V.,Qube Research & Technologies Ltd.,0.9,2026-06-15,current
NL0013267909,Akzo Nobel N.V.,"BlackRock Advisors, LLC",0.7,2026-06-12,current
NL0000852523,TKH Group N.V.,Capital Fund Management S.A.,0.61,2026-06-12,current
NL0011821392,Signify N.V.,Citadel Advisors LLC,1.56,2026-06-12,current
JE00BRX98089,CVC Capital Partners plc,Marshall Wace LLP,0.59,2026-06-12,current
CH1216478797,DSM-Firmenich AG,Marshall Wace LLP,0.88,2026-06-12,current
NL0011821392,Signify N.V.,Marshall Wace LLP,1.48,2026-06-12,current
NL0000852523,TKH Group N.V.,Capital Fund Management S.A.,0.59,2026-06-11,current
NL0011872650,Basic-Fit N.V.,Linden Advisors LP,0.75,2026-06-11,current
NL0015002MS2,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,0.89,2026-06-11,current
NL0015073TS8,CSG N.V.,Qube Research & Technologies Ltd.,0.5,2026-06-11,current
NL0015002MS2,The Magnum Ice Cream Company N.V.,Qube Research & Technologies Ltd.,0.89,2026-06-11,current
NL0012817175,Alfen N.V.,"WorldQuant, LLC",0.56,2026-06-11,current
