isin,issuer_name,position_holder,net_short_position,position_date,source
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.62,2025-01-16,current
NL0010391025,Pharming Group N.V.,Lazard Asset Management LLC,0.79,2025-01-13,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.53,2025-01-08,current
NL0010391025,Pharming Group N.V.,Lazard Asset Management LLC,0.82,2024-12-27,current
NL0010801007,IMCD N.V.,"Arrowstreet Capital, Limited Partnership",0.6,2024-12-16,current
NL0010391025,Pharming Group N.V.,Lazard Asset Management LLC,0.71,2024-12-11,current
NL0010391025,Pharming Group N.V.,Lazard Asset Management LLC,0.6,2024-12-05,current
NL0010391025,Pharming Group N.V.,Lazard Asset Management LLC,0.59,2024-10-31,current
NL0010391025,Pharming Group N.V.,Lazard Asset Management LLC,0.62,2024-10-25,current
NL0010391025,Pharming Group N.V.,Lazard Asset Management LLC,0.58,2024-10-24,current
NL0010391025,Pharming Group N.V.,Lazard Asset Management LLC,0.62,2024-10-18,current
NL0010391025,Pharming Group N.V.,Lazard Asset Management LLC,0.59,2024-10-11,current
NL0010391025,Pharming Group N.V.,Lazard Asset Management LLC,0.63,2024-10-10,current
NL0010801007,IMCD N.V.,"Arrowstreet Capital, Limited Partnership",0.5,2024-09-24,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.49,2024-09-20,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.54,2024-09-19,current
NL0010391025,Pharming Group N.V.,Lazard Asset Management LLC,0.51,2024-09-17,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.67,2024-08-08,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.58,2024-06-12,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.48,2024-03-26,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.58,2024-03-21,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.69,2024-03-04,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.79,2024-02-23,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.89,2024-02-19,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.96,2024-02-15,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,2.08,2024-02-13,current
NL0010832176,argenx SE,Jefferies Financial Group Inc.,0.66,2024-01-30,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,2.18,2024-01-29,current
NL0010832176,argenx SE,Jefferies Financial Group Inc.,0.55,2024-01-24,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,2.25,2023-12-08,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,2.15,2023-12-07,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,2.09,2023-12-06,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.92,2023-12-05,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.83,2023-12-04,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.72,2023-11-30,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.69,2023-11-29,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.5,2023-11-23,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.43,2023-11-21,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.36,2023-11-06,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.4,2023-11-01,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.12,2023-10-30,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.0,2023-10-25,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,0.92,2023-10-20,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,0.82,2023-10-17,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,0.75,2023-10-16,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,0.64,2023-09-20,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,0.54,2023-07-21,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,0.64,2023-07-19,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,0.79,2023-07-18,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,0.87,2023-07-17,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.91,2023-07-06,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.8,2023-06-13,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.7,2023-06-02,current
NL0011872650,Basic-Fit N.V.,Fosse Capital Partners LLP,1.43,2022-12-01,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.58,2022-11-15,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.74,2022-11-14,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.88,2022-10-14,current
NL0011872650,Basic-Fit N.V.,Fosse Capital Partners LLP,1.17,2022-10-07,current
NL0011872650,Basic-Fit N.V.,Fosse Capital Partners LLP,1.05,2022-10-04,current
NL0011872650,Basic-Fit N.V.,Fosse Capital Partners LLP,0.56,2022-10-03,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.7,2022-09-12,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.6,2022-09-07,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.53,2022-09-05,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.48,2022-09-02,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.3,2022-06-08,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.22,2022-06-03,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.17,2022-05-11,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.28,2022-03-01,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.38,2022-02-04,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.2,2021-08-26,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.11,2021-08-20,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.06,2021-08-18,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,0.8,2021-08-17,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,0.7,2021-08-13,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,0.67,2021-08-12,current
NL0000852580,Koninklijke Boskalis Westminster N.V.,Millennium International Management LP,0.5,2018-03-09,current
NL0000009082,Koninklijke KPN N.V.,Marshall Wace LLP,0.48,2026-06-25,archive
BMG3602E1084,Flow Traders Ltd.,Capital Fund Management S.A.,0.48,2026-06-24,archive
NL0010801007,IMCD N.V.,Marshall Wace LLP,0.48,2026-06-23,archive
NL0000009082,Koninklijke KPN N.V.,Marshall Wace LLP,0.52,2026-06-22,archive
NL0000817179,Sligro Food Group N.V.,Marshall Wace LLP,0.49,2026-06-22,archive
NL0015002IE0,Avantium N.V.,Citadel Securities (Europe) Limited,0.48,2026-06-19,archive
NL0010801007,IMCD N.V.,Marshall Wace LLP,0.56,2026-06-19,archive
NL0010801007,IMCD N.V.,Voleon Capital Management LP,0.49,2026-06-19,archive
BMG3602E1084,Flow Traders Ltd.,Walleye Capital LLC,0.49,2026-06-19,archive
NL0000379121,Randstad N.V.,Citadel Advisors Europe Limited,0.49,2026-06-18,archive
NL0015002MS2,The Magnum Ice Cream Company N.V.,Walleye Capital LLC,0.48,2026-06-18,archive
NL0010391025,Pharming Group N.V.,Citadel Advisors LLC,0.46,2026-06-17,archive
LU1598757687,ArcelorMittal S.A.,Jane Street Group LLC,0.44,2026-06-17,archive
NL0000817179,Sligro Food Group N.V.,Marshall Wace LLP,0.5,2026-06-16,archive
NL0011872650,Basic-Fit N.V.,Syquant Capital,0.47,2026-06-16,archive
BMG3602E1084,Flow Traders Ltd.,Walleye Capital LLC,0.5,2026-06-16,archive
NL0010801007,IMCD N.V.,Citadel Advisors LLC,0.49,2026-06-15,archive
NL0015002IE0,Avantium N.V.,Citadel Securities (Europe) Limited,0.52,2026-06-15,archive
LU1598757687,ArcelorMittal S.A.,Jane Street Group LLC,0.58,2026-06-15,archive
NL0010801007,IMCD N.V.,Marshall Wace LLP,0.68,2026-06-15,archive
BMG3602E1084,Flow Traders Ltd.,Capital Fund Management S.A.,0.59,2026-06-12,archive
NL0000379121,Randstad N.V.,Citadel Advisors Europe Limited,0.5,2026-06-12,archive
NL0009739416,PostNL N.V.,"D. E. Shaw & Co., L.P.",0.49,2026-06-12,archive
LU1598757687,ArcelorMittal S.A.,Jane Street Group LLC,0.6,2026-06-12,archive
NL0011872650,Basic-Fit N.V.,Syquant Capital,0.54,2026-06-12,archive
NL0015002MS2,The Magnum Ice Cream Company N.V.,Walleye Capital LLC,0.57,2026-06-12,archive
NL0000379121,Randstad N.V.,Citadel Advisors Europe Limited,0.49,2026-06-11,archive
NL0010801007,IMCD N.V.,Citadel Advisors LLC,0.58,2026-06-11,archive
LU1598757687,ArcelorMittal S.A.,Jane Street Group LLC,0.54,2026-06-11,archive
NL0010801007,IMCD N.V.,Marshall Wace LLP,0.71,2026-06-11,archive
NL0012817175,Alfen N.V.,Squarepoint Ops LLC,0.47,2026-06-11,archive
NL0010801007,IMCD N.V.,"AQR Capital Management, LLC",0.49,2026-06-10,archive
BMG3602E1084,Flow Traders Ltd.,Capital Fund Management S.A.,0.6,2026-06-10,archive
NL00150003E1,Fugro N.V.,"Point72 Asset Management, L.P.",0.49,2026-06-10,archive
NL0012817175,Alfen N.V.,Squarepoint Ops LLC,0.5,2026-06-10,archive
LU1598757687,ArcelorMittal S.A.,Jane Street Group LLC,0.45,2026-06-09,archive
NL0012817175,Alfen N.V.,Squarepoint Ops LLC,0.48,2026-06-09,archive
LU1598757687,ArcelorMittal S.A.,Jane Street Group LLC,0.5,2026-06-08,archive
NL0000379121,Randstad N.V.,"Point72 Europe (London), LLP",0.49,2026-06-08,archive
NL0010801007,IMCD N.V.,"AQR Capital Management, LLC",0.51,2026-06-05,archive
LU1598757687,ArcelorMittal S.A.,Jane Street Group LLC,0.49,2026-06-05,archive
NL0013332471,TomTom N.V.,Winton Capital Management Limited,0.49,2026-06-05,archive
LU1598757687,ArcelorMittal S.A.,Jane Street Group LLC,0.6,2026-06-04,archive
NL0012817175,Alfen N.V.,Squarepoint Ops LLC,0.55,2026-06-04,archive
NL0010801007,IMCD N.V.,Citadel Advisors LLC,0.69,2026-06-02,archive
NL0012817175,Alfen N.V.,Squarepoint Ops LLC,0.61,2026-06-02,archive
NL0010391025,Pharming Group N.V.,Citadel Advisors LLC,0.5,2026-06-01,archive
NL0000379121,Randstad N.V.,"Point72 Europe (London), LLP",0.59,2026-06-01,archive
NL0010801007,IMCD N.V.,Acadian Asset Management LLC.,0.47,2026-05-29,archive
NL0000379121,Randstad N.V.,Citadel Advisors Europe Limited,0.57,2026-05-29,archive
NL0013267909,Akzo Nobel N.V.,Millennium International Management LP,0.42,2026-05-29,archive
NL0000379121,Randstad N.V.,Millennium International Management LP,0.0,2026-05-29,archive
NL0011821392,Signify N.V.,"BlackRock Advisors, LLC",0.48,2026-05-28,archive
LU1598757687,ArcelorMittal S.A.,Jane Street Group LLC,0.53,2026-05-28,archive
NL0013267909,Akzo Nobel N.V.,Millennium International Management LP,0.6,2026-05-28,archive
NL0013267909,Akzo Nobel N.V.,AKO Capital LLP,0.48,2026-05-27,archive
NL0013267909,Akzo Nobel N.V.,"Empyrean Capital Overseas Master Fund, Ltd",0.25,2026-05-27,archive
NL0010801007,IMCD N.V.,Marshall Wace LLP,0.65,2026-05-27,archive
NL0013267909,Akzo Nobel N.V.,Millennium International Management LP,0.55,2026-05-27,archive
NL0000379121,Randstad N.V.,Millennium International Management LP,0.71,2026-05-27,archive
NL0012817175,Alfen N.V.,"WorldQuant, LLC",0.48,2026-05-27,archive
NL0010801007,IMCD N.V.,Citadel Advisors LLC,0.79,2026-05-26,archive
NL0000379121,Randstad N.V.,Marshall Wace LLP,0.48,2026-05-26,archive
NL0000379121,Randstad N.V.,Millennium International Management LP,0.64,2026-05-26,archive
NL0012817175,Alfen N.V.,Squarepoint Ops LLC,0.71,2026-05-26,archive
NL0012817175,Alfen N.V.,"WorldQuant, LLC",0.59,2026-05-25,archive
NL0010801007,IMCD N.V.,Citadel Advisors LLC,0.81,2026-05-22,archive
NL0000379121,Randstad N.V.,Millennium International Management LP,0.54,2026-05-22,archive
NL0000379121,Randstad N.V.,"Point72 Europe (London), LLP",0.63,2026-05-22,archive
NL0012817175,Alfen N.V.,Squarepoint Ops LLC,0.62,2026-05-22,archive
NL0013332471,TomTom N.V.,Winton Capital Management Limited,0.59,2026-05-22,archive
NL0012817175,Alfen N.V.,"WorldQuant, LLC",0.79,2026-05-22,archive
NL0000379121,Randstad N.V.,Citadel Advisors LLC,0.47,2026-05-21,archive
NL0009739416,PostNL N.V.,"D. E. Shaw & Co., L.P.",0.59,2026-05-21,archive
NL0011794037,Koninklijke Ahold Delhaize N.V.,Marshall Wace LLP,0.46,2026-05-21,archive
NL00150003E1,Fugro N.V.,"Point72 Asset Management, L.P.",0.51,2026-05-21,archive
NL0012817175,Alfen N.V.,"WorldQuant, LLC",1.13,2026-05-21,archive
NL0015002MS2,The Magnum Ice Cream Company N.V.,"AQR Capital Management, LLC",0.49,2026-05-20,archive
NL0011872650,Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,0.48,2026-05-20,archive
NL0000379121,Randstad N.V.,Marshall Wace LLP,0.57,2026-05-19,archive
NL0006237562,ARCADIS N.V.,Squarepoint Ops LLC,0.48,2026-05-19,archive
NL0012817175,Alfen N.V.,"WorldQuant, LLC",1.2,2026-05-19,archive
NL0012969182,Adyen N.V.,Capital Fund Management S.A.,0.49,2026-05-18,archive
JE00BRX98089,CVC Capital Partners plc,Qube Research & Technologies Ltd.,0.07,2026-05-18,archive
CY0200751713,Theon International Plc,Qube Research & Technologies Ltd.,0.02,2026-05-18,archive
NL0012817175,Alfen N.V.,"WorldQuant, LLC",1.18,2026-05-18,archive
LU1598757687,ArcelorMittal S.A.,"AQR Capital Management, LLC",0.49,2026-05-15,archive
NL0015002MS2,The Magnum Ice Cream Company N.V.,GLG Partners LP,0.4,2026-05-15,archive
NL0011872650,Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,0.57,2026-05-15,archive
NL0015002MS2,The Magnum Ice Cream Company N.V.,JPMorgan Asset Management (UK) Ltd.,0.45,2026-05-15,archive
NL0012817175,Alfen N.V.,Millennium International Management LP,0.17,2026-05-15,archive
NL0000379121,Randstad N.V.,"Point72 Europe (London), LLP",0.51,2026-05-15,archive
CY0200751713,Theon International Plc,Qube Research & Technologies Ltd.,1.5,2026-05-15,archive
NL0012817175,Alfen N.V.,Squarepoint Ops LLC,0.55,2026-05-15,archive
BMG3602E1084,Flow Traders Ltd.,Capital Fund Management S.A.,0.51,2026-05-14,archive
NL0015002MS2,The Magnum Ice Cream Company N.V.,Capital Fund Management S.A.,0.47,2026-05-14,archive
NL0015002K83,Havas N.V.,Citadel Advisors LLC,0.49,2026-05-14,archive
NL0011872650,Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,0.66,2026-05-14,archive
NL0012817175,Alfen N.V.,Millennium International Management LP,0.65,2026-05-14,archive
NL0012817175,Alfen N.V.,"WorldQuant, LLC",1.27,2026-05-14,archive
NL0000379121,Randstad N.V.,Citadel Advisors Europe Limited,0.6,2026-05-13,archive
NL0010801007,IMCD N.V.,Citadel Advisors LLC,0.7,2026-05-13,archive
NL0010391025,Pharming Group N.V.,Qube Research & Technologies Ltd.,0.49,2026-05-13,archive
NL0012817175,Alfen N.V.,Voleon Capital Management LP,0.35,2026-05-13,archive
NL00150003E1,Fugro N.V.,"Algert Global, LLC",0.49,2026-05-12,archive
NL0015002MS2,The Magnum Ice Cream Company N.V.,Capital Fund Management S.A.,0.5,2026-05-12,archive
NL0010801007,IMCD N.V.,Citadel Advisors LLC,0.69,2026-05-12,archive
NL0010391025,Pharming Group N.V.,Citadel Securities (Europe) Limited,0.41,2026-05-12,archive
NL0012817175,Alfen N.V.,Voleon Capital Management LP,0.54,2026-05-12,archive
NL0012817175,Alfen N.V.,"WorldQuant, LLC",1.45,2026-05-12,archive
NL0015002MS2,The Magnum Ice Cream Company N.V.,Capital Fund Management S.A.,0.49,2026-05-11,archive
NL0010801007,IMCD N.V.,Citadel Advisors LLC,0.79,2026-05-11,archive
NL0010391025,Pharming Group N.V.,Citadel Securities (Europe) Limited,0.59,2026-05-11,archive
NL0015002MS2,The Magnum Ice Cream Company N.V.,GLG Partners LP,0.6,2026-05-11,archive
NL0010391025,Pharming Group N.V.,HRTC Limited,0.49,2026-05-11,archive
NL0013267909,Akzo Nobel N.V.,Millennium International Management LP,0.49,2026-05-11,archive
NL0010391025,Pharming Group N.V.,Qube Research & Technologies Ltd.,0.55,2026-05-11,archive
NL0006237562,ARCADIS N.V.,Squarepoint Ops LLC,0.58,2026-05-11,archive
NL0012817175,Alfen N.V.,Voleon Capital Management LP,0.65,2026-05-11,archive
NL00150003E1,Fugro N.V.,"Algert Global, LLC",0.5,2026-05-08,archive
NL0010801007,IMCD N.V.,"AQR Capital Management, LLC",0.49,2026-05-08,archive
NL0012969182,Adyen N.V.,Capital Fund Management S.A.,0.59,2026-05-08,archive
NL0010391025,Pharming Group N.V.,Citadel Advisors LLC,0.41,2026-05-08,archive
NL0009739416,PostNL N.V.,Citadel Advisors LLC,0.47,2026-05-08,archive
NL0000379121,Randstad N.V.,Citadel Advisors LLC,0.57,2026-05-08,archive
NL0010391025,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",0.46,2026-05-08,archive
NL0010391025,Pharming Group N.V.,HRTC Limited,0.56,2026-05-08,archive
NL0010391025,Pharming Group N.V.,Marshall Wace LLP,0.44,2026-05-08,archive
NL0010391025,Pharming Group N.V.,Qube Research & Technologies Ltd.,0.61,2026-05-08,archive
NL0012817175,Alfen N.V.,Voleon Capital Management LP,0.76,2026-05-08,archive
NL0010801007,IMCD N.V.,Acadian Asset Management LLC.,0.58,2026-05-07,archive
NL0000379121,Randstad N.V.,Citadel Advisors Europe Limited,0.5,2026-05-07,archive
NL0010391025,Pharming Group N.V.,Citadel Advisors LLC,0.75,2026-05-07,archive
NL0010391025,Pharming Group N.V.,Citadel Securities (Europe) Limited,0.79,2026-05-07,archive
NL0009739416,PostNL N.V.,"D. E. Shaw & Co., L.P.",0.69,2026-05-07,archive
NL0011872650,Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,0.88,2026-05-07,archive
NL0010801007,IMCD N.V.,Marshall Wace LLP,0.79,2026-05-07,archive
NL0010391025,Pharming Group N.V.,Marshall Wace LLP,0.53,2026-05-07,archive
NL0013267909,Akzo Nobel N.V.,Millennium International Management LP,0.55,2026-05-07,archive
NL0010391025,Pharming Group N.V.,Qube Research & Technologies Ltd.,0.76,2026-05-07,archive
CY0200751713,Theon International Plc,Qube Research & Technologies Ltd.,1.43,2026-05-07,archive
NL0012817175,Alfen N.V.,"WorldQuant, LLC",1.56,2026-05-07,archive
NL0013267909,Akzo Nobel N.V.,Albar Capital Partners LLP,0.39,2026-05-06,archive
NL0010801007,IMCD N.V.,Citadel Advisors LLC,0.82,2026-05-06,archive
NL0011872650,Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,0.91,2026-05-06,archive
NL0010801007,IMCD N.V.,Marshall Wace LLP,0.83,2026-05-06,archive
NL0012817175,Alfen N.V.,Voleon Capital Management LP,0.85,2026-05-06,archive
NL0012969182,Adyen N.V.,Capital Fund Management S.A.,0.6,2026-05-05,archive
NL0015002MS2,The Magnum Ice Cream Company N.V.,Capital Fund Management S.A.,0.5,2026-05-05,archive
NL0010801007,IMCD N.V.,Citadel Advisors LLC,0.9,2026-05-05,archive
NL0009739416,PostNL N.V.,"D. E. Shaw & Co., L.P.",0.7,2026-05-05,archive
CY0200751713,Theon International Plc,Qube Research & Technologies Ltd.,1.3,2026-05-05,archive
NL0006237562,ARCADIS N.V.,Squarepoint Ops LLC,0.68,2026-05-05,archive
NL0012817175,Alfen N.V.,"WorldQuant, LLC",1.65,2026-05-05,archive
NL0009739416,PostNL N.V.,"D. E. Shaw & Co., L.P.",0.69,2026-05-04,archive
NL0012817175,Alfen N.V.,Voleon Capital Management LP,0.92,2026-05-04,archive
NL0015002MS2,The Magnum Ice Cream Company N.V.,Walleye Capital LLC,0.67,2026-05-04,archive
NL0009739416,PostNL N.V.,"D. E. Shaw & Co., L.P.",0.7,2026-04-30,archive
NL0012817175,Alfen N.V.,Squarepoint Ops LLC,0.73,2026-04-30,archive
NL0012817175,Alfen N.V.,"WorldQuant, LLC",1.71,2026-04-30,archive
NL0010801007,IMCD N.V.,Citadel Advisors LLC,0.83,2026-04-29,archive
NL0009739416,PostNL N.V.,Citadel Advisors LLC,0.54,2026-04-29,archive
NL0015002MS2,The Magnum Ice Cream Company N.V.,GLG Partners LP,0.59,2026-04-29,archive
NL0010801007,IMCD N.V.,Marshall Wace LLP,0.74,2026-04-29,archive
NL0011794037,Koninklijke Ahold Delhaize N.V.,Marshall Wace LLP,0.51,2026-04-29,archive
NL0013267909,Akzo Nobel N.V.,Millennium International Management LP,0.6,2026-04-29,archive
CY0200751713,Theon International Plc,Qube Research & Technologies Ltd.,1.2,2026-04-29,archive
NL0015002MS2,The Magnum Ice Cream Company N.V.,Walleye Capital LLC,0.7,2026-04-29,archive
NL0010801007,IMCD N.V.,"WorldQuant, LLC",0.49,2026-04-29,archive
NL0015002MS2,The Magnum Ice Cream Company N.V.,"AQR Capital Management, LLC",0.51,2026-04-28,archive
NL0015000IY2,Universal Music Group N.V.,"AQR Capital Management, LLC",0.49,2026-04-28,archive
NL0010801007,IMCD N.V.,Citadel Advisors LLC,0.75,2026-04-28,archive
NL0012817175,Alfen N.V.,"D. E. Shaw & Co., L.P.",0.47,2026-04-28,archive
NL0000379121,Randstad N.V.,Marshall Wace LLP,0.6,2026-04-28,archive
NL0011821392,Signify N.V.,Millennium Capital (DIFC) Limited,0.49,2026-04-28,archive
NL0012817175,Alfen N.V.,Squarepoint Ops LLC,0.62,2026-04-28,archive
NL0012817175,Alfen N.V.,Voleon Capital Management LP,1.19,2026-04-28,archive
NL0012817175,Alfen N.V.,"WorldQuant, LLC",1.87,2026-04-28,archive
NL0013267909,Akzo Nobel N.V.,Albar Capital Partners LLP,0.5,2026-04-27,archive
NL0011821392,Signify N.V.,Citadel Advisors Europe Limited,0.44,2026-04-27,archive
NL0009739416,PostNL N.V.,Citadel Advisors LLC,0.48,2026-04-27,archive
NL0000379121,Randstad N.V.,Citadel Advisors LLC,0.69,2026-04-27,archive
NL0011821392,Signify N.V.,Millennium Capital (DIFC) Limited,0.58,2026-04-27,archive
NL0012817175,Alfen N.V.,"WorldQuant, LLC",1.96,2026-04-27,archive
NL0012969182,Adyen N.V.,Capital Fund Management S.A.,0.57,2026-04-24,archive
NL0000379121,Randstad N.V.,Citadel Advisors LLC,0.7,2026-04-24,archive
NL0010801007,IMCD N.V.,Marshall Wace LLP,0.61,2026-04-24,archive
JE00BRX98089,CVC Capital Partners plc,Qube Research & Technologies Ltd.,1.11,2026-04-24,archive
CY0200751713,Theon International Plc,Qube Research & Technologies Ltd.,1.12,2026-04-24,archive
NL0006237562,ARCADIS N.V.,Squarepoint Ops LLC,0.79,2026-04-24,archive
NL0012817175,Alfen N.V.,"WorldQuant, LLC",2.08,2026-04-24,archive
NL0012969182,Adyen N.V.,Capital Fund Management S.A.,0.6,2026-04-23,archive
NL0000379121,Randstad N.V.,Marshall Wace LLP,0.58,2026-04-23,archive
NL0000379121,Randstad N.V.,Millennium International Management LP,0.46,2026-04-23,archive
NL0012817175,Alfen N.V.,Squarepoint Ops LLC,0.5,2026-04-23,archive
NL0012817175,Alfen N.V.,"WorldQuant, LLC",2.21,2026-04-23,archive
NL0011821392,Signify N.V.,Citadel Advisors Europe Limited,0.66,2026-04-22,archive
NL0010801007,IMCD N.V.,Citadel Advisors LLC,0.62,2026-04-22,archive
NL0000379121,Randstad N.V.,Citadel Advisors LLC,0.66,2026-04-22,archive
NL0012817175,Alfen N.V.,"D. E. Shaw & Co., L.P.",0.58,2026-04-22,archive
NL0010801007,IMCD N.V.,Marshall Wace LLP,0.56,2026-04-22,archive
NL0000379121,Randstad N.V.,Millennium International Management LP,0.53,2026-04-22,archive
NL0012817175,Alfen N.V.,Voleon Capital Management LP,1.29,2026-04-22,archive
NL0012817175,Alfen N.V.,"WorldQuant, LLC",2.37,2026-04-22,archive
NL0010801007,IMCD N.V.,"WorldQuant, LLC",0.57,2026-04-22,archive
NL0011821392,Signify N.V.,"BlackRock Advisors, LLC",0.5,2026-04-21,archive
NL0012969182,Adyen N.V.,Capital Fund Management S.A.,0.57,2026-04-21,archive
NL0011821392,Signify N.V.,Citadel Advisors Europe Limited,0.76,2026-04-21,archive
NL0012817175,Alfen N.V.,"D. E. Shaw & Co., L.P.",0.66,2026-04-21,archive
NL0013267909,Akzo Nobel N.V.,"Empyrean Capital Overseas Master Fund, Ltd",0.65,2026-04-21,archive
NL0015002MS2,The Magnum Ice Cream Company N.V.,Ilex Capital Partners (UK) LLP,0.42,2026-04-21,archive
NL0000379121,Randstad N.V.,Marshall Wace LLP,0.67,2026-04-21,archive
NL0013267909,Akzo Nobel N.V.,Millennium International Management LP,0.57,2026-04-21,archive
CY0200751713,Theon International Plc,Qube Research & Technologies Ltd.,1.03,2026-04-21,archive
NL0010801007,IMCD N.V.,Squarepoint Ops LLC,0.49,2026-04-21,archive
NL0012817175,Alfen N.V.,Voleon Capital Management LP,1.48,2026-04-21,archive
NL0012817175,Alfen N.V.,"WorldQuant, LLC",2.54,2026-04-21,archive
NL0011821392,Signify N.V.,Citadel Advisors Europe Limited,0.94,2026-04-20,archive
NL0010801007,IMCD N.V.,"D. E. Shaw & Co., L.P.",0.49,2026-04-20,archive
NL0015002MS2,The Magnum Ice Cream Company N.V.,Ilex Capital Partners (UK) LLP,0.54,2026-04-20,archive
NL0000009082,Koninklijke KPN N.V.,Marshall Wace LLP,0.49,2026-04-20,archive
JE00BRX98089,CVC Capital Partners plc,Qube Research & Technologies Ltd.,1.01,2026-04-20,archive
NL0011821392,Signify N.V.,Qube Research & Technologies Ltd.,0.47,2026-04-20,archive
NL0011872650,Basic-Fit N.V.,Syquant Capital,0.47,2026-04-20,archive
NL0012817175,Alfen N.V.,Voleon Capital Management LP,1.58,2026-04-20,archive
NL0012817175,Alfen N.V.,"WorldQuant, LLC",2.67,2026-04-20,archive
NL0013267909,Akzo Nobel N.V.,Albar Capital Partners LLP,0.45,2026-04-17,archive
NL0013267909,Akzo Nobel N.V.,"AQR Capital Management, LLC",0.49,2026-04-17,archive
