isin,position_date,position_holder,issuer_name,net_short_position,source
NL0012969182,2026-06-10,"AQR Capital Management, LLC",Adyen N.V.,0.99,current
NL0006237562,2026-06-10,"AQR Capital Management, LLC",ARCADIS N.V.,0.89,current
BMG3602E1084,2026-06-10,Capital Fund Management S.A.,Flow Traders Ltd.,0.6,current
NL0000852523,2026-06-10,Capital Fund Management S.A.,TKH Group N.V.,0.6,current
NL0011821392,2026-06-10,Citadel Advisors LLC,Signify N.V.,1.6,current
NL0011872650,2026-06-10,Sculptor Capital Management Europe Limited,Basic-Fit N.V.,0.83,current
NL0010391025,2026-06-10,Walleye Capital LLC,Pharming Group N.V.,1.1,current
NL0010801007,2026-06-09,Capital Fund Management S.A.,IMCD N.V.,0.9,current
NL0011821392,2026-06-09,Citadel Advisors LLC,Signify N.V.,1.59,current
NL0000289213,2026-06-09,Citadel Advisors LLC,Wereldhave N.V.,1.0,current
NL0013267909,2026-06-09,LMR Partners LLP,Akzo Nobel N.V.,1.12,current
NL0015002MS2,2026-06-09,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,0.9,current
NL0012817175,2026-06-09,Millennium International Management LP,Alfen N.V.,0.5,current
CY0200751713,2026-06-09,"Two Sigma Investments, LP",Theon International Plc,0.77,current
CH1216478797,2026-06-08,Citadel Advisors LLC,DSM-Firmenich AG,1.01,current
NL0013267909,2026-06-08,LMR Partners LLP,Akzo Nobel N.V.,1.08,current
NL0012969182,2026-06-08,Marshall Wace LLP,Adyen N.V.,0.5,current
NL0011821392,2026-06-08,"PDT Partners, LLC",Signify N.V.,1.2,current
LU2290522684,2026-06-08,"Two Sigma Investments, LP",InPost S.A.,1.09,current
NL0013267909,2026-06-05,AKO Capital LLP,Akzo Nobel N.V.,0.51,current
NL0011821392,2026-06-05,"BlackRock Institutional Trust Company, National Association",Signify N.V.,0.51,current
NL0010391025,2026-06-05,"D. E. Shaw & Co., L.P.",Pharming Group N.V.,0.63,current
NL0013267909,2026-06-05,Davidson Kempner Capital Management LP,Akzo Nobel N.V.,1.24,current
NL0011821392,2026-06-05,Marshall Wace LLP,Signify N.V.,1.59,current
NL0015002MS2,2026-06-05,Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,0.92,current
