isin,position_date,position_holder,issuer_name,net_short_position,source
NL0011872650,2024-03-14,BlackRock Investment Management (UK) Limited,Basic-Fit N.V.,2.69,archive
NL0010391025,2024-03-14,Citadel Advisors LLC,Pharming Group N.V.,1.67,archive
NL00150002Q7,2024-03-14,GSA Capital Partners LLP,Vivoryon Therapeutics N.V.,0.53,archive
NL0011872643,2024-03-14,Marshall Wace LLP,ASR Nederland N.V.,0.71,archive
NL0000852523,2024-03-14,Marshall Wace LLP,TKH Group N.V.,0.49,archive
NL0010391025,2024-03-14,Millennium International Management LP,Pharming Group N.V.,1.5,archive
NL0009739416,2024-03-14,Qube Research & Technologies Ltd.,PostNL N.V.,0.6,archive
NL0011821392,2024-03-14,Qube Research & Technologies Ltd.,Signify N.V.,0.57,archive
NL0012817175,2024-03-14,Walleye Capital LLC,Alfen N.V.,0.47,archive
NL0010391025,2024-03-13,Citadel Advisors LLC,Pharming Group N.V.,1.5,archive
LU1598757687,2024-03-13,Marshall Wace LLP,ArcelorMittal S.A.,0.5,archive
NL0012817175,2024-03-13,Qube Research & Technologies Ltd.,Alfen N.V.,1.77,archive
NL0012817175,2024-03-13,SIH Partners LLLP,Alfen N.V.,0.45,archive
NL0012817175,2024-03-13,Voleon Capital Management LP,Alfen N.V.,0.89,archive
NL0012817175,2024-03-13,"WorldQuant, LLC",Alfen N.V.,0.56,archive
NL0010391025,2024-03-12,Citadel Advisors LLC,Pharming Group N.V.,1.44,archive
NL0010391025,2024-03-12,Millennium International Management LP,Pharming Group N.V.,1.43,archive
NL0012817175,2024-03-12,SIH Partners LLLP,Alfen N.V.,0.51,archive
NL0011821392,2024-03-11,AKO Capital LLP,Signify N.V.,1.39,archive
NL0012817175,2024-03-11,Canada Pension Plan Investment Board,Alfen N.V.,1.0,archive
NL0012817175,2024-03-11,Qube Research & Technologies Ltd.,Alfen N.V.,1.83,archive
NL0011821392,2024-03-11,Qube Research & Technologies Ltd.,Signify N.V.,0.61,archive
NL0012817175,2024-03-11,"WorldQuant, LLC",Alfen N.V.,0.6,archive
NL0011821392,2024-03-08,AKO Capital LLP,Signify N.V.,1.43,archive
NL0012817175,2024-03-08,Canada Pension Plan Investment Board,Alfen N.V.,0.94,archive
NL0012817175,2024-03-08,Millennium International Management LP,Alfen N.V.,1.41,archive
NL0010391025,2024-03-08,Millennium International Management LP,Pharming Group N.V.,1.37,archive
NL0000888691,2024-03-07,Marshall Wace LLP,AMG Critical Materials N.V.,1.77,archive
NL0015000RT3,2024-03-07,Marshall Wace LLP,NEPI Rockcastle N.V.,0.7,archive
NL0013332471,2024-03-07,Marshall Wace LLP,TomTom N.V.,0.9,archive
NL0011821392,2024-03-07,Qube Research & Technologies Ltd.,Signify N.V.,0.5,archive
NL0012817175,2024-03-06,Canada Pension Plan Investment Board,Alfen N.V.,0.85,archive
NL0000009538,2024-03-06,Citadel Advisors LLC,Koninklijke Philips N.V.,0.92,archive
NL0010558797,2024-03-06,Citadel Advisors LLC,OCI N.V.,0.49,archive
NL0012817175,2024-03-06,Jupiter Investment Management Limited,Alfen N.V.,0.59,archive
NL0000888691,2024-03-06,Marshall Wace LLP,AMG Critical Materials N.V.,1.8,archive
NL0000009538,2024-03-06,Marshall Wace LLP,Koninklijke Philips N.V.,0.99,archive
NL0009739416,2024-03-06,Marshall Wace LLP,PostNL N.V.,1.21,archive
NL0012866412,2024-03-06,Millennium Capital Management France SAS,BE Semiconductor Industries N.V.,0.27,archive
NL0012817175,2024-03-06,SIH Partners LLLP,Alfen N.V.,0.43,archive
NL0011821392,2024-03-05,AKO Capital LLP,Signify N.V.,1.57,archive
NL0010558797,2024-03-05,Citadel Advisors LLC,OCI N.V.,0.5,archive
NL0010391025,2024-03-05,Citadel Advisors LLC,Pharming Group N.V.,1.31,archive
NL00150002Q7,2024-03-05,Janus Henderson Investors UK Limited,Vivoryon Therapeutics N.V.,0.0,archive
NL0000009538,2024-03-05,Marshall Wace LLP,Koninklijke Philips N.V.,1.0,archive
NL0009739416,2024-03-05,Marshall Wace LLP,PostNL N.V.,1.18,archive
NL0012817175,2024-03-05,Qube Research & Technologies Ltd.,Alfen N.V.,1.79,archive
NL0012817175,2024-03-05,SIH Partners LLLP,Alfen N.V.,0.5,archive
NL00150002Q7,2024-03-04,Adage Capital Management L.P.,Vivoryon Therapeutics N.V.,0.0,archive
NL0012817175,2024-03-04,Canada Pension Plan Investment Board,Alfen N.V.,0.74,archive
NL0010391025,2024-03-04,Citadel Advisors LLC,Pharming Group N.V.,1.2,archive
NL00150002Q7,2024-03-04,Janus Henderson Investors UK Limited,Vivoryon Therapeutics N.V.,1.24,archive
NL0000888691,2024-03-04,Marshall Wace LLP,AMG Critical Materials N.V.,1.71,archive
NL0011872643,2024-03-04,Marshall Wace LLP,ASR Nederland N.V.,0.62,archive
NL0015000RT3,2024-03-04,Marshall Wace LLP,NEPI Rockcastle N.V.,0.63,archive
NL0000852523,2024-03-04,Marshall Wace LLP,TKH Group N.V.,0.51,archive
NL0012969182,2024-03-04,Qube Research & Technologies Ltd.,Adyen N.V.,0.49,archive
NL00150002Q7,2024-03-01,Adage Capital Management L.P.,Vivoryon Therapeutics N.V.,0.92,archive
NL0011821392,2024-03-01,BlackRock Investment Management (UK) Limited,Signify N.V.,0.89,archive
NL0012817175,2024-03-01,Canada Pension Plan Investment Board,Alfen N.V.,0.65,archive
NL0000009538,2024-03-01,Citadel Advisors LLC,Koninklijke Philips N.V.,0.81,archive
NL0010558797,2024-03-01,Citadel Advisors LLC,OCI N.V.,0.49,archive
NL0000852523,2024-03-01,Marshall Wace LLP,TKH Group N.V.,0.49,archive
NL0012817175,2024-03-01,Qube Research & Technologies Ltd.,Alfen N.V.,1.89,archive
NL0009739416,2024-03-01,Qube Research & Technologies Ltd.,PostNL N.V.,0.56,archive
NL00150002Q7,2024-02-29,Adage Capital Management L.P.,Vivoryon Therapeutics N.V.,0.87,archive
NL0010391025,2024-02-29,Citadel Advisors LLC,Pharming Group N.V.,1.13,archive
NL0000888691,2024-02-29,Marshall Wace LLP,AMG Critical Materials N.V.,1.67,archive
NL0011872643,2024-02-29,Marshall Wace LLP,ASR Nederland N.V.,0.54,archive
NL0012817175,2024-02-29,"PDT Partners, LLC",Alfen N.V.,0.59,archive
NL0012817175,2024-02-29,Qube Research & Technologies Ltd.,Alfen N.V.,1.96,archive
NL0011821202,2024-02-29,Qube Research & Technologies Ltd.,ING Groep N.V.,0.41,archive
NL0010558797,2024-02-29,Qube Research & Technologies Ltd.,OCI N.V.,0.77,archive
NL0000360618,2024-02-29,Qube Research & Technologies Ltd.,SBM Offshore N.V.,0.46,archive
NL0000379121,2024-02-28,AKO Capital LLP,Randstad N.V.,1.0,archive
NL0000009538,2024-02-28,Citadel Advisors LLC,Koninklijke Philips N.V.,0.78,archive
NL0012817175,2024-02-28,"Connor, Clark & Lunn Investment Management Ltd.",Alfen N.V.,0.49,archive
NL0000888691,2024-02-28,Marshall Wace LLP,AMG Critical Materials N.V.,1.72,archive
NL0012817175,2024-02-28,Qube Research & Technologies Ltd.,Alfen N.V.,2.0,archive
NL0012817175,2024-02-28,Voleon Capital Management LP,Alfen N.V.,0.94,archive
NL0000360618,2024-02-27,"AQR Capital Management, LLC",SBM Offshore N.V.,0.49,archive
NL0010391025,2024-02-27,Citadel Advisors LLC,Pharming Group N.V.,1.0,archive
NL00150002Q7,2024-02-27,Janus Henderson Investors UK Limited,Vivoryon Therapeutics N.V.,2.97,archive
NL0000888691,2024-02-27,Marshall Wace LLP,AMG Critical Materials N.V.,1.81,archive
NL0012817175,2024-02-27,Qube Research & Technologies Ltd.,Alfen N.V.,2.16,archive
NL0009739416,2024-02-27,Qube Research & Technologies Ltd.,PostNL N.V.,0.66,archive
NL00150002Q7,2024-02-26,Adage Capital Management L.P.,Vivoryon Therapeutics N.V.,0.74,archive
NL0000888691,2024-02-26,"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,0.98,archive
NL00150002Q7,2024-02-26,Janus Henderson Investors UK Limited,Vivoryon Therapeutics N.V.,2.8,archive
NL0000888691,2024-02-26,Marshall Wace LLP,AMG Critical Materials N.V.,1.93,archive
NL0009739416,2024-02-26,Marshall Wace LLP,PostNL N.V.,1.23,archive
NL0012817175,2024-02-26,Millennium International Management LP,Alfen N.V.,1.3,archive
NL0010558797,2024-02-26,Qube Research & Technologies Ltd.,OCI N.V.,0.97,archive
NL0011821392,2024-02-26,Qube Research & Technologies Ltd.,Signify N.V.,0.49,archive
NL0012817175,2024-02-23,"Connor, Clark & Lunn Investment Management Ltd.",Alfen N.V.,0.5,archive
NL0000009538,2024-02-23,Greenvale Capital LLP,Koninklijke Philips N.V.,0.49,archive
NL0009739416,2024-02-23,Marshall Wace LLP,PostNL N.V.,1.11,archive
NL0012817175,2024-02-23,Qube Research & Technologies Ltd.,Alfen N.V.,2.24,archive
NL0000360618,2024-02-23,Qube Research & Technologies Ltd.,SBM Offshore N.V.,0.51,archive
NL0012817175,2024-02-23,Voleon Capital Management LP,Alfen N.V.,0.83,archive
NL0012817175,2024-02-23,Walleye Capital LLC,Alfen N.V.,0.59,archive
NL0011872650,2024-02-22,BlackRock Investment Management (UK) Limited,Basic-Fit N.V.,2.29,archive
NL0012817175,2024-02-22,Canada Pension Plan Investment Board,Alfen N.V.,0.53,archive
NL0000009538,2024-02-22,Citadel Advisors LLC,Koninklijke Philips N.V.,0.8,archive
NL0013332471,2024-02-22,Citadel Advisors LLC,TomTom N.V.,0.58,archive
NL00150002Q7,2024-02-22,Janus Henderson Investors UK Limited,Vivoryon Therapeutics N.V.,2.72,archive
NL0000888691,2024-02-22,Marshall Wace LLP,AMG Critical Materials N.V.,2.02,archive
NL0012817175,2024-02-22,Millennium International Management LP,Alfen N.V.,1.21,archive
NL0011821392,2024-02-22,Qube Research & Technologies Ltd.,Signify N.V.,0.52,archive
NL0012817175,2024-02-22,"WorldQuant, LLC",Alfen N.V.,0.5,archive
NL0011872650,2024-02-21,BlackRock Investment Management (UK) Limited,Basic-Fit N.V.,2.31,archive
NL0012817175,2024-02-21,Citadel Advisors LLC,Alfen N.V.,0.39,archive
NL0010558797,2024-02-21,Citadel Advisors LLC,OCI N.V.,0.53,archive
NL0010391025,2024-02-21,Citadel Advisors LLC,Pharming Group N.V.,0.91,archive
NL0000009538,2024-02-21,Greenvale Capital LLP,Koninklijke Philips N.V.,0.54,archive
NL00150002Q7,2024-02-21,Janus Henderson Investors UK Limited,Vivoryon Therapeutics N.V.,2.61,archive
NL0000360618,2024-02-21,JPMorgan Asset Management (UK) Ltd.,SBM Offshore N.V.,0.44,archive
NL0015000RT3,2024-02-21,Marshall Wace LLP,NEPI Rockcastle N.V.,0.5,archive
NL0011821202,2024-02-21,Qube Research & Technologies Ltd.,ING Groep N.V.,0.51,archive
NL0011821392,2024-02-21,Qube Research & Technologies Ltd.,Signify N.V.,0.47,archive
NL0011540547,2024-02-20,Capital Fund Management S.A.,ABN AMRO Bank NV,0.49,archive
NL0012817175,2024-02-20,Citadel Advisors LLC,Alfen N.V.,0.55,archive
NL0000009538,2024-02-20,Citadel Advisors LLC,Koninklijke Philips N.V.,0.78,archive
NL0000888691,2024-02-20,"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,1.0,archive
NL0000888691,2024-02-20,Marshall Wace LLP,AMG Critical Materials N.V.,1.93,archive
BMG3602E1084,2024-02-20,Marshall Wace LLP,Flow Traders Ltd.,1.0,archive
NL0011821202,2024-02-20,Marshall Wace LLP,ING Groep N.V.,0.46,archive
NL0009739416,2024-02-20,Marshall Wace LLP,PostNL N.V.,1.02,archive
NL0012817175,2024-02-20,Millennium International Management LP,Alfen N.V.,1.14,archive
NL0012817175,2024-02-20,"PDT Partners, LLC",Alfen N.V.,0.69,archive
NL0012817175,2024-02-20,Walleye Capital LLC,Alfen N.V.,0.61,archive
NL0000009082,2024-02-19,BNP Paribas S.A.,Koninklijke KPN N.V.,0.13,archive
NL0012817175,2024-02-19,Citadel Advisors LLC,Alfen N.V.,0.66,archive
NL0000302636,2024-02-19,Marshall Wace LLP,Van Lanschot Kempen N.V.,0.5,archive
NL0012817175,2024-02-19,Millennium International Management LP,Alfen N.V.,1.06,archive
NL0009739416,2024-02-19,Millennium International Management LP,PostNL N.V.,0.46,archive
NL0012817175,2024-02-19,Qube Research & Technologies Ltd.,Alfen N.V.,2.1,archive
NL0012817175,2024-02-16,Citadel Advisors LLC,Alfen N.V.,0.73,archive
NL0010391025,2024-02-16,Citadel Advisors LLC,Pharming Group N.V.,0.8,archive
NL0012817175,2024-02-16,"Connor, Clark & Lunn Investment Management Ltd.",Alfen N.V.,0.49,archive
NL0000360618,2024-02-16,JPMorgan Asset Management (UK) Ltd.,SBM Offshore N.V.,0.57,archive
BMG3602E1084,2024-02-16,Marshall Wace LLP,Flow Traders Ltd.,0.9,archive
NL0009739416,2024-02-16,Marshall Wace LLP,PostNL N.V.,0.95,archive
NL0012817175,2024-02-16,Millennium International Management LP,Alfen N.V.,0.82,archive
NL0010391025,2024-02-16,Millennium International Management LP,Pharming Group N.V.,1.4,archive
NL0012817175,2024-02-16,"PDT Partners, LLC",Alfen N.V.,0.7,archive
NL0012866412,2024-02-16,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,0.43,archive
NL0010558797,2024-02-16,Qube Research & Technologies Ltd.,OCI N.V.,1.07,archive
NL0009739416,2024-02-16,Qube Research & Technologies Ltd.,PostNL N.V.,0.73,archive
NL0000009082,2024-02-16,Syquant Capital,Koninklijke KPN N.V.,0.0,archive
NL0012817175,2024-02-16,Walleye Capital LLC,Alfen N.V.,0.59,archive
NL0000009082,2024-02-15,BNP Paribas S.A.,Koninklijke KPN N.V.,0.59,archive
NL0000009082,2024-02-15,Citadel Advisors Europe Limited,Koninklijke KPN N.V.,0.0,archive
NL0010391025,2024-02-15,Citadel Advisors LLC,Pharming Group N.V.,0.73,archive
NL0000888691,2024-02-15,"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,0.96,archive
NL0000009082,2024-02-15,LMR Partners LLP,Koninklijke KPN N.V.,0.21,archive
NL0000888691,2024-02-15,Marshall Wace LLP,AMG Critical Materials N.V.,1.8,archive
NL0000302636,2024-02-15,Marshall Wace LLP,Van Lanschot Kempen N.V.,0.49,archive
NL0012817175,2024-02-15,Millennium International Management LP,Alfen N.V.,0.79,archive
NL0009739416,2024-02-15,Millennium International Management LP,PostNL N.V.,0.62,archive
NL0012817175,2024-02-15,Qube Research & Technologies Ltd.,Alfen N.V.,2.0,archive
NL0010558797,2024-02-15,Qube Research & Technologies Ltd.,OCI N.V.,1.13,archive
NL0012817175,2024-02-14,Capital Fund Management S.A.,Alfen N.V.,0.49,archive
NL0010391025,2024-02-14,Citadel Advisors LLC,Pharming Group N.V.,0.68,archive
NL0009739416,2024-02-14,JPMorgan Asset Management (UK) Ltd.,PostNL N.V.,0.64,archive
BMG3602E1084,2024-02-14,Marshall Wace LLP,Flow Traders Ltd.,0.81,archive
NL0012817175,2024-02-14,Millennium International Management LP,Alfen N.V.,0.85,archive
NL0010391025,2024-02-14,Millennium International Management LP,Pharming Group N.V.,1.3,archive
NL0012817175,2024-02-14,"PDT Partners, LLC",Alfen N.V.,0.66,archive
NL0012866412,2024-02-14,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,0.56,archive
NL0012817175,2024-02-14,Qube Research & Technologies Ltd.,Alfen N.V.,1.96,archive
LU1598757687,2024-02-14,Qube Research & Technologies Ltd.,ArcelorMittal S.A.,0.47,archive
NL0009739416,2024-02-14,Qube Research & Technologies Ltd.,PostNL N.V.,0.68,archive
NL0012817175,2024-02-14,Voleon Capital Management LP,Alfen N.V.,0.65,archive
NL0000009082,2024-02-13,Citadel Advisors Europe Limited,Koninklijke KPN N.V.,0.85,archive
NL0012817175,2024-02-13,Citadel Advisors LLC,Alfen N.V.,0.58,archive
NL0000009538,2024-02-13,Citadel Advisors LLC,Koninklijke Philips N.V.,0.81,archive
NL0010391025,2024-02-13,Citadel Advisors LLC,Pharming Group N.V.,0.5,archive
NL00150002Q7,2024-02-13,Janus Henderson Investors UK Limited,Vivoryon Therapeutics N.V.,2.51,archive
NL0000360618,2024-02-13,JPMorgan Asset Management (UK) Ltd.,SBM Offshore N.V.,0.68,archive
NL0000009082,2024-02-13,LMR Partners LLP,Koninklijke KPN N.V.,0.65,archive
NL0013267909,2024-02-13,Marshall Wace LLP,Akzo Nobel N.V.,0.46,archive
NL0000888691,2024-02-13,Marshall Wace LLP,AMG Critical Materials N.V.,1.73,archive
BMG3602E1084,2024-02-13,Marshall Wace LLP,Flow Traders Ltd.,0.78,archive
NL0000302636,2024-02-13,Marshall Wace LLP,Van Lanschot Kempen N.V.,0.5,archive
NL0012817175,2024-02-13,Millennium International Management LP,Alfen N.V.,0.91,archive
NL0010391025,2024-02-13,Millennium International Management LP,Pharming Group N.V.,1.19,archive
NL0009739416,2024-02-13,Millennium International Management LP,PostNL N.V.,0.58,archive
NL0012866412,2024-02-13,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,0.65,archive
NL0012817175,2024-02-13,Qube Research & Technologies Ltd.,Alfen N.V.,1.87,archive
LU1598757687,2024-02-13,Qube Research & Technologies Ltd.,ArcelorMittal S.A.,0.51,archive
NL0012817175,2024-02-13,Voleon Capital Management LP,Alfen N.V.,0.71,archive
NL0012817175,2024-02-12,Capital Fund Management S.A.,Alfen N.V.,0.5,archive
NL0009739416,2024-02-12,JPMorgan Asset Management (UK) Ltd.,PostNL N.V.,0.51,archive
NL0000888691,2024-02-12,Marshall Wace LLP,AMG Critical Materials N.V.,1.65,archive
NL0009739416,2024-02-12,Marshall Wace LLP,PostNL N.V.,0.83,archive
NL0013332471,2024-02-12,Marshall Wace LLP,TomTom N.V.,0.89,archive
NL0012817175,2024-02-12,Millennium International Management LP,Alfen N.V.,1.11,archive
NL0010391025,2024-02-12,Millennium International Management LP,Pharming Group N.V.,0.9,archive
NL0012866412,2024-02-12,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,0.77,archive
NL0011821392,2024-02-12,Qube Research & Technologies Ltd.,Signify N.V.,0.5,archive
NL0012817175,2024-02-12,Wellington Management International Ltd.,Alfen N.V.,0.55,archive
NL0011821392,2024-02-09,BlackRock Investment Management (UK) Limited,Signify N.V.,0.99,archive
NL0010558797,2024-02-09,Citadel Advisors LLC,OCI N.V.,0.49,archive
NL0000009538,2024-02-09,Greenvale Capital LLP,Koninklijke Philips N.V.,0.64,archive
NL0000009538,2024-02-09,Marshall Wace LLP,Koninklijke Philips N.V.,0.9,archive
NL0012047823,2024-02-09,Millennium Capital Management (Hong Kong) Limited,Avantium N.V.,0.43,archive
NL0012047823,2024-02-09,Pentwater Capital Management LP,Avantium N.V.,0.37,archive
NL0012866412,2024-02-09,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,0.89,archive
NL0012969182,2024-02-09,Qube Research & Technologies Ltd.,Adyen N.V.,0.58,archive
NL0012817175,2024-02-09,Qube Research & Technologies Ltd.,Alfen N.V.,1.99,archive
NL0011872650,2024-02-08,BlackRock Investment Management (UK) Limited,Basic-Fit N.V.,2.44,archive
NL0000009538,2024-02-08,Greenvale Capital LLP,Koninklijke Philips N.V.,0.73,archive
NL0012817175,2024-02-08,Millennium International Management LP,Alfen N.V.,1.28,archive
NL0009739416,2024-02-08,Millennium International Management LP,PostNL N.V.,0.69,archive
NL0012047823,2024-02-08,Pentwater Capital Management LP,Avantium N.V.,1.1,archive
NL0012817175,2024-02-08,Walleye Capital LLC,Alfen N.V.,0.6,archive
NL0011821392,2024-02-07,AKO Capital LLP,Signify N.V.,1.63,archive
NL0000009082,2024-02-07,BNP Paribas S.A.,Koninklijke KPN N.V.,0.99,archive
NL0012817175,2024-02-07,Citadel Advisors LLC,Alfen N.V.,0.64,archive
LU0569974404,2024-02-07,"ExodusPoint Capital Management, LP",Aperam S.A.,0.46,archive
NL00150002Q7,2024-02-07,Janus Henderson Investors UK Limited,Vivoryon Therapeutics N.V.,2.39,archive
NL0000009082,2024-02-07,LMR Partners LLP,Koninklijke KPN N.V.,0.9,archive
NL0000888691,2024-02-07,Marshall Wace LLP,AMG Critical Materials N.V.,1.57,archive
NL0012817175,2024-02-07,Millennium International Management LP,Alfen N.V.,1.3,archive
NL0009739416,2024-02-07,Qube Research & Technologies Ltd.,PostNL N.V.,0.78,archive
NL0000379121,2024-02-06,AKO Capital LLP,Randstad N.V.,0.91,archive
NL0012817175,2024-02-06,"Arrowstreet Capital, Limited Partnership",Alfen N.V.,1.47,archive
NL0000009082,2024-02-06,BNP Paribas S.A.,Koninklijke KPN N.V.,0.73,archive
NL0012817175,2024-02-06,Citadel Advisors LLC,Alfen N.V.,0.74,archive
NL0000009082,2024-02-06,LMR Partners LLP,Koninklijke KPN N.V.,0.66,archive
NL0012047823,2024-02-06,Pentwater Capital Management LP,Avantium N.V.,1.03,archive
NL0009739416,2024-02-06,Qube Research & Technologies Ltd.,PostNL N.V.,0.69,archive
NL0011821392,2024-02-05,AKO Capital LLP,Signify N.V.,1.42,archive
NL0000009082,2024-02-05,BNP Paribas S.A.,Koninklijke KPN N.V.,0.57,archive
NL0000009082,2024-02-05,Citadel Advisors Europe Limited,Koninklijke KPN N.V.,1.61,archive
NL0012817175,2024-02-05,Citadel Advisors LLC,Alfen N.V.,0.82,archive
NL0000009082,2024-02-05,LMR Partners LLP,Koninklijke KPN N.V.,0.54,archive
NL0013267909,2024-02-05,Marshall Wace LLP,Akzo Nobel N.V.,0.52,archive
NL0011821202,2024-02-05,Marshall Wace LLP,ING Groep N.V.,0.69,archive
NL0000009538,2024-02-05,Marshall Wace LLP,Koninklijke Philips N.V.,0.81,archive
NL0012817175,2024-02-05,"PDT Partners, LLC",Alfen N.V.,0.71,archive
NL0009739416,2024-02-05,Qube Research & Technologies Ltd.,PostNL N.V.,0.72,archive
NL0000009538,2024-02-02,Citadel Advisors LLC,Koninklijke Philips N.V.,0.72,archive
NL0013332471,2024-02-02,Citadel Advisors LLC,TomTom N.V.,0.68,archive
NL0000888691,2024-02-02,Marshall Wace LLP,AMG Critical Materials N.V.,1.61,archive
NL0013332471,2024-02-02,Otus Capital Management Ltd.,TomTom N.V.,1.31,archive
NL0012047823,2024-02-02,Pentwater Capital Management LP,Avantium N.V.,1.18,archive
NL0012747059,2024-02-02,Whitebox Advisors LLC,CM.com N.V.,1.04,archive
NL0011821392,2024-02-01,AKO Capital LLP,Signify N.V.,1.2,archive
NL0000009082,2024-02-01,Citadel Advisors Europe Limited,Koninklijke KPN N.V.,1.45,archive
NL0009739416,2024-02-01,Marshall Wace LLP,PostNL N.V.,0.74,archive
NL0013332471,2024-02-01,Marshall Wace LLP,TomTom N.V.,0.91,archive
NL0013332471,2024-02-01,Otus Capital Management Ltd.,TomTom N.V.,1.2,archive
NL0012817175,2024-02-01,Voleon Capital Management LP,Alfen N.V.,0.99,archive
NL0000009082,2024-01-31,Citadel Advisors Europe Limited,Koninklijke KPN N.V.,0.79,archive
NL0000009538,2024-01-31,Citadel Advisors LLC,Koninklijke Philips N.V.,0.69,archive
NL0000888691,2024-01-31,Marshall Wace LLP,AMG Critical Materials N.V.,1.55,archive
NL0012047823,2024-01-31,Millennium Capital Management (Hong Kong) Limited,Avantium N.V.,0.75,archive
NL0012047823,2024-01-31,Pentwater Capital Management LP,Avantium N.V.,1.28,archive
NL0012817175,2024-01-31,Qube Research & Technologies Ltd.,Alfen N.V.,2.0,archive
NL0010558797,2024-01-31,Qube Research & Technologies Ltd.,OCI N.V.,1.03,archive
NL0009739416,2024-01-31,Qube Research & Technologies Ltd.,PostNL N.V.,0.63,archive
NL0000009082,2024-01-31,Syquant Capital,Koninklijke KPN N.V.,0.92,archive
BMG3602E1084,2024-01-30,Canada Pension Plan Investment Board,Flow Traders Ltd.,0.6,archive
NL0000009082,2024-01-30,Citadel Advisors Europe Limited,Koninklijke KPN N.V.,0.64,archive
NL0012817175,2024-01-30,Citadel Advisors LLC,Alfen N.V.,0.91,archive
NL0000888691,2024-01-30,"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,1.02,archive
NL0012817175,2024-01-30,Marshall Wace LLP,Alfen N.V.,0.41,archive
NL0000009538,2024-01-30,Marshall Wace LLP,Koninklijke Philips N.V.,0.73,archive
NL0012047823,2024-01-30,Millennium Capital Management (Hong Kong) Limited,Avantium N.V.,0.66,archive
NL0012047823,2024-01-30,Pentwater Capital Management LP,Avantium N.V.,0.77,archive
NL0000009082,2024-01-30,Syquant Capital,Koninklijke KPN N.V.,0.86,archive
NL0012817175,2024-01-30,Walleye Capital LLC,Alfen N.V.,0.58,archive
NL0011821392,2024-01-29,AKO Capital LLP,Signify N.V.,1.11,archive
NL0000009082,2024-01-29,BNP Paribas S.A.,Koninklijke KPN N.V.,0.44,archive
NL0013332471,2024-01-29,Citadel Advisors LLC,TomTom N.V.,0.8,archive
NL0012817175,2024-01-29,Marshall Wace LLP,Alfen N.V.,0.56,archive
NL0000009538,2024-01-29,Marshall Wace LLP,Koninklijke Philips N.V.,0.67,archive
NL0009739416,2024-01-29,Marshall Wace LLP,PostNL N.V.,0.89,archive
NL0012047823,2024-01-29,Millennium Capital Management (Hong Kong) Limited,Avantium N.V.,0.57,archive
NL0012047823,2024-01-29,Pentwater Capital Management LP,Avantium N.V.,0.65,archive
NL0012866412,2024-01-29,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,1.1,archive
NL0010558797,2024-01-29,Qube Research & Technologies Ltd.,OCI N.V.,0.98,archive
NL0011821392,2024-01-26,AKO Capital LLP,Signify N.V.,0.99,archive
NL0000009082,2024-01-26,BNP Paribas S.A.,Koninklijke KPN N.V.,0.51,archive
BMG3602E1084,2024-01-26,Capital Fund Management S.A.,Flow Traders Ltd.,0.5,archive
NL0000009538,2024-01-26,Citadel Advisors LLC,Koninklijke Philips N.V.,0.75,archive
NL0000888691,2024-01-26,"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,0.97,archive
NL0009739416,2024-01-26,Marshall Wace LLP,PostNL N.V.,0.93,archive
NL0012866412,2024-01-26,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,1.09,archive
NL0009739416,2024-01-26,Qube Research & Technologies Ltd.,PostNL N.V.,0.52,archive
NL0000360618,2024-01-26,Systematica Investments Limited,SBM Offshore N.V.,0.5,archive
NL00150003E1,2024-01-25,Balyasny Asset Management (UK) LLP,Fugro N.V.,0.92,archive
NL0012817175,2024-01-25,"Connor, Clark & Lunn Investment Management Ltd.",Alfen N.V.,0.51,archive
BMG3602E1084,2024-01-25,Marshall Wace LLP,Flow Traders Ltd.,0.6,archive
NL0010801007,2024-01-25,Marshall Wace LLP,IMCD N.V.,0.49,archive
NL0000009538,2024-01-25,Marshall Wace LLP,Koninklijke Philips N.V.,0.51,archive
NL0012866412,2024-01-25,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,1.1,archive
NL0000009082,2024-01-25,Syquant Capital,Koninklijke KPN N.V.,1.0,archive
NL0012817175,2024-01-25,Voleon Capital Management LP,Alfen N.V.,1.07,archive
NL0012747059,2024-01-25,Whitebox Advisors LLC,CM.com N.V.,0.94,archive
NL0000360618,2024-01-24,Balyasny Asset Management (UK) LLP,SBM Offshore N.V.,0.7,archive
NL0013332471,2024-01-24,Citadel Advisors LLC,TomTom N.V.,0.71,archive
NL0000888691,2024-01-24,"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,1.04,archive
NL0000888691,2024-01-24,Marshall Wace LLP,AMG Critical Materials N.V.,1.4,archive
NL0013332471,2024-01-24,Marshall Wace LLP,TomTom N.V.,0.8,archive
