issuer_name,position_date,net_short_position,position_holder,isin,source
Basic-Fit N.V.,2025-11-03,0.9,Wellington Management International Ltd.,NL0011872650,archive
Fugro N.V.,2025-11-03,0.79,Wellington Management International Ltd.,NL00150003E1,archive
Aalberts N.V.,2025-10-31,0.7,"BlackRock Advisors, LLC",NL0000852564,archive
Signify N.V.,2025-10-31,0.5,"BlackRock Financial Management, Inc.",NL0011821392,archive
IMCD N.V.,2025-10-31,0.59,"BlackRock Institutional Trust Company, National Association",NL0010801007,archive
Signify N.V.,2025-10-31,0.68,"Point72 Europe (London), LLP",NL0011821392,archive
Signify N.V.,2025-10-30,0.58,Citadel Advisors Europe Limited,NL0011821392,archive
Signify N.V.,2025-10-30,0.88,Citadel Advisors LLC,NL0011821392,archive
BE Semiconductor Industries N.V.,2025-10-30,0.88,"D. E. Shaw & Co., L.P.",NL0012866412,archive
ARCADIS N.V.,2025-10-30,0.25,Eleva Capital SAS,NL0006237562,archive
Heineken N.V.,2025-10-30,0.49,Marshall Wace LLP,NL0000009165,archive
Pharming Group N.V.,2025-10-30,1.32,Millennium International Management LP,NL0010391025,archive
Signify N.V.,2025-10-30,0.54,"Point72 Europe (London), LLP",NL0011821392,archive
Akzo Nobel N.V.,2025-10-29,0.59,"BlackRock Advisors, LLC",NL0013267909,archive
Brunel International N.V.,2025-10-29,0.49,Citadel Advisors LLC,NL0010776944,archive
Pharming Group N.V.,2025-10-29,1.17,Citadel Advisors LLC,NL0010391025,archive
Basic-Fit N.V.,2025-10-29,0.54,Marchant MC Ltd.,NL0011872650,archive
Pharming Group N.V.,2025-10-29,0.6,Marshall Wace LLP,NL0010391025,archive
Randstad N.V.,2025-10-29,0.71,Marshall Wace LLP,NL0000379121,archive
Pharming Group N.V.,2025-10-29,1.29,Millennium International Management LP,NL0010391025,archive
Fugro N.V.,2025-10-29,0.94,Wellington Management International Ltd.,NL00150003E1,archive
AMG Critical Materials N.V.,2025-10-28,0.59,Actus Ray Partners Limited,NL0000888691,archive
Akzo Nobel N.V.,2025-10-28,0.6,"BlackRock Advisors, LLC",NL0013267909,archive
Signify N.V.,2025-10-28,0.67,Citadel Advisors Europe Limited,NL0011821392,archive
Signify N.V.,2025-10-28,1.09,Citadel Advisors LLC,NL0011821392,archive
Pharming Group N.V.,2025-10-28,1.34,Millennium International Management LP,NL0010391025,archive
Signify N.V.,2025-10-28,0.33,"Point72 Europe (London), LLP",NL0011821392,archive
Signify N.V.,2025-10-27,0.85,Citadel Advisors Europe Limited,NL0011821392,archive
Aperam S.A.,2025-10-27,0.47,Citadel Advisors LLC,LU0569974404,archive
Signify N.V.,2025-10-27,1.15,Citadel Advisors LLC,NL0011821392,archive
PostNL N.V.,2025-10-27,0.61,"PDT Partners, LLC",NL0009739416,archive
PostNL N.V.,2025-10-24,0.67,Citadel Advisors LLC,NL0009739416,archive
InPost S.A.,2025-10-24,1.7,Marshall Wace LLP,LU2290522684,archive
Signify N.V.,2025-10-24,0.38,Millennium International Management LP,NL0011821392,archive
Alfen N.V.,2025-10-24,1.24,"PDT Partners, LLC",NL0012817175,archive
Galapagos NV,2025-10-24,0.59,Qube Research & Technologies Ltd.,BE0003818359,archive
Akzo Nobel N.V.,2025-10-23,0.61,BlackRock Investment Management (UK) Limited,NL0013267909,archive
BE Semiconductor Industries N.V.,2025-10-23,1.07,Canada Pension Plan Investment Board,NL0012866412,archive
Brunel International N.V.,2025-10-23,0.51,Citadel Advisors LLC,NL0010776944,archive
BE Semiconductor Industries N.V.,2025-10-23,0.93,"D. E. Shaw & Co., L.P.",NL0012866412,archive
Alfen N.V.,2025-10-23,0.8,GSA Capital Partners LLP,NL0012817175,archive
InPost S.A.,2025-10-23,0.49,Kintbury Capital LLP,LU2290522684,archive
Pharming Group N.V.,2025-10-23,0.56,Marshall Wace LLP,NL0010391025,archive
Randstad N.V.,2025-10-23,0.69,Marshall Wace LLP,NL0000379121,archive
Signify N.V.,2025-10-23,0.45,Millennium Capital (DIFC) Limited,NL0011821392,archive
Fugro N.V.,2025-10-23,0.94,Millennium International Management LP,NL00150003E1,archive
Pharming Group N.V.,2025-10-23,1.48,Millennium International Management LP,NL0010391025,archive
Signify N.V.,2025-10-23,0.64,Millennium International Management LP,NL0011821392,archive
Signify N.V.,2025-10-23,0.69,"Point72 Europe (London), LLP",NL0011821392,archive
Brunel International N.V.,2025-10-22,0.49,Citadel Advisors LLC,NL0010776944,archive
BE Semiconductor Industries N.V.,2025-10-22,0.89,"D. E. Shaw & Co., L.P.",NL0012866412,archive
InPost S.A.,2025-10-22,0.55,Kintbury Capital LLP,LU2290522684,archive
Fugro N.V.,2025-10-22,0.89,Millennium International Management LP,NL00150003E1,archive
Pharming Group N.V.,2025-10-22,1.56,Millennium International Management LP,NL0010391025,archive
Signify N.V.,2025-10-22,0.74,Millennium International Management LP,NL0011821392,archive
Alfen N.V.,2025-10-22,1.05,Qube Research & Technologies Ltd.,NL0012817175,archive
Avantium N.V.,2025-10-22,1.8,Voleon Capital Management LP,NL0015002IE0,archive
BE Semiconductor Industries N.V.,2025-10-21,0.49,"Arrowstreet Capital, Limited Partnership",NL0012866412,archive
Akzo Nobel N.V.,2025-10-21,0.53,BlackRock Investment Management (UK) Limited,NL0013267909,archive
Aperam S.A.,2025-10-21,0.5,Citadel Advisors LLC,LU0569974404,archive
Fugro N.V.,2025-10-21,0.7,Citadel Advisors LLC,NL00150003E1,archive
PostNL N.V.,2025-10-21,0.77,Citadel Advisors LLC,NL0009739416,archive
BE Semiconductor Industries N.V.,2025-10-21,0.9,"D. E. Shaw & Co., L.P.",NL0012866412,archive
Randstad N.V.,2025-10-21,0.7,Marshall Wace LLP,NL0000379121,archive
Fugro N.V.,2025-10-21,0.91,Millennium International Management LP,NL00150003E1,archive
Alfen N.V.,2025-10-21,1.39,"PDT Partners, LLC",NL0012817175,archive
Galapagos NV,2025-10-21,0.6,Qube Research & Technologies Ltd.,BE0003818359,archive
Signify N.V.,2025-10-21,0.48,Squarepoint Ops LLC,NL0011821392,archive
Fugro N.V.,2025-10-20,0.86,Millennium International Management LP,NL00150003E1,archive
Pharming Group N.V.,2025-10-20,1.63,Millennium International Management LP,NL0010391025,archive
Signify N.V.,2025-10-20,0.62,Millennium International Management LP,NL0011821392,archive
Brunel International N.V.,2025-10-20,0.01,Qube Research & Technologies Ltd.,NL0010776944,archive
PostNL N.V.,2025-10-20,0.51,Winton Capital Management Limited,NL0009739416,archive
Fugro N.V.,2025-10-17,0.78,"PDT Partners, LLC",NL00150003E1,archive
Alfen N.V.,2025-10-17,0.9,Qube Research & Technologies Ltd.,NL0012817175,archive
Fugro N.V.,2025-10-16,0.68,Citadel Advisors LLC,NL00150003E1,archive
Heineken N.V.,2025-10-16,0.5,Marshall Wace LLP,NL0000009165,archive
Pharming Group N.V.,2025-10-16,1.75,Millennium International Management LP,NL0010391025,archive
Galapagos NV,2025-10-15,1.59,"Arrowstreet Capital, Limited Partnership",BE0003818359,archive
Pharming Group N.V.,2025-10-15,1.81,Millennium International Management LP,NL0010391025,archive
Alfen N.V.,2025-10-15,1.48,"PDT Partners, LLC",NL0012817175,archive
Signify N.V.,2025-10-15,0.74,"Point72 Europe (London), LLP",NL0011821392,archive
Alfen N.V.,2025-10-15,0.8,Qube Research & Technologies Ltd.,NL0012817175,archive
Alfen N.V.,2025-10-15,0.49,Trexquant Investment LP,NL0012817175,archive
Avantium N.V.,2025-10-15,1.7,Voleon Capital Management LP,NL0015002IE0,archive
BE Semiconductor Industries N.V.,2025-10-14,0.59,"Arrowstreet Capital, Limited Partnership",NL0012866412,archive
Fugro N.V.,2025-10-14,0.71,Citadel Advisors LLC,NL00150003E1,archive
Pharming Group N.V.,2025-10-14,1.23,Citadel Advisors LLC,NL0010391025,archive
Alfen N.V.,2025-10-14,0.7,GSA Capital Partners LLP,NL0012817175,archive
PostNL N.V.,2025-10-14,0.51,JPMorgan Asset Management (UK) Ltd.,NL0009739416,archive
Signify N.V.,2025-10-14,0.51,Millennium International Management LP,NL0011821392,archive
Signify N.V.,2025-10-14,0.65,"Point72 Europe (London), LLP",NL0011821392,archive
Brunel International N.V.,2025-10-13,0.51,Citadel Advisors LLC,NL0010776944,archive
Fugro N.V.,2025-10-13,0.69,Citadel Advisors LLC,NL00150003E1,archive
Alfen N.V.,2025-10-13,0.69,GSA Capital Partners LLP,NL0012817175,archive
Heineken N.V.,2025-10-13,0.49,Marshall Wace LLP,NL0000009165,archive
InPost S.A.,2025-10-13,1.6,Marshall Wace LLP,LU2290522684,archive
Fugro N.V.,2025-10-13,0.79,Millennium International Management LP,NL00150003E1,archive
Pharming Group N.V.,2025-10-13,1.99,Millennium International Management LP,NL0010391025,archive
Brunel International N.V.,2025-10-10,0.49,Citadel Advisors LLC,NL0010776944,archive
Fugro N.V.,2025-10-10,0.7,Citadel Advisors LLC,NL00150003E1,archive
PostNL N.V.,2025-10-10,0.89,Citadel Advisors LLC,NL0009739416,archive
Pharming Group N.V.,2025-10-10,2.05,Millennium International Management LP,NL0010391025,archive
Alfen N.V.,2025-10-10,1.56,"PDT Partners, LLC",NL0012817175,archive
Fugro N.V.,2025-10-10,0.8,"PDT Partners, LLC",NL00150003E1,archive
PostNL N.V.,2025-10-10,0.51,"PDT Partners, LLC",NL0009739416,archive
Alfen N.V.,2025-10-10,0.79,Qube Research & Technologies Ltd.,NL0012817175,archive
Avantium N.V.,2025-10-10,1.61,Voleon Capital Management LP,NL0015002IE0,archive
BE Semiconductor Industries N.V.,2025-10-09,0.68,"Arrowstreet Capital, Limited Partnership",NL0012866412,archive
Fugro N.V.,2025-10-09,0.69,Citadel Advisors LLC,NL00150003E1,archive
Pharming Group N.V.,2025-10-09,1.17,Citadel Advisors LLC,NL0010391025,archive
Signify N.V.,2025-10-09,1.2,Citadel Advisors LLC,NL0011821392,archive
Randstad N.V.,2025-10-09,0.6,Marshall Wace LLP,NL0000379121,archive
Alfen N.V.,2025-10-09,1.61,"PDT Partners, LLC",NL0012817175,archive
Alfen N.V.,2025-10-09,0.65,Qube Research & Technologies Ltd.,NL0012817175,archive
Avantium N.V.,2025-10-09,1.44,Voleon Capital Management LP,NL0015002IE0,archive
Aperam S.A.,2025-10-08,0.49,Citadel Advisors LLC,LU0569974404,archive
Signify N.V.,2025-10-08,1.19,Citadel Advisors LLC,NL0011821392,archive
Alfen N.V.,2025-10-08,1.74,"PDT Partners, LLC",NL0012817175,archive
Alfen N.V.,2025-10-08,0.83,Qube Research & Technologies Ltd.,NL0012817175,archive
Avantium N.V.,2025-10-08,1.33,Voleon Capital Management LP,NL0015002IE0,archive
Basic-Fit N.V.,2025-10-08,0.82,Wellington Management International Ltd.,NL0011872650,archive
Pharming Group N.V.,2025-10-07,1.22,Citadel Advisors LLC,NL0010391025,archive
Signify N.V.,2025-10-07,1.22,Citadel Advisors LLC,NL0011821392,archive
BE Semiconductor Industries N.V.,2025-10-07,0.81,"D. E. Shaw & Co., L.P.",NL0012866412,archive
InPost S.A.,2025-10-07,1.5,Marshall Wace LLP,LU2290522684,archive
Randstad N.V.,2025-10-07,0.59,Marshall Wace LLP,NL0000379121,archive
Fugro N.V.,2025-10-07,0.62,Numeric Investors LLC,NL0000352565,archive
Alfen N.V.,2025-10-07,1.86,"PDT Partners, LLC",NL0012817175,archive
Alfen N.V.,2025-10-07,0.91,Qube Research & Technologies Ltd.,NL0012817175,archive
Fugro N.V.,2025-10-07,0.8,Wellington Management International Ltd.,NL00150003E1,archive
BE Semiconductor Industries N.V.,2025-10-06,0.79,"Arrowstreet Capital, Limited Partnership",NL0012866412,archive
Signify N.V.,2025-10-06,0.79,"BlackRock Advisors, LLC",NL0011821392,archive
Pharming Group N.V.,2025-10-06,1.15,Citadel Advisors LLC,NL0010391025,archive
InPost S.A.,2025-10-06,0.68,Kintbury Capital LLP,LU2290522684,archive
Basic-Fit N.V.,2025-10-06,0.49,"PDT Partners, LLC",NL0011872650,archive
BE Semiconductor Industries N.V.,2025-10-03,0.49,"AQR Capital Management, LLC",NL0012866412,archive
Aperam S.A.,2025-10-03,0.5,Citadel Advisors LLC,LU0569974404,archive
Havas N.V.,2025-10-03,0.49,Citadel Advisors LLC,NL0015002AH0,archive
Pharming Group N.V.,2025-10-03,1.04,Citadel Advisors LLC,NL0010391025,archive
InPost S.A.,2025-10-03,0.78,Kintbury Capital LLP,LU2290522684,archive
Basic-Fit N.V.,2025-10-03,0.46,Marchant MC Ltd.,NL0011872650,archive
Alfen N.V.,2025-10-03,0.05,Millennium Capital (DIFC) Limited,NL0012817175,archive
Alfen N.V.,2025-10-03,0.82,Qube Research & Technologies Ltd.,NL0012817175,archive
Koninklijke Philips N.V.,2025-10-02,0.59,"AQR Capital Management, LLC",NL0000009538,archive
Signify N.V.,2025-10-02,0.92,Citadel Advisors Europe Limited,NL0011821392,archive
BE Semiconductor Industries N.V.,2025-10-02,0.7,"D. E. Shaw & Co., L.P.",NL0012866412,archive
Basic-Fit N.V.,2025-10-02,0.53,Marchant MC Ltd.,NL0011872650,archive
Pharming Group N.V.,2025-10-02,1.96,Millennium International Management LP,NL0010391025,archive
Avantium N.V.,2025-10-02,1.21,Voleon Capital Management LP,NL0015002IE0,archive
PostNL N.V.,2025-10-02,0.49,"WorldQuant, LLC",NL0009739416,archive
IMCD N.V.,2025-10-01,0.59,"AQR Capital Management, LLC",NL0010801007,archive
AMG Critical Materials N.V.,2025-10-01,0.48,Citadel Advisors LLC,NL0000888691,archive
Signify N.V.,2025-10-01,1.1,Citadel Advisors LLC,NL0011821392,archive
Pharming Group N.V.,2025-10-01,0.39,Highbridge Capital Management LLC,NL0010391025,archive
Brunel International N.V.,2025-10-01,0.47,Marshall Wace LLP,NL0010776944,archive
InPost S.A.,2025-10-01,1.43,Marshall Wace LLP,LU2290522684,archive
Signify N.V.,2025-10-01,0.5,Millennium Capital (DIFC) Limited,NL0011821392,archive
Aperam S.A.,2025-10-01,0.42,Millennium International Management LP,LU0569974404,archive
Alfen N.V.,2025-10-01,1.01,Qube Research & Technologies Ltd.,NL0012817175,archive
Alfen N.V.,2025-10-01,0.69,Trexquant Investment LP,NL0012817175,archive
AMG Critical Materials N.V.,2025-09-30,0.5,Citadel Advisors LLC,NL0000888691,archive
Fugro N.V.,2025-09-30,0.72,Citadel Advisors LLC,NL00150003E1,archive
Alfen N.V.,2025-09-30,0.79,GSA Capital Partners LLP,NL0012817175,archive
Pharming Group N.V.,2025-09-30,0.53,Highbridge Capital Management LLC,NL0010391025,archive
Fugro N.V.,2025-09-30,0.89,Millennium International Management LP,NL00150003E1,archive
Pharming Group N.V.,2025-09-30,2.02,Millennium International Management LP,NL0010391025,archive
Alfen N.V.,2025-09-30,1.99,"PDT Partners, LLC",NL0012817175,archive
PostNL N.V.,2025-09-30,0.57,"WorldQuant, LLC",NL0009739416,archive
IMCD N.V.,2025-09-29,0.79,"BlackRock Institutional Trust Company, National Association",NL0010801007,archive
Pharming Group N.V.,2025-09-29,1.1,Citadel Advisors LLC,NL0010391025,archive
Pharming Group N.V.,2025-09-29,0.38,Citadel Securities (Europe) Limited,NL0010391025,archive
Signify N.V.,2025-09-29,0.49,Millennium Capital (DIFC) Limited,NL0011821392,archive
Fugro N.V.,2025-09-29,0.7,"PDT Partners, LLC",NL00150003E1,archive
Alfen N.V.,2025-09-26,0.48,"AQR Capital Management, LLC",NL0012817175,archive
BE Semiconductor Industries N.V.,2025-09-26,0.89,"Arrowstreet Capital, Limited Partnership",NL0012866412,archive
IMCD N.V.,2025-09-26,0.8,"BlackRock Institutional Trust Company, National Association",NL0010801007,archive
Aperam S.A.,2025-09-26,0.48,Citadel Advisors LLC,LU0569974404,archive
Pharming Group N.V.,2025-09-26,1.01,Citadel Advisors LLC,NL0010391025,archive
PostNL N.V.,2025-09-26,0.9,Citadel Advisors LLC,NL0009739416,archive
Pharming Group N.V.,2025-09-26,0.54,Citadel Securities (Europe) Limited,NL0010391025,archive
Fugro N.V.,2025-09-26,0.48,Marshall Wace LLP,NL00150003E1,archive
InPost S.A.,2025-09-26,1.33,Marshall Wace LLP,LU2290522684,archive
Pharming Group N.V.,2025-09-26,2.17,Millennium International Management LP,NL0010391025,archive
Avantium N.V.,2025-09-26,1.12,Voleon Capital Management LP,NL0015002IE0,archive
AMG Critical Materials N.V.,2025-09-25,0.67,Actus Ray Partners Limited,NL0000888691,archive
Pharming Group N.V.,2025-09-25,0.71,"Algert Global, LLC",NL0010391025,archive
AMG Critical Materials N.V.,2025-09-25,0.49,Citadel Advisors LLC,NL0000888691,archive
Fugro N.V.,2025-09-25,0.68,Citadel Advisors LLC,NL00150003E1,archive
Alfen N.V.,2025-09-25,0.81,GSA Capital Partners LLP,NL0012817175,archive
Fugro N.V.,2025-09-25,0.52,Marshall Wace LLP,NL00150003E1,archive
Theon International Plc,2025-09-25,0.47,Millennium International Management LP,CY0200751713,archive
Avantium N.V.,2025-09-25,1.02,Voleon Capital Management LP,NL0015002IE0,archive
Brunel International N.V.,2025-09-25,0.49,"WorldQuant, LLC",NL0010776944,archive
Aalberts N.V.,2025-09-24,0.68,"BlackRock Advisors, LLC",NL0000852564,archive
Aperam S.A.,2025-09-24,0.51,Citadel Advisors LLC,LU0569974404,archive
Pharming Group N.V.,2025-09-24,0.72,Citadel Advisors LLC,NL0010391025,archive
Pharming Group N.V.,2025-09-24,0.76,Highbridge Capital Management LLC,NL0010391025,archive
InPost S.A.,2025-09-24,1.22,Marshall Wace LLP,LU2290522684,archive
InPost S.A.,2025-09-24,0.46,Wellington Management International Ltd.,LU2290522684,archive
Basic-Fit N.V.,2025-09-23,0.49,Acadian Asset Management LLC.,NL0011872650,archive
BE Semiconductor Industries N.V.,2025-09-23,0.97,"Arrowstreet Capital, Limited Partnership",NL0012866412,archive
BE Semiconductor Industries N.V.,2025-09-23,0.98,Canada Pension Plan Investment Board,NL0012866412,archive
Aperam S.A.,2025-09-23,0.49,Citadel Advisors LLC,LU0569974404,archive
Alfen N.V.,2025-09-23,0.79,GSA Capital Partners LLP,NL0012817175,archive
Alfen N.V.,2025-09-23,0.46,Millennium International Management LP,NL0012817175,archive
Fugro N.V.,2025-09-23,0.93,Millennium International Management LP,NL00150003E1,archive
BE Semiconductor Industries N.V.,2025-09-23,0.48,Numeric Investors LLC,NL0012866412,archive
Avantium N.V.,2025-09-23,0.6,Voleon Capital Management LP,NL0015002IE0,archive
Alfen N.V.,2025-09-22,0.58,"AQR Capital Management, LLC",NL0012817175,archive
Fugro N.V.,2025-09-22,0.28,BlackRock Investment Management (UK) Limited,NL00150003E1,archive
AMG Critical Materials N.V.,2025-09-22,0.59,Citadel Advisors LLC,NL0000888691,archive
Aperam S.A.,2025-09-22,0.5,Citadel Advisors LLC,LU0569974404,archive
Fugro N.V.,2025-09-22,0.7,Citadel Advisors LLC,NL00150003E1,archive
PostNL N.V.,2025-09-22,0.87,Citadel Advisors LLC,NL0009739416,archive
Fugro N.V.,2025-09-22,0.7,Marshall Wace LLP,NL00150003E1,archive
Pharming Group N.V.,2025-09-22,2.02,Millennium International Management LP,NL0010391025,archive
Avantium N.V.,2025-09-22,0.59,Voleon Capital Management LP,NL0015002IE0,archive
Fugro N.V.,2025-09-22,0.72,Wellington Management International Ltd.,NL00150003E1,archive
Alfen N.V.,2025-09-19,0.6,"AQR Capital Management, LLC",NL0012817175,archive
Havas N.V.,2025-09-19,0.51,Citadel Advisors LLC,NL0015002AH0,archive
Pharming Group N.V.,2025-09-19,0.83,Citadel Advisors LLC,NL0010391025,archive
PostNL N.V.,2025-09-19,0.9,Citadel Advisors LLC,NL0009739416,archive
InPost S.A.,2025-09-19,1.11,Marshall Wace LLP,LU2290522684,archive
Alfen N.V.,2025-09-19,0.76,Millennium Capital (DIFC) Limited,NL0012817175,archive
Theon International Plc,2025-09-19,0.52,Millennium International Management LP,CY0200751713,archive
Alfen N.V.,2025-09-19,1.19,Qube Research & Technologies Ltd.,NL0012817175,archive
Signify N.V.,2025-09-19,0.51,Squarepoint Ops LLC,NL0011821392,archive
AMG Critical Materials N.V.,2025-09-18,0.65,Citadel Advisors LLC,NL0000888691,archive
Havas N.V.,2025-09-18,0.49,Citadel Advisors LLC,NL0015002AH0,archive
Signify N.V.,2025-09-18,1.09,Citadel Advisors LLC,NL0011821392,archive
Ebusco Holding N.V.,2025-09-18,0.47,Citadel Securities (Europe) Limited,NL0015002AG2,archive
Akzo Nobel N.V.,2025-09-18,0.46,Kintbury Capital LLP,NL0013267909,archive
Fugro N.V.,2025-09-18,0.5,Marshall Wace LLP,NL00150003E1,archive
Pharming Group N.V.,2025-09-18,1.9,Millennium International Management LP,NL0010391025,archive
Brunel International N.V.,2025-09-18,0.5,"WorldQuant, LLC",NL0010776944,archive
InPost S.A.,2025-09-17,1.02,Marshall Wace LLP,LU2290522684,archive
Alfen N.V.,2025-09-17,0.67,Millennium Capital (DIFC) Limited,NL0012817175,archive
Alfen N.V.,2025-09-17,1.24,Qube Research & Technologies Ltd.,NL0012817175,archive
Ebusco Holding N.V.,2025-09-16,0.58,Citadel Securities (Europe) Limited,NL0015002AG2,archive
Randstad N.V.,2025-09-16,0.61,Marshall Wace LLP,NL0000379121,archive
Alfen N.V.,2025-09-16,0.58,Millennium International Management LP,NL0012817175,archive
Fugro N.V.,2025-09-16,1.08,Millennium International Management LP,NL00150003E1,archive
AMG Critical Materials N.V.,2025-09-15,0.78,Citadel Advisors LLC,NL0000888691,archive
Pharming Group N.V.,2025-09-15,0.9,Citadel Advisors LLC,NL0010391025,archive
Alfen N.V.,2025-09-15,1.12,Qube Research & Technologies Ltd.,NL0012817175,archive
Fugro N.V.,2025-09-15,0.62,Wellington Management International Ltd.,NL00150003E1,archive
PostNL N.V.,2025-09-15,0.67,"WorldQuant, LLC",NL0009739416,archive
AMG Critical Materials N.V.,2025-09-12,0.8,Citadel Advisors LLC,NL0000888691,archive
Pharming Group N.V.,2025-09-12,0.85,Citadel Advisors LLC,NL0010391025,archive
Brunel International N.V.,2025-09-12,0.59,Marshall Wace LLP,NL0010776944,archive
Alfen N.V.,2025-09-12,0.68,Millennium International Management LP,NL0012817175,archive
Aperam S.A.,2025-09-12,0.51,Millennium International Management LP,LU0569974404,archive
Pharming Group N.V.,2025-09-12,1.8,Millennium International Management LP,NL0010391025,archive
PostNL N.V.,2025-09-12,0.71,"WorldQuant, LLC",NL0009739416,archive
Pharming Group N.V.,2025-09-11,0.62,"Algert Global, LLC",NL0010391025,archive
IMCD N.V.,2025-09-11,0.7,"BlackRock Institutional Trust Company, National Association",NL0010801007,archive
AMG Critical Materials N.V.,2025-09-11,0.71,Citadel Advisors LLC,NL0000888691,archive
Pharming Group N.V.,2025-09-11,0.76,Citadel Advisors LLC,NL0010391025,archive
Heineken N.V.,2025-09-11,0.51,Marshall Wace LLP,NL0000009165,archive
Randstad N.V.,2025-09-11,0.59,Marshall Wace LLP,NL0000379121,archive
Pharming Group N.V.,2025-09-11,1.75,Millennium International Management LP,NL0010391025,archive
Fugro N.V.,2025-09-11,0.69,"PDT Partners, LLC",NL00150003E1,archive
AMG Critical Materials N.V.,2025-09-10,0.69,Citadel Advisors LLC,NL0000888691,archive
Pharming Group N.V.,2025-09-10,0.61,Citadel Advisors LLC,NL0010391025,archive
Koninklijke KPN N.V.,2025-09-10,0.47,Marshall Wace LLP,NL0000009082,archive
Brunel International N.V.,2025-09-10,0.49,Numeric Investors LLC,NL0010776944,archive
Signify N.V.,2025-09-09,1.1,Citadel Advisors LLC,NL0011821392,archive
Ebusco Holding N.V.,2025-09-09,0.68,Citadel Securities (Europe) Limited,NL0015002AG2,archive
Alfen N.V.,2025-09-09,0.77,Millennium International Management LP,NL0012817175,archive
MFE-MEDIAFOREUROPE N.V.,2025-09-09,0.0,Syquant Capital,NL0015001OJ9,archive
SBM Offshore N.V.,2025-09-08,0.69,"AQR Capital Management, LLC",NL0000360618,archive
Signify N.V.,2025-09-08,0.8,Citadel Advisors Europe Limited,NL0011821392,archive
AMG Critical Materials N.V.,2025-09-08,0.57,Citadel Advisors LLC,NL0000888691,archive
Alfen N.V.,2025-09-08,0.8,GSA Capital Partners LLP,NL0012817175,archive
Pharming Group N.V.,2025-09-08,1.6,Millennium International Management LP,NL0010391025,archive
InPost S.A.,2025-09-08,0.51,Wellington Management International Ltd.,LU2290522684,archive
Fugro N.V.,2025-09-08,0.47,"WorldQuant, LLC",NL00150003E1,archive
PostNL N.V.,2025-09-08,0.69,"WorldQuant, LLC",NL0009739416,archive
Pharming Group N.V.,2025-09-05,0.5,"Algert Global, LLC",NL0010391025,archive
OCI N.V.,2025-09-05,0.47,Citadel Advisors LLC,NL0010558797,archive
Pharming Group N.V.,2025-09-05,0.59,Citadel Advisors LLC,NL0010391025,archive
PostNL N.V.,2025-09-05,0.85,Citadel Advisors LLC,NL0009739416,archive
InPost S.A.,2025-09-05,0.81,Kintbury Capital LLP,LU2290522684,archive
Alfen N.V.,2025-09-05,0.88,Millennium International Management LP,NL0012817175,archive
Signify N.V.,2025-09-04,0.8,"BlackRock Advisors, LLC",NL0011821392,archive
AMG Critical Materials N.V.,2025-09-04,0.61,Citadel Advisors LLC,NL0000888691,archive
Avantium N.V.,2025-09-04,0.49,"Connor, Clark & Lunn Investment Management Ltd.",NL0015002IE0,archive
Koninklijke KPN N.V.,2025-09-04,0.57,Marshall Wace LLP,NL0000009082,archive
Fugro N.V.,2025-09-04,1.1,Millennium International Management LP,NL00150003E1,archive
Fugro N.V.,2025-09-04,0.52,Numeric Investors LLC,NL0000352565,archive
Avantium N.V.,2025-09-04,1.75,Voleon Capital Management LP,NL0015002IE0,archive
Signify N.V.,2025-09-03,0.71,Citadel Advisors Europe Limited,NL0011821392,archive
AMG Critical Materials N.V.,2025-09-03,0.57,Citadel Advisors LLC,NL0000888691,archive
Signify N.V.,2025-09-03,1.02,Citadel Advisors LLC,NL0011821392,archive
Pharming Group N.V.,2025-09-03,1.07,Highbridge Capital Management LLC,NL0010391025,archive
Corbion N.V.,2025-09-03,0.51,JPMorgan Asset Management (UK) Ltd.,NL0010583399,archive
InPost S.A.,2025-09-03,0.71,Kintbury Capital LLP,LU2290522684,archive
Randstad N.V.,2025-09-03,0.69,Marshall Wace LLP,NL0000379121,archive
Alfen N.V.,2025-09-03,0.93,Millennium International Management LP,NL0012817175,archive
OCI N.V.,2025-09-03,0.49,Numeric Investors LLC,NL0010558797,archive
Signify N.V.,2025-09-03,0.49,Squarepoint Ops LLC,NL0011821392,archive
PostNL N.V.,2025-09-03,0.7,"WorldQuant, LLC",NL0009739416,archive
Signify N.V.,2025-09-02,0.62,Citadel Advisors Europe Limited,NL0011821392,archive
Pharming Group N.V.,2025-09-02,0.61,Citadel Advisors LLC,NL0010391025,archive
Brunel International N.V.,2025-09-02,0.6,Marshall Wace LLP,NL0010776944,archive
Randstad N.V.,2025-09-02,0.71,Marshall Wace LLP,NL0000379121,archive
Alfen N.V.,2025-09-02,1.24,Qube Research & Technologies Ltd.,NL0012817175,archive
Brunel International N.V.,2025-09-02,0.6,Qube Research & Technologies Ltd.,NL0010776944,archive
Avantium N.V.,2025-09-02,1.51,Voleon Capital Management LP,NL0015002IE0,archive
Brunel International N.V.,2025-09-01,0.5,Citadel Advisors LLC,NL0010776944,archive
Pharming Group N.V.,2025-09-01,0.59,Citadel Advisors LLC,NL0010391025,archive
PostNL N.V.,2025-09-01,0.49,Marshall Wace LLP,NL0009739416,archive
Randstad N.V.,2025-09-01,0.69,Marshall Wace LLP,NL0000379121,archive
Alfen N.V.,2025-09-01,0.74,Millennium Capital (DIFC) Limited,NL0012817175,archive
Pharming Group N.V.,2025-09-01,1.53,Millennium International Management LP,NL0010391025,archive
