issuer_name,position_date,isin,net_short_position,position_holder,source
PostNL N.V.,2024-11-28,NL0009739416,0.89,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,2024-11-28,NL0012866412,0.7,"WorldQuant, LLC",archive
BE Semiconductor Industries N.V.,2024-11-27,NL0012866412,0.7,Canada Pension Plan Investment Board,archive
Alfen N.V.,2024-11-27,NL0012817175,1.13,Citadel Advisors LLC,archive
OCI N.V.,2024-11-27,NL0010558797,0.94,Citadel Advisors LLC,archive
PostNL N.V.,2024-11-27,NL0009739416,0.54,GSA Capital Partners LLP,archive
Akzo Nobel N.V.,2024-11-27,NL0013267909,1.09,Marshall Wace LLP,archive
AMG Critical Materials N.V.,2024-11-27,NL0000888691,1.4,Marshall Wace LLP,archive
TKH Group N.V.,2024-11-27,NL0000852523,0.6,Marshall Wace LLP,archive
Alfen N.V.,2024-11-27,NL0012817175,1.99,Qube Research & Technologies Ltd.,archive
Alfen N.V.,2024-11-26,NL0012817175,1.38,"Arrowstreet Capital, Limited Partnership",archive
Alfen N.V.,2024-11-26,NL0012817175,1.08,Citadel Advisors LLC,archive
OCI N.V.,2024-11-26,NL0010558797,1.0,Citadel Advisors LLC,archive
AMG Critical Materials N.V.,2024-11-26,NL0000888691,1.39,Marshall Wace LLP,archive
Alfen N.V.,2024-11-26,NL0012817175,1.36,Millennium Capital Partners LLP,archive
Aperam S.A.,2024-11-26,LU0569974404,1.0,Millennium International Management LP,archive
Alfen N.V.,2024-11-26,NL0012817175,2.09,Qube Research & Technologies Ltd.,archive
AMG Critical Materials N.V.,2024-11-26,NL0000888691,2.12,Qube Research & Technologies Ltd.,archive
PostNL N.V.,2024-11-26,NL0009739416,1.59,Qube Research & Technologies Ltd.,archive
AMG Critical Materials N.V.,2024-11-25,NL0000888691,0.52,Acadian Asset Management LLC.,archive
Alfen N.V.,2024-11-25,NL0012817175,1.51,"Arrowstreet Capital, Limited Partnership",archive
ArcelorMittal S.A.,2024-11-25,LU1598757687,0.52,Citadel Advisors LLC,archive
Ebusco Holding N.V.,2024-11-25,NL0015002AG2,0.0,Guevoura Fund Limited,archive
Koninklijke KPN N.V.,2024-11-25,NL0000009082,0.89,Marshall Wace LLP,archive
OCI N.V.,2024-11-25,NL0010558797,1.84,Marshall Wace LLP,archive
PostNL N.V.,2024-11-25,NL0009739416,0.97,Marshall Wace LLP,archive
Aperam S.A.,2024-11-25,LU0569974404,1.01,Millennium Capital Partners LLP,archive
Ebusco Holding N.V.,2024-11-25,NL0015002AG2,0.2,Millennium Capital Partners LLP,archive
Alfen N.V.,2024-11-25,NL0012817175,0.04,Millennium International Management LP,archive
Aperam S.A.,2024-11-25,LU0569974404,0.97,Millennium International Management LP,archive
AMG Critical Materials N.V.,2024-11-25,NL0000888691,0.49,"PDT Partners, LLC",archive
Ebusco Holding N.V.,2024-11-25,NL0015002AG2,0.0,Quartys Limited,archive
Alfen N.V.,2024-11-25,NL0012817175,2.19,Qube Research & Technologies Ltd.,archive
Aperam S.A.,2024-11-25,LU0569974404,0.42,Qube Research & Technologies Ltd.,archive
Flow Traders Ltd.,2024-11-25,BMG3602E1084,1.08,Qube Research & Technologies Ltd.,archive
AMG Critical Materials N.V.,2024-11-22,NL0000888691,0.47,Acadian Asset Management LLC.,archive
Randstad N.V.,2024-11-22,NL0000379121,0.71,AKO Capital LLP,archive
Alfen N.V.,2024-11-22,NL0012817175,1.18,Citadel Advisors LLC,archive
Ebusco Holding N.V.,2024-11-22,NL0015002AG2,0.0,Citadel Securities (Europe) Limited,archive
Ebusco Holding N.V.,2024-11-22,NL0015002AG2,1.08,Guevoura Fund Limited,archive
Koninklijke Ahold Delhaize N.V.,2024-11-22,NL0011794037,0.53,Ilex Capital Partners (UK) LLP,archive
Ebusco Holding N.V.,2024-11-22,NL0015002AG2,0.43,Jane Street Group LLC,archive
Koninklijke Ahold Delhaize N.V.,2024-11-22,NL0011794037,0.6,Marshall Wace LLP,archive
Alfen N.V.,2024-11-22,NL0012817175,1.15,Millennium International Management LP,archive
Ebusco Holding N.V.,2024-11-22,NL0015002AG2,0.8,Quartys Limited,archive
Alfen N.V.,2024-11-22,NL0012817175,2.39,Qube Research & Technologies Ltd.,archive
Avantium N.V.,2024-11-22,NL0012047823,0.9,Qube Research & Technologies Ltd.,archive
ASR Nederland N.V.,2024-11-21,NL0011872643,0.8,"AQR Capital Management, LLC",archive
Pharming Group N.V.,2024-11-21,NL0010391025,1.12,"Arrowstreet Capital, Limited Partnership",archive
AMG Critical Materials N.V.,2024-11-21,NL0000888691,0.5,Capital Fund Management S.A.,archive
Alfen N.V.,2024-11-21,NL0012817175,1.27,Citadel Advisors LLC,archive
Ebusco Holding N.V.,2024-11-21,NL0015002AG2,0.51,Citadel Securities (Europe) Limited,archive
PostNL N.V.,2024-11-21,NL0009739416,0.6,GSA Capital Partners LLP,archive
Ebusco Holding N.V.,2024-11-21,NL0015002AG2,0.8,Guevoura Fund Limited,archive
Koninklijke Ahold Delhaize N.V.,2024-11-21,NL0011794037,0.6,Ilex Capital Partners (UK) LLP,archive
OCI N.V.,2024-11-21,NL0010558797,1.73,Marshall Wace LLP,archive
TKH Group N.V.,2024-11-21,NL0000852523,0.51,Marshall Wace LLP,archive
Aperam S.A.,2024-11-21,LU0569974404,0.97,Millennium Capital Partners LLP,archive
Alfen N.V.,2024-11-21,NL0012817175,1.04,Millennium International Management LP,archive
Aperam S.A.,2024-11-21,LU0569974404,0.8,Millennium International Management LP,archive
OCI N.V.,2024-11-21,NL0010558797,2.02,Qube Research & Technologies Ltd.,archive
CM.com N.V.,2024-11-21,NL0012747059,0.61,TFG Asset Management UK LLP,archive
Alfen N.V.,2024-11-20,NL0012817175,1.89,"Arrowstreet Capital, Limited Partnership",archive
Alfen N.V.,2024-11-20,NL0012817175,1.33,Citadel Advisors LLC,archive
OCI N.V.,2024-11-20,NL0010558797,0.91,Citadel Advisors LLC,archive
OCI N.V.,2024-11-20,NL0010558797,1.66,Marshall Wace LLP,archive
Alfen N.V.,2024-11-20,NL0012817175,1.4,Millennium Capital Partners LLP,archive
Alfen N.V.,2024-11-20,NL0012817175,0.92,Millennium International Management LP,archive
Aperam S.A.,2024-11-20,LU0569974404,0.72,Millennium International Management LP,archive
Pharming Group N.V.,2024-11-20,NL0010391025,3.1,Millennium International Management LP,archive
Alfen N.V.,2024-11-20,NL0012817175,1.87,"PDT Partners, LLC",archive
Signify N.V.,2024-11-20,NL0011821392,0.43,"Point72 Europe (London), LLP",archive
Alfen N.V.,2024-11-20,NL0012817175,2.41,Qube Research & Technologies Ltd.,archive
Aperam S.A.,2024-11-20,LU0569974404,0.59,Qube Research & Technologies Ltd.,archive
Galapagos NV,2024-11-20,BE0003818359,0.61,Qube Research & Technologies Ltd.,archive
Randstad N.V.,2024-11-19,NL0000379121,0.69,AKO Capital LLP,archive
Alfen N.V.,2024-11-19,NL0012817175,1.29,Citadel Advisors LLC,archive
Koninklijke KPN N.V.,2024-11-19,NL0000009082,0.98,Marshall Wace LLP,archive
Aperam S.A.,2024-11-19,LU0569974404,0.82,Millennium Capital Partners LLP,archive
Alfen N.V.,2024-11-19,NL0012817175,0.82,Millennium International Management LP,archive
Alfen N.V.,2024-11-19,NL0012817175,1.94,"PDT Partners, LLC",archive
Alfen N.V.,2024-11-19,NL0012817175,2.38,Qube Research & Technologies Ltd.,archive
Flow Traders Ltd.,2024-11-19,BMG3602E1084,1.1,Qube Research & Technologies Ltd.,archive
OCI N.V.,2024-11-19,NL0010558797,1.92,Qube Research & Technologies Ltd.,archive
Alfen N.V.,2024-11-18,NL0012817175,1.11,Citadel Advisors LLC,archive
AMG Critical Materials N.V.,2024-11-18,NL0000888691,1.41,Marshall Wace LLP,archive
Koninklijke Ahold Delhaize N.V.,2024-11-18,NL0011794037,0.59,Marshall Wace LLP,archive
OCI N.V.,2024-11-18,NL0010558797,1.53,Marshall Wace LLP,archive
Alfen N.V.,2024-11-18,NL0012817175,1.32,Millennium Capital Partners LLP,archive
Aperam S.A.,2024-11-18,LU0569974404,0.76,Millennium Capital Partners LLP,archive
Aperam S.A.,2024-11-18,LU0569974404,0.61,Millennium International Management LP,archive
Aperam S.A.,2024-11-18,LU0569974404,0.6,Qube Research & Technologies Ltd.,archive
Pharming Group N.V.,2024-11-18,NL0010391025,0.71,Qube Research & Technologies Ltd.,archive
BE Semiconductor Industries N.V.,2024-11-18,NL0012866412,0.6,"WorldQuant, LLC",archive
BE Semiconductor Industries N.V.,2024-11-15,NL0012866412,0.52,"AQR Capital Management, LLC",archive
BE Semiconductor Industries N.V.,2024-11-15,NL0012866412,0.52,"Connor, Clark & Lunn Investment Management Ltd.",archive
Ebusco Holding N.V.,2024-11-15,NL0015002AG2,0.6,Jane Street Group LLC,archive
PostNL N.V.,2024-11-15,NL0009739416,1.08,Marshall Wace LLP,archive
Alfen N.V.,2024-11-15,NL0012817175,0.62,Millennium International Management LP,archive
TomTom N.V.,2024-11-15,NL0013332471,1.08,Otus Capital Management Ltd.,archive
Alfen N.V.,2024-11-15,NL0012817175,1.74,"PDT Partners, LLC",archive
Galapagos NV,2024-11-15,BE0003818359,0.51,Qube Research & Technologies Ltd.,archive
AMG Critical Materials N.V.,2024-11-15,NL0000888691,0.26,SIH Partners LLLP,archive
CM.com N.V.,2024-11-15,NL0012747059,0.51,TFG Asset Management UK LLP,archive
Alfen N.V.,2024-11-15,NL0012817175,0.43,"WorldQuant, LLC",archive
AMG Critical Materials N.V.,2024-11-14,NL0000888691,0.46,Capital Fund Management S.A.,archive
Alfen N.V.,2024-11-14,NL0012817175,1.05,Citadel Advisors LLC,archive
OCI N.V.,2024-11-14,NL0010558797,0.83,Citadel Advisors LLC,archive
Alfen N.V.,2024-11-14,NL0012817175,0.48,"Connor, Clark & Lunn Investment Management Ltd.",archive
Koninklijke KPN N.V.,2024-11-14,NL0000009082,1.06,Marshall Wace LLP,archive
OCI N.V.,2024-11-14,NL0010558797,1.41,Marshall Wace LLP,archive
Ebusco Holding N.V.,2024-11-14,NL0015002AG2,0.91,Millennium Capital Partners LLP,archive
Alfen N.V.,2024-11-14,NL0012817175,1.8,"PDT Partners, LLC",archive
OCI N.V.,2024-11-14,NL0010558797,1.81,Qube Research & Technologies Ltd.,archive
AMG Critical Materials N.V.,2024-11-14,NL0000888691,0.58,SIH Partners LLLP,archive
Alfen N.V.,2024-11-14,NL0012817175,0.56,"WorldQuant, LLC",archive
Basic-Fit N.V.,2024-11-13,NL0011872650,0.01,BlackRock Investment Management (UK) Limited,archive
AMG Critical Materials N.V.,2024-11-13,NL0000888691,0.54,Capital Fund Management S.A.,archive
Akzo Nobel N.V.,2024-11-13,NL0013267909,1.1,Marshall Wace LLP,archive
OCI N.V.,2024-11-13,NL0010558797,1.36,Marshall Wace LLP,archive
Alfen N.V.,2024-11-13,NL0012817175,0.52,Millennium International Management LP,archive
Aperam S.A.,2024-11-13,LU0569974404,0.51,Millennium International Management LP,archive
Signify N.V.,2024-11-13,NL0011821392,0.55,"Point72 Europe (London), LLP",archive
Alfen N.V.,2024-11-13,NL0012817175,2.28,Qube Research & Technologies Ltd.,archive
AMG Critical Materials N.V.,2024-11-13,NL0000888691,2.09,Qube Research & Technologies Ltd.,archive
Aperam S.A.,2024-11-13,LU0569974404,0.54,Qube Research & Technologies Ltd.,archive
Flow Traders Ltd.,2024-11-13,BMG3602E1084,1.09,Qube Research & Technologies Ltd.,archive
OCI N.V.,2024-11-13,NL0010558797,1.76,Qube Research & Technologies Ltd.,archive
PostNL N.V.,2024-11-13,NL0009739416,1.6,Qube Research & Technologies Ltd.,archive
BE Semiconductor Industries N.V.,2024-11-13,NL0012866412,0.54,"WorldQuant, LLC",archive
PostNL N.V.,2024-11-13,NL0009739416,0.51,"WorldQuant, LLC",archive
BE Semiconductor Industries N.V.,2024-11-12,NL0012866412,0.49,"AQR Capital Management, LLC",archive
Alfen N.V.,2024-11-12,NL0012817175,1.98,"Arrowstreet Capital, Limited Partnership",archive
ARCADIS N.V.,2024-11-12,NL0006237562,0.69,Boldhaven Management LLP,archive
AMG Critical Materials N.V.,2024-11-12,NL0000888691,0.6,Capital Fund Management S.A.,archive
Alfen N.V.,2024-11-12,NL0012817175,1.19,Citadel Advisors LLC,archive
OCI N.V.,2024-11-12,NL0010558797,0.78,Citadel Advisors LLC,archive
Ebusco Holding N.V.,2024-11-12,NL0015002AG2,0.82,Jane Street Group LLC,archive
AMG Critical Materials N.V.,2024-11-12,NL0000888691,1.31,Marshall Wace LLP,archive
Alfen N.V.,2024-11-12,NL0012817175,1.28,Millennium Capital Partners LLP,archive
Aperam S.A.,2024-11-12,LU0569974404,0.6,Millennium Capital Partners LLP,archive
Pharming Group N.V.,2024-11-12,NL0010391025,3.02,Millennium International Management LP,archive
Alfen N.V.,2024-11-12,NL0012817175,2.32,Qube Research & Technologies Ltd.,archive
AMG Critical Materials N.V.,2024-11-12,NL0000888691,2.15,Qube Research & Technologies Ltd.,archive
Flow Traders Ltd.,2024-11-12,BMG3602E1084,1.14,Qube Research & Technologies Ltd.,archive
OCI N.V.,2024-11-12,NL0010558797,1.66,Qube Research & Technologies Ltd.,archive
AMG Critical Materials N.V.,2024-11-12,NL0000888691,0.66,SIH Partners LLLP,archive
Alfen N.V.,2024-11-12,NL0012817175,0.64,"WorldQuant, LLC",archive
BE Semiconductor Industries N.V.,2024-11-11,NL0012866412,0.5,"AQR Capital Management, LLC",archive
AMG Critical Materials N.V.,2024-11-11,NL0000888691,0.47,Capital Fund Management S.A.,archive
Ebusco Holding N.V.,2024-11-11,NL0015002AG2,0.37,Citadel Securities (Europe) Limited,archive
Aperam S.A.,2024-11-11,LU0569974404,0.42,JPMorgan Asset Management (UK) Ltd.,archive
Koninklijke KPN N.V.,2024-11-11,NL0000009082,0.99,Marshall Wace LLP,archive
OCI N.V.,2024-11-11,NL0010558797,1.21,Marshall Wace LLP,archive
Signify N.V.,2024-11-11,NL0011821392,0.49,Mirabella Financial Services LLP,archive
Alfen N.V.,2024-11-11,NL0012817175,1.76,"PDT Partners, LLC",archive
Alfen N.V.,2024-11-11,NL0012817175,2.24,Qube Research & Technologies Ltd.,archive
OCI N.V.,2024-11-11,NL0010558797,1.59,Qube Research & Technologies Ltd.,archive
BE Semiconductor Industries N.V.,2024-11-08,NL0012866412,0.49,"AQR Capital Management, LLC",archive
AMG Critical Materials N.V.,2024-11-08,NL0000888691,0.53,Capital Fund Management S.A.,archive
Alfen N.V.,2024-11-08,NL0012817175,1.22,Citadel Advisors LLC,archive
Ebusco Holding N.V.,2024-11-08,NL0015002AG2,0.79,Citadel Securities (Europe) Limited,archive
Signify N.V.,2024-11-08,NL0011821392,0.51,Mirabella Financial Services LLP,archive
Alfen N.V.,2024-11-08,NL0012817175,2.48,Qube Research & Technologies Ltd.,archive
Basic-Fit N.V.,2024-11-08,NL0011872650,0.99,Qube Research & Technologies Ltd.,archive
OCI N.V.,2024-11-08,NL0010558797,1.6,Qube Research & Technologies Ltd.,archive
PostNL N.V.,2024-11-08,NL0009739416,1.51,Qube Research & Technologies Ltd.,archive
Signify N.V.,2024-11-07,NL0011821392,0.79,AKO Capital LLP,archive
Alfen N.V.,2024-11-07,NL0012817175,0.56,"Connor, Clark & Lunn Investment Management Ltd.",archive
AMG Critical Materials N.V.,2024-11-07,NL0000888691,1.21,Marshall Wace LLP,archive
PostNL N.V.,2024-11-07,NL0009739416,1.1,Marshall Wace LLP,archive
Alfen N.V.,2024-11-07,NL0012817175,2.04,Qube Research & Technologies Ltd.,archive
Galapagos NV,2024-11-07,BE0003818359,0.49,Qube Research & Technologies Ltd.,archive
OCI N.V.,2024-11-07,NL0010558797,1.58,Qube Research & Technologies Ltd.,archive
AMG Critical Materials N.V.,2024-11-07,NL0000888691,0.58,SIH Partners LLLP,archive
Alfen N.V.,2024-11-06,NL0012817175,1.18,Citadel Advisors LLC,archive
Akzo Nobel N.V.,2024-11-06,NL0013267909,1.04,Marshall Wace LLP,archive
Koninklijke Ahold Delhaize N.V.,2024-11-06,NL0011794037,0.6,Marshall Wace LLP,archive
OCI N.V.,2024-11-06,NL0010558797,1.12,Marshall Wace LLP,archive
Alfen N.V.,2024-11-06,NL0012817175,1.38,Millennium Capital Partners LLP,archive
Pharming Group N.V.,2024-11-06,NL0010391025,2.9,Millennium International Management LP,archive
Alfen N.V.,2024-11-06,NL0012817175,1.86,"PDT Partners, LLC",archive
Alfen N.V.,2024-11-06,NL0012817175,2.23,Qube Research & Technologies Ltd.,archive
Flow Traders Ltd.,2024-11-06,BMG3602E1084,1.25,Qube Research & Technologies Ltd.,archive
Alfen N.V.,2024-11-06,NL0012817175,0.78,"WorldQuant, LLC",archive
Alfen N.V.,2024-11-05,NL0012817175,1.27,Citadel Advisors LLC,archive
TomTom N.V.,2024-11-05,NL0013332471,0.49,Citadel Advisors LLC,archive
AMG Critical Materials N.V.,2024-11-05,NL0000888691,1.1,Marshall Wace LLP,archive
OCI N.V.,2024-11-05,NL0010558797,1.04,Marshall Wace LLP,archive
PostNL N.V.,2024-11-05,NL0009739416,1.02,Marshall Wace LLP,archive
Aperam S.A.,2024-11-05,LU0569974404,0.48,Qube Research & Technologies Ltd.,archive
Alfen N.V.,2024-11-05,NL0012817175,0.84,"WorldQuant, LLC",archive
OCI N.V.,2024-11-04,NL0010558797,0.51,"Arrowstreet Capital, Limited Partnership",archive
ARCADIS N.V.,2024-11-04,NL0006237562,0.7,Boldhaven Management LLP,archive
Koninklijke Ahold Delhaize N.V.,2024-11-04,NL0011794037,0.5,Marshall Wace LLP,archive
OCI N.V.,2024-11-04,NL0010558797,0.94,Marshall Wace LLP,archive
PostNL N.V.,2024-11-04,NL0009739416,0.99,Marshall Wace LLP,archive
Alfen N.V.,2024-11-04,NL0012817175,1.4,Millennium Capital Partners LLP,archive
Pharming Group N.V.,2024-11-04,NL0010391025,2.8,Millennium International Management LP,archive
Alfen N.V.,2024-11-04,NL0012817175,1.92,Qube Research & Technologies Ltd.,archive
AMG Critical Materials N.V.,2024-11-04,NL0000888691,2.09,Qube Research & Technologies Ltd.,archive
Flow Traders Ltd.,2024-11-04,BMG3602E1084,1.39,Qube Research & Technologies Ltd.,archive
Galapagos NV,2024-11-04,BE0003818359,0.5,Qube Research & Technologies Ltd.,archive
OCI N.V.,2024-11-04,NL0010558797,1.64,Qube Research & Technologies Ltd.,archive
PostNL N.V.,2024-11-04,NL0009739416,1.42,Qube Research & Technologies Ltd.,archive
Basic-Fit N.V.,2024-11-01,NL0011872650,0.58,BlackRock Investment Management (UK) Limited,archive
OCI N.V.,2024-11-01,NL0010558797,0.62,Citadel Advisors LLC,archive
AMG Critical Materials N.V.,2024-11-01,NL0000888691,1.09,Marshall Wace LLP,archive
OCI N.V.,2024-11-01,NL0010558797,0.81,Marshall Wace LLP,archive
AMG Critical Materials N.V.,2024-11-01,NL0000888691,2.1,Qube Research & Technologies Ltd.,archive
Flow Traders Ltd.,2024-11-01,BMG3602E1084,1.44,Qube Research & Technologies Ltd.,archive
Basic-Fit N.V.,2024-11-01,NL0011872650,0.6,Wellington Management International Ltd.,archive
Alfen N.V.,2024-11-01,NL0012817175,0.98,"WorldQuant, LLC",archive
OCI N.V.,2024-10-31,NL0010558797,0.52,Citadel Advisors LLC,archive
Pharming Group N.V.,2024-10-31,NL0010391025,2.71,Millennium International Management LP,archive
Alfen N.V.,2024-10-31,NL0012817175,1.86,Qube Research & Technologies Ltd.,archive
Flow Traders Ltd.,2024-10-31,BMG3602E1084,1.51,Qube Research & Technologies Ltd.,archive
AMG Critical Materials N.V.,2024-10-30,NL0000888691,0.56,Acadian Asset Management LLC.,archive
Basic-Fit N.V.,2024-10-30,NL0011872650,0.74,BlackRock Investment Management (UK) Limited,archive
Alfen N.V.,2024-10-30,NL0012817175,1.39,Citadel Advisors LLC,archive
OCI N.V.,2024-10-30,NL0010558797,0.5,Marshall Wace LLP,archive
Alfen N.V.,2024-10-30,NL0012817175,1.31,Millennium Capital Partners LLP,archive
Aperam S.A.,2024-10-30,LU0569974404,0.56,Millennium Capital Partners LLP,archive
Alfen N.V.,2024-10-30,NL0012817175,1.76,Qube Research & Technologies Ltd.,archive
Flow Traders Ltd.,2024-10-30,BMG3602E1084,1.48,Qube Research & Technologies Ltd.,archive
OCI N.V.,2024-10-30,NL0010558797,1.52,Qube Research & Technologies Ltd.,archive
Fugro N.V.,2024-10-30,NL0000352565,0.2,TFG Asset Management UK LLP,archive
Galapagos NV,2024-10-29,BE0003818359,1.19,"Arrowstreet Capital, Limited Partnership",archive
Alfen N.V.,2024-10-29,NL0012817175,1.4,Citadel Advisors LLC,archive
Alfen N.V.,2024-10-29,NL0012817175,1.29,Millennium Capital Partners LLP,archive
Aperam S.A.,2024-10-29,LU0569974404,0.6,Millennium Capital Partners LLP,archive
OCI N.V.,2024-10-29,NL0010558797,1.41,Qube Research & Technologies Ltd.,archive
Pharming Group N.V.,2024-10-29,NL0010391025,0.69,Qube Research & Technologies Ltd.,archive
Alfen N.V.,2024-10-29,NL0012817175,1.07,"WorldQuant, LLC",archive
Alfen N.V.,2024-10-28,NL0012817175,0.44,Millennium International Management LP,archive
OCI N.V.,2024-10-28,NL0010558797,0.0,Millennium International Management LP,archive
PostNL N.V.,2024-10-28,NL0009739416,0.39,Millennium International Management LP,archive
Signify N.V.,2024-10-28,NL0011821392,0.44,"Point72 Europe (London), LLP",archive
Alfen N.V.,2024-10-28,NL0012817175,1.64,Qube Research & Technologies Ltd.,archive
OCI N.V.,2024-10-28,NL0010558797,1.31,Qube Research & Technologies Ltd.,archive
Pharming Group N.V.,2024-10-28,NL0010391025,0.7,Qube Research & Technologies Ltd.,archive
PostNL N.V.,2024-10-28,NL0009739416,1.31,Qube Research & Technologies Ltd.,archive
Alfen N.V.,2024-10-28,NL0012817175,1.11,"WorldQuant, LLC",archive
Signify N.V.,2024-10-25,NL0011821392,0.69,AKO Capital LLP,archive
Alfen N.V.,2024-10-25,NL0012817175,2.0,"Arrowstreet Capital, Limited Partnership",archive
Alfen N.V.,2024-10-25,NL0012817175,1.38,Citadel Advisors LLC,archive
AMG Critical Materials N.V.,2024-10-25,NL0000888691,1.12,Marshall Wace LLP,archive
Alfen N.V.,2024-10-25,NL0012817175,0.54,Millennium International Management LP,archive
OCI N.V.,2024-10-25,NL0010558797,0.75,Millennium International Management LP,archive
Pharming Group N.V.,2024-10-25,NL0010391025,2.61,Millennium International Management LP,archive
Signify N.V.,2024-10-25,NL0011821392,0.5,"Point72 Europe (London), LLP",archive
Alfen N.V.,2024-10-25,NL0012817175,1.76,Qube Research & Technologies Ltd.,archive
AMG Critical Materials N.V.,2024-10-25,NL0000888691,2.07,Qube Research & Technologies Ltd.,archive
Flow Traders Ltd.,2024-10-25,BMG3602E1084,1.58,Qube Research & Technologies Ltd.,archive
Pharming Group N.V.,2024-10-25,NL0010391025,0.68,Qube Research & Technologies Ltd.,archive
Alfen N.V.,2024-10-25,NL0012817175,0.05,Teacher Retirement System of Texas,archive
Alfen N.V.,2024-10-24,NL0012817175,1.44,Citadel Advisors LLC,archive
Akzo Nobel N.V.,2024-10-24,NL0013267909,0.91,Marshall Wace LLP,archive
Alfen N.V.,2024-10-24,NL0012817175,0.66,Millennium International Management LP,archive
OCI N.V.,2024-10-24,NL0010558797,0.61,Millennium International Management LP,archive
Pharming Group N.V.,2024-10-24,NL0010391025,2.51,Millennium International Management LP,archive
PostNL N.V.,2024-10-24,NL0009739416,0.5,Millennium International Management LP,archive
Alfen N.V.,2024-10-24,NL0012817175,1.99,"PDT Partners, LLC",archive
AMG Critical Materials N.V.,2024-10-24,NL0000888691,0.57,"PDT Partners, LLC",archive
Alfen N.V.,2024-10-24,NL0012817175,1.89,Qube Research & Technologies Ltd.,archive
Pharming Group N.V.,2024-10-24,NL0010391025,0.8,Qube Research & Technologies Ltd.,archive
TomTom N.V.,2024-10-24,NL0013332471,0.6,Qube Research & Technologies Ltd.,archive
AMG Critical Materials N.V.,2024-10-23,NL0000888691,0.68,"AQR Capital Management, LLC",archive
Alfen N.V.,2024-10-23,NL0012817175,1.6,Citadel Advisors LLC,archive
Alfen N.V.,2024-10-23,NL0012817175,0.78,Millennium International Management LP,archive
AMG Critical Materials N.V.,2024-10-23,NL0000888691,0.6,"PDT Partners, LLC",archive
Avantium N.V.,2024-10-23,NL0012047823,0.8,Qube Research & Technologies Ltd.,archive
Basic-Fit N.V.,2024-10-23,NL0011872650,1.09,Qube Research & Technologies Ltd.,archive
OCI N.V.,2024-10-23,NL0010558797,1.13,Qube Research & Technologies Ltd.,archive
Randstad N.V.,2024-10-22,NL0000379121,0.76,AKO Capital LLP,archive
Alfen N.V.,2024-10-22,NL0012817175,0.47,"BlackRock Advisors, LLC",archive
BE Semiconductor Industries N.V.,2024-10-22,NL0012866412,0.68,Canada Pension Plan Investment Board,archive
Pharming Group N.V.,2024-10-22,NL0010391025,2.25,Millennium International Management LP,archive
Basic-Fit N.V.,2024-10-22,NL0011872650,1.1,Qube Research & Technologies Ltd.,archive
Pharming Group N.V.,2024-10-22,NL0010391025,0.66,Qube Research & Technologies Ltd.,archive
Alfen N.V.,2024-10-21,NL0012817175,0.57,"BlackRock Advisors, LLC",archive
Alfen N.V.,2024-10-21,NL0012817175,0.26,"BlackRock Financial Management, Inc.",archive
Koninklijke Ahold Delhaize N.V.,2024-10-21,NL0011794037,0.59,Ilex Capital Partners (UK) LLP,archive
Koninklijke KPN N.V.,2024-10-21,NL0000009082,1.0,Marshall Wace LLP,archive
Alfen N.V.,2024-10-21,NL0012817175,0.88,Millennium International Management LP,archive
PostNL N.V.,2024-10-21,NL0009739416,1.23,Qube Research & Technologies Ltd.,archive
Alfen N.V.,2024-10-21,NL0012817175,1.03,"WorldQuant, LLC",archive
Alfen N.V.,2024-10-18,NL0012817175,1.55,Citadel Advisors LLC,archive
Ebusco Holding N.V.,2024-10-18,NL0015000CZ2,0.44,Citadel Securities (Europe) Limited,archive
Alfen N.V.,2024-10-18,NL0012817175,0.92,Millennium International Management LP,archive
Basic-Fit N.V.,2024-10-18,NL0011872650,1.08,Qube Research & Technologies Ltd.,archive
OCI N.V.,2024-10-18,NL0010558797,1.0,Qube Research & Technologies Ltd.,archive
Alfen N.V.,2024-10-18,NL0012817175,0.97,"WorldQuant, LLC",archive
BE Semiconductor Industries N.V.,2024-10-17,NL0012866412,0.5,"AQR Capital Management, LLC",archive
SBM Offshore N.V.,2024-10-17,NL0000360618,0.48,Balyasny Asset Management (UK) LLP,archive
Alfen N.V.,2024-10-17,NL0012817175,1.6,Citadel Advisors LLC,archive
Koninklijke Ahold Delhaize N.V.,2024-10-17,NL0011794037,0.6,Ilex Capital Partners (UK) LLP,archive
Alfen N.V.,2024-10-17,NL0012817175,1.08,Millennium International Management LP,archive
Aperam S.A.,2024-10-17,LU0569974404,0.52,Qube Research & Technologies Ltd.,archive
PostNL N.V.,2024-10-17,NL0009739416,1.19,Qube Research & Technologies Ltd.,archive
Alfen N.V.,2024-10-17,NL0012817175,0.76,"WorldQuant, LLC",archive
Signify N.V.,2024-10-16,NL0011821392,0.93,AKO Capital LLP,archive
AMG Critical Materials N.V.,2024-10-16,NL0000888691,0.47,Capital Fund Management S.A.,archive
Alfen N.V.,2024-10-16,NL0012817175,0.66,"Connor, Clark & Lunn Investment Management Ltd.",archive
AMG Critical Materials N.V.,2024-10-16,NL0000888691,0.78,"D. E. Shaw & Co., L.P.",archive
Akzo Nobel N.V.,2024-10-16,NL0013267909,0.8,Marshall Wace LLP,archive
PostNL N.V.,2024-10-16,NL0009739416,0.8,Marshall Wace LLP,archive
Alfen N.V.,2024-10-16,NL0012817175,1.24,Millennium International Management LP,archive
