issuer_name,position_date,isin,net_short_position,position_holder,source
The Magnum Ice Cream Company N.V.,2026-04-17,NL0015002MS2,0.62,Walleye Capital LLC,current
IMCD N.V.,2026-04-17,NL0010801007,0.66,"WorldQuant, LLC",current
IMCD N.V.,2026-04-16,NL0010801007,0.69,Acadian Asset Management LLC.,current
Akzo Nobel N.V.,2026-04-16,NL0013267909,1.07,AKO Capital LLP,current
Adyen N.V.,2026-04-16,NL0012969182,1.3,"AQR Capital Management, LLC",current
Universal Music Group N.V.,2026-04-16,NL0015000IY2,0.58,"AQR Capital Management, LLC",current
Signify N.V.,2026-04-16,NL0011821392,2.32,Citadel Advisors LLC,current
Alfen N.V.,2026-04-16,NL0012817175,0.78,"D. E. Shaw & Co., L.P.",current
IMCD N.V.,2026-04-16,NL0010801007,0.85,JPMorgan Asset Management (UK) Ltd.,current
The Magnum Ice Cream Company N.V.,2026-04-16,NL0015002MS2,0.58,JPMorgan Asset Management (UK) Ltd.,current
Pharming Group N.V.,2026-04-16,NL0010391025,1.18,Lazard Asset Management LLC,current
IMCD N.V.,2026-04-16,NL0010801007,0.52,Marshall Wace LLP,current
Signify N.V.,2026-04-16,NL0011821392,0.79,Millennium Capital (DIFC) Limited,current
Alfen N.V.,2026-04-16,NL0012817175,1.79,Voleon Capital Management LP,current
Alfen N.V.,2026-04-16,NL0012817175,2.75,"WorldQuant, LLC",current
Akzo Nobel N.V.,2026-04-15,NL0013267909,1.41,AKO Capital LLP,current
Adyen N.V.,2026-04-15,NL0012969182,0.68,Capital Fund Management S.A.,current
Signify N.V.,2026-04-15,NL0011821392,1.17,Citadel Advisors Europe Limited,current
DSM-Firmenich AG,2026-04-15,CH1216478797,1.23,Ilex Capital Partners (UK) LLP,current
IMCD N.V.,2026-04-15,NL0010801007,0.76,JPMorgan Asset Management (UK) Ltd.,current
Pharming Group N.V.,2026-04-15,NL0010391025,1.2,Lazard Asset Management LLC,current
Signify N.V.,2026-04-15,NL0011821392,1.82,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,2026-04-15,NL0015002MS2,1.15,Marshall Wace LLP,current
Signify N.V.,2026-04-15,NL0011821392,0.8,Millennium Capital (DIFC) Limited,current
Theon International Plc,2026-04-15,CY0200751713,1.16,Qube Research & Technologies Ltd.,current
ARCADIS N.V.,2026-04-15,NL0006237562,0.88,Squarepoint Ops LLC,current
Alfen N.V.,2026-04-15,NL0012817175,1.89,Voleon Capital Management LP,current
IMCD N.V.,2026-04-14,NL0010801007,0.97,"BlackRock Financial Management, Inc.",current
Havas N.V.,2026-04-14,NL0015002K83,0.51,Citadel Advisors LLC,current
Basic-Fit N.V.,2026-04-14,NL0011872650,1.23,Fosse Capital Partners LLP,current
IMCD N.V.,2026-04-14,NL0010801007,0.66,JPMorgan Asset Management (UK) Ltd.,current
The Magnum Ice Cream Company N.V.,2026-04-14,NL0015002MS2,1.22,Marshall Wace LLP,current
PostNL N.V.,2026-04-14,NL0009739416,0.5,"PDT Partners, LLC",current
Alfen N.V.,2026-04-14,NL0012817175,2.84,"WorldQuant, LLC",current
Adyen N.V.,2026-04-13,NL0012969182,1.21,"AQR Capital Management, LLC",current
ARCADIS N.V.,2026-04-13,NL0006237562,1.01,"AQR Capital Management, LLC",current
CVC Capital Partners plc,2026-04-13,JE00BRX98089,0.71,"AQR Capital Management, LLC",current
Signify N.V.,2026-04-13,NL0011821392,1.2,Citadel Advisors Europe Limited,current
Sligro Food Group N.V.,2026-04-13,NL0000817179,0.61,Citadel Advisors LLC,current
IMCD N.V.,2026-04-13,NL0010801007,0.89,"PDT Partners, LLC",current
The Magnum Ice Cream Company N.V.,2026-04-13,NL0015002MS2,0.5,Walleye Capital LLC,current
ArcelorMittal S.A.,2026-04-10,LU1598757687,0.58,"AQR Capital Management, LLC",current
Alfen N.V.,2026-04-10,NL0012817175,0.89,"D. E. Shaw & Co., L.P.",current
Wolters Kluwer N.V.,2026-04-10,NL0000395903,0.8,"D. E. Shaw & Co., L.P.",current
The Magnum Ice Cream Company N.V.,2026-04-10,NL0015002MS2,1.38,Marshall Wace LLP,current
IMCD N.V.,2026-04-10,NL0010801007,0.9,"PDT Partners, LLC",current
Theon International Plc,2026-04-10,CY0200751713,1.22,Qube Research & Technologies Ltd.,current
