position_holder,issuer_name,position_date,net_short_position,isin,source
Citadel Advisors LLC,Wereldhave N.V.,2026-06-22,1.1,NL0000289213,current
"PDT Partners, LLC",IMCD N.V.,2026-06-22,0.8,NL0010801007,current
"PDT Partners, LLC",PostNL N.V.,2026-06-22,0.61,NL0009739416,current
"PDT Partners, LLC",Signify N.V.,2026-06-22,1.3,NL0011821392,current
Qube Research & Technologies Ltd.,CSG N.V.,2026-06-22,0.6,NL0015073TS8,current
SQUARE CIRCLE IA LP,Basic-Fit N.V.,2026-06-22,0.61,NL0011872650,current
"Two Sigma Investments, LP",IMCD N.V.,2026-06-22,0.58,NL0010801007,current
"Two Sigma Investments, LP",Pharming Group N.V.,2026-06-22,1.1,NL0010391025,current
"WorldQuant, LLC",Alfen N.V.,2026-06-22,0.74,NL0012817175,current
Capital Fund Management S.A.,IMCD N.V.,2026-06-19,1.0,NL0010801007,current
Capstone Volatility Master (Cayman) Limited,Pharming Group N.V.,2026-06-19,0.83,NL0010391025,current
Citadel Advisors LLC,DSM-Firmenich AG,2026-06-19,0.96,CH1216478797,current
Citadel Advisors LLC,Signify N.V.,2026-06-19,1.3,NL0011821392,current
"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,2026-06-19,0.79,NL0011872650,current
Marshall Wace LLP,DSM-Firmenich AG,2026-06-19,0.91,CH1216478797,current
"Point72 Asset Management, L.P.",Fugro N.V.,2026-06-19,0.56,NL00150003E1,current
Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,2026-06-19,0.79,NL0015002MS2,current
Spark Investment Management LLC,Pharming Group N.V.,2026-06-19,0.52,NL0010391025,current
"WorldQuant, LLC",Alfen N.V.,2026-06-19,0.68,NL0012817175,current
Capital Fund Management S.A.,Adyen N.V.,2026-06-18,0.71,NL0012969182,current
Capital Fund Management S.A.,TKH Group N.V.,2026-06-18,0.59,NL0000852523,current
"Farallon Capital Management, L.L.C.",Signify N.V.,2026-06-18,0.85,NL0011821392,current
Marshall Wace LLP,PostNL N.V.,2026-06-18,0.8,NL0009739416,current
Millennium International Management LP,Alfen N.V.,2026-06-18,0.62,NL0012817175,current
"PDT Partners, LLC",IMCD N.V.,2026-06-18,0.79,NL0010801007,current
SQUARE CIRCLE IA LP,Basic-Fit N.V.,2026-06-18,0.54,NL0011872650,current
"WorldQuant, LLC",Alfen N.V.,2026-06-18,0.71,NL0012817175,current
"AQR Capital Management, LLC",Adyen N.V.,2026-06-17,0.89,NL0012969182,current
"Arrowstreet Capital, Limited Partnership",IMCD N.V.,2026-06-17,1.29,NL0010801007,current
"BlackRock Financial Management, Inc.",Signify N.V.,2026-06-17,0.79,NL0011821392,current
Capital Fund Management S.A.,The Magnum Ice Cream Company N.V.,2026-06-17,0.51,NL0015002MS2,current
Citadel Advisors LLC,Signify N.V.,2026-06-17,1.46,NL0011821392,current
Citadel Advisors LLC,Sligro Food Group N.V.,2026-06-17,0.89,NL0000817179,current
"Farallon Capital Management, L.L.C.",Signify N.V.,2026-06-17,0.75,NL0011821392,current
Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,2026-06-17,1.91,CH1216478797,current
Marshall Wace LLP,Signify N.V.,2026-06-17,1.51,NL0011821392,current
Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,2026-06-17,0.88,NL0015002MS2,current
Capital Fund Management S.A.,Adyen N.V.,2026-06-16,0.62,NL0012969182,current
Davidson Kempner Capital Management LP,Akzo Nobel N.V.,2026-06-16,1.3,NL0013267909,current
"Farallon Capital Management, L.L.C.",Signify N.V.,2026-06-16,0.61,NL0011821392,current
Winton Capital Management Limited,PostNL N.V.,2026-06-16,0.51,NL0009739416,current
"WorldQuant, LLC",Alfen N.V.,2026-06-16,0.63,NL0012817175,current
"WorldQuant, LLC",Sligro Food Group N.V.,2026-06-16,0.51,NL0000817179,current
"D. E. Shaw & Co., L.P.",Pharming Group N.V.,2026-06-15,0.57,NL0010391025,current
