position_holder,issuer_name,position_date,net_short_position,isin,source
Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2024-08-07,1.7,NL0000888691,archive
Canada Pension Plan Investment Board,BE Semiconductor Industries N.V.,2024-08-06,0.59,NL0012866412,archive
Citadel Securities (Europe) Limited,Ebusco Holding N.V.,2024-08-06,0.62,NL0015000CZ2,archive
Marshall Wace LLP,Koninklijke KPN N.V.,2024-08-06,0.72,NL0000009082,archive
Marshall Wace LLP,Koninklijke Philips N.V.,2024-08-06,0.55,NL0000009538,archive
Millennium Capital Partners LLP,Alfen N.V.,2024-08-06,1.59,NL0012817175,archive
"PDT Partners, LLC",Alfen N.V.,2024-08-06,1.03,NL0012817175,archive
Qube Research & Technologies Ltd.,Flow Traders Ltd.,2024-08-06,1.84,BMG3602E1084,archive
Qube Research & Technologies Ltd.,OCI N.V.,2024-08-06,0.7,NL0010558797,archive
AKO Capital LLP,Akzo Nobel N.V.,2024-08-05,1.48,NL0013267909,archive
AKO Capital LLP,Randstad N.V.,2024-08-05,0.94,NL0000379121,archive
AKO Capital LLP,Signify N.V.,2024-08-05,1.1,NL0011821392,archive
Balyasny Asset Management (UK) LLP,Fugro N.V.,2024-08-05,0.74,NL00150003E1,archive
Capital Fund Management S.A.,AMG Critical Materials N.V.,2024-08-05,0.76,NL0000888691,archive
Citadel Advisors LLC,Alfen N.V.,2024-08-05,1.58,NL0012817175,archive
Marshall Wace LLP,AMG Critical Materials N.V.,2024-08-05,1.94,NL0000888691,archive
Marshall Wace LLP,TomTom N.V.,2024-08-05,0.77,NL0013332471,archive
Millennium Capital Partners LLP,Alfen N.V.,2024-08-05,1.63,NL0012817175,archive
"PDT Partners, LLC",Alfen N.V.,2024-08-05,0.94,NL0012817175,archive
"PDT Partners, LLC",Flow Traders Ltd.,2024-08-05,0.61,BMG3602E1084,archive
Qube Research & Technologies Ltd.,Basic-Fit N.V.,2024-08-05,1.01,NL0011872650,archive
Qube Research & Technologies Ltd.,Flow Traders Ltd.,2024-08-05,1.7,BMG3602E1084,archive
"AQR Capital Management, LLC",ASR Nederland N.V.,2024-08-02,0.6,NL0011872643,archive
BlackRock Investment Management (UK) Limited,Corbion N.V.,2024-08-02,0.79,NL0010583399,archive
"Connor, Clark & Lunn Investment Management Ltd.",Alfen N.V.,2024-08-02,0.99,NL0012817175,archive
"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,2024-08-02,0.93,NL0000888691,archive
GSA Capital Partners LLP,PostNL N.V.,2024-08-02,0.59,NL0009739416,archive
Ilex Capital Partners (UK) LLP,Koninklijke Ahold Delhaize N.V.,2024-08-02,0.5,NL0011794037,archive
Marshall Wace LLP,ArcelorMittal S.A.,2024-08-02,1.18,LU1598757687,archive
Millennium Capital Partners LLP,Alfen N.V.,2024-08-02,1.56,NL0012817175,archive
Millennium International Management LP,Alfen N.V.,2024-08-02,2.19,NL0012817175,archive
Millennium International Management LP,Pharming Group N.V.,2024-08-02,1.66,NL0010391025,archive
Millennium International Management LP,TomTom N.V.,2024-08-02,0.59,NL0013332471,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2024-08-02,2.12,NL0012817175,archive
Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2024-08-02,1.61,NL0000888691,archive
SIH Partners LLLP,Flow Traders Ltd.,2024-08-02,0.41,BMG3602E1084,archive
AKO Capital LLP,Randstad N.V.,2024-08-01,1.0,NL0000379121,archive
AKO Capital LLP,Signify N.V.,2024-08-01,1.2,NL0011821392,archive
BlackRock Investment Management (UK) Limited,Basic-Fit N.V.,2024-08-01,1.79,NL0011872650,archive
Citadel Advisors LLC,Alfen N.V.,2024-08-01,1.62,NL0012817175,archive
Citadel Advisors LLC,TomTom N.V.,2024-08-01,0.5,NL0013332471,archive
Marshall Wace LLP,Koninklijke Philips N.V.,2024-08-01,0.67,NL0000009538,archive
"PDT Partners, LLC",Alfen N.V.,2024-08-01,1.0,NL0012817175,archive
Qube Research & Technologies Ltd.,Flow Traders Ltd.,2024-08-01,1.63,BMG3602E1084,archive
"Arrowstreet Capital, Limited Partnership",Alfen N.V.,2024-07-31,1.73,NL0012817175,archive
Capital Fund Management S.A.,AMG Critical Materials N.V.,2024-07-31,0.68,NL0000888691,archive
"Connor, Clark & Lunn Investment Management Ltd.",Alfen N.V.,2024-07-31,1.0,NL0012817175,archive
"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,2024-07-31,0.89,NL0000888691,archive
GSA Capital Partners LLP,PostNL N.V.,2024-07-31,0.6,NL0009739416,archive
Marshall Wace LLP,Koninklijke KPN N.V.,2024-07-31,0.61,NL0000009082,archive
Marshall Wace LLP,PostNL N.V.,2024-07-31,0.87,NL0009739416,archive
Marshall Wace LLP,TomTom N.V.,2024-07-31,0.88,NL0013332471,archive
Millennium Capital Partners LLP,Alfen N.V.,2024-07-31,1.6,NL0012817175,archive
Millennium International Management LP,Alfen N.V.,2024-07-31,2.27,NL0012817175,archive
Millennium International Management LP,Pharming Group N.V.,2024-07-31,1.71,NL0010391025,archive
Millennium International Management LP,TomTom N.V.,2024-07-31,0.61,NL0013332471,archive
Qube Research & Technologies Ltd.,Flow Traders Ltd.,2024-07-31,1.56,BMG3602E1084,archive
SIH Partners LLLP,AMG Critical Materials N.V.,2024-07-31,0.38,NL0000888691,archive
"Arrowstreet Capital, Limited Partnership",OCI N.V.,2024-07-30,0.59,NL0010558797,archive
Balyasny Asset Management (UK) LLP,SBM Offshore N.V.,2024-07-30,0.79,NL0000360618,archive
GSA Capital Partners LLP,PostNL N.V.,2024-07-30,0.59,NL0009739416,archive
Highbridge Capital Management LLC,Pharming Group N.V.,2024-07-30,1.2,NL0010391025,archive
Marshall Wace LLP,ArcelorMittal S.A.,2024-07-30,1.2,LU1598757687,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2024-07-30,2.09,NL0012817175,archive
Qube Research & Technologies Ltd.,Basic-Fit N.V.,2024-07-30,0.92,NL0011872650,archive
Qube Research & Technologies Ltd.,Flow Traders Ltd.,2024-07-30,1.46,BMG3602E1084,archive
Citadel Securities (Europe) Limited,Alfen N.V.,2024-07-29,0.71,NL0012817175,archive
"Connor, Clark & Lunn Investment Management Ltd.",Alfen N.V.,2024-07-29,0.99,NL0012817175,archive
Millennium International Management LP,Alfen N.V.,2024-07-29,2.31,NL0012817175,archive
Qube Research & Technologies Ltd.,Flow Traders Ltd.,2024-07-29,1.36,BMG3602E1084,archive
SIH Partners LLLP,Flow Traders Ltd.,2024-07-29,0.51,BMG3602E1084,archive
Millennium Capital Partners LLP,Alfen N.V.,2024-07-26,1.52,NL0012817175,archive
Millennium International Management LP,Alfen N.V.,2024-07-26,2.21,NL0012817175,archive
"PDT Partners, LLC",Flow Traders Ltd.,2024-07-26,0.59,BMG3602E1084,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2024-07-26,2.17,NL0012817175,archive
Qube Research & Technologies Ltd.,Flow Traders Ltd.,2024-07-26,1.22,BMG3602E1084,archive
Voleon Capital Management LP,Basic-Fit N.V.,2024-07-26,0.46,NL0011872650,archive
BlackRock Investment Management (UK) Limited,Basic-Fit N.V.,2024-07-25,1.87,NL0011872650,archive
Citadel Securities (Europe) Limited,Alfen N.V.,2024-07-25,0.52,NL0012817175,archive
Citadel Securities (Europe) Limited,Ebusco Holding N.V.,2024-07-25,0.51,NL0015000CZ2,archive
"Connor, Clark & Lunn Investment Management Ltd.",Alfen N.V.,2024-07-25,1.0,NL0012817175,archive
Marshall Wace LLP,AMG Critical Materials N.V.,2024-07-25,2.09,NL0000888691,archive
AKO Capital LLP,Akzo Nobel N.V.,2024-07-24,1.53,NL0013267909,archive
"AQR Capital Management, LLC",IMCD N.V.,2024-07-24,0.5,NL0010801007,archive
"Arrowstreet Capital, Limited Partnership",Alfen N.V.,2024-07-24,1.64,NL0012817175,archive
"Arrowstreet Capital, Limited Partnership",OCI N.V.,2024-07-24,0.6,NL0010558797,archive
"BlackRock Advisors, LLC",Alfen N.V.,2024-07-24,1.01,NL0012817175,archive
Citadel Advisors LLC,Alfen N.V.,2024-07-24,1.52,NL0012817175,archive
Citadel Securities (Europe) Limited,Alfen N.V.,2024-07-24,0.69,NL0012817175,archive
Marshall Wace LLP,AMG Critical Materials N.V.,2024-07-24,2.16,NL0000888691,archive
Marshall Wace LLP,Koninklijke KPN N.V.,2024-07-24,0.53,NL0000009082,archive
Marshall Wace LLP,TomTom N.V.,2024-07-24,0.99,NL0013332471,archive
Millennium Capital Partners LLP,Alfen N.V.,2024-07-24,1.44,NL0012817175,archive
Voleon Capital Management LP,Vivoryon Therapeutics N.V.,2024-07-24,1.11,NL00150002Q7,archive
AKO Capital LLP,Akzo Nobel N.V.,2024-07-23,1.45,NL0013267909,archive
"Arrowstreet Capital, Limited Partnership",Alfen N.V.,2024-07-23,1.55,NL0012817175,archive
BlackRock Investment Management (UK) Limited,Basic-Fit N.V.,2024-07-23,1.93,NL0011872650,archive
Citadel Advisors LLC,Alfen N.V.,2024-07-23,1.61,NL0012817175,archive
GSA Capital Partners LLP,PostNL N.V.,2024-07-23,0.6,NL0009739416,archive
Millennium Capital Partners LLP,Alfen N.V.,2024-07-23,1.33,NL0012817175,archive
Millennium International Management LP,Alfen N.V.,2024-07-23,2.16,NL0012817175,archive
ShadowFall Capital & Research LLP,Basic-Fit N.V.,2024-07-23,0.42,NL0011872650,archive
Citadel Advisors LLC,Alfen N.V.,2024-07-22,1.56,NL0012817175,archive
Citadel Securities (Europe) Limited,Vivoryon Therapeutics N.V.,2024-07-22,0.2,NL00150002Q7,archive
Marshall Wace LLP,PostNL N.V.,2024-07-22,0.99,NL0009739416,archive
Millennium Capital Partners LLP,Alfen N.V.,2024-07-22,1.24,NL0012817175,archive
"PDT Partners, LLC",Alfen N.V.,2024-07-22,0.91,NL0012817175,archive
Qube Research & Technologies Ltd.,PostNL N.V.,2024-07-22,0.99,NL0009739416,archive
Canada Pension Plan Investment Board,BE Semiconductor Industries N.V.,2024-07-19,0.6,NL0012866412,archive
Capital Fund Management S.A.,AMG Critical Materials N.V.,2024-07-19,0.73,NL0000888691,archive
Citadel Advisors LLC,TomTom N.V.,2024-07-19,0.48,NL0013332471,archive
Citadel Securities (Europe) Limited,Alfen N.V.,2024-07-19,0.73,NL0012817175,archive
Citadel Securities (Europe) Limited,TomTom N.V.,2024-07-19,0.49,NL0013332471,archive
Marshall Wace LLP,AMG Critical Materials N.V.,2024-07-19,2.2,NL0000888691,archive
Millennium International Management LP,Pharming Group N.V.,2024-07-19,1.61,NL0010391025,archive
Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2024-07-19,1.5,NL0000888691,archive
Voleon Capital Management LP,Vivoryon Therapeutics N.V.,2024-07-19,1.0,NL00150002Q7,archive
BlackRock Investment Management (UK) Limited,Basic-Fit N.V.,2024-07-18,2.06,NL0011872650,archive
Canada Pension Plan Investment Board,BE Semiconductor Industries N.V.,2024-07-18,0.51,NL0012866412,archive
Citadel Advisors LLC,Alfen N.V.,2024-07-18,1.62,NL0012817175,archive
Citadel Securities (Europe) Limited,Vivoryon Therapeutics N.V.,2024-07-18,0.6,NL00150002Q7,archive
GSA Capital Partners LLP,PostNL N.V.,2024-07-18,0.59,NL0009739416,archive
Marshall Wace LLP,TomTom N.V.,2024-07-18,1.09,NL0013332471,archive
Millennium Capital Partners LLP,Alfen N.V.,2024-07-18,1.12,NL0012817175,archive
Millennium International Management LP,Pharming Group N.V.,2024-07-18,1.59,NL0010391025,archive
"PDT Partners, LLC",Alfen N.V.,2024-07-18,0.86,NL0012817175,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2024-07-18,2.23,NL0012817175,archive
"AQR Capital Management, LLC",IMCD N.V.,2024-07-17,0.49,NL0010801007,archive
Citadel Advisors LLC,Alfen N.V.,2024-07-17,1.51,NL0012817175,archive
Citadel Advisors LLC,ArcelorMittal S.A.,2024-07-17,0.44,LU1598757687,archive
Citadel Securities (Europe) Limited,Alfen N.V.,2024-07-17,0.63,NL0012817175,archive
Citadel Securities (Europe) Limited,TomTom N.V.,2024-07-17,0.5,NL0013332471,archive
Marshall Wace LLP,AMG Critical Materials N.V.,2024-07-17,2.11,NL0000888691,archive
Marshall Wace LLP,Koninklijke Philips N.V.,2024-07-17,0.7,NL0000009538,archive
Millennium Capital Partners LLP,Alfen N.V.,2024-07-17,1.03,NL0012817175,archive
Millennium International Management LP,IMCD N.V.,2024-07-17,0.48,NL0010801007,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2024-07-17,2.17,NL0012817175,archive
Qube Research & Technologies Ltd.,PostNL N.V.,2024-07-17,1.09,NL0009739416,archive
Walleye Capital LLC,Alfen N.V.,2024-07-17,0.46,NL0012817175,archive
Whitebox Advisors LLC,CM.com N.V.,2024-07-17,0.97,NL0012747059,archive
Citadel Advisors LLC,Alfen N.V.,2024-07-16,1.64,NL0012817175,archive
Citadel Securities (Europe) Limited,Vivoryon Therapeutics N.V.,2024-07-16,0.77,NL00150002Q7,archive
"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,2024-07-16,0.92,NL0000888691,archive
Marshall Wace LLP,PostNL N.V.,2024-07-16,1.09,NL0009739416,archive
"Point72 Europe (London), LLP",Signify N.V.,2024-07-16,0.45,NL0011821392,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2024-07-16,2.23,NL0012817175,archive
Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2024-07-16,1.41,NL0000888691,archive
Qube Research & Technologies Ltd.,Basic-Fit N.V.,2024-07-16,0.81,NL0011872650,archive
Voleon Capital Management LP,Vivoryon Therapeutics N.V.,2024-07-16,0.92,NL00150002Q7,archive
Walleye Capital LLC,Alfen N.V.,2024-07-16,0.51,NL0012817175,archive
BlackRock Investment Management (UK) Limited,Signify N.V.,2024-07-15,1.03,NL0011821392,archive
Capital Fund Management S.A.,AMG Critical Materials N.V.,2024-07-15,0.62,NL0000888691,archive
Citadel Advisors LLC,Alfen N.V.,2024-07-15,1.55,NL0012817175,archive
Citadel Advisors LLC,ArcelorMittal S.A.,2024-07-15,0.53,LU1598757687,archive
Citadel Advisors LLC,TomTom N.V.,2024-07-15,0.52,NL0013332471,archive
Citadel Securities (Europe) Limited,Alfen N.V.,2024-07-15,0.54,NL0012817175,archive
"Cubist Systematic Strategies, LLC",Alfen N.V.,2024-07-15,0.49,NL0012817175,archive
Millennium International Management LP,IMCD N.V.,2024-07-15,0.58,NL0010801007,archive
Millennium International Management LP,Pharming Group N.V.,2024-07-15,1.67,NL0010391025,archive
"PDT Partners, LLC",Alfen N.V.,2024-07-15,0.93,NL0012817175,archive
"Point72 Europe (London), LLP",Signify N.V.,2024-07-15,0.53,NL0011821392,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2024-07-15,2.14,NL0012817175,archive
Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2024-07-15,1.37,NL0000888691,archive
SIH Partners LLLP,AMG Critical Materials N.V.,2024-07-15,0.5,NL0000888691,archive
Voleon Capital Management LP,Vivoryon Therapeutics N.V.,2024-07-15,0.83,NL00150002Q7,archive
Walleye Capital LLC,Alfen N.V.,2024-07-15,0.49,NL0012817175,archive
BlackRock Investment Management (UK) Limited,Signify N.V.,2024-07-12,0.96,NL0011821392,archive
Citadel Securities (Europe) Limited,Vivoryon Therapeutics N.V.,2024-07-12,0.51,NL00150002Q7,archive
GSA Capital Partners LLP,PostNL N.V.,2024-07-12,0.6,NL0009739416,archive
Millennium Capital Partners LLP,Alfen N.V.,2024-07-12,0.92,NL0012817175,archive
Voleon Capital Management LP,Vivoryon Therapeutics N.V.,2024-07-12,0.74,NL00150002Q7,archive
Capital Fund Management S.A.,AMG Critical Materials N.V.,2024-07-11,0.58,NL0000888691,archive
Citadel Advisors LLC,ArcelorMittal S.A.,2024-07-11,0.64,LU1598757687,archive
Citadel Advisors LLC,Koninklijke Vopak N.V.,2024-07-11,0.48,NL0009432491,archive
Marshall Wace LLP,AMG Critical Materials N.V.,2024-07-11,2.0,NL0000888691,archive
Marshall Wace LLP,Koninklijke Philips N.V.,2024-07-11,0.6,NL0000009538,archive
Millennium International Management LP,Alfen N.V.,2024-07-11,2.01,NL0012817175,archive
Millennium International Management LP,TomTom N.V.,2024-07-11,0.52,NL0013332471,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2024-07-11,2.07,NL0012817175,archive
Qube Research & Technologies Ltd.,Flow Traders Ltd.,2024-07-11,0.89,BMG3602E1084,archive
Walleye Capital LLC,Alfen N.V.,2024-07-11,0.52,NL0012817175,archive
Citadel Securities (Europe) Limited,Alfen N.V.,2024-07-10,0.46,NL0012817175,archive
"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,2024-07-10,0.87,NL0000888691,archive
Millennium International Management LP,Alfen N.V.,2024-07-10,1.92,NL0012817175,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2024-07-10,2.15,NL0012817175,archive
Capital Fund Management S.A.,AMG Critical Materials N.V.,2024-07-09,0.6,NL0000888691,archive
Citadel Advisors LLC,Alfen N.V.,2024-07-09,1.46,NL0012817175,archive
"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,2024-07-09,0.9,NL0000888691,archive
Millennium International Management LP,Alfen N.V.,2024-07-09,1.88,NL0012817175,archive
Qube Research & Technologies Ltd.,Flow Traders Ltd.,2024-07-09,0.91,BMG3602E1084,archive
Walleye Capital LLC,Alfen N.V.,2024-07-09,0.65,NL0012817175,archive
Citadel Securities (Europe) Limited,Alfen N.V.,2024-07-08,0.52,NL0012817175,archive
"Connor, Clark & Lunn Investment Management Ltd.",Alfen N.V.,2024-07-08,0.91,NL0012817175,archive
Millennium Capital Partners LLP,Alfen N.V.,2024-07-08,1.05,NL0012817175,archive
Millennium International Management LP,Pharming Group N.V.,2024-07-08,1.79,NL0010391025,archive
"PDT Partners, LLC",Alfen N.V.,2024-07-08,0.81,NL0012817175,archive
Qube Research & Technologies Ltd.,OCI N.V.,2024-07-08,0.51,NL0010558797,archive
Citadel Advisors LLC,Alfen N.V.,2024-07-05,1.32,NL0012817175,archive
"Cubist Systematic Strategies, LLC",Alfen N.V.,2024-07-05,0.51,NL0012817175,archive
Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2024-07-05,1.27,NL0000888691,archive
Qube Research & Technologies Ltd.,Flow Traders Ltd.,2024-07-05,0.89,BMG3602E1084,archive
Qube Research & Technologies Ltd.,PostNL N.V.,2024-07-05,1.16,NL0009739416,archive
Walleye Capital LLC,Alfen N.V.,2024-07-05,0.72,NL0012817175,archive
Citadel Advisors LLC,Alfen N.V.,2024-07-04,1.24,NL0012817175,archive
"Cubist Systematic Strategies, LLC",Alfen N.V.,2024-07-04,0.48,NL0012817175,archive
Marshall Wace LLP,AMG Critical Materials N.V.,2024-07-04,1.9,NL0000888691,archive
Marshall Wace LLP,PostNL N.V.,2024-07-04,1.12,NL0009739416,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2024-07-04,2.23,NL0012817175,archive
Qube Research & Technologies Ltd.,PostNL N.V.,2024-07-04,1.2,NL0009739416,archive
Capital Fund Management S.A.,AMG Critical Materials N.V.,2024-07-03,0.55,NL0000888691,archive
Citadel Securities (Europe) Limited,Alfen N.V.,2024-07-03,0.36,NL0012817175,archive
"Connor, Clark & Lunn Investment Management Ltd.",Alfen N.V.,2024-07-03,0.82,NL0012817175,archive
"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,2024-07-03,0.89,NL0000888691,archive
JPMorgan Asset Management (UK) Ltd.,Alfen N.V.,2024-07-03,0.35,NL0012817175,archive
Millennium Capital Partners LLP,Alfen N.V.,2024-07-03,0.95,NL0012817175,archive
Millennium International Management LP,Alfen N.V.,2024-07-03,1.9,NL0012817175,archive
Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2024-07-03,1.16,NL0000888691,archive
Qube Research & Technologies Ltd.,PostNL N.V.,2024-07-03,1.12,NL0009739416,archive
Voleon Capital Management LP,Alfen N.V.,2024-07-03,0.48,NL0012817175,archive
Walleye Capital LLC,Alfen N.V.,2024-07-03,0.65,NL0012817175,archive
"AQR Capital Management, LLC",ASR Nederland N.V.,2024-07-02,0.5,NL0011872643,archive
"BlackRock Financial Management, Inc.",Alfen N.V.,2024-07-02,0.51,NL0012817175,archive
Capital Fund Management S.A.,AMG Critical Materials N.V.,2024-07-02,0.6,NL0000888691,archive
Citadel Advisors LLC,Alfen N.V.,2024-07-02,0.77,NL0012817175,archive
Citadel Securities (Europe) Limited,Alfen N.V.,2024-07-02,0.55,NL0012817175,archive
"Connor, Clark & Lunn Investment Management Ltd.",Alfen N.V.,2024-07-02,0.75,NL0012817175,archive
JPMorgan Asset Management (UK) Ltd.,Alfen N.V.,2024-07-02,0.68,NL0012817175,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2024-07-02,1.99,NL0012817175,archive
Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2024-07-02,1.2,NL0000888691,archive
Voleon Capital Management LP,Vivoryon Therapeutics N.V.,2024-07-02,0.61,NL00150002Q7,archive
Citadel Advisors LLC,Alfen N.V.,2024-07-01,1.02,NL0012817175,archive
"Connor, Clark & Lunn Investment Management Ltd.",Alfen N.V.,2024-07-01,0.66,NL0012817175,archive
Marshall Wace LLP,AMG Critical Materials N.V.,2024-07-01,1.81,NL0000888691,archive
Millennium Capital Partners LLP,Alfen N.V.,2024-07-01,1.03,NL0012817175,archive
Millennium International Management LP,Alfen N.V.,2024-07-01,1.86,NL0012817175,archive
Millennium International Management LP,Pharming Group N.V.,2024-07-01,1.82,NL0010391025,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2024-07-01,2.01,NL0012817175,archive
Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2024-07-01,1.16,NL0000888691,archive
Systematica Investments Limited,Alfen N.V.,2024-07-01,0.49,NL0012817175,archive
"AQR Capital Management, LLC",IMCD N.V.,2024-06-28,0.58,NL0010801007,archive
Capital Fund Management S.A.,AMG Critical Materials N.V.,2024-06-28,0.59,NL0000888691,archive
"Cubist Systematic Strategies, LLC",Alfen N.V.,2024-06-28,0.51,NL0012817175,archive
"D. E. Shaw & Co., L.P.",Alfen N.V.,2024-06-28,0.46,NL0012817175,archive
Greenvale Capital LLP,Koninklijke Philips N.V.,2024-06-28,0.47,NL0000009538,archive
GSA Capital Partners LLP,PostNL N.V.,2024-06-28,0.5,NL0009739416,archive
Marshall Wace LLP,PostNL N.V.,2024-06-28,1.01,NL0009739416,archive
Millennium International Management LP,Alfen N.V.,2024-06-28,2.03,NL0012817175,archive
Millennium International Management LP,Pharming Group N.V.,2024-06-28,1.72,NL0010391025,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2024-06-28,2.22,NL0012817175,archive
Qube Research & Technologies Ltd.,Basic-Fit N.V.,2024-06-28,0.7,NL0011872650,archive
Voleon Capital Management LP,Alfen N.V.,2024-06-28,0.56,NL0012817175,archive
Voleon Capital Management LP,Vivoryon Therapeutics N.V.,2024-06-28,0.57,NL00150002Q7,archive
BlackRock Investment Management (UK) Limited,Basic-Fit N.V.,2024-06-27,2.19,NL0011872650,archive
Capital Fund Management S.A.,AMG Critical Materials N.V.,2024-06-27,0.6,NL0000888691,archive
Citadel Advisors LLC,Alfen N.V.,2024-06-27,1.27,NL0012817175,archive
Citadel Advisors LLC,Koninklijke Vopak N.V.,2024-06-27,0.5,NL0009432491,archive
Citadel Securities (Europe) Limited,Alfen N.V.,2024-06-27,0.84,NL0012817175,archive
"Connor, Clark & Lunn Investment Management Ltd.",Alfen N.V.,2024-06-27,0.56,NL0012817175,archive
"D. E. Shaw & Co., L.P.",Alfen N.V.,2024-06-27,0.5,NL0012817175,archive
"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,2024-06-27,0.96,NL0000888691,archive
Franklin Templeton Investment Management Limited,TomTom N.V.,2024-06-27,0.63,NL0013332471,archive
Millennium International Management LP,Alfen N.V.,2024-06-27,2.13,NL0012817175,archive
Millennium International Management LP,IMCD N.V.,2024-06-27,0.6,NL0010801007,archive
"PDT Partners, LLC",Alfen N.V.,2024-06-27,0.75,NL0012817175,archive
"Point72 Europe (London), LLP",Signify N.V.,2024-06-27,0.63,NL0011821392,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2024-06-27,2.63,NL0012817175,archive
Qube Research & Technologies Ltd.,Ebusco Holding N.V.,2024-06-27,0.47,NL0015000CZ2,archive
Qube Research & Technologies Ltd.,OCI N.V.,2024-06-27,0.49,NL0010558797,archive
Qube Research & Technologies Ltd.,PostNL N.V.,2024-06-27,0.92,NL0009739416,archive
BlackRock Investment Management (UK) Limited,Basic-Fit N.V.,2024-06-26,2.21,NL0011872650,archive
Citadel Advisors LLC,Alfen N.V.,2024-06-26,1.7,NL0012817175,archive
Citadel Advisors LLC,ArcelorMittal S.A.,2024-06-26,0.54,LU1598757687,archive
"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,2024-06-26,0.89,NL0000888691,archive
Marshall Wace LLP,Alfen N.V.,2024-06-26,0.0,NL0012817175,archive
Marshall Wace LLP,AMG Critical Materials N.V.,2024-06-26,1.71,NL0000888691,archive
Marshall Wace LLP,ArcelorMittal S.A.,2024-06-26,1.1,LU1598757687,archive
Millennium Capital Partners LLP,Alfen N.V.,2024-06-26,0.92,NL0012817175,archive
Millennium International Management LP,Alfen N.V.,2024-06-26,2.29,NL0012817175,archive
"PDT Partners, LLC",Alfen N.V.,2024-06-26,1.09,NL0012817175,archive
"Point72 Europe (London), LLP",Signify N.V.,2024-06-26,0.59,NL0011821392,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2024-06-26,3.25,NL0012817175,archive
Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2024-06-26,1.23,NL0000888691,archive
Qube Research & Technologies Ltd.,Ebusco Holding N.V.,2024-06-26,0.51,NL0015000CZ2,archive
"Arrowstreet Capital, Limited Partnership",Lakefront Biotherapeutics NV,2024-06-25,1.49,BE0003818359,archive
Citadel Advisors LLC,Alfen N.V.,2024-06-25,0.67,NL0012817175,archive
Citadel Securities (Europe) Limited,Pharming Group N.V.,2024-06-25,0.49,NL0010391025,archive
"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,2024-06-25,0.91,NL0000888691,archive
Marshall Wace LLP,ArcelorMittal S.A.,2024-06-25,1.09,LU1598757687,archive
Millennium International Management LP,Pharming Group N.V.,2024-06-25,1.62,NL0010391025,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2024-06-25,2.13,NL0012817175,archive
Qube Research & Technologies Ltd.,Ebusco Holding N.V.,2024-06-25,0.61,NL0015000CZ2,archive
AKO Capital LLP,Akzo Nobel N.V.,2024-06-24,1.31,NL0013267909,archive
"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,2024-06-24,0.89,NL0000888691,archive
Marshall Wace LLP,ASR Nederland N.V.,2024-06-24,0.48,NL0011872643,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2024-06-24,2.08,NL0012817175,archive
Qube Research & Technologies Ltd.,Basic-Fit N.V.,2024-06-24,0.69,NL0011872650,archive
Qube Research & Technologies Ltd.,PostNL N.V.,2024-06-24,0.81,NL0009739416,archive
Balyasny Asset Management (UK) LLP,Fugro N.V.,2024-06-21,0.98,NL00150003E1,archive
BlackRock Investment Management (UK) Limited,Basic-Fit N.V.,2024-06-21,2.34,NL0011872650,archive
Millennium Capital Partners LLP,Alfen N.V.,2024-06-21,0.87,NL0012817175,archive
Millennium International Management LP,Alfen N.V.,2024-06-21,1.95,NL0012817175,archive
Millennium International Management LP,Vivoryon Therapeutics N.V.,2024-06-21,0.45,NL00150002Q7,archive
