position_holder,issuer_name,position_date,isin,net_short_position,source
"BlackRock Advisors, LLC",Signify N.V.,2025-10-06,NL0011821392,0.79,archive
Citadel Advisors LLC,Pharming Group N.V.,2025-10-06,NL0010391025,1.15,archive
Kintbury Capital LLP,InPost S.A.,2025-10-06,LU2290522684,0.68,archive
"PDT Partners, LLC",Basic-Fit N.V.,2025-10-06,NL0011872650,0.49,archive
"AQR Capital Management, LLC",BE Semiconductor Industries N.V.,2025-10-03,NL0012866412,0.49,archive
Citadel Advisors LLC,Aperam S.A.,2025-10-03,LU0569974404,0.5,archive
Citadel Advisors LLC,Havas N.V.,2025-10-03,NL0015002AH0,0.49,archive
Citadel Advisors LLC,Pharming Group N.V.,2025-10-03,NL0010391025,1.04,archive
Kintbury Capital LLP,InPost S.A.,2025-10-03,LU2290522684,0.78,archive
Marchant MC Ltd.,Basic-Fit N.V.,2025-10-03,NL0011872650,0.46,archive
Millennium Capital (DIFC) Limited,Alfen N.V.,2025-10-03,NL0012817175,0.05,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2025-10-03,NL0012817175,0.82,archive
Voleon Capital Management LP,Alfen N.V.,2025-10-03,NL0012817175,1.18,archive
"AQR Capital Management, LLC",Koninklijke Philips N.V.,2025-10-02,NL0000009538,0.59,archive
Citadel Advisors Europe Limited,Signify N.V.,2025-10-02,NL0011821392,0.92,archive
"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,2025-10-02,NL0012866412,0.7,archive
Marchant MC Ltd.,Basic-Fit N.V.,2025-10-02,NL0011872650,0.53,archive
Millennium International Management LP,Pharming Group N.V.,2025-10-02,NL0010391025,1.96,archive
Voleon Capital Management LP,Alfen N.V.,2025-10-02,NL0012817175,1.25,archive
Voleon Capital Management LP,Avantium N.V.,2025-10-02,NL0015002IE0,1.21,archive
"WorldQuant, LLC",PostNL N.V.,2025-10-02,NL0009739416,0.49,archive
"AQR Capital Management, LLC",IMCD N.V.,2025-10-01,NL0010801007,0.59,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2025-10-01,NL0000888691,0.48,archive
Citadel Advisors LLC,Signify N.V.,2025-10-01,NL0011821392,1.1,archive
Highbridge Capital Management LLC,Pharming Group N.V.,2025-10-01,NL0010391025,0.39,archive
Marshall Wace LLP,Brunel International N.V.,2025-10-01,NL0010776944,0.47,archive
Marshall Wace LLP,InPost S.A.,2025-10-01,LU2290522684,1.43,archive
Millennium Capital (DIFC) Limited,Signify N.V.,2025-10-01,NL0011821392,0.5,archive
Millennium International Management LP,Aperam S.A.,2025-10-01,LU0569974404,0.42,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2025-10-01,NL0012817175,1.01,archive
Trexquant Investment LP,Alfen N.V.,2025-10-01,NL0012817175,0.69,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2025-09-30,NL0000888691,0.5,archive
Citadel Advisors LLC,Fugro N.V.,2025-09-30,NL00150003E1,0.72,archive
GSA Capital Partners LLP,Alfen N.V.,2025-09-30,NL0012817175,0.79,archive
Highbridge Capital Management LLC,Pharming Group N.V.,2025-09-30,NL0010391025,0.53,archive
Millennium International Management LP,Fugro N.V.,2025-09-30,NL00150003E1,0.89,archive
Millennium International Management LP,Pharming Group N.V.,2025-09-30,NL0010391025,2.02,archive
"PDT Partners, LLC",Alfen N.V.,2025-09-30,NL0012817175,1.99,archive
"WorldQuant, LLC",PostNL N.V.,2025-09-30,NL0009739416,0.57,archive
"BlackRock Institutional Trust Company, National Association",IMCD N.V.,2025-09-29,NL0010801007,0.79,archive
Citadel Advisors LLC,Pharming Group N.V.,2025-09-29,NL0010391025,1.1,archive
Citadel Securities (Europe) Limited,Pharming Group N.V.,2025-09-29,NL0010391025,0.38,archive
Millennium Capital (DIFC) Limited,Signify N.V.,2025-09-29,NL0011821392,0.49,archive
"PDT Partners, LLC",Fugro N.V.,2025-09-29,NL00150003E1,0.7,archive
"AQR Capital Management, LLC",Alfen N.V.,2025-09-26,NL0012817175,0.48,archive
"Arrowstreet Capital, Limited Partnership",BE Semiconductor Industries N.V.,2025-09-26,NL0012866412,0.89,archive
"BlackRock Institutional Trust Company, National Association",IMCD N.V.,2025-09-26,NL0010801007,0.8,archive
Citadel Advisors LLC,Aperam S.A.,2025-09-26,LU0569974404,0.48,archive
Citadel Advisors LLC,Pharming Group N.V.,2025-09-26,NL0010391025,1.01,archive
Citadel Advisors LLC,PostNL N.V.,2025-09-26,NL0009739416,0.9,archive
Citadel Securities (Europe) Limited,Pharming Group N.V.,2025-09-26,NL0010391025,0.54,archive
Marshall Wace LLP,Fugro N.V.,2025-09-26,NL00150003E1,0.48,archive
Marshall Wace LLP,InPost S.A.,2025-09-26,LU2290522684,1.33,archive
Millennium International Management LP,Pharming Group N.V.,2025-09-26,NL0010391025,2.17,archive
Voleon Capital Management LP,Avantium N.V.,2025-09-26,NL0015002IE0,1.12,archive
"WorldQuant, LLC",Alfen N.V.,2025-09-26,NL0012817175,0.91,archive
Actus Ray Partners Limited,AMG Critical Materials N.V.,2025-09-25,NL0000888691,0.67,archive
"Algert Global, LLC",Pharming Group N.V.,2025-09-25,NL0010391025,0.71,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2025-09-25,NL0000888691,0.49,archive
Citadel Advisors LLC,Fugro N.V.,2025-09-25,NL00150003E1,0.68,archive
GSA Capital Partners LLP,Alfen N.V.,2025-09-25,NL0012817175,0.81,archive
Marshall Wace LLP,Fugro N.V.,2025-09-25,NL00150003E1,0.52,archive
Millennium International Management LP,Theon International Plc,2025-09-25,CY0200751713,0.47,archive
Voleon Capital Management LP,Avantium N.V.,2025-09-25,NL0015002IE0,1.02,archive
"WorldQuant, LLC",Brunel International N.V.,2025-09-25,NL0010776944,0.49,archive
"BlackRock Advisors, LLC",Aalberts N.V.,2025-09-24,NL0000852564,0.68,archive
Citadel Advisors LLC,Aperam S.A.,2025-09-24,LU0569974404,0.51,archive
Citadel Advisors LLC,Pharming Group N.V.,2025-09-24,NL0010391025,0.72,archive
Highbridge Capital Management LLC,Pharming Group N.V.,2025-09-24,NL0010391025,0.76,archive
Marshall Wace LLP,InPost S.A.,2025-09-24,LU2290522684,1.22,archive
Wellington Management International Ltd.,InPost S.A.,2025-09-24,LU2290522684,0.46,archive
Acadian Asset Management LLC.,Basic-Fit N.V.,2025-09-23,NL0011872650,0.49,archive
"Arrowstreet Capital, Limited Partnership",BE Semiconductor Industries N.V.,2025-09-23,NL0012866412,0.97,archive
Canada Pension Plan Investment Board,BE Semiconductor Industries N.V.,2025-09-23,NL0012866412,0.98,archive
Citadel Advisors LLC,Aperam S.A.,2025-09-23,LU0569974404,0.49,archive
GSA Capital Partners LLP,Alfen N.V.,2025-09-23,NL0012817175,0.79,archive
Millennium International Management LP,Alfen N.V.,2025-09-23,NL0012817175,0.46,archive
Millennium International Management LP,Fugro N.V.,2025-09-23,NL00150003E1,0.93,archive
Numeric Investors LLC,BE Semiconductor Industries N.V.,2025-09-23,NL0012866412,0.48,archive
Voleon Capital Management LP,Avantium N.V.,2025-09-23,NL0015002IE0,0.6,archive
"AQR Capital Management, LLC",Alfen N.V.,2025-09-22,NL0012817175,0.58,archive
BlackRock Investment Management (UK) Limited,Fugro N.V.,2025-09-22,NL00150003E1,0.28,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2025-09-22,NL0000888691,0.59,archive
Citadel Advisors LLC,Aperam S.A.,2025-09-22,LU0569974404,0.5,archive
Citadel Advisors LLC,Fugro N.V.,2025-09-22,NL00150003E1,0.7,archive
Citadel Advisors LLC,PostNL N.V.,2025-09-22,NL0009739416,0.87,archive
Marshall Wace LLP,Fugro N.V.,2025-09-22,NL00150003E1,0.7,archive
Millennium International Management LP,Pharming Group N.V.,2025-09-22,NL0010391025,2.02,archive
Voleon Capital Management LP,Avantium N.V.,2025-09-22,NL0015002IE0,0.59,archive
Wellington Management International Ltd.,Fugro N.V.,2025-09-22,NL00150003E1,0.72,archive
"AQR Capital Management, LLC",Alfen N.V.,2025-09-19,NL0012817175,0.6,archive
Citadel Advisors LLC,Havas N.V.,2025-09-19,NL0015002AH0,0.51,archive
Citadel Advisors LLC,Pharming Group N.V.,2025-09-19,NL0010391025,0.83,archive
Citadel Advisors LLC,PostNL N.V.,2025-09-19,NL0009739416,0.9,archive
Marshall Wace LLP,InPost S.A.,2025-09-19,LU2290522684,1.11,archive
Millennium Capital (DIFC) Limited,Alfen N.V.,2025-09-19,NL0012817175,0.76,archive
Millennium International Management LP,Theon International Plc,2025-09-19,CY0200751713,0.52,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2025-09-19,NL0012817175,1.19,archive
Squarepoint Ops LLC,Signify N.V.,2025-09-19,NL0011821392,0.51,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2025-09-18,NL0000888691,0.65,archive
Citadel Advisors LLC,Havas N.V.,2025-09-18,NL0015002AH0,0.49,archive
Citadel Advisors LLC,Signify N.V.,2025-09-18,NL0011821392,1.09,archive
Citadel Securities (Europe) Limited,Ebusco Holding N.V.,2025-09-18,NL0015002AG2,0.47,archive
Kintbury Capital LLP,Akzo Nobel N.V.,2025-09-18,NL0013267909,0.46,archive
Marshall Wace LLP,Fugro N.V.,2025-09-18,NL00150003E1,0.5,archive
Millennium International Management LP,Pharming Group N.V.,2025-09-18,NL0010391025,1.9,archive
"WorldQuant, LLC",Brunel International N.V.,2025-09-18,NL0010776944,0.5,archive
Marshall Wace LLP,InPost S.A.,2025-09-17,LU2290522684,1.02,archive
Millennium Capital (DIFC) Limited,Alfen N.V.,2025-09-17,NL0012817175,0.67,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2025-09-17,NL0012817175,1.24,archive
"WorldQuant, LLC",Alfen N.V.,2025-09-17,NL0012817175,0.89,archive
AKO Capital LLP,Akzo Nobel N.V.,2025-09-16,NL0013267909,0.93,archive
Citadel Securities (Europe) Limited,Ebusco Holding N.V.,2025-09-16,NL0015002AG2,0.58,archive
Marshall Wace LLP,Randstad N.V.,2025-09-16,NL0000379121,0.61,archive
Millennium International Management LP,Alfen N.V.,2025-09-16,NL0012817175,0.58,archive
Millennium International Management LP,Fugro N.V.,2025-09-16,NL00150003E1,1.08,archive
AKO Capital LLP,Akzo Nobel N.V.,2025-09-15,NL0013267909,1.0,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2025-09-15,NL0000888691,0.78,archive
Citadel Advisors LLC,Pharming Group N.V.,2025-09-15,NL0010391025,0.9,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2025-09-15,NL0012817175,1.12,archive
Voleon Capital Management LP,Alfen N.V.,2025-09-15,NL0012817175,1.38,archive
Wellington Management International Ltd.,Fugro N.V.,2025-09-15,NL00150003E1,0.62,archive
"WorldQuant, LLC",Alfen N.V.,2025-09-15,NL0012817175,0.93,archive
"WorldQuant, LLC",PostNL N.V.,2025-09-15,NL0009739416,0.67,archive
AKO Capital LLP,Akzo Nobel N.V.,2025-09-12,NL0013267909,1.23,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2025-09-12,NL0000888691,0.8,archive
Citadel Advisors LLC,Pharming Group N.V.,2025-09-12,NL0010391025,0.85,archive
Marshall Wace LLP,Brunel International N.V.,2025-09-12,NL0010776944,0.59,archive
Millennium International Management LP,Alfen N.V.,2025-09-12,NL0012817175,0.68,archive
Millennium International Management LP,Aperam S.A.,2025-09-12,LU0569974404,0.51,archive
Millennium International Management LP,Pharming Group N.V.,2025-09-12,NL0010391025,1.8,archive
"WorldQuant, LLC",PostNL N.V.,2025-09-12,NL0009739416,0.71,archive
AKO Capital LLP,Akzo Nobel N.V.,2025-09-11,NL0013267909,1.39,archive
"Algert Global, LLC",Pharming Group N.V.,2025-09-11,NL0010391025,0.62,archive
"BlackRock Institutional Trust Company, National Association",IMCD N.V.,2025-09-11,NL0010801007,0.7,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2025-09-11,NL0000888691,0.71,archive
Citadel Advisors LLC,Pharming Group N.V.,2025-09-11,NL0010391025,0.76,archive
Marshall Wace LLP,Heineken N.V.,2025-09-11,NL0000009165,0.51,archive
Marshall Wace LLP,Randstad N.V.,2025-09-11,NL0000379121,0.59,archive
Millennium International Management LP,Pharming Group N.V.,2025-09-11,NL0010391025,1.75,archive
"PDT Partners, LLC",Fugro N.V.,2025-09-11,NL00150003E1,0.69,archive
"WorldQuant, LLC",Alfen N.V.,2025-09-11,NL0012817175,1.06,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2025-09-10,NL0000888691,0.69,archive
Citadel Advisors LLC,Pharming Group N.V.,2025-09-10,NL0010391025,0.61,archive
Marshall Wace LLP,Koninklijke KPN N.V.,2025-09-10,NL0000009082,0.47,archive
Numeric Investors LLC,Brunel International N.V.,2025-09-10,NL0010776944,0.49,archive
Voleon Capital Management LP,Alfen N.V.,2025-09-10,NL0012817175,1.47,archive
Citadel Advisors LLC,Signify N.V.,2025-09-09,NL0011821392,1.1,archive
Citadel Securities (Europe) Limited,Ebusco Holding N.V.,2025-09-09,NL0015002AG2,0.68,archive
Millennium International Management LP,Alfen N.V.,2025-09-09,NL0012817175,0.77,archive
Syquant Capital,MFE-MEDIAFOREUROPE N.V.,2025-09-09,NL0015001OJ9,0.0,archive
AKO Capital LLP,Akzo Nobel N.V.,2025-09-08,NL0013267909,1.46,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,2025-09-08,NL0000360618,0.69,archive
Citadel Advisors Europe Limited,Signify N.V.,2025-09-08,NL0011821392,0.8,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2025-09-08,NL0000888691,0.57,archive
GSA Capital Partners LLP,Alfen N.V.,2025-09-08,NL0012817175,0.8,archive
Millennium International Management LP,Pharming Group N.V.,2025-09-08,NL0010391025,1.6,archive
Wellington Management International Ltd.,InPost S.A.,2025-09-08,LU2290522684,0.51,archive
"WorldQuant, LLC",Fugro N.V.,2025-09-08,NL00150003E1,0.47,archive
"WorldQuant, LLC",PostNL N.V.,2025-09-08,NL0009739416,0.69,archive
"Algert Global, LLC",Pharming Group N.V.,2025-09-05,NL0010391025,0.5,archive
Citadel Advisors LLC,OCI N.V.,2025-09-05,NL0010558797,0.47,archive
Citadel Advisors LLC,Pharming Group N.V.,2025-09-05,NL0010391025,0.59,archive
Citadel Advisors LLC,PostNL N.V.,2025-09-05,NL0009739416,0.85,archive
Kintbury Capital LLP,InPost S.A.,2025-09-05,LU2290522684,0.81,archive
Millennium International Management LP,Alfen N.V.,2025-09-05,NL0012817175,0.88,archive
Voleon Capital Management LP,Alfen N.V.,2025-09-05,NL0012817175,1.59,archive
"BlackRock Advisors, LLC",Signify N.V.,2025-09-04,NL0011821392,0.8,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2025-09-04,NL0000888691,0.61,archive
"Connor, Clark & Lunn Investment Management Ltd.",Avantium N.V.,2025-09-04,NL0015002IE0,0.49,archive
Marshall Wace LLP,Koninklijke KPN N.V.,2025-09-04,NL0000009082,0.57,archive
Millennium International Management LP,Fugro N.V.,2025-09-04,NL00150003E1,1.1,archive
Numeric Investors LLC,Fugro N.V.,2025-09-04,NL0000352565,0.52,archive
Voleon Capital Management LP,Avantium N.V.,2025-09-04,NL0015002IE0,1.75,archive
"WorldQuant, LLC",Alfen N.V.,2025-09-04,NL0012817175,0.99,archive
Citadel Advisors Europe Limited,Signify N.V.,2025-09-03,NL0011821392,0.71,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2025-09-03,NL0000888691,0.57,archive
Citadel Advisors LLC,Signify N.V.,2025-09-03,NL0011821392,1.02,archive
Highbridge Capital Management LLC,Pharming Group N.V.,2025-09-03,NL0010391025,1.07,archive
JPMorgan Asset Management (UK) Ltd.,Corbion N.V.,2025-09-03,NL0010583399,0.51,archive
Kintbury Capital LLP,InPost S.A.,2025-09-03,LU2290522684,0.71,archive
Marshall Wace LLP,Randstad N.V.,2025-09-03,NL0000379121,0.69,archive
Millennium International Management LP,Alfen N.V.,2025-09-03,NL0012817175,0.93,archive
Numeric Investors LLC,OCI N.V.,2025-09-03,NL0010558797,0.49,archive
Squarepoint Ops LLC,Signify N.V.,2025-09-03,NL0011821392,0.49,archive
"WorldQuant, LLC",PostNL N.V.,2025-09-03,NL0009739416,0.7,archive
Citadel Advisors Europe Limited,Signify N.V.,2025-09-02,NL0011821392,0.62,archive
Citadel Advisors LLC,Pharming Group N.V.,2025-09-02,NL0010391025,0.61,archive
JPMorgan Asset Management (UK) Ltd.,Basic-Fit N.V.,2025-09-02,NL0011872650,1.8,archive
Marshall Wace LLP,Brunel International N.V.,2025-09-02,NL0010776944,0.6,archive
Marshall Wace LLP,Randstad N.V.,2025-09-02,NL0000379121,0.71,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2025-09-02,NL0012817175,1.24,archive
Qube Research & Technologies Ltd.,Brunel International N.V.,2025-09-02,NL0010776944,0.6,archive
Voleon Capital Management LP,Avantium N.V.,2025-09-02,NL0015002IE0,1.51,archive
"WorldQuant, LLC",Alfen N.V.,2025-09-02,NL0012817175,1.0,archive
Citadel Advisors LLC,Brunel International N.V.,2025-09-01,NL0010776944,0.5,archive
Citadel Advisors LLC,Pharming Group N.V.,2025-09-01,NL0010391025,0.59,archive
Marshall Wace LLP,PostNL N.V.,2025-09-01,NL0009739416,0.49,archive
Marshall Wace LLP,Randstad N.V.,2025-09-01,NL0000379121,0.69,archive
Millennium Capital (DIFC) Limited,Alfen N.V.,2025-09-01,NL0012817175,0.74,archive
Millennium International Management LP,Pharming Group N.V.,2025-09-01,NL0010391025,1.53,archive
"PDT Partners, LLC",Fugro N.V.,2025-09-01,NL00150003E1,0.7,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2025-09-01,NL0012817175,1.13,archive
"WorldQuant, LLC",Alfen N.V.,2025-09-01,NL0012817175,0.89,archive
"BlackRock Advisors, LLC",Aalberts N.V.,2025-08-29,NL0000852564,0.73,archive
BlackRock Investment Management (UK) Limited,Fugro N.V.,2025-08-29,NL00150003E1,0.56,archive
Citadel Advisors Europe Limited,Signify N.V.,2025-08-29,NL0011821392,0.51,archive
GSA Capital Partners LLP,Alfen N.V.,2025-08-29,NL0012817175,0.7,archive
Marshall Wace LLP,InPost S.A.,2025-08-29,LU2290522684,0.9,archive
Marshall Wace LLP,Randstad N.V.,2025-08-29,NL0000379121,0.7,archive
Millennium International Management LP,Alfen N.V.,2025-08-29,NL0012817175,0.83,archive
Millennium International Management LP,Pharming Group N.V.,2025-08-29,NL0010391025,1.47,archive
Numeric Investors LLC,OCI N.V.,2025-08-29,NL0010558797,0.54,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2025-08-29,NL0012817175,1.04,archive
Syquant Capital,MFE-MEDIAFOREUROPE N.V.,2025-08-29,NL0015001OJ9,2.26,archive
Voleon Capital Management LP,Avantium N.V.,2025-08-29,NL0015002IE0,1.41,archive
"WorldQuant, LLC",Alfen N.V.,2025-08-29,NL0012817175,0.7,archive
"WorldQuant, LLC",Fugro N.V.,2025-08-29,NL00150003E1,0.56,archive
"AQR Capital Management, LLC",IMCD N.V.,2025-08-28,NL0010801007,0.6,archive
BlackRock Investment Management (UK) Limited,Fugro N.V.,2025-08-28,NL00150003E1,0.68,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2025-08-28,NL0000888691,0.62,archive
Citadel Advisors LLC,Havas N.V.,2025-08-28,NL0015002AH0,0.59,archive
Citadel Advisors LLC,Signify N.V.,2025-08-28,NL0011821392,0.9,archive
"D. E. Shaw & Co., L.P.",Alfen N.V.,2025-08-28,NL0012817175,1.79,archive
Highbridge Capital Management LLC,Pharming Group N.V.,2025-08-28,NL0010391025,1.22,archive
Millennium International Management LP,Alfen N.V.,2025-08-28,NL0012817175,0.94,archive
Millennium International Management LP,Fugro N.V.,2025-08-28,NL00150003E1,1.0,archive
Millennium International Management LP,Pharming Group N.V.,2025-08-28,NL0010391025,1.51,archive
"PDT Partners, LLC",Fugro N.V.,2025-08-28,NL00150003E1,0.69,archive
"PDT Partners, LLC",PostNL N.V.,2025-08-28,NL0009739416,0.49,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2025-08-28,NL0012817175,1.15,archive
Syquant Capital,MFE-MEDIAFOREUROPE N.V.,2025-08-28,NL0015001OJ9,2.19,archive
Voleon Capital Management LP,Alfen N.V.,2025-08-28,NL0012817175,1.61,archive
"AQR Capital Management, LLC",Koninklijke Philips N.V.,2025-08-27,NL0000009538,0.6,archive
Balyasny Asset Management (UK) LLP,Pharming Group N.V.,2025-08-27,NL0010391025,0.41,archive
Citadel Advisors LLC,Havas N.V.,2025-08-27,NL0015002AH0,0.6,archive
Citadel Securities (Europe) Limited,Ebusco Holding N.V.,2025-08-27,NL0015002AG2,0.7,archive
"D. E. Shaw & Co., L.P.",Alfen N.V.,2025-08-27,NL0012817175,1.6,archive
Marchant MC Ltd.,Basic-Fit N.V.,2025-08-27,NL0011872650,0.64,archive
Millennium Capital (DIFC) Limited,Alfen N.V.,2025-08-27,NL0012817175,0.6,archive
Millennium Capital (DIFC) Limited,Signify N.V.,2025-08-27,NL0011821392,0.5,archive
Millennium International Management LP,Alfen N.V.,2025-08-27,NL0012817175,0.8,archive
Syquant Capital,MFE-MEDIAFOREUROPE N.V.,2025-08-27,NL0015001OJ9,1.04,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2025-08-26,NL0000888691,0.54,archive
Citadel Advisors LLC,Havas N.V.,2025-08-26,NL0015002AH0,0.59,archive
Citadel Securities (Europe) Limited,Ebusco Holding N.V.,2025-08-26,NL0015002AG2,0.57,archive
GSA Capital Partners LLP,Alfen N.V.,2025-08-26,NL0012817175,0.6,archive
Millennium International Management LP,BE Semiconductor Industries N.V.,2025-08-26,NL0012866412,0.2,archive
Millennium International Management LP,Galapagos NV,2025-08-26,BE0003818359,0.29,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2025-08-26,NL0012817175,0.5,archive
"AQR Capital Management, LLC",Alfen N.V.,2025-08-25,NL0012817175,0.56,archive
Citadel Advisors LLC,Signify N.V.,2025-08-25,NL0011821392,0.86,archive
"Connor, Clark & Lunn Investment Management Ltd.",Avantium N.V.,2025-08-25,NL0015002IE0,0.58,archive
Millennium International Management LP,Fugro N.V.,2025-08-25,NL00150003E1,0.93,archive
Qube Research & Technologies Ltd.,Galapagos NV,2025-08-25,BE0003818359,0.59,archive
Syquant Capital,MFE-MEDIAFOREUROPE N.V.,2025-08-25,NL0015001OJ9,0.95,archive
Voleon Capital Management LP,Alfen N.V.,2025-08-25,NL0012817175,1.44,archive
"WorldQuant, LLC",Fugro N.V.,2025-08-25,NL00150003E1,0.47,archive
"WorldQuant, LLC",PostNL N.V.,2025-08-25,NL0009739416,0.6,archive
Balyasny Asset Management (UK) LLP,Pharming Group N.V.,2025-08-22,NL0010391025,0.54,archive
Canada Pension Plan Investment Board,BE Semiconductor Industries N.V.,2025-08-22,NL0012866412,1.02,archive
Citadel Advisors LLC,Havas N.V.,2025-08-22,NL0015002AH0,0.6,archive
Citadel Advisors LLC,OCI N.V.,2025-08-22,NL0010558797,0.5,archive
"D. E. Shaw & Co., L.P.",Pharming Group N.V.,2025-08-22,NL0010391025,0.32,archive
"D. E. Shaw & Co., L.P.",Signify N.V.,2025-08-22,NL0011821392,0.48,archive
Millennium International Management LP,Alfen N.V.,2025-08-22,NL0012817175,0.7,archive
Millennium International Management LP,BE Semiconductor Industries N.V.,2025-08-22,NL0012866412,0.51,archive
Millennium International Management LP,Galapagos NV,2025-08-22,BE0003818359,0.5,archive
Millennium International Management LP,Pharming Group N.V.,2025-08-22,NL0010391025,1.45,archive
Numeric Investors LLC,OCI N.V.,2025-08-22,NL0010558797,0.69,archive
"PDT Partners, LLC",Alfen N.V.,2025-08-22,NL0012817175,2.06,archive
Citadel Advisors LLC,Brunel International N.V.,2025-08-21,NL0010776944,0.49,archive
Citadel Advisors LLC,Havas N.V.,2025-08-21,NL0015002AH0,0.59,archive
Marshall Wace LLP,Koninklijke KPN N.V.,2025-08-21,NL0000009082,0.69,archive
Millennium International Management LP,Alfen N.V.,2025-08-21,NL0012817175,0.63,archive
"BlackRock Advisors, LLC",Aalberts N.V.,2025-08-20,NL0000852564,0.62,archive
Citadel Securities (Europe) Limited,Ebusco Holding N.V.,2025-08-20,NL0015002AG2,0.34,archive
"D. E. Shaw & Co., L.P.",Alfen N.V.,2025-08-20,NL0012817175,1.5,archive
Millennium Capital (DIFC) Limited,Alfen N.V.,2025-08-20,NL0012817175,0.5,archive
Voleon Capital Management LP,Alfen N.V.,2025-08-20,NL0012817175,1.53,archive
"WorldQuant, LLC",PostNL N.V.,2025-08-20,NL0009739416,0.51,archive
"Arrowstreet Capital, Limited Partnership",Galapagos NV,2025-08-19,BE0003818359,1.69,archive
"BlackRock Institutional Trust Company, National Association",IMCD N.V.,2025-08-19,NL0010801007,0.6,archive
Citadel Securities (Europe) Limited,Ebusco Holding N.V.,2025-08-19,NL0015002AG2,0.68,archive
"D. E. Shaw & Co., L.P.",Alfen N.V.,2025-08-19,NL0012817175,1.46,archive
Marshall Wace LLP,Randstad N.V.,2025-08-19,NL0000379121,0.69,archive
"PDT Partners, LLC",Fugro N.V.,2025-08-19,NL00150003E1,0.7,archive
AKO Capital LLP,Akzo Nobel N.V.,2025-08-18,NL0013267909,1.5,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2025-08-18,NL0000888691,0.49,archive
Citadel Advisors LLC,Pharming Group N.V.,2025-08-18,NL0010391025,0.48,archive
Citadel Securities (Europe) Limited,Ebusco Holding N.V.,2025-08-18,NL0015002AG2,0.92,archive
"D. E. Shaw & Co., L.P.",Alfen N.V.,2025-08-18,NL0012817175,1.56,archive
Millennium International Management LP,Pharming Group N.V.,2025-08-18,NL0010391025,1.51,archive
Voleon Capital Management LP,Avantium N.V.,2025-08-18,NL0015002IE0,1.6,archive
Citadel Securities (Europe) Limited,Ebusco Holding N.V.,2025-08-15,NL0015002AG2,0.43,archive
"D. E. Shaw & Co., L.P.",Pharming Group N.V.,2025-08-15,NL0010391025,0.59,archive
Millennium International Management LP,Fugro N.V.,2025-08-15,NL00150003E1,0.81,archive
Millennium International Management LP,Pharming Group N.V.,2025-08-15,NL0010391025,1.49,archive
"PDT Partners, LLC",Alfen N.V.,2025-08-15,NL0012817175,2.18,archive
Citadel Securities (Europe) Limited,Ebusco Holding N.V.,2025-08-14,NL0015002AG2,0.7,archive
"D. E. Shaw & Co., L.P.",Alfen N.V.,2025-08-14,NL0012817175,1.67,archive
Kintbury Capital LLP,Akzo Nobel N.V.,2025-08-14,NL0013267909,0.5,archive
Kintbury Capital LLP,InPost S.A.,2025-08-14,LU2290522684,0.63,archive
Millennium International Management LP,Pharming Group N.V.,2025-08-14,NL0010391025,1.5,archive
"PDT Partners, LLC",Fugro N.V.,2025-08-14,NL00150003E1,0.68,archive
Syquant Capital,MFE-MEDIAFOREUROPE N.V.,2025-08-14,NL0015001OJ9,0.81,archive
"BlackRock Advisors, LLC",Aalberts N.V.,2025-08-13,NL0000852564,0.5,archive
"D. E. Shaw & Co., L.P.",Pharming Group N.V.,2025-08-13,NL0010391025,0.6,archive
Marshall Wace LLP,InPost S.A.,2025-08-13,LU2290522684,0.86,archive
Marshall Wace LLP,Koninklijke KPN N.V.,2025-08-13,NL0000009082,0.78,archive
Qube Research & Technologies Ltd.,Brunel International N.V.,2025-08-13,NL0010776944,0.5,archive
Syquant Capital,MFE-MEDIAFOREUROPE N.V.,2025-08-13,NL0015001OJ9,0.79,archive
Voleon Capital Management LP,Avantium N.V.,2025-08-13,NL0015002IE0,1.51,archive
Balyasny Asset Management (UK) LLP,Pharming Group N.V.,2025-08-12,NL0010391025,0.95,archive
