issuer_name,position_holder,position_date,isin,net_short_position,source
Aperam S.A.,Millennium Capital Partners LLP,2024-10-30,LU0569974404,0.56,archive
Alfen N.V.,Qube Research & Technologies Ltd.,2024-10-30,NL0012817175,1.76,archive
Flow Traders Ltd.,Qube Research & Technologies Ltd.,2024-10-30,BMG3602E1084,1.48,archive
OCI N.V.,Qube Research & Technologies Ltd.,2024-10-30,NL0010558797,1.52,archive
Fugro N.V.,TFG Asset Management UK LLP,2024-10-30,NL0000352565,0.2,archive
Lakefront Biotherapeutics NV,"Arrowstreet Capital, Limited Partnership",2024-10-29,BE0003818359,1.19,archive
Alfen N.V.,Citadel Advisors LLC,2024-10-29,NL0012817175,1.4,archive
Alfen N.V.,Millennium Capital Partners LLP,2024-10-29,NL0012817175,1.29,archive
Aperam S.A.,Millennium Capital Partners LLP,2024-10-29,LU0569974404,0.6,archive
OCI N.V.,Qube Research & Technologies Ltd.,2024-10-29,NL0010558797,1.41,archive
Pharming Group N.V.,Qube Research & Technologies Ltd.,2024-10-29,NL0010391025,0.69,archive
Alfen N.V.,"WorldQuant, LLC",2024-10-29,NL0012817175,1.07,archive
Alfen N.V.,Millennium International Management LP,2024-10-28,NL0012817175,0.44,archive
OCI N.V.,Millennium International Management LP,2024-10-28,NL0010558797,0.0,archive
PostNL N.V.,Millennium International Management LP,2024-10-28,NL0009739416,0.39,archive
Signify N.V.,"Point72 Europe (London), LLP",2024-10-28,NL0011821392,0.44,archive
Alfen N.V.,Qube Research & Technologies Ltd.,2024-10-28,NL0012817175,1.64,archive
OCI N.V.,Qube Research & Technologies Ltd.,2024-10-28,NL0010558797,1.31,archive
Pharming Group N.V.,Qube Research & Technologies Ltd.,2024-10-28,NL0010391025,0.7,archive
PostNL N.V.,Qube Research & Technologies Ltd.,2024-10-28,NL0009739416,1.31,archive
Alfen N.V.,"WorldQuant, LLC",2024-10-28,NL0012817175,1.11,archive
Signify N.V.,AKO Capital LLP,2024-10-25,NL0011821392,0.69,archive
Alfen N.V.,"Arrowstreet Capital, Limited Partnership",2024-10-25,NL0012817175,2.0,archive
Alfen N.V.,Citadel Advisors LLC,2024-10-25,NL0012817175,1.38,archive
AMG Critical Materials N.V.,Marshall Wace LLP,2024-10-25,NL0000888691,1.12,archive
Alfen N.V.,Millennium International Management LP,2024-10-25,NL0012817175,0.54,archive
OCI N.V.,Millennium International Management LP,2024-10-25,NL0010558797,0.75,archive
Pharming Group N.V.,Millennium International Management LP,2024-10-25,NL0010391025,2.61,archive
Signify N.V.,"Point72 Europe (London), LLP",2024-10-25,NL0011821392,0.5,archive
Alfen N.V.,Qube Research & Technologies Ltd.,2024-10-25,NL0012817175,1.76,archive
AMG Critical Materials N.V.,Qube Research & Technologies Ltd.,2024-10-25,NL0000888691,2.07,archive
Flow Traders Ltd.,Qube Research & Technologies Ltd.,2024-10-25,BMG3602E1084,1.58,archive
Pharming Group N.V.,Qube Research & Technologies Ltd.,2024-10-25,NL0010391025,0.68,archive
Alfen N.V.,Teacher Retirement System of Texas,2024-10-25,NL0012817175,0.05,archive
Alfen N.V.,Citadel Advisors LLC,2024-10-24,NL0012817175,1.44,archive
Akzo Nobel N.V.,Marshall Wace LLP,2024-10-24,NL0013267909,0.91,archive
Alfen N.V.,Millennium International Management LP,2024-10-24,NL0012817175,0.66,archive
OCI N.V.,Millennium International Management LP,2024-10-24,NL0010558797,0.61,archive
Pharming Group N.V.,Millennium International Management LP,2024-10-24,NL0010391025,2.51,archive
PostNL N.V.,Millennium International Management LP,2024-10-24,NL0009739416,0.5,archive
Alfen N.V.,"PDT Partners, LLC",2024-10-24,NL0012817175,1.99,archive
AMG Critical Materials N.V.,"PDT Partners, LLC",2024-10-24,NL0000888691,0.57,archive
Alfen N.V.,Qube Research & Technologies Ltd.,2024-10-24,NL0012817175,1.89,archive
Pharming Group N.V.,Qube Research & Technologies Ltd.,2024-10-24,NL0010391025,0.8,archive
TomTom N.V.,Qube Research & Technologies Ltd.,2024-10-24,NL0013332471,0.6,archive
Akzo Nobel N.V.,AKO Capital LLP,2024-10-23,NL0013267909,1.22,archive
AMG Critical Materials N.V.,"AQR Capital Management, LLC",2024-10-23,NL0000888691,0.68,archive
Alfen N.V.,Citadel Advisors LLC,2024-10-23,NL0012817175,1.6,archive
Alfen N.V.,Millennium International Management LP,2024-10-23,NL0012817175,0.78,archive
AMG Critical Materials N.V.,"PDT Partners, LLC",2024-10-23,NL0000888691,0.6,archive
Avantium N.V.,Qube Research & Technologies Ltd.,2024-10-23,NL0012047823,0.8,archive
Basic-Fit N.V.,Qube Research & Technologies Ltd.,2024-10-23,NL0011872650,1.09,archive
OCI N.V.,Qube Research & Technologies Ltd.,2024-10-23,NL0010558797,1.13,archive
Randstad N.V.,AKO Capital LLP,2024-10-22,NL0000379121,0.76,archive
Alfen N.V.,"BlackRock Advisors, LLC",2024-10-22,NL0012817175,0.47,archive
BE Semiconductor Industries N.V.,Canada Pension Plan Investment Board,2024-10-22,NL0012866412,0.68,archive
Pharming Group N.V.,Millennium International Management LP,2024-10-22,NL0010391025,2.25,archive
Basic-Fit N.V.,Qube Research & Technologies Ltd.,2024-10-22,NL0011872650,1.1,archive
Pharming Group N.V.,Qube Research & Technologies Ltd.,2024-10-22,NL0010391025,0.66,archive
Alfen N.V.,"BlackRock Advisors, LLC",2024-10-21,NL0012817175,0.57,archive
Alfen N.V.,"BlackRock Financial Management, Inc.",2024-10-21,NL0012817175,0.26,archive
Koninklijke Ahold Delhaize N.V.,Ilex Capital Partners (UK) LLP,2024-10-21,NL0011794037,0.59,archive
Koninklijke KPN N.V.,Marshall Wace LLP,2024-10-21,NL0000009082,1.0,archive
Alfen N.V.,Millennium International Management LP,2024-10-21,NL0012817175,0.88,archive
PostNL N.V.,Qube Research & Technologies Ltd.,2024-10-21,NL0009739416,1.23,archive
Alfen N.V.,"WorldQuant, LLC",2024-10-21,NL0012817175,1.03,archive
Alfen N.V.,Citadel Advisors LLC,2024-10-18,NL0012817175,1.55,archive
Ebusco Holding N.V.,Citadel Securities (Europe) Limited,2024-10-18,NL0015000CZ2,0.44,archive
Alfen N.V.,Millennium International Management LP,2024-10-18,NL0012817175,0.92,archive
Basic-Fit N.V.,Qube Research & Technologies Ltd.,2024-10-18,NL0011872650,1.08,archive
OCI N.V.,Qube Research & Technologies Ltd.,2024-10-18,NL0010558797,1.0,archive
Alfen N.V.,"WorldQuant, LLC",2024-10-18,NL0012817175,0.97,archive
BE Semiconductor Industries N.V.,"AQR Capital Management, LLC",2024-10-17,NL0012866412,0.5,archive
SBM Offshore N.V.,Balyasny Asset Management (UK) LLP,2024-10-17,NL0000360618,0.48,archive
Alfen N.V.,Citadel Advisors LLC,2024-10-17,NL0012817175,1.6,archive
Koninklijke Ahold Delhaize N.V.,Ilex Capital Partners (UK) LLP,2024-10-17,NL0011794037,0.6,archive
Alfen N.V.,Millennium International Management LP,2024-10-17,NL0012817175,1.08,archive
Aperam S.A.,Qube Research & Technologies Ltd.,2024-10-17,LU0569974404,0.52,archive
PostNL N.V.,Qube Research & Technologies Ltd.,2024-10-17,NL0009739416,1.19,archive
Alfen N.V.,"WorldQuant, LLC",2024-10-17,NL0012817175,0.76,archive
Signify N.V.,AKO Capital LLP,2024-10-16,NL0011821392,0.93,archive
AMG Critical Materials N.V.,Capital Fund Management S.A.,2024-10-16,NL0000888691,0.47,archive
Alfen N.V.,"Connor, Clark & Lunn Investment Management Ltd.",2024-10-16,NL0012817175,0.66,archive
AMG Critical Materials N.V.,"D. E. Shaw & Co., L.P.",2024-10-16,NL0000888691,0.78,archive
Akzo Nobel N.V.,Marshall Wace LLP,2024-10-16,NL0013267909,0.8,archive
PostNL N.V.,Marshall Wace LLP,2024-10-16,NL0009739416,0.8,archive
Alfen N.V.,Millennium International Management LP,2024-10-16,NL0012817175,1.24,archive
Pharming Group N.V.,Millennium International Management LP,2024-10-16,NL0010391025,2.11,archive
Alfen N.V.,Qube Research & Technologies Ltd.,2024-10-16,NL0012817175,2.18,archive
OCI N.V.,Qube Research & Technologies Ltd.,2024-10-16,NL0010558797,0.93,archive
Alfen N.V.,"WorldQuant, LLC",2024-10-16,NL0012817175,0.54,archive
Fugro N.V.,Balyasny Asset Management (UK) LLP,2024-10-15,NL00150003E1,0.49,archive
AMG Critical Materials N.V.,Capital Fund Management S.A.,2024-10-15,NL0000888691,0.5,archive
Alfen N.V.,Citadel Advisors LLC,2024-10-15,NL0012817175,1.53,archive
AMG Critical Materials N.V.,"D. E. Shaw & Co., L.P.",2024-10-15,NL0000888691,0.8,archive
AMG Critical Materials N.V.,Marshall Wace LLP,2024-10-15,NL0000888691,1.08,archive
TomTom N.V.,Otus Capital Management Ltd.,2024-10-15,NL0013332471,1.11,archive
Alfen N.V.,"PDT Partners, LLC",2024-10-15,NL0012817175,2.03,archive
Alfen N.V.,Qube Research & Technologies Ltd.,2024-10-15,NL0012817175,2.2,archive
AMG Critical Materials N.V.,Qube Research & Technologies Ltd.,2024-10-15,NL0000888691,2.18,archive
Flow Traders Ltd.,Qube Research & Technologies Ltd.,2024-10-15,BMG3602E1084,1.66,archive
AMG Critical Materials N.V.,Actus Ray Partners Limited,2024-10-14,NL0000888691,0.5,archive
Koninklijke Ahold Delhaize N.V.,Ilex Capital Partners (UK) LLP,2024-10-14,NL0011794037,0.59,archive
Alfen N.V.,Millennium International Management LP,2024-10-14,NL0012817175,1.46,archive
TomTom N.V.,Otus Capital Management Ltd.,2024-10-14,NL0013332471,1.03,archive
Alfen N.V.,Qube Research & Technologies Ltd.,2024-10-14,NL0012817175,1.91,archive
AMG Critical Materials N.V.,Qube Research & Technologies Ltd.,2024-10-14,NL0000888691,2.2,archive
Avantium N.V.,Qube Research & Technologies Ltd.,2024-10-14,NL0012047823,0.71,archive
PostNL N.V.,Qube Research & Technologies Ltd.,2024-10-14,NL0009739416,1.2,archive
Pharming Group N.V.,"Arrowstreet Capital, Limited Partnership",2024-10-11,NL0010391025,1.0,archive
BE Semiconductor Industries N.V.,Canada Pension Plan Investment Board,2024-10-11,NL0012866412,0.71,archive
Alfen N.V.,Citadel Advisors LLC,2024-10-11,NL0012817175,1.15,archive
Koninklijke KPN N.V.,Marshall Wace LLP,2024-10-11,NL0000009082,0.98,archive
Alfen N.V.,Millennium Capital Partners LLP,2024-10-11,NL0012817175,1.37,archive
Pharming Group N.V.,Millennium International Management LP,2024-10-11,NL0010391025,2.01,archive
TomTom N.V.,Otus Capital Management Ltd.,2024-10-11,NL0013332471,0.82,archive
Alfen N.V.,"PDT Partners, LLC",2024-10-11,NL0012817175,1.94,archive
Alfen N.V.,Qube Research & Technologies Ltd.,2024-10-11,NL0012817175,1.84,archive
AMG Critical Materials N.V.,Qube Research & Technologies Ltd.,2024-10-11,NL0000888691,2.19,archive
OCI N.V.,Qube Research & Technologies Ltd.,2024-10-11,NL0010558797,0.77,archive
Pharming Group N.V.,Qube Research & Technologies Ltd.,2024-10-11,NL0010391025,0.53,archive
PostNL N.V.,Qube Research & Technologies Ltd.,2024-10-11,NL0009739416,1.13,archive
Randstad N.V.,AKO Capital LLP,2024-10-10,NL0000379121,0.87,archive
Pharming Group N.V.,"Arrowstreet Capital, Limited Partnership",2024-10-10,NL0010391025,0.91,archive
Fugro N.V.,Balyasny Asset Management (UK) LLP,2024-10-10,NL00150003E1,0.58,archive
SBM Offshore N.V.,Balyasny Asset Management (UK) LLP,2024-10-10,NL0000360618,0.59,archive
BE Semiconductor Industries N.V.,Canada Pension Plan Investment Board,2024-10-10,NL0012866412,0.65,archive
Alfen N.V.,Citadel Advisors LLC,2024-10-10,NL0012817175,1.26,archive
Pharming Group N.V.,GSA Capital Partners LLP,2024-10-10,NL0010391025,0.51,archive
Alfen N.V.,Millennium International Management LP,2024-10-10,NL0012817175,1.78,archive
Alfen N.V.,Qube Research & Technologies Ltd.,2024-10-10,NL0012817175,1.5,archive
Aperam S.A.,Qube Research & Technologies Ltd.,2024-10-10,LU0569974404,0.49,archive
Avantium N.V.,Qube Research & Technologies Ltd.,2024-10-10,NL0012047823,0.65,archive
Flow Traders Ltd.,Qube Research & Technologies Ltd.,2024-10-10,BMG3602E1084,1.75,archive
Alfen N.V.,Citadel Advisors LLC,2024-10-09,NL0012817175,1.36,archive
AMG Critical Materials N.V.,"D. E. Shaw & Co., L.P.",2024-10-09,NL0000888691,0.78,archive
PostNL N.V.,GSA Capital Partners LLP,2024-10-09,NL0009739416,0.51,archive
PostNL N.V.,Marshall Wace LLP,2024-10-09,NL0009739416,0.71,archive
Pharming Group N.V.,Millennium International Management LP,2024-10-09,NL0010391025,1.93,archive
AMG Critical Materials N.V.,Qube Research & Technologies Ltd.,2024-10-09,NL0000888691,2.2,archive
Avantium N.V.,Qube Research & Technologies Ltd.,2024-10-09,NL0012047823,0.71,archive
Basic-Fit N.V.,Qube Research & Technologies Ltd.,2024-10-09,NL0011872650,1.1,archive
PostNL N.V.,Qube Research & Technologies Ltd.,2024-10-09,NL0009739416,1.01,archive
Akzo Nobel N.V.,AKO Capital LLP,2024-10-08,NL0013267909,1.12,archive
Pharming Group N.V.,"Arrowstreet Capital, Limited Partnership",2024-10-08,NL0010391025,0.83,archive
Alfen N.V.,"Connor, Clark & Lunn Investment Management Ltd.",2024-10-08,NL0012817175,0.78,archive
Koninklijke KPN N.V.,Marshall Wace LLP,2024-10-08,NL0000009082,1.07,archive
PostNL N.V.,Marshall Wace LLP,2024-10-08,NL0009739416,0.69,archive
Alfen N.V.,Millennium Capital Partners LLP,2024-10-08,NL0012817175,1.47,archive
Alfen N.V.,Millennium International Management LP,2024-10-08,NL0012817175,1.61,archive
Alfen N.V.,Qube Research & Technologies Ltd.,2024-10-08,NL0012817175,1.38,archive
Alfen N.V.,Citadel Securities (Europe) Limited,2024-10-07,NL0012817175,0.41,archive
Alfen N.V.,"Cubist Systematic Strategies, LLC",2024-10-07,NL0012817175,0.45,archive
Pharming Group N.V.,Millennium International Management LP,2024-10-07,NL0010391025,1.89,archive
TomTom N.V.,Otus Capital Management Ltd.,2024-10-07,NL0013332471,0.67,archive
Alfen N.V.,Qube Research & Technologies Ltd.,2024-10-07,NL0012817175,1.27,archive
Fugro N.V.,TFG Asset Management UK LLP,2024-10-07,NL0000352565,0.6,archive
Akzo Nobel N.V.,AKO Capital LLP,2024-10-04,NL0013267909,1.22,archive
Signify N.V.,BlackRock Investment Management (UK) Limited,2024-10-04,NL0011821392,0.22,archive
Pharming Group N.V.,Citadel Advisors LLC,2024-10-04,NL0010391025,0.47,archive
Alfen N.V.,"Cubist Systematic Strategies, LLC",2024-10-04,NL0012817175,0.54,archive
Avantium N.V.,Qube Research & Technologies Ltd.,2024-10-04,NL0012047823,0.88,archive
Flow Traders Ltd.,Qube Research & Technologies Ltd.,2024-10-04,BMG3602E1084,1.84,archive
Signify N.V.,BlackRock Investment Management (UK) Limited,2024-10-03,NL0011821392,0.53,archive
Alfen N.V.,Citadel Advisors LLC,2024-10-03,NL0012817175,1.4,archive
Alfen N.V.,Millennium Capital Partners LLP,2024-10-03,NL0012817175,1.57,archive
Alfen N.V.,Millennium International Management LP,2024-10-03,NL0012817175,1.59,archive
AMG Critical Materials N.V.,"PDT Partners, LLC",2024-10-03,NL0000888691,0.5,archive
Alfen N.V.,Qube Research & Technologies Ltd.,2024-10-03,NL0012817175,1.44,archive
Flow Traders Ltd.,Qube Research & Technologies Ltd.,2024-10-03,BMG3602E1084,1.79,archive
OCI N.V.,Qube Research & Technologies Ltd.,2024-10-03,NL0010558797,0.8,archive
Basic-Fit N.V.,Wellington Management International Ltd.,2024-10-03,NL0011872650,0.53,archive
Signify N.V.,BlackRock Investment Management (UK) Limited,2024-10-02,NL0011821392,0.6,archive
Alfen N.V.,"Cubist Systematic Strategies, LLC",2024-10-02,NL0012817175,0.6,archive
Akzo Nobel N.V.,Marshall Wace LLP,2024-10-02,NL0013267909,0.72,archive
Flow Traders Ltd.,Qube Research & Technologies Ltd.,2024-10-02,BMG3602E1084,1.8,archive
OCI N.V.,Qube Research & Technologies Ltd.,2024-10-02,NL0010558797,0.79,archive
Fugro N.V.,Balyasny Asset Management (UK) LLP,2024-10-01,NL00150003E1,0.65,archive
Alfen N.V.,Citadel Advisors LLC,2024-10-01,NL0012817175,1.3,archive
Alfen N.V.,"Cubist Systematic Strategies, LLC",2024-10-01,NL0012817175,0.55,archive
Koninklijke KPN N.V.,Marshall Wace LLP,2024-10-01,NL0000009082,1.1,archive
Aperam S.A.,Millennium Capital Partners LLP,2024-10-01,LU0569974404,0.58,archive
Alfen N.V.,Millennium International Management LP,2024-10-01,NL0012817175,1.62,archive
Pharming Group N.V.,Millennium International Management LP,2024-10-01,NL0010391025,1.9,archive
Alfen N.V.,Qube Research & Technologies Ltd.,2024-10-01,NL0012817175,1.2,archive
Basic-Fit N.V.,Qube Research & Technologies Ltd.,2024-10-01,NL0011872650,1.0,archive
OCI N.V.,Qube Research & Technologies Ltd.,2024-10-01,NL0010558797,0.8,archive
Basic-Fit N.V.,Wellington Management International Ltd.,2024-10-01,NL0011872650,0.68,archive
Alfen N.V.,"Arrowstreet Capital, Limited Partnership",2024-09-30,NL0012817175,1.9,archive
Pharming Group N.V.,"Arrowstreet Capital, Limited Partnership",2024-09-30,NL0010391025,0.72,archive
Alfen N.V.,"Connor, Clark & Lunn Investment Management Ltd.",2024-09-30,NL0012817175,0.89,archive
Alfen N.V.,Millennium Capital Partners LLP,2024-09-30,NL0012817175,1.69,archive
Aperam S.A.,Millennium Capital Partners LLP,2024-09-30,LU0569974404,0.6,archive
Alfen N.V.,Millennium International Management LP,2024-09-30,NL0012817175,1.59,archive
Flow Traders Ltd.,"PDT Partners, LLC",2024-09-30,BMG3602E1084,0.48,archive
Alfen N.V.,Qube Research & Technologies Ltd.,2024-09-30,NL0012817175,1.12,archive
OCI N.V.,Qube Research & Technologies Ltd.,2024-09-30,NL0010558797,0.79,archive
Akzo Nobel N.V.,AKO Capital LLP,2024-09-27,NL0013267909,1.38,archive
AMG Critical Materials N.V.,Capital Fund Management S.A.,2024-09-27,NL0000888691,0.42,archive
Alfen N.V.,Citadel Advisors LLC,2024-09-27,NL0012817175,1.29,archive
Pharming Group N.V.,Citadel Advisors LLC,2024-09-27,NL0010391025,0.52,archive
Pharming Group N.V.,Citadel Securities (Europe) Limited,2024-09-27,NL0010391025,0.33,archive
AMG Critical Materials N.V.,Marshall Wace LLP,2024-09-27,NL0000888691,1.18,archive
ArcelorMittal S.A.,Marshall Wace LLP,2024-09-27,LU1598757687,0.45,archive
Aperam S.A.,Millennium Capital Partners LLP,2024-09-27,LU0569974404,0.49,archive
Aperam S.A.,Qube Research & Technologies Ltd.,2024-09-27,LU0569974404,0.51,archive
OCI N.V.,Qube Research & Technologies Ltd.,2024-09-27,NL0010558797,0.82,archive
ARCADIS N.V.,SIH Partners LLLP,2024-09-27,NL0006237562,0.34,archive
Alfen N.V.,Teacher Retirement System of Texas,2024-09-27,NL0012817175,0.59,archive
Akzo Nobel N.V.,AKO Capital LLP,2024-09-26,NL0013267909,1.48,archive
Pharming Group N.V.,"Arrowstreet Capital, Limited Partnership",2024-09-26,NL0010391025,0.65,archive
AMG Critical Materials N.V.,Capital Fund Management S.A.,2024-09-26,NL0000888691,0.54,archive
Alfen N.V.,Citadel Advisors LLC,2024-09-26,NL0012817175,1.46,archive
Alfen N.V.,Citadel Securities (Europe) Limited,2024-09-26,NL0012817175,0.58,archive
Avantium N.V.,Citadel Securities (Europe) Limited,2024-09-26,NL0012047823,0.46,archive
Ebusco Holding N.V.,Citadel Securities (Europe) Limited,2024-09-26,NL0015000CZ2,0.56,archive
Pharming Group N.V.,Citadel Securities (Europe) Limited,2024-09-26,NL0010391025,0.66,archive
Alfen N.V.,Millennium Capital Partners LLP,2024-09-26,NL0012817175,1.75,archive
Aperam S.A.,Millennium Capital Partners LLP,2024-09-26,LU0569974404,0.51,archive
Alfen N.V.,"PDT Partners, LLC",2024-09-26,NL0012817175,1.86,archive
Alfen N.V.,Qube Research & Technologies Ltd.,2024-09-26,NL0012817175,0.92,archive
Basic-Fit N.V.,Qube Research & Technologies Ltd.,2024-09-26,NL0011872650,0.96,archive
PostNL N.V.,Qube Research & Technologies Ltd.,2024-09-26,NL0009739416,0.97,archive
AMG Critical Materials N.V.,Capital Fund Management S.A.,2024-09-25,NL0000888691,0.6,archive
Akzo Nobel N.V.,Marshall Wace LLP,2024-09-25,NL0013267909,0.6,archive
AMG Critical Materials N.V.,Marshall Wace LLP,2024-09-25,NL0000888691,1.29,archive
Alfen N.V.,Qube Research & Technologies Ltd.,2024-09-25,NL0012817175,1.48,archive
OCI N.V.,Qube Research & Technologies Ltd.,2024-09-25,NL0010558797,0.96,archive
BE Semiconductor Industries N.V.,"WorldQuant, LLC",2024-09-25,NL0012866412,0.49,archive
Basic-Fit N.V.,BlackRock Investment Management (UK) Limited,2024-09-24,NL0011872650,1.19,archive
Vivoryon Therapeutics N.V.,Citadel Securities (Europe) Limited,2024-09-24,NL00150002Q7,0.42,archive
Alfen N.V.,Millennium International Management LP,2024-09-24,NL0012817175,1.63,archive
Alfen N.V.,Qube Research & Technologies Ltd.,2024-09-24,NL0012817175,1.64,archive
Aperam S.A.,Qube Research & Technologies Ltd.,2024-09-24,LU0569974404,0.47,archive
ARCADIS N.V.,SIH Partners LLLP,2024-09-24,NL0006237562,0.69,archive
Alfen N.V.,Citadel Advisors LLC,2024-09-23,NL0012817175,1.55,archive
Alfen N.V.,Citadel Securities (Europe) Limited,2024-09-23,NL0012817175,0.73,archive
ArcelorMittal S.A.,Marshall Wace LLP,2024-09-23,LU1598757687,0.59,archive
Alfen N.V.,Millennium Capital Partners LLP,2024-09-23,NL0012817175,1.89,archive
AMG Critical Materials N.V.,Capital Fund Management S.A.,2024-09-20,NL0000888691,0.57,archive
Alfen N.V.,Citadel Advisors LLC,2024-09-20,NL0012817175,1.6,archive
Vivoryon Therapeutics N.V.,Citadel Securities (Europe) Limited,2024-09-20,NL00150002Q7,0.5,archive
TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,2024-09-20,NL0013332471,1.49,archive
PostNL N.V.,Marshall Wace LLP,2024-09-20,NL0009739416,0.79,archive
Alfen N.V.,Millennium Capital Partners LLP,2024-09-20,NL0012817175,1.9,archive
Pharming Group N.V.,Millennium International Management LP,2024-09-20,NL0010391025,1.82,archive
Alfen N.V.,Qube Research & Technologies Ltd.,2024-09-20,NL0012817175,1.87,archive
AMG Critical Materials N.V.,Qube Research & Technologies Ltd.,2024-09-20,NL0000888691,2.1,archive
Avantium N.V.,Qube Research & Technologies Ltd.,2024-09-20,NL0012047823,0.9,archive
Basic-Fit N.V.,Qube Research & Technologies Ltd.,2024-09-20,NL0011872650,1.01,archive
Flow Traders Ltd.,Qube Research & Technologies Ltd.,2024-09-20,BMG3602E1084,1.78,archive
PostNL N.V.,Qube Research & Technologies Ltd.,2024-09-20,NL0009739416,1.01,archive
TomTom N.V.,Qube Research & Technologies Ltd.,2024-09-20,NL0013332471,0.52,archive
ARCADIS N.V.,SIH Partners LLLP,2024-09-20,NL0006237562,0.72,archive
Pharming Group N.V.,"Arrowstreet Capital, Limited Partnership",2024-09-19,NL0010391025,0.5,archive
AMG Critical Materials N.V.,Capital Fund Management S.A.,2024-09-19,NL0000888691,0.46,archive
Vivoryon Therapeutics N.V.,Citadel Securities (Europe) Limited,2024-09-19,NL00150002Q7,0.49,archive
TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,2024-09-19,NL0013332471,1.54,archive
ArcelorMittal S.A.,Marshall Wace LLP,2024-09-19,LU1598757687,0.66,archive
Alfen N.V.,Millennium Capital Partners LLP,2024-09-19,NL0012817175,1.88,archive
Alfen N.V.,Millennium International Management LP,2024-09-19,NL0012817175,1.57,archive
Alfen N.V.,"PDT Partners, LLC",2024-09-19,NL0012817175,1.91,archive
Alfen N.V.,Qube Research & Technologies Ltd.,2024-09-19,NL0012817175,1.17,archive
TomTom N.V.,Qube Research & Technologies Ltd.,2024-09-19,NL0013332471,0.48,archive
ARCADIS N.V.,SIH Partners LLLP,2024-09-19,NL0006237562,1.11,archive
AMG Critical Materials N.V.,Acadian Asset Management LLC.,2024-09-18,NL0000888691,0.6,archive
Alfen N.V.,Citadel Advisors LLC,2024-09-18,NL0012817175,1.5,archive
Alfen N.V.,Citadel Securities (Europe) Limited,2024-09-18,NL0012817175,0.68,archive
Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,2024-09-18,NL0011872650,0.7,archive
AMG Critical Materials N.V.,Marshall Wace LLP,2024-09-18,NL0000888691,1.31,archive
Alfen N.V.,Millennium Capital Partners LLP,2024-09-18,NL0012817175,1.94,archive
Alfen N.V.,Millennium International Management LP,2024-09-18,NL0012817175,1.66,archive
Alfen N.V.,"PDT Partners, LLC",2024-09-18,NL0012817175,1.88,archive
Alfen N.V.,Qube Research & Technologies Ltd.,2024-09-18,NL0012817175,1.3,archive
AMG Critical Materials N.V.,Qube Research & Technologies Ltd.,2024-09-18,NL0000888691,2.01,archive
ARCADIS N.V.,SIH Partners LLLP,2024-09-18,NL0006237562,0.51,archive
AMG Critical Materials N.V.,"AQR Capital Management, LLC",2024-09-17,NL0000888691,0.7,archive
Corbion N.V.,BlackRock Investment Management (UK) Limited,2024-09-17,NL0010583399,0.44,archive
AMG Critical Materials N.V.,Capital Fund Management S.A.,2024-09-17,NL0000888691,0.5,archive
Alfen N.V.,Citadel Advisors LLC,2024-09-17,NL0012817175,1.42,archive
Alfen N.V.,Millennium International Management LP,2024-09-17,NL0012817175,1.7,archive
Alfen N.V.,Qube Research & Technologies Ltd.,2024-09-17,NL0012817175,1.42,archive
Alfen N.V.,SIH Partners LLLP,2024-09-17,NL0012817175,0.31,archive
ARCADIS N.V.,SIH Partners LLLP,2024-09-17,NL0006237562,1.0,archive
AMG Critical Materials N.V.,Capital Fund Management S.A.,2024-09-16,NL0000888691,0.63,archive
Alfen N.V.,Citadel Advisors LLC,2024-09-16,NL0012817175,1.54,archive
AMG Critical Materials N.V.,"D. E. Shaw & Co., L.P.",2024-09-16,NL0000888691,0.88,archive
Alfen N.V.,Millennium International Management LP,2024-09-16,NL0012817175,2.1,archive
Alfen N.V.,"PDT Partners, LLC",2024-09-16,NL0012817175,1.91,archive
Alfen N.V.,Qube Research & Technologies Ltd.,2024-09-16,NL0012817175,1.7,archive
Alfen N.V.,Systematica Investments Limited,2024-09-16,NL0012817175,0.45,archive
Vivoryon Therapeutics N.V.,Voleon Capital Management LP,2024-09-16,NL00150002Q7,0.49,archive
BE Semiconductor Industries N.V.,"WorldQuant, LLC",2024-09-16,NL0012866412,0.5,archive
Alfen N.V.,Citadel Advisors LLC,2024-09-13,NL0012817175,1.43,archive
Alfen N.V.,Millennium International Management LP,2024-09-13,NL0012817175,2.07,archive
Alfen N.V.,Qube Research & Technologies Ltd.,2024-09-13,NL0012817175,1.62,archive
AMG Critical Materials N.V.,Qube Research & Technologies Ltd.,2024-09-13,NL0000888691,1.98,archive
Basic-Fit N.V.,Qube Research & Technologies Ltd.,2024-09-13,NL0011872650,0.99,archive
PostNL N.V.,Qube Research & Technologies Ltd.,2024-09-13,NL0009739416,0.99,archive
Alfen N.V.,SIH Partners LLLP,2024-09-13,NL0012817175,0.5,archive
ARCADIS N.V.,SIH Partners LLLP,2024-09-13,NL0006237562,1.24,archive
Lakefront Biotherapeutics NV,"Arrowstreet Capital, Limited Partnership",2024-09-12,BE0003818359,1.27,archive
AMG Critical Materials N.V.,Capital Fund Management S.A.,2024-09-12,NL0000888691,0.74,archive
Alfen N.V.,Citadel Advisors LLC,2024-09-12,NL0012817175,1.5,archive
