issuer_name,position_holder,position_date,isin,net_short_position,source
Alfen N.V.,"WorldQuant, LLC",2026-08-19,NL0012817175,1.1,current
Wolters Kluwer N.V.,"D. E. Shaw & Co., L.P.",2026-08-18,NL0000395903,0.52,current
Signify N.V.,Citadel Advisors LLC,2026-08-17,NL0011821392,1.0,current
Akzo Nobel N.V.,Millennium Capital Partners LLP,2026-08-17,NL0013267909,0.63,current
Signify N.V.,SIH Partners LLLP,2026-08-17,NL0011821392,0.51,current
Pharming Group N.V.,"Two Sigma Investments, LP",2026-08-17,NL0010391025,1.48,current
Akzo Nobel N.V.,"BlackRock Advisors, LLC",2026-08-14,NL0013267909,1.33,current
Signify N.V.,"BlackRock Institutional Trust Company, National Association",2026-08-14,NL0011821392,0.7,current
Pharming Group N.V.,Citadel Advisors LLC,2026-08-14,NL0010391025,1.04,current
Avantium N.V.,Citadel Securities (Europe) Limited,2026-08-14,NL0015002IE0,0.79,current
PostNL N.V.,Goldman Sachs Asset Management International,2026-08-14,NL0009739416,0.51,current
NSI N.V.,Marshall Wace LLP,2026-08-14,NL0012365084,0.7,current
Akzo Nobel N.V.,Millennium International Management LP,2026-08-14,NL0013267909,1.4,current
Signify N.V.,"PDT Partners, LLC",2026-08-14,NL0011821392,1.29,current
Pharming Group N.V.,Walleye Capital LLC,2026-08-14,NL0010391025,1.0,current
Akzo Nobel N.V.,"BlackRock Advisors, LLC",2026-08-13,NL0013267909,1.27,current
Signify N.V.,Citadel Advisors LLC,2026-08-13,NL0011821392,0.93,current
Avantium N.V.,Citadel Securities (Europe) Limited,2026-08-13,NL0015002IE0,0.69,current
Pharming Group N.V.,"D. E. Shaw & Co., L.P.",2026-08-13,NL0010391025,0.69,current
Alfen N.V.,"WorldQuant, LLC",2026-08-13,NL0012817175,1.06,current
Pharming Group N.V.,Capstone Volatility Master (Cayman) Limited,2026-08-12,NL0010391025,0.8,current
Fugro N.V.,Citadel Advisors LLC,2026-08-12,NL00150003E1,0.91,current
Pharming Group N.V.,Citadel Advisors LLC,2026-08-12,NL0010391025,0.9,current
Akzo Nobel N.V.,Davidson Kempner Capital Management LP,2026-08-12,NL0013267909,1.7,current
Akzo Nobel N.V.,Millennium Capital Partners LLP,2026-08-12,NL0013267909,0.56,current
TKH Group N.V.,Capital Fund Management S.A.,2026-08-11,NL0000852523,0.63,current
Pharming Group N.V.,Capstone Volatility Master (Cayman) Limited,2026-08-11,NL0010391025,0.77,current
Pharming Group N.V.,Citadel Advisors LLC,2026-08-11,NL0010391025,0.88,current
Sligro Food Group N.V.,Citadel Advisors LLC,2026-08-11,NL0000817179,0.69,current
Pharming Group N.V.,"D. E. Shaw & Co., L.P.",2026-08-11,NL0010391025,0.76,current
IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,2026-08-11,NL0010801007,0.89,current
Pharming Group N.V.,Lazard Asset Management LLC,2026-08-11,NL0010391025,0.6,current
Signify N.V.,Marshall Wace LLP,2026-08-11,NL0011821392,0.89,current
Akzo Nobel N.V.,Millennium International Management LP,2026-08-11,NL0013267909,1.35,current
ARCADIS N.V.,"AQR Capital Management, LLC",2026-08-10,NL0006237562,0.69,current
Signify N.V.,Citadel Advisors LLC,2026-08-10,NL0011821392,0.84,current
Signify N.V.,Marshall Wace LLP,2026-08-10,NL0011821392,0.91,current
Basic-Fit N.V.,Syquant Capital,2026-08-10,NL0011872650,0.69,current
Pharming Group N.V.,"Two Sigma Investments, LP",2026-08-10,NL0010391025,1.59,current
Akzo Nobel N.V.,"BlackRock Advisors, LLC",2026-08-07,NL0013267909,1.1,current
IMCD N.V.,"BlackRock Financial Management, Inc.",2026-08-07,NL0010801007,0.69,current
Pharming Group N.V.,Citadel Advisors LLC,2026-08-07,NL0010391025,0.92,current
Basic-Fit N.V.,"D. E. Shaw & Co., L.P.",2026-08-07,NL0011872650,0.5,current
Basic-Fit N.V.,Linden Advisors LP,2026-08-07,NL0011872650,0.67,current
Akzo Nobel N.V.,Millennium International Management LP,2026-08-07,NL0013267909,1.2,current
Theon International Plc,"Two Sigma Investments, LP",2026-08-07,CY0200751713,0.59,current
IMCD N.V.,"Arrowstreet Capital, Limited Partnership",2026-08-06,NL0010801007,1.19,current
Fugro N.V.,Citadel Advisors LLC,2026-08-06,NL00150003E1,0.85,current
Pharming Group N.V.,Citadel Advisors LLC,2026-08-06,NL0010391025,0.85,current
Signify N.V.,Citadel Advisors LLC,2026-08-06,NL0011821392,0.79,current
Pharming Group N.V.,"D. E. Shaw & Co., L.P.",2026-08-06,NL0010391025,0.87,current
Signify N.V.,Squarepoint Ops LLC,2026-08-06,NL0011821392,0.68,current
Pharming Group N.V.,Walleye Capital LLC,2026-08-06,NL0010391025,0.99,current
Pharming Group N.V.,Citadel Advisors LLC,2026-08-05,NL0010391025,0.78,current
Shell plc,"Elliott Investment Management, L.P",2026-08-05,GB00BP6MXD84,0.68,current
Akzo Nobel N.V.,LMR Partners LLP,2026-08-05,NL0013267909,1.08,current
Signify N.V.,Marshall Wace LLP,2026-08-05,NL0011821392,0.87,current
Akzo Nobel N.V.,Millennium International Management LP,2026-08-05,NL0013267909,1.11,current
NSI N.V.,Numeric Investors LLC,2026-08-05,NL0012365084,1.01,current
Akzo Nobel N.V.,"O'Connor Alternative Investments, LLC",2026-08-05,NL0013267909,1.29,current
Pharming Group N.V.,Walleye Capital LLC,2026-08-05,NL0010391025,1.05,current
Fugro N.V.,Citadel Advisors LLC,2026-08-04,NL00150003E1,0.73,current
Pharming Group N.V.,Citadel Advisors LLC,2026-08-04,NL0010391025,0.67,current
Akzo Nobel N.V.,Millennium International Management LP,2026-08-04,NL0013267909,1.03,current
Alfen N.V.,"WorldQuant, LLC",2026-08-04,NL0012817175,1.1,current
Akzo Nobel N.V.,"BlackRock Financial Management, Inc.",2026-08-03,NL0013267909,0.6,current
Pharming Group N.V.,Citadel Advisors LLC,2026-08-03,NL0010391025,0.57,current
Avantium N.V.,Citadel Securities (Europe) Limited,2026-08-03,NL0015002IE0,0.79,current
Pharming Group N.V.,"D. E. Shaw & Co., L.P.",2026-08-03,NL0010391025,0.97,current
DSM-Firmenich AG,Marshall Wace LLP,2026-08-03,CH1216478797,0.99,current
Pharming Group N.V.,"Two Sigma Investments, LP",2026-08-03,NL0010391025,1.63,current
Alfen N.V.,"WorldQuant, LLC",2026-08-03,NL0012817175,1.09,current
Fugro N.V.,Citadel Advisors LLC,2026-07-31,NL00150003E1,0.61,current
Sligro Food Group N.V.,Citadel Advisors LLC,2026-07-31,NL0000817179,0.77,current
Avantium N.V.,Citadel Securities (Europe) Limited,2026-07-31,NL0015002IE0,0.8,current
Pharming Group N.V.,"D. E. Shaw & Co., L.P.",2026-07-31,NL0010391025,0.82,current
DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,2026-07-31,CH1216478797,2.1,current
Akzo Nobel N.V.,Millennium International Management LP,2026-07-31,NL0013267909,0.93,current
Basic-Fit N.V.,Syquant Capital,2026-07-31,NL0011872650,0.71,current
Pharming Group N.V.,"Two Sigma Investments, LP",2026-07-31,NL0010391025,1.56,current
IMCD N.V.,Capital Fund Management S.A.,2026-07-30,NL0010801007,0.74,current
TKH Group N.V.,Capital Fund Management S.A.,2026-07-30,NL0000852523,0.51,current
Pharming Group N.V.,Capstone Volatility Master (Cayman) Limited,2026-07-30,NL0010391025,0.69,current
Signify N.V.,Citadel Advisors LLC,2026-07-30,NL0011821392,0.85,current
Pharming Group N.V.,"D. E. Shaw & Co., L.P.",2026-07-30,NL0010391025,0.62,current
Pharming Group N.V.,Lazard Asset Management LLC,2026-07-30,NL0010391025,0.56,current
Signify N.V.,Marshall Wace LLP,2026-07-30,NL0011821392,0.98,current
Akzo Nobel N.V.,"O'Connor Alternative Investments, LLC",2026-07-30,NL0013267909,1.19,current
Pharming Group N.V.,"Two Sigma Investments, LP",2026-07-30,NL0010391025,1.46,current
Signify N.V.,"AQR Capital Management, LLC",2026-07-29,NL0011821392,0.97,current
Avantium N.V.,Citadel Securities (Europe) Limited,2026-07-29,NL0015002IE0,0.79,current
Pharming Group N.V.,Lazard Asset Management LLC,2026-07-29,NL0010391025,0.67,current
Akzo Nobel N.V.,Millennium International Management LP,2026-07-29,NL0013267909,0.8,current
Basic-Fit N.V.,Syquant Capital,2026-07-29,NL0011872650,0.86,current
Wereldhave N.V.,Citadel Advisors LLC,2026-07-28,NL0000289213,1.11,current
Akzo Nobel N.V.,Davidson Kempner Capital Management LP,2026-07-28,NL0013267909,1.6,current
Basic-Fit N.V.,Eleva Capital SAS,2026-07-28,NL0011872650,0.74,current
Signify N.V.,"Farallon Capital Management, L.L.C.",2026-07-28,NL0011821392,1.63,current
NSI N.V.,Marshall Wace LLP,2026-07-28,NL0012365084,0.6,current
Signify N.V.,Marshall Wace LLP,2026-07-28,NL0011821392,1.02,current
Basic-Fit N.V.,Sculptor Capital Management Europe Limited,2026-07-28,NL0011872650,0.8,current
Basic-Fit N.V.,Syquant Capital,2026-07-28,NL0011872650,0.6,current
IMCD N.V.,Capital Fund Management S.A.,2026-07-27,NL0010801007,0.89,current
Pharming Group N.V.,"Two Sigma Investments, LP",2026-07-27,NL0010391025,1.21,current
Signify N.V.,Citadel Advisors LLC,2026-07-24,NL0011821392,0.91,current
Sligro Food Group N.V.,Citadel Advisors LLC,2026-07-24,NL0000817179,0.81,current
Akzo Nobel N.V.,Davidson Kempner Capital Management LP,2026-07-24,NL0013267909,1.5,current
Signify N.V.,Marshall Wace LLP,2026-07-24,NL0011821392,0.95,current
