position_holder,net_short_position,position_date,isin,issuer_name,source
Marshall Wace LLP,1.5,2025-10-07,LU2290522684,InPost S.A.,archive
Marshall Wace LLP,0.59,2025-10-07,NL0000379121,Randstad N.V.,archive
Numeric Investors LLC,0.62,2025-10-07,NL0000352565,Fugro N.V.,archive
"PDT Partners, LLC",1.86,2025-10-07,NL0012817175,Alfen N.V.,archive
Qube Research & Technologies Ltd.,0.91,2025-10-07,NL0012817175,Alfen N.V.,archive
Wellington Management International Ltd.,0.8,2025-10-07,NL00150003E1,Fugro N.V.,archive
"Arrowstreet Capital, Limited Partnership",0.79,2025-10-06,NL0012866412,BE Semiconductor Industries N.V.,archive
"BlackRock Advisors, LLC",0.79,2025-10-06,NL0011821392,Signify N.V.,archive
Citadel Advisors LLC,1.15,2025-10-06,NL0010391025,Pharming Group N.V.,archive
Kintbury Capital LLP,0.68,2025-10-06,LU2290522684,InPost S.A.,archive
"PDT Partners, LLC",0.49,2025-10-06,NL0011872650,Basic-Fit N.V.,archive
"AQR Capital Management, LLC",0.49,2025-10-03,NL0012866412,BE Semiconductor Industries N.V.,archive
Citadel Advisors LLC,0.5,2025-10-03,LU0569974404,Aperam S.A.,archive
Citadel Advisors LLC,0.49,2025-10-03,NL0015002AH0,Havas N.V.,archive
Citadel Advisors LLC,1.04,2025-10-03,NL0010391025,Pharming Group N.V.,archive
Kintbury Capital LLP,0.78,2025-10-03,LU2290522684,InPost S.A.,archive
Marchant MC Ltd.,0.46,2025-10-03,NL0011872650,Basic-Fit N.V.,archive
Millennium Capital (DIFC) Limited,0.05,2025-10-03,NL0012817175,Alfen N.V.,archive
Qube Research & Technologies Ltd.,0.82,2025-10-03,NL0012817175,Alfen N.V.,archive
Voleon Capital Management LP,1.18,2025-10-03,NL0012817175,Alfen N.V.,archive
"AQR Capital Management, LLC",0.59,2025-10-02,NL0000009538,Koninklijke Philips N.V.,archive
Citadel Advisors Europe Limited,0.92,2025-10-02,NL0011821392,Signify N.V.,archive
"D. E. Shaw & Co., L.P.",0.7,2025-10-02,NL0012866412,BE Semiconductor Industries N.V.,archive
Marchant MC Ltd.,0.53,2025-10-02,NL0011872650,Basic-Fit N.V.,archive
Millennium International Management LP,1.96,2025-10-02,NL0010391025,Pharming Group N.V.,archive
Voleon Capital Management LP,1.25,2025-10-02,NL0012817175,Alfen N.V.,archive
Voleon Capital Management LP,1.21,2025-10-02,NL0015002IE0,Avantium N.V.,archive
"WorldQuant, LLC",0.49,2025-10-02,NL0009739416,PostNL N.V.,archive
"AQR Capital Management, LLC",0.59,2025-10-01,NL0010801007,IMCD N.V.,archive
Citadel Advisors LLC,0.48,2025-10-01,NL0000888691,AMG Critical Materials N.V.,archive
Citadel Advisors LLC,1.1,2025-10-01,NL0011821392,Signify N.V.,archive
Highbridge Capital Management LLC,0.39,2025-10-01,NL0010391025,Pharming Group N.V.,archive
Marshall Wace LLP,0.47,2025-10-01,NL0010776944,Brunel International N.V.,archive
Marshall Wace LLP,1.43,2025-10-01,LU2290522684,InPost S.A.,archive
Millennium Capital (DIFC) Limited,0.5,2025-10-01,NL0011821392,Signify N.V.,archive
Millennium International Management LP,0.42,2025-10-01,LU0569974404,Aperam S.A.,archive
Qube Research & Technologies Ltd.,1.01,2025-10-01,NL0012817175,Alfen N.V.,archive
Trexquant Investment LP,0.69,2025-10-01,NL0012817175,Alfen N.V.,archive
Citadel Advisors LLC,0.5,2025-09-30,NL0000888691,AMG Critical Materials N.V.,archive
Citadel Advisors LLC,0.72,2025-09-30,NL00150003E1,Fugro N.V.,archive
GSA Capital Partners LLP,0.79,2025-09-30,NL0012817175,Alfen N.V.,archive
Highbridge Capital Management LLC,0.53,2025-09-30,NL0010391025,Pharming Group N.V.,archive
Millennium International Management LP,0.89,2025-09-30,NL00150003E1,Fugro N.V.,archive
Millennium International Management LP,2.02,2025-09-30,NL0010391025,Pharming Group N.V.,archive
"PDT Partners, LLC",1.99,2025-09-30,NL0012817175,Alfen N.V.,archive
"WorldQuant, LLC",0.57,2025-09-30,NL0009739416,PostNL N.V.,archive
"BlackRock Institutional Trust Company, National Association",0.79,2025-09-29,NL0010801007,IMCD N.V.,archive
Citadel Advisors LLC,1.1,2025-09-29,NL0010391025,Pharming Group N.V.,archive
Citadel Securities (Europe) Limited,0.38,2025-09-29,NL0010391025,Pharming Group N.V.,archive
Millennium Capital (DIFC) Limited,0.49,2025-09-29,NL0011821392,Signify N.V.,archive
"PDT Partners, LLC",0.7,2025-09-29,NL00150003E1,Fugro N.V.,archive
"AQR Capital Management, LLC",0.48,2025-09-26,NL0012817175,Alfen N.V.,archive
"Arrowstreet Capital, Limited Partnership",0.89,2025-09-26,NL0012866412,BE Semiconductor Industries N.V.,archive
"BlackRock Institutional Trust Company, National Association",0.8,2025-09-26,NL0010801007,IMCD N.V.,archive
Citadel Advisors LLC,0.48,2025-09-26,LU0569974404,Aperam S.A.,archive
Citadel Advisors LLC,1.01,2025-09-26,NL0010391025,Pharming Group N.V.,archive
Citadel Advisors LLC,0.9,2025-09-26,NL0009739416,PostNL N.V.,archive
Citadel Securities (Europe) Limited,0.54,2025-09-26,NL0010391025,Pharming Group N.V.,archive
Marshall Wace LLP,0.48,2025-09-26,NL00150003E1,Fugro N.V.,archive
Marshall Wace LLP,1.33,2025-09-26,LU2290522684,InPost S.A.,archive
Millennium International Management LP,2.17,2025-09-26,NL0010391025,Pharming Group N.V.,archive
Voleon Capital Management LP,1.12,2025-09-26,NL0015002IE0,Avantium N.V.,archive
"WorldQuant, LLC",0.91,2025-09-26,NL0012817175,Alfen N.V.,archive
Actus Ray Partners Limited,0.67,2025-09-25,NL0000888691,AMG Critical Materials N.V.,archive
"Algert Global, LLC",0.71,2025-09-25,NL0010391025,Pharming Group N.V.,archive
Citadel Advisors LLC,0.49,2025-09-25,NL0000888691,AMG Critical Materials N.V.,archive
Citadel Advisors LLC,0.68,2025-09-25,NL00150003E1,Fugro N.V.,archive
GSA Capital Partners LLP,0.81,2025-09-25,NL0012817175,Alfen N.V.,archive
Marshall Wace LLP,0.52,2025-09-25,NL00150003E1,Fugro N.V.,archive
Millennium International Management LP,0.47,2025-09-25,CY0200751713,Theon International Plc,archive
Voleon Capital Management LP,1.02,2025-09-25,NL0015002IE0,Avantium N.V.,archive
"WorldQuant, LLC",0.49,2025-09-25,NL0010776944,Brunel International N.V.,archive
"BlackRock Advisors, LLC",0.68,2025-09-24,NL0000852564,Aalberts N.V.,archive
Citadel Advisors LLC,0.51,2025-09-24,LU0569974404,Aperam S.A.,archive
Citadel Advisors LLC,0.72,2025-09-24,NL0010391025,Pharming Group N.V.,archive
Highbridge Capital Management LLC,0.76,2025-09-24,NL0010391025,Pharming Group N.V.,archive
Marshall Wace LLP,1.22,2025-09-24,LU2290522684,InPost S.A.,archive
Wellington Management International Ltd.,0.46,2025-09-24,LU2290522684,InPost S.A.,archive
Acadian Asset Management LLC.,0.49,2025-09-23,NL0011872650,Basic-Fit N.V.,archive
"Arrowstreet Capital, Limited Partnership",0.97,2025-09-23,NL0012866412,BE Semiconductor Industries N.V.,archive
Canada Pension Plan Investment Board,0.98,2025-09-23,NL0012866412,BE Semiconductor Industries N.V.,archive
Citadel Advisors LLC,0.49,2025-09-23,LU0569974404,Aperam S.A.,archive
GSA Capital Partners LLP,0.79,2025-09-23,NL0012817175,Alfen N.V.,archive
Millennium International Management LP,0.46,2025-09-23,NL0012817175,Alfen N.V.,archive
Millennium International Management LP,0.93,2025-09-23,NL00150003E1,Fugro N.V.,archive
Numeric Investors LLC,0.48,2025-09-23,NL0012866412,BE Semiconductor Industries N.V.,archive
Voleon Capital Management LP,0.6,2025-09-23,NL0015002IE0,Avantium N.V.,archive
"AQR Capital Management, LLC",0.58,2025-09-22,NL0012817175,Alfen N.V.,archive
BlackRock Investment Management (UK) Limited,0.28,2025-09-22,NL00150003E1,Fugro N.V.,archive
Citadel Advisors LLC,0.59,2025-09-22,NL0000888691,AMG Critical Materials N.V.,archive
Citadel Advisors LLC,0.5,2025-09-22,LU0569974404,Aperam S.A.,archive
Citadel Advisors LLC,0.7,2025-09-22,NL00150003E1,Fugro N.V.,archive
Citadel Advisors LLC,0.87,2025-09-22,NL0009739416,PostNL N.V.,archive
Marshall Wace LLP,0.7,2025-09-22,NL00150003E1,Fugro N.V.,archive
Millennium International Management LP,2.02,2025-09-22,NL0010391025,Pharming Group N.V.,archive
Voleon Capital Management LP,0.59,2025-09-22,NL0015002IE0,Avantium N.V.,archive
Wellington Management International Ltd.,0.72,2025-09-22,NL00150003E1,Fugro N.V.,archive
"AQR Capital Management, LLC",0.6,2025-09-19,NL0012817175,Alfen N.V.,archive
Citadel Advisors LLC,0.51,2025-09-19,NL0015002AH0,Havas N.V.,archive
Citadel Advisors LLC,0.83,2025-09-19,NL0010391025,Pharming Group N.V.,archive
Citadel Advisors LLC,0.9,2025-09-19,NL0009739416,PostNL N.V.,archive
Marshall Wace LLP,1.11,2025-09-19,LU2290522684,InPost S.A.,archive
Millennium Capital (DIFC) Limited,0.76,2025-09-19,NL0012817175,Alfen N.V.,archive
Millennium International Management LP,0.52,2025-09-19,CY0200751713,Theon International Plc,archive
Qube Research & Technologies Ltd.,1.19,2025-09-19,NL0012817175,Alfen N.V.,archive
Squarepoint Ops LLC,0.51,2025-09-19,NL0011821392,Signify N.V.,archive
Citadel Advisors LLC,0.65,2025-09-18,NL0000888691,AMG Critical Materials N.V.,archive
Citadel Advisors LLC,0.49,2025-09-18,NL0015002AH0,Havas N.V.,archive
Citadel Advisors LLC,1.09,2025-09-18,NL0011821392,Signify N.V.,archive
Citadel Securities (Europe) Limited,0.47,2025-09-18,NL0015002AG2,Ebusco Holding N.V.,archive
Kintbury Capital LLP,0.46,2025-09-18,NL0013267909,Akzo Nobel N.V.,archive
Marshall Wace LLP,0.5,2025-09-18,NL00150003E1,Fugro N.V.,archive
Millennium International Management LP,1.9,2025-09-18,NL0010391025,Pharming Group N.V.,archive
"WorldQuant, LLC",0.5,2025-09-18,NL0010776944,Brunel International N.V.,archive
Marshall Wace LLP,1.02,2025-09-17,LU2290522684,InPost S.A.,archive
Millennium Capital (DIFC) Limited,0.67,2025-09-17,NL0012817175,Alfen N.V.,archive
Qube Research & Technologies Ltd.,1.24,2025-09-17,NL0012817175,Alfen N.V.,archive
"WorldQuant, LLC",0.89,2025-09-17,NL0012817175,Alfen N.V.,archive
AKO Capital LLP,0.93,2025-09-16,NL0013267909,Akzo Nobel N.V.,archive
Citadel Securities (Europe) Limited,0.58,2025-09-16,NL0015002AG2,Ebusco Holding N.V.,archive
Marshall Wace LLP,0.61,2025-09-16,NL0000379121,Randstad N.V.,archive
Millennium International Management LP,0.58,2025-09-16,NL0012817175,Alfen N.V.,archive
Millennium International Management LP,1.08,2025-09-16,NL00150003E1,Fugro N.V.,archive
AKO Capital LLP,1.0,2025-09-15,NL0013267909,Akzo Nobel N.V.,archive
Citadel Advisors LLC,0.78,2025-09-15,NL0000888691,AMG Critical Materials N.V.,archive
Citadel Advisors LLC,0.9,2025-09-15,NL0010391025,Pharming Group N.V.,archive
Qube Research & Technologies Ltd.,1.12,2025-09-15,NL0012817175,Alfen N.V.,archive
Voleon Capital Management LP,1.38,2025-09-15,NL0012817175,Alfen N.V.,archive
Wellington Management International Ltd.,0.62,2025-09-15,NL00150003E1,Fugro N.V.,archive
"WorldQuant, LLC",0.93,2025-09-15,NL0012817175,Alfen N.V.,archive
"WorldQuant, LLC",0.67,2025-09-15,NL0009739416,PostNL N.V.,archive
AKO Capital LLP,1.23,2025-09-12,NL0013267909,Akzo Nobel N.V.,archive
Citadel Advisors LLC,0.8,2025-09-12,NL0000888691,AMG Critical Materials N.V.,archive
Citadel Advisors LLC,0.85,2025-09-12,NL0010391025,Pharming Group N.V.,archive
Marshall Wace LLP,0.59,2025-09-12,NL0010776944,Brunel International N.V.,archive
Millennium International Management LP,0.68,2025-09-12,NL0012817175,Alfen N.V.,archive
Millennium International Management LP,0.51,2025-09-12,LU0569974404,Aperam S.A.,archive
Millennium International Management LP,1.8,2025-09-12,NL0010391025,Pharming Group N.V.,archive
"WorldQuant, LLC",0.71,2025-09-12,NL0009739416,PostNL N.V.,archive
AKO Capital LLP,1.39,2025-09-11,NL0013267909,Akzo Nobel N.V.,archive
"Algert Global, LLC",0.62,2025-09-11,NL0010391025,Pharming Group N.V.,archive
"BlackRock Institutional Trust Company, National Association",0.7,2025-09-11,NL0010801007,IMCD N.V.,archive
Citadel Advisors LLC,0.71,2025-09-11,NL0000888691,AMG Critical Materials N.V.,archive
Citadel Advisors LLC,0.76,2025-09-11,NL0010391025,Pharming Group N.V.,archive
Marshall Wace LLP,0.51,2025-09-11,NL0000009165,Heineken N.V.,archive
Marshall Wace LLP,0.59,2025-09-11,NL0000379121,Randstad N.V.,archive
Millennium International Management LP,1.75,2025-09-11,NL0010391025,Pharming Group N.V.,archive
"PDT Partners, LLC",0.69,2025-09-11,NL00150003E1,Fugro N.V.,archive
"WorldQuant, LLC",1.06,2025-09-11,NL0012817175,Alfen N.V.,archive
Citadel Advisors LLC,0.69,2025-09-10,NL0000888691,AMG Critical Materials N.V.,archive
Citadel Advisors LLC,0.61,2025-09-10,NL0010391025,Pharming Group N.V.,archive
Marshall Wace LLP,0.47,2025-09-10,NL0000009082,Koninklijke KPN N.V.,archive
Numeric Investors LLC,0.49,2025-09-10,NL0010776944,Brunel International N.V.,archive
Voleon Capital Management LP,1.47,2025-09-10,NL0012817175,Alfen N.V.,archive
Citadel Advisors LLC,1.1,2025-09-09,NL0011821392,Signify N.V.,archive
Citadel Securities (Europe) Limited,0.68,2025-09-09,NL0015002AG2,Ebusco Holding N.V.,archive
Millennium International Management LP,0.77,2025-09-09,NL0012817175,Alfen N.V.,archive
Syquant Capital,0.0,2025-09-09,NL0015001OJ9,MFE-MEDIAFOREUROPE N.V.,archive
AKO Capital LLP,1.46,2025-09-08,NL0013267909,Akzo Nobel N.V.,archive
"AQR Capital Management, LLC",0.69,2025-09-08,NL0000360618,SBM Offshore N.V.,archive
Citadel Advisors Europe Limited,0.8,2025-09-08,NL0011821392,Signify N.V.,archive
Citadel Advisors LLC,0.57,2025-09-08,NL0000888691,AMG Critical Materials N.V.,archive
GSA Capital Partners LLP,0.8,2025-09-08,NL0012817175,Alfen N.V.,archive
Millennium International Management LP,1.6,2025-09-08,NL0010391025,Pharming Group N.V.,archive
Wellington Management International Ltd.,0.51,2025-09-08,LU2290522684,InPost S.A.,archive
"WorldQuant, LLC",0.47,2025-09-08,NL00150003E1,Fugro N.V.,archive
"WorldQuant, LLC",0.69,2025-09-08,NL0009739416,PostNL N.V.,archive
"Algert Global, LLC",0.5,2025-09-05,NL0010391025,Pharming Group N.V.,archive
Citadel Advisors LLC,0.47,2025-09-05,NL0010558797,OCI N.V.,archive
Citadel Advisors LLC,0.59,2025-09-05,NL0010391025,Pharming Group N.V.,archive
Citadel Advisors LLC,0.85,2025-09-05,NL0009739416,PostNL N.V.,archive
Kintbury Capital LLP,0.81,2025-09-05,LU2290522684,InPost S.A.,archive
Millennium International Management LP,0.88,2025-09-05,NL0012817175,Alfen N.V.,archive
Voleon Capital Management LP,1.59,2025-09-05,NL0012817175,Alfen N.V.,archive
"BlackRock Advisors, LLC",0.8,2025-09-04,NL0011821392,Signify N.V.,archive
Citadel Advisors LLC,0.61,2025-09-04,NL0000888691,AMG Critical Materials N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.49,2025-09-04,NL0015002IE0,Avantium N.V.,archive
Marshall Wace LLP,0.57,2025-09-04,NL0000009082,Koninklijke KPN N.V.,archive
Millennium International Management LP,1.1,2025-09-04,NL00150003E1,Fugro N.V.,archive
Numeric Investors LLC,0.52,2025-09-04,NL0000352565,Fugro N.V.,archive
Voleon Capital Management LP,1.75,2025-09-04,NL0015002IE0,Avantium N.V.,archive
"WorldQuant, LLC",0.99,2025-09-04,NL0012817175,Alfen N.V.,archive
Citadel Advisors Europe Limited,0.71,2025-09-03,NL0011821392,Signify N.V.,archive
Citadel Advisors LLC,0.57,2025-09-03,NL0000888691,AMG Critical Materials N.V.,archive
Citadel Advisors LLC,1.02,2025-09-03,NL0011821392,Signify N.V.,archive
Highbridge Capital Management LLC,1.07,2025-09-03,NL0010391025,Pharming Group N.V.,archive
JPMorgan Asset Management (UK) Ltd.,0.51,2025-09-03,NL0010583399,Corbion N.V.,archive
Kintbury Capital LLP,0.71,2025-09-03,LU2290522684,InPost S.A.,archive
Marshall Wace LLP,0.69,2025-09-03,NL0000379121,Randstad N.V.,archive
Millennium International Management LP,0.93,2025-09-03,NL0012817175,Alfen N.V.,archive
Numeric Investors LLC,0.49,2025-09-03,NL0010558797,OCI N.V.,archive
Squarepoint Ops LLC,0.49,2025-09-03,NL0011821392,Signify N.V.,archive
"WorldQuant, LLC",0.7,2025-09-03,NL0009739416,PostNL N.V.,archive
Citadel Advisors Europe Limited,0.62,2025-09-02,NL0011821392,Signify N.V.,archive
Citadel Advisors LLC,0.61,2025-09-02,NL0010391025,Pharming Group N.V.,archive
JPMorgan Asset Management (UK) Ltd.,1.8,2025-09-02,NL0011872650,Basic-Fit N.V.,archive
Marshall Wace LLP,0.6,2025-09-02,NL0010776944,Brunel International N.V.,archive
Marshall Wace LLP,0.71,2025-09-02,NL0000379121,Randstad N.V.,archive
Qube Research & Technologies Ltd.,1.24,2025-09-02,NL0012817175,Alfen N.V.,archive
Qube Research & Technologies Ltd.,0.6,2025-09-02,NL0010776944,Brunel International N.V.,archive
Voleon Capital Management LP,1.51,2025-09-02,NL0015002IE0,Avantium N.V.,archive
"WorldQuant, LLC",1.0,2025-09-02,NL0012817175,Alfen N.V.,archive
Citadel Advisors LLC,0.5,2025-09-01,NL0010776944,Brunel International N.V.,archive
Citadel Advisors LLC,0.59,2025-09-01,NL0010391025,Pharming Group N.V.,archive
Marshall Wace LLP,0.49,2025-09-01,NL0009739416,PostNL N.V.,archive
Marshall Wace LLP,0.69,2025-09-01,NL0000379121,Randstad N.V.,archive
Millennium Capital (DIFC) Limited,0.74,2025-09-01,NL0012817175,Alfen N.V.,archive
Millennium International Management LP,1.53,2025-09-01,NL0010391025,Pharming Group N.V.,archive
"PDT Partners, LLC",0.7,2025-09-01,NL00150003E1,Fugro N.V.,archive
Qube Research & Technologies Ltd.,1.13,2025-09-01,NL0012817175,Alfen N.V.,archive
"WorldQuant, LLC",0.89,2025-09-01,NL0012817175,Alfen N.V.,archive
"BlackRock Advisors, LLC",0.73,2025-08-29,NL0000852564,Aalberts N.V.,archive
BlackRock Investment Management (UK) Limited,0.56,2025-08-29,NL00150003E1,Fugro N.V.,archive
Citadel Advisors Europe Limited,0.51,2025-08-29,NL0011821392,Signify N.V.,archive
GSA Capital Partners LLP,0.7,2025-08-29,NL0012817175,Alfen N.V.,archive
Marshall Wace LLP,0.9,2025-08-29,LU2290522684,InPost S.A.,archive
Marshall Wace LLP,0.7,2025-08-29,NL0000379121,Randstad N.V.,archive
Millennium International Management LP,0.83,2025-08-29,NL0012817175,Alfen N.V.,archive
Millennium International Management LP,1.47,2025-08-29,NL0010391025,Pharming Group N.V.,archive
Numeric Investors LLC,0.54,2025-08-29,NL0010558797,OCI N.V.,archive
Qube Research & Technologies Ltd.,1.04,2025-08-29,NL0012817175,Alfen N.V.,archive
Syquant Capital,2.26,2025-08-29,NL0015001OJ9,MFE-MEDIAFOREUROPE N.V.,archive
Voleon Capital Management LP,1.41,2025-08-29,NL0015002IE0,Avantium N.V.,archive
"WorldQuant, LLC",0.7,2025-08-29,NL0012817175,Alfen N.V.,archive
"WorldQuant, LLC",0.56,2025-08-29,NL00150003E1,Fugro N.V.,archive
"AQR Capital Management, LLC",0.6,2025-08-28,NL0010801007,IMCD N.V.,archive
BlackRock Investment Management (UK) Limited,0.68,2025-08-28,NL00150003E1,Fugro N.V.,archive
Citadel Advisors LLC,0.62,2025-08-28,NL0000888691,AMG Critical Materials N.V.,archive
Citadel Advisors LLC,0.59,2025-08-28,NL0015002AH0,Havas N.V.,archive
Citadel Advisors LLC,0.9,2025-08-28,NL0011821392,Signify N.V.,archive
"D. E. Shaw & Co., L.P.",1.79,2025-08-28,NL0012817175,Alfen N.V.,archive
Highbridge Capital Management LLC,1.22,2025-08-28,NL0010391025,Pharming Group N.V.,archive
Millennium International Management LP,0.94,2025-08-28,NL0012817175,Alfen N.V.,archive
Millennium International Management LP,1.0,2025-08-28,NL00150003E1,Fugro N.V.,archive
Millennium International Management LP,1.51,2025-08-28,NL0010391025,Pharming Group N.V.,archive
"PDT Partners, LLC",0.69,2025-08-28,NL00150003E1,Fugro N.V.,archive
"PDT Partners, LLC",0.49,2025-08-28,NL0009739416,PostNL N.V.,archive
Qube Research & Technologies Ltd.,1.15,2025-08-28,NL0012817175,Alfen N.V.,archive
Syquant Capital,2.19,2025-08-28,NL0015001OJ9,MFE-MEDIAFOREUROPE N.V.,archive
Voleon Capital Management LP,1.61,2025-08-28,NL0012817175,Alfen N.V.,archive
"AQR Capital Management, LLC",0.6,2025-08-27,NL0000009538,Koninklijke Philips N.V.,archive
Balyasny Asset Management (UK) LLP,0.41,2025-08-27,NL0010391025,Pharming Group N.V.,archive
Citadel Advisors LLC,0.6,2025-08-27,NL0015002AH0,Havas N.V.,archive
Citadel Securities (Europe) Limited,0.7,2025-08-27,NL0015002AG2,Ebusco Holding N.V.,archive
"D. E. Shaw & Co., L.P.",1.6,2025-08-27,NL0012817175,Alfen N.V.,archive
Marchant MC Ltd.,0.64,2025-08-27,NL0011872650,Basic-Fit N.V.,archive
Millennium Capital (DIFC) Limited,0.6,2025-08-27,NL0012817175,Alfen N.V.,archive
Millennium Capital (DIFC) Limited,0.5,2025-08-27,NL0011821392,Signify N.V.,archive
Millennium International Management LP,0.8,2025-08-27,NL0012817175,Alfen N.V.,archive
Syquant Capital,1.04,2025-08-27,NL0015001OJ9,MFE-MEDIAFOREUROPE N.V.,archive
Citadel Advisors LLC,0.54,2025-08-26,NL0000888691,AMG Critical Materials N.V.,archive
Citadel Advisors LLC,0.59,2025-08-26,NL0015002AH0,Havas N.V.,archive
Citadel Securities (Europe) Limited,0.57,2025-08-26,NL0015002AG2,Ebusco Holding N.V.,archive
GSA Capital Partners LLP,0.6,2025-08-26,NL0012817175,Alfen N.V.,archive
Millennium International Management LP,0.2,2025-08-26,NL0012866412,BE Semiconductor Industries N.V.,archive
Millennium International Management LP,0.29,2025-08-26,BE0003818359,Galapagos NV,archive
Qube Research & Technologies Ltd.,0.5,2025-08-26,NL0012817175,Alfen N.V.,archive
"AQR Capital Management, LLC",0.56,2025-08-25,NL0012817175,Alfen N.V.,archive
Citadel Advisors LLC,0.86,2025-08-25,NL0011821392,Signify N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.58,2025-08-25,NL0015002IE0,Avantium N.V.,archive
Millennium International Management LP,0.93,2025-08-25,NL00150003E1,Fugro N.V.,archive
Qube Research & Technologies Ltd.,0.59,2025-08-25,BE0003818359,Galapagos NV,archive
Syquant Capital,0.95,2025-08-25,NL0015001OJ9,MFE-MEDIAFOREUROPE N.V.,archive
Voleon Capital Management LP,1.44,2025-08-25,NL0012817175,Alfen N.V.,archive
"WorldQuant, LLC",0.47,2025-08-25,NL00150003E1,Fugro N.V.,archive
"WorldQuant, LLC",0.6,2025-08-25,NL0009739416,PostNL N.V.,archive
Balyasny Asset Management (UK) LLP,0.54,2025-08-22,NL0010391025,Pharming Group N.V.,archive
Canada Pension Plan Investment Board,1.02,2025-08-22,NL0012866412,BE Semiconductor Industries N.V.,archive
Citadel Advisors LLC,0.6,2025-08-22,NL0015002AH0,Havas N.V.,archive
Citadel Advisors LLC,0.5,2025-08-22,NL0010558797,OCI N.V.,archive
"D. E. Shaw & Co., L.P.",0.32,2025-08-22,NL0010391025,Pharming Group N.V.,archive
"D. E. Shaw & Co., L.P.",0.48,2025-08-22,NL0011821392,Signify N.V.,archive
Millennium International Management LP,0.7,2025-08-22,NL0012817175,Alfen N.V.,archive
Millennium International Management LP,0.51,2025-08-22,NL0012866412,BE Semiconductor Industries N.V.,archive
Millennium International Management LP,0.5,2025-08-22,BE0003818359,Galapagos NV,archive
Millennium International Management LP,1.45,2025-08-22,NL0010391025,Pharming Group N.V.,archive
Numeric Investors LLC,0.69,2025-08-22,NL0010558797,OCI N.V.,archive
"PDT Partners, LLC",2.06,2025-08-22,NL0012817175,Alfen N.V.,archive
Citadel Advisors LLC,0.49,2025-08-21,NL0010776944,Brunel International N.V.,archive
Citadel Advisors LLC,0.59,2025-08-21,NL0015002AH0,Havas N.V.,archive
Marshall Wace LLP,0.69,2025-08-21,NL0000009082,Koninklijke KPN N.V.,archive
Millennium International Management LP,0.63,2025-08-21,NL0012817175,Alfen N.V.,archive
"BlackRock Advisors, LLC",0.62,2025-08-20,NL0000852564,Aalberts N.V.,archive
Citadel Securities (Europe) Limited,0.34,2025-08-20,NL0015002AG2,Ebusco Holding N.V.,archive
"D. E. Shaw & Co., L.P.",1.5,2025-08-20,NL0012817175,Alfen N.V.,archive
Millennium Capital (DIFC) Limited,0.5,2025-08-20,NL0012817175,Alfen N.V.,archive
Voleon Capital Management LP,1.53,2025-08-20,NL0012817175,Alfen N.V.,archive
"WorldQuant, LLC",0.51,2025-08-20,NL0009739416,PostNL N.V.,archive
"Arrowstreet Capital, Limited Partnership",1.69,2025-08-19,BE0003818359,Galapagos NV,archive
"BlackRock Institutional Trust Company, National Association",0.6,2025-08-19,NL0010801007,IMCD N.V.,archive
Citadel Securities (Europe) Limited,0.68,2025-08-19,NL0015002AG2,Ebusco Holding N.V.,archive
"D. E. Shaw & Co., L.P.",1.46,2025-08-19,NL0012817175,Alfen N.V.,archive
Marshall Wace LLP,0.69,2025-08-19,NL0000379121,Randstad N.V.,archive
"PDT Partners, LLC",0.7,2025-08-19,NL00150003E1,Fugro N.V.,archive
AKO Capital LLP,1.5,2025-08-18,NL0013267909,Akzo Nobel N.V.,archive
Citadel Advisors LLC,0.49,2025-08-18,NL0000888691,AMG Critical Materials N.V.,archive
Citadel Advisors LLC,0.48,2025-08-18,NL0010391025,Pharming Group N.V.,archive
Citadel Securities (Europe) Limited,0.92,2025-08-18,NL0015002AG2,Ebusco Holding N.V.,archive
"D. E. Shaw & Co., L.P.",1.56,2025-08-18,NL0012817175,Alfen N.V.,archive
Millennium International Management LP,1.51,2025-08-18,NL0010391025,Pharming Group N.V.,archive
Voleon Capital Management LP,1.6,2025-08-18,NL0015002IE0,Avantium N.V.,archive
Citadel Securities (Europe) Limited,0.43,2025-08-15,NL0015002AG2,Ebusco Holding N.V.,archive
"D. E. Shaw & Co., L.P.",0.59,2025-08-15,NL0010391025,Pharming Group N.V.,archive
Millennium International Management LP,0.81,2025-08-15,NL00150003E1,Fugro N.V.,archive
Millennium International Management LP,1.49,2025-08-15,NL0010391025,Pharming Group N.V.,archive
"PDT Partners, LLC",2.18,2025-08-15,NL0012817175,Alfen N.V.,archive
Citadel Securities (Europe) Limited,0.7,2025-08-14,NL0015002AG2,Ebusco Holding N.V.,archive
"D. E. Shaw & Co., L.P.",1.67,2025-08-14,NL0012817175,Alfen N.V.,archive
Kintbury Capital LLP,0.5,2025-08-14,NL0013267909,Akzo Nobel N.V.,archive
Kintbury Capital LLP,0.63,2025-08-14,LU2290522684,InPost S.A.,archive
Millennium International Management LP,1.5,2025-08-14,NL0010391025,Pharming Group N.V.,archive
"PDT Partners, LLC",0.68,2025-08-14,NL00150003E1,Fugro N.V.,archive
Syquant Capital,0.81,2025-08-14,NL0015001OJ9,MFE-MEDIAFOREUROPE N.V.,archive
"BlackRock Advisors, LLC",0.5,2025-08-13,NL0000852564,Aalberts N.V.,archive
