position_holder,issuer_name,net_short_position,position_date,isin,source
Millennium International Management LP,Alfen N.V.,0.92,2024-11-20,NL0012817175,archive
Millennium International Management LP,Aperam S.A.,0.72,2024-11-20,LU0569974404,archive
Millennium International Management LP,Pharming Group N.V.,3.1,2024-11-20,NL0010391025,archive
"PDT Partners, LLC",Alfen N.V.,1.87,2024-11-20,NL0012817175,archive
"Point72 Europe (London), LLP",Signify N.V.,0.43,2024-11-20,NL0011821392,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2.41,2024-11-20,NL0012817175,archive
Qube Research & Technologies Ltd.,Aperam S.A.,0.59,2024-11-20,LU0569974404,archive
Qube Research & Technologies Ltd.,Lakefront Biotherapeutics NV,0.61,2024-11-20,BE0003818359,archive
AKO Capital LLP,Akzo Nobel N.V.,1.25,2024-11-19,NL0013267909,archive
AKO Capital LLP,Randstad N.V.,0.69,2024-11-19,NL0000379121,archive
Citadel Advisors LLC,Alfen N.V.,1.29,2024-11-19,NL0012817175,archive
Marshall Wace LLP,Koninklijke KPN N.V.,0.98,2024-11-19,NL0000009082,archive
Millennium Capital Partners LLP,Aperam S.A.,0.82,2024-11-19,LU0569974404,archive
Millennium International Management LP,Alfen N.V.,0.82,2024-11-19,NL0012817175,archive
"PDT Partners, LLC",Alfen N.V.,1.94,2024-11-19,NL0012817175,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2.38,2024-11-19,NL0012817175,archive
Qube Research & Technologies Ltd.,Flow Traders Ltd.,1.1,2024-11-19,BMG3602E1084,archive
Qube Research & Technologies Ltd.,OCI N.V.,1.92,2024-11-19,NL0010558797,archive
Citadel Advisors LLC,Alfen N.V.,1.11,2024-11-18,NL0012817175,archive
Marshall Wace LLP,AMG Critical Materials N.V.,1.41,2024-11-18,NL0000888691,archive
Marshall Wace LLP,Koninklijke Ahold Delhaize N.V.,0.59,2024-11-18,NL0011794037,archive
Marshall Wace LLP,OCI N.V.,1.53,2024-11-18,NL0010558797,archive
Millennium Capital Partners LLP,Alfen N.V.,1.32,2024-11-18,NL0012817175,archive
Millennium Capital Partners LLP,Aperam S.A.,0.76,2024-11-18,LU0569974404,archive
Millennium International Management LP,Aperam S.A.,0.61,2024-11-18,LU0569974404,archive
Qube Research & Technologies Ltd.,Aperam S.A.,0.6,2024-11-18,LU0569974404,archive
Qube Research & Technologies Ltd.,Pharming Group N.V.,0.71,2024-11-18,NL0010391025,archive
"WorldQuant, LLC",BE Semiconductor Industries N.V.,0.6,2024-11-18,NL0012866412,archive
"AQR Capital Management, LLC",BE Semiconductor Industries N.V.,0.52,2024-11-15,NL0012866412,archive
"Connor, Clark & Lunn Investment Management Ltd.",BE Semiconductor Industries N.V.,0.52,2024-11-15,NL0012866412,archive
Jane Street Group LLC,Ebusco Holding N.V.,0.6,2024-11-15,NL0015002AG2,archive
Marshall Wace LLP,PostNL N.V.,1.08,2024-11-15,NL0009739416,archive
Millennium International Management LP,Alfen N.V.,0.62,2024-11-15,NL0012817175,archive
Otus Capital Management Ltd.,TomTom N.V.,1.08,2024-11-15,NL0013332471,archive
"PDT Partners, LLC",Alfen N.V.,1.74,2024-11-15,NL0012817175,archive
Qube Research & Technologies Ltd.,Lakefront Biotherapeutics NV,0.51,2024-11-15,BE0003818359,archive
SIH Partners LLLP,AMG Critical Materials N.V.,0.26,2024-11-15,NL0000888691,archive
TFG Asset Management UK LLP,CM.com N.V.,0.51,2024-11-15,NL0012747059,archive
"WorldQuant, LLC",Alfen N.V.,0.43,2024-11-15,NL0012817175,archive
Capital Fund Management S.A.,AMG Critical Materials N.V.,0.46,2024-11-14,NL0000888691,archive
Citadel Advisors LLC,Alfen N.V.,1.05,2024-11-14,NL0012817175,archive
Citadel Advisors LLC,OCI N.V.,0.83,2024-11-14,NL0010558797,archive
"Connor, Clark & Lunn Investment Management Ltd.",Alfen N.V.,0.48,2024-11-14,NL0012817175,archive
Marshall Wace LLP,Koninklijke KPN N.V.,1.06,2024-11-14,NL0000009082,archive
Marshall Wace LLP,OCI N.V.,1.41,2024-11-14,NL0010558797,archive
Millennium Capital Partners LLP,Ebusco Holding N.V.,0.91,2024-11-14,NL0015002AG2,archive
"PDT Partners, LLC",Alfen N.V.,1.8,2024-11-14,NL0012817175,archive
Qube Research & Technologies Ltd.,OCI N.V.,1.81,2024-11-14,NL0010558797,archive
SIH Partners LLLP,AMG Critical Materials N.V.,0.58,2024-11-14,NL0000888691,archive
"WorldQuant, LLC",Alfen N.V.,0.56,2024-11-14,NL0012817175,archive
BlackRock Investment Management (UK) Limited,Basic-Fit N.V.,0.01,2024-11-13,NL0011872650,archive
Capital Fund Management S.A.,AMG Critical Materials N.V.,0.54,2024-11-13,NL0000888691,archive
Marshall Wace LLP,Akzo Nobel N.V.,1.1,2024-11-13,NL0013267909,archive
Marshall Wace LLP,OCI N.V.,1.36,2024-11-13,NL0010558797,archive
Millennium International Management LP,Alfen N.V.,0.52,2024-11-13,NL0012817175,archive
Millennium International Management LP,Aperam S.A.,0.51,2024-11-13,LU0569974404,archive
"Point72 Europe (London), LLP",Signify N.V.,0.55,2024-11-13,NL0011821392,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2.28,2024-11-13,NL0012817175,archive
Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2.09,2024-11-13,NL0000888691,archive
Qube Research & Technologies Ltd.,Aperam S.A.,0.54,2024-11-13,LU0569974404,archive
Qube Research & Technologies Ltd.,Flow Traders Ltd.,1.09,2024-11-13,BMG3602E1084,archive
Qube Research & Technologies Ltd.,OCI N.V.,1.76,2024-11-13,NL0010558797,archive
Qube Research & Technologies Ltd.,PostNL N.V.,1.6,2024-11-13,NL0009739416,archive
"WorldQuant, LLC",BE Semiconductor Industries N.V.,0.54,2024-11-13,NL0012866412,archive
"WorldQuant, LLC",PostNL N.V.,0.51,2024-11-13,NL0009739416,archive
"AQR Capital Management, LLC",BE Semiconductor Industries N.V.,0.49,2024-11-12,NL0012866412,archive
"Arrowstreet Capital, Limited Partnership",Alfen N.V.,1.98,2024-11-12,NL0012817175,archive
Boldhaven Management LLP,ARCADIS N.V.,0.69,2024-11-12,NL0006237562,archive
Capital Fund Management S.A.,AMG Critical Materials N.V.,0.6,2024-11-12,NL0000888691,archive
Citadel Advisors LLC,Alfen N.V.,1.19,2024-11-12,NL0012817175,archive
Citadel Advisors LLC,OCI N.V.,0.78,2024-11-12,NL0010558797,archive
Jane Street Group LLC,Ebusco Holding N.V.,0.82,2024-11-12,NL0015002AG2,archive
Marshall Wace LLP,AMG Critical Materials N.V.,1.31,2024-11-12,NL0000888691,archive
Millennium Capital Partners LLP,Alfen N.V.,1.28,2024-11-12,NL0012817175,archive
Millennium Capital Partners LLP,Aperam S.A.,0.6,2024-11-12,LU0569974404,archive
Millennium International Management LP,Pharming Group N.V.,3.02,2024-11-12,NL0010391025,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2.32,2024-11-12,NL0012817175,archive
Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2.15,2024-11-12,NL0000888691,archive
Qube Research & Technologies Ltd.,Flow Traders Ltd.,1.14,2024-11-12,BMG3602E1084,archive
Qube Research & Technologies Ltd.,OCI N.V.,1.66,2024-11-12,NL0010558797,archive
SIH Partners LLLP,AMG Critical Materials N.V.,0.66,2024-11-12,NL0000888691,archive
"WorldQuant, LLC",Alfen N.V.,0.64,2024-11-12,NL0012817175,archive
"AQR Capital Management, LLC",BE Semiconductor Industries N.V.,0.5,2024-11-11,NL0012866412,archive
Capital Fund Management S.A.,AMG Critical Materials N.V.,0.47,2024-11-11,NL0000888691,archive
Citadel Securities (Europe) Limited,Ebusco Holding N.V.,0.37,2024-11-11,NL0015002AG2,archive
JPMorgan Asset Management (UK) Ltd.,Aperam S.A.,0.42,2024-11-11,LU0569974404,archive
Marshall Wace LLP,Koninklijke KPN N.V.,0.99,2024-11-11,NL0000009082,archive
Marshall Wace LLP,OCI N.V.,1.21,2024-11-11,NL0010558797,archive
Mirabella Financial Services LLP,Signify N.V.,0.49,2024-11-11,NL0011821392,archive
"PDT Partners, LLC",Alfen N.V.,1.76,2024-11-11,NL0012817175,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2.24,2024-11-11,NL0012817175,archive
Qube Research & Technologies Ltd.,OCI N.V.,1.59,2024-11-11,NL0010558797,archive
"AQR Capital Management, LLC",BE Semiconductor Industries N.V.,0.49,2024-11-08,NL0012866412,archive
Capital Fund Management S.A.,AMG Critical Materials N.V.,0.53,2024-11-08,NL0000888691,archive
Citadel Advisors LLC,Alfen N.V.,1.22,2024-11-08,NL0012817175,archive
Citadel Securities (Europe) Limited,Ebusco Holding N.V.,0.79,2024-11-08,NL0015002AG2,archive
JPMorgan Asset Management (UK) Ltd.,Basic-Fit N.V.,0.81,2024-11-08,NL0011872650,archive
Mirabella Financial Services LLP,Signify N.V.,0.51,2024-11-08,NL0011821392,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2.48,2024-11-08,NL0012817175,archive
Qube Research & Technologies Ltd.,Basic-Fit N.V.,0.99,2024-11-08,NL0011872650,archive
Qube Research & Technologies Ltd.,OCI N.V.,1.6,2024-11-08,NL0010558797,archive
Qube Research & Technologies Ltd.,PostNL N.V.,1.51,2024-11-08,NL0009739416,archive
AKO Capital LLP,Signify N.V.,0.79,2024-11-07,NL0011821392,archive
"Connor, Clark & Lunn Investment Management Ltd.",Alfen N.V.,0.56,2024-11-07,NL0012817175,archive
Marshall Wace LLP,AMG Critical Materials N.V.,1.21,2024-11-07,NL0000888691,archive
Marshall Wace LLP,PostNL N.V.,1.1,2024-11-07,NL0009739416,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2.04,2024-11-07,NL0012817175,archive
Qube Research & Technologies Ltd.,Lakefront Biotherapeutics NV,0.49,2024-11-07,BE0003818359,archive
Qube Research & Technologies Ltd.,OCI N.V.,1.58,2024-11-07,NL0010558797,archive
SIH Partners LLLP,AMG Critical Materials N.V.,0.58,2024-11-07,NL0000888691,archive
Citadel Advisors LLC,Alfen N.V.,1.18,2024-11-06,NL0012817175,archive
Marshall Wace LLP,Akzo Nobel N.V.,1.04,2024-11-06,NL0013267909,archive
Marshall Wace LLP,Koninklijke Ahold Delhaize N.V.,0.6,2024-11-06,NL0011794037,archive
Marshall Wace LLP,OCI N.V.,1.12,2024-11-06,NL0010558797,archive
Millennium Capital Partners LLP,Alfen N.V.,1.38,2024-11-06,NL0012817175,archive
Millennium International Management LP,Pharming Group N.V.,2.9,2024-11-06,NL0010391025,archive
"PDT Partners, LLC",Alfen N.V.,1.86,2024-11-06,NL0012817175,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2.23,2024-11-06,NL0012817175,archive
Qube Research & Technologies Ltd.,Flow Traders Ltd.,1.25,2024-11-06,BMG3602E1084,archive
"WorldQuant, LLC",Alfen N.V.,0.78,2024-11-06,NL0012817175,archive
Citadel Advisors LLC,Alfen N.V.,1.27,2024-11-05,NL0012817175,archive
Citadel Advisors LLC,TomTom N.V.,0.49,2024-11-05,NL0013332471,archive
Marshall Wace LLP,AMG Critical Materials N.V.,1.1,2024-11-05,NL0000888691,archive
Marshall Wace LLP,OCI N.V.,1.04,2024-11-05,NL0010558797,archive
Marshall Wace LLP,PostNL N.V.,1.02,2024-11-05,NL0009739416,archive
Qube Research & Technologies Ltd.,Aperam S.A.,0.48,2024-11-05,LU0569974404,archive
"WorldQuant, LLC",Alfen N.V.,0.84,2024-11-05,NL0012817175,archive
"Arrowstreet Capital, Limited Partnership",OCI N.V.,0.51,2024-11-04,NL0010558797,archive
Boldhaven Management LLP,ARCADIS N.V.,0.7,2024-11-04,NL0006237562,archive
Marshall Wace LLP,Koninklijke Ahold Delhaize N.V.,0.5,2024-11-04,NL0011794037,archive
Marshall Wace LLP,OCI N.V.,0.94,2024-11-04,NL0010558797,archive
Marshall Wace LLP,PostNL N.V.,0.99,2024-11-04,NL0009739416,archive
Millennium Capital Partners LLP,Alfen N.V.,1.4,2024-11-04,NL0012817175,archive
Millennium International Management LP,Pharming Group N.V.,2.8,2024-11-04,NL0010391025,archive
Qube Research & Technologies Ltd.,Alfen N.V.,1.92,2024-11-04,NL0012817175,archive
Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2.09,2024-11-04,NL0000888691,archive
Qube Research & Technologies Ltd.,Flow Traders Ltd.,1.39,2024-11-04,BMG3602E1084,archive
Qube Research & Technologies Ltd.,Lakefront Biotherapeutics NV,0.5,2024-11-04,BE0003818359,archive
Qube Research & Technologies Ltd.,OCI N.V.,1.64,2024-11-04,NL0010558797,archive
Qube Research & Technologies Ltd.,PostNL N.V.,1.42,2024-11-04,NL0009739416,archive
BlackRock Investment Management (UK) Limited,Basic-Fit N.V.,0.58,2024-11-01,NL0011872650,archive
Citadel Advisors LLC,OCI N.V.,0.62,2024-11-01,NL0010558797,archive
Marshall Wace LLP,AMG Critical Materials N.V.,1.09,2024-11-01,NL0000888691,archive
Marshall Wace LLP,OCI N.V.,0.81,2024-11-01,NL0010558797,archive
Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2.1,2024-11-01,NL0000888691,archive
Qube Research & Technologies Ltd.,Flow Traders Ltd.,1.44,2024-11-01,BMG3602E1084,archive
Wellington Management International Ltd.,Basic-Fit N.V.,0.6,2024-11-01,NL0011872650,archive
"WorldQuant, LLC",Alfen N.V.,0.98,2024-11-01,NL0012817175,archive
Citadel Advisors LLC,OCI N.V.,0.52,2024-10-31,NL0010558797,archive
Millennium International Management LP,Pharming Group N.V.,2.71,2024-10-31,NL0010391025,archive
Qube Research & Technologies Ltd.,Alfen N.V.,1.86,2024-10-31,NL0012817175,archive
Qube Research & Technologies Ltd.,Flow Traders Ltd.,1.51,2024-10-31,BMG3602E1084,archive
Acadian Asset Management LLC.,AMG Critical Materials N.V.,0.56,2024-10-30,NL0000888691,archive
AKO Capital LLP,Akzo Nobel N.V.,1.31,2024-10-30,NL0013267909,archive
BlackRock Investment Management (UK) Limited,Basic-Fit N.V.,0.74,2024-10-30,NL0011872650,archive
Citadel Advisors LLC,Alfen N.V.,1.39,2024-10-30,NL0012817175,archive
Marshall Wace LLP,OCI N.V.,0.5,2024-10-30,NL0010558797,archive
Millennium Capital Partners LLP,Alfen N.V.,1.31,2024-10-30,NL0012817175,archive
Millennium Capital Partners LLP,Aperam S.A.,0.56,2024-10-30,LU0569974404,archive
Qube Research & Technologies Ltd.,Alfen N.V.,1.76,2024-10-30,NL0012817175,archive
Qube Research & Technologies Ltd.,Flow Traders Ltd.,1.48,2024-10-30,BMG3602E1084,archive
Qube Research & Technologies Ltd.,OCI N.V.,1.52,2024-10-30,NL0010558797,archive
TFG Asset Management UK LLP,Fugro N.V.,0.2,2024-10-30,NL0000352565,archive
"Arrowstreet Capital, Limited Partnership",Lakefront Biotherapeutics NV,1.19,2024-10-29,BE0003818359,archive
Citadel Advisors LLC,Alfen N.V.,1.4,2024-10-29,NL0012817175,archive
Millennium Capital Partners LLP,Alfen N.V.,1.29,2024-10-29,NL0012817175,archive
Millennium Capital Partners LLP,Aperam S.A.,0.6,2024-10-29,LU0569974404,archive
Qube Research & Technologies Ltd.,OCI N.V.,1.41,2024-10-29,NL0010558797,archive
Qube Research & Technologies Ltd.,Pharming Group N.V.,0.69,2024-10-29,NL0010391025,archive
"WorldQuant, LLC",Alfen N.V.,1.07,2024-10-29,NL0012817175,archive
Millennium International Management LP,Alfen N.V.,0.44,2024-10-28,NL0012817175,archive
Millennium International Management LP,OCI N.V.,0.0,2024-10-28,NL0010558797,archive
Millennium International Management LP,PostNL N.V.,0.39,2024-10-28,NL0009739416,archive
"Point72 Europe (London), LLP",Signify N.V.,0.44,2024-10-28,NL0011821392,archive
Qube Research & Technologies Ltd.,Alfen N.V.,1.64,2024-10-28,NL0012817175,archive
Qube Research & Technologies Ltd.,OCI N.V.,1.31,2024-10-28,NL0010558797,archive
Qube Research & Technologies Ltd.,Pharming Group N.V.,0.7,2024-10-28,NL0010391025,archive
Qube Research & Technologies Ltd.,PostNL N.V.,1.31,2024-10-28,NL0009739416,archive
"WorldQuant, LLC",Alfen N.V.,1.11,2024-10-28,NL0012817175,archive
AKO Capital LLP,Signify N.V.,0.69,2024-10-25,NL0011821392,archive
"Arrowstreet Capital, Limited Partnership",Alfen N.V.,2.0,2024-10-25,NL0012817175,archive
Citadel Advisors LLC,Alfen N.V.,1.38,2024-10-25,NL0012817175,archive
Marshall Wace LLP,AMG Critical Materials N.V.,1.12,2024-10-25,NL0000888691,archive
Millennium International Management LP,Alfen N.V.,0.54,2024-10-25,NL0012817175,archive
Millennium International Management LP,OCI N.V.,0.75,2024-10-25,NL0010558797,archive
Millennium International Management LP,Pharming Group N.V.,2.61,2024-10-25,NL0010391025,archive
"Point72 Europe (London), LLP",Signify N.V.,0.5,2024-10-25,NL0011821392,archive
Qube Research & Technologies Ltd.,Alfen N.V.,1.76,2024-10-25,NL0012817175,archive
Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2.07,2024-10-25,NL0000888691,archive
Qube Research & Technologies Ltd.,Flow Traders Ltd.,1.58,2024-10-25,BMG3602E1084,archive
Qube Research & Technologies Ltd.,Pharming Group N.V.,0.68,2024-10-25,NL0010391025,archive
Teacher Retirement System of Texas,Alfen N.V.,0.05,2024-10-25,NL0012817175,archive
Citadel Advisors LLC,Alfen N.V.,1.44,2024-10-24,NL0012817175,archive
Marshall Wace LLP,Akzo Nobel N.V.,0.91,2024-10-24,NL0013267909,archive
Millennium International Management LP,Alfen N.V.,0.66,2024-10-24,NL0012817175,archive
Millennium International Management LP,OCI N.V.,0.61,2024-10-24,NL0010558797,archive
Millennium International Management LP,Pharming Group N.V.,2.51,2024-10-24,NL0010391025,archive
Millennium International Management LP,PostNL N.V.,0.5,2024-10-24,NL0009739416,archive
"PDT Partners, LLC",Alfen N.V.,1.99,2024-10-24,NL0012817175,archive
"PDT Partners, LLC",AMG Critical Materials N.V.,0.57,2024-10-24,NL0000888691,archive
Qube Research & Technologies Ltd.,Alfen N.V.,1.89,2024-10-24,NL0012817175,archive
Qube Research & Technologies Ltd.,Pharming Group N.V.,0.8,2024-10-24,NL0010391025,archive
Qube Research & Technologies Ltd.,TomTom N.V.,0.6,2024-10-24,NL0013332471,archive
AKO Capital LLP,Akzo Nobel N.V.,1.22,2024-10-23,NL0013267909,archive
"AQR Capital Management, LLC",AMG Critical Materials N.V.,0.68,2024-10-23,NL0000888691,archive
Citadel Advisors LLC,Alfen N.V.,1.6,2024-10-23,NL0012817175,archive
Millennium International Management LP,Alfen N.V.,0.78,2024-10-23,NL0012817175,archive
"PDT Partners, LLC",AMG Critical Materials N.V.,0.6,2024-10-23,NL0000888691,archive
Qube Research & Technologies Ltd.,Avantium N.V.,0.8,2024-10-23,NL0012047823,archive
Qube Research & Technologies Ltd.,Basic-Fit N.V.,1.09,2024-10-23,NL0011872650,archive
Qube Research & Technologies Ltd.,OCI N.V.,1.13,2024-10-23,NL0010558797,archive
AKO Capital LLP,Randstad N.V.,0.76,2024-10-22,NL0000379121,archive
"BlackRock Advisors, LLC",Alfen N.V.,0.47,2024-10-22,NL0012817175,archive
Canada Pension Plan Investment Board,BE Semiconductor Industries N.V.,0.68,2024-10-22,NL0012866412,archive
Millennium International Management LP,Pharming Group N.V.,2.25,2024-10-22,NL0010391025,archive
Qube Research & Technologies Ltd.,Basic-Fit N.V.,1.1,2024-10-22,NL0011872650,archive
Qube Research & Technologies Ltd.,Pharming Group N.V.,0.66,2024-10-22,NL0010391025,archive
"BlackRock Advisors, LLC",Alfen N.V.,0.57,2024-10-21,NL0012817175,archive
"BlackRock Financial Management, Inc.",Alfen N.V.,0.26,2024-10-21,NL0012817175,archive
Ilex Capital Partners (UK) LLP,Koninklijke Ahold Delhaize N.V.,0.59,2024-10-21,NL0011794037,archive
Marshall Wace LLP,Koninklijke KPN N.V.,1.0,2024-10-21,NL0000009082,archive
Millennium International Management LP,Alfen N.V.,0.88,2024-10-21,NL0012817175,archive
Qube Research & Technologies Ltd.,PostNL N.V.,1.23,2024-10-21,NL0009739416,archive
"WorldQuant, LLC",Alfen N.V.,1.03,2024-10-21,NL0012817175,archive
Citadel Advisors LLC,Alfen N.V.,1.55,2024-10-18,NL0012817175,archive
Citadel Securities (Europe) Limited,Ebusco Holding N.V.,0.44,2024-10-18,NL0015000CZ2,archive
Millennium International Management LP,Alfen N.V.,0.92,2024-10-18,NL0012817175,archive
Qube Research & Technologies Ltd.,Basic-Fit N.V.,1.08,2024-10-18,NL0011872650,archive
Qube Research & Technologies Ltd.,OCI N.V.,1.0,2024-10-18,NL0010558797,archive
"WorldQuant, LLC",Alfen N.V.,0.97,2024-10-18,NL0012817175,archive
"AQR Capital Management, LLC",BE Semiconductor Industries N.V.,0.5,2024-10-17,NL0012866412,archive
Balyasny Asset Management (UK) LLP,SBM Offshore N.V.,0.48,2024-10-17,NL0000360618,archive
Citadel Advisors LLC,Alfen N.V.,1.6,2024-10-17,NL0012817175,archive
Ilex Capital Partners (UK) LLP,Koninklijke Ahold Delhaize N.V.,0.6,2024-10-17,NL0011794037,archive
Millennium International Management LP,Alfen N.V.,1.08,2024-10-17,NL0012817175,archive
Qube Research & Technologies Ltd.,Aperam S.A.,0.52,2024-10-17,LU0569974404,archive
Qube Research & Technologies Ltd.,PostNL N.V.,1.19,2024-10-17,NL0009739416,archive
"WorldQuant, LLC",Alfen N.V.,0.76,2024-10-17,NL0012817175,archive
AKO Capital LLP,Signify N.V.,0.93,2024-10-16,NL0011821392,archive
Capital Fund Management S.A.,AMG Critical Materials N.V.,0.47,2024-10-16,NL0000888691,archive
"Connor, Clark & Lunn Investment Management Ltd.",Alfen N.V.,0.66,2024-10-16,NL0012817175,archive
"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,0.78,2024-10-16,NL0000888691,archive
Marshall Wace LLP,Akzo Nobel N.V.,0.8,2024-10-16,NL0013267909,archive
Marshall Wace LLP,PostNL N.V.,0.8,2024-10-16,NL0009739416,archive
Millennium International Management LP,Alfen N.V.,1.24,2024-10-16,NL0012817175,archive
Millennium International Management LP,Pharming Group N.V.,2.11,2024-10-16,NL0010391025,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2.18,2024-10-16,NL0012817175,archive
Qube Research & Technologies Ltd.,OCI N.V.,0.93,2024-10-16,NL0010558797,archive
"WorldQuant, LLC",Alfen N.V.,0.54,2024-10-16,NL0012817175,archive
Balyasny Asset Management (UK) LLP,Fugro N.V.,0.49,2024-10-15,NL00150003E1,archive
Capital Fund Management S.A.,AMG Critical Materials N.V.,0.5,2024-10-15,NL0000888691,archive
Citadel Advisors LLC,Alfen N.V.,1.53,2024-10-15,NL0012817175,archive
"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,0.8,2024-10-15,NL0000888691,archive
Marshall Wace LLP,AMG Critical Materials N.V.,1.08,2024-10-15,NL0000888691,archive
Otus Capital Management Ltd.,TomTom N.V.,1.11,2024-10-15,NL0013332471,archive
"PDT Partners, LLC",Alfen N.V.,2.03,2024-10-15,NL0012817175,archive
Qube Research & Technologies Ltd.,Alfen N.V.,2.2,2024-10-15,NL0012817175,archive
Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2.18,2024-10-15,NL0000888691,archive
Qube Research & Technologies Ltd.,Flow Traders Ltd.,1.66,2024-10-15,BMG3602E1084,archive
Actus Ray Partners Limited,AMG Critical Materials N.V.,0.5,2024-10-14,NL0000888691,archive
Ilex Capital Partners (UK) LLP,Koninklijke Ahold Delhaize N.V.,0.59,2024-10-14,NL0011794037,archive
Millennium International Management LP,Alfen N.V.,1.46,2024-10-14,NL0012817175,archive
Otus Capital Management Ltd.,TomTom N.V.,1.03,2024-10-14,NL0013332471,archive
Qube Research & Technologies Ltd.,Alfen N.V.,1.91,2024-10-14,NL0012817175,archive
Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2.2,2024-10-14,NL0000888691,archive
Qube Research & Technologies Ltd.,Avantium N.V.,0.71,2024-10-14,NL0012047823,archive
Qube Research & Technologies Ltd.,PostNL N.V.,1.2,2024-10-14,NL0009739416,archive
"Arrowstreet Capital, Limited Partnership",Pharming Group N.V.,1.0,2024-10-11,NL0010391025,archive
Canada Pension Plan Investment Board,BE Semiconductor Industries N.V.,0.71,2024-10-11,NL0012866412,archive
Citadel Advisors LLC,Alfen N.V.,1.15,2024-10-11,NL0012817175,archive
Marshall Wace LLP,Koninklijke KPN N.V.,0.98,2024-10-11,NL0000009082,archive
Millennium Capital Partners LLP,Alfen N.V.,1.37,2024-10-11,NL0012817175,archive
Millennium International Management LP,Pharming Group N.V.,2.01,2024-10-11,NL0010391025,archive
Otus Capital Management Ltd.,TomTom N.V.,0.82,2024-10-11,NL0013332471,archive
"PDT Partners, LLC",Alfen N.V.,1.94,2024-10-11,NL0012817175,archive
Qube Research & Technologies Ltd.,Alfen N.V.,1.84,2024-10-11,NL0012817175,archive
Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2.19,2024-10-11,NL0000888691,archive
Qube Research & Technologies Ltd.,OCI N.V.,0.77,2024-10-11,NL0010558797,archive
Qube Research & Technologies Ltd.,Pharming Group N.V.,0.53,2024-10-11,NL0010391025,archive
Qube Research & Technologies Ltd.,PostNL N.V.,1.13,2024-10-11,NL0009739416,archive
AKO Capital LLP,Randstad N.V.,0.87,2024-10-10,NL0000379121,archive
"Arrowstreet Capital, Limited Partnership",Pharming Group N.V.,0.91,2024-10-10,NL0010391025,archive
Balyasny Asset Management (UK) LLP,Fugro N.V.,0.58,2024-10-10,NL00150003E1,archive
Balyasny Asset Management (UK) LLP,SBM Offshore N.V.,0.59,2024-10-10,NL0000360618,archive
Canada Pension Plan Investment Board,BE Semiconductor Industries N.V.,0.65,2024-10-10,NL0012866412,archive
Citadel Advisors LLC,Alfen N.V.,1.26,2024-10-10,NL0012817175,archive
GSA Capital Partners LLP,Pharming Group N.V.,0.51,2024-10-10,NL0010391025,archive
Millennium International Management LP,Alfen N.V.,1.78,2024-10-10,NL0012817175,archive
Qube Research & Technologies Ltd.,Alfen N.V.,1.5,2024-10-10,NL0012817175,archive
Qube Research & Technologies Ltd.,Aperam S.A.,0.49,2024-10-10,LU0569974404,archive
Qube Research & Technologies Ltd.,Avantium N.V.,0.65,2024-10-10,NL0012047823,archive
Qube Research & Technologies Ltd.,Flow Traders Ltd.,1.75,2024-10-10,BMG3602E1084,archive
Citadel Advisors LLC,Alfen N.V.,1.36,2024-10-09,NL0012817175,archive
"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,0.78,2024-10-09,NL0000888691,archive
GSA Capital Partners LLP,PostNL N.V.,0.51,2024-10-09,NL0009739416,archive
Marshall Wace LLP,PostNL N.V.,0.71,2024-10-09,NL0009739416,archive
Millennium International Management LP,Pharming Group N.V.,1.93,2024-10-09,NL0010391025,archive
Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2.2,2024-10-09,NL0000888691,archive
Qube Research & Technologies Ltd.,Avantium N.V.,0.71,2024-10-09,NL0012047823,archive
Qube Research & Technologies Ltd.,Basic-Fit N.V.,1.1,2024-10-09,NL0011872650,archive
Qube Research & Technologies Ltd.,PostNL N.V.,1.01,2024-10-09,NL0009739416,archive
AKO Capital LLP,Akzo Nobel N.V.,1.12,2024-10-08,NL0013267909,archive
"Arrowstreet Capital, Limited Partnership",Pharming Group N.V.,0.83,2024-10-08,NL0010391025,archive
"Connor, Clark & Lunn Investment Management Ltd.",Alfen N.V.,0.78,2024-10-08,NL0012817175,archive
Marshall Wace LLP,Koninklijke KPN N.V.,1.07,2024-10-08,NL0000009082,archive
Marshall Wace LLP,PostNL N.V.,0.69,2024-10-08,NL0009739416,archive
