position_holder,issuer_name,net_short_position,position_date,isin,source
Citadel Securities (Europe) Limited,Alfen N.V.,0.52,2026-07-06,NL0012817175,current
JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,2.08,2026-07-06,NL00150003E1,current
Marshall Wace LLP,DSM-Firmenich AG,1.0,2026-07-06,CH1216478797,current
Marshall Wace LLP,Signify N.V.,1.17,2026-07-06,NL0011821392,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,0.96,2026-07-06,NL0015002MS2,current
Winton Capital Management Limited,PostNL N.V.,0.59,2026-07-06,NL0009739416,current
"D. E. Shaw & Co. (London), LLP",Pharming Group N.V.,0.5,2026-07-03,NL0010391025,current
"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,0.69,2026-07-03,NL0011872650,current
JPMorgan Asset Management (UK) Ltd.,Sligro Food Group N.V.,0.67,2026-07-03,NL0000817179,current
Marshall Wace LLP,DSM-Firmenich AG,0.99,2026-07-03,CH1216478797,current
"Two Sigma Investments, LP",InPost S.A.,1.08,2026-07-03,LU2290522684,current
"BlackRock Advisors, LLC",Akzo Nobel N.V.,0.92,2026-07-02,NL0013267909,current
"BlackRock Financial Management, Inc.",Signify N.V.,0.7,2026-07-02,NL0011821392,current
Marshall Wace LLP,Signify N.V.,1.27,2026-07-02,NL0011821392,current
"Two Sigma Investments, LP",InPost S.A.,1.1,2026-07-02,LU2290522684,current
Actus Ray Partners Limited,Fugro N.V.,0.5,2026-07-01,NL00150003E1,current
"BlackRock Advisors, LLC",Akzo Nobel N.V.,0.85,2026-07-01,NL0013267909,current
Citadel Advisors LLC,DSM-Firmenich AG,0.88,2026-07-01,CH1216478797,current
Eleva Capital SAS,Signify N.V.,1.38,2026-07-01,NL0011821392,current
Fosse Capital Partners LLP,Basic-Fit N.V.,0.83,2026-07-01,NL0011872650,current
Marshall Wace LLP,DSM-Firmenich AG,1.0,2026-07-01,CH1216478797,current
Marshall Wace LLP,Signify N.V.,1.37,2026-07-01,NL0011821392,current
Millennium International Management LP,Akzo Nobel N.V.,0.72,2026-07-01,NL0013267909,current
"O'Connor Alternative Investments, LLC",Akzo Nobel N.V.,1.09,2026-07-01,NL0013267909,current
"AQR Capital Management, LLC",Adyen N.V.,0.79,2026-06-30,NL0012969182,current
"AQR Capital Management, LLC",Signify N.V.,1.09,2026-06-30,NL0011821392,current
