net_short_position,issuer_name,position_holder,isin,position_date,source
0.61,ArcelorMittal S.A.,"AQR Capital Management, LLC",LU1598757687,2026-04-01,current
1.1,Signify N.V.,"AQR Capital Management, LLC",NL0011821392,2026-04-01,current
1.21,IMCD N.V.,"Arrowstreet Capital, Limited Partnership",NL0010801007,2026-04-01,current
0.74,Signify N.V.,Canada Pension Plan Investment Board,NL0011821392,2026-04-01,current
2.36,Signify N.V.,Citadel Advisors LLC,NL0011821392,2026-04-01,current
0.69,ARCADIS N.V.,"D. E. Shaw & Co., L.P.",NL0006237562,2026-04-01,current
0.5,Basic-Fit N.V.,Eleva Capital SAS,NL0011872650,2026-04-01,current
1.79,Signify N.V.,Marshall Wace LLP,NL0011821392,2026-04-01,current
0.69,Akzo Nobel N.V.,Millennium International Management LP,NL0013267909,2026-04-01,current
1.3,Akzo Nobel N.V.,"O'Connor Alternative Investments, LLC",NL0013267909,2026-04-01,current
2.86,Alfen N.V.,"WorldQuant, LLC",NL0012817175,2026-04-01,current
0.62,IMCD N.V.,Capital Fund Management S.A.,NL0010801007,2026-03-31,current
2.4,Signify N.V.,Citadel Advisors LLC,NL0011821392,2026-03-31,current
1.09,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2026-03-31,current
1.21,Signify N.V.,Eleva Capital SAS,NL0011821392,2026-03-31,current
0.9,CVC Capital Partners plc,Qube Research & Technologies Ltd.,JE00BRX98089,2026-03-31,current
0.58,ING Groep N.V.,Viking Global Investors LP,NL0011821202,2026-03-31,current
0.9,Adyen N.V.,"AQR Capital Management, LLC",NL0012969182,2026-03-30,current
0.59,Akzo Nobel N.V.,"AQR Capital Management, LLC",NL0013267909,2026-03-30,current
0.6,IMCD N.V.,"D. E. Shaw & Co., L.P.",NL0010801007,2026-03-30,current
1.05,Signify N.V.,Eleva Capital SAS,NL0011821392,2026-03-30,current
0.64,The Magnum Ice Cream Company N.V.,GLG Partners LP,NL0015002MS2,2026-03-30,current
0.91,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,CH1216478797,2026-03-30,current
1.87,Signify N.V.,Marshall Wace LLP,NL0011821392,2026-03-30,current
1.59,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,NL0015002MS2,2026-03-30,current
0.61,NSI N.V.,Numeric Investors LLC,NL0012365084,2026-03-30,current
0.99,ARCADIS N.V.,Squarepoint Ops LLC,NL0006237562,2026-03-30,current
0.7,Theon International Plc,"Two Sigma Investments, LP",CY0200751713,2026-03-30,current
