net_short_position,issuer_name,position_holder,isin,position_date,source
1.01,Alfen N.V.,Voleon Capital Management LP,NL0012817175,2025-06-30,current
2.06,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-06-27,current
0.87,Basic-Fit N.V.,"D. E. Shaw & Co., L.P.",NL0011872650,2025-06-27,current
0.89,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",NL0012866412,2025-06-27,current
0.5,Signify N.V.,"PDT Partners, LLC",NL0011821392,2025-06-27,current
0.9,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",NL0012866412,2025-06-26,current
0.89,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",NL0012866412,2025-06-25,current
0.9,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",NL0012866412,2025-06-24,current
0.78,Pharming Group N.V.,Capstone Volatility Master (Cayman) Limited,NL0010391025,2025-06-20,current
0.7,Wereldhave N.V.,Citadel Advisors LLC,NL0000289213,2025-06-20,current
2.21,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2025-06-20,current
0.69,Pharming Group N.V.,Lazard Asset Management LLC,NL0010391025,2025-06-18,current
0.9,Alfen N.V.,Voleon Capital Management LP,NL0012817175,2025-06-18,current
1.39,Havas N.V.,"Atalan Capital Partners, LP",NL0015002AH0,2025-06-17,current
0.87,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",NL0012866412,2025-06-17,current
0.5,IMCD N.V.,"BlackRock Advisors, LLC",NL0010801007,2025-06-16,current
0.9,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",NL0012866412,2025-06-16,current
0.81,Alfen N.V.,Voleon Capital Management LP,NL0012817175,2025-06-13,current
0.81,Pharming Group N.V.,Capstone Volatility Master (Cayman) Limited,NL0010391025,2025-06-10,current
2.11,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-06-10,current
0.82,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",NL0012866412,2025-06-10,current
1.3,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2025-06-09,current
0.62,PostNL N.V.,"D. E. Shaw & Co., L.P.",NL0009739416,2025-06-06,current
0.73,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",NL0012866412,2025-06-05,current
1.27,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2025-06-04,current
2.0,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-06-03,current
1.59,Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,NL0011872650,2025-06-03,current
0.71,Alfen N.V.,Voleon Capital Management LP,NL0012817175,2025-06-02,current
0.68,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",NL0012866412,2025-05-30,current
2.1,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2025-05-30,current
0.7,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",NL0012866412,2025-05-29,current
1.99,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-05-28,current
1.4,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2025-05-27,current
0.6,Wereldhave N.V.,Citadel Advisors LLC,NL0000289213,2025-05-27,current
2.0,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2025-05-26,current
1.28,Havas N.V.,"Atalan Capital Partners, LP",NL0015002AH0,2025-05-22,current
0.52,Wereldhave N.V.,Citadel Advisors LLC,NL0000289213,2025-05-22,current
0.7,Shell plc,"Elliott Investment Management, L.P",GB00BP6MXD84,2025-05-22,current
0.74,Pharming Group N.V.,Capstone Volatility Master (Cayman) Limited,NL0010391025,2025-05-21,current
0.68,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",NL0012866412,2025-05-20,current
0.63,Alfen N.V.,Voleon Capital Management LP,NL0012817175,2025-05-20,current
2.07,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-05-19,current
0.71,Pharming Group N.V.,Lazard Asset Management LLC,NL0010391025,2025-05-19,current
0.59,Alfen N.V.,Voleon Capital Management LP,NL0012817175,2025-05-19,current
2.1,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-05-16,current
1.93,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-05-15,current
0.69,Pharming Group N.V.,Lazard Asset Management LLC,NL0010391025,2025-05-15,current
0.92,Havas N.V.,"Atalan Capital Partners, LP",NL0015002AH0,2025-05-14,current
1.69,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-05-14,current
1.99,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2025-05-14,current
1.47,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-05-13,current
0.88,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-05-12,current
0.59,PostNL N.V.,"D. E. Shaw & Co., L.P.",NL0009739416,2025-05-12,current
2.08,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2025-05-12,current
0.99,Basic-Fit N.V.,"D. E. Shaw & Co., L.P.",NL0011872650,2025-05-09,current
0.6,PostNL N.V.,"D. E. Shaw & Co., L.P.",NL0009739416,2025-05-09,current
0.67,Havas N.V.,"Atalan Capital Partners, LP",NL0015002AH0,2025-05-08,current
0.56,Pharming Group N.V.,Capstone Volatility Master (Cayman) Limited,NL0010391025,2025-05-08,current
0.73,Pharming Group N.V.,Lazard Asset Management LLC,NL0010391025,2025-05-08,current
0.5,Havas N.V.,"Atalan Capital Partners, LP",NL0015002AH0,2025-05-07,current
0.71,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",NL0012866412,2025-05-07,current
0.99,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-05-06,current
1.33,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2025-05-02,current
1.06,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-05-02,current
0.52,PostNL N.V.,"D. E. Shaw & Co., L.P.",NL0009739416,2025-04-30,current
1.28,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-04-29,current
1.33,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-04-28,current
1.49,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-04-24,current
1.58,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-04-22,current
2.19,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2025-04-22,current
0.6,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",NL0012866412,2025-04-17,current
2.27,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2025-04-16,current
1.2,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2025-04-15,current
2.36,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2025-04-15,current
1.62,Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,NL0011872650,2025-04-14,current
1.57,Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,NL0011872650,2025-04-11,current
1.17,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2025-04-10,current
1.05,Basic-Fit N.V.,"D. E. Shaw & Co., L.P.",NL0011872650,2025-04-10,current
1.66,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-04-09,current
1.03,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,NL00150003E1,2025-04-09,current
0.61,Pharming Group N.V.,Lazard Asset Management LLC,NL0010391025,2025-04-09,current
0.93,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,NL00150003E1,2025-04-08,current
1.08,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2025-04-07,current
0.85,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,NL00150003E1,2025-04-07,current
1.2,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2025-04-04,current
1.5,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-04-04,current
0.91,Basic-Fit N.V.,"D. E. Shaw & Co., L.P.",NL0011872650,2025-04-04,current
0.63,Shell plc,"Elliott Investment Management, L.P",GB00BP6MXD84,2025-04-04,current
0.7,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,NL00150003E1,2025-04-04,current
1.31,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2025-04-03,current
1.39,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-04-03,current
0.61,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,NL00150003E1,2025-04-03,current
1.44,Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,NL0011872650,2025-04-02,current
0.58,Pharming Group N.V.,Lazard Asset Management LLC,NL0010391025,2025-04-02,current
0.7,IMCD N.V.,"Arrowstreet Capital, Limited Partnership",NL0010801007,2025-04-01,current
0.52,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,NL00150003E1,2025-04-01,current
1.21,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-03-31,current
1.11,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-03-27,current
1.41,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2025-03-26,current
0.5,Shell plc,"Elliott Investment Management, L.P",GB00BP6MXD84,2025-03-25,current
0.61,Pharming Group N.V.,Lazard Asset Management LLC,NL0010391025,2025-03-25,current
1.07,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-03-19,current
0.5,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",NL0012866412,2025-03-18,current
1.19,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-03-17,current
1.28,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-03-14,current
0.85,Basic-Fit N.V.,"D. E. Shaw & Co., L.P.",NL0011872650,2025-03-13,current
0.58,Pharming Group N.V.,Lazard Asset Management LLC,NL0010391025,2025-03-13,current
0.72,Basic-Fit N.V.,"D. E. Shaw & Co., L.P.",NL0011872650,2025-03-12,current
1.39,Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,NL0011872650,2025-03-12,current
1.37,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2025-03-11,current
1.38,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-03-06,current
0.65,Pharming Group N.V.,Lazard Asset Management LLC,NL0010391025,2025-03-06,current
1.22,Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,NL0011872650,2025-03-03,current
1.14,Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,NL0011872650,2025-02-28,current
1.04,Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,NL0011872650,2025-02-26,current
1.43,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2025-02-25,current
1.59,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-02-19,current
2.62,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2025-02-19,current
2.52,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2025-02-18,current
1.69,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-02-17,current
1.71,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-02-13,current
1.21,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-02-12,current
1.34,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2025-02-10,current
0.55,Basic-Fit N.V.,"D. E. Shaw & Co., L.P.",NL0011872650,2025-02-07,current
2.1,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2025-02-06,current
1.91,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2025-02-04,current
1.22,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2025-01-31,current
0.9,Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,NL0011872650,2025-01-28,current
0.9,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-01-17,current
1.62,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2025-01-16,current
1.11,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2025-01-14,current
0.79,Pharming Group N.V.,Lazard Asset Management LLC,NL0010391025,2025-01-13,current
0.8,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2025-01-08,current
1.53,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2025-01-08,current
0.77,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2024-12-27,current
0.82,Pharming Group N.V.,Lazard Asset Management LLC,NL0010391025,2024-12-27,current
0.83,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2024-12-20,current
0.6,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2024-12-18,current
0.6,IMCD N.V.,"Arrowstreet Capital, Limited Partnership",NL0010801007,2024-12-16,current
0.71,Pharming Group N.V.,Lazard Asset Management LLC,NL0010391025,2024-12-11,current
1.07,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2024-12-10,current
1.18,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2024-12-06,current
0.51,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2024-12-06,current
0.6,Pharming Group N.V.,Lazard Asset Management LLC,NL0010391025,2024-12-05,current
1.25,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2024-11-19,current
0.81,Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,NL0011872650,2024-11-08,current
0.59,Pharming Group N.V.,Lazard Asset Management LLC,NL0010391025,2024-10-31,current
1.31,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2024-10-30,current
0.62,Pharming Group N.V.,Lazard Asset Management LLC,NL0010391025,2024-10-25,current
0.58,Pharming Group N.V.,Lazard Asset Management LLC,NL0010391025,2024-10-24,current
1.22,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2024-10-23,current
0.62,Pharming Group N.V.,Lazard Asset Management LLC,NL0010391025,2024-10-18,current
0.59,Pharming Group N.V.,Lazard Asset Management LLC,NL0010391025,2024-10-11,current
0.63,Pharming Group N.V.,Lazard Asset Management LLC,NL0010391025,2024-10-10,current
1.12,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2024-10-08,current
1.22,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2024-10-04,current
1.38,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2024-09-27,current
1.48,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2024-09-26,current
0.5,IMCD N.V.,"Arrowstreet Capital, Limited Partnership",NL0010801007,2024-09-24,current
1.49,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2024-09-20,current
1.54,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2024-09-19,current
0.7,Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,NL0011872650,2024-09-18,current
0.51,Pharming Group N.V.,Lazard Asset Management LLC,NL0010391025,2024-09-17,current
1.51,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2024-08-30,current
0.6,Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,NL0011872650,2024-08-09,current
1.67,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2024-08-08,current
1.48,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2024-08-05,current
1.53,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2024-07-24,current
1.45,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2024-07-23,current
1.31,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2024-06-24,current
1.27,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2024-06-12,current
1.58,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2024-06-12,current
1.1,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2024-06-06,current
1.0,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2024-06-05,current
0.92,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2024-04-24,current
0.8,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2024-04-15,current
0.72,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2024-04-10,current
1.48,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2024-03-26,current
0.64,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2024-03-25,current
0.55,Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,NL0011872650,2024-03-22,current
1.58,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2024-03-21,current
0.51,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2024-03-19,current
1.69,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2024-03-04,current
1.79,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2024-02-23,current
1.89,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2024-02-19,current
1.96,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2024-02-15,current
2.08,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2024-02-13,current
0.66,argenx SE,Jefferies Financial Group Inc.,NL0010832176,2024-01-30,current
2.18,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2024-01-29,current
0.55,argenx SE,Jefferies Financial Group Inc.,NL0010832176,2024-01-24,current
2.25,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2023-12-08,current
2.15,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2023-12-07,current
0.62,Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,NL0011872650,2023-12-06,current
2.09,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2023-12-06,current
1.92,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2023-12-05,current
1.83,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2023-12-04,current
1.72,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2023-11-30,current
1.69,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2023-11-29,current
1.5,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2023-11-23,current
1.43,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2023-11-21,current
1.36,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2023-11-06,current
0.52,Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,NL0011872650,2023-11-01,current
1.4,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2023-11-01,current
1.12,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2023-10-30,current
1.0,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2023-10-25,current
0.92,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2023-10-20,current
0.82,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2023-10-17,current
0.75,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2023-10-16,current
0.64,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2023-09-20,current
0.54,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2023-07-21,current
0.64,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2023-07-19,current
0.79,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2023-07-18,current
0.87,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2023-07-17,current
1.91,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2023-07-06,current
1.8,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2023-06-13,current
1.7,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2023-06-02,current
1.43,Basic-Fit N.V.,Fosse Capital Partners LLP,NL0011872650,2022-12-01,current
1.58,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2022-11-15,current
1.74,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2022-11-14,current
1.88,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2022-10-14,current
1.17,Basic-Fit N.V.,Fosse Capital Partners LLP,NL0011872650,2022-10-07,current
1.05,Basic-Fit N.V.,Fosse Capital Partners LLP,NL0011872650,2022-10-04,current
0.56,Basic-Fit N.V.,Fosse Capital Partners LLP,NL0011872650,2022-10-03,current
1.7,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2022-09-12,current
1.6,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2022-09-07,current
1.53,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2022-09-05,current
1.48,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2022-09-02,current
1.3,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2022-06-08,current
1.22,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2022-06-03,current
1.17,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2022-05-11,current
1.28,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2022-03-01,current
1.38,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2022-02-04,current
1.2,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2021-08-26,current
1.11,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2021-08-20,current
1.06,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2021-08-18,current
0.8,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2021-08-17,current
0.7,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2021-08-13,current
0.67,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0013332471,2021-08-12,current
0.5,Koninklijke Boskalis Westminster N.V.,Millennium International Management LP,NL0000852580,2018-03-09,current
0.49,Havas N.V.,Citadel Advisors LLC,NL0015002K83,2026-04-13,archive
0.48,Alfen N.V.,Citadel Securities (Europe) Limited,NL0012817175,2026-04-13,archive
0.51,Alfen N.V.,Citadel Securities (Europe) Limited,NL0012817175,2026-04-10,archive
0.43,Pharming Group N.V.,Citadel Advisors LLC,NL0010391025,2026-04-09,archive
0.49,Randstad N.V.,Citadel Advisors LLC,NL0000379121,2026-04-09,archive
0.48,InPost S.A.,"Connor, Clark & Lunn Investment Management Ltd.",LU2290522684,2026-04-09,archive
0.46,IMCD N.V.,Citadel Advisors LLC,NL0010801007,2026-04-08,archive
0.48,Akzo Nobel N.V.,Marshall Wace LLP,NL0013267909,2026-04-08,archive
0.48,Randstad N.V.,Millennium Capital (DIFC) Limited,NL0000379121,2026-04-08,archive
0.49,Fugro N.V.,"PDT Partners, LLC",NL00150003E1,2026-04-08,archive
0.48,Randstad N.V.,"Point72 Europe (London), LLP",NL0000379121,2026-04-08,archive
0.51,IMCD N.V.,Citadel Advisors LLC,NL0010801007,2026-04-07,archive
0.56,Pharming Group N.V.,Citadel Advisors LLC,NL0010391025,2026-04-07,archive
0.59,Randstad N.V.,Citadel Advisors LLC,NL0000379121,2026-04-07,archive
0.48,The Magnum Ice Cream Company N.V.,Qube Research & Technologies Ltd.,NL0015002MS2,2026-04-07,archive
0.46,Avantium N.V.,Voleon Capital Management LP,NL0015002IE0,2026-04-07,archive
0.49,Fugro N.V.,Voleon Capital Management LP,NL00150003E1,2026-04-07,archive
0.48,Galapagos NV,"Arrowstreet Capital, Limited Partnership",BE0003818359,2026-04-02,archive
0.48,Akzo Nobel N.V.,"BlackRock Advisors, LLC",NL0013267909,2026-04-02,archive
0.6,Randstad N.V.,Citadel Advisors LLC,NL0000379121,2026-04-02,archive
0.49,Pharming Group N.V.,Millennium International Management LP,NL0010391025,2026-04-02,archive
0.49,Randstad N.V.,Millennium International Management LP,NL0000379121,2026-04-02,archive
0.48,Koninklijke Heijmans N.V.,Marshall Wace LLP,NL0009269109,2026-04-01,archive
0.5,Randstad N.V.,Millennium International Management LP,NL0000379121,2026-04-01,archive
0.45,Signify N.V.,Premier Miton Group plc,NL0011821392,2026-04-01,archive
0.0,Akzo Nobel N.V.,UBS Asset Management (Americas) LLC,NL0013267909,2026-04-01,archive
0.59,Avantium N.V.,Voleon Capital Management LP,NL0015002IE0,2026-04-01,archive
0.49,ARCADIS N.V.,White Creek Capital LLP,NL0006237562,2026-04-01,archive
0.49,IMCD N.V.,"BlackRock Institutional Trust Company, National Association",NL0010801007,2026-03-31,archive
0.49,Alfen N.V.,"Cubist Systematic Strategies, LLC",NL0012817175,2026-03-31,archive
0.58,Akzo Nobel N.V.,Marshall Wace LLP,NL0013267909,2026-03-31,archive
0.48,Signify N.V.,Millennium International Management LP,NL0011821392,2026-03-31,archive
0.49,Akzo Nobel N.V.,"Arrowstreet Capital, Limited Partnership",NL0013267909,2026-03-30,archive
0.58,Galapagos NV,"Arrowstreet Capital, Limited Partnership",BE0003818359,2026-03-30,archive
0.6,Akzo Nobel N.V.,Marshall Wace LLP,NL0013267909,2026-03-30,archive
0.58,Pharming Group N.V.,Millennium International Management LP,NL0010391025,2026-03-30,archive
0.58,Fugro N.V.,"PDT Partners, LLC",NL00150003E1,2026-03-30,archive
0.69,Avantium N.V.,Voleon Capital Management LP,NL0015002IE0,2026-03-30,archive
0.59,Randstad N.V.,Citadel Advisors LLC,NL0000379121,2026-03-27,archive
0.48,Alfen N.V.,Citadel Securities (Europe) Limited,NL0012817175,2026-03-27,archive
0.51,Randstad N.V.,Millennium Capital (DIFC) Limited,NL0000379121,2026-03-27,archive
0.73,Avantium N.V.,Voleon Capital Management LP,NL0015002IE0,2026-03-27,archive
0.86,Avantium N.V.,Voleon Capital Management LP,NL0015002IE0,2026-03-25,archive
0.69,Galapagos NV,"Arrowstreet Capital, Limited Partnership",BE0003818359,2026-03-24,archive
0.47,IMCD N.V.,Citadel Advisors LLC,NL0010801007,2026-03-24,archive
0.57,Alfen N.V.,Citadel Securities (Europe) Limited,NL0012817175,2026-03-24,archive
1.01,Avantium N.V.,Voleon Capital Management LP,NL0015002IE0,2026-03-24,archive
0.58,IMCD N.V.,Citadel Advisors LLC,NL0010801007,2026-03-23,archive
0.5,Alfen N.V.,"Cubist Systematic Strategies, LLC",NL0012817175,2026-03-23,archive
0.5,Randstad N.V.,"Point72 Europe (London), LLP",NL0000379121,2026-03-23,archive
0.37,Alfen N.V.,Qube Research & Technologies Ltd.,NL0012817175,2026-03-23,archive
1.16,Avantium N.V.,Voleon Capital Management LP,NL0015002IE0,2026-03-23,archive
0.5,Akzo Nobel N.V.,"BlackRock Advisors, LLC",NL0013267909,2026-03-20,archive
0.67,Randstad N.V.,Citadel Advisors LLC,NL0000379121,2026-03-20,archive
0.69,Alfen N.V.,Citadel Securities (Europe) Limited,NL0012817175,2026-03-20,archive
0.0,NSI N.V.,Millennium International Management LP,NL0012365084,2026-03-20,archive
0.68,Pharming Group N.V.,Millennium International Management LP,NL0010391025,2026-03-20,archive
