net_short_position,position_date,issuer_name,isin,position_holder,source
0.71,2025-11-25,Fugro N.V.,NL00150003E1,Citadel Advisors LLC,archive
0.85,2025-11-25,Fugro N.V.,NL00150003E1,Millennium International Management LP,archive
0.87,2025-11-25,Alfen N.V.,NL0012817175,"PDT Partners, LLC",archive
1.2,2025-11-25,ARCADIS N.V.,NL0006237562,Squarepoint Ops LLC,archive
1.36,2025-11-25,Alfen N.V.,NL0012817175,Voleon Capital Management LP,archive
2.07,2025-11-25,Avantium N.V.,NL0015002IE0,Voleon Capital Management LP,archive
1.93,2025-11-25,Alfen N.V.,NL0012817175,"WorldQuant, LLC",archive
0.49,2025-11-25,Flow Traders Ltd.,BMG3602E1084,"WorldQuant, LLC",archive
0.6,2025-11-24,Pharming Group N.V.,NL0010391025,Citadel Advisors LLC,archive
1.82,2025-11-24,Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",archive
0.48,2025-11-24,Signify N.V.,NL0011821392,"D. E. Shaw & Co., L.P.",archive
0.82,2025-11-24,Pharming Group N.V.,NL0010391025,Millennium International Management LP,archive
0.5,2025-11-24,IMCD N.V.,NL0010801007,Perbak Capital Partners LLP,archive
1.07,2025-11-24,Alfen N.V.,NL0012817175,Qube Research & Technologies Ltd.,archive
1.41,2025-11-24,Alfen N.V.,NL0012817175,Voleon Capital Management LP,archive
2.14,2025-11-24,Avantium N.V.,NL0015002IE0,Voleon Capital Management LP,archive
0.5,2025-11-24,Flow Traders Ltd.,BMG3602E1084,"WorldQuant, LLC",archive
1.01,2025-11-21,Alfen N.V.,NL0012817175,GSA Capital Partners LLP,archive
0.51,2025-11-21,Alfen N.V.,NL0012817175,Millennium International Management LP,archive
0.92,2025-11-21,Fugro N.V.,NL00150003E1,Millennium International Management LP,archive
1.28,2025-11-21,Alfen N.V.,NL0012817175,Qube Research & Technologies Ltd.,archive
1.51,2025-11-21,Alfen N.V.,NL0012817175,Voleon Capital Management LP,archive
1.85,2025-11-21,Alfen N.V.,NL0012817175,"WorldQuant, LLC",archive
0.49,2025-11-21,Flow Traders Ltd.,BMG3602E1084,"WorldQuant, LLC",archive
0.6,2025-11-20,Akzo Nobel N.V.,NL0013267909,"AQR Capital Management, LLC",archive
1.9,2025-11-20,Basic-Fit N.V.,NL0011872650,JPMorgan Asset Management (UK) Ltd.,archive
0.89,2025-11-20,Fugro N.V.,NL00150003E1,Millennium International Management LP,archive
1.12,2025-11-20,Alfen N.V.,NL0012817175,Qube Research & Technologies Ltd.,archive
1.61,2025-11-20,Alfen N.V.,NL0012817175,"WorldQuant, LLC",archive
0.54,2025-11-19,Pharming Group N.V.,NL0010391025,Citadel Advisors LLC,archive
0.69,2025-11-19,Randstad N.V.,NL0000379121,Marshall Wace LLP,archive
1.24,2025-11-19,Alfen N.V.,NL0012817175,Qube Research & Technologies Ltd.,archive
0.6,2025-11-19,PostNL N.V.,NL0009739416,Winton Capital Management Limited,archive
1.55,2025-11-19,Alfen N.V.,NL0012817175,"WorldQuant, LLC",archive
0.51,2025-11-18,Akzo Nobel N.V.,NL0013267909,"AQR Capital Management, LLC",archive
0.52,2025-11-18,IMCD N.V.,NL0010801007,Marshall Wace LLP,archive
1.13,2025-11-18,Alfen N.V.,NL0012817175,Qube Research & Technologies Ltd.,archive
1.44,2025-11-18,Alfen N.V.,NL0012817175,Voleon Capital Management LP,archive
0.42,2025-11-18,Fugro N.V.,NL00150003E1,Wellington Management International Ltd.,archive
1.11,2025-11-17,Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,archive
0.5,2025-11-17,Akzo Nobel N.V.,NL0013267909,"Arrowstreet Capital, Limited Partnership",archive
0.57,2025-11-17,Signify N.V.,NL0011821392,Citadel Advisors LLC,archive
0.98,2025-11-17,Alfen N.V.,NL0012817175,Qube Research & Technologies Ltd.,archive
1.41,2025-11-17,Alfen N.V.,NL0012817175,"WorldQuant, LLC",archive
0.69,2025-11-14,Fugro N.V.,NL00150003E1,Citadel Advisors LLC,archive
1.17,2025-11-14,Alfen N.V.,NL0012817175,Qube Research & Technologies Ltd.,archive
1.31,2025-11-14,Alfen N.V.,NL0012817175,Voleon Capital Management LP,archive
2.22,2025-11-14,Avantium N.V.,NL0015002IE0,Voleon Capital Management LP,archive
0.46,2025-11-13,AMG Critical Materials N.V.,NL0000888691,Citadel Advisors LLC,archive
1.74,2025-11-13,Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",archive
0.79,2025-11-13,BE Semiconductor Industries N.V.,NL0012866412,"D. E. Shaw & Co., L.P.",archive
1.0,2025-11-13,PostNL N.V.,NL0009739416,"D. E. Shaw & Co., L.P.",archive
1.87,2025-11-13,InPost S.A.,LU2290522684,Marshall Wace LLP,archive
0.98,2025-11-13,Alfen N.V.,NL0012817175,"PDT Partners, LLC",archive
0.98,2025-11-13,Alfen N.V.,NL0012817175,Qube Research & Technologies Ltd.,archive
2.17,2025-11-13,Avantium N.V.,NL0015002IE0,Voleon Capital Management LP,archive
0.58,2025-11-13,Fugro N.V.,NL00150003E1,Wellington Management International Ltd.,archive
0.5,2025-11-13,Flow Traders Ltd.,BMG3602E1084,"WorldQuant, LLC",archive
0.48,2025-11-12,Signify N.V.,NL0011821392,Citadel Advisors Europe Limited,archive
0.66,2025-11-12,Signify N.V.,NL0011821392,Citadel Advisors LLC,archive
0.9,2025-11-12,Alfen N.V.,NL0012817175,GSA Capital Partners LLP,archive
0.71,2025-11-12,Pharming Group N.V.,NL0010391025,Millennium International Management LP,archive
1.27,2025-11-12,Alfen N.V.,NL0012817175,Voleon Capital Management LP,archive
2.08,2025-11-12,Avantium N.V.,NL0015002IE0,Voleon Capital Management LP,archive
0.54,2025-11-11,AMG Critical Materials N.V.,NL0000888691,Citadel Advisors LLC,archive
0.81,2025-11-11,BE Semiconductor Industries N.V.,NL0012866412,"D. E. Shaw & Co., L.P.",archive
0.89,2025-11-11,Alfen N.V.,NL0012817175,GSA Capital Partners LLP,archive
0.64,2025-11-11,Pharming Group N.V.,NL0010391025,Millennium International Management LP,archive
1.07,2025-11-11,Alfen N.V.,NL0012817175,"PDT Partners, LLC",archive
1.11,2025-11-11,ARCADIS N.V.,NL0006237562,Squarepoint Ops LLC,archive
1.97,2025-11-11,Avantium N.V.,NL0015002IE0,Voleon Capital Management LP,archive
0.48,2025-11-10,Akzo Nobel N.V.,NL0013267909,"BlackRock Advisors, LLC",archive
0.77,2025-11-10,Signify N.V.,NL0011821392,Citadel Advisors LLC,archive
1.69,2025-11-10,Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",archive
1.9,2025-11-10,InPost S.A.,LU2290522684,Marshall Wace LLP,archive
0.89,2025-11-10,Alfen N.V.,NL0012817175,Qube Research & Technologies Ltd.,archive
1.3,2025-11-10,Alfen N.V.,NL0012817175,Voleon Capital Management LP,archive
1.37,2025-11-10,Alfen N.V.,NL0012817175,"WorldQuant, LLC",archive
0.49,2025-11-07,Akzo Nobel N.V.,NL0013267909,"AQR Capital Management, LLC",archive
0.64,2025-11-07,Pharming Group N.V.,NL0010391025,Citadel Advisors LLC,archive
0.5,2025-11-07,InPost S.A.,LU2290522684,"Connor, Clark & Lunn Investment Management Ltd.",archive
0.51,2025-11-07,ARCADIS N.V.,NL0006237562,"D. E. Shaw & Co., L.P.",archive
1.86,2025-11-07,InPost S.A.,LU2290522684,Marshall Wace LLP,archive
0.55,2025-11-07,Pharming Group N.V.,NL0010391025,Millennium International Management LP,archive
0.69,2025-11-07,PostNL N.V.,NL0009739416,"PDT Partners, LLC",archive
1.0,2025-11-07,Alfen N.V.,NL0012817175,Qube Research & Technologies Ltd.,archive
1.2,2025-11-07,Alfen N.V.,NL0012817175,Voleon Capital Management LP,archive
1.44,2025-11-07,Alfen N.V.,NL0012817175,"WorldQuant, LLC",archive
0.48,2025-11-06,AMG Critical Materials N.V.,NL0000888691,Citadel Advisors LLC,archive
0.78,2025-11-06,Fugro N.V.,NL00150003E1,Citadel Advisors LLC,archive
0.78,2025-11-06,Pharming Group N.V.,NL0010391025,Citadel Advisors LLC,archive
0.79,2025-11-06,BE Semiconductor Industries N.V.,NL0012866412,"D. E. Shaw & Co., L.P.",archive
0.51,2025-11-06,Signify N.V.,NL0011821392,"D. E. Shaw & Co., L.P.",archive
0.39,2025-11-06,Pharming Group N.V.,NL0010391025,Marshall Wace LLP,archive
1.17,2025-11-06,Pharming Group N.V.,NL0010391025,Millennium International Management LP,archive
0.46,2025-11-06,Signify N.V.,NL0011821392,"Point72 Europe (London), LLP",archive
0.98,2025-11-06,Alfen N.V.,NL0012817175,Qube Research & Technologies Ltd.,archive
1.58,2025-11-06,Alfen N.V.,NL0012817175,"WorldQuant, LLC",archive
0.51,2025-11-05,Signify N.V.,NL0011821392,"BlackRock Financial Management, Inc.",archive
0.46,2025-11-05,TKH Group N.V.,NL0000852523,Capital Fund Management S.A.,archive
0.9,2025-11-05,Alfen N.V.,NL0012817175,GSA Capital Partners LLP,archive
1.79,2025-11-05,InPost S.A.,LU2290522684,Marshall Wace LLP,archive
0.73,2025-11-05,Pharming Group N.V.,NL0010391025,Marshall Wace LLP,archive
1.63,2025-11-05,Pharming Group N.V.,NL0010391025,Millennium International Management LP,archive
1.17,2025-11-05,Alfen N.V.,NL0012817175,"PDT Partners, LLC",archive
1.03,2025-11-05,ARCADIS N.V.,NL0006237562,Squarepoint Ops LLC,archive
1.13,2025-11-05,Alfen N.V.,NL0012817175,Voleon Capital Management LP,archive
0.69,2025-11-05,Fugro N.V.,NL00150003E1,Wellington Management International Ltd.,archive
1.7,2025-11-05,Alfen N.V.,NL0012817175,"WorldQuant, LLC",archive
0.69,2025-11-04,Signify N.V.,NL0011821392,"BlackRock Advisors, LLC",archive
0.6,2025-11-04,IMCD N.V.,NL0010801007,"BlackRock Institutional Trust Company, National Association",archive
0.5,2025-11-04,TKH Group N.V.,NL0000852523,Capital Fund Management S.A.,archive
1.07,2025-11-04,Pharming Group N.V.,NL0010391025,Citadel Advisors LLC,archive
1.8,2025-11-04,InPost S.A.,LU2290522684,Marshall Wace LLP,archive
1.52,2025-11-04,Pharming Group N.V.,NL0010391025,Millennium International Management LP,archive
0.7,2025-11-04,PostNL N.V.,NL0009739416,"PDT Partners, LLC",archive
0.49,2025-11-03,Signify N.V.,NL0011821392,"BlackRock Financial Management, Inc.",archive
1.11,2025-11-03,BE Semiconductor Industries N.V.,NL0012866412,Canada Pension Plan Investment Board,archive
0.5,2025-11-03,AMG Critical Materials N.V.,NL0000888691,Citadel Advisors LLC,archive
0.85,2025-11-03,Fugro N.V.,NL00150003E1,Citadel Advisors LLC,archive
1.0,2025-11-03,Alfen N.V.,NL0012817175,Voleon Capital Management LP,archive
0.9,2025-11-03,Basic-Fit N.V.,NL0011872650,Wellington Management International Ltd.,archive
0.79,2025-11-03,Fugro N.V.,NL00150003E1,Wellington Management International Ltd.,archive
1.69,2025-11-03,Alfen N.V.,NL0012817175,"WorldQuant, LLC",archive
0.7,2025-10-31,Aalberts N.V.,NL0000852564,"BlackRock Advisors, LLC",archive
0.5,2025-10-31,Signify N.V.,NL0011821392,"BlackRock Financial Management, Inc.",archive
0.59,2025-10-31,IMCD N.V.,NL0010801007,"BlackRock Institutional Trust Company, National Association",archive
0.68,2025-10-31,Signify N.V.,NL0011821392,"Point72 Europe (London), LLP",archive
0.95,2025-10-31,ARCADIS N.V.,NL0006237562,Squarepoint Ops LLC,archive
0.58,2025-10-30,Signify N.V.,NL0011821392,Citadel Advisors Europe Limited,archive
0.88,2025-10-30,Signify N.V.,NL0011821392,Citadel Advisors LLC,archive
0.88,2025-10-30,BE Semiconductor Industries N.V.,NL0012866412,"D. E. Shaw & Co., L.P.",archive
0.25,2025-10-30,ARCADIS N.V.,NL0006237562,Eleva Capital SAS,archive
0.49,2025-10-30,Heineken N.V.,NL0000009165,Marshall Wace LLP,archive
1.32,2025-10-30,Pharming Group N.V.,NL0010391025,Millennium International Management LP,archive
0.54,2025-10-30,Signify N.V.,NL0011821392,"Point72 Europe (London), LLP",archive
0.86,2025-10-30,ARCADIS N.V.,NL0006237562,Squarepoint Ops LLC,archive
1.0,2025-10-29,Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,archive
0.59,2025-10-29,Akzo Nobel N.V.,NL0013267909,"BlackRock Advisors, LLC",archive
0.49,2025-10-29,Brunel International N.V.,NL0010776944,Citadel Advisors LLC,archive
1.17,2025-10-29,Pharming Group N.V.,NL0010391025,Citadel Advisors LLC,archive
0.54,2025-10-29,Basic-Fit N.V.,NL0011872650,Marchant MC Ltd.,archive
0.6,2025-10-29,Pharming Group N.V.,NL0010391025,Marshall Wace LLP,archive
0.71,2025-10-29,Randstad N.V.,NL0000379121,Marshall Wace LLP,archive
1.29,2025-10-29,Pharming Group N.V.,NL0010391025,Millennium International Management LP,archive
0.94,2025-10-29,Fugro N.V.,NL00150003E1,Wellington Management International Ltd.,archive
1.72,2025-10-29,Alfen N.V.,NL0012817175,"WorldQuant, LLC",archive
0.59,2025-10-28,AMG Critical Materials N.V.,NL0000888691,Actus Ray Partners Limited,archive
0.6,2025-10-28,Akzo Nobel N.V.,NL0013267909,"BlackRock Advisors, LLC",archive
0.67,2025-10-28,Signify N.V.,NL0011821392,Citadel Advisors Europe Limited,archive
1.09,2025-10-28,Signify N.V.,NL0011821392,Citadel Advisors LLC,archive
1.7,2025-10-28,Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",archive
1.34,2025-10-28,Pharming Group N.V.,NL0010391025,Millennium International Management LP,archive
0.33,2025-10-28,Signify N.V.,NL0011821392,"Point72 Europe (London), LLP",archive
0.85,2025-10-27,Signify N.V.,NL0011821392,Citadel Advisors Europe Limited,archive
0.47,2025-10-27,Aperam S.A.,LU0569974404,Citadel Advisors LLC,archive
1.15,2025-10-27,Signify N.V.,NL0011821392,Citadel Advisors LLC,archive
1.69,2025-10-27,Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",archive
0.61,2025-10-27,PostNL N.V.,NL0009739416,"PDT Partners, LLC",archive
0.91,2025-10-27,Alfen N.V.,NL0012817175,Voleon Capital Management LP,archive
0.67,2025-10-24,PostNL N.V.,NL0009739416,Citadel Advisors LLC,archive
1.7,2025-10-24,InPost S.A.,LU2290522684,Marshall Wace LLP,archive
0.38,2025-10-24,Signify N.V.,NL0011821392,Millennium International Management LP,archive
1.24,2025-10-24,Alfen N.V.,NL0012817175,"PDT Partners, LLC",archive
0.59,2025-10-24,Lakefront Biotherapeutics NV,BE0003818359,Qube Research & Technologies Ltd.,archive
0.71,2025-10-24,ARCADIS N.V.,NL0006237562,Squarepoint Ops LLC,archive
0.61,2025-10-23,Akzo Nobel N.V.,NL0013267909,BlackRock Investment Management (UK) Limited,archive
1.07,2025-10-23,BE Semiconductor Industries N.V.,NL0012866412,Canada Pension Plan Investment Board,archive
0.51,2025-10-23,Brunel International N.V.,NL0010776944,Citadel Advisors LLC,archive
0.93,2025-10-23,BE Semiconductor Industries N.V.,NL0012866412,"D. E. Shaw & Co., L.P.",archive
0.8,2025-10-23,Alfen N.V.,NL0012817175,GSA Capital Partners LLP,archive
0.49,2025-10-23,InPost S.A.,LU2290522684,Kintbury Capital LLP,archive
0.56,2025-10-23,Pharming Group N.V.,NL0010391025,Marshall Wace LLP,archive
0.69,2025-10-23,Randstad N.V.,NL0000379121,Marshall Wace LLP,archive
0.45,2025-10-23,Signify N.V.,NL0011821392,Millennium Capital (DIFC) Limited,archive
0.94,2025-10-23,Fugro N.V.,NL00150003E1,Millennium International Management LP,archive
1.48,2025-10-23,Pharming Group N.V.,NL0010391025,Millennium International Management LP,archive
0.64,2025-10-23,Signify N.V.,NL0011821392,Millennium International Management LP,archive
0.69,2025-10-23,Signify N.V.,NL0011821392,"Point72 Europe (London), LLP",archive
1.61,2025-10-23,Alfen N.V.,NL0012817175,"WorldQuant, LLC",archive
0.49,2025-10-22,Brunel International N.V.,NL0010776944,Citadel Advisors LLC,archive
0.89,2025-10-22,BE Semiconductor Industries N.V.,NL0012866412,"D. E. Shaw & Co., L.P.",archive
0.55,2025-10-22,InPost S.A.,LU2290522684,Kintbury Capital LLP,archive
0.89,2025-10-22,Fugro N.V.,NL00150003E1,Millennium International Management LP,archive
1.56,2025-10-22,Pharming Group N.V.,NL0010391025,Millennium International Management LP,archive
0.74,2025-10-22,Signify N.V.,NL0011821392,Millennium International Management LP,archive
1.05,2025-10-22,Alfen N.V.,NL0012817175,Qube Research & Technologies Ltd.,archive
1.8,2025-10-22,Avantium N.V.,NL0015002IE0,Voleon Capital Management LP,archive
1.53,2025-10-22,Alfen N.V.,NL0012817175,"WorldQuant, LLC",archive
0.49,2025-10-21,BE Semiconductor Industries N.V.,NL0012866412,"Arrowstreet Capital, Limited Partnership",archive
0.53,2025-10-21,Akzo Nobel N.V.,NL0013267909,BlackRock Investment Management (UK) Limited,archive
0.5,2025-10-21,Aperam S.A.,LU0569974404,Citadel Advisors LLC,archive
0.7,2025-10-21,Fugro N.V.,NL00150003E1,Citadel Advisors LLC,archive
0.77,2025-10-21,PostNL N.V.,NL0009739416,Citadel Advisors LLC,archive
0.9,2025-10-21,BE Semiconductor Industries N.V.,NL0012866412,"D. E. Shaw & Co., L.P.",archive
0.7,2025-10-21,Randstad N.V.,NL0000379121,Marshall Wace LLP,archive
0.91,2025-10-21,Fugro N.V.,NL00150003E1,Millennium International Management LP,archive
1.39,2025-10-21,Alfen N.V.,NL0012817175,"PDT Partners, LLC",archive
0.6,2025-10-21,Lakefront Biotherapeutics NV,BE0003818359,Qube Research & Technologies Ltd.,archive
0.48,2025-10-21,Signify N.V.,NL0011821392,Squarepoint Ops LLC,archive
1.45,2025-10-21,Alfen N.V.,NL0012817175,"WorldQuant, LLC",archive
0.86,2025-10-20,Fugro N.V.,NL00150003E1,Millennium International Management LP,archive
1.63,2025-10-20,Pharming Group N.V.,NL0010391025,Millennium International Management LP,archive
0.62,2025-10-20,Signify N.V.,NL0011821392,Millennium International Management LP,archive
0.01,2025-10-20,Brunel International N.V.,NL0010776944,Qube Research & Technologies Ltd.,archive
0.51,2025-10-20,PostNL N.V.,NL0009739416,Winton Capital Management Limited,archive
0.78,2025-10-17,Fugro N.V.,NL00150003E1,"PDT Partners, LLC",archive
0.9,2025-10-17,Alfen N.V.,NL0012817175,Qube Research & Technologies Ltd.,archive
0.62,2025-10-17,ARCADIS N.V.,NL0006237562,Squarepoint Ops LLC,archive
0.68,2025-10-16,Fugro N.V.,NL00150003E1,Citadel Advisors LLC,archive
0.5,2025-10-16,Heineken N.V.,NL0000009165,Marshall Wace LLP,archive
1.75,2025-10-16,Pharming Group N.V.,NL0010391025,Millennium International Management LP,archive
0.86,2025-10-16,Alfen N.V.,NL0012817175,Voleon Capital Management LP,archive
1.37,2025-10-16,Alfen N.V.,NL0012817175,"WorldQuant, LLC",archive
1.59,2025-10-15,Lakefront Biotherapeutics NV,BE0003818359,"Arrowstreet Capital, Limited Partnership",archive
1.81,2025-10-15,Pharming Group N.V.,NL0010391025,Millennium International Management LP,archive
1.48,2025-10-15,Alfen N.V.,NL0012817175,"PDT Partners, LLC",archive
0.74,2025-10-15,Signify N.V.,NL0011821392,"Point72 Europe (London), LLP",archive
0.8,2025-10-15,Alfen N.V.,NL0012817175,Qube Research & Technologies Ltd.,archive
0.49,2025-10-15,Alfen N.V.,NL0012817175,Trexquant Investment LP,archive
1.7,2025-10-15,Avantium N.V.,NL0015002IE0,Voleon Capital Management LP,archive
0.59,2025-10-14,BE Semiconductor Industries N.V.,NL0012866412,"Arrowstreet Capital, Limited Partnership",archive
0.71,2025-10-14,Fugro N.V.,NL00150003E1,Citadel Advisors LLC,archive
1.23,2025-10-14,Pharming Group N.V.,NL0010391025,Citadel Advisors LLC,archive
0.9,2025-10-14,PostNL N.V.,NL0009739416,"D. E. Shaw & Co., L.P.",archive
0.7,2025-10-14,Alfen N.V.,NL0012817175,GSA Capital Partners LLP,archive
0.51,2025-10-14,PostNL N.V.,NL0009739416,JPMorgan Asset Management (UK) Ltd.,archive
0.51,2025-10-14,Signify N.V.,NL0011821392,Millennium International Management LP,archive
0.65,2025-10-14,Signify N.V.,NL0011821392,"Point72 Europe (London), LLP",archive
0.99,2025-10-14,Alfen N.V.,NL0012817175,Voleon Capital Management LP,archive
0.51,2025-10-13,Brunel International N.V.,NL0010776944,Citadel Advisors LLC,archive
0.69,2025-10-13,Fugro N.V.,NL00150003E1,Citadel Advisors LLC,archive
0.69,2025-10-13,Alfen N.V.,NL0012817175,GSA Capital Partners LLP,archive
0.49,2025-10-13,Heineken N.V.,NL0000009165,Marshall Wace LLP,archive
1.6,2025-10-13,InPost S.A.,LU2290522684,Marshall Wace LLP,archive
0.79,2025-10-13,Fugro N.V.,NL00150003E1,Millennium International Management LP,archive
1.99,2025-10-13,Pharming Group N.V.,NL0010391025,Millennium International Management LP,archive
0.5,2025-10-13,ARCADIS N.V.,NL0006237562,Squarepoint Ops LLC,archive
1.23,2025-10-13,Alfen N.V.,NL0012817175,"WorldQuant, LLC",archive
0.49,2025-10-10,Brunel International N.V.,NL0010776944,Citadel Advisors LLC,archive
0.7,2025-10-10,Fugro N.V.,NL00150003E1,Citadel Advisors LLC,archive
0.89,2025-10-10,PostNL N.V.,NL0009739416,Citadel Advisors LLC,archive
2.05,2025-10-10,Pharming Group N.V.,NL0010391025,Millennium International Management LP,archive
1.56,2025-10-10,Alfen N.V.,NL0012817175,"PDT Partners, LLC",archive
0.8,2025-10-10,Fugro N.V.,NL00150003E1,"PDT Partners, LLC",archive
0.51,2025-10-10,PostNL N.V.,NL0009739416,"PDT Partners, LLC",archive
0.79,2025-10-10,Alfen N.V.,NL0012817175,Qube Research & Technologies Ltd.,archive
1.61,2025-10-10,Avantium N.V.,NL0015002IE0,Voleon Capital Management LP,archive
1.15,2025-10-10,Alfen N.V.,NL0012817175,"WorldQuant, LLC",archive
0.68,2025-10-09,BE Semiconductor Industries N.V.,NL0012866412,"Arrowstreet Capital, Limited Partnership",archive
0.69,2025-10-09,Fugro N.V.,NL00150003E1,Citadel Advisors LLC,archive
1.17,2025-10-09,Pharming Group N.V.,NL0010391025,Citadel Advisors LLC,archive
1.2,2025-10-09,Signify N.V.,NL0011821392,Citadel Advisors LLC,archive
0.6,2025-10-09,Randstad N.V.,NL0000379121,Marshall Wace LLP,archive
1.61,2025-10-09,Alfen N.V.,NL0012817175,"PDT Partners, LLC",archive
0.65,2025-10-09,Alfen N.V.,NL0012817175,Qube Research & Technologies Ltd.,archive
1.07,2025-10-09,Alfen N.V.,NL0012817175,Voleon Capital Management LP,archive
1.44,2025-10-09,Avantium N.V.,NL0015002IE0,Voleon Capital Management LP,archive
0.49,2025-10-08,Aperam S.A.,LU0569974404,Citadel Advisors LLC,archive
1.19,2025-10-08,Signify N.V.,NL0011821392,Citadel Advisors LLC,archive
1.74,2025-10-08,Alfen N.V.,NL0012817175,"PDT Partners, LLC",archive
0.83,2025-10-08,Alfen N.V.,NL0012817175,Qube Research & Technologies Ltd.,archive
1.33,2025-10-08,Avantium N.V.,NL0015002IE0,Voleon Capital Management LP,archive
0.82,2025-10-08,Basic-Fit N.V.,NL0011872650,Wellington Management International Ltd.,archive
1.22,2025-10-07,Pharming Group N.V.,NL0010391025,Citadel Advisors LLC,archive
1.22,2025-10-07,Signify N.V.,NL0011821392,Citadel Advisors LLC,archive
0.81,2025-10-07,BE Semiconductor Industries N.V.,NL0012866412,"D. E. Shaw & Co., L.P.",archive
1.5,2025-10-07,InPost S.A.,LU2290522684,Marshall Wace LLP,archive
0.59,2025-10-07,Randstad N.V.,NL0000379121,Marshall Wace LLP,archive
0.62,2025-10-07,Fugro N.V.,NL0000352565,Numeric Investors LLC,archive
1.86,2025-10-07,Alfen N.V.,NL0012817175,"PDT Partners, LLC",archive
0.91,2025-10-07,Alfen N.V.,NL0012817175,Qube Research & Technologies Ltd.,archive
0.8,2025-10-07,Fugro N.V.,NL00150003E1,Wellington Management International Ltd.,archive
0.79,2025-10-06,BE Semiconductor Industries N.V.,NL0012866412,"Arrowstreet Capital, Limited Partnership",archive
0.79,2025-10-06,Signify N.V.,NL0011821392,"BlackRock Advisors, LLC",archive
1.15,2025-10-06,Pharming Group N.V.,NL0010391025,Citadel Advisors LLC,archive
0.68,2025-10-06,InPost S.A.,LU2290522684,Kintbury Capital LLP,archive
0.49,2025-10-06,Basic-Fit N.V.,NL0011872650,"PDT Partners, LLC",archive
0.49,2025-10-03,BE Semiconductor Industries N.V.,NL0012866412,"AQR Capital Management, LLC",archive
0.5,2025-10-03,Aperam S.A.,LU0569974404,Citadel Advisors LLC,archive
0.49,2025-10-03,Havas N.V.,NL0015002AH0,Citadel Advisors LLC,archive
1.04,2025-10-03,Pharming Group N.V.,NL0010391025,Citadel Advisors LLC,archive
0.78,2025-10-03,InPost S.A.,LU2290522684,Kintbury Capital LLP,archive
0.46,2025-10-03,Basic-Fit N.V.,NL0011872650,Marchant MC Ltd.,archive
0.05,2025-10-03,Alfen N.V.,NL0012817175,Millennium Capital (DIFC) Limited,archive
0.82,2025-10-03,Alfen N.V.,NL0012817175,Qube Research & Technologies Ltd.,archive
1.18,2025-10-03,Alfen N.V.,NL0012817175,Voleon Capital Management LP,archive
0.59,2025-10-02,Koninklijke Philips N.V.,NL0000009538,"AQR Capital Management, LLC",archive
0.92,2025-10-02,Signify N.V.,NL0011821392,Citadel Advisors Europe Limited,archive
0.7,2025-10-02,BE Semiconductor Industries N.V.,NL0012866412,"D. E. Shaw & Co., L.P.",archive
0.53,2025-10-02,Basic-Fit N.V.,NL0011872650,Marchant MC Ltd.,archive
1.96,2025-10-02,Pharming Group N.V.,NL0010391025,Millennium International Management LP,archive
1.25,2025-10-02,Alfen N.V.,NL0012817175,Voleon Capital Management LP,archive
1.21,2025-10-02,Avantium N.V.,NL0015002IE0,Voleon Capital Management LP,archive
0.49,2025-10-02,PostNL N.V.,NL0009739416,"WorldQuant, LLC",archive
0.59,2025-10-01,IMCD N.V.,NL0010801007,"AQR Capital Management, LLC",archive
0.48,2025-10-01,AMG Critical Materials N.V.,NL0000888691,Citadel Advisors LLC,archive
1.1,2025-10-01,Signify N.V.,NL0011821392,Citadel Advisors LLC,archive
0.39,2025-10-01,Pharming Group N.V.,NL0010391025,Highbridge Capital Management LLC,archive
0.47,2025-10-01,Brunel International N.V.,NL0010776944,Marshall Wace LLP,archive
1.43,2025-10-01,InPost S.A.,LU2290522684,Marshall Wace LLP,archive
0.5,2025-10-01,Signify N.V.,NL0011821392,Millennium Capital (DIFC) Limited,archive
0.42,2025-10-01,Aperam S.A.,LU0569974404,Millennium International Management LP,archive
1.01,2025-10-01,Alfen N.V.,NL0012817175,Qube Research & Technologies Ltd.,archive
0.69,2025-10-01,Alfen N.V.,NL0012817175,Trexquant Investment LP,archive
0.5,2025-09-30,AMG Critical Materials N.V.,NL0000888691,Citadel Advisors LLC,archive
0.72,2025-09-30,Fugro N.V.,NL00150003E1,Citadel Advisors LLC,archive
0.79,2025-09-30,Alfen N.V.,NL0012817175,GSA Capital Partners LLP,archive
0.53,2025-09-30,Pharming Group N.V.,NL0010391025,Highbridge Capital Management LLC,archive
0.89,2025-09-30,Fugro N.V.,NL00150003E1,Millennium International Management LP,archive
2.02,2025-09-30,Pharming Group N.V.,NL0010391025,Millennium International Management LP,archive
1.99,2025-09-30,Alfen N.V.,NL0012817175,"PDT Partners, LLC",archive
0.57,2025-09-30,PostNL N.V.,NL0009739416,"WorldQuant, LLC",archive
0.79,2025-09-29,IMCD N.V.,NL0010801007,"BlackRock Institutional Trust Company, National Association",archive
1.1,2025-09-29,Pharming Group N.V.,NL0010391025,Citadel Advisors LLC,archive
