net_short_position,position_date,issuer_name,isin,position_holder,source
1.27,2026-07-02,Signify N.V.,NL0011821392,Marshall Wace LLP,current
1.1,2026-07-02,InPost S.A.,LU2290522684,"Two Sigma Investments, LP",current
0.5,2026-07-01,Fugro N.V.,NL00150003E1,Actus Ray Partners Limited,current
0.85,2026-07-01,Akzo Nobel N.V.,NL0013267909,"BlackRock Advisors, LLC",current
0.76,2026-07-01,Adyen N.V.,NL0012969182,Capital Fund Management S.A.,current
0.88,2026-07-01,DSM-Firmenich AG,CH1216478797,Citadel Advisors LLC,current
1.38,2026-07-01,Signify N.V.,NL0011821392,Eleva Capital SAS,current
0.83,2026-07-01,Basic-Fit N.V.,NL0011872650,Fosse Capital Partners LLP,current
1.0,2026-07-01,DSM-Firmenich AG,CH1216478797,Marshall Wace LLP,current
1.37,2026-07-01,Signify N.V.,NL0011821392,Marshall Wace LLP,current
0.72,2026-07-01,Akzo Nobel N.V.,NL0013267909,Millennium International Management LP,current
1.09,2026-07-01,Akzo Nobel N.V.,NL0013267909,"O'Connor Alternative Investments, LLC",current
0.79,2026-06-30,Adyen N.V.,NL0012969182,"AQR Capital Management, LLC",current
1.09,2026-06-30,Signify N.V.,NL0011821392,"AQR Capital Management, LLC",current
0.69,2026-06-30,Signify N.V.,NL0011821392,"BlackRock Financial Management, Inc.",current
0.72,2026-06-30,IMCD N.V.,NL0010801007,Caisse de dépôt et placement du Québec,current
1.25,2026-06-30,Signify N.V.,NL0011821392,Citadel Advisors LLC,current
0.75,2026-06-30,Avantium N.V.,NL0015002IE0,Citadel Securities (Europe) Limited,current
2.16,2026-06-30,Fugro N.V.,NL00150003E1,JPMorgan Asset Management (UK) Ltd.,current
1.47,2026-06-30,Signify N.V.,NL0011821392,Marshall Wace LLP,current
1.01,2026-06-30,Alfen N.V.,NL0012817175,"WorldQuant, LLC",current
0.6,2026-06-29,Signify N.V.,NL0011821392,"BlackRock Institutional Trust Company, National Association",current
1.0,2026-06-29,IMCD N.V.,NL0010801007,Capital Fund Management S.A.,current
2.01,2026-06-29,DSM-Firmenich AG,CH1216478797,Ilex Capital Partners (UK) LLP,current
1.58,2026-06-29,Signify N.V.,NL0011821392,Marshall Wace LLP,current
0.7,2026-06-29,CSG N.V.,NL0015073TS8,Qube Research & Technologies Ltd.,current
0.92,2026-06-29,Alfen N.V.,NL0012817175,"WorldQuant, LLC",current
0.99,2026-06-26,IMCD N.V.,NL0010801007,Capital Fund Management S.A.,current
1.09,2026-06-26,Wereldhave N.V.,NL0000289213,Citadel Advisors LLC,current
0.99,2026-06-26,DSM-Firmenich AG,CH1216478797,Marshall Wace LLP,current
1.09,2026-06-26,Pharming Group N.V.,NL0010391025,Walleye Capital LLC,current
0.59,2026-06-25,CVC Capital Partners plc,JE00BRX98089,"AQR Capital Management, LLC",current
1.33,2026-06-25,Signify N.V.,NL0011821392,Citadel Advisors LLC,current
1.2,2026-06-25,Signify N.V.,NL0011821392,"Farallon Capital Management, L.L.C.",current
1.0,2026-06-25,DSM-Firmenich AG,CH1216478797,Marshall Wace LLP,current
1.65,2026-06-25,Signify N.V.,NL0011821392,Marshall Wace LLP,current
0.56,2026-06-25,Alfen N.V.,NL0012817175,Millennium International Management LP,current
0.88,2026-06-25,Alfen N.V.,NL0012817175,"WorldQuant, LLC",current
0.79,2026-06-24,Sligro Food Group N.V.,NL0000817179,Citadel Advisors LLC,current
0.51,2026-06-24,Avantium N.V.,NL0015002IE0,Citadel Securities (Europe) Limited,current
1.17,2026-06-24,Signify N.V.,NL0011821392,"Farallon Capital Management, L.L.C.",current
0.6,2026-06-24,Akzo Nobel N.V.,NL0013267909,Millennium International Management LP,current
0.81,2026-06-24,Signify N.V.,NL0011821392,Squarepoint Ops LLC,current
0.6,2026-06-24,PostNL N.V.,NL0009739416,Winton Capital Management Limited,current
0.81,2026-06-23,Adyen N.V.,NL0012969182,Capital Fund Management S.A.,current
0.93,2026-06-23,Basic-Fit N.V.,NL0011872650,Eleva Capital SAS,current
1.04,2026-06-23,Signify N.V.,NL0011821392,"Farallon Capital Management, L.L.C.",current
1.01,2026-06-23,The Magnum Ice Cream Company N.V.,NL0015002MS2,Marshall Wace LLP,current
0.77,2026-06-23,Basic-Fit N.V.,NL0011872650,Sculptor Capital Management Europe Limited,current
0.79,2026-06-23,Signify N.V.,NL0011821392,Squarepoint Ops LLC,current
1.27,2026-06-22,Signify N.V.,NL0011821392,Citadel Advisors LLC,current
1.1,2026-06-22,Wereldhave N.V.,NL0000289213,Citadel Advisors LLC,current
0.8,2026-06-22,IMCD N.V.,NL0010801007,"PDT Partners, LLC",current
0.61,2026-06-22,PostNL N.V.,NL0009739416,"PDT Partners, LLC",current
1.3,2026-06-22,Signify N.V.,NL0011821392,"PDT Partners, LLC",current
0.6,2026-06-22,CSG N.V.,NL0015073TS8,Qube Research & Technologies Ltd.,current
0.61,2026-06-22,Basic-Fit N.V.,NL0011872650,SQUARE CIRCLE IA LP,current
1.1,2026-06-22,Pharming Group N.V.,NL0010391025,"Two Sigma Investments, LP",current
0.74,2026-06-22,Alfen N.V.,NL0012817175,"WorldQuant, LLC",current
1.0,2026-06-19,IMCD N.V.,NL0010801007,Capital Fund Management S.A.,current
0.83,2026-06-19,Pharming Group N.V.,NL0010391025,Capstone Volatility Master (Cayman) Limited,current
0.96,2026-06-19,DSM-Firmenich AG,CH1216478797,Citadel Advisors LLC,current
1.3,2026-06-19,Signify N.V.,NL0011821392,Citadel Advisors LLC,current
0.79,2026-06-19,Basic-Fit N.V.,NL0011872650,"D. E. Shaw & Co., L.P.",current
0.91,2026-06-19,DSM-Firmenich AG,CH1216478797,Marshall Wace LLP,current
0.56,2026-06-19,Fugro N.V.,NL00150003E1,"Point72 Asset Management, L.P.",current
0.79,2026-06-19,The Magnum Ice Cream Company N.V.,NL0015002MS2,Qube Research & Technologies Ltd.,current
0.52,2026-06-19,Pharming Group N.V.,NL0010391025,Spark Investment Management LLC,current
0.68,2026-06-19,Alfen N.V.,NL0012817175,"WorldQuant, LLC",current
0.71,2026-06-18,Adyen N.V.,NL0012969182,Capital Fund Management S.A.,current
0.85,2026-06-18,Signify N.V.,NL0011821392,"Farallon Capital Management, L.L.C.",current
0.8,2026-06-18,PostNL N.V.,NL0009739416,Marshall Wace LLP,current
0.62,2026-06-18,Alfen N.V.,NL0012817175,Millennium International Management LP,current
0.79,2026-06-18,IMCD N.V.,NL0010801007,"PDT Partners, LLC",current
0.54,2026-06-18,Basic-Fit N.V.,NL0011872650,SQUARE CIRCLE IA LP,current
0.71,2026-06-18,Alfen N.V.,NL0012817175,"WorldQuant, LLC",current
0.89,2026-06-17,Adyen N.V.,NL0012969182,"AQR Capital Management, LLC",current
1.29,2026-06-17,IMCD N.V.,NL0010801007,"Arrowstreet Capital, Limited Partnership",current
0.79,2026-06-17,Signify N.V.,NL0011821392,"BlackRock Financial Management, Inc.",current
0.51,2026-06-17,The Magnum Ice Cream Company N.V.,NL0015002MS2,Capital Fund Management S.A.,current
1.46,2026-06-17,Signify N.V.,NL0011821392,Citadel Advisors LLC,current
0.89,2026-06-17,Sligro Food Group N.V.,NL0000817179,Citadel Advisors LLC,current
0.75,2026-06-17,Signify N.V.,NL0011821392,"Farallon Capital Management, L.L.C.",current
1.91,2026-06-17,DSM-Firmenich AG,CH1216478797,Ilex Capital Partners (UK) LLP,current
1.51,2026-06-17,Signify N.V.,NL0011821392,Marshall Wace LLP,current
0.88,2026-06-17,The Magnum Ice Cream Company N.V.,NL0015002MS2,Qube Research & Technologies Ltd.,current
0.62,2026-06-16,Adyen N.V.,NL0012969182,Capital Fund Management S.A.,current
1.3,2026-06-16,Akzo Nobel N.V.,NL0013267909,Davidson Kempner Capital Management LP,current
0.61,2026-06-16,Signify N.V.,NL0011821392,"Farallon Capital Management, L.L.C.",current
0.51,2026-06-16,PostNL N.V.,NL0009739416,Winton Capital Management Limited,current
0.63,2026-06-16,Alfen N.V.,NL0012817175,"WorldQuant, LLC",current
0.56,2026-06-15,Signify N.V.,NL0011821392,"Farallon Capital Management, L.L.C.",current
0.9,2026-06-15,The Magnum Ice Cream Company N.V.,NL0015002MS2,Marshall Wace LLP,current
0.5,2026-06-15,Akzo Nobel N.V.,NL0013267909,Millennium International Management LP,current
1.09,2026-06-15,Akzo Nobel N.V.,NL0013267909,"O'Connor Alternative Investments, LLC",current
0.9,2026-06-15,The Magnum Ice Cream Company N.V.,NL0015002MS2,Qube Research & Technologies Ltd.,current
0.7,2026-06-12,Akzo Nobel N.V.,NL0013267909,"BlackRock Advisors, LLC",current
1.56,2026-06-12,Signify N.V.,NL0011821392,Citadel Advisors LLC,current
0.59,2026-06-12,CVC Capital Partners plc,JE00BRX98089,Marshall Wace LLP,current
0.88,2026-06-12,DSM-Firmenich AG,CH1216478797,Marshall Wace LLP,current
1.48,2026-06-12,Signify N.V.,NL0011821392,Marshall Wace LLP,current
0.75,2026-06-11,Basic-Fit N.V.,NL0011872650,Linden Advisors LP,current
0.89,2026-06-11,The Magnum Ice Cream Company N.V.,NL0015002MS2,Marshall Wace LLP,current
0.5,2026-06-11,CSG N.V.,NL0015073TS8,Qube Research & Technologies Ltd.,current
0.89,2026-06-11,The Magnum Ice Cream Company N.V.,NL0015002MS2,Qube Research & Technologies Ltd.,current
0.56,2026-06-11,Alfen N.V.,NL0012817175,"WorldQuant, LLC",current
0.99,2026-06-10,Adyen N.V.,NL0012969182,"AQR Capital Management, LLC",current
0.89,2026-06-10,ARCADIS N.V.,NL0006237562,"AQR Capital Management, LLC",current
1.6,2026-06-10,Signify N.V.,NL0011821392,Citadel Advisors LLC,current
0.83,2026-06-10,Basic-Fit N.V.,NL0011872650,Sculptor Capital Management Europe Limited,current
1.1,2026-06-10,Pharming Group N.V.,NL0010391025,Walleye Capital LLC,current
0.9,2026-06-09,IMCD N.V.,NL0010801007,Capital Fund Management S.A.,current
1.59,2026-06-09,Signify N.V.,NL0011821392,Citadel Advisors LLC,current
1.0,2026-06-09,Wereldhave N.V.,NL0000289213,Citadel Advisors LLC,current
1.12,2026-06-09,Akzo Nobel N.V.,NL0013267909,LMR Partners LLP,current
0.9,2026-06-09,The Magnum Ice Cream Company N.V.,NL0015002MS2,Marshall Wace LLP,current
0.5,2026-06-09,Alfen N.V.,NL0012817175,Millennium International Management LP,current
0.77,2026-06-09,Theon International Plc,CY0200751713,"Two Sigma Investments, LP",current
1.01,2026-06-08,DSM-Firmenich AG,CH1216478797,Citadel Advisors LLC,current
1.08,2026-06-08,Akzo Nobel N.V.,NL0013267909,LMR Partners LLP,current
1.2,2026-06-08,Signify N.V.,NL0011821392,"PDT Partners, LLC",current
1.09,2026-06-08,InPost S.A.,LU2290522684,"Two Sigma Investments, LP",current
0.51,2026-06-05,Signify N.V.,NL0011821392,"BlackRock Institutional Trust Company, National Association",current
1.24,2026-06-05,Akzo Nobel N.V.,NL0013267909,Davidson Kempner Capital Management LP,current
1.59,2026-06-05,Signify N.V.,NL0011821392,Marshall Wace LLP,current
0.92,2026-06-05,The Magnum Ice Cream Company N.V.,NL0015002MS2,Qube Research & Technologies Ltd.,current
1.07,2026-06-04,Adyen N.V.,NL0012969182,"AQR Capital Management, LLC",current
0.65,2026-06-04,Akzo Nobel N.V.,NL0013267909,"BlackRock Advisors, LLC",current
1.17,2026-06-04,Akzo Nobel N.V.,NL0013267909,Davidson Kempner Capital Management LP,current
0.91,2026-06-04,Akzo Nobel N.V.,NL0013267909,LMR Partners LLP,current
0.62,2026-06-04,Signify N.V.,NL0011821392,Squarepoint Ops LLC,current
0.69,2026-06-03,CVC Capital Partners plc,JE00BRX98089,"AQR Capital Management, LLC",current
0.52,2026-06-03,Adyen N.V.,NL0012969182,Capital Fund Management S.A.,current
1.02,2026-06-03,Akzo Nobel N.V.,NL0013267909,Davidson Kempner Capital Management LP,current
0.83,2026-06-03,Akzo Nobel N.V.,NL0013267909,LMR Partners LLP,current
0.91,2026-06-03,DSM-Firmenich AG,CH1216478797,Marshall Wace LLP,current
0.81,2026-06-03,The Magnum Ice Cream Company N.V.,NL0015002MS2,Marshall Wace LLP,current
0.58,2026-06-03,Pharming Group N.V.,NL0010391025,Whitebox Advisors LLC,current
2.2,2026-06-02,Fugro N.V.,NL00150003E1,JPMorgan Asset Management (UK) Ltd.,current
0.79,2026-06-02,Basic-Fit N.V.,NL0011872650,Sculptor Capital Management Europe Limited,current
1.02,2026-06-02,Pharming Group N.V.,NL0010391025,Walleye Capital LLC,current
0.81,2026-06-01,NSI N.V.,NL0012365084,Numeric Investors LLC,current
0.59,2026-05-29,Aalberts N.V.,NL0000852564,"AQR Capital Management, LLC",current
0.69,2026-05-29,IMCD N.V.,NL0010801007,"BlackRock Financial Management, Inc.",current
0.83,2026-05-29,Signify N.V.,NL0011821392,"BlackRock Financial Management, Inc.",current
0.58,2026-05-29,Akzo Nobel N.V.,NL0013267909,Davidson Kempner Capital Management LP,current
1.85,2026-05-29,DSM-Firmenich AG,CH1216478797,Ilex Capital Partners (UK) LLP,current
0.85,2026-05-29,DSM-Firmenich AG,CH1216478797,Marshall Wace LLP,current
1.11,2026-05-29,Signify N.V.,NL0011821392,"PDT Partners, LLC",current
0.83,2026-05-29,The Magnum Ice Cream Company N.V.,NL0015002MS2,Qube Research & Technologies Ltd.,current
0.5,2026-05-29,Signify N.V.,NL0011821392,Squarepoint Ops LLC,current
1.09,2026-05-29,Pharming Group N.V.,NL0010391025,"Two Sigma Investments, LP",current
1.18,2026-05-28,Adyen N.V.,NL0012969182,"AQR Capital Management, LLC",current
0.66,2026-05-28,Akzo Nobel N.V.,NL0013267909,Davidson Kempner Capital Management LP,current
0.87,2026-05-28,Basic-Fit N.V.,NL0011872650,Linden Advisors LP,current
1.18,2026-05-28,InPost S.A.,LU2290522684,"Two Sigma Investments, LP",current
0.92,2026-05-28,Pharming Group N.V.,NL0010391025,Walleye Capital LLC,current
0.6,2026-05-27,Akzo Nobel N.V.,NL0013267909,"AQR Capital Management, LLC",current
0.91,2026-05-27,Wereldhave N.V.,NL0000289213,Citadel Advisors LLC,current
1.01,2026-05-27,Akzo Nobel N.V.,NL0013267909,Davidson Kempner Capital Management LP,current
0.79,2026-05-27,NSI N.V.,NL0012365084,Numeric Investors LLC,current
0.78,2026-05-27,The Magnum Ice Cream Company N.V.,NL0015002MS2,Qube Research & Technologies Ltd.,current
1.18,2026-05-26,Signify N.V.,NL0011821392,"AQR Capital Management, LLC",current
1.3,2026-05-26,IMCD N.V.,NL0010801007,"Arrowstreet Capital, Limited Partnership",current
0.8,2026-05-26,IMCD N.V.,NL0010801007,Capital Fund Management S.A.,current
0.91,2026-05-26,DSM-Firmenich AG,CH1216478797,Citadel Advisors LLC,current
0.75,2026-05-26,PostNL N.V.,NL0009739416,Marshall Wace LLP,current
1.6,2026-05-26,Signify N.V.,NL0011821392,Marshall Wace LLP,current
0.8,2026-05-26,The Magnum Ice Cream Company N.V.,NL0015002MS2,Qube Research & Technologies Ltd.,current
0.8,2026-05-25,IMCD N.V.,NL0010801007,"PDT Partners, LLC",current
0.8,2026-05-25,Basic-Fit N.V.,NL0011872650,Sculptor Capital Management Europe Limited,current
0.53,2026-05-22,Fugro N.V.,NL00150003E1,"Algert Global, LLC",current
0.86,2026-05-22,DSM-Firmenich AG,CH1216478797,Citadel Advisors LLC,current
1.6,2026-05-22,Signify N.V.,NL0011821392,Citadel Advisors LLC,current
0.78,2026-05-22,DSM-Firmenich AG,CH1216478797,Marshall Wace LLP,current
0.79,2026-05-22,IMCD N.V.,NL0010801007,"PDT Partners, LLC",current
0.8,2026-05-22,Pharming Group N.V.,NL0010391025,Walleye Capital LLC,current
1.0,2026-05-21,Signify N.V.,NL0011821392,Canada Pension Plan Investment Board,current
0.74,2026-05-21,DSM-Firmenich AG,CH1216478797,Citadel Advisors LLC,current
1.71,2026-05-21,DSM-Firmenich AG,CH1216478797,Ilex Capital Partners (UK) LLP,current
0.6,2026-05-21,DSM-Firmenich AG,CH1216478797,Marshall Wace LLP,current
1.58,2026-05-21,Signify N.V.,NL0011821392,Marshall Wace LLP,current
