position_date,isin,issuer_name,net_short_position,position_holder,source
2025-06-06,NL0009739416,PostNL N.V.,0.62,"D. E. Shaw & Co., L.P.",current
2025-06-05,NL0012866412,BE Semiconductor Industries N.V.,0.73,"D. E. Shaw & Co., L.P.",current
2025-06-04,NL0013267909,Akzo Nobel N.V.,1.27,AKO Capital LLP,current
2025-06-03,NL0012817175,Alfen N.V.,2.0,"D. E. Shaw & Co., L.P.",current
2025-06-03,NL0011872650,Basic-Fit N.V.,1.59,JPMorgan Asset Management (UK) Ltd.,current
2025-06-02,NL0012817175,Alfen N.V.,0.71,Voleon Capital Management LP,current
2025-05-30,NL0012866412,BE Semiconductor Industries N.V.,0.68,"D. E. Shaw & Co., L.P.",current
2025-05-30,NL0013332471,TomTom N.V.,2.1,JPMorgan Asset Management (UK) Ltd.,current
2025-05-29,NL0012866412,BE Semiconductor Industries N.V.,0.7,"D. E. Shaw & Co., L.P.",current
2025-05-28,BE0003818359,Galapagos NV,1.6,"Arrowstreet Capital, Limited Partnership",current
2025-05-28,NL0012817175,Alfen N.V.,1.99,"D. E. Shaw & Co., L.P.",current
2025-05-27,NL0013267909,Akzo Nobel N.V.,1.4,AKO Capital LLP,current
2025-05-27,NL0000289213,Wereldhave N.V.,0.6,Citadel Advisors LLC,current
2025-05-26,NL0013332471,TomTom N.V.,2.0,JPMorgan Asset Management (UK) Ltd.,current
2025-05-22,NL0015002AH0,Havas N.V.,1.28,"Atalan Capital Partners, LP",current
2025-05-22,NL0000289213,Wereldhave N.V.,0.52,Citadel Advisors LLC,current
2025-05-22,GB00BP6MXD84,Shell plc,0.7,"Elliott Investment Management, L.P",current
2025-05-21,NL0010391025,Pharming Group N.V.,0.74,Capstone Volatility Master (Cayman) Limited,current
2025-05-20,NL0012866412,BE Semiconductor Industries N.V.,0.68,"D. E. Shaw & Co., L.P.",current
2025-05-20,NL0012817175,Alfen N.V.,0.63,Voleon Capital Management LP,current
2025-05-19,BE0003818359,Galapagos NV,1.53,"Arrowstreet Capital, Limited Partnership",current
2025-05-19,NL0012817175,Alfen N.V.,2.07,"D. E. Shaw & Co., L.P.",current
2025-05-19,NL0010391025,Pharming Group N.V.,0.71,Lazard Asset Management LLC,current
2025-05-19,NL0012817175,Alfen N.V.,0.59,Voleon Capital Management LP,current
2025-05-16,NL0012817175,Alfen N.V.,2.1,"D. E. Shaw & Co., L.P.",current
2025-05-15,BE0003818359,Galapagos NV,1.43,"Arrowstreet Capital, Limited Partnership",current
2025-05-15,NL0012817175,Alfen N.V.,1.93,"D. E. Shaw & Co., L.P.",current
2025-05-15,NL0010391025,Pharming Group N.V.,0.69,Lazard Asset Management LLC,current
2025-05-14,NL0015002AH0,Havas N.V.,0.92,"Atalan Capital Partners, LP",current
2025-05-14,NL0012817175,Alfen N.V.,1.69,"D. E. Shaw & Co., L.P.",current
2025-05-14,NL0013332471,TomTom N.V.,1.99,JPMorgan Asset Management (UK) Ltd.,current
2025-05-13,NL0012817175,Alfen N.V.,1.47,"D. E. Shaw & Co., L.P.",current
2025-05-12,NL0012817175,Alfen N.V.,0.88,"D. E. Shaw & Co., L.P.",current
2025-05-12,NL0009739416,PostNL N.V.,0.59,"D. E. Shaw & Co., L.P.",current
2025-05-12,NL0013332471,TomTom N.V.,2.08,JPMorgan Asset Management (UK) Ltd.,current
2025-05-09,BE0003818359,Galapagos NV,1.31,"Arrowstreet Capital, Limited Partnership",current
2025-05-09,NL0011872650,Basic-Fit N.V.,0.99,"D. E. Shaw & Co., L.P.",current
2025-05-09,NL0009739416,PostNL N.V.,0.6,"D. E. Shaw & Co., L.P.",current
2025-05-08,NL0015002AH0,Havas N.V.,0.67,"Atalan Capital Partners, LP",current
2025-05-08,NL0010391025,Pharming Group N.V.,0.56,Capstone Volatility Master (Cayman) Limited,current
2025-05-08,NL0010391025,Pharming Group N.V.,0.73,Lazard Asset Management LLC,current
2025-05-07,NL0015002AH0,Havas N.V.,0.5,"Atalan Capital Partners, LP",current
2025-05-07,NL0012866412,BE Semiconductor Industries N.V.,0.71,"D. E. Shaw & Co., L.P.",current
2025-05-06,BE0003818359,Galapagos NV,1.2,"Arrowstreet Capital, Limited Partnership",current
2025-05-06,NL0012817175,Alfen N.V.,0.99,"D. E. Shaw & Co., L.P.",current
2025-05-02,NL0013267909,Akzo Nobel N.V.,1.33,AKO Capital LLP,current
2025-05-02,NL0012817175,Alfen N.V.,1.06,"D. E. Shaw & Co., L.P.",current
2025-04-30,BE0003818359,Galapagos NV,1.13,"Arrowstreet Capital, Limited Partnership",current
2025-04-30,NL0009739416,PostNL N.V.,0.52,"D. E. Shaw & Co., L.P.",current
2025-04-29,NL0012817175,Alfen N.V.,1.28,"D. E. Shaw & Co., L.P.",current
2025-04-28,NL0012817175,Alfen N.V.,1.33,"D. E. Shaw & Co., L.P.",current
2025-04-24,NL0012817175,Alfen N.V.,1.49,"D. E. Shaw & Co., L.P.",current
2025-04-23,BE0003818359,Galapagos NV,1.01,"Arrowstreet Capital, Limited Partnership",current
2025-04-22,NL0012817175,Alfen N.V.,1.58,"D. E. Shaw & Co., L.P.",current
2025-04-22,NL0013332471,TomTom N.V.,2.19,JPMorgan Asset Management (UK) Ltd.,current
2025-04-17,NL0012866412,BE Semiconductor Industries N.V.,0.6,"D. E. Shaw & Co., L.P.",current
2025-04-16,NL0013332471,TomTom N.V.,2.27,JPMorgan Asset Management (UK) Ltd.,current
2025-04-15,NL0013267909,Akzo Nobel N.V.,1.2,AKO Capital LLP,current
2025-04-15,NL0013332471,TomTom N.V.,2.36,JPMorgan Asset Management (UK) Ltd.,current
2025-04-14,NL0011872650,Basic-Fit N.V.,1.62,JPMorgan Asset Management (UK) Ltd.,current
2025-04-11,NL0011872650,Basic-Fit N.V.,1.57,JPMorgan Asset Management (UK) Ltd.,current
2025-04-10,NL0013267909,Akzo Nobel N.V.,1.17,AKO Capital LLP,current
2025-04-10,NL0011872650,Basic-Fit N.V.,1.05,"D. E. Shaw & Co., L.P.",current
