issuer_name,position_date,position_holder,net_short_position,isin,source
Pharming Group N.V.,2026-06-22,"Two Sigma Investments, LP",1.1,NL0010391025,current
Alfen N.V.,2026-06-22,"WorldQuant, LLC",0.74,NL0012817175,current
IMCD N.V.,2026-06-19,Capital Fund Management S.A.,1.0,NL0010801007,current
Pharming Group N.V.,2026-06-19,Capstone Volatility Master (Cayman) Limited,0.83,NL0010391025,current
DSM-Firmenich AG,2026-06-19,Citadel Advisors LLC,0.96,CH1216478797,current
Signify N.V.,2026-06-19,Citadel Advisors LLC,1.3,NL0011821392,current
Basic-Fit N.V.,2026-06-19,"D. E. Shaw & Co., L.P.",0.79,NL0011872650,current
DSM-Firmenich AG,2026-06-19,Marshall Wace LLP,0.91,CH1216478797,current
Fugro N.V.,2026-06-19,"Point72 Asset Management, L.P.",0.56,NL00150003E1,current
The Magnum Ice Cream Company N.V.,2026-06-19,Qube Research & Technologies Ltd.,0.79,NL0015002MS2,current
Pharming Group N.V.,2026-06-19,Spark Investment Management LLC,0.52,NL0010391025,current
Alfen N.V.,2026-06-19,"WorldQuant, LLC",0.68,NL0012817175,current
Adyen N.V.,2026-06-18,Capital Fund Management S.A.,0.71,NL0012969182,current
TKH Group N.V.,2026-06-18,Capital Fund Management S.A.,0.59,NL0000852523,current
Signify N.V.,2026-06-18,Citadel Advisors Europe Limited,0.88,NL0011821392,current
Signify N.V.,2026-06-18,"Farallon Capital Management, L.L.C.",0.85,NL0011821392,current
PostNL N.V.,2026-06-18,Marshall Wace LLP,0.8,NL0009739416,current
Alfen N.V.,2026-06-18,Millennium International Management LP,0.62,NL0012817175,current
IMCD N.V.,2026-06-18,"PDT Partners, LLC",0.79,NL0010801007,current
Basic-Fit N.V.,2026-06-18,SQUARE CIRCLE IA LP,0.54,NL0011872650,current
Alfen N.V.,2026-06-18,"WorldQuant, LLC",0.71,NL0012817175,current
Adyen N.V.,2026-06-17,"AQR Capital Management, LLC",0.89,NL0012969182,current
IMCD N.V.,2026-06-17,"Arrowstreet Capital, Limited Partnership",1.29,NL0010801007,current
Signify N.V.,2026-06-17,"BlackRock Financial Management, Inc.",0.79,NL0011821392,current
The Magnum Ice Cream Company N.V.,2026-06-17,Capital Fund Management S.A.,0.51,NL0015002MS2,current
Signify N.V.,2026-06-17,Citadel Advisors LLC,1.46,NL0011821392,current
Sligro Food Group N.V.,2026-06-17,Citadel Advisors LLC,0.89,NL0000817179,current
Signify N.V.,2026-06-17,"Farallon Capital Management, L.L.C.",0.75,NL0011821392,current
DSM-Firmenich AG,2026-06-17,Ilex Capital Partners (UK) LLP,1.91,CH1216478797,current
Signify N.V.,2026-06-17,Marshall Wace LLP,1.51,NL0011821392,current
The Magnum Ice Cream Company N.V.,2026-06-17,Qube Research & Technologies Ltd.,0.88,NL0015002MS2,current
Adyen N.V.,2026-06-16,Capital Fund Management S.A.,0.62,NL0012969182,current
Akzo Nobel N.V.,2026-06-16,Davidson Kempner Capital Management LP,1.3,NL0013267909,current
Signify N.V.,2026-06-16,"Farallon Capital Management, L.L.C.",0.61,NL0011821392,current
PostNL N.V.,2026-06-16,Winton Capital Management Limited,0.51,NL0009739416,current
Alfen N.V.,2026-06-16,"WorldQuant, LLC",0.63,NL0012817175,current
Sligro Food Group N.V.,2026-06-16,"WorldQuant, LLC",0.51,NL0000817179,current
Signify N.V.,2026-06-15,Citadel Advisors Europe Limited,0.99,NL0011821392,current
Pharming Group N.V.,2026-06-15,"D. E. Shaw & Co., L.P.",0.57,NL0010391025,current
Signify N.V.,2026-06-15,"Farallon Capital Management, L.L.C.",0.56,NL0011821392,current
The Magnum Ice Cream Company N.V.,2026-06-15,Marshall Wace LLP,0.9,NL0015002MS2,current
Akzo Nobel N.V.,2026-06-15,Millennium International Management LP,0.5,NL0013267909,current
Akzo Nobel N.V.,2026-06-15,"O'Connor Alternative Investments, LLC",1.09,NL0013267909,current
The Magnum Ice Cream Company N.V.,2026-06-15,Qube Research & Technologies Ltd.,0.9,NL0015002MS2,current
Akzo Nobel N.V.,2026-06-12,"BlackRock Advisors, LLC",0.7,NL0013267909,current
TKH Group N.V.,2026-06-12,Capital Fund Management S.A.,0.61,NL0000852523,current
Signify N.V.,2026-06-12,Citadel Advisors LLC,1.56,NL0011821392,current
CVC Capital Partners plc,2026-06-12,Marshall Wace LLP,0.59,JE00BRX98089,current
DSM-Firmenich AG,2026-06-12,Marshall Wace LLP,0.88,CH1216478797,current
Signify N.V.,2026-06-12,Marshall Wace LLP,1.48,NL0011821392,current
TKH Group N.V.,2026-06-11,Capital Fund Management S.A.,0.59,NL0000852523,current
Basic-Fit N.V.,2026-06-11,Linden Advisors LP,0.75,NL0011872650,current
The Magnum Ice Cream Company N.V.,2026-06-11,Marshall Wace LLP,0.89,NL0015002MS2,current
CSG N.V.,2026-06-11,Qube Research & Technologies Ltd.,0.5,NL0015073TS8,current
The Magnum Ice Cream Company N.V.,2026-06-11,Qube Research & Technologies Ltd.,0.89,NL0015002MS2,current
Alfen N.V.,2026-06-11,"WorldQuant, LLC",0.56,NL0012817175,current
Adyen N.V.,2026-06-10,"AQR Capital Management, LLC",0.99,NL0012969182,current
ARCADIS N.V.,2026-06-10,"AQR Capital Management, LLC",0.89,NL0006237562,current
TKH Group N.V.,2026-06-10,Capital Fund Management S.A.,0.6,NL0000852523,current
Signify N.V.,2026-06-10,Citadel Advisors LLC,1.6,NL0011821392,current
Basic-Fit N.V.,2026-06-10,Sculptor Capital Management Europe Limited,0.83,NL0011872650,current
Pharming Group N.V.,2026-06-10,Walleye Capital LLC,1.1,NL0010391025,current
IMCD N.V.,2026-06-09,Capital Fund Management S.A.,0.9,NL0010801007,current
Signify N.V.,2026-06-09,Citadel Advisors LLC,1.59,NL0011821392,current
Wereldhave N.V.,2026-06-09,Citadel Advisors LLC,1.0,NL0000289213,current
Akzo Nobel N.V.,2026-06-09,LMR Partners LLP,1.12,NL0013267909,current
The Magnum Ice Cream Company N.V.,2026-06-09,Marshall Wace LLP,0.9,NL0015002MS2,current
Alfen N.V.,2026-06-09,Millennium International Management LP,0.5,NL0012817175,current
Theon International Plc,2026-06-09,"Two Sigma Investments, LP",0.77,CY0200751713,current
DSM-Firmenich AG,2026-06-08,Citadel Advisors LLC,1.01,CH1216478797,current
Akzo Nobel N.V.,2026-06-08,LMR Partners LLP,1.08,NL0013267909,current
Signify N.V.,2026-06-08,"PDT Partners, LLC",1.2,NL0011821392,current
InPost S.A.,2026-06-08,"Two Sigma Investments, LP",1.09,LU2290522684,current
Akzo Nobel N.V.,2026-06-05,AKO Capital LLP,0.51,NL0013267909,current
Signify N.V.,2026-06-05,"BlackRock Institutional Trust Company, National Association",0.51,NL0011821392,current
Pharming Group N.V.,2026-06-05,"D. E. Shaw & Co., L.P.",0.63,NL0010391025,current
Akzo Nobel N.V.,2026-06-05,Davidson Kempner Capital Management LP,1.24,NL0013267909,current
Signify N.V.,2026-06-05,Marshall Wace LLP,1.59,NL0011821392,current
The Magnum Ice Cream Company N.V.,2026-06-05,Qube Research & Technologies Ltd.,0.92,NL0015002MS2,current
