issuer_name,position_date,position_holder,net_short_position,isin,source
Koninklijke Philips N.V.,2023-01-30,Citadel Advisors Europe Limited,0.56,NL0000009538,archive
TomTom N.V.,2023-01-30,Citadel Advisors LLC,0.82,NL0013332471,archive
BE Semiconductor Industries N.V.,2023-01-30,"Point72 Asset Management, L.P.",1.42,NL0012866412,archive
Basic-Fit N.V.,2023-01-30,Praxis Alpha Partners LLP,0.49,NL0011872650,archive
Signify N.V.,2023-01-27,AKO Capital LLP,1.21,NL0011821392,archive
Flow Traders Ltd.,2023-01-27,Canada Pension Plan Investment Board,0.55,BMG3602E1084,archive
Akzo Nobel N.V.,2023-01-27,Marshall Wace LLP,0.52,NL0013267909,archive
Alfen N.V.,2023-01-27,Marshall Wace LLP,1.39,NL0012817175,archive
Koninklijke Philips N.V.,2023-01-27,Marshall Wace LLP,0.71,NL0000009538,archive
PostNL N.V.,2023-01-27,Millennium Capital Partners LLP,0.58,NL0009739416,archive
Signify N.V.,2023-01-27,Millennium Capital Partners LLP,0.57,NL0011821392,archive
Basic-Fit N.V.,2023-01-27,Praxis Alpha Partners LLP,0.5,NL0011872650,archive
BE Semiconductor Industries N.V.,2023-01-26,"AQR Capital Management, LLC",0.49,NL0012866412,archive
Koninklijke Heijmans N.V.,2023-01-26,SIH Partners LLLP,0.51,NL0009269109,archive
Wereldhave N.V.,2023-01-26,"Woodson Capital Master Fund, LP",2.39,NL0000289213,archive
PostNL N.V.,2023-01-25,Marshall Wace LLP,1.37,NL0009739416,archive
Ebusco Holding N.V.,2023-01-25,Otus Capital Management Ltd.,0.71,NL0015000CZ2,archive
Aperam S.A.,2023-01-25,Pantechnicon Advisors LLP,0.48,LU0569974404,archive
Koninklijke Heijmans N.V.,2023-01-25,SIH Partners LLLP,0.49,NL0009269109,archive
Wereldhave N.V.,2023-01-25,"Woodson Capital Master Fund, LP",2.47,NL0000289213,archive
Basic-Fit N.V.,2023-01-24,CapeView Capital LLP,0.68,NL0011872650,archive
Koninklijke Philips N.V.,2023-01-24,Marshall Wace LLP,0.62,NL0000009538,archive
BE Semiconductor Industries N.V.,2023-01-24,"Point72 Asset Management, L.P.",1.39,NL0012866412,archive
PostNL N.V.,2023-01-23,Marshall Wace LLP,1.41,NL0009739416,archive
BE Semiconductor Industries N.V.,2023-01-23,"Point72 Asset Management, L.P.",1.27,NL0012866412,archive
Koninklijke BAM Groep N.V.,2023-01-20,Citadel Advisors LLC,0.49,NL0000337319,archive
Unibail-Rodamco-Westfield SE,2023-01-20,Kintbury Capital LLP,0.51,FR0013326246,archive
Signify N.V.,2023-01-20,Millennium Capital Partners LLP,0.47,NL0011821392,archive
OCI N.V.,2023-01-20,Millennium International Management LP,0.5,NL0010558797,archive
Koninklijke Heijmans N.V.,2023-01-20,SIH Partners LLLP,0.51,NL0009269109,archive
BE Semiconductor Industries N.V.,2023-01-20,"WorldQuant, LLC",0.5,NL0012866412,archive
Alfen N.V.,2023-01-19,"Arrowstreet Capital, Limited Partnership",0.59,NL0012817175,archive
TomTom N.V.,2023-01-19,Citadel Advisors LLC,0.7,NL0013332471,archive
Unibail-Rodamco-Westfield SE,2023-01-19,Kintbury Capital LLP,0.47,FR0013326246,archive
Pharming Group N.V.,2023-01-19,Lazard Asset Management LLC,0.58,NL0010391025,archive
BE Semiconductor Industries N.V.,2023-01-19,Millennium International Management LP,0.99,NL0012866412,archive
Koninklijke Heijmans N.V.,2023-01-19,SIH Partners LLLP,0.49,NL0009269109,archive
Alfen N.V.,2023-01-18,Marble Bar Asset Management LLP,0.6,NL0012817175,archive
Alfen N.V.,2023-01-18,Pictet Asset Management S.A.,0.47,NL0012817175,archive
Koninklijke Philips N.V.,2023-01-17,Citadel Advisors Europe Limited,0.44,NL0000009538,archive
Signify N.V.,2023-01-17,Millennium Capital Partners LLP,0.53,NL0011821392,archive
BE Semiconductor Industries N.V.,2023-01-16,"AQR Capital Management, LLC",0.5,NL0012866412,archive
TomTom N.V.,2023-01-16,Citadel Advisors LLC,0.52,NL0013332471,archive
Alfen N.V.,2023-01-16,Marshall Wace LLP,1.56,NL0012817175,archive
BE Semiconductor Industries N.V.,2023-01-16,Millennium International Management LP,1.08,NL0012866412,archive
Wereldhave N.V.,2023-01-16,"Woodson Capital Master Fund, LP",2.58,NL0000289213,archive
Lakefront Biotherapeutics NV,2023-01-13,AHL Partners LLP,0.49,BE0003818359,archive
Signify N.V.,2023-01-13,Millennium Capital Partners LLP,0.65,NL0011821392,archive
Pharming Group N.V.,2023-01-13,Millennium International Management LP,0.5,NL0010391025,archive
Alfen N.V.,2023-01-13,Pictet Asset Management S.A.,0.52,NL0012817175,archive
BE Semiconductor Industries N.V.,2023-01-13,"WorldQuant, LLC",0.46,NL0012866412,archive
Unibail-Rodamco-Westfield SE,2023-01-12,Kintbury Capital LLP,0.56,FR0013326246,archive
Alfen N.V.,2023-01-12,Marble Bar Asset Management LLP,0.59,NL0012817175,archive
Alfen N.V.,2023-01-12,Marshall Wace LLP,1.66,NL0012817175,archive
Koninklijke BAM Groep N.V.,2023-01-12,Marshall Wace LLP,0.69,NL0000337319,archive
PostNL N.V.,2023-01-12,Marshall Wace LLP,1.39,NL0009739416,archive
Pharming Group N.V.,2023-01-12,Millennium International Management LP,0.49,NL0010391025,archive
Koninklijke Philips N.V.,2023-01-11,Citadel Advisors Europe Limited,0.52,NL0000009538,archive
Alfen N.V.,2023-01-11,Marshall Wace LLP,1.7,NL0012817175,archive
Koninklijke Philips N.V.,2023-01-11,Marshall Wace LLP,0.59,NL0000009538,archive
PostNL N.V.,2023-01-11,Millennium Capital Partners LLP,0.61,NL0009739416,archive
Pharming Group N.V.,2023-01-11,Millennium International Management LP,0.5,NL0010391025,archive
Signify N.V.,2023-01-11,Millennium International Management LP,0.71,NL0011821392,archive
BE Semiconductor Industries N.V.,2023-01-11,"Point72 Asset Management, L.P.",1.36,NL0012866412,archive
Wereldhave N.V.,2023-01-11,"Woodson Capital Master Fund, LP",2.68,NL0000289213,archive
SBM Offshore N.V.,2023-01-10,JPMorgan Asset Management (UK) Ltd.,0.65,NL0000360618,archive
Alfen N.V.,2023-01-10,Marble Bar Asset Management LLP,0.62,NL0012817175,archive
BE Semiconductor Industries N.V.,2023-01-09,"Davidson Kempner European Partners, LLP",0.62,NL0012866412,archive
Signify N.V.,2023-01-09,Millennium International Management LP,0.62,NL0011821392,archive
BE Semiconductor Industries N.V.,2023-01-09,"WorldQuant, LLC",0.59,NL0012866412,archive
BE Semiconductor Industries N.V.,2023-01-06,"Point72 Asset Management, L.P.",1.59,NL0012866412,archive
ABN AMRO Bank NV,2023-01-06,Qube Research & Technologies Ltd.,0.49,NL0011540547,archive
PostNL N.V.,2023-01-06,Qube Research & Technologies Ltd.,0.48,NL0009739416,archive
BE Semiconductor Industries N.V.,2023-01-05,"Point72 Asset Management, L.P.",1.7,NL0012866412,archive
Wereldhave N.V.,2023-01-05,Toscafund Asset Management LLP,1.26,NL0000289213,archive
Koninklijke BAM Groep N.V.,2023-01-04,Marshall Wace LLP,0.76,NL0000337319,archive
PostNL N.V.,2023-01-04,Marshall Wace LLP,1.47,NL0009739416,archive
Signify N.V.,2023-01-04,Millennium Capital Partners LLP,0.53,NL0011821392,archive
Koninklijke Philips N.V.,2023-01-04,Viking Global Investors LP,2.01,NL0000009538,archive
Koninklijke Philips N.V.,2023-01-03,Marshall Wace LLP,0.69,NL0000009538,archive
Signify N.V.,2023-01-03,Sandbar Assets Management LLP,0.48,NL0011821392,archive
Koninklijke Heijmans N.V.,2023-01-03,SIH Partners LLLP,0.56,NL0009269109,archive
Unibail-Rodamco-Westfield SE,2023-01-02,Kintbury Capital LLP,0.61,FR0013326246,archive
PostNL N.V.,2023-01-02,Marshall Wace LLP,1.59,NL0009739416,archive
PostNL N.V.,2023-01-02,Qube Research & Technologies Ltd.,0.57,NL0009739416,archive
Basic-Fit N.V.,2023-01-02,SIH Partners LLLP,0.59,NL0011872650,archive
Koninklijke Philips N.V.,2022-12-30,Greenvale Capital LLP,0.7,NL0000009538,archive
Koninklijke Philips N.V.,2022-12-30,Marshall Wace LLP,0.72,NL0000009538,archive
Basic-Fit N.V.,2022-12-30,Praxis Alpha Partners LLP,0.6,NL0011872650,archive
Koninklijke BAM Groep N.V.,2022-12-29,Marshall Wace LLP,0.89,NL0000337319,archive
BE Semiconductor Industries N.V.,2022-12-28,Millennium International Management LP,1.17,NL0012866412,archive
BE Semiconductor Industries N.V.,2022-12-28,"WorldQuant, LLC",0.62,NL0012866412,archive
AMG Critical Materials N.V.,2022-12-27,Citadel Advisors LLC,0.49,NL0000888691,archive
Unibail-Rodamco-Westfield SE,2022-12-27,Marshall Wace LLP,0.49,FR0013326246,archive
BE Semiconductor Industries N.V.,2022-12-27,"Point72 Asset Management, L.P.",1.69,NL0012866412,archive
Signify N.V.,2022-12-23,Millennium Capital Partners LLP,0.6,NL0011821392,archive
Pharming Group N.V.,2022-12-22,Citadel Advisors LLC,0.45,NL0010391025,archive
Koninklijke Philips N.V.,2022-12-22,Greenvale Capital LLP,0.66,NL0000009538,archive
BE Semiconductor Industries N.V.,2022-12-22,"Point72 Asset Management, L.P.",1.77,NL0012866412,archive
Koninklijke Philips N.V.,2022-12-22,Viking Global Investors LP,1.9,NL0000009538,archive
PostNL N.V.,2022-12-22,"WorldQuant, LLC",0.48,NL0009739416,archive
Alfen N.V.,2022-12-21,"Arrowstreet Capital, Limited Partnership",0.6,NL0012817175,archive
Alfen N.V.,2022-12-21,Marshall Wace LLP,1.84,NL0012817175,archive
Koninklijke BAM Groep N.V.,2022-12-21,Marshall Wace LLP,0.99,NL0000337319,archive
Koninklijke Philips N.V.,2022-12-21,Marshall Wace LLP,0.68,NL0000009538,archive
BE Semiconductor Industries N.V.,2022-12-21,"Point72 Asset Management, L.P.",1.9,NL0012866412,archive
PostNL N.V.,2022-12-21,Qube Research & Technologies Ltd.,0.65,NL0009739416,archive
Koninklijke Philips N.V.,2022-12-21,Viking Global Investors LP,1.69,NL0000009538,archive
PostNL N.V.,2022-12-21,"WorldQuant, LLC",0.5,NL0009739416,archive
Lakefront Biotherapeutics NV,2022-12-20,AHL Partners LLP,0.5,BE0003818359,archive
Koninklijke BAM Groep N.V.,2022-12-20,Citadel Advisors LLC,0.59,NL0000337319,archive
Pharming Group N.V.,2022-12-20,Citadel Advisors LLC,0.59,NL0010391025,archive
ABN AMRO Bank NV,2022-12-20,Marshall Wace LLP,0.45,NL0011540547,archive
Koninklijke Philips N.V.,2022-12-20,Marshall Wace LLP,0.76,NL0000009538,archive
Signify N.V.,2022-12-20,Millennium International Management LP,0.52,NL0011821392,archive
BE Semiconductor Industries N.V.,2022-12-20,"Point72 Asset Management, L.P.",2.04,NL0012866412,archive
ABN AMRO Bank NV,2022-12-20,Qube Research & Technologies Ltd.,0.52,NL0011540547,archive
PostNL N.V.,2022-12-20,Qube Research & Technologies Ltd.,0.7,NL0009739416,archive
BE Semiconductor Industries N.V.,2022-12-20,"WorldQuant, LLC",0.51,NL0012866412,archive
Pharming Group N.V.,2022-12-19,Citadel Advisors LLC,0.67,NL0010391025,archive
ABN AMRO Bank NV,2022-12-19,Marshall Wace LLP,0.51,NL0011540547,archive
TomTom N.V.,2022-12-19,Otus Capital Management Ltd.,0.7,NL0013332471,archive
BE Semiconductor Industries N.V.,2022-12-19,"Point72 Asset Management, L.P.",2.27,NL0012866412,archive
Basic-Fit N.V.,2022-12-19,Praxis Alpha Partners LLP,0.57,NL0011872650,archive
Koninklijke Philips N.V.,2022-12-19,Viking Global Investors LP,1.41,NL0000009538,archive
Basic-Fit N.V.,2022-12-16,CapeView Capital LLP,0.72,NL0011872650,archive
ABN AMRO Bank NV,2022-12-16,Marshall Wace LLP,0.6,NL0011540547,archive
Alfen N.V.,2022-12-16,Marshall Wace LLP,1.7,NL0012817175,archive
Signify N.V.,2022-12-16,Millennium Capital Partners LLP,0.56,NL0011821392,archive
TomTom N.V.,2022-12-16,Otus Capital Management Ltd.,0.65,NL0013332471,archive
BE Semiconductor Industries N.V.,2022-12-16,"Point72 Asset Management, L.P.",2.37,NL0012866412,archive
Lakefront Biotherapeutics NV,2022-12-15,AHL Partners LLP,0.49,BE0003818359,archive
Alfen N.V.,2022-12-15,Marshall Wace LLP,1.57,NL0012817175,archive
Koninklijke BAM Groep N.V.,2022-12-15,Marshall Wace LLP,1.09,NL0000337319,archive
TomTom N.V.,2022-12-15,Otus Capital Management Ltd.,0.57,NL0013332471,archive
BE Semiconductor Industries N.V.,2022-12-15,"Point72 Asset Management, L.P.",2.51,NL0012866412,archive
AMG Critical Materials N.V.,2022-12-15,Qube Research & Technologies Ltd.,0.47,NL0000888691,archive
PostNL N.V.,2022-12-15,Qube Research & Technologies Ltd.,0.6,NL0009739416,archive
Signify N.V.,2022-12-15,Sandbar Assets Management LLP,0.51,NL0011821392,archive
Koninklijke Heijmans N.V.,2022-12-15,SIH Partners LLLP,0.64,NL0009269109,archive
Basic-Fit N.V.,2022-12-14,BlackRock Investment Management (UK) Limited,2.4,NL0011872650,archive
AMG Critical Materials N.V.,2022-12-14,Citadel Advisors LLC,0.58,NL0000888691,archive
Alfen N.V.,2022-12-14,Marshall Wace LLP,1.49,NL0012817175,archive
Aperam S.A.,2022-12-14,Pantechnicon Advisors LLP,0.5,LU0569974404,archive
BE Semiconductor Industries N.V.,2022-12-14,"Point72 Asset Management, L.P.",2.77,NL0012866412,archive
Signify N.V.,2022-12-14,Sandbar Assets Management LLP,0.49,NL0011821392,archive
PostNL N.V.,2022-12-13,GSA Capital Partners LLP,0.49,NL0009739416,archive
Alfen N.V.,2022-12-13,Marshall Wace LLP,1.38,NL0012817175,archive
Unibail-Rodamco-Westfield SE,2022-12-13,Marshall Wace LLP,0.59,FR0013326246,archive
BE Semiconductor Industries N.V.,2022-12-13,"Point72 Asset Management, L.P.",2.85,NL0012866412,archive
Lakefront Biotherapeutics NV,2022-12-12,AHL Partners LLP,0.5,BE0003818359,archive
BE Semiconductor Industries N.V.,2022-12-12,"Davidson Kempner European Partners, LLP",0.58,NL0012866412,archive
Koninklijke Philips N.V.,2022-12-12,Greenvale Capital LLP,0.75,NL0000009538,archive
ABN AMRO Bank NV,2022-12-12,Marshall Wace LLP,0.79,NL0011540547,archive
Koninklijke BAM Groep N.V.,2022-12-12,Marshall Wace LLP,1.18,NL0000337319,archive
Koninklijke Philips N.V.,2022-12-12,Marshall Wace LLP,0.87,NL0000009538,archive
PostNL N.V.,2022-12-12,Marshall Wace LLP,1.67,NL0009739416,archive
BE Semiconductor Industries N.V.,2022-12-12,Millennium International Management LP,1.23,NL0012866412,archive
Signify N.V.,2022-12-09,Citadel Advisors Europe Limited,0.48,NL0011821392,archive
Pharming Group N.V.,2022-12-09,Citadel Advisors LLC,0.7,NL0010391025,archive
Alfen N.V.,2022-12-09,Marshall Wace LLP,1.24,NL0012817175,archive
BE Semiconductor Industries N.V.,2022-12-09,"Point72 Asset Management, L.P.",2.71,NL0012866412,archive
AMG Critical Materials N.V.,2022-12-09,Qube Research & Technologies Ltd.,0.58,NL0000888691,archive
Pharming Group N.V.,2022-12-08,Citadel Advisors LLC,0.68,NL0010391025,archive
TomTom N.V.,2022-12-08,Citadel Advisors LLC,0.41,NL0013332471,archive
PostNL N.V.,2022-12-08,Marshall Wace LLP,1.77,NL0009739416,archive
Unibail-Rodamco-Westfield SE,2022-12-08,Marshall Wace LLP,0.69,FR0013326246,archive
Koninklijke BAM Groep N.V.,2022-12-07,Citadel Advisors LLC,0.6,NL0000337319,archive
Pharming Group N.V.,2022-12-07,Citadel Advisors LLC,0.7,NL0010391025,archive
Alfen N.V.,2022-12-07,Marshall Wace LLP,1.13,NL0012817175,archive
Koninklijke Heijmans N.V.,2022-12-07,SIH Partners LLLP,0.75,NL0009269109,archive
AMG Critical Materials N.V.,2022-12-06,Qube Research & Technologies Ltd.,0.69,NL0000888691,archive
Pharming Group N.V.,2022-12-05,Citadel Advisors LLC,0.61,NL0010391025,archive
TomTom N.V.,2022-12-05,Citadel Advisors LLC,0.51,NL0013332471,archive
PostNL N.V.,2022-12-05,Marshall Wace LLP,1.88,NL0009739416,archive
BE Semiconductor Industries N.V.,2022-12-05,"Point72 Asset Management, L.P.",2.6,NL0012866412,archive
Pharming Group N.V.,2022-12-02,Citadel Advisors LLC,0.59,NL0010391025,archive
Koninklijke Heijmans N.V.,2022-12-02,SIH Partners LLLP,0.63,NL0009269109,archive
Flow Traders Ltd.,2022-12-02,Voleon Capital Management LP,0.48,NL0011279492,archive
Basic-Fit N.V.,2022-12-01,Citadel Advisors Europe Limited,0.47,NL0011872650,archive
Koninklijke BAM Groep N.V.,2022-12-01,Citadel Advisors LLC,0.56,NL0000337319,archive
ArcelorMittal S.A.,2022-12-01,Marshall Wace LLP,0.47,LU1598757687,archive
Koninklijke BAM Groep N.V.,2022-12-01,Marshall Wace LLP,1.28,NL0000337319,archive
PostNL N.V.,2022-12-01,Millennium Capital Partners LLP,0.59,NL0009739416,archive
BE Semiconductor Industries N.V.,2022-12-01,"Point72 Asset Management, L.P.",2.5,NL0012866412,archive
Koninklijke Heijmans N.V.,2022-12-01,SIH Partners LLLP,0.59,NL0009269109,archive
AMG Critical Materials N.V.,2022-12-01,Systematica Investments Limited,0.49,NL0000888691,archive
Alfen N.V.,2022-11-30,Marshall Wace LLP,1.08,NL0012817175,archive
Koninklijke Philips N.V.,2022-11-30,Marshall Wace LLP,0.94,NL0000009538,archive
Signify N.V.,2022-11-30,Sandbar Assets Management LLP,0.57,NL0011821392,archive
Lakefront Biotherapeutics NV,2022-11-29,AHL Partners LLP,0.49,BE0003818359,archive
Koninklijke Philips N.V.,2022-11-29,Marshall Wace LLP,1.0,NL0000009538,archive
AMG Critical Materials N.V.,2022-11-29,Qube Research & Technologies Ltd.,0.7,NL0000888691,archive
Lakefront Biotherapeutics NV,2022-11-28,"AQR Capital Management, LLC",0.49,BE0003818359,archive
Signify N.V.,2022-11-28,Citadel Advisors Europe Limited,0.51,NL0011821392,archive
Pharming Group N.V.,2022-11-28,Citadel Advisors LLC,0.42,NL0010391025,archive
Alfen N.V.,2022-11-28,Marshall Wace LLP,1.18,NL0012817175,archive
BE Semiconductor Industries N.V.,2022-11-28,"Point72 Asset Management, L.P.",2.33,NL0012866412,archive
Pharming Group N.V.,2022-11-25,Citadel Advisors LLC,0.64,NL0010391025,archive
Koninklijke Philips N.V.,2022-11-24,Greenvale Capital LLP,0.8,NL0000009538,archive
PostNL N.V.,2022-11-24,GSA Capital Partners LLP,0.59,NL0009739416,archive
ABN AMRO Bank NV,2022-11-24,Marshall Wace LLP,0.81,NL0011540547,archive
Alfen N.V.,2022-11-24,Marshall Wace LLP,1.27,NL0012817175,archive
PostNL N.V.,2022-11-24,Marshall Wace LLP,1.92,NL0009739416,archive
Unibail-Rodamco-Westfield SE,2022-11-24,Marshall Wace LLP,0.79,FR0013326246,archive
PostNL N.V.,2022-11-24,"TGS Management Company, LLC",0.48,NL0009739416,archive
Alfen N.V.,2022-11-23,Marshall Wace LLP,1.3,NL0012817175,archive
PostNL N.V.,2022-11-23,Marshall Wace LLP,1.85,NL0009739416,archive
AMG Critical Materials N.V.,2022-11-23,Qube Research & Technologies Ltd.,0.6,NL0000888691,archive
PostNL N.V.,2022-11-23,"TGS Management Company, LLC",0.5,NL0009739416,archive
Pharming Group N.V.,2022-11-22,Citadel Advisors LLC,0.78,NL0010391025,archive
Alfen N.V.,2022-11-22,Marshall Wace LLP,1.29,NL0012817175,archive
Koninklijke Philips N.V.,2022-11-22,Marshall Wace LLP,0.91,NL0000009538,archive
SBM Offshore N.V.,2022-11-22,Marshall Wace LLP,0.46,NL0000360618,archive
Unibail-Rodamco-Westfield SE,2022-11-21,Marshall Wace LLP,0.8,FR0013326246,archive
Ebusco Holding N.V.,2022-11-21,Otus Capital Management Ltd.,0.61,NL0015000CZ2,archive
BE Semiconductor Industries N.V.,2022-11-21,"Point72 Asset Management, L.P.",2.2,NL0012866412,archive
Pharming Group N.V.,2022-11-21,"Point72 Asset Management, L.P.",0.48,NL0010391025,archive
Basic-Fit N.V.,2022-11-18,Citadel Advisors Europe Limited,0.57,NL0011872650,archive
ArcelorMittal S.A.,2022-11-18,"D. E. Shaw & Co., L.P.",0.46,LU1598757687,archive
Unibail-Rodamco-Westfield SE,2022-11-18,Marshall Wace LLP,0.79,FR0013326246,archive
BE Semiconductor Industries N.V.,2022-11-18,Millennium International Management LP,1.19,NL0012866412,archive
Pharming Group N.V.,2022-11-18,"Point72 Asset Management, L.P.",0.53,NL0010391025,archive
ArcelorMittal S.A.,2022-11-18,Polar Asset Management Partners Inc.,0.64,LU1598757687,archive
AMG Critical Materials N.V.,2022-11-18,Qube Research & Technologies Ltd.,0.56,NL0000888691,archive
Basic-Fit N.V.,2022-11-18,SIH Partners LLLP,0.67,NL0011872650,archive
Koninklijke Heijmans N.V.,2022-11-18,SIH Partners LLLP,0.69,NL0009269109,archive
Flow Traders Ltd.,2022-11-18,Voleon Capital Management LP,0.57,NL0011279492,archive
BE Semiconductor Industries N.V.,2022-11-17,"Point72 Asset Management, L.P.",2.12,NL0012866412,archive
Koninklijke Heijmans N.V.,2022-11-17,SIH Partners LLLP,0.77,NL0009269109,archive
Wereldhave N.V.,2022-11-16,Franklin Templeton Investment Management Limited,0.12,NL0000289213,archive
Alfen N.V.,2022-11-16,Marshall Wace LLP,1.33,NL0012817175,archive
BE Semiconductor Industries N.V.,2022-11-16,Millennium International Management LP,1.25,NL0012866412,archive
Pharming Group N.V.,2022-11-16,"Point72 Asset Management, L.P.",0.75,NL0010391025,archive
Basic-Fit N.V.,2022-11-16,SIH Partners LLLP,0.53,NL0011872650,archive
Koninklijke Heijmans N.V.,2022-11-16,SIH Partners LLLP,0.8,NL0009269109,archive
Basic-Fit N.V.,2022-11-15,BlackRock Investment Management (UK) Limited,2.36,NL0011872650,archive
Pharming Group N.V.,2022-11-15,Citadel Advisors LLC,0.85,NL0010391025,archive
Wereldhave N.V.,2022-11-15,Franklin Templeton Investment Management Limited,0.63,NL0000289213,archive
Basic-Fit N.V.,2022-11-15,JPMorgan Asset Management (UK) Ltd.,0.67,NL0011872650,archive
Corbion N.V.,2022-11-15,JPMorgan Asset Management (UK) Ltd.,0.43,NL0010583399,archive
ArcelorMittal S.A.,2022-11-15,Marshall Wace LLP,0.58,LU1598757687,archive
SBM Offshore N.V.,2022-11-15,Marshall Wace LLP,0.59,NL0000360618,archive
BE Semiconductor Industries N.V.,2022-11-15,"Point72 Asset Management, L.P.",2.01,NL0012866412,archive
AMG Critical Materials N.V.,2022-11-15,Qube Research & Technologies Ltd.,0.42,NL0000888691,archive
Basic-Fit N.V.,2022-11-14,BlackRock Investment Management (UK) Limited,2.28,NL0011872650,archive
Basic-Fit N.V.,2022-11-14,CapeView Capital LLP,0.64,NL0011872650,archive
BE Semiconductor Industries N.V.,2022-11-14,Citadel Advisors LLC,0.44,NL0012866412,archive
Koninklijke BAM Groep N.V.,2022-11-14,Citadel Advisors LLC,0.69,NL0000337319,archive
Wereldhave N.V.,2022-11-14,Franklin Templeton Investment Management Limited,0.97,NL0000289213,archive
PostNL N.V.,2022-11-14,GSA Capital Partners LLP,0.67,NL0009739416,archive
Unibail-Rodamco-Westfield SE,2022-11-14,Kintbury Capital LLP,0.58,FR0013326246,archive
Alfen N.V.,2022-11-14,Marshall Wace LLP,1.46,NL0012817175,archive
BE Semiconductor Industries N.V.,2022-11-14,"Point72 Asset Management, L.P.",1.98,NL0012866412,archive
PostNL N.V.,2022-11-14,"WorldQuant, LLC",0.49,NL0009739416,archive
Signify N.V.,2022-11-11,AKO Capital LLP,1.42,NL0011821392,archive
Basic-Fit N.V.,2022-11-11,CapeView Capital LLP,0.76,NL0011872650,archive
Basic-Fit N.V.,2022-11-11,Citadel Advisors Europe Limited,0.68,NL0011872650,archive
BE Semiconductor Industries N.V.,2022-11-11,"Davidson Kempner European Partners, LLP",0.62,NL0012866412,archive
PostNL N.V.,2022-11-11,Eleva Capital SAS,0.83,NL0009739416,archive
Wereldhave N.V.,2022-11-11,Eleva Capital SAS,0.98,NL0000289213,archive
Wereldhave N.V.,2022-11-11,Franklin Templeton Investment Management Limited,1.01,NL0000289213,archive
Basic-Fit N.V.,2022-11-11,JPMorgan Asset Management (UK) Ltd.,0.86,NL0011872650,archive
Unibail-Rodamco-Westfield SE,2022-11-11,Kintbury Capital LLP,0.68,FR0013326246,archive
Alfen N.V.,2022-11-11,Marshall Wace LLP,1.22,NL0012817175,archive
ArcelorMittal S.A.,2022-11-11,Marshall Wace LLP,0.65,LU1598757687,archive
Koninklijke Philips N.V.,2022-11-11,Marshall Wace LLP,0.86,NL0000009538,archive
Unibail-Rodamco-Westfield SE,2022-11-11,Marshall Wace LLP,0.85,FR0013326246,archive
BE Semiconductor Industries N.V.,2022-11-11,"Point72 Asset Management, L.P.",1.87,NL0012866412,archive
AMG Critical Materials N.V.,2022-11-11,Qube Research & Technologies Ltd.,0.66,NL0000888691,archive
Koninklijke Heijmans N.V.,2022-11-11,SIH Partners LLLP,0.77,NL0009269109,archive
Flow Traders Ltd.,2022-11-11,Voleon Capital Management LP,0.69,NL0011279492,archive
Basic-Fit N.V.,2022-11-10,CapeView Capital LLP,0.82,NL0011872650,archive
BE Semiconductor Industries N.V.,2022-11-10,Citadel Advisors LLC,0.58,NL0012866412,archive
Pharming Group N.V.,2022-11-10,Citadel Advisors LLC,0.91,NL0010391025,archive
SBM Offshore N.V.,2022-11-10,Marshall Wace Asia Limited,0.48,NL0000360618,archive
ABN AMRO Bank NV,2022-11-10,Marshall Wace LLP,0.7,NL0011540547,archive
ArcelorMittal S.A.,2022-11-10,Marshall Wace LLP,0.7,LU1598757687,archive
Koninklijke BAM Groep N.V.,2022-11-10,Marshall Wace LLP,1.3,NL0000337319,archive
Koninklijke Philips N.V.,2022-11-10,Marshall Wace LLP,0.92,NL0000009538,archive
PostNL N.V.,2022-11-10,Marshall Wace LLP,1.76,NL0009739416,archive
PostNL N.V.,2022-11-10,Millennium Capital Partners LLP,0.62,NL0009739416,archive
BE Semiconductor Industries N.V.,2022-11-10,"Point72 Asset Management, L.P.",1.77,NL0012866412,archive
AMG Critical Materials N.V.,2022-11-10,Qube Research & Technologies Ltd.,0.76,NL0000888691,archive
Basic-Fit N.V.,2022-11-10,SIH Partners LLLP,0.45,NL0011872650,archive
Koninklijke Heijmans N.V.,2022-11-10,SIH Partners LLLP,0.85,NL0009269109,archive
AMG Critical Materials N.V.,2022-11-09,Citadel Advisors LLC,0.61,NL0000888691,archive
Pharming Group N.V.,2022-11-09,Citadel Advisors LLC,0.88,NL0010391025,archive
PostNL N.V.,2022-11-09,GSA Capital Partners LLP,0.79,NL0009739416,archive
ABN AMRO Bank NV,2022-11-09,Marshall Wace LLP,0.68,NL0011540547,archive
BE Semiconductor Industries N.V.,2022-11-09,Millennium International Management LP,1.32,NL0012866412,archive
BE Semiconductor Industries N.V.,2022-11-09,"Point72 Asset Management, L.P.",1.64,NL0012866412,archive
PostNL N.V.,2022-11-09,Qube Research & Technologies Ltd.,0.51,NL0009739416,archive
Koninklijke Heijmans N.V.,2022-11-09,SIH Partners LLLP,0.94,NL0009269109,archive
AMG Critical Materials N.V.,2022-11-09,Systematica Investments Limited,0.59,NL0000888691,archive
Wereldhave N.V.,2022-11-09,"Woodson Capital Master Fund, LP",2.78,NL0000289213,archive
Alfen N.V.,2022-11-08,AHL Partners LLP,0.49,NL0012817175,archive
ASML Holding N.V.,2022-11-08,"Bridgewater Associates, LP",0.49,NL0010273215,archive
ING Groep N.V.,2022-11-08,"Bridgewater Associates, LP",0.48,NL0011821202,archive
