isin,net_short_position,position_date,issuer_name,position_holder,source
LU2290522684,0.61,2026-01-02,InPost S.A.,"Arrowstreet Capital, Limited Partnership",archive
NL0015002MS2,0.49,2026-01-02,The Magnum Ice Cream Company N.V.,Citadel Advisors Europe Limited,archive
LU2290522684,0.6,2026-01-02,InPost S.A.,"Connor, Clark & Lunn Investment Management Ltd.",archive
NL0012817175,0.48,2026-01-02,Alfen N.V.,Millennium International Management LP,archive
NL00150003E1,0.78,2026-01-02,Fugro N.V.,Millennium International Management LP,archive
NL0010801007,0.5,2026-01-02,IMCD N.V.,Millennium International Management LP,archive
NL00150003E1,0.7,2026-01-02,Fugro N.V.,"PDT Partners, LLC",archive
NL0010801007,0.5,2026-01-02,IMCD N.V.,Perbak Capital Partners LLP,archive
NL0012817175,0.4,2026-01-02,Alfen N.V.,Qube Research & Technologies Ltd.,archive
LU1598757687,0.59,2026-01-02,ArcelorMittal S.A.,"Two Sigma Investments, LP",archive
NL0010558797,0.7,2026-01-02,OCI N.V.,"Two Sigma Investments, LP",archive
NL0011872650,0.89,2026-01-02,Basic-Fit N.V.,Wellington Management International Ltd.,archive
NL0010558797,0.59,2025-12-31,OCI N.V.,"D. E. Shaw & Co., L.P.",archive
NL0012817175,1.1,2025-12-31,Alfen N.V.,GSA Capital Partners LLP,archive
NL0010391025,1.3,2025-12-31,Pharming Group N.V.,Millennium International Management LP,archive
NL0015002IE0,1.89,2025-12-31,Avantium N.V.,Voleon Capital Management LP,archive
NL00150003E1,0.69,2025-12-30,Fugro N.V.,"PDT Partners, LLC",archive
NL0010558797,0.49,2025-12-30,OCI N.V.,"Two Sigma Advisers, LLC",archive
NL0012866412,0.8,2025-12-29,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",archive
NL0009739416,0.49,2025-12-29,PostNL N.V.,"PDT Partners, LLC",archive
NL0015002IE0,1.94,2025-12-29,Avantium N.V.,Voleon Capital Management LP,archive
NL0009739416,0.59,2025-12-29,PostNL N.V.,Winton Capital Management Limited,archive
NL0012866412,0.79,2025-12-24,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",archive
NL0010801007,0.48,2025-12-23,IMCD N.V.,Marshall Wace LLP,archive
NL0010391025,1.27,2025-12-23,Pharming Group N.V.,Millennium International Management LP,archive
NL0011821392,0.48,2025-12-22,Signify N.V.,"BlackRock Advisors, LLC",archive
NL0006237562,0.51,2025-12-22,ARCADIS N.V.,Citadel Advisors LLC,archive
NL0010801007,0.48,2025-12-22,IMCD N.V.,Perbak Capital Partners LLP,archive
BE0003818359,0.49,2025-12-22,Galapagos NV,Qube Research & Technologies Ltd.,archive
NL0015002IE0,2.07,2025-12-22,Avantium N.V.,Voleon Capital Management LP,archive
NL0015002MS2,0.56,2025-12-19,The Magnum Ice Cream Company N.V.,Citadel Advisors Europe Limited,archive
NL0000379121,0.5,2025-12-19,Randstad N.V.,Citadel Advisors LLC,archive
NL0006237562,0.49,2025-12-19,ARCADIS N.V.,"D. E. Shaw & Co., L.P.",archive
NL0010558797,0.69,2025-12-19,OCI N.V.,"D. E. Shaw & Co., L.P.",archive
NL00150003E1,0.81,2025-12-19,Fugro N.V.,Millennium International Management LP,archive
NL0012817175,0.69,2025-12-19,Alfen N.V.,Qube Research & Technologies Ltd.,archive
BE0003818359,0.5,2025-12-18,Galapagos NV,Qube Research & Technologies Ltd.,archive
NL0015002IE0,2.18,2025-12-18,Avantium N.V.,Voleon Capital Management LP,archive
NL0013267909,0.55,2025-12-17,Akzo Nobel N.V.,"BlackRock Advisors, LLC",archive
NL00150003E1,0.8,2025-12-17,Fugro N.V.,Citadel Advisors LLC,archive
NL0000817179,0.49,2025-12-17,Sligro Food Group N.V.,Citadel Advisors LLC,archive
NL0010558797,0.71,2025-12-17,OCI N.V.,"D. E. Shaw & Co., L.P.",archive
NL00150003E1,0.78,2025-12-17,Fugro N.V.,"PDT Partners, LLC",archive
NL0000852564,0.7,2025-12-16,Aalberts N.V.,"BlackRock Advisors, LLC",archive
NL0009739416,0.49,2025-12-16,PostNL N.V.,Citadel Advisors LLC,archive
NL0011872650,0.64,2025-12-16,Basic-Fit N.V.,Marchant MC Ltd.,archive
NL0012817175,0.78,2025-12-16,Alfen N.V.,Qube Research & Technologies Ltd.,archive
NL0015002MS2,0.67,2025-12-16,The Magnum Ice Cream Company N.V.,Qube Research & Technologies Ltd.,archive
NL0015002IE0,2.29,2025-12-16,Avantium N.V.,Voleon Capital Management LP,archive
NL0015002MS2,0.69,2025-12-15,The Magnum Ice Cream Company N.V.,Citadel Advisors Europe Limited,archive
NL0010801007,0.56,2025-12-15,IMCD N.V.,Marshall Wace LLP,archive
NL0000379121,0.7,2025-12-15,Randstad N.V.,Marshall Wace LLP,archive
NL0015002MS2,0.56,2025-12-15,The Magnum Ice Cream Company N.V.,Qube Research & Technologies Ltd.,archive
NL0013267909,0.6,2025-12-12,Akzo Nobel N.V.,"Arrowstreet Capital, Limited Partnership",archive
NL0009739416,0.59,2025-12-12,PostNL N.V.,"PDT Partners, LLC",archive
NL0015002MS2,0.63,2025-12-12,The Magnum Ice Cream Company N.V.,Qube Research & Technologies Ltd.,archive
LU2290522684,0.5,2025-12-11,InPost S.A.,"Arrowstreet Capital, Limited Partnership",archive
NL0010801007,0.6,2025-12-11,IMCD N.V.,Marshall Wace LLP,archive
BE0003818359,0.49,2025-12-11,Galapagos NV,Qube Research & Technologies Ltd.,archive
NL0015002MS2,0.54,2025-12-11,The Magnum Ice Cream Company N.V.,Qube Research & Technologies Ltd.,archive
NL0010558797,0.52,2025-12-11,OCI N.V.,"Two Sigma Advisers, LLC",archive
NL0015002MS2,0.74,2025-12-10,The Magnum Ice Cream Company N.V.,Citadel Advisors Europe Limited,archive
NL0000817179,0.5,2025-12-10,Sligro Food Group N.V.,Citadel Advisors LLC,archive
NL0010558797,0.62,2025-12-10,OCI N.V.,"D. E. Shaw & Co., L.P.",archive
LU2290522684,2.0,2025-12-10,InPost S.A.,Marshall Wace LLP,archive
NL00150003E1,0.79,2025-12-10,Fugro N.V.,Millennium International Management LP,archive
NL0015002MS2,0.19,2025-12-10,The Magnum Ice Cream Company N.V.,Millennium International Management LP,archive
NL0015002MS2,0.54,2025-12-09,The Magnum Ice Cream Company N.V.,Citadel Advisors Europe Limited,archive
NL0012866412,0.88,2025-12-09,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",archive
NL0010558797,0.56,2025-12-09,OCI N.V.,"D. E. Shaw & Co., L.P.",archive
NL0010391025,1.33,2025-12-09,Pharming Group N.V.,Millennium International Management LP,archive
NL0015002MS2,0.65,2025-12-09,The Magnum Ice Cream Company N.V.,Millennium International Management LP,archive
NL0015002IE0,2.31,2025-12-09,Avantium N.V.,Voleon Capital Management LP,archive
NL0010391025,0.41,2025-12-08,Pharming Group N.V.,Citadel Advisors LLC,archive
NL0012866412,0.91,2025-12-08,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",archive
NL0010801007,0.51,2025-12-08,IMCD N.V.,Perbak Capital Partners LLP,archive
NL0013267909,0.7,2025-12-05,Akzo Nobel N.V.,"AQR Capital Management, LLC",archive
NL0009739416,0.59,2025-12-05,PostNL N.V.,Citadel Advisors LLC,archive
NL0000817179,0.48,2025-12-05,Sligro Food Group N.V.,Citadel Advisors LLC,archive
NL0012817175,0.48,2025-12-05,Alfen N.V.,"PDT Partners, LLC",archive
NL0011821392,0.5,2025-12-05,Signify N.V.,"Point72 Asset Management, L.P.",archive
NL0012817175,0.83,2025-12-05,Alfen N.V.,Qube Research & Technologies Ltd.,archive
NL0000360618,0.59,2025-12-04,SBM Offshore N.V.,"AQR Capital Management, LLC",archive
NL0010391025,0.58,2025-12-04,Pharming Group N.V.,Citadel Advisors LLC,archive
NL0000817179,0.5,2025-12-04,Sligro Food Group N.V.,Citadel Advisors LLC,archive
NL0012817175,1.09,2025-12-04,Alfen N.V.,GSA Capital Partners LLP,archive
LU2290522684,1.9,2025-12-04,InPost S.A.,Marshall Wace LLP,archive
NL00150003E1,0.8,2025-12-04,Fugro N.V.,Millennium International Management LP,archive
NL0015002IE0,2.23,2025-12-04,Avantium N.V.,Voleon Capital Management LP,archive
NL0009739416,0.6,2025-12-03,PostNL N.V.,JPMorgan Asset Management (UK) Ltd.,archive
LU2290522684,1.89,2025-12-03,InPost S.A.,Marshall Wace LLP,archive
NL0012817175,0.58,2025-12-03,Alfen N.V.,"PDT Partners, LLC",archive
NL0015002IE0,2.1,2025-12-03,Avantium N.V.,Voleon Capital Management LP,archive
NL0010391025,0.42,2025-12-02,Pharming Group N.V.,"Algert Global, LLC",archive
NL0010391025,0.67,2025-12-02,Pharming Group N.V.,Citadel Advisors LLC,archive
NL00150003E1,0.79,2025-12-02,Fugro N.V.,Millennium International Management LP,archive
NL0010391025,1.25,2025-12-02,Pharming Group N.V.,Millennium International Management LP,archive
NL0012817175,0.62,2025-12-02,Alfen N.V.,"PDT Partners, LLC",archive
NL0012817175,0.77,2025-12-02,Alfen N.V.,Qube Research & Technologies Ltd.,archive
NL0015002IE0,2.01,2025-12-02,Avantium N.V.,Voleon Capital Management LP,archive
NL0010391025,1.14,2025-12-01,Pharming Group N.V.,Millennium International Management LP,archive
CY0200751713,0.47,2025-12-01,Theon International Plc,Millennium International Management LP,archive
NL00150003E1,0.8,2025-12-01,Fugro N.V.,"PDT Partners, LLC",archive
NL0010801007,0.49,2025-12-01,IMCD N.V.,Perbak Capital Partners LLP,archive
NL0011872650,0.9,2025-12-01,Basic-Fit N.V.,Wellington Management International Ltd.,archive
NL0000852564,0.69,2025-11-28,Aalberts N.V.,"BlackRock Advisors, LLC",archive
LU2290522684,1.9,2025-11-28,InPost S.A.,Marshall Wace LLP,archive
CY0200751713,0.5,2025-11-28,Theon International Plc,Millennium International Management LP,archive
NL0010391025,0.7,2025-11-27,Pharming Group N.V.,Citadel Advisors LLC,archive
NL0011821392,0.49,2025-11-27,Signify N.V.,Citadel Advisors LLC,archive
NL0012817175,1.1,2025-11-27,Alfen N.V.,GSA Capital Partners LLP,archive
NL0010391025,1.04,2025-11-27,Pharming Group N.V.,Millennium International Management LP,archive
NL0012817175,0.77,2025-11-27,Alfen N.V.,"PDT Partners, LLC",archive
NL0015002IE0,1.97,2025-11-27,Avantium N.V.,Voleon Capital Management LP,archive
NL0011872650,0.88,2025-11-27,Basic-Fit N.V.,Wellington Management International Ltd.,archive
NL0010391025,0.54,2025-11-26,Pharming Group N.V.,"Algert Global, LLC",archive
NL0011821392,0.59,2025-11-26,Signify N.V.,"BlackRock Advisors, LLC",archive
NL0012866412,0.81,2025-11-26,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",archive
NL0010583399,0.48,2025-11-26,Corbion N.V.,JPMorgan Asset Management (UK) Ltd.,archive
NL0010391025,0.9,2025-11-26,Pharming Group N.V.,Millennium International Management LP,archive
NL0012817175,0.84,2025-11-26,Alfen N.V.,Qube Research & Technologies Ltd.,archive
NL0010391025,0.64,2025-11-25,Pharming Group N.V.,"Algert Global, LLC",archive
NL00150003E1,0.71,2025-11-25,Fugro N.V.,Citadel Advisors LLC,archive
NL00150003E1,0.85,2025-11-25,Fugro N.V.,Millennium International Management LP,archive
NL0012817175,0.87,2025-11-25,Alfen N.V.,"PDT Partners, LLC",archive
NL0015002IE0,2.07,2025-11-25,Avantium N.V.,Voleon Capital Management LP,archive
BMG3602E1084,0.49,2025-11-25,Flow Traders Ltd.,"WorldQuant, LLC",archive
NL0010391025,0.6,2025-11-24,Pharming Group N.V.,Citadel Advisors LLC,archive
NL0011821392,0.48,2025-11-24,Signify N.V.,"D. E. Shaw & Co., L.P.",archive
NL0010391025,0.82,2025-11-24,Pharming Group N.V.,Millennium International Management LP,archive
NL0010801007,0.5,2025-11-24,IMCD N.V.,Perbak Capital Partners LLP,archive
NL0012817175,1.07,2025-11-24,Alfen N.V.,Qube Research & Technologies Ltd.,archive
NL0015002IE0,2.14,2025-11-24,Avantium N.V.,Voleon Capital Management LP,archive
BMG3602E1084,0.5,2025-11-24,Flow Traders Ltd.,"WorldQuant, LLC",archive
NL0012817175,1.01,2025-11-21,Alfen N.V.,GSA Capital Partners LLP,archive
NL0012817175,0.51,2025-11-21,Alfen N.V.,Millennium International Management LP,archive
NL00150003E1,0.92,2025-11-21,Fugro N.V.,Millennium International Management LP,archive
NL0012817175,1.28,2025-11-21,Alfen N.V.,Qube Research & Technologies Ltd.,archive
BMG3602E1084,0.49,2025-11-21,Flow Traders Ltd.,"WorldQuant, LLC",archive
NL0013267909,0.6,2025-11-20,Akzo Nobel N.V.,"AQR Capital Management, LLC",archive
NL00150003E1,0.89,2025-11-20,Fugro N.V.,Millennium International Management LP,archive
NL0012817175,1.12,2025-11-20,Alfen N.V.,Qube Research & Technologies Ltd.,archive
NL0010391025,0.54,2025-11-19,Pharming Group N.V.,Citadel Advisors LLC,archive
NL0000379121,0.69,2025-11-19,Randstad N.V.,Marshall Wace LLP,archive
NL0012817175,1.24,2025-11-19,Alfen N.V.,Qube Research & Technologies Ltd.,archive
NL0009739416,0.6,2025-11-19,PostNL N.V.,Winton Capital Management Limited,archive
NL0013267909,0.51,2025-11-18,Akzo Nobel N.V.,"AQR Capital Management, LLC",archive
NL0010801007,0.52,2025-11-18,IMCD N.V.,Marshall Wace LLP,archive
NL0012817175,1.13,2025-11-18,Alfen N.V.,Qube Research & Technologies Ltd.,archive
NL00150003E1,0.42,2025-11-18,Fugro N.V.,Wellington Management International Ltd.,archive
NL0013267909,0.5,2025-11-17,Akzo Nobel N.V.,"Arrowstreet Capital, Limited Partnership",archive
NL0011821392,0.57,2025-11-17,Signify N.V.,Citadel Advisors LLC,archive
NL0012817175,0.98,2025-11-17,Alfen N.V.,Qube Research & Technologies Ltd.,archive
NL00150003E1,0.69,2025-11-14,Fugro N.V.,Citadel Advisors LLC,archive
NL0012817175,1.17,2025-11-14,Alfen N.V.,Qube Research & Technologies Ltd.,archive
NL0015002IE0,2.22,2025-11-14,Avantium N.V.,Voleon Capital Management LP,archive
NL0000888691,0.46,2025-11-13,AMG Critical Materials N.V.,Citadel Advisors LLC,archive
NL0012866412,0.79,2025-11-13,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",archive
LU2290522684,1.87,2025-11-13,InPost S.A.,Marshall Wace LLP,archive
NL0012817175,0.98,2025-11-13,Alfen N.V.,"PDT Partners, LLC",archive
NL0012817175,0.98,2025-11-13,Alfen N.V.,Qube Research & Technologies Ltd.,archive
NL0015002IE0,2.17,2025-11-13,Avantium N.V.,Voleon Capital Management LP,archive
NL00150003E1,0.58,2025-11-13,Fugro N.V.,Wellington Management International Ltd.,archive
BMG3602E1084,0.5,2025-11-13,Flow Traders Ltd.,"WorldQuant, LLC",archive
NL0011821392,0.48,2025-11-12,Signify N.V.,Citadel Advisors Europe Limited,archive
NL0011821392,0.66,2025-11-12,Signify N.V.,Citadel Advisors LLC,archive
NL0012817175,0.9,2025-11-12,Alfen N.V.,GSA Capital Partners LLP,archive
NL0010391025,0.71,2025-11-12,Pharming Group N.V.,Millennium International Management LP,archive
NL0015002IE0,2.08,2025-11-12,Avantium N.V.,Voleon Capital Management LP,archive
NL0000888691,0.54,2025-11-11,AMG Critical Materials N.V.,Citadel Advisors LLC,archive
NL0012866412,0.81,2025-11-11,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",archive
NL0012817175,0.89,2025-11-11,Alfen N.V.,GSA Capital Partners LLP,archive
NL0010391025,0.64,2025-11-11,Pharming Group N.V.,Millennium International Management LP,archive
NL0012817175,1.07,2025-11-11,Alfen N.V.,"PDT Partners, LLC",archive
NL0015002IE0,1.97,2025-11-11,Avantium N.V.,Voleon Capital Management LP,archive
NL0013267909,0.48,2025-11-10,Akzo Nobel N.V.,"BlackRock Advisors, LLC",archive
NL0011821392,0.77,2025-11-10,Signify N.V.,Citadel Advisors LLC,archive
LU2290522684,1.9,2025-11-10,InPost S.A.,Marshall Wace LLP,archive
NL0012817175,0.89,2025-11-10,Alfen N.V.,Qube Research & Technologies Ltd.,archive
NL0013267909,0.49,2025-11-07,Akzo Nobel N.V.,"AQR Capital Management, LLC",archive
NL0010391025,0.64,2025-11-07,Pharming Group N.V.,Citadel Advisors LLC,archive
LU2290522684,0.5,2025-11-07,InPost S.A.,"Connor, Clark & Lunn Investment Management Ltd.",archive
NL0006237562,0.51,2025-11-07,ARCADIS N.V.,"D. E. Shaw & Co., L.P.",archive
LU2290522684,1.86,2025-11-07,InPost S.A.,Marshall Wace LLP,archive
NL0010391025,0.55,2025-11-07,Pharming Group N.V.,Millennium International Management LP,archive
NL0009739416,0.69,2025-11-07,PostNL N.V.,"PDT Partners, LLC",archive
NL0012817175,1.0,2025-11-07,Alfen N.V.,Qube Research & Technologies Ltd.,archive
NL0000888691,0.48,2025-11-06,AMG Critical Materials N.V.,Citadel Advisors LLC,archive
NL00150003E1,0.78,2025-11-06,Fugro N.V.,Citadel Advisors LLC,archive
NL0010391025,0.78,2025-11-06,Pharming Group N.V.,Citadel Advisors LLC,archive
NL0012866412,0.79,2025-11-06,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",archive
NL0011821392,0.51,2025-11-06,Signify N.V.,"D. E. Shaw & Co., L.P.",archive
NL0010391025,0.39,2025-11-06,Pharming Group N.V.,Marshall Wace LLP,archive
NL0010391025,1.17,2025-11-06,Pharming Group N.V.,Millennium International Management LP,archive
NL0011821392,0.46,2025-11-06,Signify N.V.,"Point72 Europe (London), LLP",archive
NL0012817175,0.98,2025-11-06,Alfen N.V.,Qube Research & Technologies Ltd.,archive
NL0011821392,0.51,2025-11-05,Signify N.V.,"BlackRock Financial Management, Inc.",archive
NL0000852523,0.46,2025-11-05,TKH Group N.V.,Capital Fund Management S.A.,archive
NL0012817175,0.9,2025-11-05,Alfen N.V.,GSA Capital Partners LLP,archive
LU2290522684,1.79,2025-11-05,InPost S.A.,Marshall Wace LLP,archive
NL0010391025,0.73,2025-11-05,Pharming Group N.V.,Marshall Wace LLP,archive
NL0010391025,1.63,2025-11-05,Pharming Group N.V.,Millennium International Management LP,archive
NL0012817175,1.17,2025-11-05,Alfen N.V.,"PDT Partners, LLC",archive
NL00150003E1,0.69,2025-11-05,Fugro N.V.,Wellington Management International Ltd.,archive
NL0011821392,0.69,2025-11-04,Signify N.V.,"BlackRock Advisors, LLC",archive
NL0010801007,0.6,2025-11-04,IMCD N.V.,"BlackRock Institutional Trust Company, National Association",archive
NL0000852523,0.5,2025-11-04,TKH Group N.V.,Capital Fund Management S.A.,archive
NL0010391025,1.07,2025-11-04,Pharming Group N.V.,Citadel Advisors LLC,archive
LU2290522684,1.8,2025-11-04,InPost S.A.,Marshall Wace LLP,archive
NL0010391025,1.52,2025-11-04,Pharming Group N.V.,Millennium International Management LP,archive
NL0009739416,0.7,2025-11-04,PostNL N.V.,"PDT Partners, LLC",archive
NL0011821392,0.49,2025-11-03,Signify N.V.,"BlackRock Financial Management, Inc.",archive
NL0012866412,1.11,2025-11-03,BE Semiconductor Industries N.V.,Canada Pension Plan Investment Board,archive
NL0000888691,0.5,2025-11-03,AMG Critical Materials N.V.,Citadel Advisors LLC,archive
NL00150003E1,0.85,2025-11-03,Fugro N.V.,Citadel Advisors LLC,archive
NL0011872650,0.9,2025-11-03,Basic-Fit N.V.,Wellington Management International Ltd.,archive
NL00150003E1,0.79,2025-11-03,Fugro N.V.,Wellington Management International Ltd.,archive
NL0000852564,0.7,2025-10-31,Aalberts N.V.,"BlackRock Advisors, LLC",archive
NL0011821392,0.5,2025-10-31,Signify N.V.,"BlackRock Financial Management, Inc.",archive
NL0010801007,0.59,2025-10-31,IMCD N.V.,"BlackRock Institutional Trust Company, National Association",archive
NL0011821392,0.68,2025-10-31,Signify N.V.,"Point72 Europe (London), LLP",archive
NL0011821392,0.58,2025-10-30,Signify N.V.,Citadel Advisors Europe Limited,archive
NL0011821392,0.88,2025-10-30,Signify N.V.,Citadel Advisors LLC,archive
NL0012866412,0.88,2025-10-30,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",archive
NL0006237562,0.25,2025-10-30,ARCADIS N.V.,Eleva Capital SAS,archive
NL0000009165,0.49,2025-10-30,Heineken N.V.,Marshall Wace LLP,archive
NL0010391025,1.32,2025-10-30,Pharming Group N.V.,Millennium International Management LP,archive
NL0011821392,0.54,2025-10-30,Signify N.V.,"Point72 Europe (London), LLP",archive
NL0013267909,0.59,2025-10-29,Akzo Nobel N.V.,"BlackRock Advisors, LLC",archive
NL0010776944,0.49,2025-10-29,Brunel International N.V.,Citadel Advisors LLC,archive
NL0010391025,1.17,2025-10-29,Pharming Group N.V.,Citadel Advisors LLC,archive
NL0011872650,0.54,2025-10-29,Basic-Fit N.V.,Marchant MC Ltd.,archive
NL0010391025,0.6,2025-10-29,Pharming Group N.V.,Marshall Wace LLP,archive
NL0000379121,0.71,2025-10-29,Randstad N.V.,Marshall Wace LLP,archive
NL0010391025,1.29,2025-10-29,Pharming Group N.V.,Millennium International Management LP,archive
NL00150003E1,0.94,2025-10-29,Fugro N.V.,Wellington Management International Ltd.,archive
NL0000888691,0.59,2025-10-28,AMG Critical Materials N.V.,Actus Ray Partners Limited,archive
NL0013267909,0.6,2025-10-28,Akzo Nobel N.V.,"BlackRock Advisors, LLC",archive
NL0011821392,0.67,2025-10-28,Signify N.V.,Citadel Advisors Europe Limited,archive
NL0011821392,1.09,2025-10-28,Signify N.V.,Citadel Advisors LLC,archive
NL0010391025,1.34,2025-10-28,Pharming Group N.V.,Millennium International Management LP,archive
NL0011821392,0.33,2025-10-28,Signify N.V.,"Point72 Europe (London), LLP",archive
NL0011821392,0.85,2025-10-27,Signify N.V.,Citadel Advisors Europe Limited,archive
LU0569974404,0.47,2025-10-27,Aperam S.A.,Citadel Advisors LLC,archive
NL0011821392,1.15,2025-10-27,Signify N.V.,Citadel Advisors LLC,archive
NL0009739416,0.61,2025-10-27,PostNL N.V.,"PDT Partners, LLC",archive
NL0009739416,0.67,2025-10-24,PostNL N.V.,Citadel Advisors LLC,archive
LU2290522684,1.7,2025-10-24,InPost S.A.,Marshall Wace LLP,archive
NL0011821392,0.38,2025-10-24,Signify N.V.,Millennium International Management LP,archive
NL0012817175,1.24,2025-10-24,Alfen N.V.,"PDT Partners, LLC",archive
BE0003818359,0.59,2025-10-24,Galapagos NV,Qube Research & Technologies Ltd.,archive
NL0013267909,0.61,2025-10-23,Akzo Nobel N.V.,BlackRock Investment Management (UK) Limited,archive
NL0012866412,1.07,2025-10-23,BE Semiconductor Industries N.V.,Canada Pension Plan Investment Board,archive
NL0010776944,0.51,2025-10-23,Brunel International N.V.,Citadel Advisors LLC,archive
NL0012866412,0.93,2025-10-23,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",archive
NL0012817175,0.8,2025-10-23,Alfen N.V.,GSA Capital Partners LLP,archive
LU2290522684,0.49,2025-10-23,InPost S.A.,Kintbury Capital LLP,archive
NL0010391025,0.56,2025-10-23,Pharming Group N.V.,Marshall Wace LLP,archive
NL0000379121,0.69,2025-10-23,Randstad N.V.,Marshall Wace LLP,archive
NL0011821392,0.45,2025-10-23,Signify N.V.,Millennium Capital (DIFC) Limited,archive
NL00150003E1,0.94,2025-10-23,Fugro N.V.,Millennium International Management LP,archive
NL0010391025,1.48,2025-10-23,Pharming Group N.V.,Millennium International Management LP,archive
NL0011821392,0.64,2025-10-23,Signify N.V.,Millennium International Management LP,archive
NL0011821392,0.69,2025-10-23,Signify N.V.,"Point72 Europe (London), LLP",archive
NL0010776944,0.49,2025-10-22,Brunel International N.V.,Citadel Advisors LLC,archive
NL0012866412,0.89,2025-10-22,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",archive
LU2290522684,0.55,2025-10-22,InPost S.A.,Kintbury Capital LLP,archive
NL00150003E1,0.89,2025-10-22,Fugro N.V.,Millennium International Management LP,archive
NL0010391025,1.56,2025-10-22,Pharming Group N.V.,Millennium International Management LP,archive
NL0011821392,0.74,2025-10-22,Signify N.V.,Millennium International Management LP,archive
NL0012817175,1.05,2025-10-22,Alfen N.V.,Qube Research & Technologies Ltd.,archive
NL0015002IE0,1.8,2025-10-22,Avantium N.V.,Voleon Capital Management LP,archive
NL0012866412,0.49,2025-10-21,BE Semiconductor Industries N.V.,"Arrowstreet Capital, Limited Partnership",archive
NL0013267909,0.53,2025-10-21,Akzo Nobel N.V.,BlackRock Investment Management (UK) Limited,archive
LU0569974404,0.5,2025-10-21,Aperam S.A.,Citadel Advisors LLC,archive
NL00150003E1,0.7,2025-10-21,Fugro N.V.,Citadel Advisors LLC,archive
NL0009739416,0.77,2025-10-21,PostNL N.V.,Citadel Advisors LLC,archive
NL0012866412,0.9,2025-10-21,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",archive
NL0000379121,0.7,2025-10-21,Randstad N.V.,Marshall Wace LLP,archive
NL00150003E1,0.91,2025-10-21,Fugro N.V.,Millennium International Management LP,archive
NL0012817175,1.39,2025-10-21,Alfen N.V.,"PDT Partners, LLC",archive
BE0003818359,0.6,2025-10-21,Galapagos NV,Qube Research & Technologies Ltd.,archive
NL0011821392,0.48,2025-10-21,Signify N.V.,Squarepoint Ops LLC,archive
NL00150003E1,0.86,2025-10-20,Fugro N.V.,Millennium International Management LP,archive
NL0010391025,1.63,2025-10-20,Pharming Group N.V.,Millennium International Management LP,archive
NL0011821392,0.62,2025-10-20,Signify N.V.,Millennium International Management LP,archive
NL0010776944,0.01,2025-10-20,Brunel International N.V.,Qube Research & Technologies Ltd.,archive
NL0009739416,0.51,2025-10-20,PostNL N.V.,Winton Capital Management Limited,archive
NL00150003E1,0.78,2025-10-17,Fugro N.V.,"PDT Partners, LLC",archive
NL0012817175,0.9,2025-10-17,Alfen N.V.,Qube Research & Technologies Ltd.,archive
NL00150003E1,0.68,2025-10-16,Fugro N.V.,Citadel Advisors LLC,archive
NL0000009165,0.5,2025-10-16,Heineken N.V.,Marshall Wace LLP,archive
NL0010391025,1.75,2025-10-16,Pharming Group N.V.,Millennium International Management LP,archive
BE0003818359,1.59,2025-10-15,Galapagos NV,"Arrowstreet Capital, Limited Partnership",archive
NL0010391025,1.81,2025-10-15,Pharming Group N.V.,Millennium International Management LP,archive
NL0012817175,1.48,2025-10-15,Alfen N.V.,"PDT Partners, LLC",archive
NL0011821392,0.74,2025-10-15,Signify N.V.,"Point72 Europe (London), LLP",archive
NL0012817175,0.8,2025-10-15,Alfen N.V.,Qube Research & Technologies Ltd.,archive
NL0012817175,0.49,2025-10-15,Alfen N.V.,Trexquant Investment LP,archive
NL0015002IE0,1.7,2025-10-15,Avantium N.V.,Voleon Capital Management LP,archive
NL0012866412,0.59,2025-10-14,BE Semiconductor Industries N.V.,"Arrowstreet Capital, Limited Partnership",archive
NL00150003E1,0.71,2025-10-14,Fugro N.V.,Citadel Advisors LLC,archive
NL0010391025,1.23,2025-10-14,Pharming Group N.V.,Citadel Advisors LLC,archive
NL0012817175,0.7,2025-10-14,Alfen N.V.,GSA Capital Partners LLP,archive
NL0009739416,0.51,2025-10-14,PostNL N.V.,JPMorgan Asset Management (UK) Ltd.,archive
NL0011821392,0.51,2025-10-14,Signify N.V.,Millennium International Management LP,archive
NL0011821392,0.65,2025-10-14,Signify N.V.,"Point72 Europe (London), LLP",archive
NL0010776944,0.51,2025-10-13,Brunel International N.V.,Citadel Advisors LLC,archive
NL00150003E1,0.69,2025-10-13,Fugro N.V.,Citadel Advisors LLC,archive
NL0012817175,0.69,2025-10-13,Alfen N.V.,GSA Capital Partners LLP,archive
NL0000009165,0.49,2025-10-13,Heineken N.V.,Marshall Wace LLP,archive
