isin,net_short_position,position_date,issuer_name,position_holder,source
NL0010801007,0.76,2026-04-15,IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,current
NL0010391025,1.2,2026-04-15,Pharming Group N.V.,Lazard Asset Management LLC,current
NL0011821392,1.82,2026-04-15,Signify N.V.,Marshall Wace LLP,current
NL0015002MS2,1.15,2026-04-15,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,current
NL0011821392,0.8,2026-04-15,Signify N.V.,Millennium Capital (DIFC) Limited,current
CY0200751713,1.16,2026-04-15,Theon International Plc,Qube Research & Technologies Ltd.,current
NL0006237562,0.88,2026-04-15,ARCADIS N.V.,Squarepoint Ops LLC,current
NL0012817175,1.89,2026-04-15,Alfen N.V.,Voleon Capital Management LP,current
NL0010801007,0.97,2026-04-14,IMCD N.V.,"BlackRock Financial Management, Inc.",current
NL0015002K83,0.51,2026-04-14,Havas N.V.,Citadel Advisors LLC,current
NL0011872650,1.23,2026-04-14,Basic-Fit N.V.,Fosse Capital Partners LLP,current
NL0015002MS2,0.71,2026-04-14,The Magnum Ice Cream Company N.V.,Ilex Capital Partners (UK) LLP,current
NL0010801007,0.66,2026-04-14,IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,current
NL0015002MS2,1.22,2026-04-14,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,current
NL0009739416,0.5,2026-04-14,PostNL N.V.,"PDT Partners, LLC",current
NL0012817175,2.84,2026-04-14,Alfen N.V.,"WorldQuant, LLC",current
NL0012969182,1.21,2026-04-13,Adyen N.V.,"AQR Capital Management, LLC",current
NL0006237562,1.01,2026-04-13,ARCADIS N.V.,"AQR Capital Management, LLC",current
JE00BRX98089,0.71,2026-04-13,CVC Capital Partners plc,"AQR Capital Management, LLC",current
NL0011821392,1.2,2026-04-13,Signify N.V.,Citadel Advisors Europe Limited,current
NL0000817179,0.61,2026-04-13,Sligro Food Group N.V.,Citadel Advisors LLC,current
NL0010801007,0.89,2026-04-13,IMCD N.V.,"PDT Partners, LLC",current
NL0015002MS2,0.5,2026-04-13,The Magnum Ice Cream Company N.V.,Walleye Capital LLC,current
LU1598757687,0.58,2026-04-10,ArcelorMittal S.A.,"AQR Capital Management, LLC",current
NL0012817175,0.89,2026-04-10,Alfen N.V.,"D. E. Shaw & Co., L.P.",current
NL0000395903,0.8,2026-04-10,Wolters Kluwer N.V.,"D. E. Shaw & Co., L.P.",current
NL0015002MS2,1.38,2026-04-10,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,current
NL0010801007,0.9,2026-04-10,IMCD N.V.,"PDT Partners, LLC",current
CY0200751713,1.22,2026-04-10,Theon International Plc,Qube Research & Technologies Ltd.,current
NL0010801007,0.59,2026-04-10,IMCD N.V.,Squarepoint Ops LLC,current
NL0012969182,1.13,2026-04-09,Adyen N.V.,"AQR Capital Management, LLC",current
NL0010801007,0.51,2026-04-09,IMCD N.V.,"AQR Capital Management, LLC",current
NL0011821392,1.19,2026-04-09,Signify N.V.,Citadel Advisors Europe Limited,current
NL0011821392,2.42,2026-04-09,Signify N.V.,Citadel Advisors LLC,current
CH1216478797,1.0,2026-04-09,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,current
NL0012365084,0.71,2026-04-09,NSI N.V.,Numeric Investors LLC,current
NL0010801007,0.89,2026-04-09,IMCD N.V.,"PDT Partners, LLC",current
NL0000852564,0.61,2026-04-08,Aalberts N.V.,"AQR Capital Management, LLC",current
NL0011821392,1.22,2026-04-08,Signify N.V.,"AQR Capital Management, LLC",current
NL0011821392,2.39,2026-04-08,Signify N.V.,Citadel Advisors LLC,current
NL0012817175,0.95,2026-04-08,Alfen N.V.,"D. E. Shaw & Co., L.P.",current
NL0011821392,0.79,2026-04-08,Signify N.V.,Millennium Capital (DIFC) Limited,current
NL0015002MS2,0.5,2026-04-08,The Magnum Ice Cream Company N.V.,Qube Research & Technologies Ltd.,current
NL0010801007,0.79,2026-04-08,IMCD N.V.,"Two Sigma Investments, LP",current
NL0010801007,0.66,2026-04-07,IMCD N.V.,"BlackRock Advisors, LLC",current
NL0010801007,1.0,2026-04-07,IMCD N.V.,"BlackRock Financial Management, Inc.",current
NL0010801007,0.76,2026-04-07,IMCD N.V.,Capital Fund Management S.A.,current
NL0011821392,1.21,2026-04-07,Signify N.V.,Citadel Advisors Europe Limited,current
NL0009739416,0.58,2026-04-07,PostNL N.V.,Citadel Advisors LLC,current
NL0011821392,2.41,2026-04-07,Signify N.V.,Citadel Advisors LLC,current
NL0006237562,0.69,2026-04-07,ARCADIS N.V.,"D. E. Shaw & Co., L.P.",current
NL0015002MS2,1.46,2026-04-07,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,current
NL0012817175,1.98,2026-04-07,Alfen N.V.,Voleon Capital Management LP,current
NL0012817175,2.77,2026-04-07,Alfen N.V.,"WorldQuant, LLC",current
NL0012969182,1.0,2026-04-02,Adyen N.V.,"AQR Capital Management, LLC",current
