isin,position_holder,position_date,issuer_name,net_short_position,source
NL0011821392,Citadel Advisors LLC,2023-07-03,Signify N.V.,0.54,archive
LU0569974404,Millennium International Management LP,2023-07-03,Aperam S.A.,0.49,archive
NL0009739416,Qube Research & Technologies Ltd.,2023-07-03,PostNL N.V.,0.6,archive
NL0000289213,Toscafund Asset Management LLP,2023-07-03,Wereldhave N.V.,1.26,archive
NL0010391025,"WorldQuant, LLC",2023-07-03,Pharming Group N.V.,0.69,archive
NL0012817175,Marshall Wace LLP,2023-06-30,Alfen N.V.,1.56,archive
LU0569974404,Millennium Capital Partners LLP,2023-06-30,Aperam S.A.,0.55,archive
LU0569974404,Millennium International Management LP,2023-06-30,Aperam S.A.,0.53,archive
NL0012817175,Qube Research & Technologies Ltd.,2023-06-30,Alfen N.V.,0.65,archive
NL0012169213,"Tenor Capital Management Company, L.P.",2023-06-30,Qiagen N.V.,0.58,archive
NL0012817175,Citadel Advisors LLC,2023-06-29,Alfen N.V.,0.47,archive
NL0012817175,Qube Research & Technologies Ltd.,2023-06-29,Alfen N.V.,0.7,archive
NL0012817175,Voleon Capital Management LP,2023-06-29,Alfen N.V.,0.57,archive
NL0010391025,"WorldQuant, LLC",2023-06-29,Pharming Group N.V.,0.73,archive
NL0012817175,Citadel Advisors LLC,2023-06-28,Alfen N.V.,0.55,archive
NL00150002Q7,Janus Henderson Investors UK Limited,2023-06-28,Vivoryon Therapeutics N.V.,0.81,archive
NL0000337319,Marshall Wace LLP,2023-06-28,Koninklijke BAM Groep N.V.,0.57,archive
NL0000379121,Marshall Wace LLP,2023-06-28,Randstad N.V.,0.61,archive
NL0012817175,Qube Research & Technologies Ltd.,2023-06-28,Alfen N.V.,0.69,archive
BE0003818359,Qube Research & Technologies Ltd.,2023-06-28,Galapagos NV,0.6,archive
NL0012817175,"WorldQuant, LLC",2023-06-28,Alfen N.V.,0.76,archive
NL0012866412,Millennium Capital Management France SAS,2023-06-27,BE Semiconductor Industries N.V.,0.57,archive
NL0000888691,Millennium Capital Partners LLP,2023-06-27,AMG Critical Materials N.V.,0.49,archive
NL0010391025,"WorldQuant, LLC",2023-06-27,Pharming Group N.V.,0.63,archive
NL0000009538,Greenvale Capital LLP,2023-06-26,Koninklijke Philips N.V.,0.48,archive
NL00150002Q7,Janus Henderson Investors UK Limited,2023-06-26,Vivoryon Therapeutics N.V.,0.7,archive
NL0012817175,Qube Research & Technologies Ltd.,2023-06-26,Alfen N.V.,0.7,archive
NL0012817175,Citadel Advisors LLC,2023-06-23,Alfen N.V.,0.61,archive
NL0000009538,Citadel Advisors LLC,2023-06-23,Koninklijke Philips N.V.,0.47,archive
NL0012817175,"D. E. Shaw & Co., L.P.",2023-06-23,Alfen N.V.,0.5,archive
NL0000009538,Greenvale Capital LLP,2023-06-23,Koninklijke Philips N.V.,0.55,archive
NL0012817175,Kuvari Partners LLP,2023-06-23,Alfen N.V.,0.74,archive
NL0012817175,Squarepoint Ops LLC,2023-06-23,Alfen N.V.,0.58,archive
NL0012817175,"WorldQuant, LLC",2023-06-23,Alfen N.V.,0.8,archive
NL0010391025,"WorldQuant, LLC",2023-06-23,Pharming Group N.V.,0.5,archive
NL0012817175,"D. E. Shaw & Co., L.P.",2023-06-22,Alfen N.V.,0.48,archive
NL0000009538,Greenvale Capital LLP,2023-06-22,Koninklijke Philips N.V.,0.67,archive
NL00150002Q7,Janus Henderson Investors UK Limited,2023-06-22,Vivoryon Therapeutics N.V.,0.59,archive
NL0012817175,Squarepoint Ops LLC,2023-06-22,Alfen N.V.,0.6,archive
NL0012817175,"D. E. Shaw & Co., L.P.",2023-06-21,Alfen N.V.,0.5,archive
NL0000888691,Millennium Capital Partners LLP,2023-06-21,AMG Critical Materials N.V.,0.52,archive
NL0012817175,"WorldQuant, LLC",2023-06-21,Alfen N.V.,0.79,archive
NL0000009538,Citadel Advisors LLC,2023-06-20,Koninklijke Philips N.V.,0.57,archive
NL0010391025,Citadel Advisors LLC,2023-06-20,Pharming Group N.V.,0.77,archive
NL0012817175,Kuvari Partners LLP,2023-06-20,Alfen N.V.,0.6,archive
NL0000379121,Marshall Wace LLP,2023-06-20,Randstad N.V.,0.51,archive
NL0012866412,Millennium Capital Management France SAS,2023-06-20,BE Semiconductor Industries N.V.,0.61,archive
NL0012866412,"Point72 Europe (London), LLP",2023-06-20,BE Semiconductor Industries N.V.,0.36,archive
NL0012817175,Squarepoint Ops LLC,2023-06-20,Alfen N.V.,0.59,archive
NL0012817175,Kuvari Partners LLP,2023-06-19,Alfen N.V.,0.52,archive
NL0012866412,"Point72 Europe (London), LLP",2023-06-19,BE Semiconductor Industries N.V.,0.51,archive
NL0000888691,Millennium International Management LP,2023-06-16,AMG Critical Materials N.V.,0.46,archive
NL0000888691,Qube Research & Technologies Ltd.,2023-06-16,AMG Critical Materials N.V.,0.43,archive
NL0009739416,Qube Research & Technologies Ltd.,2023-06-16,PostNL N.V.,0.5,archive
NL0012817175,Squarepoint Ops LLC,2023-06-16,Alfen N.V.,0.61,archive
NL0000888691,Millennium Capital Partners LLP,2023-06-15,AMG Critical Materials N.V.,0.49,archive
LU0569974404,Millennium Capital Partners LLP,2023-06-15,Aperam S.A.,0.62,archive
NL0012817175,Qube Research & Technologies Ltd.,2023-06-15,Alfen N.V.,0.69,archive
BE0003818359,Qube Research & Technologies Ltd.,2023-06-15,Galapagos NV,0.59,archive
NL0009739416,Qube Research & Technologies Ltd.,2023-06-15,PostNL N.V.,0.47,archive
NL0012817175,JPMorgan Asset Management (UK) Ltd.,2023-06-14,Alfen N.V.,2.05,archive
NL0000379121,Marshall Wace LLP,2023-06-14,Randstad N.V.,0.49,archive
NL0009739416,Qube Research & Technologies Ltd.,2023-06-14,PostNL N.V.,0.56,archive
NL0000009538,Citadel Advisors LLC,2023-06-13,Koninklijke Philips N.V.,0.69,archive
NL0010391025,Citadel Advisors LLC,2023-06-13,Pharming Group N.V.,0.8,archive
NL0012866412,"Davidson Kempner European Partners, LLP",2023-06-13,BE Semiconductor Industries N.V.,0.8,archive
NL0012817175,JPMorgan Asset Management (UK) Ltd.,2023-06-13,Alfen N.V.,1.91,archive
NL0000888691,Millennium International Management LP,2023-06-13,AMG Critical Materials N.V.,0.57,archive
LU0569974404,Millennium International Management LP,2023-06-13,Aperam S.A.,0.6,archive
NL0013332471,Otus Capital Management Ltd.,2023-06-13,TomTom N.V.,1.0,archive
NL0000888691,Qube Research & Technologies Ltd.,2023-06-13,AMG Critical Materials N.V.,0.5,archive
BE0003818359,"Arrowstreet Capital, Limited Partnership",2023-06-12,Galapagos NV,1.6,archive
NL0010391025,Citadel Advisors LLC,2023-06-12,Pharming Group N.V.,0.78,archive
NL0012817175,"D. E. Shaw & Co., L.P.",2023-06-12,Alfen N.V.,0.49,archive
NL0012817175,JPMorgan Asset Management (UK) Ltd.,2023-06-12,Alfen N.V.,1.82,archive
NL0012817175,Qube Research & Technologies Ltd.,2023-06-12,Alfen N.V.,0.77,archive
NL0000888691,Qube Research & Technologies Ltd.,2023-06-12,AMG Critical Materials N.V.,0.48,archive
NL0012169213,"Tenor Capital Management Company, L.P.",2023-06-12,Qiagen N.V.,0.63,archive
NL0012817175,"WorldQuant, LLC",2023-06-12,Alfen N.V.,0.81,archive
NL0000888691,Qube Research & Technologies Ltd.,2023-06-09,AMG Critical Materials N.V.,0.5,archive
NL0012817175,"Arrowstreet Capital, Limited Partnership",2023-06-08,Alfen N.V.,1.31,archive
NL0012817175,JPMorgan Asset Management (UK) Ltd.,2023-06-08,Alfen N.V.,1.62,archive
NL0000379121,Marshall Wace LLP,2023-06-08,Randstad N.V.,0.5,archive
NL0012169213,"Tenor Capital Management Company, L.P.",2023-06-08,Qiagen N.V.,0.51,archive
NL0012817175,"WorldQuant, LLC",2023-06-08,Alfen N.V.,0.79,archive
NL0010391025,Citadel Advisors LLC,2023-06-07,Pharming Group N.V.,0.8,archive
NL0012817175,"D. E. Shaw & Co., L.P.",2023-06-07,Alfen N.V.,0.51,archive
NL0012866412,"Davidson Kempner European Partners, LLP",2023-06-07,BE Semiconductor Industries N.V.,0.79,archive
NL0012817175,JPMorgan Asset Management (UK) Ltd.,2023-06-07,Alfen N.V.,1.51,archive
NL0012817175,Marshall Wace LLP,2023-06-07,Alfen N.V.,1.63,archive
NL0012866412,Millennium Capital Management France SAS,2023-06-07,BE Semiconductor Industries N.V.,0.57,archive
NL0012866412,"Point72 Asset Management, L.P.",2023-06-07,BE Semiconductor Industries N.V.,0.33,archive
NL0012866412,"Point72 Europe (London), LLP",2023-06-07,BE Semiconductor Industries N.V.,0.61,archive
NL0010391025,Citadel Advisors LLC,2023-06-06,Pharming Group N.V.,0.77,archive
NL0012866412,"Point72 Asset Management, L.P.",2023-06-06,BE Semiconductor Industries N.V.,0.68,archive
NL0012866412,"Point72 Europe (London), LLP",2023-06-06,BE Semiconductor Industries N.V.,0.53,archive
NL0012817175,"WorldQuant, LLC",2023-06-06,Alfen N.V.,0.88,archive
NL0012817175,Citadel Advisors LLC,2023-06-05,Alfen N.V.,0.5,archive
NL0000888691,Citadel Advisors LLC,2023-06-05,AMG Critical Materials N.V.,0.49,archive
NL0012866412,"Point72 Asset Management, L.P.",2023-06-05,BE Semiconductor Industries N.V.,0.81,archive
NL0011872650,BlackRock Investment Management (UK) Limited,2023-06-02,Basic-Fit N.V.,2.52,archive
NL0013332471,Otus Capital Management Ltd.,2023-06-02,TomTom N.V.,0.9,archive
NL0012866412,"Point72 Asset Management, L.P.",2023-06-02,BE Semiconductor Industries N.V.,0.94,archive
NL0011872650,"Arrowstreet Capital, Limited Partnership",2023-06-01,Basic-Fit N.V.,0.5,archive
NL0010391025,Citadel Advisors LLC,2023-06-01,Pharming Group N.V.,0.86,archive
NL0012866412,"Point72 Asset Management, L.P.",2023-06-01,BE Semiconductor Industries N.V.,1.03,archive
NL0012817175,"WorldQuant, LLC",2023-06-01,Alfen N.V.,0.91,archive
BE0003818359,"Arrowstreet Capital, Limited Partnership",2023-05-31,Galapagos NV,1.5,archive
NL0000337319,Marshall Wace LLP,2023-05-31,Koninklijke BAM Groep N.V.,0.61,archive
NL0000888691,Millennium International Management LP,2023-05-31,AMG Critical Materials N.V.,0.62,archive
NL0012866412,"Point72 Asset Management, L.P.",2023-05-31,BE Semiconductor Industries N.V.,1.19,archive
NL0009739416,Qube Research & Technologies Ltd.,2023-05-31,PostNL N.V.,0.65,archive
BE0003818359,AHL Partners LLP,2023-05-30,Galapagos NV,0.5,archive
NL0010391025,Citadel Advisors LLC,2023-05-30,Pharming Group N.V.,0.92,archive
NL0013332471,Otus Capital Management Ltd.,2023-05-30,TomTom N.V.,0.82,archive
NL0012866412,"Point72 Asset Management, L.P.",2023-05-30,BE Semiconductor Industries N.V.,1.24,archive
NL0012817175,"WorldQuant, LLC",2023-05-30,Alfen N.V.,0.85,archive
NL0012866412,"Point72 Asset Management, L.P.",2023-05-29,BE Semiconductor Industries N.V.,1.39,archive
NL0010391025,"WorldQuant, LLC",2023-05-29,Pharming Group N.V.,0.44,archive
NL0012866412,"Davidson Kempner European Partners, LLP",2023-05-26,BE Semiconductor Industries N.V.,0.81,archive
NL0000337319,Marshall Wace LLP,2023-05-26,Koninklijke BAM Groep N.V.,0.59,archive
LU0569974404,Millennium Capital Partners LLP,2023-05-26,Aperam S.A.,0.51,archive
NL0012866412,"Point72 Asset Management, L.P.",2023-05-26,BE Semiconductor Industries N.V.,1.42,archive
NL0012817175,Qube Research & Technologies Ltd.,2023-05-26,Alfen N.V.,0.88,archive
NL0012817175,"WorldQuant, LLC",2023-05-26,Alfen N.V.,0.75,archive
NL0000888691,Citadel Advisors LLC,2023-05-25,AMG Critical Materials N.V.,0.58,archive
NL0012817175,Marshall Wace LLP,2023-05-25,Alfen N.V.,1.54,archive
NL0000888691,Millennium Capital Partners LLP,2023-05-25,AMG Critical Materials N.V.,0.5,archive
LU0569974404,Millennium International Management LP,2023-05-25,Aperam S.A.,0.5,archive
NL0012866412,"Point72 Asset Management, L.P.",2023-05-25,BE Semiconductor Industries N.V.,1.55,archive
NL0012817175,Qube Research & Technologies Ltd.,2023-05-25,Alfen N.V.,0.9,archive
NL0010391025,"WorldQuant, LLC",2023-05-25,Pharming Group N.V.,0.57,archive
BE0003818359,"Arrowstreet Capital, Limited Partnership",2023-05-24,Galapagos NV,1.4,archive
NL0012866412,"Point72 Asset Management, L.P.",2023-05-24,BE Semiconductor Industries N.V.,1.66,archive
NL0012817175,"WorldQuant, LLC",2023-05-24,Alfen N.V.,0.64,archive
NL0000888691,Citadel Advisors LLC,2023-05-23,AMG Critical Materials N.V.,0.87,archive
NL0000009538,Citadel Advisors LLC,2023-05-23,Koninklijke Philips N.V.,0.72,archive
NL0012817175,Marshall Wace LLP,2023-05-23,Alfen N.V.,1.42,archive
NL0012866412,"Point72 Asset Management, L.P.",2023-05-23,BE Semiconductor Industries N.V.,1.92,archive
NL0009739416,Qube Research & Technologies Ltd.,2023-05-23,PostNL N.V.,0.51,archive
NL00150003E1,Voleon Capital Management LP,2023-05-23,Fugro N.V.,0.46,archive
NL0010391025,"WorldQuant, LLC",2023-05-23,Pharming Group N.V.,0.69,archive
NL0012817175,Citadel Advisors LLC,2023-05-22,Alfen N.V.,0.45,archive
NL0012817175,Marshall Wace LLP,2023-05-22,Alfen N.V.,1.34,archive
NL0012866412,"Point72 Asset Management, L.P.",2023-05-22,BE Semiconductor Industries N.V.,3.33,archive
LU1598757687,Polar Asset Management Partners Inc.,2023-05-22,ArcelorMittal S.A.,0.0,archive
NL0012817175,Qube Research & Technologies Ltd.,2023-05-22,Alfen N.V.,0.88,archive
NL0000289213,"Woodson Capital Master Fund, LP",2023-05-22,Wereldhave N.V.,1.17,archive
NL0012817175,"WorldQuant, LLC",2023-05-22,Alfen N.V.,0.52,archive
BE0003818359,"Arrowstreet Capital, Limited Partnership",2023-05-19,Galapagos NV,1.3,archive
NL0012817175,Citadel Advisors LLC,2023-05-19,Alfen N.V.,0.5,archive
NL0000888691,Citadel Advisors LLC,2023-05-19,AMG Critical Materials N.V.,1.02,archive
NL0010391025,Citadel Advisors LLC,2023-05-19,Pharming Group N.V.,0.89,archive
BE0003818359,Marshall Wace LLP,2023-05-19,Galapagos NV,0.49,archive
NL0000888691,Millennium International Management LP,2023-05-19,AMG Critical Materials N.V.,0.53,archive
NL0012866412,"Point72 Asset Management, L.P.",2023-05-19,BE Semiconductor Industries N.V.,3.66,archive
NL0012817175,Squarepoint Ops LLC,2023-05-19,Alfen N.V.,0.55,archive
NL0012817175,Voleon Capital Management LP,2023-05-19,Alfen N.V.,0.67,archive
NL0010391025,"WorldQuant, LLC",2023-05-19,Pharming Group N.V.,0.79,archive
NL0012817175,JPMorgan Asset Management (UK) Ltd.,2023-05-18,Alfen N.V.,1.32,archive
NL0012817175,Marshall Wace LLP,2023-05-18,Alfen N.V.,1.27,archive
NL0012866412,"Point72 Asset Management, L.P.",2023-05-18,BE Semiconductor Industries N.V.,3.78,archive
NL0012817175,Qube Research & Technologies Ltd.,2023-05-18,Alfen N.V.,0.94,archive
NL0010391025,"WorldQuant, LLC",2023-05-18,Pharming Group N.V.,0.8,archive
NL0000009538,Citadel Advisors LLC,2023-05-17,Koninklijke Philips N.V.,0.63,archive
NL0013332471,Citadel Advisors LLC,2023-05-17,TomTom N.V.,0.49,archive
NL0012817175,JPMorgan Asset Management (UK) Ltd.,2023-05-17,Alfen N.V.,1.12,archive
NL0012817175,Marshall Wace LLP,2023-05-17,Alfen N.V.,1.39,archive
NL0012817175,Qube Research & Technologies Ltd.,2023-05-17,Alfen N.V.,0.81,archive
NL0000334118,Qube Research & Technologies Ltd.,2023-05-17,ASM International N.V.,0.49,archive
NL0000009538,Viking Global Investors LP,2023-05-17,Koninklijke Philips N.V.,0.76,archive
NL0012817175,Voleon Capital Management LP,2023-05-17,Alfen N.V.,0.7,archive
NL0000289213,"Woodson Capital Master Fund, LP",2023-05-17,Wereldhave N.V.,1.27,archive
NL0010391025,"WorldQuant, LLC",2023-05-17,Pharming Group N.V.,0.77,archive
NL0000888691,Citadel Advisors LLC,2023-05-16,AMG Critical Materials N.V.,0.98,archive
NL0010391025,Citadel Advisors LLC,2023-05-16,Pharming Group N.V.,0.96,archive
NL0012866412,"Point72 Asset Management, L.P.",2023-05-16,BE Semiconductor Industries N.V.,3.82,archive
BE0003818359,Qube Research & Technologies Ltd.,2023-05-16,Galapagos NV,0.6,archive
NL0010391025,"WorldQuant, LLC",2023-05-16,Pharming Group N.V.,0.64,archive
NL0000888691,Citadel Advisors LLC,2023-05-15,AMG Critical Materials N.V.,1.01,archive
NL0009739416,JPMorgan Asset Management (UK) Ltd.,2023-05-15,PostNL N.V.,0.59,archive
NL0012817175,Marble Bar Asset Management LLP,2023-05-15,Alfen N.V.,0.7,archive
NL0012817175,Marshall Wace LLP,2023-05-15,Alfen N.V.,1.24,archive
NL0012817175,Qube Research & Technologies Ltd.,2023-05-15,Alfen N.V.,0.56,archive
NL00150003E1,Voleon Capital Management LP,2023-05-15,Fugro N.V.,0.58,archive
NL0000289213,"Woodson Capital Master Fund, LP",2023-05-15,Wereldhave N.V.,1.36,archive
NL0009739416,JPMorgan Asset Management (UK) Ltd.,2023-05-12,PostNL N.V.,0.6,archive
NL0000360618,JPMorgan Asset Management (UK) Ltd.,2023-05-12,SBM Offshore N.V.,0.7,archive
NL0012866412,Millennium Capital Management France SAS,2023-05-12,BE Semiconductor Industries N.V.,0.6,archive
NL0000888691,Qube Research & Technologies Ltd.,2023-05-12,AMG Critical Materials N.V.,0.45,archive
BE0003818359,Qube Research & Technologies Ltd.,2023-05-12,Galapagos NV,0.59,archive
NL0010391025,Citadel Advisors LLC,2023-05-11,Pharming Group N.V.,1.07,archive
NL0009739416,JPMorgan Asset Management (UK) Ltd.,2023-05-11,PostNL N.V.,0.59,archive
NL0012817175,Marble Bar Asset Management LLP,2023-05-11,Alfen N.V.,0.69,archive
BE0003818359,Marshall Wace LLP,2023-05-11,Galapagos NV,0.5,archive
NL0000337319,Marshall Wace LLP,2023-05-11,Koninklijke BAM Groep N.V.,0.68,archive
NL0015000CZ2,Otus Capital Management Ltd.,2023-05-11,Ebusco Holding N.V.,0.91,archive
NL0012866412,"Point72 Asset Management, L.P.",2023-05-11,BE Semiconductor Industries N.V.,3.77,archive
NL0000888691,Citadel Advisors LLC,2023-05-10,AMG Critical Materials N.V.,0.92,archive
NL0010391025,Citadel Advisors LLC,2023-05-10,Pharming Group N.V.,0.44,archive
NL0012817175,Marble Bar Asset Management LLP,2023-05-10,Alfen N.V.,0.74,archive
NL0000888691,Qube Research & Technologies Ltd.,2023-05-10,AMG Critical Materials N.V.,0.56,archive
NL0012817175,Voleon Capital Management LP,2023-05-10,Alfen N.V.,0.52,archive
NL0000009538,"AQR Capital Management, LLC",2023-05-09,Koninklijke Philips N.V.,0.49,archive
NL0000888691,Citadel Advisors LLC,2023-05-09,AMG Critical Materials N.V.,0.86,archive
NL0010391025,Citadel Advisors LLC,2023-05-09,Pharming Group N.V.,0.71,archive
NL0009739416,JPMorgan Asset Management (UK) Ltd.,2023-05-09,PostNL N.V.,0.69,archive
BE0003818359,Qube Research & Technologies Ltd.,2023-05-09,Galapagos NV,0.6,archive
NL0000888691,Qube Research & Technologies Ltd.,2023-05-08,AMG Critical Materials N.V.,0.66,archive
NL0000360618,"AQR Capital Management, LLC",2023-05-05,SBM Offshore N.V.,0.52,archive
BE0003818359,"Arrowstreet Capital, Limited Partnership",2023-05-05,Galapagos NV,1.2,archive
NL0000888691,Citadel Advisors LLC,2023-05-05,AMG Critical Materials N.V.,0.74,archive
NL0010391025,Citadel Advisors LLC,2023-05-05,Pharming Group N.V.,0.6,archive
NL0012817175,Marble Bar Asset Management LLP,2023-05-05,Alfen N.V.,0.82,archive
NL0012866412,Millennium Capital Management France SAS,2023-05-05,BE Semiconductor Industries N.V.,0.51,archive
NL0012817175,Qube Research & Technologies Ltd.,2023-05-05,Alfen N.V.,0.61,archive
NL0000888691,Qube Research & Technologies Ltd.,2023-05-05,AMG Critical Materials N.V.,0.55,archive
NL0010801007,"AQR Capital Management, LLC",2023-05-04,IMCD N.V.,0.51,archive
BE0003818359,"Arrowstreet Capital, Limited Partnership",2023-05-04,Galapagos NV,1.11,archive
NL0000888691,Citadel Advisors LLC,2023-05-04,AMG Critical Materials N.V.,0.69,archive
NL0011872650,"D. E. Shaw & Co., L.P.",2023-05-04,Basic-Fit N.V.,0.42,archive
NL0012817175,Marshall Wace LLP,2023-05-04,Alfen N.V.,1.14,archive
NL0000337319,Marshall Wace LLP,2023-05-04,Koninklijke BAM Groep N.V.,0.79,archive
NL0011821392,AKO Capital LLP,2023-05-03,Signify N.V.,0.75,archive
NL0010801007,"AQR Capital Management, LLC",2023-05-03,IMCD N.V.,0.49,archive
NL0012817175,Pictet Asset Management S.A.,2023-05-03,Alfen N.V.,0.44,archive
NL0000888691,Citadel Advisors LLC,2023-05-02,AMG Critical Materials N.V.,0.54,archive
NL0012866412,"Point72 Asset Management, L.P.",2023-05-02,BE Semiconductor Industries N.V.,3.88,archive
BE0003818359,Qube Research & Technologies Ltd.,2023-05-01,Galapagos NV,0.51,archive
BE0003818359,"Arrowstreet Capital, Limited Partnership",2023-04-28,Galapagos NV,1.02,archive
NL0000337319,Citadel Advisors LLC,2023-04-28,Koninklijke BAM Groep N.V.,0.48,archive
NL0000009538,Citadel Advisors LLC,2023-04-28,Koninklijke Philips N.V.,0.55,archive
BE0003818359,Qube Research & Technologies Ltd.,2023-04-28,Galapagos NV,0.49,archive
BE0003818359,"Arrowstreet Capital, Limited Partnership",2023-04-27,Galapagos NV,0.91,archive
NL0000888691,Citadel Advisors LLC,2023-04-27,AMG Critical Materials N.V.,0.49,archive
NL0010391025,Citadel Advisors LLC,2023-04-27,Pharming Group N.V.,0.71,archive
NL0012866412,"Davidson Kempner European Partners, LLP",2023-04-27,BE Semiconductor Industries N.V.,0.7,archive
NL0012866412,"Point72 Asset Management, L.P.",2023-04-27,BE Semiconductor Industries N.V.,3.96,archive
NL0011821392,AKO Capital LLP,2023-04-26,Signify N.V.,1.12,archive
NL0000009538,"AQR Capital Management, LLC",2023-04-26,Koninklijke Philips N.V.,0.5,archive
NL0013332471,Citadel Advisors LLC,2023-04-26,TomTom N.V.,0.59,archive
NL0000334118,Marshall Wace LLP,2023-04-26,ASM International N.V.,0.45,archive
NL0012866412,"Point72 Asset Management, L.P.",2023-04-26,BE Semiconductor Industries N.V.,4.02,archive
NL0012817175,Qube Research & Technologies Ltd.,2023-04-26,Alfen N.V.,0.5,archive
BE0003818359,Qube Research & Technologies Ltd.,2023-04-26,Galapagos NV,0.52,archive
NL0011821392,AKO Capital LLP,2023-04-25,Signify N.V.,1.21,archive
NL0012866412,"Davidson Kempner European Partners, LLP",2023-04-25,BE Semiconductor Industries N.V.,0.64,archive
NL0012817175,Marshall Wace LLP,2023-04-25,Alfen N.V.,1.21,archive
NL0012866412,"Point72 Asset Management, L.P.",2023-04-25,BE Semiconductor Industries N.V.,3.76,archive
NL0000009538,Viking Global Investors LP,2023-04-25,Koninklijke Philips N.V.,0.82,archive
NL0000009538,Citadel Advisors LLC,2023-04-24,Koninklijke Philips N.V.,0.64,archive
NL0009739416,Eleva Capital SAS,2023-04-24,PostNL N.V.,0.41,archive
NL0012866412,"Point72 Asset Management, L.P.",2023-04-24,BE Semiconductor Industries N.V.,3.96,archive
NL0000009538,Viking Global Investors LP,2023-04-24,Koninklijke Philips N.V.,1.05,archive
NL0000888691,Citadel Advisors LLC,2023-04-21,AMG Critical Materials N.V.,0.59,archive
NL0000337319,Citadel Advisors LLC,2023-04-21,Koninklijke BAM Groep N.V.,0.59,archive
NL0009739416,Eleva Capital SAS,2023-04-21,PostNL N.V.,0.64,archive
NL0012817175,Marshall Wace LLP,2023-04-21,Alfen N.V.,1.13,archive
BE0003818359,"Arrowstreet Capital, Limited Partnership",2023-04-20,Galapagos NV,0.84,archive
NL0000334118,Marshall Wace LLP,2023-04-20,ASM International N.V.,0.5,archive
NL0000337319,Marshall Wace LLP,2023-04-20,Koninklijke BAM Groep N.V.,0.8,archive
NL0012866412,"Point72 Asset Management, L.P.",2023-04-20,BE Semiconductor Industries N.V.,4.06,archive
NL0000334118,Qube Research & Technologies Ltd.,2023-04-20,ASM International N.V.,0.5,archive
NL0011872650,CapeView Capital LLP,2023-04-19,Basic-Fit N.V.,0.46,archive
NL0000334118,Qube Research & Technologies Ltd.,2023-04-19,ASM International N.V.,0.49,archive
NL0011872650,CapeView Capital LLP,2023-04-18,Basic-Fit N.V.,0.52,archive
NL0010391025,Citadel Advisors LLC,2023-04-18,Pharming Group N.V.,0.62,archive
NL00150003E1,Voleon Capital Management LP,2023-04-18,Fugro N.V.,0.6,archive
NL0000360618,"AQR Capital Management, LLC",2023-04-17,SBM Offshore N.V.,0.49,archive
FR0013326246,CapeView Capital LLP,2023-04-17,Unibail-Rodamco-Westfield SE,0.0,archive
NL0000888691,Citadel Advisors LLC,2023-04-17,AMG Critical Materials N.V.,0.7,archive
NL0000337319,Citadel Advisors LLC,2023-04-17,Koninklijke BAM Groep N.V.,0.69,archive
NL0013332471,Citadel Advisors LLC,2023-04-17,TomTom N.V.,0.63,archive
FR0013326246,Kintbury Capital LLP,2023-04-17,Unibail-Rodamco-Westfield SE,0.0,archive
NL0012866412,"Point72 Asset Management, L.P.",2023-04-17,BE Semiconductor Industries N.V.,3.94,archive
NL0010801007,"AQR Capital Management, LLC",2023-04-14,IMCD N.V.,0.5,archive
NL0000337319,Citadel Advisors LLC,2023-04-14,Koninklijke BAM Groep N.V.,0.7,archive
NL0010391025,Citadel Advisors LLC,2023-04-14,Pharming Group N.V.,0.58,archive
NL0012817175,Marshall Wace LLP,2023-04-14,Alfen N.V.,1.09,archive
NL0000337319,Marshall Wace LLP,2023-04-14,Koninklijke BAM Groep N.V.,0.73,archive
NL0012866412,"Point72 Asset Management, L.P.",2023-04-14,BE Semiconductor Industries N.V.,4.0,archive
NL0009739416,Qube Research & Technologies Ltd.,2023-04-14,PostNL N.V.,0.48,archive
NL0010391025,Citadel Advisors LLC,2023-04-13,Pharming Group N.V.,0.6,archive
NL0013332471,Citadel Advisors LLC,2023-04-13,TomTom N.V.,0.79,archive
NL0012866412,"Point72 Asset Management, L.P.",2023-04-13,BE Semiconductor Industries N.V.,3.94,archive
NL0012817175,AllianceBernstein L.P.,2023-04-12,Alfen N.V.,0.45,archive
NL0000360618,"AQR Capital Management, LLC",2023-04-12,SBM Offshore N.V.,0.5,archive
NL0010391025,Citadel Advisors LLC,2023-04-12,Pharming Group N.V.,0.7,archive
NL0011872650,JPMorgan Asset Management (UK) Ltd.,2023-04-12,Basic-Fit N.V.,0.49,archive
NL0009739416,JPMorgan Asset Management (UK) Ltd.,2023-04-12,PostNL N.V.,0.77,archive
NL0000337319,Marshall Wace LLP,2023-04-12,Koninklijke BAM Groep N.V.,0.61,archive
NL0012817175,Pictet Asset Management S.A.,2023-04-12,Alfen N.V.,0.52,archive
NL0012866412,"Point72 Asset Management, L.P.",2023-04-12,BE Semiconductor Industries N.V.,3.85,archive
NL0009739416,Qube Research & Technologies Ltd.,2023-04-12,PostNL N.V.,0.56,archive
NL0009739416,UBS Asset Management (UK) Ltd.,2023-04-12,PostNL N.V.,0.52,archive
NL0012817175,"WorldQuant, LLC",2023-04-12,Alfen N.V.,0.49,archive
NL0009739416,JPMorgan Asset Management (UK) Ltd.,2023-04-11,PostNL N.V.,0.69,archive
LU0569974404,Pantechnicon Advisors LLP,2023-04-11,Aperam S.A.,0.58,archive
NL0012866412,"Point72 Asset Management, L.P.",2023-04-11,BE Semiconductor Industries N.V.,3.94,archive
