position_holder,net_short_position,issuer_name,isin,position_date,source
Qube Research & Technologies Ltd.,1.2,AMG Critical Materials N.V.,NL0000888691,2024-07-02,archive
Voleon Capital Management LP,0.61,Vivoryon Therapeutics N.V.,NL00150002Q7,2024-07-02,archive
Citadel Advisors LLC,1.02,Alfen N.V.,NL0012817175,2024-07-01,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.66,Alfen N.V.,NL0012817175,2024-07-01,archive
Marshall Wace LLP,1.81,AMG Critical Materials N.V.,NL0000888691,2024-07-01,archive
Millennium Capital Partners LLP,1.03,Alfen N.V.,NL0012817175,2024-07-01,archive
Millennium International Management LP,1.86,Alfen N.V.,NL0012817175,2024-07-01,archive
Millennium International Management LP,1.82,Pharming Group N.V.,NL0010391025,2024-07-01,archive
Qube Research & Technologies Ltd.,2.01,Alfen N.V.,NL0012817175,2024-07-01,archive
Qube Research & Technologies Ltd.,1.16,AMG Critical Materials N.V.,NL0000888691,2024-07-01,archive
Systematica Investments Limited,0.49,Alfen N.V.,NL0012817175,2024-07-01,archive
"AQR Capital Management, LLC",0.58,IMCD N.V.,NL0010801007,2024-06-28,archive
Capital Fund Management S.A.,0.59,AMG Critical Materials N.V.,NL0000888691,2024-06-28,archive
"Cubist Systematic Strategies, LLC",0.51,Alfen N.V.,NL0012817175,2024-06-28,archive
"D. E. Shaw & Co., L.P.",0.46,Alfen N.V.,NL0012817175,2024-06-28,archive
Greenvale Capital LLP,0.47,Koninklijke Philips N.V.,NL0000009538,2024-06-28,archive
GSA Capital Partners LLP,0.5,PostNL N.V.,NL0009739416,2024-06-28,archive
Marshall Wace LLP,1.01,PostNL N.V.,NL0009739416,2024-06-28,archive
Millennium International Management LP,2.03,Alfen N.V.,NL0012817175,2024-06-28,archive
Millennium International Management LP,1.72,Pharming Group N.V.,NL0010391025,2024-06-28,archive
Qube Research & Technologies Ltd.,2.22,Alfen N.V.,NL0012817175,2024-06-28,archive
Qube Research & Technologies Ltd.,0.7,Basic-Fit N.V.,NL0011872650,2024-06-28,archive
Voleon Capital Management LP,0.56,Alfen N.V.,NL0012817175,2024-06-28,archive
Voleon Capital Management LP,0.57,Vivoryon Therapeutics N.V.,NL00150002Q7,2024-06-28,archive
BlackRock Investment Management (UK) Limited,2.19,Basic-Fit N.V.,NL0011872650,2024-06-27,archive
Capital Fund Management S.A.,0.6,AMG Critical Materials N.V.,NL0000888691,2024-06-27,archive
Citadel Advisors LLC,1.27,Alfen N.V.,NL0012817175,2024-06-27,archive
Citadel Advisors LLC,0.5,Koninklijke Vopak N.V.,NL0009432491,2024-06-27,archive
Citadel Securities (Europe) Limited,0.84,Alfen N.V.,NL0012817175,2024-06-27,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.56,Alfen N.V.,NL0012817175,2024-06-27,archive
"D. E. Shaw & Co., L.P.",0.5,Alfen N.V.,NL0012817175,2024-06-27,archive
"D. E. Shaw & Co., L.P.",0.96,AMG Critical Materials N.V.,NL0000888691,2024-06-27,archive
Franklin Templeton Investment Management Limited,0.63,TomTom N.V.,NL0013332471,2024-06-27,archive
Millennium International Management LP,2.13,Alfen N.V.,NL0012817175,2024-06-27,archive
Millennium International Management LP,0.6,IMCD N.V.,NL0010801007,2024-06-27,archive
"PDT Partners, LLC",0.75,Alfen N.V.,NL0012817175,2024-06-27,archive
"Point72 Europe (London), LLP",0.63,Signify N.V.,NL0011821392,2024-06-27,archive
Qube Research & Technologies Ltd.,2.63,Alfen N.V.,NL0012817175,2024-06-27,archive
Qube Research & Technologies Ltd.,0.47,Ebusco Holding N.V.,NL0015000CZ2,2024-06-27,archive
Qube Research & Technologies Ltd.,0.49,OCI N.V.,NL0010558797,2024-06-27,archive
Qube Research & Technologies Ltd.,0.92,PostNL N.V.,NL0009739416,2024-06-27,archive
BlackRock Investment Management (UK) Limited,2.21,Basic-Fit N.V.,NL0011872650,2024-06-26,archive
Citadel Advisors LLC,1.7,Alfen N.V.,NL0012817175,2024-06-26,archive
Citadel Advisors LLC,0.54,ArcelorMittal S.A.,LU1598757687,2024-06-26,archive
"D. E. Shaw & Co., L.P.",0.89,AMG Critical Materials N.V.,NL0000888691,2024-06-26,archive
Marshall Wace LLP,0.0,Alfen N.V.,NL0012817175,2024-06-26,archive
Marshall Wace LLP,1.71,AMG Critical Materials N.V.,NL0000888691,2024-06-26,archive
Marshall Wace LLP,1.1,ArcelorMittal S.A.,LU1598757687,2024-06-26,archive
Millennium Capital Partners LLP,0.92,Alfen N.V.,NL0012817175,2024-06-26,archive
Millennium International Management LP,2.29,Alfen N.V.,NL0012817175,2024-06-26,archive
"PDT Partners, LLC",1.09,Alfen N.V.,NL0012817175,2024-06-26,archive
"Point72 Europe (London), LLP",0.59,Signify N.V.,NL0011821392,2024-06-26,archive
Qube Research & Technologies Ltd.,3.25,Alfen N.V.,NL0012817175,2024-06-26,archive
Qube Research & Technologies Ltd.,1.23,AMG Critical Materials N.V.,NL0000888691,2024-06-26,archive
Qube Research & Technologies Ltd.,0.51,Ebusco Holding N.V.,NL0015000CZ2,2024-06-26,archive
"Arrowstreet Capital, Limited Partnership",1.49,Lakefront Biotherapeutics NV,BE0003818359,2024-06-25,archive
Citadel Advisors LLC,0.67,Alfen N.V.,NL0012817175,2024-06-25,archive
Citadel Securities (Europe) Limited,0.49,Pharming Group N.V.,NL0010391025,2024-06-25,archive
"D. E. Shaw & Co., L.P.",0.91,AMG Critical Materials N.V.,NL0000888691,2024-06-25,archive
Marshall Wace LLP,1.09,ArcelorMittal S.A.,LU1598757687,2024-06-25,archive
Millennium International Management LP,1.62,Pharming Group N.V.,NL0010391025,2024-06-25,archive
Qube Research & Technologies Ltd.,2.13,Alfen N.V.,NL0012817175,2024-06-25,archive
Qube Research & Technologies Ltd.,0.61,Ebusco Holding N.V.,NL0015000CZ2,2024-06-25,archive
AKO Capital LLP,1.31,Akzo Nobel N.V.,NL0013267909,2024-06-24,archive
"D. E. Shaw & Co., L.P.",0.89,AMG Critical Materials N.V.,NL0000888691,2024-06-24,archive
Marshall Wace LLP,0.48,ASR Nederland N.V.,NL0011872643,2024-06-24,archive
Qube Research & Technologies Ltd.,2.08,Alfen N.V.,NL0012817175,2024-06-24,archive
Qube Research & Technologies Ltd.,0.69,Basic-Fit N.V.,NL0011872650,2024-06-24,archive
Qube Research & Technologies Ltd.,0.81,PostNL N.V.,NL0009739416,2024-06-24,archive
Balyasny Asset Management (UK) LLP,0.98,Fugro N.V.,NL00150003E1,2024-06-21,archive
BlackRock Investment Management (UK) Limited,2.34,Basic-Fit N.V.,NL0011872650,2024-06-21,archive
Millennium Capital Partners LLP,0.87,Alfen N.V.,NL0012817175,2024-06-21,archive
Millennium International Management LP,1.95,Alfen N.V.,NL0012817175,2024-06-21,archive
Millennium International Management LP,0.45,Vivoryon Therapeutics N.V.,NL00150002Q7,2024-06-21,archive
Qube Research & Technologies Ltd.,1.1,AMG Critical Materials N.V.,NL0000888691,2024-06-21,archive
Balyasny Asset Management (UK) LLP,0.84,Fugro N.V.,NL00150003E1,2024-06-20,archive
Citadel Advisors LLC,0.76,Alfen N.V.,NL0012817175,2024-06-20,archive
Marshall Wace LLP,1.62,AMG Critical Materials N.V.,NL0000888691,2024-06-20,archive
Millennium Capital Partners LLP,0.9,Alfen N.V.,NL0012817175,2024-06-20,archive
Qube Research & Technologies Ltd.,1.01,AMG Critical Materials N.V.,NL0000888691,2024-06-20,archive
"BlackRock Advisors, LLC",0.69,AMG Critical Materials N.V.,NL0000888691,2024-06-19,archive
Marshall Wace LLP,1.1,ArcelorMittal S.A.,LU1598757687,2024-06-19,archive
Millennium International Management LP,1.8,Alfen N.V.,NL0012817175,2024-06-19,archive
Millennium International Management LP,0.51,Vivoryon Therapeutics N.V.,NL00150002Q7,2024-06-19,archive
AKO Capital LLP,1.18,Signify N.V.,NL0011821392,2024-06-18,archive
BlackRock Investment Management (UK) Limited,2.59,Basic-Fit N.V.,NL0011872650,2024-06-18,archive
Citadel Advisors LLC,0.88,Alfen N.V.,NL0012817175,2024-06-18,archive
Greenvale Capital LLP,0.5,Koninklijke Philips N.V.,NL0000009538,2024-06-18,archive
Marshall Wace LLP,0.68,Alfen N.V.,NL0012817175,2024-06-18,archive
Marshall Wace LLP,1.58,AMG Critical Materials N.V.,NL0000888691,2024-06-18,archive
Qube Research & Technologies Ltd.,2.19,Alfen N.V.,NL0012817175,2024-06-18,archive
Qube Research & Technologies Ltd.,0.93,AMG Critical Materials N.V.,NL0000888691,2024-06-18,archive
SIH Partners LLLP,0.49,AMG Critical Materials N.V.,NL0000888691,2024-06-18,archive
Wellington Management International Ltd.,0.6,Basic-Fit N.V.,NL0011872650,2024-06-18,archive
AKO Capital LLP,1.2,Signify N.V.,NL0011821392,2024-06-17,archive
"BlackRock Advisors, LLC",0.7,AMG Critical Materials N.V.,NL0000888691,2024-06-17,archive
Citadel Advisors LLC,0.96,Alfen N.V.,NL0012817175,2024-06-17,archive
Marshall Wace LLP,0.46,Wolters Kluwer N.V.,NL0000395903,2024-06-17,archive
Millennium International Management LP,1.71,Alfen N.V.,NL0012817175,2024-06-17,archive
Millennium International Management LP,0.61,Vivoryon Therapeutics N.V.,NL00150002Q7,2024-06-17,archive
Qube Research & Technologies Ltd.,0.81,AMG Critical Materials N.V.,NL0000888691,2024-06-17,archive
Qube Research & Technologies Ltd.,0.98,Flow Traders Ltd.,BMG3602E1084,2024-06-17,archive
Qube Research & Technologies Ltd.,0.73,PostNL N.V.,NL0009739416,2024-06-17,archive
Voleon Capital Management LP,0.69,Alfen N.V.,NL0012817175,2024-06-17,archive
BlackRock Investment Management (UK) Limited,2.64,Basic-Fit N.V.,NL0011872650,2024-06-14,archive
Citadel Advisors LLC,1.02,Alfen N.V.,NL0012817175,2024-06-14,archive
"D. E. Shaw & Co., L.P.",0.9,AMG Critical Materials N.V.,NL0000888691,2024-06-14,archive
Marshall Wace LLP,0.5,Wolters Kluwer N.V.,NL0000395903,2024-06-14,archive
Millennium Capital Partners LLP,0.8,Alfen N.V.,NL0012817175,2024-06-14,archive
Millennium International Management LP,1.52,Pharming Group N.V.,NL0010391025,2024-06-14,archive
Qube Research & Technologies Ltd.,0.67,AMG Critical Materials N.V.,NL0000888691,2024-06-14,archive
Qube Research & Technologies Ltd.,0.7,Basic-Fit N.V.,NL0011872650,2024-06-14,archive
Balyasny Asset Management (UK) LLP,0.7,Fugro N.V.,NL00150003E1,2024-06-13,archive
Capital Fund Management S.A.,0.52,AMG Critical Materials N.V.,NL0000888691,2024-06-13,archive
Marshall Wace LLP,0.5,ASR Nederland N.V.,NL0011872643,2024-06-13,archive
Marshall Wace LLP,0.5,Koninklijke Philips N.V.,NL0000009538,2024-06-13,archive
Marshall Wace LLP,0.91,PostNL N.V.,NL0009739416,2024-06-13,archive
Millennium Capital Partners LLP,0.73,Alfen N.V.,NL0012817175,2024-06-13,archive
"PDT Partners, LLC",1.2,Alfen N.V.,NL0012817175,2024-06-13,archive
Qube Research & Technologies Ltd.,2.2,Alfen N.V.,NL0012817175,2024-06-13,archive
Qube Research & Technologies Ltd.,0.54,AMG Critical Materials N.V.,NL0000888691,2024-06-13,archive
Voleon Capital Management LP,0.7,Alfen N.V.,NL0012817175,2024-06-13,archive
AKO Capital LLP,1.27,Akzo Nobel N.V.,NL0013267909,2024-06-12,archive
Capital Fund Management S.A.,0.48,AMG Critical Materials N.V.,NL0000888691,2024-06-12,archive
Marshall Wace LLP,0.49,ASR Nederland N.V.,NL0011872643,2024-06-12,archive
Marshall Wace LLP,0.49,Van Lanschot Kempen N.V.,NL0000302636,2024-06-12,archive
Marshall Wace LLP,0.49,Wolters Kluwer N.V.,NL0000395903,2024-06-12,archive
Millennium International Management LP,1.61,Alfen N.V.,NL0012817175,2024-06-12,archive
Millennium International Management LP,0.79,Vivoryon Therapeutics N.V.,NL00150002Q7,2024-06-12,archive
Qube Research & Technologies Ltd.,0.61,PostNL N.V.,NL0009739416,2024-06-12,archive
Capital Fund Management S.A.,0.51,AMG Critical Materials N.V.,NL0000888691,2024-06-11,archive
Marshall Wace LLP,0.79,Alfen N.V.,NL0012817175,2024-06-11,archive
Marshall Wace LLP,0.89,PostNL N.V.,NL0009739416,2024-06-11,archive
Qube Research & Technologies Ltd.,2.13,Alfen N.V.,NL0012817175,2024-06-11,archive
"WorldQuant, LLC",0.46,Alfen N.V.,NL0012817175,2024-06-11,archive
Marshall Wace LLP,0.9,PostNL N.V.,NL0009739416,2024-06-10,archive
Millennium International Management LP,1.42,Pharming Group N.V.,NL0010391025,2024-06-10,archive
Millennium International Management LP,0.84,Vivoryon Therapeutics N.V.,NL00150002Q7,2024-06-10,archive
Qube Research & Technologies Ltd.,0.55,PostNL N.V.,NL0009739416,2024-06-10,archive
Voleon Capital Management LP,0.68,Alfen N.V.,NL0012817175,2024-06-10,archive
"Arrowstreet Capital, Limited Partnership",0.6,Basic-Fit N.V.,NL0011872650,2024-06-07,archive
Millennium Capital Partners LLP,0.61,Alfen N.V.,NL0012817175,2024-06-07,archive
AKO Capital LLP,1.1,Akzo Nobel N.V.,NL0013267909,2024-06-06,archive
Marshall Wace LLP,0.49,Koninklijke Philips N.V.,NL0000009538,2024-06-06,archive
Millennium International Management LP,0.93,Vivoryon Therapeutics N.V.,NL00150002Q7,2024-06-06,archive
Qube Research & Technologies Ltd.,0.61,PostNL N.V.,NL0009739416,2024-06-06,archive
SIH Partners LLLP,0.5,AMG Critical Materials N.V.,NL0000888691,2024-06-06,archive
Walleye Capital LLC,0.5,Alfen N.V.,NL0012817175,2024-06-06,archive
AKO Capital LLP,1.0,Akzo Nobel N.V.,NL0013267909,2024-06-05,archive
"AQR Capital Management, LLC",0.51,SBM Offshore N.V.,NL0000360618,2024-06-05,archive
"BlackRock Advisors, LLC",0.9,Alfen N.V.,NL0012817175,2024-06-05,archive
Citadel Advisors LLC,0.98,Alfen N.V.,NL0012817175,2024-06-05,archive
Citadel Advisors LLC,0.48,Pharming Group N.V.,NL0010391025,2024-06-05,archive
Marshall Wace LLP,1.61,AMG Critical Materials N.V.,NL0000888691,2024-06-05,archive
Millennium International Management LP,1.38,Pharming Group N.V.,NL0010391025,2024-06-05,archive
"PDT Partners, LLC",1.1,Alfen N.V.,NL0012817175,2024-06-05,archive
"WorldQuant, LLC",0.56,Alfen N.V.,NL0012817175,2024-06-05,archive
"WorldQuant, LLC",0.48,AMG Critical Materials N.V.,NL0000888691,2024-06-05,archive
"WorldQuant, LLC",0.49,TomTom N.V.,NL0013332471,2024-06-05,archive
Citadel Advisors LLC,1.01,Alfen N.V.,NL0012817175,2024-06-04,archive
"D. E. Shaw & Co., L.P.",0.8,AMG Critical Materials N.V.,NL0000888691,2024-06-04,archive
Franklin Templeton Investment Management Limited,0.52,Basic-Fit N.V.,NL0011872650,2024-06-04,archive
Marshall Wace LLP,0.85,Alfen N.V.,NL0012817175,2024-06-04,archive
Marshall Wace LLP,1.06,PostNL N.V.,NL0009739416,2024-06-04,archive
Marshall Wace LLP,0.5,Van Lanschot Kempen N.V.,NL0000302636,2024-06-04,archive
Millennium International Management LP,1.4,Pharming Group N.V.,NL0010391025,2024-06-04,archive
Qube Research & Technologies Ltd.,2.08,Alfen N.V.,NL0012817175,2024-06-04,archive
Qube Research & Technologies Ltd.,0.63,Basic-Fit N.V.,NL0011872650,2024-06-04,archive
Qube Research & Technologies Ltd.,0.55,PostNL N.V.,NL0009739416,2024-06-04,archive
ShadowFall Capital & Research LLP,0.54,Basic-Fit N.V.,NL0011872650,2024-06-04,archive
Balyasny Asset Management (UK) LLP,0.65,Fugro N.V.,NL00150003E1,2024-06-03,archive
Balyasny Asset Management (UK) LLP,0.8,SBM Offshore N.V.,NL0000360618,2024-06-03,archive
"BlackRock Advisors, LLC",0.69,AMG Critical Materials N.V.,NL0000888691,2024-06-03,archive
Citadel Advisors LLC,0.57,Pharming Group N.V.,NL0010391025,2024-06-03,archive
Marshall Wace LLP,1.11,PostNL N.V.,NL0009739416,2024-06-03,archive
Millennium Capital Partners LLP,0.51,Alfen N.V.,NL0012817175,2024-06-03,archive
Qube Research & Technologies Ltd.,1.85,Alfen N.V.,NL0012817175,2024-06-03,archive
Voleon Capital Management LP,0.78,Alfen N.V.,NL0012817175,2024-06-03,archive
Voleon Capital Management LP,0.5,Basic-Fit N.V.,NL0011872650,2024-06-03,archive
Balyasny Asset Management (UK) LLP,0.78,Fugro N.V.,NL00150003E1,2024-05-31,archive
Marshall Wace LLP,0.51,Koninklijke Philips N.V.,NL0000009538,2024-05-31,archive
Millennium International Management LP,1.51,Alfen N.V.,NL0012817175,2024-05-31,archive
Millennium International Management LP,0.0,NSI N.V.,NL0012365084,2024-05-31,archive
Marshall Wace LLP,1.59,AMG Critical Materials N.V.,NL0000888691,2024-05-30,archive
Marshall Wace LLP,0.49,Koninklijke Philips N.V.,NL0000009538,2024-05-30,archive
Millennium International Management LP,0.81,NSI N.V.,NL0012365084,2024-05-30,archive
Citadel Advisors LLC,0.69,Pharming Group N.V.,NL0010391025,2024-05-29,archive
Franklin Templeton Investment Management Limited,0.49,Basic-Fit N.V.,NL0011872650,2024-05-29,archive
Franklin Templeton Investment Management Limited,0.58,TomTom N.V.,NL0013332471,2024-05-29,archive
JPMorgan Asset Management (UK) Ltd.,0.72,Aperam S.A.,LU0569974404,2024-05-29,archive
Marshall Wace LLP,1.29,PostNL N.V.,NL0009739416,2024-05-29,archive
Millennium International Management LP,0.73,NSI N.V.,NL0012365084,2024-05-29,archive
Millennium International Management LP,1.09,Vivoryon Therapeutics N.V.,NL00150002Q7,2024-05-29,archive
Qube Research & Technologies Ltd.,0.51,Ebusco Holding N.V.,NL0015000CZ2,2024-05-29,archive
"WorldQuant, LLC",0.45,Alfen N.V.,NL0012817175,2024-05-29,archive
"WorldQuant, LLC",0.58,TomTom N.V.,NL0013332471,2024-05-29,archive
"BlackRock Advisors, LLC",0.8,Alfen N.V.,NL0012817175,2024-05-28,archive
Franklin Templeton Investment Management Limited,0.64,TomTom N.V.,NL0013332471,2024-05-28,archive
GSA Capital Partners LLP,0.47,Vivoryon Therapeutics N.V.,NL00150002Q7,2024-05-28,archive
Marshall Wace LLP,0.59,ASR Nederland N.V.,NL0011872643,2024-05-28,archive
Millennium International Management LP,1.43,Alfen N.V.,NL0012817175,2024-05-28,archive
Millennium International Management LP,0.66,NSI N.V.,NL0012365084,2024-05-28,archive
Qube Research & Technologies Ltd.,0.49,Ebusco Holding N.V.,NL0015000CZ2,2024-05-28,archive
Wellington Management International Ltd.,0.52,Basic-Fit N.V.,NL0011872650,2024-05-28,archive
"WorldQuant, LLC",0.5,Alfen N.V.,NL0012817175,2024-05-28,archive
GSA Capital Partners LLP,0.5,Vivoryon Therapeutics N.V.,NL00150002Q7,2024-05-27,archive
Marshall Wace LLP,1.39,PostNL N.V.,NL0009739416,2024-05-27,archive
Millennium International Management LP,0.5,IMCD N.V.,NL0010801007,2024-05-27,archive
Qube Research & Technologies Ltd.,1.98,Alfen N.V.,NL0012817175,2024-05-27,archive
Balyasny Asset Management (UK) LLP,0.7,SBM Offshore N.V.,NL0000360618,2024-05-24,archive
"BlackRock Advisors, LLC",0.7,AMG Critical Materials N.V.,NL0000888691,2024-05-24,archive
Millennium International Management LP,1.31,Alfen N.V.,NL0012817175,2024-05-24,archive
Millennium International Management LP,0.51,NSI N.V.,NL0012365084,2024-05-24,archive
Qube Research & Technologies Ltd.,0.5,Ebusco Holding N.V.,NL0015000CZ2,2024-05-24,archive
Balyasny Asset Management (UK) LLP,0.63,SBM Offshore N.V.,NL0000360618,2024-05-23,archive
Citadel Advisors LLC,0.85,Alfen N.V.,NL0012817175,2024-05-23,archive
Citadel Advisors LLC,0.77,Pharming Group N.V.,NL0010391025,2024-05-23,archive
Marshall Wace LLP,1.01,ArcelorMittal S.A.,LU1598757687,2024-05-23,archive
Millennium International Management LP,1.23,Alfen N.V.,NL0012817175,2024-05-23,archive
"PDT Partners, LLC",1.07,Alfen N.V.,NL0012817175,2024-05-23,archive
Qube Research & Technologies Ltd.,2.03,Alfen N.V.,NL0012817175,2024-05-23,archive
Qube Research & Technologies Ltd.,0.59,OCI N.V.,NL0010558797,2024-05-23,archive
Voleon Capital Management LP,0.89,Alfen N.V.,NL0012817175,2024-05-23,archive
Balyasny Asset Management (UK) LLP,0.89,Fugro N.V.,NL00150003E1,2024-05-22,archive
Franklin Templeton Investment Management Limited,0.53,Basic-Fit N.V.,NL0011872650,2024-05-22,archive
Marshall Wace LLP,0.59,Wolters Kluwer N.V.,NL0000395903,2024-05-22,archive
Millennium International Management LP,1.01,Alfen N.V.,NL0012817175,2024-05-22,archive
Millennium International Management LP,1.33,Pharming Group N.V.,NL0010391025,2024-05-22,archive
Millennium International Management LP,1.17,Vivoryon Therapeutics N.V.,NL00150002Q7,2024-05-22,archive
"BlackRock Advisors, LLC",0.71,Alfen N.V.,NL0012817175,2024-05-21,archive
Citadel Advisors LLC,0.92,Alfen N.V.,NL0012817175,2024-05-21,archive
JPMorgan Asset Management (UK) Ltd.,0.9,Alfen N.V.,NL0012817175,2024-05-21,archive
Marshall Wace LLP,0.72,Alfen N.V.,NL0012817175,2024-05-21,archive
Millennium International Management LP,0.87,Alfen N.V.,NL0012817175,2024-05-21,archive
Millennium International Management LP,0.46,Flow Traders Ltd.,NL0011279492,2024-05-21,archive
"PDT Partners, LLC",1.15,Alfen N.V.,NL0012817175,2024-05-21,archive
Qube Research & Technologies Ltd.,2.23,Alfen N.V.,NL0012817175,2024-05-21,archive
Qube Research & Technologies Ltd.,1.01,Flow Traders Ltd.,BMG3602E1084,2024-05-21,archive
Qube Research & Technologies Ltd.,0.6,OCI N.V.,NL0010558797,2024-05-21,archive
Voleon Capital Management LP,0.95,Alfen N.V.,NL0012817175,2024-05-21,archive
Wellington Management International Ltd.,0.48,Alfen N.V.,NL0012817175,2024-05-21,archive
Balyasny Asset Management (UK) LLP,0.55,SBM Offshore N.V.,NL0000360618,2024-05-20,archive
"BlackRock Advisors, LLC",0.62,AMG Critical Materials N.V.,NL0000888691,2024-05-20,archive
Citadel Advisors LLC,0.88,Pharming Group N.V.,NL0010391025,2024-05-20,archive
Millennium International Management LP,0.73,Alfen N.V.,NL0012817175,2024-05-20,archive
"WorldQuant, LLC",0.69,TomTom N.V.,NL0013332471,2024-05-20,archive
Citadel Advisors LLC,0.51,Alfen N.V.,NL0012817175,2024-05-17,archive
Millennium International Management LP,0.86,Alfen N.V.,NL0012817175,2024-05-17,archive
Millennium International Management LP,0.73,Flow Traders Ltd.,NL0011279492,2024-05-17,archive
"PDT Partners, LLC",1.09,Alfen N.V.,NL0012817175,2024-05-17,archive
"AQR Capital Management, LLC",0.49,DSM-Firmenich AG,CH1216478797,2024-05-16,archive
"BlackRock Advisors, LLC",0.61,Alfen N.V.,NL0012817175,2024-05-16,archive
Citadel Advisors LLC,0.47,Basic-Fit N.V.,NL0011872650,2024-05-16,archive
JPMorgan Asset Management (UK) Ltd.,0.67,Aperam S.A.,LU0569974404,2024-05-16,archive
"WorldQuant, LLC",0.71,TomTom N.V.,NL0013332471,2024-05-16,archive
Millennium International Management LP,0.62,Flow Traders Ltd.,NL0011279492,2024-05-15,archive
Millennium International Management LP,1.23,Pharming Group N.V.,NL0010391025,2024-05-15,archive
Millennium International Management LP,1.29,Vivoryon Therapeutics N.V.,NL00150002Q7,2024-05-15,archive
Qube Research & Technologies Ltd.,1.56,Alfen N.V.,NL0012817175,2024-05-15,archive
Qube Research & Technologies Ltd.,0.99,Flow Traders Ltd.,BMG3602E1084,2024-05-15,archive
Qube Research & Technologies Ltd.,0.59,OCI N.V.,NL0010558797,2024-05-15,archive
Voleon Capital Management LP,0.8,Alfen N.V.,NL0012817175,2024-05-15,archive
"WorldQuant, LLC",0.51,AMG Critical Materials N.V.,NL0000888691,2024-05-15,archive
"BlackRock Advisors, LLC",0.53,Alfen N.V.,NL0012817175,2024-05-14,archive
"BlackRock Advisors, LLC",0.52,AMG Critical Materials N.V.,NL0000888691,2024-05-14,archive
Capital Fund Management S.A.,0.48,Flow Traders Ltd.,BMG3602E1084,2024-05-14,archive
Marshall Wace LLP,1.49,PostNL N.V.,NL0009739416,2024-05-14,archive
Millennium International Management LP,0.74,Alfen N.V.,NL0012817175,2024-05-14,archive
Qube Research & Technologies Ltd.,1.43,Alfen N.V.,NL0012817175,2024-05-14,archive
Wellington Management International Ltd.,0.47,Basic-Fit N.V.,NL0011872650,2024-05-14,archive
"AQR Capital Management, LLC",0.61,IMCD N.V.,NL0010801007,2024-05-13,archive
Marshall Wace LLP,0.61,Alfen N.V.,NL0012817175,2024-05-13,archive
Marshall Wace LLP,0.9,ArcelorMittal S.A.,LU1598757687,2024-05-13,archive
Marshall Wace LLP,0.46,Flow Traders Ltd.,BMG3602E1084,2024-05-13,archive
Millennium International Management LP,1.35,Vivoryon Therapeutics N.V.,NL00150002Q7,2024-05-13,archive
Voleon Capital Management LP,0.79,Alfen N.V.,NL0012817175,2024-05-13,archive
Citadel Advisors LLC,0.99,Pharming Group N.V.,NL0010391025,2024-05-10,archive
Marshall Wace LLP,1.61,AMG Critical Materials N.V.,NL0000888691,2024-05-10,archive
Millennium International Management LP,0.88,Alfen N.V.,NL0012817175,2024-05-10,archive
Qube Research & Technologies Ltd.,1.27,Alfen N.V.,NL0012817175,2024-05-10,archive
Qube Research & Technologies Ltd.,1.09,Flow Traders Ltd.,BMG3602E1084,2024-05-10,archive
Citadel Advisors LLC,0.45,Koninklijke Philips N.V.,NL0000009538,2024-05-09,archive
Citadel Advisors LLC,1.01,Pharming Group N.V.,NL0010391025,2024-05-09,archive
Marshall Wace LLP,0.56,Flow Traders Ltd.,BMG3602E1084,2024-05-09,archive
Marshall Wace LLP,1.51,PostNL N.V.,NL0009739416,2024-05-09,archive
Qube Research & Technologies Ltd.,0.49,Basic-Fit N.V.,NL0011872650,2024-05-09,archive
Qube Research & Technologies Ltd.,0.49,Ebusco Holding N.V.,NL0015000CZ2,2024-05-09,archive
Voleon Capital Management LP,0.89,Alfen N.V.,NL0012817175,2024-05-09,archive
"WorldQuant, LLC",0.6,TomTom N.V.,NL0013332471,2024-05-09,archive
Citadel Advisors LLC,0.95,Pharming Group N.V.,NL0010391025,2024-05-08,archive
Marshall Wace LLP,0.68,ASR Nederland N.V.,NL0011872643,2024-05-08,archive
Marshall Wace LLP,0.47,NEPI Rockcastle N.V.,NL0015000RT3,2024-05-08,archive
Marshall Wace LLP,1.1,TomTom N.V.,NL0013332471,2024-05-08,archive
Millennium International Management LP,1.11,Pharming Group N.V.,NL0010391025,2024-05-08,archive
Qube Research & Technologies Ltd.,1.3,Alfen N.V.,NL0012817175,2024-05-08,archive
Citadel Advisors LLC,0.58,Basic-Fit N.V.,NL0011872650,2024-05-07,archive
Citadel Advisors LLC,0.85,Pharming Group N.V.,NL0010391025,2024-05-07,archive
JPMorgan Asset Management (UK) Ltd.,0.37,PostNL N.V.,NL0009739416,2024-05-07,archive
Marshall Wace LLP,0.64,Flow Traders Ltd.,BMG3602E1084,2024-05-07,archive
Millennium International Management LP,0.95,Alfen N.V.,NL0012817175,2024-05-07,archive
Qube Research & Technologies Ltd.,0.69,OCI N.V.,NL0010558797,2024-05-07,archive
Wellington Management International Ltd.,0.52,Alfen N.V.,NL0012817175,2024-05-07,archive
Wellington Management International Ltd.,0.51,Basic-Fit N.V.,NL0011872650,2024-05-07,archive
Citadel Advisors LLC,0.58,Koninklijke Philips N.V.,NL0000009538,2024-05-06,archive
Citadel Securities (Europe) Limited,0.53,Pharming Group N.V.,NL0010391025,2024-05-06,archive
Marshall Wace LLP,0.57,Koninklijke Philips N.V.,NL0000009538,2024-05-06,archive
