position_holder,net_short_position,issuer_name,isin,position_date,source
"WorldQuant, LLC",0.92,Alfen N.V.,NL0012817175,2026-06-29,current
Capital Fund Management S.A.,0.99,IMCD N.V.,NL0010801007,2026-06-26,current
Citadel Advisors LLC,1.09,Wereldhave N.V.,NL0000289213,2026-06-26,current
"D. E. Shaw & Co., L.P.",0.59,Wolters Kluwer N.V.,NL0000395903,2026-06-26,current
Marshall Wace LLP,0.99,DSM-Firmenich AG,CH1216478797,2026-06-26,current
Walleye Capital LLC,1.09,Pharming Group N.V.,NL0010391025,2026-06-26,current
"AQR Capital Management, LLC",0.59,CVC Capital Partners plc,JE00BRX98089,2026-06-25,current
Citadel Advisors LLC,1.33,Signify N.V.,NL0011821392,2026-06-25,current
"Farallon Capital Management, L.L.C.",1.2,Signify N.V.,NL0011821392,2026-06-25,current
Marshall Wace LLP,1.0,DSM-Firmenich AG,CH1216478797,2026-06-25,current
Marshall Wace LLP,1.65,Signify N.V.,NL0011821392,2026-06-25,current
Millennium International Management LP,0.56,Alfen N.V.,NL0012817175,2026-06-25,current
"WorldQuant, LLC",0.88,Alfen N.V.,NL0012817175,2026-06-25,current
Citadel Advisors LLC,0.79,Sligro Food Group N.V.,NL0000817179,2026-06-24,current
Citadel Securities (Europe) Limited,0.51,Avantium N.V.,NL0015002IE0,2026-06-24,current
"Farallon Capital Management, L.L.C.",1.17,Signify N.V.,NL0011821392,2026-06-24,current
Millennium International Management LP,0.6,Akzo Nobel N.V.,NL0013267909,2026-06-24,current
Squarepoint Ops LLC,0.81,Signify N.V.,NL0011821392,2026-06-24,current
Winton Capital Management Limited,0.6,PostNL N.V.,NL0009739416,2026-06-24,current
"AQR Capital Management, LLC",0.5,IMCD N.V.,NL0010801007,2026-06-23,current
Capital Fund Management S.A.,0.81,Adyen N.V.,NL0012969182,2026-06-23,current
Citadel Securities (Europe) Limited,0.51,Signify N.V.,NL0011821392,2026-06-23,current
Eleva Capital SAS,0.93,Basic-Fit N.V.,NL0011872650,2026-06-23,current
"Farallon Capital Management, L.L.C.",1.04,Signify N.V.,NL0011821392,2026-06-23,current
Marshall Wace LLP,1.01,The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-06-23,current
Sculptor Capital Management Europe Limited,0.77,Basic-Fit N.V.,NL0011872650,2026-06-23,current
Squarepoint Ops LLC,0.79,Signify N.V.,NL0011821392,2026-06-23,current
Citadel Advisors LLC,1.27,Signify N.V.,NL0011821392,2026-06-22,current
Citadel Advisors LLC,1.1,Wereldhave N.V.,NL0000289213,2026-06-22,current
"PDT Partners, LLC",0.8,IMCD N.V.,NL0010801007,2026-06-22,current
"PDT Partners, LLC",0.61,PostNL N.V.,NL0009739416,2026-06-22,current
