position_holder,net_short_position,isin,issuer_name,position_date,source
Squarepoint Ops LLC,0.99,NL0006237562,ARCADIS N.V.,2026-03-30,current
"Two Sigma Investments, LP",0.7,CY0200751713,Theon International Plc,2026-03-30,current
Viking Global Investors LP,0.61,NL0011821202,ING Groep N.V.,2026-03-30,current
"AQR Capital Management, LLC",0.9,NL0006237562,ARCADIS N.V.,2026-03-27,current
"Arrowstreet Capital, Limited Partnership",1.12,NL0010801007,IMCD N.V.,2026-03-27,current
"BlackRock Financial Management, Inc.",1.09,NL0010801007,IMCD N.V.,2026-03-27,current
Capital Fund Management S.A.,0.51,NL0010801007,IMCD N.V.,2026-03-27,current
Citadel Advisors LLC,0.59,NL0000379121,Randstad N.V.,2026-03-27,current
"D. E. Shaw & Co., L.P.",0.7,NL0006237562,ARCADIS N.V.,2026-03-27,current
"D. E. Shaw & Co., L.P.",0.59,NL0010391025,Pharming Group N.V.,2026-03-27,current
GLG Partners LP,0.59,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-03-27,current
Marshall Wace LLP,0.86,NL0000379121,Randstad N.V.,2026-03-27,current
Millennium International Management LP,0.75,NL0013267909,Akzo Nobel N.V.,2026-03-27,current
Qube Research & Technologies Ltd.,0.79,NL0011821392,Signify N.V.,2026-03-27,current
Voleon Capital Management LP,0.52,CY0200751713,Theon International Plc,2026-03-27,current
Wellington Management International Ltd.,0.6,NL0011872650,Basic-Fit N.V.,2026-03-27,current
"D. E. Shaw & Co., L.P.",0.69,NL0006237562,ARCADIS N.V.,2026-03-26,current
Ilex Capital Partners (UK) LLP,0.64,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-03-26,current
Marshall Wace LLP,1.96,NL0011821392,Signify N.V.,2026-03-26,current
Qube Research & Technologies Ltd.,1.14,CY0200751713,Theon International Plc,2026-03-26,current
"Two Sigma Investments, LP",1.5,LU2290522684,InPost S.A.,2026-03-26,current
Voleon Capital Management LP,0.5,NL0010801007,IMCD N.V.,2026-03-26,current
"WorldQuant, LLC",2.92,NL0012817175,Alfen N.V.,2026-03-26,current
"WorldQuant, LLC",0.71,NL0010801007,IMCD N.V.,2026-03-26,current
"AQR Capital Management, LLC",0.8,NL0012969182,Adyen N.V.,2026-03-25,current
"AQR Capital Management, LLC",0.6,NL0013267909,Akzo Nobel N.V.,2026-03-25,current
"AQR Capital Management, LLC",0.5,JE00BRX98089,CVC Capital Partners plc,2026-03-25,current
GLG Partners LP,0.6,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-03-25,current
Ilex Capital Partners (UK) LLP,0.82,CH1216478797,DSM-Firmenich AG,2026-03-25,current
Ilex Capital Partners (UK) LLP,0.57,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-03-25,current
Millennium Capital (DIFC) Limited,0.81,NL0011821392,Signify N.V.,2026-03-25,current
Squarepoint Ops LLC,0.6,NL0010801007,IMCD N.V.,2026-03-25,current
JPMorgan Asset Management (UK) Ltd.,0.56,NL0010801007,IMCD N.V.,2026-03-24,current
Lazard Asset Management LLC,1.14,NL0010391025,Pharming Group N.V.,2026-03-24,current
Marshall Wace LLP,0.91,NL0000379121,Randstad N.V.,2026-03-24,current
Marshall Wace LLP,2.0,NL0011821392,Signify N.V.,2026-03-24,current
Marshall Wace LLP,1.6,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-03-24,current
Millennium Capital (DIFC) Limited,0.79,NL0011821392,Signify N.V.,2026-03-24,current
"PDT Partners, LLC",0.9,NL0010801007,IMCD N.V.,2026-03-24,current
Qube Research & Technologies Ltd.,0.81,JE00BRX98089,CVC Capital Partners plc,2026-03-24,current
Qube Research & Technologies Ltd.,0.89,NL0011821392,Signify N.V.,2026-03-24,current
Squarepoint Ops LLC,0.59,NL0010801007,IMCD N.V.,2026-03-24,current
"Two Sigma Investments, LP",1.44,LU2290522684,InPost S.A.,2026-03-24,current
"Two Sigma Investments, LP",0.6,CY0200751713,Theon International Plc,2026-03-24,current
Voleon Capital Management LP,2.0,NL0012817175,Alfen N.V.,2026-03-24,current
Actus Ray Partners Limited,0.62,NL0015000GX8,Envipco Holding N.V.,2026-03-23,current
"AQR Capital Management, LLC",0.72,NL0012969182,Adyen N.V.,2026-03-23,current
"AQR Capital Management, LLC",0.64,NL0012817175,Alfen N.V.,2026-03-23,current
"Arrowstreet Capital, Limited Partnership",1.01,NL0010801007,IMCD N.V.,2026-03-23,current
"BlackRock Financial Management, Inc.",0.6,NL0011821392,Signify N.V.,2026-03-23,current
Citadel Advisors Europe Limited,1.19,NL0011821392,Signify N.V.,2026-03-23,current
Citadel Advisors LLC,2.3,NL0011821392,Signify N.V.,2026-03-23,current
"D. E. Shaw & Co., L.P.",1.18,NL0012817175,Alfen N.V.,2026-03-23,current
"D. E. Shaw & Co., L.P.",0.69,NL0009739416,PostNL N.V.,2026-03-23,current
GLG Partners LP,0.51,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-03-23,current
Kintbury Capital LLP,0.78,NL0013267909,Akzo Nobel N.V.,2026-03-23,current
Marshall Wace LLP,0.7,NL0009739416,PostNL N.V.,2026-03-23,current
Millennium International Management LP,0.69,NL0013267909,Akzo Nobel N.V.,2026-03-23,current
Qube Research & Technologies Ltd.,1.01,CY0200751713,Theon International Plc,2026-03-23,current
Squarepoint Ops LLC,1.05,NL0006237562,ARCADIS N.V.,2026-03-23,current
Squarepoint Ops LLC,0.6,NL0010801007,IMCD N.V.,2026-03-23,current
"Two Sigma Investments, LP",1.36,LU2290522684,InPost S.A.,2026-03-23,current
"BlackRock Financial Management, Inc.",0.58,NL0011821392,Signify N.V.,2026-03-20,current
Capital Fund Management S.A.,0.7,NL0012969182,Adyen N.V.,2026-03-20,current
