position_holder,net_short_position,isin,issuer_name,position_date,source
Marshall Wace LLP,0.55,NL0000009538,Koninklijke Philips N.V.,2024-08-06,archive
Millennium Capital Partners LLP,1.59,NL0012817175,Alfen N.V.,2024-08-06,archive
"PDT Partners, LLC",1.03,NL0012817175,Alfen N.V.,2024-08-06,archive
Qube Research & Technologies Ltd.,1.84,BMG3602E1084,Flow Traders Ltd.,2024-08-06,archive
Qube Research & Technologies Ltd.,0.7,NL0010558797,OCI N.V.,2024-08-06,archive
AKO Capital LLP,0.94,NL0000379121,Randstad N.V.,2024-08-05,archive
AKO Capital LLP,1.1,NL0011821392,Signify N.V.,2024-08-05,archive
Balyasny Asset Management (UK) LLP,0.74,NL00150003E1,Fugro N.V.,2024-08-05,archive
Capital Fund Management S.A.,0.76,NL0000888691,AMG Critical Materials N.V.,2024-08-05,archive
Citadel Advisors LLC,1.58,NL0012817175,Alfen N.V.,2024-08-05,archive
Marshall Wace LLP,1.94,NL0000888691,AMG Critical Materials N.V.,2024-08-05,archive
Marshall Wace LLP,0.77,NL0013332471,TomTom N.V.,2024-08-05,archive
Millennium Capital Partners LLP,1.63,NL0012817175,Alfen N.V.,2024-08-05,archive
"PDT Partners, LLC",0.94,NL0012817175,Alfen N.V.,2024-08-05,archive
"PDT Partners, LLC",0.61,BMG3602E1084,Flow Traders Ltd.,2024-08-05,archive
Qube Research & Technologies Ltd.,1.01,NL0011872650,Basic-Fit N.V.,2024-08-05,archive
Qube Research & Technologies Ltd.,1.7,BMG3602E1084,Flow Traders Ltd.,2024-08-05,archive
"AQR Capital Management, LLC",0.6,NL0011872643,ASR Nederland N.V.,2024-08-02,archive
BlackRock Investment Management (UK) Limited,0.79,NL0010583399,Corbion N.V.,2024-08-02,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.99,NL0012817175,Alfen N.V.,2024-08-02,archive
"D. E. Shaw & Co., L.P.",0.93,NL0000888691,AMG Critical Materials N.V.,2024-08-02,archive
GSA Capital Partners LLP,0.59,NL0009739416,PostNL N.V.,2024-08-02,archive
Ilex Capital Partners (UK) LLP,0.5,NL0011794037,Koninklijke Ahold Delhaize N.V.,2024-08-02,archive
Marshall Wace LLP,1.18,LU1598757687,ArcelorMittal S.A.,2024-08-02,archive
Millennium Capital Partners LLP,1.56,NL0012817175,Alfen N.V.,2024-08-02,archive
Millennium International Management LP,2.19,NL0012817175,Alfen N.V.,2024-08-02,archive
Millennium International Management LP,1.66,NL0010391025,Pharming Group N.V.,2024-08-02,archive
Millennium International Management LP,0.59,NL0013332471,TomTom N.V.,2024-08-02,archive
Qube Research & Technologies Ltd.,2.12,NL0012817175,Alfen N.V.,2024-08-02,archive
Qube Research & Technologies Ltd.,1.61,NL0000888691,AMG Critical Materials N.V.,2024-08-02,archive
SIH Partners LLLP,0.41,BMG3602E1084,Flow Traders Ltd.,2024-08-02,archive
AKO Capital LLP,1.0,NL0000379121,Randstad N.V.,2024-08-01,archive
AKO Capital LLP,1.2,NL0011821392,Signify N.V.,2024-08-01,archive
BlackRock Investment Management (UK) Limited,1.79,NL0011872650,Basic-Fit N.V.,2024-08-01,archive
Citadel Advisors LLC,1.62,NL0012817175,Alfen N.V.,2024-08-01,archive
Citadel Advisors LLC,0.5,NL0013332471,TomTom N.V.,2024-08-01,archive
Marshall Wace LLP,0.67,NL0000009538,Koninklijke Philips N.V.,2024-08-01,archive
"PDT Partners, LLC",1.0,NL0012817175,Alfen N.V.,2024-08-01,archive
Qube Research & Technologies Ltd.,1.63,BMG3602E1084,Flow Traders Ltd.,2024-08-01,archive
"Arrowstreet Capital, Limited Partnership",1.73,NL0012817175,Alfen N.V.,2024-07-31,archive
Capital Fund Management S.A.,0.68,NL0000888691,AMG Critical Materials N.V.,2024-07-31,archive
"Connor, Clark & Lunn Investment Management Ltd.",1.0,NL0012817175,Alfen N.V.,2024-07-31,archive
"D. E. Shaw & Co., L.P.",0.89,NL0000888691,AMG Critical Materials N.V.,2024-07-31,archive
GSA Capital Partners LLP,0.6,NL0009739416,PostNL N.V.,2024-07-31,archive
Marshall Wace LLP,0.61,NL0000009082,Koninklijke KPN N.V.,2024-07-31,archive
Marshall Wace LLP,0.87,NL0009739416,PostNL N.V.,2024-07-31,archive
Marshall Wace LLP,0.88,NL0013332471,TomTom N.V.,2024-07-31,archive
Millennium Capital Partners LLP,1.6,NL0012817175,Alfen N.V.,2024-07-31,archive
Millennium International Management LP,2.27,NL0012817175,Alfen N.V.,2024-07-31,archive
Millennium International Management LP,1.71,NL0010391025,Pharming Group N.V.,2024-07-31,archive
Millennium International Management LP,0.61,NL0013332471,TomTom N.V.,2024-07-31,archive
Qube Research & Technologies Ltd.,1.56,BMG3602E1084,Flow Traders Ltd.,2024-07-31,archive
SIH Partners LLLP,0.38,NL0000888691,AMG Critical Materials N.V.,2024-07-31,archive
"Arrowstreet Capital, Limited Partnership",0.59,NL0010558797,OCI N.V.,2024-07-30,archive
Balyasny Asset Management (UK) LLP,0.79,NL0000360618,SBM Offshore N.V.,2024-07-30,archive
GSA Capital Partners LLP,0.59,NL0009739416,PostNL N.V.,2024-07-30,archive
Highbridge Capital Management LLC,1.2,NL0010391025,Pharming Group N.V.,2024-07-30,archive
Marshall Wace LLP,1.2,LU1598757687,ArcelorMittal S.A.,2024-07-30,archive
Qube Research & Technologies Ltd.,2.09,NL0012817175,Alfen N.V.,2024-07-30,archive
Qube Research & Technologies Ltd.,0.92,NL0011872650,Basic-Fit N.V.,2024-07-30,archive
Qube Research & Technologies Ltd.,1.46,BMG3602E1084,Flow Traders Ltd.,2024-07-30,archive
Citadel Securities (Europe) Limited,0.71,NL0012817175,Alfen N.V.,2024-07-29,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.99,NL0012817175,Alfen N.V.,2024-07-29,archive
Millennium International Management LP,2.31,NL0012817175,Alfen N.V.,2024-07-29,archive
Qube Research & Technologies Ltd.,1.36,BMG3602E1084,Flow Traders Ltd.,2024-07-29,archive
SIH Partners LLLP,0.51,BMG3602E1084,Flow Traders Ltd.,2024-07-29,archive
Millennium Capital Partners LLP,1.52,NL0012817175,Alfen N.V.,2024-07-26,archive
Millennium International Management LP,2.21,NL0012817175,Alfen N.V.,2024-07-26,archive
"PDT Partners, LLC",0.59,BMG3602E1084,Flow Traders Ltd.,2024-07-26,archive
Qube Research & Technologies Ltd.,2.17,NL0012817175,Alfen N.V.,2024-07-26,archive
Qube Research & Technologies Ltd.,1.22,BMG3602E1084,Flow Traders Ltd.,2024-07-26,archive
Voleon Capital Management LP,0.46,NL0011872650,Basic-Fit N.V.,2024-07-26,archive
BlackRock Investment Management (UK) Limited,1.87,NL0011872650,Basic-Fit N.V.,2024-07-25,archive
Citadel Securities (Europe) Limited,0.52,NL0012817175,Alfen N.V.,2024-07-25,archive
Citadel Securities (Europe) Limited,0.51,NL0015000CZ2,Ebusco Holding N.V.,2024-07-25,archive
"Connor, Clark & Lunn Investment Management Ltd.",1.0,NL0012817175,Alfen N.V.,2024-07-25,archive
Marshall Wace LLP,2.09,NL0000888691,AMG Critical Materials N.V.,2024-07-25,archive
"AQR Capital Management, LLC",0.5,NL0010801007,IMCD N.V.,2024-07-24,archive
"Arrowstreet Capital, Limited Partnership",1.64,NL0012817175,Alfen N.V.,2024-07-24,archive
"Arrowstreet Capital, Limited Partnership",0.6,NL0010558797,OCI N.V.,2024-07-24,archive
"BlackRock Advisors, LLC",1.01,NL0012817175,Alfen N.V.,2024-07-24,archive
Citadel Advisors LLC,1.52,NL0012817175,Alfen N.V.,2024-07-24,archive
Citadel Securities (Europe) Limited,0.69,NL0012817175,Alfen N.V.,2024-07-24,archive
Marshall Wace LLP,2.16,NL0000888691,AMG Critical Materials N.V.,2024-07-24,archive
Marshall Wace LLP,0.53,NL0000009082,Koninklijke KPN N.V.,2024-07-24,archive
Marshall Wace LLP,0.99,NL0013332471,TomTom N.V.,2024-07-24,archive
Millennium Capital Partners LLP,1.44,NL0012817175,Alfen N.V.,2024-07-24,archive
Voleon Capital Management LP,1.11,NL00150002Q7,Vivoryon Therapeutics N.V.,2024-07-24,archive
"Arrowstreet Capital, Limited Partnership",1.55,NL0012817175,Alfen N.V.,2024-07-23,archive
BlackRock Investment Management (UK) Limited,1.93,NL0011872650,Basic-Fit N.V.,2024-07-23,archive
Citadel Advisors LLC,1.61,NL0012817175,Alfen N.V.,2024-07-23,archive
GSA Capital Partners LLP,0.6,NL0009739416,PostNL N.V.,2024-07-23,archive
Millennium Capital Partners LLP,1.33,NL0012817175,Alfen N.V.,2024-07-23,archive
Millennium International Management LP,2.16,NL0012817175,Alfen N.V.,2024-07-23,archive
ShadowFall Capital & Research LLP,0.42,NL0011872650,Basic-Fit N.V.,2024-07-23,archive
Citadel Advisors LLC,1.56,NL0012817175,Alfen N.V.,2024-07-22,archive
Citadel Securities (Europe) Limited,0.2,NL00150002Q7,Vivoryon Therapeutics N.V.,2024-07-22,archive
Marshall Wace LLP,0.99,NL0009739416,PostNL N.V.,2024-07-22,archive
Millennium Capital Partners LLP,1.24,NL0012817175,Alfen N.V.,2024-07-22,archive
"PDT Partners, LLC",0.91,NL0012817175,Alfen N.V.,2024-07-22,archive
Qube Research & Technologies Ltd.,0.99,NL0009739416,PostNL N.V.,2024-07-22,archive
Canada Pension Plan Investment Board,0.6,NL0012866412,BE Semiconductor Industries N.V.,2024-07-19,archive
Capital Fund Management S.A.,0.73,NL0000888691,AMG Critical Materials N.V.,2024-07-19,archive
Citadel Advisors LLC,0.48,NL0013332471,TomTom N.V.,2024-07-19,archive
Citadel Securities (Europe) Limited,0.73,NL0012817175,Alfen N.V.,2024-07-19,archive
Citadel Securities (Europe) Limited,0.49,NL0013332471,TomTom N.V.,2024-07-19,archive
Marshall Wace LLP,2.2,NL0000888691,AMG Critical Materials N.V.,2024-07-19,archive
Millennium International Management LP,1.61,NL0010391025,Pharming Group N.V.,2024-07-19,archive
Qube Research & Technologies Ltd.,1.5,NL0000888691,AMG Critical Materials N.V.,2024-07-19,archive
Voleon Capital Management LP,1.0,NL00150002Q7,Vivoryon Therapeutics N.V.,2024-07-19,archive
BlackRock Investment Management (UK) Limited,2.06,NL0011872650,Basic-Fit N.V.,2024-07-18,archive
Canada Pension Plan Investment Board,0.51,NL0012866412,BE Semiconductor Industries N.V.,2024-07-18,archive
Citadel Advisors LLC,1.62,NL0012817175,Alfen N.V.,2024-07-18,archive
Citadel Securities (Europe) Limited,0.6,NL00150002Q7,Vivoryon Therapeutics N.V.,2024-07-18,archive
GSA Capital Partners LLP,0.59,NL0009739416,PostNL N.V.,2024-07-18,archive
Marshall Wace LLP,1.09,NL0013332471,TomTom N.V.,2024-07-18,archive
Millennium Capital Partners LLP,1.12,NL0012817175,Alfen N.V.,2024-07-18,archive
Millennium International Management LP,1.59,NL0010391025,Pharming Group N.V.,2024-07-18,archive
"PDT Partners, LLC",0.86,NL0012817175,Alfen N.V.,2024-07-18,archive
Qube Research & Technologies Ltd.,2.23,NL0012817175,Alfen N.V.,2024-07-18,archive
"AQR Capital Management, LLC",0.49,NL0010801007,IMCD N.V.,2024-07-17,archive
Citadel Advisors LLC,1.51,NL0012817175,Alfen N.V.,2024-07-17,archive
Citadel Advisors LLC,0.44,LU1598757687,ArcelorMittal S.A.,2024-07-17,archive
Citadel Securities (Europe) Limited,0.63,NL0012817175,Alfen N.V.,2024-07-17,archive
Citadel Securities (Europe) Limited,0.5,NL0013332471,TomTom N.V.,2024-07-17,archive
Marshall Wace LLP,2.11,NL0000888691,AMG Critical Materials N.V.,2024-07-17,archive
Marshall Wace LLP,0.7,NL0000009538,Koninklijke Philips N.V.,2024-07-17,archive
Millennium Capital Partners LLP,1.03,NL0012817175,Alfen N.V.,2024-07-17,archive
Millennium International Management LP,0.48,NL0010801007,IMCD N.V.,2024-07-17,archive
Qube Research & Technologies Ltd.,2.17,NL0012817175,Alfen N.V.,2024-07-17,archive
Qube Research & Technologies Ltd.,1.09,NL0009739416,PostNL N.V.,2024-07-17,archive
Walleye Capital LLC,0.46,NL0012817175,Alfen N.V.,2024-07-17,archive
Whitebox Advisors LLC,0.97,NL0012747059,CM.com N.V.,2024-07-17,archive
Citadel Advisors LLC,1.64,NL0012817175,Alfen N.V.,2024-07-16,archive
Citadel Securities (Europe) Limited,0.77,NL00150002Q7,Vivoryon Therapeutics N.V.,2024-07-16,archive
"D. E. Shaw & Co., L.P.",0.92,NL0000888691,AMG Critical Materials N.V.,2024-07-16,archive
Marshall Wace LLP,1.09,NL0009739416,PostNL N.V.,2024-07-16,archive
"Point72 Europe (London), LLP",0.45,NL0011821392,Signify N.V.,2024-07-16,archive
Qube Research & Technologies Ltd.,2.23,NL0012817175,Alfen N.V.,2024-07-16,archive
Qube Research & Technologies Ltd.,1.41,NL0000888691,AMG Critical Materials N.V.,2024-07-16,archive
Qube Research & Technologies Ltd.,0.81,NL0011872650,Basic-Fit N.V.,2024-07-16,archive
Voleon Capital Management LP,0.92,NL00150002Q7,Vivoryon Therapeutics N.V.,2024-07-16,archive
Walleye Capital LLC,0.51,NL0012817175,Alfen N.V.,2024-07-16,archive
BlackRock Investment Management (UK) Limited,1.03,NL0011821392,Signify N.V.,2024-07-15,archive
Capital Fund Management S.A.,0.62,NL0000888691,AMG Critical Materials N.V.,2024-07-15,archive
Citadel Advisors LLC,1.55,NL0012817175,Alfen N.V.,2024-07-15,archive
Citadel Advisors LLC,0.53,LU1598757687,ArcelorMittal S.A.,2024-07-15,archive
Citadel Advisors LLC,0.52,NL0013332471,TomTom N.V.,2024-07-15,archive
Citadel Securities (Europe) Limited,0.54,NL0012817175,Alfen N.V.,2024-07-15,archive
"Cubist Systematic Strategies, LLC",0.49,NL0012817175,Alfen N.V.,2024-07-15,archive
Millennium International Management LP,0.58,NL0010801007,IMCD N.V.,2024-07-15,archive
Millennium International Management LP,1.67,NL0010391025,Pharming Group N.V.,2024-07-15,archive
"PDT Partners, LLC",0.93,NL0012817175,Alfen N.V.,2024-07-15,archive
"Point72 Europe (London), LLP",0.53,NL0011821392,Signify N.V.,2024-07-15,archive
Qube Research & Technologies Ltd.,2.14,NL0012817175,Alfen N.V.,2024-07-15,archive
Qube Research & Technologies Ltd.,1.37,NL0000888691,AMG Critical Materials N.V.,2024-07-15,archive
SIH Partners LLLP,0.5,NL0000888691,AMG Critical Materials N.V.,2024-07-15,archive
Voleon Capital Management LP,0.83,NL00150002Q7,Vivoryon Therapeutics N.V.,2024-07-15,archive
Walleye Capital LLC,0.49,NL0012817175,Alfen N.V.,2024-07-15,archive
BlackRock Investment Management (UK) Limited,0.96,NL0011821392,Signify N.V.,2024-07-12,archive
Citadel Securities (Europe) Limited,0.51,NL00150002Q7,Vivoryon Therapeutics N.V.,2024-07-12,archive
GSA Capital Partners LLP,0.6,NL0009739416,PostNL N.V.,2024-07-12,archive
Millennium Capital Partners LLP,0.92,NL0012817175,Alfen N.V.,2024-07-12,archive
Voleon Capital Management LP,0.74,NL00150002Q7,Vivoryon Therapeutics N.V.,2024-07-12,archive
Capital Fund Management S.A.,0.58,NL0000888691,AMG Critical Materials N.V.,2024-07-11,archive
Citadel Advisors LLC,0.64,LU1598757687,ArcelorMittal S.A.,2024-07-11,archive
Citadel Advisors LLC,0.48,NL0009432491,Koninklijke Vopak N.V.,2024-07-11,archive
Marshall Wace LLP,2.0,NL0000888691,AMG Critical Materials N.V.,2024-07-11,archive
Marshall Wace LLP,0.6,NL0000009538,Koninklijke Philips N.V.,2024-07-11,archive
Millennium International Management LP,2.01,NL0012817175,Alfen N.V.,2024-07-11,archive
Millennium International Management LP,0.52,NL0013332471,TomTom N.V.,2024-07-11,archive
Qube Research & Technologies Ltd.,2.07,NL0012817175,Alfen N.V.,2024-07-11,archive
Qube Research & Technologies Ltd.,0.89,BMG3602E1084,Flow Traders Ltd.,2024-07-11,archive
Walleye Capital LLC,0.52,NL0012817175,Alfen N.V.,2024-07-11,archive
Citadel Securities (Europe) Limited,0.46,NL0012817175,Alfen N.V.,2024-07-10,archive
"D. E. Shaw & Co., L.P.",0.87,NL0000888691,AMG Critical Materials N.V.,2024-07-10,archive
Millennium International Management LP,1.92,NL0012817175,Alfen N.V.,2024-07-10,archive
Qube Research & Technologies Ltd.,2.15,NL0012817175,Alfen N.V.,2024-07-10,archive
Capital Fund Management S.A.,0.6,NL0000888691,AMG Critical Materials N.V.,2024-07-09,archive
Citadel Advisors LLC,1.46,NL0012817175,Alfen N.V.,2024-07-09,archive
"D. E. Shaw & Co., L.P.",0.9,NL0000888691,AMG Critical Materials N.V.,2024-07-09,archive
Millennium International Management LP,1.88,NL0012817175,Alfen N.V.,2024-07-09,archive
Qube Research & Technologies Ltd.,0.91,BMG3602E1084,Flow Traders Ltd.,2024-07-09,archive
Walleye Capital LLC,0.65,NL0012817175,Alfen N.V.,2024-07-09,archive
Citadel Securities (Europe) Limited,0.52,NL0012817175,Alfen N.V.,2024-07-08,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.91,NL0012817175,Alfen N.V.,2024-07-08,archive
Millennium Capital Partners LLP,1.05,NL0012817175,Alfen N.V.,2024-07-08,archive
Millennium International Management LP,1.79,NL0010391025,Pharming Group N.V.,2024-07-08,archive
"PDT Partners, LLC",0.81,NL0012817175,Alfen N.V.,2024-07-08,archive
Qube Research & Technologies Ltd.,0.51,NL0010558797,OCI N.V.,2024-07-08,archive
Citadel Advisors LLC,1.32,NL0012817175,Alfen N.V.,2024-07-05,archive
"Cubist Systematic Strategies, LLC",0.51,NL0012817175,Alfen N.V.,2024-07-05,archive
Qube Research & Technologies Ltd.,1.27,NL0000888691,AMG Critical Materials N.V.,2024-07-05,archive
Qube Research & Technologies Ltd.,0.89,BMG3602E1084,Flow Traders Ltd.,2024-07-05,archive
Qube Research & Technologies Ltd.,1.16,NL0009739416,PostNL N.V.,2024-07-05,archive
Walleye Capital LLC,0.72,NL0012817175,Alfen N.V.,2024-07-05,archive
Citadel Advisors LLC,1.24,NL0012817175,Alfen N.V.,2024-07-04,archive
"Cubist Systematic Strategies, LLC",0.48,NL0012817175,Alfen N.V.,2024-07-04,archive
Marshall Wace LLP,1.9,NL0000888691,AMG Critical Materials N.V.,2024-07-04,archive
Marshall Wace LLP,1.12,NL0009739416,PostNL N.V.,2024-07-04,archive
Qube Research & Technologies Ltd.,2.23,NL0012817175,Alfen N.V.,2024-07-04,archive
Qube Research & Technologies Ltd.,1.2,NL0009739416,PostNL N.V.,2024-07-04,archive
Capital Fund Management S.A.,0.55,NL0000888691,AMG Critical Materials N.V.,2024-07-03,archive
Citadel Securities (Europe) Limited,0.36,NL0012817175,Alfen N.V.,2024-07-03,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.82,NL0012817175,Alfen N.V.,2024-07-03,archive
"D. E. Shaw & Co., L.P.",0.89,NL0000888691,AMG Critical Materials N.V.,2024-07-03,archive
JPMorgan Asset Management (UK) Ltd.,0.35,NL0012817175,Alfen N.V.,2024-07-03,archive
Millennium Capital Partners LLP,0.95,NL0012817175,Alfen N.V.,2024-07-03,archive
Millennium International Management LP,1.9,NL0012817175,Alfen N.V.,2024-07-03,archive
Qube Research & Technologies Ltd.,1.16,NL0000888691,AMG Critical Materials N.V.,2024-07-03,archive
Qube Research & Technologies Ltd.,1.12,NL0009739416,PostNL N.V.,2024-07-03,archive
Voleon Capital Management LP,0.48,NL0012817175,Alfen N.V.,2024-07-03,archive
Walleye Capital LLC,0.65,NL0012817175,Alfen N.V.,2024-07-03,archive
"AQR Capital Management, LLC",0.5,NL0011872643,ASR Nederland N.V.,2024-07-02,archive
"BlackRock Financial Management, Inc.",0.51,NL0012817175,Alfen N.V.,2024-07-02,archive
Capital Fund Management S.A.,0.6,NL0000888691,AMG Critical Materials N.V.,2024-07-02,archive
Citadel Advisors LLC,0.77,NL0012817175,Alfen N.V.,2024-07-02,archive
Citadel Securities (Europe) Limited,0.55,NL0012817175,Alfen N.V.,2024-07-02,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.75,NL0012817175,Alfen N.V.,2024-07-02,archive
JPMorgan Asset Management (UK) Ltd.,0.68,NL0012817175,Alfen N.V.,2024-07-02,archive
Qube Research & Technologies Ltd.,1.99,NL0012817175,Alfen N.V.,2024-07-02,archive
Qube Research & Technologies Ltd.,1.2,NL0000888691,AMG Critical Materials N.V.,2024-07-02,archive
Voleon Capital Management LP,0.61,NL00150002Q7,Vivoryon Therapeutics N.V.,2024-07-02,archive
Citadel Advisors LLC,1.02,NL0012817175,Alfen N.V.,2024-07-01,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.66,NL0012817175,Alfen N.V.,2024-07-01,archive
Marshall Wace LLP,1.81,NL0000888691,AMG Critical Materials N.V.,2024-07-01,archive
Millennium Capital Partners LLP,1.03,NL0012817175,Alfen N.V.,2024-07-01,archive
Millennium International Management LP,1.86,NL0012817175,Alfen N.V.,2024-07-01,archive
Millennium International Management LP,1.82,NL0010391025,Pharming Group N.V.,2024-07-01,archive
Qube Research & Technologies Ltd.,2.01,NL0012817175,Alfen N.V.,2024-07-01,archive
Qube Research & Technologies Ltd.,1.16,NL0000888691,AMG Critical Materials N.V.,2024-07-01,archive
Systematica Investments Limited,0.49,NL0012817175,Alfen N.V.,2024-07-01,archive
"AQR Capital Management, LLC",0.58,NL0010801007,IMCD N.V.,2024-06-28,archive
Capital Fund Management S.A.,0.59,NL0000888691,AMG Critical Materials N.V.,2024-06-28,archive
"Cubist Systematic Strategies, LLC",0.51,NL0012817175,Alfen N.V.,2024-06-28,archive
"D. E. Shaw & Co., L.P.",0.46,NL0012817175,Alfen N.V.,2024-06-28,archive
Greenvale Capital LLP,0.47,NL0000009538,Koninklijke Philips N.V.,2024-06-28,archive
GSA Capital Partners LLP,0.5,NL0009739416,PostNL N.V.,2024-06-28,archive
Marshall Wace LLP,1.01,NL0009739416,PostNL N.V.,2024-06-28,archive
Millennium International Management LP,2.03,NL0012817175,Alfen N.V.,2024-06-28,archive
Millennium International Management LP,1.72,NL0010391025,Pharming Group N.V.,2024-06-28,archive
Qube Research & Technologies Ltd.,2.22,NL0012817175,Alfen N.V.,2024-06-28,archive
Qube Research & Technologies Ltd.,0.7,NL0011872650,Basic-Fit N.V.,2024-06-28,archive
Voleon Capital Management LP,0.56,NL0012817175,Alfen N.V.,2024-06-28,archive
Voleon Capital Management LP,0.57,NL00150002Q7,Vivoryon Therapeutics N.V.,2024-06-28,archive
BlackRock Investment Management (UK) Limited,2.19,NL0011872650,Basic-Fit N.V.,2024-06-27,archive
Capital Fund Management S.A.,0.6,NL0000888691,AMG Critical Materials N.V.,2024-06-27,archive
Citadel Advisors LLC,1.27,NL0012817175,Alfen N.V.,2024-06-27,archive
Citadel Advisors LLC,0.5,NL0009432491,Koninklijke Vopak N.V.,2024-06-27,archive
Citadel Securities (Europe) Limited,0.84,NL0012817175,Alfen N.V.,2024-06-27,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.56,NL0012817175,Alfen N.V.,2024-06-27,archive
"D. E. Shaw & Co., L.P.",0.5,NL0012817175,Alfen N.V.,2024-06-27,archive
"D. E. Shaw & Co., L.P.",0.96,NL0000888691,AMG Critical Materials N.V.,2024-06-27,archive
Franklin Templeton Investment Management Limited,0.63,NL0013332471,TomTom N.V.,2024-06-27,archive
Millennium International Management LP,2.13,NL0012817175,Alfen N.V.,2024-06-27,archive
Millennium International Management LP,0.6,NL0010801007,IMCD N.V.,2024-06-27,archive
"PDT Partners, LLC",0.75,NL0012817175,Alfen N.V.,2024-06-27,archive
"Point72 Europe (London), LLP",0.63,NL0011821392,Signify N.V.,2024-06-27,archive
Qube Research & Technologies Ltd.,2.63,NL0012817175,Alfen N.V.,2024-06-27,archive
Qube Research & Technologies Ltd.,0.47,NL0015000CZ2,Ebusco Holding N.V.,2024-06-27,archive
Qube Research & Technologies Ltd.,0.49,NL0010558797,OCI N.V.,2024-06-27,archive
Qube Research & Technologies Ltd.,0.92,NL0009739416,PostNL N.V.,2024-06-27,archive
BlackRock Investment Management (UK) Limited,2.21,NL0011872650,Basic-Fit N.V.,2024-06-26,archive
Citadel Advisors LLC,1.7,NL0012817175,Alfen N.V.,2024-06-26,archive
Citadel Advisors LLC,0.54,LU1598757687,ArcelorMittal S.A.,2024-06-26,archive
"D. E. Shaw & Co., L.P.",0.89,NL0000888691,AMG Critical Materials N.V.,2024-06-26,archive
Marshall Wace LLP,0.0,NL0012817175,Alfen N.V.,2024-06-26,archive
Marshall Wace LLP,1.71,NL0000888691,AMG Critical Materials N.V.,2024-06-26,archive
Marshall Wace LLP,1.1,LU1598757687,ArcelorMittal S.A.,2024-06-26,archive
Millennium Capital Partners LLP,0.92,NL0012817175,Alfen N.V.,2024-06-26,archive
Millennium International Management LP,2.29,NL0012817175,Alfen N.V.,2024-06-26,archive
"PDT Partners, LLC",1.09,NL0012817175,Alfen N.V.,2024-06-26,archive
"Point72 Europe (London), LLP",0.59,NL0011821392,Signify N.V.,2024-06-26,archive
Qube Research & Technologies Ltd.,3.25,NL0012817175,Alfen N.V.,2024-06-26,archive
Qube Research & Technologies Ltd.,1.23,NL0000888691,AMG Critical Materials N.V.,2024-06-26,archive
Qube Research & Technologies Ltd.,0.51,NL0015000CZ2,Ebusco Holding N.V.,2024-06-26,archive
"Arrowstreet Capital, Limited Partnership",1.49,BE0003818359,Galapagos NV,2024-06-25,archive
Citadel Advisors LLC,0.67,NL0012817175,Alfen N.V.,2024-06-25,archive
Citadel Securities (Europe) Limited,0.49,NL0010391025,Pharming Group N.V.,2024-06-25,archive
"D. E. Shaw & Co., L.P.",0.91,NL0000888691,AMG Critical Materials N.V.,2024-06-25,archive
Marshall Wace LLP,1.09,LU1598757687,ArcelorMittal S.A.,2024-06-25,archive
Millennium International Management LP,1.62,NL0010391025,Pharming Group N.V.,2024-06-25,archive
Qube Research & Technologies Ltd.,2.13,NL0012817175,Alfen N.V.,2024-06-25,archive
Qube Research & Technologies Ltd.,0.61,NL0015000CZ2,Ebusco Holding N.V.,2024-06-25,archive
"D. E. Shaw & Co., L.P.",0.89,NL0000888691,AMG Critical Materials N.V.,2024-06-24,archive
Marshall Wace LLP,0.48,NL0011872643,ASR Nederland N.V.,2024-06-24,archive
Qube Research & Technologies Ltd.,2.08,NL0012817175,Alfen N.V.,2024-06-24,archive
Qube Research & Technologies Ltd.,0.69,NL0011872650,Basic-Fit N.V.,2024-06-24,archive
Qube Research & Technologies Ltd.,0.81,NL0009739416,PostNL N.V.,2024-06-24,archive
Balyasny Asset Management (UK) LLP,0.98,NL00150003E1,Fugro N.V.,2024-06-21,archive
BlackRock Investment Management (UK) Limited,2.34,NL0011872650,Basic-Fit N.V.,2024-06-21,archive
Millennium Capital Partners LLP,0.87,NL0012817175,Alfen N.V.,2024-06-21,archive
Millennium International Management LP,1.95,NL0012817175,Alfen N.V.,2024-06-21,archive
Millennium International Management LP,0.45,NL00150002Q7,Vivoryon Therapeutics N.V.,2024-06-21,archive
Qube Research & Technologies Ltd.,1.1,NL0000888691,AMG Critical Materials N.V.,2024-06-21,archive
Balyasny Asset Management (UK) LLP,0.84,NL00150003E1,Fugro N.V.,2024-06-20,archive
Citadel Advisors LLC,0.76,NL0012817175,Alfen N.V.,2024-06-20,archive
Marshall Wace LLP,1.62,NL0000888691,AMG Critical Materials N.V.,2024-06-20,archive
Millennium Capital Partners LLP,0.9,NL0012817175,Alfen N.V.,2024-06-20,archive
Qube Research & Technologies Ltd.,1.01,NL0000888691,AMG Critical Materials N.V.,2024-06-20,archive
"BlackRock Advisors, LLC",0.69,NL0000888691,AMG Critical Materials N.V.,2024-06-19,archive
Marshall Wace LLP,1.1,LU1598757687,ArcelorMittal S.A.,2024-06-19,archive
