position_holder,position_date,issuer_name,net_short_position,isin,source
"AQR Capital Management, LLC",2026-07-14,Akzo Nobel N.V.,0.78,NL0013267909,current
Citadel Advisors LLC,2026-07-14,DSM-Firmenich AG,0.8,CH1216478797,current
Citadel Securities (Europe) Limited,2026-07-14,Alfen N.V.,0.62,NL0012817175,current
Davidson Kempner Capital Management LP,2026-07-14,Akzo Nobel N.V.,1.4,NL0013267909,current
Marshall Wace LLP,2026-07-14,PostNL N.V.,0.78,NL0009739416,current
Marshall Wace LLP,2026-07-14,Signify N.V.,0.82,NL0011821392,current
Marshall Wace LLP,2026-07-14,The Magnum Ice Cream Company N.V.,0.79,NL0015002MS2,current
Squarepoint Ops LLC,2026-07-14,Signify N.V.,0.89,NL0011821392,current
Lazard Asset Management LLC,2026-07-13,Pharming Group N.V.,0.73,NL0010391025,current
Citadel Advisors LLC,2026-07-10,Signify N.V.,1.05,NL0011821392,current
Citadel Advisors LLC,2026-07-10,Wereldhave N.V.,1.09,NL0000289213,current
Marshall Wace LLP,2026-07-10,Signify N.V.,0.98,NL0011821392,current
Squarepoint Ops LLC,2026-07-10,Signify N.V.,0.91,NL0011821392,current
Citadel Advisors LLC,2026-07-09,DSM-Firmenich AG,0.72,CH1216478797,current
Citadel Advisors LLC,2026-07-09,Wereldhave N.V.,1.1,NL0000289213,current
Citadel Securities (Europe) Limited,2026-07-09,Alfen N.V.,0.52,NL0012817175,current
JPMorgan Asset Management (UK) Ltd.,2026-07-09,Fugro N.V.,1.97,NL00150003E1,current
Marshall Wace LLP,2026-07-09,Signify N.V.,1.06,NL0011821392,current
Marshall Wace LLP,2026-07-09,The Magnum Ice Cream Company N.V.,0.84,NL0015002MS2,current
Numeric Investors LLC,2026-07-09,NSI N.V.,0.91,NL0012365084,current
Qube Research & Technologies Ltd.,2026-07-09,CSG N.V.,0.8,NL0015073TS8,current
Qube Research & Technologies Ltd.,2026-07-09,The Magnum Ice Cream Company N.V.,0.68,NL0015002MS2,current
"WorldQuant, LLC",2026-07-09,Alfen N.V.,1.02,NL0012817175,current
"AQR Capital Management, LLC",2026-07-08,Adyen N.V.,0.67,NL0012969182,current
"AQR Capital Management, LLC",2026-07-08,ARCADIS N.V.,0.79,NL0006237562,current
Capital Fund Management S.A.,2026-07-08,The Magnum Ice Cream Company N.V.,0.6,NL0015002MS2,current
Citadel Advisors LLC,2026-07-08,DSM-Firmenich AG,0.69,CH1216478797,current
Citadel Advisors LLC,2026-07-08,Signify N.V.,1.16,NL0011821392,current
Citadel Securities (Europe) Limited,2026-07-08,Alfen N.V.,0.62,NL0012817175,current
Marshall Wace LLP,2026-07-08,NSI N.V.,0.51,NL0012365084,current
"WorldQuant, LLC",2026-07-08,Alfen N.V.,0.99,NL0012817175,current
Actus Ray Partners Limited,2026-07-07,Fugro N.V.,0.61,NL00150003E1,current
Capital Fund Management S.A.,2026-07-07,The Magnum Ice Cream Company N.V.,0.59,NL0015002MS2,current
"BlackRock Financial Management, Inc.",2026-07-06,Signify N.V.,0.69,NL0011821392,current
Capital Fund Management S.A.,2026-07-06,The Magnum Ice Cream Company N.V.,0.6,NL0015002MS2,current
Citadel Advisors LLC,2026-07-06,DSM-Firmenich AG,0.77,CH1216478797,current
Citadel Securities (Europe) Limited,2026-07-06,Alfen N.V.,0.52,NL0012817175,current
JPMorgan Asset Management (UK) Ltd.,2026-07-06,Fugro N.V.,2.08,NL00150003E1,current
Marshall Wace LLP,2026-07-06,DSM-Firmenich AG,1.0,CH1216478797,current
Marshall Wace LLP,2026-07-06,Signify N.V.,1.17,NL0011821392,current
Marshall Wace LLP,2026-07-06,The Magnum Ice Cream Company N.V.,0.96,NL0015002MS2,current
Winton Capital Management Limited,2026-07-06,PostNL N.V.,0.59,NL0009739416,current
"D. E. Shaw & Co. (London), LLP",2026-07-03,Pharming Group N.V.,0.5,NL0010391025,current
"D. E. Shaw & Co., L.P.",2026-07-03,Basic-Fit N.V.,0.69,NL0011872650,current
JPMorgan Asset Management (UK) Ltd.,2026-07-03,Sligro Food Group N.V.,0.67,NL0000817179,current
Marshall Wace LLP,2026-07-03,DSM-Firmenich AG,0.99,CH1216478797,current
"BlackRock Advisors, LLC",2026-07-02,Akzo Nobel N.V.,0.92,NL0013267909,current
"BlackRock Financial Management, Inc.",2026-07-02,Signify N.V.,0.7,NL0011821392,current
Marshall Wace LLP,2026-07-02,Signify N.V.,1.27,NL0011821392,current
Actus Ray Partners Limited,2026-07-01,Fugro N.V.,0.5,NL00150003E1,current
"BlackRock Advisors, LLC",2026-07-01,Akzo Nobel N.V.,0.85,NL0013267909,current
Citadel Advisors LLC,2026-07-01,DSM-Firmenich AG,0.88,CH1216478797,current
Eleva Capital SAS,2026-07-01,Signify N.V.,1.38,NL0011821392,current
Fosse Capital Partners LLP,2026-07-01,Basic-Fit N.V.,0.83,NL0011872650,current
Marshall Wace LLP,2026-07-01,DSM-Firmenich AG,1.0,CH1216478797,current
Marshall Wace LLP,2026-07-01,Signify N.V.,1.37,NL0011821392,current
Millennium International Management LP,2026-07-01,Akzo Nobel N.V.,0.72,NL0013267909,current
"O'Connor Alternative Investments, LLC",2026-07-01,Akzo Nobel N.V.,1.09,NL0013267909,current
"AQR Capital Management, LLC",2026-06-30,Adyen N.V.,0.79,NL0012969182,current
"AQR Capital Management, LLC",2026-06-30,Signify N.V.,1.09,NL0011821392,current
"BlackRock Financial Management, Inc.",2026-06-30,Signify N.V.,0.69,NL0011821392,current
Caisse de dépôt et placement du Québec,2026-06-30,IMCD N.V.,0.72,NL0010801007,current
Citadel Advisors LLC,2026-06-30,Signify N.V.,1.25,NL0011821392,current
Citadel Securities (Europe) Limited,2026-06-30,Avantium N.V.,0.75,NL0015002IE0,current
JPMorgan Asset Management (UK) Ltd.,2026-06-30,Fugro N.V.,2.16,NL00150003E1,current
Marshall Wace LLP,2026-06-30,Signify N.V.,1.47,NL0011821392,current
"WorldQuant, LLC",2026-06-30,Alfen N.V.,1.01,NL0012817175,current
"BlackRock Institutional Trust Company, National Association",2026-06-29,Signify N.V.,0.6,NL0011821392,current
Capital Fund Management S.A.,2026-06-29,IMCD N.V.,1.0,NL0010801007,current
Ilex Capital Partners (UK) LLP,2026-06-29,DSM-Firmenich AG,2.01,CH1216478797,current
Marshall Wace LLP,2026-06-29,Signify N.V.,1.58,NL0011821392,current
Qube Research & Technologies Ltd.,2026-06-29,CSG N.V.,0.7,NL0015073TS8,current
"WorldQuant, LLC",2026-06-29,Alfen N.V.,0.92,NL0012817175,current
Capital Fund Management S.A.,2026-06-26,IMCD N.V.,0.99,NL0010801007,current
Citadel Advisors LLC,2026-06-26,Wereldhave N.V.,1.09,NL0000289213,current
Marshall Wace LLP,2026-06-26,DSM-Firmenich AG,0.99,CH1216478797,current
Walleye Capital LLC,2026-06-26,Pharming Group N.V.,1.09,NL0010391025,current
Citadel Advisors LLC,2026-06-25,Signify N.V.,1.33,NL0011821392,current
"Farallon Capital Management, L.L.C.",2026-06-25,Signify N.V.,1.2,NL0011821392,current
Marshall Wace LLP,2026-06-25,DSM-Firmenich AG,1.0,CH1216478797,current
Marshall Wace LLP,2026-06-25,Signify N.V.,1.65,NL0011821392,current
"WorldQuant, LLC",2026-06-25,Alfen N.V.,0.88,NL0012817175,current
Citadel Advisors LLC,2026-06-24,Sligro Food Group N.V.,0.79,NL0000817179,current
Citadel Securities (Europe) Limited,2026-06-24,Avantium N.V.,0.51,NL0015002IE0,current
"Farallon Capital Management, L.L.C.",2026-06-24,Signify N.V.,1.17,NL0011821392,current
Millennium International Management LP,2026-06-24,Akzo Nobel N.V.,0.6,NL0013267909,current
Squarepoint Ops LLC,2026-06-24,Signify N.V.,0.81,NL0011821392,current
Winton Capital Management Limited,2026-06-24,PostNL N.V.,0.6,NL0009739416,current
Eleva Capital SAS,2026-06-23,Basic-Fit N.V.,0.93,NL0011872650,current
"Farallon Capital Management, L.L.C.",2026-06-23,Signify N.V.,1.04,NL0011821392,current
Marshall Wace LLP,2026-06-23,The Magnum Ice Cream Company N.V.,1.01,NL0015002MS2,current
Sculptor Capital Management Europe Limited,2026-06-23,Basic-Fit N.V.,0.77,NL0011872650,current
Squarepoint Ops LLC,2026-06-23,Signify N.V.,0.79,NL0011821392,current
Citadel Advisors LLC,2026-06-22,Signify N.V.,1.27,NL0011821392,current
Citadel Advisors LLC,2026-06-22,Wereldhave N.V.,1.1,NL0000289213,current
"PDT Partners, LLC",2026-06-22,IMCD N.V.,0.8,NL0010801007,current
"PDT Partners, LLC",2026-06-22,PostNL N.V.,0.61,NL0009739416,current
"PDT Partners, LLC",2026-06-22,Signify N.V.,1.3,NL0011821392,current
Qube Research & Technologies Ltd.,2026-06-22,CSG N.V.,0.6,NL0015073TS8,current
"Two Sigma Investments, LP",2026-06-22,Pharming Group N.V.,1.1,NL0010391025,current
"WorldQuant, LLC",2026-06-22,Alfen N.V.,0.74,NL0012817175,current
Capital Fund Management S.A.,2026-06-19,IMCD N.V.,1.0,NL0010801007,current
Capstone Volatility Master (Cayman) Limited,2026-06-19,Pharming Group N.V.,0.83,NL0010391025,current
Citadel Advisors LLC,2026-06-19,DSM-Firmenich AG,0.96,CH1216478797,current
Citadel Advisors LLC,2026-06-19,Signify N.V.,1.3,NL0011821392,current
"D. E. Shaw & Co., L.P.",2026-06-19,Basic-Fit N.V.,0.79,NL0011872650,current
Marshall Wace LLP,2026-06-19,DSM-Firmenich AG,0.91,CH1216478797,current
"Point72 Asset Management, L.P.",2026-06-19,Fugro N.V.,0.56,NL00150003E1,current
Qube Research & Technologies Ltd.,2026-06-19,The Magnum Ice Cream Company N.V.,0.79,NL0015002MS2,current
Spark Investment Management LLC,2026-06-19,Pharming Group N.V.,0.52,NL0010391025,current
"WorldQuant, LLC",2026-06-19,Alfen N.V.,0.68,NL0012817175,current
"Farallon Capital Management, L.L.C.",2026-06-18,Signify N.V.,0.85,NL0011821392,current
Marshall Wace LLP,2026-06-18,PostNL N.V.,0.8,NL0009739416,current
"PDT Partners, LLC",2026-06-18,IMCD N.V.,0.79,NL0010801007,current
"WorldQuant, LLC",2026-06-18,Alfen N.V.,0.71,NL0012817175,current
"AQR Capital Management, LLC",2026-06-17,Adyen N.V.,0.89,NL0012969182,current
"Arrowstreet Capital, Limited Partnership",2026-06-17,IMCD N.V.,1.29,NL0010801007,current
"BlackRock Financial Management, Inc.",2026-06-17,Signify N.V.,0.79,NL0011821392,current
Capital Fund Management S.A.,2026-06-17,The Magnum Ice Cream Company N.V.,0.51,NL0015002MS2,current
Citadel Advisors LLC,2026-06-17,Signify N.V.,1.46,NL0011821392,current
Citadel Advisors LLC,2026-06-17,Sligro Food Group N.V.,0.89,NL0000817179,current
"Farallon Capital Management, L.L.C.",2026-06-17,Signify N.V.,0.75,NL0011821392,current
Ilex Capital Partners (UK) LLP,2026-06-17,DSM-Firmenich AG,1.91,CH1216478797,current
Marshall Wace LLP,2026-06-17,Signify N.V.,1.51,NL0011821392,current
Qube Research & Technologies Ltd.,2026-06-17,The Magnum Ice Cream Company N.V.,0.88,NL0015002MS2,current
Davidson Kempner Capital Management LP,2026-06-16,Akzo Nobel N.V.,1.3,NL0013267909,current
"Farallon Capital Management, L.L.C.",2026-06-16,Signify N.V.,0.61,NL0011821392,current
Winton Capital Management Limited,2026-06-16,PostNL N.V.,0.51,NL0009739416,current
"WorldQuant, LLC",2026-06-16,Alfen N.V.,0.63,NL0012817175,current
"Farallon Capital Management, L.L.C.",2026-06-15,Signify N.V.,0.56,NL0011821392,current
Marshall Wace LLP,2026-06-15,The Magnum Ice Cream Company N.V.,0.9,NL0015002MS2,current
Millennium International Management LP,2026-06-15,Akzo Nobel N.V.,0.5,NL0013267909,current
"O'Connor Alternative Investments, LLC",2026-06-15,Akzo Nobel N.V.,1.09,NL0013267909,current
Qube Research & Technologies Ltd.,2026-06-15,The Magnum Ice Cream Company N.V.,0.9,NL0015002MS2,current
"BlackRock Advisors, LLC",2026-06-12,Akzo Nobel N.V.,0.7,NL0013267909,current
Citadel Advisors LLC,2026-06-12,Signify N.V.,1.56,NL0011821392,current
Marshall Wace LLP,2026-06-12,DSM-Firmenich AG,0.88,CH1216478797,current
Marshall Wace LLP,2026-06-12,Signify N.V.,1.48,NL0011821392,current
Linden Advisors LP,2026-06-11,Basic-Fit N.V.,0.75,NL0011872650,current
Marshall Wace LLP,2026-06-11,The Magnum Ice Cream Company N.V.,0.89,NL0015002MS2,current
Qube Research & Technologies Ltd.,2026-06-11,CSG N.V.,0.5,NL0015073TS8,current
Qube Research & Technologies Ltd.,2026-06-11,The Magnum Ice Cream Company N.V.,0.89,NL0015002MS2,current
"WorldQuant, LLC",2026-06-11,Alfen N.V.,0.56,NL0012817175,current
"AQR Capital Management, LLC",2026-06-10,Adyen N.V.,0.99,NL0012969182,current
"AQR Capital Management, LLC",2026-06-10,ARCADIS N.V.,0.89,NL0006237562,current
Citadel Advisors LLC,2026-06-10,Signify N.V.,1.6,NL0011821392,current
Sculptor Capital Management Europe Limited,2026-06-10,Basic-Fit N.V.,0.83,NL0011872650,current
Walleye Capital LLC,2026-06-10,Pharming Group N.V.,1.1,NL0010391025,current
Capital Fund Management S.A.,2026-06-09,IMCD N.V.,0.9,NL0010801007,current
Citadel Advisors LLC,2026-06-09,Signify N.V.,1.59,NL0011821392,current
Citadel Advisors LLC,2026-06-09,Wereldhave N.V.,1.0,NL0000289213,current
LMR Partners LLP,2026-06-09,Akzo Nobel N.V.,1.12,NL0013267909,current
Marshall Wace LLP,2026-06-09,The Magnum Ice Cream Company N.V.,0.9,NL0015002MS2,current
"Two Sigma Investments, LP",2026-06-09,Theon International Plc,0.77,CY0200751713,current
Citadel Advisors LLC,2026-06-08,DSM-Firmenich AG,1.01,CH1216478797,current
LMR Partners LLP,2026-06-08,Akzo Nobel N.V.,1.08,NL0013267909,current
