position_holder,position_date,issuer_name,net_short_position,isin,source
Marshall Wace LLP,2024-07-16,PostNL N.V.,1.09,NL0009739416,archive
"Point72 Europe (London), LLP",2024-07-16,Signify N.V.,0.45,NL0011821392,archive
Qube Research & Technologies Ltd.,2024-07-16,Alfen N.V.,2.23,NL0012817175,archive
Qube Research & Technologies Ltd.,2024-07-16,AMG Critical Materials N.V.,1.41,NL0000888691,archive
Qube Research & Technologies Ltd.,2024-07-16,Basic-Fit N.V.,0.81,NL0011872650,archive
Voleon Capital Management LP,2024-07-16,Vivoryon Therapeutics N.V.,0.92,NL00150002Q7,archive
Walleye Capital LLC,2024-07-16,Alfen N.V.,0.51,NL0012817175,archive
BlackRock Investment Management (UK) Limited,2024-07-15,Signify N.V.,1.03,NL0011821392,archive
Capital Fund Management S.A.,2024-07-15,AMG Critical Materials N.V.,0.62,NL0000888691,archive
Citadel Advisors LLC,2024-07-15,Alfen N.V.,1.55,NL0012817175,archive
Citadel Advisors LLC,2024-07-15,ArcelorMittal S.A.,0.53,LU1598757687,archive
Citadel Advisors LLC,2024-07-15,TomTom N.V.,0.52,NL0013332471,archive
Citadel Securities (Europe) Limited,2024-07-15,Alfen N.V.,0.54,NL0012817175,archive
"Cubist Systematic Strategies, LLC",2024-07-15,Alfen N.V.,0.49,NL0012817175,archive
Millennium International Management LP,2024-07-15,IMCD N.V.,0.58,NL0010801007,archive
Millennium International Management LP,2024-07-15,Pharming Group N.V.,1.67,NL0010391025,archive
"PDT Partners, LLC",2024-07-15,Alfen N.V.,0.93,NL0012817175,archive
"Point72 Europe (London), LLP",2024-07-15,Signify N.V.,0.53,NL0011821392,archive
Qube Research & Technologies Ltd.,2024-07-15,Alfen N.V.,2.14,NL0012817175,archive
Qube Research & Technologies Ltd.,2024-07-15,AMG Critical Materials N.V.,1.37,NL0000888691,archive
SIH Partners LLLP,2024-07-15,AMG Critical Materials N.V.,0.5,NL0000888691,archive
Voleon Capital Management LP,2024-07-15,Vivoryon Therapeutics N.V.,0.83,NL00150002Q7,archive
Walleye Capital LLC,2024-07-15,Alfen N.V.,0.49,NL0012817175,archive
BlackRock Investment Management (UK) Limited,2024-07-12,Signify N.V.,0.96,NL0011821392,archive
Citadel Securities (Europe) Limited,2024-07-12,Vivoryon Therapeutics N.V.,0.51,NL00150002Q7,archive
GSA Capital Partners LLP,2024-07-12,PostNL N.V.,0.6,NL0009739416,archive
Millennium Capital Partners LLP,2024-07-12,Alfen N.V.,0.92,NL0012817175,archive
Voleon Capital Management LP,2024-07-12,Vivoryon Therapeutics N.V.,0.74,NL00150002Q7,archive
Capital Fund Management S.A.,2024-07-11,AMG Critical Materials N.V.,0.58,NL0000888691,archive
Citadel Advisors LLC,2024-07-11,ArcelorMittal S.A.,0.64,LU1598757687,archive
Citadel Advisors LLC,2024-07-11,Koninklijke Vopak N.V.,0.48,NL0009432491,archive
Marshall Wace LLP,2024-07-11,AMG Critical Materials N.V.,2.0,NL0000888691,archive
Marshall Wace LLP,2024-07-11,Koninklijke Philips N.V.,0.6,NL0000009538,archive
Millennium International Management LP,2024-07-11,Alfen N.V.,2.01,NL0012817175,archive
Millennium International Management LP,2024-07-11,TomTom N.V.,0.52,NL0013332471,archive
Qube Research & Technologies Ltd.,2024-07-11,Alfen N.V.,2.07,NL0012817175,archive
Qube Research & Technologies Ltd.,2024-07-11,Flow Traders Ltd.,0.89,BMG3602E1084,archive
Walleye Capital LLC,2024-07-11,Alfen N.V.,0.52,NL0012817175,archive
Citadel Securities (Europe) Limited,2024-07-10,Alfen N.V.,0.46,NL0012817175,archive
"D. E. Shaw & Co., L.P.",2024-07-10,AMG Critical Materials N.V.,0.87,NL0000888691,archive
Millennium International Management LP,2024-07-10,Alfen N.V.,1.92,NL0012817175,archive
Qube Research & Technologies Ltd.,2024-07-10,Alfen N.V.,2.15,NL0012817175,archive
Capital Fund Management S.A.,2024-07-09,AMG Critical Materials N.V.,0.6,NL0000888691,archive
Citadel Advisors LLC,2024-07-09,Alfen N.V.,1.46,NL0012817175,archive
"D. E. Shaw & Co., L.P.",2024-07-09,AMG Critical Materials N.V.,0.9,NL0000888691,archive
Millennium International Management LP,2024-07-09,Alfen N.V.,1.88,NL0012817175,archive
Qube Research & Technologies Ltd.,2024-07-09,Flow Traders Ltd.,0.91,BMG3602E1084,archive
Walleye Capital LLC,2024-07-09,Alfen N.V.,0.65,NL0012817175,archive
Citadel Securities (Europe) Limited,2024-07-08,Alfen N.V.,0.52,NL0012817175,archive
"Connor, Clark & Lunn Investment Management Ltd.",2024-07-08,Alfen N.V.,0.91,NL0012817175,archive
Millennium Capital Partners LLP,2024-07-08,Alfen N.V.,1.05,NL0012817175,archive
Millennium International Management LP,2024-07-08,Pharming Group N.V.,1.79,NL0010391025,archive
"PDT Partners, LLC",2024-07-08,Alfen N.V.,0.81,NL0012817175,archive
Qube Research & Technologies Ltd.,2024-07-08,OCI N.V.,0.51,NL0010558797,archive
Citadel Advisors LLC,2024-07-05,Alfen N.V.,1.32,NL0012817175,archive
"Cubist Systematic Strategies, LLC",2024-07-05,Alfen N.V.,0.51,NL0012817175,archive
Qube Research & Technologies Ltd.,2024-07-05,AMG Critical Materials N.V.,1.27,NL0000888691,archive
Qube Research & Technologies Ltd.,2024-07-05,Flow Traders Ltd.,0.89,BMG3602E1084,archive
Qube Research & Technologies Ltd.,2024-07-05,PostNL N.V.,1.16,NL0009739416,archive
Walleye Capital LLC,2024-07-05,Alfen N.V.,0.72,NL0012817175,archive
Citadel Advisors LLC,2024-07-04,Alfen N.V.,1.24,NL0012817175,archive
"Cubist Systematic Strategies, LLC",2024-07-04,Alfen N.V.,0.48,NL0012817175,archive
Marshall Wace LLP,2024-07-04,AMG Critical Materials N.V.,1.9,NL0000888691,archive
Marshall Wace LLP,2024-07-04,PostNL N.V.,1.12,NL0009739416,archive
Qube Research & Technologies Ltd.,2024-07-04,Alfen N.V.,2.23,NL0012817175,archive
Qube Research & Technologies Ltd.,2024-07-04,PostNL N.V.,1.2,NL0009739416,archive
Capital Fund Management S.A.,2024-07-03,AMG Critical Materials N.V.,0.55,NL0000888691,archive
Citadel Securities (Europe) Limited,2024-07-03,Alfen N.V.,0.36,NL0012817175,archive
"Connor, Clark & Lunn Investment Management Ltd.",2024-07-03,Alfen N.V.,0.82,NL0012817175,archive
"D. E. Shaw & Co., L.P.",2024-07-03,AMG Critical Materials N.V.,0.89,NL0000888691,archive
JPMorgan Asset Management (UK) Ltd.,2024-07-03,Alfen N.V.,0.35,NL0012817175,archive
Millennium Capital Partners LLP,2024-07-03,Alfen N.V.,0.95,NL0012817175,archive
Millennium International Management LP,2024-07-03,Alfen N.V.,1.9,NL0012817175,archive
Qube Research & Technologies Ltd.,2024-07-03,AMG Critical Materials N.V.,1.16,NL0000888691,archive
Qube Research & Technologies Ltd.,2024-07-03,PostNL N.V.,1.12,NL0009739416,archive
Voleon Capital Management LP,2024-07-03,Alfen N.V.,0.48,NL0012817175,archive
Walleye Capital LLC,2024-07-03,Alfen N.V.,0.65,NL0012817175,archive
"AQR Capital Management, LLC",2024-07-02,ASR Nederland N.V.,0.5,NL0011872643,archive
"BlackRock Financial Management, Inc.",2024-07-02,Alfen N.V.,0.51,NL0012817175,archive
Capital Fund Management S.A.,2024-07-02,AMG Critical Materials N.V.,0.6,NL0000888691,archive
Citadel Advisors LLC,2024-07-02,Alfen N.V.,0.77,NL0012817175,archive
Citadel Securities (Europe) Limited,2024-07-02,Alfen N.V.,0.55,NL0012817175,archive
"Connor, Clark & Lunn Investment Management Ltd.",2024-07-02,Alfen N.V.,0.75,NL0012817175,archive
JPMorgan Asset Management (UK) Ltd.,2024-07-02,Alfen N.V.,0.68,NL0012817175,archive
Qube Research & Technologies Ltd.,2024-07-02,Alfen N.V.,1.99,NL0012817175,archive
Qube Research & Technologies Ltd.,2024-07-02,AMG Critical Materials N.V.,1.2,NL0000888691,archive
Voleon Capital Management LP,2024-07-02,Vivoryon Therapeutics N.V.,0.61,NL00150002Q7,archive
Citadel Advisors LLC,2024-07-01,Alfen N.V.,1.02,NL0012817175,archive
"Connor, Clark & Lunn Investment Management Ltd.",2024-07-01,Alfen N.V.,0.66,NL0012817175,archive
Marshall Wace LLP,2024-07-01,AMG Critical Materials N.V.,1.81,NL0000888691,archive
Millennium Capital Partners LLP,2024-07-01,Alfen N.V.,1.03,NL0012817175,archive
Millennium International Management LP,2024-07-01,Alfen N.V.,1.86,NL0012817175,archive
Millennium International Management LP,2024-07-01,Pharming Group N.V.,1.82,NL0010391025,archive
Qube Research & Technologies Ltd.,2024-07-01,Alfen N.V.,2.01,NL0012817175,archive
Qube Research & Technologies Ltd.,2024-07-01,AMG Critical Materials N.V.,1.16,NL0000888691,archive
Systematica Investments Limited,2024-07-01,Alfen N.V.,0.49,NL0012817175,archive
"AQR Capital Management, LLC",2024-06-28,IMCD N.V.,0.58,NL0010801007,archive
Capital Fund Management S.A.,2024-06-28,AMG Critical Materials N.V.,0.59,NL0000888691,archive
"Cubist Systematic Strategies, LLC",2024-06-28,Alfen N.V.,0.51,NL0012817175,archive
"D. E. Shaw & Co., L.P.",2024-06-28,Alfen N.V.,0.46,NL0012817175,archive
Greenvale Capital LLP,2024-06-28,Koninklijke Philips N.V.,0.47,NL0000009538,archive
GSA Capital Partners LLP,2024-06-28,PostNL N.V.,0.5,NL0009739416,archive
Marshall Wace LLP,2024-06-28,PostNL N.V.,1.01,NL0009739416,archive
Millennium International Management LP,2024-06-28,Alfen N.V.,2.03,NL0012817175,archive
Millennium International Management LP,2024-06-28,Pharming Group N.V.,1.72,NL0010391025,archive
Qube Research & Technologies Ltd.,2024-06-28,Alfen N.V.,2.22,NL0012817175,archive
Qube Research & Technologies Ltd.,2024-06-28,Basic-Fit N.V.,0.7,NL0011872650,archive
Voleon Capital Management LP,2024-06-28,Alfen N.V.,0.56,NL0012817175,archive
Voleon Capital Management LP,2024-06-28,Vivoryon Therapeutics N.V.,0.57,NL00150002Q7,archive
BlackRock Investment Management (UK) Limited,2024-06-27,Basic-Fit N.V.,2.19,NL0011872650,archive
Capital Fund Management S.A.,2024-06-27,AMG Critical Materials N.V.,0.6,NL0000888691,archive
Citadel Advisors LLC,2024-06-27,Alfen N.V.,1.27,NL0012817175,archive
Citadel Advisors LLC,2024-06-27,Koninklijke Vopak N.V.,0.5,NL0009432491,archive
Citadel Securities (Europe) Limited,2024-06-27,Alfen N.V.,0.84,NL0012817175,archive
"Connor, Clark & Lunn Investment Management Ltd.",2024-06-27,Alfen N.V.,0.56,NL0012817175,archive
"D. E. Shaw & Co., L.P.",2024-06-27,Alfen N.V.,0.5,NL0012817175,archive
"D. E. Shaw & Co., L.P.",2024-06-27,AMG Critical Materials N.V.,0.96,NL0000888691,archive
Franklin Templeton Investment Management Limited,2024-06-27,TomTom N.V.,0.63,NL0013332471,archive
Millennium International Management LP,2024-06-27,Alfen N.V.,2.13,NL0012817175,archive
Millennium International Management LP,2024-06-27,IMCD N.V.,0.6,NL0010801007,archive
"PDT Partners, LLC",2024-06-27,Alfen N.V.,0.75,NL0012817175,archive
"Point72 Europe (London), LLP",2024-06-27,Signify N.V.,0.63,NL0011821392,archive
Qube Research & Technologies Ltd.,2024-06-27,Alfen N.V.,2.63,NL0012817175,archive
Qube Research & Technologies Ltd.,2024-06-27,Ebusco Holding N.V.,0.47,NL0015000CZ2,archive
Qube Research & Technologies Ltd.,2024-06-27,OCI N.V.,0.49,NL0010558797,archive
Qube Research & Technologies Ltd.,2024-06-27,PostNL N.V.,0.92,NL0009739416,archive
BlackRock Investment Management (UK) Limited,2024-06-26,Basic-Fit N.V.,2.21,NL0011872650,archive
Citadel Advisors LLC,2024-06-26,Alfen N.V.,1.7,NL0012817175,archive
Citadel Advisors LLC,2024-06-26,ArcelorMittal S.A.,0.54,LU1598757687,archive
"D. E. Shaw & Co., L.P.",2024-06-26,AMG Critical Materials N.V.,0.89,NL0000888691,archive
Marshall Wace LLP,2024-06-26,Alfen N.V.,0.0,NL0012817175,archive
Marshall Wace LLP,2024-06-26,AMG Critical Materials N.V.,1.71,NL0000888691,archive
Marshall Wace LLP,2024-06-26,ArcelorMittal S.A.,1.1,LU1598757687,archive
Millennium Capital Partners LLP,2024-06-26,Alfen N.V.,0.92,NL0012817175,archive
Millennium International Management LP,2024-06-26,Alfen N.V.,2.29,NL0012817175,archive
"PDT Partners, LLC",2024-06-26,Alfen N.V.,1.09,NL0012817175,archive
"Point72 Europe (London), LLP",2024-06-26,Signify N.V.,0.59,NL0011821392,archive
Qube Research & Technologies Ltd.,2024-06-26,Alfen N.V.,3.25,NL0012817175,archive
Qube Research & Technologies Ltd.,2024-06-26,AMG Critical Materials N.V.,1.23,NL0000888691,archive
Qube Research & Technologies Ltd.,2024-06-26,Ebusco Holding N.V.,0.51,NL0015000CZ2,archive
"Arrowstreet Capital, Limited Partnership",2024-06-25,Lakefront Biotherapeutics NV,1.49,BE0003818359,archive
Citadel Advisors LLC,2024-06-25,Alfen N.V.,0.67,NL0012817175,archive
Citadel Securities (Europe) Limited,2024-06-25,Pharming Group N.V.,0.49,NL0010391025,archive
"D. E. Shaw & Co., L.P.",2024-06-25,AMG Critical Materials N.V.,0.91,NL0000888691,archive
Marshall Wace LLP,2024-06-25,ArcelorMittal S.A.,1.09,LU1598757687,archive
Millennium International Management LP,2024-06-25,Pharming Group N.V.,1.62,NL0010391025,archive
Qube Research & Technologies Ltd.,2024-06-25,Alfen N.V.,2.13,NL0012817175,archive
Qube Research & Technologies Ltd.,2024-06-25,Ebusco Holding N.V.,0.61,NL0015000CZ2,archive
AKO Capital LLP,2024-06-24,Akzo Nobel N.V.,1.31,NL0013267909,archive
"D. E. Shaw & Co., L.P.",2024-06-24,AMG Critical Materials N.V.,0.89,NL0000888691,archive
Marshall Wace LLP,2024-06-24,ASR Nederland N.V.,0.48,NL0011872643,archive
Qube Research & Technologies Ltd.,2024-06-24,Alfen N.V.,2.08,NL0012817175,archive
Qube Research & Technologies Ltd.,2024-06-24,Basic-Fit N.V.,0.69,NL0011872650,archive
Qube Research & Technologies Ltd.,2024-06-24,PostNL N.V.,0.81,NL0009739416,archive
Balyasny Asset Management (UK) LLP,2024-06-21,Fugro N.V.,0.98,NL00150003E1,archive
BlackRock Investment Management (UK) Limited,2024-06-21,Basic-Fit N.V.,2.34,NL0011872650,archive
Millennium Capital Partners LLP,2024-06-21,Alfen N.V.,0.87,NL0012817175,archive
Millennium International Management LP,2024-06-21,Alfen N.V.,1.95,NL0012817175,archive
Millennium International Management LP,2024-06-21,Vivoryon Therapeutics N.V.,0.45,NL00150002Q7,archive
Qube Research & Technologies Ltd.,2024-06-21,AMG Critical Materials N.V.,1.1,NL0000888691,archive
Balyasny Asset Management (UK) LLP,2024-06-20,Fugro N.V.,0.84,NL00150003E1,archive
Citadel Advisors LLC,2024-06-20,Alfen N.V.,0.76,NL0012817175,archive
Marshall Wace LLP,2024-06-20,AMG Critical Materials N.V.,1.62,NL0000888691,archive
Millennium Capital Partners LLP,2024-06-20,Alfen N.V.,0.9,NL0012817175,archive
Qube Research & Technologies Ltd.,2024-06-20,AMG Critical Materials N.V.,1.01,NL0000888691,archive
"BlackRock Advisors, LLC",2024-06-19,AMG Critical Materials N.V.,0.69,NL0000888691,archive
Marshall Wace LLP,2024-06-19,ArcelorMittal S.A.,1.1,LU1598757687,archive
Millennium International Management LP,2024-06-19,Alfen N.V.,1.8,NL0012817175,archive
Millennium International Management LP,2024-06-19,Vivoryon Therapeutics N.V.,0.51,NL00150002Q7,archive
AKO Capital LLP,2024-06-18,Signify N.V.,1.18,NL0011821392,archive
BlackRock Investment Management (UK) Limited,2024-06-18,Basic-Fit N.V.,2.59,NL0011872650,archive
Citadel Advisors LLC,2024-06-18,Alfen N.V.,0.88,NL0012817175,archive
Greenvale Capital LLP,2024-06-18,Koninklijke Philips N.V.,0.5,NL0000009538,archive
Marshall Wace LLP,2024-06-18,Alfen N.V.,0.68,NL0012817175,archive
Marshall Wace LLP,2024-06-18,AMG Critical Materials N.V.,1.58,NL0000888691,archive
Qube Research & Technologies Ltd.,2024-06-18,Alfen N.V.,2.19,NL0012817175,archive
Qube Research & Technologies Ltd.,2024-06-18,AMG Critical Materials N.V.,0.93,NL0000888691,archive
SIH Partners LLLP,2024-06-18,AMG Critical Materials N.V.,0.49,NL0000888691,archive
Wellington Management International Ltd.,2024-06-18,Basic-Fit N.V.,0.6,NL0011872650,archive
AKO Capital LLP,2024-06-17,Signify N.V.,1.2,NL0011821392,archive
"BlackRock Advisors, LLC",2024-06-17,AMG Critical Materials N.V.,0.7,NL0000888691,archive
Citadel Advisors LLC,2024-06-17,Alfen N.V.,0.96,NL0012817175,archive
Marshall Wace LLP,2024-06-17,Wolters Kluwer N.V.,0.46,NL0000395903,archive
Millennium International Management LP,2024-06-17,Alfen N.V.,1.71,NL0012817175,archive
Millennium International Management LP,2024-06-17,Vivoryon Therapeutics N.V.,0.61,NL00150002Q7,archive
Qube Research & Technologies Ltd.,2024-06-17,AMG Critical Materials N.V.,0.81,NL0000888691,archive
Qube Research & Technologies Ltd.,2024-06-17,Flow Traders Ltd.,0.98,BMG3602E1084,archive
Qube Research & Technologies Ltd.,2024-06-17,PostNL N.V.,0.73,NL0009739416,archive
Voleon Capital Management LP,2024-06-17,Alfen N.V.,0.69,NL0012817175,archive
BlackRock Investment Management (UK) Limited,2024-06-14,Basic-Fit N.V.,2.64,NL0011872650,archive
Citadel Advisors LLC,2024-06-14,Alfen N.V.,1.02,NL0012817175,archive
"D. E. Shaw & Co., L.P.",2024-06-14,AMG Critical Materials N.V.,0.9,NL0000888691,archive
Marshall Wace LLP,2024-06-14,Wolters Kluwer N.V.,0.5,NL0000395903,archive
Millennium Capital Partners LLP,2024-06-14,Alfen N.V.,0.8,NL0012817175,archive
Millennium International Management LP,2024-06-14,Pharming Group N.V.,1.52,NL0010391025,archive
Qube Research & Technologies Ltd.,2024-06-14,AMG Critical Materials N.V.,0.67,NL0000888691,archive
Qube Research & Technologies Ltd.,2024-06-14,Basic-Fit N.V.,0.7,NL0011872650,archive
Balyasny Asset Management (UK) LLP,2024-06-13,Fugro N.V.,0.7,NL00150003E1,archive
Capital Fund Management S.A.,2024-06-13,AMG Critical Materials N.V.,0.52,NL0000888691,archive
Marshall Wace LLP,2024-06-13,ASR Nederland N.V.,0.5,NL0011872643,archive
Marshall Wace LLP,2024-06-13,Koninklijke Philips N.V.,0.5,NL0000009538,archive
Marshall Wace LLP,2024-06-13,PostNL N.V.,0.91,NL0009739416,archive
Millennium Capital Partners LLP,2024-06-13,Alfen N.V.,0.73,NL0012817175,archive
"PDT Partners, LLC",2024-06-13,Alfen N.V.,1.2,NL0012817175,archive
Qube Research & Technologies Ltd.,2024-06-13,Alfen N.V.,2.2,NL0012817175,archive
Qube Research & Technologies Ltd.,2024-06-13,AMG Critical Materials N.V.,0.54,NL0000888691,archive
Voleon Capital Management LP,2024-06-13,Alfen N.V.,0.7,NL0012817175,archive
AKO Capital LLP,2024-06-12,Akzo Nobel N.V.,1.27,NL0013267909,archive
Capital Fund Management S.A.,2024-06-12,AMG Critical Materials N.V.,0.48,NL0000888691,archive
Marshall Wace LLP,2024-06-12,ASR Nederland N.V.,0.49,NL0011872643,archive
Marshall Wace LLP,2024-06-12,Van Lanschot Kempen N.V.,0.49,NL0000302636,archive
Marshall Wace LLP,2024-06-12,Wolters Kluwer N.V.,0.49,NL0000395903,archive
Millennium International Management LP,2024-06-12,Alfen N.V.,1.61,NL0012817175,archive
Millennium International Management LP,2024-06-12,Vivoryon Therapeutics N.V.,0.79,NL00150002Q7,archive
Qube Research & Technologies Ltd.,2024-06-12,PostNL N.V.,0.61,NL0009739416,archive
Capital Fund Management S.A.,2024-06-11,AMG Critical Materials N.V.,0.51,NL0000888691,archive
Marshall Wace LLP,2024-06-11,Alfen N.V.,0.79,NL0012817175,archive
Marshall Wace LLP,2024-06-11,PostNL N.V.,0.89,NL0009739416,archive
Qube Research & Technologies Ltd.,2024-06-11,Alfen N.V.,2.13,NL0012817175,archive
"WorldQuant, LLC",2024-06-11,Alfen N.V.,0.46,NL0012817175,archive
Marshall Wace LLP,2024-06-10,PostNL N.V.,0.9,NL0009739416,archive
Millennium International Management LP,2024-06-10,Pharming Group N.V.,1.42,NL0010391025,archive
Millennium International Management LP,2024-06-10,Vivoryon Therapeutics N.V.,0.84,NL00150002Q7,archive
Qube Research & Technologies Ltd.,2024-06-10,PostNL N.V.,0.55,NL0009739416,archive
Voleon Capital Management LP,2024-06-10,Alfen N.V.,0.68,NL0012817175,archive
"Arrowstreet Capital, Limited Partnership",2024-06-07,Basic-Fit N.V.,0.6,NL0011872650,archive
Millennium Capital Partners LLP,2024-06-07,Alfen N.V.,0.61,NL0012817175,archive
AKO Capital LLP,2024-06-06,Akzo Nobel N.V.,1.1,NL0013267909,archive
Marshall Wace LLP,2024-06-06,Koninklijke Philips N.V.,0.49,NL0000009538,archive
Millennium International Management LP,2024-06-06,Vivoryon Therapeutics N.V.,0.93,NL00150002Q7,archive
Qube Research & Technologies Ltd.,2024-06-06,PostNL N.V.,0.61,NL0009739416,archive
SIH Partners LLLP,2024-06-06,AMG Critical Materials N.V.,0.5,NL0000888691,archive
Walleye Capital LLC,2024-06-06,Alfen N.V.,0.5,NL0012817175,archive
AKO Capital LLP,2024-06-05,Akzo Nobel N.V.,1.0,NL0013267909,archive
"AQR Capital Management, LLC",2024-06-05,SBM Offshore N.V.,0.51,NL0000360618,archive
"BlackRock Advisors, LLC",2024-06-05,Alfen N.V.,0.9,NL0012817175,archive
Citadel Advisors LLC,2024-06-05,Alfen N.V.,0.98,NL0012817175,archive
Citadel Advisors LLC,2024-06-05,Pharming Group N.V.,0.48,NL0010391025,archive
Marshall Wace LLP,2024-06-05,AMG Critical Materials N.V.,1.61,NL0000888691,archive
Millennium International Management LP,2024-06-05,Pharming Group N.V.,1.38,NL0010391025,archive
"PDT Partners, LLC",2024-06-05,Alfen N.V.,1.1,NL0012817175,archive
"WorldQuant, LLC",2024-06-05,Alfen N.V.,0.56,NL0012817175,archive
"WorldQuant, LLC",2024-06-05,AMG Critical Materials N.V.,0.48,NL0000888691,archive
"WorldQuant, LLC",2024-06-05,TomTom N.V.,0.49,NL0013332471,archive
Citadel Advisors LLC,2024-06-04,Alfen N.V.,1.01,NL0012817175,archive
"D. E. Shaw & Co., L.P.",2024-06-04,AMG Critical Materials N.V.,0.8,NL0000888691,archive
Franklin Templeton Investment Management Limited,2024-06-04,Basic-Fit N.V.,0.52,NL0011872650,archive
Marshall Wace LLP,2024-06-04,Alfen N.V.,0.85,NL0012817175,archive
Marshall Wace LLP,2024-06-04,PostNL N.V.,1.06,NL0009739416,archive
Marshall Wace LLP,2024-06-04,Van Lanschot Kempen N.V.,0.5,NL0000302636,archive
Millennium International Management LP,2024-06-04,Pharming Group N.V.,1.4,NL0010391025,archive
Qube Research & Technologies Ltd.,2024-06-04,Alfen N.V.,2.08,NL0012817175,archive
Qube Research & Technologies Ltd.,2024-06-04,Basic-Fit N.V.,0.63,NL0011872650,archive
Qube Research & Technologies Ltd.,2024-06-04,PostNL N.V.,0.55,NL0009739416,archive
ShadowFall Capital & Research LLP,2024-06-04,Basic-Fit N.V.,0.54,NL0011872650,archive
Balyasny Asset Management (UK) LLP,2024-06-03,Fugro N.V.,0.65,NL00150003E1,archive
Balyasny Asset Management (UK) LLP,2024-06-03,SBM Offshore N.V.,0.8,NL0000360618,archive
"BlackRock Advisors, LLC",2024-06-03,AMG Critical Materials N.V.,0.69,NL0000888691,archive
Citadel Advisors LLC,2024-06-03,Pharming Group N.V.,0.57,NL0010391025,archive
Marshall Wace LLP,2024-06-03,PostNL N.V.,1.11,NL0009739416,archive
Millennium Capital Partners LLP,2024-06-03,Alfen N.V.,0.51,NL0012817175,archive
Qube Research & Technologies Ltd.,2024-06-03,Alfen N.V.,1.85,NL0012817175,archive
Voleon Capital Management LP,2024-06-03,Alfen N.V.,0.78,NL0012817175,archive
Voleon Capital Management LP,2024-06-03,Basic-Fit N.V.,0.5,NL0011872650,archive
Balyasny Asset Management (UK) LLP,2024-05-31,Fugro N.V.,0.78,NL00150003E1,archive
Marshall Wace LLP,2024-05-31,Koninklijke Philips N.V.,0.51,NL0000009538,archive
Millennium International Management LP,2024-05-31,Alfen N.V.,1.51,NL0012817175,archive
Millennium International Management LP,2024-05-31,NSI N.V.,0.0,NL0012365084,archive
Marshall Wace LLP,2024-05-30,AMG Critical Materials N.V.,1.59,NL0000888691,archive
Marshall Wace LLP,2024-05-30,Koninklijke Philips N.V.,0.49,NL0000009538,archive
Millennium International Management LP,2024-05-30,NSI N.V.,0.81,NL0012365084,archive
Citadel Advisors LLC,2024-05-29,Pharming Group N.V.,0.69,NL0010391025,archive
Franklin Templeton Investment Management Limited,2024-05-29,Basic-Fit N.V.,0.49,NL0011872650,archive
Franklin Templeton Investment Management Limited,2024-05-29,TomTom N.V.,0.58,NL0013332471,archive
JPMorgan Asset Management (UK) Ltd.,2024-05-29,Aperam S.A.,0.72,LU0569974404,archive
Marshall Wace LLP,2024-05-29,PostNL N.V.,1.29,NL0009739416,archive
Millennium International Management LP,2024-05-29,NSI N.V.,0.73,NL0012365084,archive
Millennium International Management LP,2024-05-29,Vivoryon Therapeutics N.V.,1.09,NL00150002Q7,archive
Qube Research & Technologies Ltd.,2024-05-29,Ebusco Holding N.V.,0.51,NL0015000CZ2,archive
"WorldQuant, LLC",2024-05-29,Alfen N.V.,0.45,NL0012817175,archive
"WorldQuant, LLC",2024-05-29,TomTom N.V.,0.58,NL0013332471,archive
"BlackRock Advisors, LLC",2024-05-28,Alfen N.V.,0.8,NL0012817175,archive
Franklin Templeton Investment Management Limited,2024-05-28,TomTom N.V.,0.64,NL0013332471,archive
GSA Capital Partners LLP,2024-05-28,Vivoryon Therapeutics N.V.,0.47,NL00150002Q7,archive
Marshall Wace LLP,2024-05-28,ASR Nederland N.V.,0.59,NL0011872643,archive
Millennium International Management LP,2024-05-28,Alfen N.V.,1.43,NL0012817175,archive
Millennium International Management LP,2024-05-28,NSI N.V.,0.66,NL0012365084,archive
Qube Research & Technologies Ltd.,2024-05-28,Ebusco Holding N.V.,0.49,NL0015000CZ2,archive
Wellington Management International Ltd.,2024-05-28,Basic-Fit N.V.,0.52,NL0011872650,archive
"WorldQuant, LLC",2024-05-28,Alfen N.V.,0.5,NL0012817175,archive
GSA Capital Partners LLP,2024-05-27,Vivoryon Therapeutics N.V.,0.5,NL00150002Q7,archive
Marshall Wace LLP,2024-05-27,PostNL N.V.,1.39,NL0009739416,archive
Millennium International Management LP,2024-05-27,IMCD N.V.,0.5,NL0010801007,archive
Qube Research & Technologies Ltd.,2024-05-27,Alfen N.V.,1.98,NL0012817175,archive
Balyasny Asset Management (UK) LLP,2024-05-24,SBM Offshore N.V.,0.7,NL0000360618,archive
"BlackRock Advisors, LLC",2024-05-24,AMG Critical Materials N.V.,0.7,NL0000888691,archive
Millennium International Management LP,2024-05-24,Alfen N.V.,1.31,NL0012817175,archive
Millennium International Management LP,2024-05-24,NSI N.V.,0.51,NL0012365084,archive
Qube Research & Technologies Ltd.,2024-05-24,Ebusco Holding N.V.,0.5,NL0015000CZ2,archive
Balyasny Asset Management (UK) LLP,2024-05-23,SBM Offshore N.V.,0.63,NL0000360618,archive
Citadel Advisors LLC,2024-05-23,Alfen N.V.,0.85,NL0012817175,archive
Citadel Advisors LLC,2024-05-23,Pharming Group N.V.,0.77,NL0010391025,archive
Marshall Wace LLP,2024-05-23,ArcelorMittal S.A.,1.01,LU1598757687,archive
Millennium International Management LP,2024-05-23,Alfen N.V.,1.23,NL0012817175,archive
