issuer_name,net_short_position,isin,position_holder,position_date,source
Akzo Nobel N.V.,1.3,NL0013267909,"O'Connor Alternative Investments, LLC",2026-04-01,current
Alfen N.V.,2.86,NL0012817175,"WorldQuant, LLC",2026-04-01,current
IMCD N.V.,0.62,NL0010801007,Capital Fund Management S.A.,2026-03-31,current
Signify N.V.,2.4,NL0011821392,Citadel Advisors LLC,2026-03-31,current
Alfen N.V.,1.09,NL0012817175,"D. E. Shaw & Co., L.P.",2026-03-31,current
Signify N.V.,1.21,NL0011821392,Eleva Capital SAS,2026-03-31,current
CVC Capital Partners plc,0.9,JE00BRX98089,Qube Research & Technologies Ltd.,2026-03-31,current
ING Groep N.V.,0.58,NL0011821202,Viking Global Investors LP,2026-03-31,current
Adyen N.V.,0.9,NL0012969182,"AQR Capital Management, LLC",2026-03-30,current
Akzo Nobel N.V.,0.59,NL0013267909,"AQR Capital Management, LLC",2026-03-30,current
IMCD N.V.,0.6,NL0010801007,"D. E. Shaw & Co., L.P.",2026-03-30,current
Signify N.V.,1.05,NL0011821392,Eleva Capital SAS,2026-03-30,current
The Magnum Ice Cream Company N.V.,0.64,NL0015002MS2,GLG Partners LP,2026-03-30,current
DSM-Firmenich AG,0.91,CH1216478797,Ilex Capital Partners (UK) LLP,2026-03-30,current
Signify N.V.,1.87,NL0011821392,Marshall Wace LLP,2026-03-30,current
The Magnum Ice Cream Company N.V.,1.59,NL0015002MS2,Marshall Wace LLP,2026-03-30,current
NSI N.V.,0.61,NL0012365084,Numeric Investors LLC,2026-03-30,current
ARCADIS N.V.,0.99,NL0006237562,Squarepoint Ops LLC,2026-03-30,current
Theon International Plc,0.7,CY0200751713,"Two Sigma Investments, LP",2026-03-30,current
ING Groep N.V.,0.61,NL0011821202,Viking Global Investors LP,2026-03-30,current
ARCADIS N.V.,0.9,NL0006237562,"AQR Capital Management, LLC",2026-03-27,current
IMCD N.V.,1.12,NL0010801007,"Arrowstreet Capital, Limited Partnership",2026-03-27,current
IMCD N.V.,1.09,NL0010801007,"BlackRock Financial Management, Inc.",2026-03-27,current
IMCD N.V.,0.51,NL0010801007,Capital Fund Management S.A.,2026-03-27,current
ARCADIS N.V.,0.7,NL0006237562,"D. E. Shaw & Co., L.P.",2026-03-27,current
Pharming Group N.V.,0.59,NL0010391025,"D. E. Shaw & Co., L.P.",2026-03-27,current
The Magnum Ice Cream Company N.V.,0.59,NL0015002MS2,GLG Partners LP,2026-03-27,current
Randstad N.V.,0.86,NL0000379121,Marshall Wace LLP,2026-03-27,current
Akzo Nobel N.V.,0.75,NL0013267909,Millennium International Management LP,2026-03-27,current
Signify N.V.,0.79,NL0011821392,Qube Research & Technologies Ltd.,2026-03-27,current
Theon International Plc,0.52,CY0200751713,Voleon Capital Management LP,2026-03-27,current
Basic-Fit N.V.,0.6,NL0011872650,Wellington Management International Ltd.,2026-03-27,current
ARCADIS N.V.,0.69,NL0006237562,"D. E. Shaw & Co., L.P.",2026-03-26,current
The Magnum Ice Cream Company N.V.,0.64,NL0015002MS2,Ilex Capital Partners (UK) LLP,2026-03-26,current
Signify N.V.,1.96,NL0011821392,Marshall Wace LLP,2026-03-26,current
Theon International Plc,1.14,CY0200751713,Qube Research & Technologies Ltd.,2026-03-26,current
InPost S.A.,1.5,LU2290522684,"Two Sigma Investments, LP",2026-03-26,current
IMCD N.V.,0.5,NL0010801007,Voleon Capital Management LP,2026-03-26,current
Alfen N.V.,2.92,NL0012817175,"WorldQuant, LLC",2026-03-26,current
IMCD N.V.,0.71,NL0010801007,"WorldQuant, LLC",2026-03-26,current
Adyen N.V.,0.8,NL0012969182,"AQR Capital Management, LLC",2026-03-25,current
Akzo Nobel N.V.,0.6,NL0013267909,"AQR Capital Management, LLC",2026-03-25,current
CVC Capital Partners plc,0.5,JE00BRX98089,"AQR Capital Management, LLC",2026-03-25,current
The Magnum Ice Cream Company N.V.,0.6,NL0015002MS2,GLG Partners LP,2026-03-25,current
DSM-Firmenich AG,0.82,CH1216478797,Ilex Capital Partners (UK) LLP,2026-03-25,current
The Magnum Ice Cream Company N.V.,0.57,NL0015002MS2,Ilex Capital Partners (UK) LLP,2026-03-25,current
Signify N.V.,0.81,NL0011821392,Millennium Capital (DIFC) Limited,2026-03-25,current
IMCD N.V.,0.6,NL0010801007,Squarepoint Ops LLC,2026-03-25,current
IMCD N.V.,0.56,NL0010801007,JPMorgan Asset Management (UK) Ltd.,2026-03-24,current
Pharming Group N.V.,1.14,NL0010391025,Lazard Asset Management LLC,2026-03-24,current
Randstad N.V.,0.91,NL0000379121,Marshall Wace LLP,2026-03-24,current
Signify N.V.,2.0,NL0011821392,Marshall Wace LLP,2026-03-24,current
The Magnum Ice Cream Company N.V.,1.6,NL0015002MS2,Marshall Wace LLP,2026-03-24,current
Signify N.V.,0.79,NL0011821392,Millennium Capital (DIFC) Limited,2026-03-24,current
IMCD N.V.,0.9,NL0010801007,"PDT Partners, LLC",2026-03-24,current
