issuer_name,net_short_position,isin,position_holder,position_date,source
OCI N.V.,0.51,NL0010558797,Citadel Advisors LLC,2025-03-17,archive
Pharming Group N.V.,0.95,NL0010391025,"D. E. Shaw & Co., L.P.",2025-03-17,archive
InPost S.A.,0.9,LU2290522684,Marshall Wace LLP,2025-03-17,archive
PostNL N.V.,0.69,NL0009739416,Marshall Wace LLP,2025-03-17,archive
Alfen N.V.,1.96,NL0012817175,"PDT Partners, LLC",2025-03-17,archive
AMG Critical Materials N.V.,0.65,NL0000888691,"PDT Partners, LLC",2025-03-17,archive
Alfen N.V.,0.61,NL0012817175,Citadel Advisors LLC,2025-03-14,archive
Koninklijke KPN N.V.,0.5,NL0000009082,Marshall Wace LLP,2025-03-14,archive
Randstad N.V.,0.49,NL0000379121,Marshall Wace LLP,2025-03-14,archive
Alfen N.V.,2.01,NL0012817175,"PDT Partners, LLC",2025-03-14,archive
Ebusco Holding N.V.,0.68,NL0015002AG2,Voleon Capital Management LP,2025-03-14,archive
Basic-Fit N.V.,0.57,NL0011872650,Wellington Management International Ltd.,2025-03-14,archive
ASR Nederland N.V.,0.8,NL0011872643,"AQR Capital Management, LLC",2025-03-13,archive
Koninklijke KPN N.V.,0.49,NL0000009082,Marshall Wace LLP,2025-03-13,archive
Randstad N.V.,0.5,NL0000379121,Marshall Wace LLP,2025-03-13,archive
Alfen N.V.,0.58,NL0012817175,Millennium Capital Partners LLP,2025-03-13,archive
Alfen N.V.,2.11,NL0012817175,"PDT Partners, LLC",2025-03-13,archive
Alfen N.V.,0.74,NL0012817175,Spark Investment Management LLC,2025-03-13,archive
IMCD N.V.,0.61,NL0010801007,"AQR Capital Management, LLC",2025-03-12,archive
AMG Critical Materials N.V.,0.46,NL0000888691,Citadel Advisors LLC,2025-03-12,archive
Koninklijke KPN N.V.,0.5,NL0000009082,Marshall Wace LLP,2025-03-12,archive
Alfen N.V.,0.62,NL0012817175,Millennium Capital Partners LLP,2025-03-12,archive
Pharming Group N.V.,2.77,NL0010391025,Millennium International Management LP,2025-03-12,archive
Alfen N.V.,2.03,NL0012817175,"PDT Partners, LLC",2025-03-12,archive
TKH Group N.V.,0.69,NL0000852523,Qube Research & Technologies Ltd.,2025-03-12,archive
Basic-Fit N.V.,0.64,NL0011872650,BlackRock Investment Management (UK) Limited,2025-03-11,archive
Ebusco Holding N.V.,0.49,NL0015002AG2,Citadel Securities (Europe) Limited,2025-03-11,archive
AMG Critical Materials N.V.,0.51,NL0000888691,"D. E. Shaw & Co., L.P.",2025-03-11,archive
TKH Group N.V.,0.46,NL0000852523,JPMorgan Asset Management (UK) Ltd.,2025-03-11,archive
ArcelorMittal S.A.,0.6,LU1598757687,Marshall Wace LLP,2025-03-11,archive
Koninklijke Philips N.V.,0.51,NL0000009538,Marshall Wace LLP,2025-03-11,archive
OCI N.V.,0.96,NL0010558797,Marshall Wace LLP,2025-03-11,archive
Alfen N.V.,0.54,NL0012817175,Millennium Capital Partners LLP,2025-03-11,archive
Aperam S.A.,0.11,LU0569974404,Millennium Capital Partners LLP,2025-03-11,archive
Pharming Group N.V.,2.49,NL0010391025,Millennium International Management LP,2025-03-11,archive
Alfen N.V.,1.99,NL0012817175,"PDT Partners, LLC",2025-03-11,archive
TKH Group N.V.,0.7,NL0000852523,Qube Research & Technologies Ltd.,2025-03-11,archive
PostNL N.V.,0.52,NL0009739416,"WorldQuant, LLC",2025-03-11,archive
OCI N.V.,0.49,NL0010558797,Citadel Advisors LLC,2025-03-10,archive
ArcelorMittal S.A.,0.59,LU1598757687,Marshall Wace LLP,2025-03-10,archive
Fugro N.V.,0.71,NL00150003E1,Marshall Wace LLP,2025-03-10,archive
Koninklijke Philips N.V.,0.48,NL0000009538,Marshall Wace LLP,2025-03-10,archive
OCI N.V.,1.0,NL0010558797,Marshall Wace LLP,2025-03-10,archive
Pharming Group N.V.,2.25,NL0010391025,Millennium International Management LP,2025-03-10,archive
Alfen N.V.,2.02,NL0012817175,"PDT Partners, LLC",2025-03-10,archive
AMG Critical Materials N.V.,0.71,NL0000888691,"PDT Partners, LLC",2025-03-10,archive
Avantium N.V.,1.75,NL0012047823,Qube Research & Technologies Ltd.,2025-03-10,archive
Galapagos NV,1.2,BE0003818359,Qube Research & Technologies Ltd.,2025-03-10,archive
AMG Critical Materials N.V.,0.52,NL0000888691,Citadel Advisors LLC,2025-03-07,archive
BE Semiconductor Industries N.V.,0.5,NL0012866412,"Connor, Clark & Lunn Investment Management Ltd.",2025-03-07,archive
Pharming Group N.V.,1.0,NL0010391025,"D. E. Shaw & Co., L.P.",2025-03-07,archive
Pharming Group N.V.,2.48,NL0010391025,Millennium International Management LP,2025-03-07,archive
Ebusco Holding N.V.,0.56,NL0015002AG2,Citadel Securities (Europe) Limited,2025-03-06,archive
AMG Critical Materials N.V.,0.42,NL0000888691,"D. E. Shaw & Co., L.P.",2025-03-06,archive
ArcelorMittal S.A.,0.61,LU1598757687,Marshall Wace LLP,2025-03-06,archive
Pharming Group N.V.,2.57,NL0010391025,Millennium International Management LP,2025-03-06,archive
Brunel International N.V.,0.48,NL0010776944,Numeric Investors LLC,2025-03-06,archive
Alfen N.V.,1.94,NL0012817175,"PDT Partners, LLC",2025-03-06,archive
AMG Critical Materials N.V.,0.69,NL0000888691,"PDT Partners, LLC",2025-03-06,archive
BE Semiconductor Industries N.V.,0.6,NL0012866412,"AQR Capital Management, LLC",2025-03-05,archive
AMG Critical Materials N.V.,0.48,NL0000888691,Citadel Advisors LLC,2025-03-05,archive
TomTom N.V.,0.49,NL0013332471,Citadel Advisors LLC,2025-03-05,archive
Ebusco Holding N.V.,0.7,NL0015002AG2,Citadel Securities (Europe) Limited,2025-03-05,archive
Pharming Group N.V.,0.99,NL0010391025,"D. E. Shaw & Co., L.P.",2025-03-05,archive
TKH Group N.V.,0.65,NL0000852523,Qube Research & Technologies Ltd.,2025-03-05,archive
Alfen N.V.,0.61,NL0012817175,"Arrowstreet Capital, Limited Partnership",2025-03-04,archive
Basic-Fit N.V.,0.7,NL0011872650,BlackRock Investment Management (UK) Limited,2025-03-04,archive
TomTom N.V.,0.51,NL0013332471,Citadel Advisors LLC,2025-03-04,archive
AMG Critical Materials N.V.,0.59,NL0000888691,"D. E. Shaw & Co., L.P.",2025-03-04,archive
TKH Group N.V.,0.65,NL0000852523,Marshall Wace LLP,2025-03-04,archive
Alfen N.V.,0.39,NL0012817175,Millennium Capital Partners LLP,2025-03-04,archive
Pharming Group N.V.,2.67,NL0010391025,Millennium International Management LP,2025-03-04,archive
Signify N.V.,0.51,NL0011821392,Mirabella Financial Services LLP,2025-03-04,archive
Alfen N.V.,2.01,NL0012817175,"PDT Partners, LLC",2025-03-04,archive
AMG Critical Materials N.V.,0.84,NL0000888691,"PDT Partners, LLC",2025-03-04,archive
Koninklijke Ahold Delhaize N.V.,0.54,NL0011794037,"Point72 Europe (London), LLP",2025-03-04,archive
TKH Group N.V.,0.7,NL0000852523,Qube Research & Technologies Ltd.,2025-03-04,archive
AMG Critical Materials N.V.,0.48,NL0000888691,"AQR Capital Management, LLC",2025-03-03,archive
IMCD N.V.,0.51,NL0010801007,"AQR Capital Management, LLC",2025-03-03,archive
Galapagos NV,0.88,BE0003818359,"Arrowstreet Capital, Limited Partnership",2025-03-03,archive
AMG Critical Materials N.V.,0.54,NL0000888691,Citadel Advisors LLC,2025-03-03,archive
Signify N.V.,0.59,NL0011821392,Clean Energy Transition LLP,2025-03-03,archive
Pharming Group N.V.,1.0,NL0010391025,"D. E. Shaw & Co., L.P.",2025-03-03,archive
Fugro N.V.,0.6,NL00150003E1,Marshall Wace LLP,2025-03-03,archive
Koninklijke Ahold Delhaize N.V.,0.49,NL0011794037,Marshall Wace LLP,2025-03-03,archive
Signify N.V.,0.49,NL0011821392,Mirabella Financial Services LLP,2025-03-03,archive
Basic-Fit N.V.,0.6,NL0011872650,BlackRock Investment Management (UK) Limited,2025-02-28,archive
Ebusco Holding N.V.,0.8,NL0015002AG2,Citadel Securities (Europe) Limited,2025-02-28,archive
Fugro N.V.,0.81,NL00150003E1,Eleva Capital SAS,2025-02-28,archive
Fugro N.V.,0.58,NL00150003E1,Marshall Wace LLP,2025-02-28,archive
Koninklijke Philips N.V.,0.5,NL0000009538,Marshall Wace LLP,2025-02-28,archive
OCI N.V.,0.98,NL0010558797,Marshall Wace LLP,2025-02-28,archive
Alfen N.V.,0.5,NL0012817175,Millennium Capital Partners LLP,2025-02-28,archive
Signify N.V.,0.5,NL0011821392,Mirabella Financial Services LLP,2025-02-28,archive
Alfen N.V.,1.91,NL0012817175,"PDT Partners, LLC",2025-02-28,archive
AMG Critical Materials N.V.,1.1,NL0000888691,Acadian Asset Management LLC.,2025-02-27,archive
AMG Critical Materials N.V.,0.61,NL0000888691,Citadel Advisors LLC,2025-02-27,archive
Ebusco Holding N.V.,0.79,NL0015002AG2,Citadel Securities (Europe) Limited,2025-02-27,archive
AMG Critical Materials N.V.,0.44,NL0000888691,"D. E. Shaw & Co., L.P.",2025-02-27,archive
Aperam S.A.,0.92,LU0569974404,Millennium Capital Partners LLP,2025-02-27,archive
AMG Critical Materials N.V.,0.77,NL0000888691,"PDT Partners, LLC",2025-02-27,archive
Randstad N.V.,0.49,NL0000379121,AKO Capital LLP,2025-02-26,archive
Ebusco Holding N.V.,0.61,NL0015002AG2,Citadel Securities (Europe) Limited,2025-02-26,archive
AMG Critical Materials N.V.,0.59,NL0000888691,"D. E. Shaw & Co., L.P.",2025-02-26,archive
Fugro N.V.,0.69,NL00150003E1,Marshall Wace LLP,2025-02-26,archive
Pharming Group N.V.,2.78,NL0010391025,Millennium International Management LP,2025-02-26,archive
Alfen N.V.,1.88,NL0012817175,"PDT Partners, LLC",2025-02-26,archive
Ebusco Holding N.V.,0.73,NL0015002AG2,Voleon Capital Management LP,2025-02-26,archive
Pharming Group N.V.,0.99,NL0010391025,"Arrowstreet Capital, Limited Partnership",2025-02-25,archive
Basic-Fit N.V.,0.56,NL0011872650,BlackRock Investment Management (UK) Limited,2025-02-25,archive
Fugro N.V.,0.74,NL00150003E1,Marshall Wace LLP,2025-02-25,archive
Aperam S.A.,0.88,LU0569974404,Millennium Capital Partners LLP,2025-02-25,archive
Alfen N.V.,1.98,NL0012817175,"PDT Partners, LLC",2025-02-25,archive
Galapagos NV,0.98,BE0003818359,"Arrowstreet Capital, Limited Partnership",2025-02-24,archive
Fugro N.V.,0.65,NL00150003E1,Eleva Capital SAS,2025-02-24,archive
ArcelorMittal S.A.,0.5,LU1598757687,Marshall Wace LLP,2025-02-24,archive
Alfen N.V.,0.49,NL0012817175,Millennium Capital Partners LLP,2025-02-24,archive
PostNL N.V.,0.46,NL0009739416,"PDT Partners, LLC",2025-02-24,archive
Ebusco Holding N.V.,0.64,NL0015002AG2,Voleon Capital Management LP,2025-02-24,archive
AMG Critical Materials N.V.,1.08,NL0000888691,Acadian Asset Management LLC.,2025-02-21,archive
Galapagos NV,0.49,BE0003818359,"Connor, Clark & Lunn Investment Management Ltd.",2025-02-21,archive
TKH Group N.V.,0.58,NL0000852523,Marshall Wace LLP,2025-02-21,archive
Randstad N.V.,0.64,NL0000379121,AKO Capital LLP,2025-02-20,archive
Galapagos NV,1.06,BE0003818359,"Arrowstreet Capital, Limited Partnership",2025-02-20,archive
AMG Critical Materials N.V.,0.67,NL0000888691,"D. E. Shaw & Co., L.P.",2025-02-20,archive
Galapagos NV,0.61,BE0003818359,Marshall Wace LLP,2025-02-20,archive
AMG Critical Materials N.V.,0.8,NL0000888691,"PDT Partners, LLC",2025-02-20,archive
BE Semiconductor Industries N.V.,0.41,NL0012866412,Southpoint Capital Advisors LP,2025-02-20,archive
AMG Critical Materials N.V.,1.13,NL0000888691,Acadian Asset Management LLC.,2025-02-19,archive
Randstad N.V.,0.75,NL0000379121,AKO Capital LLP,2025-02-19,archive
AMG Critical Materials N.V.,0.7,NL0000888691,Citadel Advisors LLC,2025-02-19,archive
Koninklijke KPN N.V.,0.48,NL0000009082,Marshall Wace LLP,2025-02-19,archive
Pharming Group N.V.,2.89,NL0010391025,Millennium International Management LP,2025-02-19,archive
Alfen N.V.,0.46,NL0012817175,"WorldQuant, LLC",2025-02-19,archive
OCI N.V.,0.58,NL0010558797,Citadel Advisors LLC,2025-02-18,archive
TKH Group N.V.,0.58,NL0000852523,JPMorgan Asset Management (UK) Ltd.,2025-02-18,archive
Alfen N.V.,0.59,NL0012817175,Millennium Capital Partners LLP,2025-02-18,archive
Alfen N.V.,2.07,NL0012817175,"PDT Partners, LLC",2025-02-18,archive
Alfen N.V.,0.5,NL0012817175,"WorldQuant, LLC",2025-02-18,archive
AMG Critical Materials N.V.,0.79,NL0000888691,"D. E. Shaw & Co., L.P.",2025-02-17,archive
Galapagos NV,0.58,BE0003818359,Marshall Wace LLP,2025-02-17,archive
Alfen N.V.,0.48,NL0012817175,Qube Research & Technologies Ltd.,2025-02-17,archive
Ebusco Holding N.V.,0.51,NL0015002AG2,Voleon Capital Management LP,2025-02-17,archive
Vivoryon Therapeutics N.V.,0.49,NL00150002Q7,Citadel Securities (Europe) Limited,2025-02-14,archive
OCI N.V.,1.08,NL0010558797,Marshall Wace LLP,2025-02-14,archive
Aperam S.A.,0.48,LU0569974404,Millennium International Management LP,2025-02-14,archive
Alfen N.V.,0.59,NL0012817175,Qube Research & Technologies Ltd.,2025-02-14,archive
Ebusco Holding N.V.,0.49,NL0015002AG2,Voleon Capital Management LP,2025-02-14,archive
Galapagos NV,0.63,BE0003818359,Marshall Wace LLP,2025-02-13,archive
Aperam S.A.,0.56,LU0569974404,Millennium International Management LP,2025-02-13,archive
Alfen N.V.,2.12,NL0012817175,"PDT Partners, LLC",2025-02-13,archive
Alfen N.V.,0.61,NL0012817175,Qube Research & Technologies Ltd.,2025-02-13,archive
Galapagos NV,1.12,BE0003818359,Qube Research & Technologies Ltd.,2025-02-13,archive
TKH Group N.V.,0.61,NL0000852523,Qube Research & Technologies Ltd.,2025-02-13,archive
CM.com N.V.,0.0,NL0012747059,TFG Asset Management UK LLP,2025-02-13,archive
CM.com N.V.,0.0,NL0012747059,Whitebox Advisors LLC,2025-02-13,archive
AMG Critical Materials N.V.,0.64,NL0000888691,Citadel Advisors LLC,2025-02-12,archive
Galapagos NV,0.5,BE0003818359,"Connor, Clark & Lunn Investment Management Ltd.",2025-02-12,archive
Alfen N.V.,2.21,NL0012817175,"PDT Partners, LLC",2025-02-12,archive
BE Semiconductor Industries N.V.,0.55,NL0012866412,Southpoint Capital Advisors LP,2025-02-12,archive
Ebusco Holding N.V.,0.5,NL0015002AG2,Voleon Capital Management LP,2025-02-12,archive
AMG Critical Materials N.V.,0.59,NL0000888691,Citadel Advisors LLC,2025-02-11,archive
Aperam S.A.,0.99,LU0569974404,Millennium Capital Partners LLP,2025-02-11,archive
Pharming Group N.V.,2.98,NL0010391025,Millennium International Management LP,2025-02-11,archive
Alfen N.V.,1.89,NL0012817175,"PDT Partners, LLC",2025-02-11,archive
AMG Critical Materials N.V.,0.71,NL0000888691,"PDT Partners, LLC",2025-02-11,archive
IMCD N.V.,0.49,NL0010801007,"AQR Capital Management, LLC",2025-02-10,archive
AMG Critical Materials N.V.,0.61,NL0000888691,Citadel Advisors LLC,2025-02-10,archive
OCI N.V.,0.69,NL0010558797,Citadel Advisors LLC,2025-02-10,archive
TomTom N.V.,0.55,NL0013332471,Otus Capital Management Ltd.,2025-02-10,archive
ArcelorMittal S.A.,0.44,LU1598757687,Capital Fund Management S.A.,2025-02-07,archive
ArcelorMittal S.A.,0.48,LU1598757687,Citadel Advisors LLC,2025-02-07,archive
AMG Critical Materials N.V.,0.88,NL0000888691,"D. E. Shaw & Co., L.P.",2025-02-07,archive
Pharming Group N.V.,0.97,NL0010391025,"D. E. Shaw & Co., L.P.",2025-02-07,archive
OCI N.V.,1.18,NL0010558797,Marshall Wace LLP,2025-02-07,archive
TKH Group N.V.,0.69,NL0000852523,Marshall Wace LLP,2025-02-07,archive
Alfen N.V.,0.6,NL0012817175,Millennium Capital Partners LLP,2025-02-07,archive
Aperam S.A.,1.02,LU0569974404,Millennium Capital Partners LLP,2025-02-07,archive
Aperam S.A.,0.68,LU0569974404,Millennium International Management LP,2025-02-07,archive
AMG Critical Materials N.V.,0.69,NL0000888691,"PDT Partners, LLC",2025-02-07,archive
ArcelorMittal S.A.,0.52,LU1598757687,Capital Fund Management S.A.,2025-02-06,archive
ArcelorMittal S.A.,0.51,LU1598757687,Citadel Advisors LLC,2025-02-06,archive
Fugro N.V.,0.82,NL00150003E1,Marshall Wace LLP,2025-02-06,archive
Koninklijke KPN N.V.,0.57,NL0000009082,Marshall Wace LLP,2025-02-06,archive
TomTom N.V.,0.71,NL0013332471,Otus Capital Management Ltd.,2025-02-06,archive
PostNL N.V.,0.47,NL0009739416,"WorldQuant, LLC",2025-02-06,archive
Koninklijke Ahold Delhaize N.V.,0.52,NL0011794037,Marshall Wace LLP,2025-02-05,archive
Alfen N.V.,1.92,NL0012817175,"PDT Partners, LLC",2025-02-05,archive
Galapagos NV,0.48,BE0003818359,"WorldQuant, LLC",2025-02-05,archive
AMG Critical Materials N.V.,1.03,NL0000888691,Acadian Asset Management LLC.,2025-02-04,archive
ASR Nederland N.V.,0.79,NL0011872643,"AQR Capital Management, LLC",2025-02-04,archive
BE Semiconductor Industries N.V.,0.93,NL0012866412,Canada Pension Plan Investment Board,2025-02-04,archive
AMG Critical Materials N.V.,0.58,NL0000888691,Citadel Advisors LLC,2025-02-04,archive
Fugro N.V.,0.62,NL00150003E1,Marshall Wace LLP,2025-02-04,archive
Galapagos NV,0.5,BE0003818359,Marshall Wace LLP,2025-02-04,archive
Signify N.V.,0.49,NL0011821392,Mirabella Financial Services LLP,2025-02-04,archive
Brunel International N.V.,0.5,NL0010776944,Numeric Investors LLC,2025-02-04,archive
TomTom N.V.,0.89,NL0013332471,Otus Capital Management Ltd.,2025-02-04,archive
ArcelorMittal S.A.,0.47,LU1598757687,Citadel Advisors LLC,2025-02-03,archive
OCI N.V.,0.79,NL0010558797,Citadel Advisors LLC,2025-02-03,archive
Signify N.V.,0.51,NL0011821392,Mirabella Financial Services LLP,2025-02-03,archive
AMG Critical Materials N.V.,0.79,NL0000888691,"PDT Partners, LLC",2025-02-03,archive
TKH Group N.V.,0.5,NL0000852523,Qube Research & Technologies Ltd.,2025-02-03,archive
AMG Critical Materials N.V.,0.92,NL0000888691,Acadian Asset Management LLC.,2025-01-31,archive
AMG Critical Materials N.V.,0.59,NL0000888691,"AQR Capital Management, LLC",2025-01-31,archive
ARCADIS N.V.,0.7,NL0006237562,Boldhaven Management LLP,2025-01-31,archive
BE Semiconductor Industries N.V.,0.89,NL0012866412,Canada Pension Plan Investment Board,2025-01-31,archive
Fugro N.V.,0.5,NL00150003E1,Marshall Wace LLP,2025-01-31,archive
InPost S.A.,0.8,LU2290522684,Marshall Wace LLP,2025-01-31,archive
Alfen N.V.,1.89,NL0012817175,"PDT Partners, LLC",2025-01-31,archive
AMG Critical Materials N.V.,0.87,NL0000888691,Acadian Asset Management LLC.,2025-01-30,archive
AMG Critical Materials N.V.,0.6,NL0000888691,Citadel Advisors LLC,2025-01-30,archive
Koninklijke KPN N.V.,0.68,NL0000009082,Marshall Wace LLP,2025-01-30,archive
TKH Group N.V.,0.79,NL0000852523,Marshall Wace LLP,2025-01-30,archive
Alfen N.V.,0.5,NL0012817175,Millennium Capital Partners LLP,2025-01-30,archive
Signify N.V.,0.49,NL0011821392,Mirabella Financial Services LLP,2025-01-30,archive
Randstad N.V.,0.8,NL0000379121,AKO Capital LLP,2025-01-29,archive
ArcelorMittal S.A.,0.59,LU1598757687,Citadel Advisors LLC,2025-01-29,archive
OCI N.V.,0.89,NL0010558797,Citadel Advisors LLC,2025-01-29,archive
Vivoryon Therapeutics N.V.,0.57,NL00150002Q7,Citadel Securities (Europe) Limited,2025-01-29,archive
Akzo Nobel N.V.,0.47,NL0013267909,Marshall Wace LLP,2025-01-29,archive
Koninklijke Ahold Delhaize N.V.,0.48,NL0011794037,Marshall Wace LLP,2025-01-29,archive
OCI N.V.,1.29,NL0010558797,Marshall Wace LLP,2025-01-29,archive
Aperam S.A.,0.9,LU0569974404,Millennium Capital Partners LLP,2025-01-29,archive
Galapagos NV,0.51,BE0003818359,"WorldQuant, LLC",2025-01-29,archive
BE Semiconductor Industries N.V.,0.9,NL0012866412,Canada Pension Plan Investment Board,2025-01-28,archive
AMG Critical Materials N.V.,0.48,NL0000888691,Capital Fund Management S.A.,2025-01-28,archive
AMG Critical Materials N.V.,0.46,NL0000888691,Marshall Wace LLP,2025-01-28,archive
Koninklijke KPN N.V.,0.74,NL0000009082,Marshall Wace LLP,2025-01-28,archive
Alfen N.V.,0.47,NL0012817175,Millennium Capital Partners LLP,2025-01-28,archive
Aperam S.A.,0.79,LU0569974404,Millennium International Management LP,2025-01-28,archive
Alfen N.V.,1.97,NL0012817175,"PDT Partners, LLC",2025-01-28,archive
AMG Critical Materials N.V.,0.88,NL0000888691,"PDT Partners, LLC",2025-01-28,archive
AMG Critical Materials N.V.,0.78,NL0000888691,Acadian Asset Management LLC.,2025-01-27,archive
Alfen N.V.,0.53,NL0012817175,"Arrowstreet Capital, Limited Partnership",2025-01-27,archive
BE Semiconductor Industries N.V.,0.89,NL0012866412,Canada Pension Plan Investment Board,2025-01-27,archive
Pharming Group N.V.,1.09,NL0010391025,"Arrowstreet Capital, Limited Partnership",2025-01-24,archive
BE Semiconductor Industries N.V.,1.02,NL0012866412,Canada Pension Plan Investment Board,2025-01-24,archive
AMG Critical Materials N.V.,0.58,NL0000888691,Citadel Advisors LLC,2025-01-24,archive
Vivoryon Therapeutics N.V.,0.62,NL00150002Q7,Citadel Securities (Europe) Limited,2025-01-24,archive
AMG Critical Materials N.V.,0.49,NL0000888691,Teacher Retirement System of Texas,2025-01-24,archive
BE Semiconductor Industries N.V.,0.47,NL0012866412,"WorldQuant, LLC",2025-01-24,archive
Vivoryon Therapeutics N.V.,0.71,NL00150002Q7,Citadel Securities (Europe) Limited,2025-01-23,archive
AMG Critical Materials N.V.,0.91,NL0000888691,"D. E. Shaw & Co., L.P.",2025-01-23,archive
OCI N.V.,1.39,NL0010558797,Marshall Wace LLP,2025-01-23,archive
Aperam S.A.,0.89,LU0569974404,Millennium Capital Partners LLP,2025-01-23,archive
Aperam S.A.,0.88,LU0569974404,Millennium International Management LP,2025-01-23,archive
Alfen N.V.,2.2,NL0012817175,"PDT Partners, LLC",2025-01-23,archive
Alfen N.V.,0.68,NL0012817175,"Arrowstreet Capital, Limited Partnership",2025-01-22,archive
AMG Critical Materials N.V.,0.54,NL0000888691,Capital Fund Management S.A.,2025-01-22,archive
AMG Critical Materials N.V.,0.63,NL0000888691,Citadel Advisors LLC,2025-01-22,archive
Vivoryon Therapeutics N.V.,0.67,NL00150002Q7,Citadel Securities (Europe) Limited,2025-01-22,archive
AMG Critical Materials N.V.,0.84,NL0000888691,"D. E. Shaw & Co., L.P.",2025-01-22,archive
Aperam S.A.,0.93,LU0569974404,Millennium Capital Partners LLP,2025-01-22,archive
AMG Critical Materials N.V.,0.95,NL0000888691,"PDT Partners, LLC",2025-01-22,archive
Avantium N.V.,1.61,NL0012047823,Qube Research & Technologies Ltd.,2025-01-22,archive
OCI N.V.,0.99,NL0010558797,Citadel Advisors LLC,2025-01-21,archive
AMG Critical Materials N.V.,0.59,NL0000888691,Marshall Wace LLP,2025-01-21,archive
InPost S.A.,0.7,LU2290522684,Marshall Wace LLP,2025-01-21,archive
Pharming Group N.V.,3.08,NL0010391025,Millennium International Management LP,2025-01-21,archive
Alfen N.V.,0.01,NL0012817175,Qube Research & Technologies Ltd.,2025-01-21,archive
AMG Critical Materials N.V.,0.03,NL0000888691,Qube Research & Technologies Ltd.,2025-01-21,archive
Aperam S.A.,0.01,LU0569974404,Qube Research & Technologies Ltd.,2025-01-21,archive
Basic-Fit N.V.,0.01,NL0011872650,Qube Research & Technologies Ltd.,2025-01-21,archive
Flow Traders Ltd.,0.0,BMG3602E1084,Qube Research & Technologies Ltd.,2025-01-21,archive
Pharming Group N.V.,0.0,NL0010391025,Qube Research & Technologies Ltd.,2025-01-21,archive
PostNL N.V.,0.05,NL0009739416,Qube Research & Technologies Ltd.,2025-01-21,archive
TomTom N.V.,0.0,NL0013332471,Qube Research & Technologies Ltd.,2025-01-21,archive
BE Semiconductor Industries N.V.,0.57,NL0012866412,"WorldQuant, LLC",2025-01-21,archive
Signify N.V.,0.47,NL0011821392,AKO Capital LLP,2025-01-20,archive
PostNL N.V.,0.5,NL0009739416,"D. E. Shaw & Co., L.P.",2025-01-20,archive
Akzo Nobel N.V.,0.59,NL0013267909,Marshall Wace LLP,2025-01-20,archive
Koninklijke Ahold Delhaize N.V.,0.5,NL0011794037,Marshall Wace LLP,2025-01-20,archive
Alfen N.V.,0.51,NL0012817175,Millennium Capital Partners LLP,2025-01-20,archive
PostNL N.V.,0.56,NL0009739416,"PDT Partners, LLC",2025-01-20,archive
Flow Traders Ltd.,0.93,BMG3602E1084,Qube Research & Technologies Ltd.,2025-01-20,archive
PostNL N.V.,1.8,NL0009739416,Qube Research & Technologies Ltd.,2025-01-20,archive
Alfen N.V.,0.85,NL0012817175,Spark Investment Management LLC,2025-01-20,archive
BE Semiconductor Industries N.V.,0.6,NL0012866412,"WorldQuant, LLC",2025-01-20,archive
AMG Critical Materials N.V.,0.68,NL0000888691,Marshall Wace LLP,2025-01-17,archive
Koninklijke KPN N.V.,0.88,NL0000009082,Marshall Wace LLP,2025-01-17,archive
Alfen N.V.,2.1,NL0012817175,"PDT Partners, LLC",2025-01-17,archive
Alfen N.V.,1.08,NL0012817175,Qube Research & Technologies Ltd.,2025-01-17,archive
AMG Critical Materials N.V.,1.84,NL0000888691,Qube Research & Technologies Ltd.,2025-01-17,archive
BE Semiconductor Industries N.V.,0.59,NL0012866412,"WorldQuant, LLC",2025-01-17,archive
Signify N.V.,0.55,NL0011821392,AKO Capital LLP,2025-01-16,archive
AMG Critical Materials N.V.,0.44,NL0000888691,Capital Fund Management S.A.,2025-01-16,archive
ArcelorMittal S.A.,0.68,LU1598757687,Citadel Advisors LLC,2025-01-16,archive
Koninklijke Ahold Delhaize N.V.,0.49,NL0011794037,Marshall Wace LLP,2025-01-16,archive
Aperam S.A.,1.08,LU0569974404,Millennium Capital Partners LLP,2025-01-16,archive
Alfen N.V.,1.16,NL0012817175,Qube Research & Technologies Ltd.,2025-01-16,archive
Galapagos NV,1.0,BE0003818359,Qube Research & Technologies Ltd.,2025-01-16,archive
CM.com N.V.,0.93,NL0012747059,TFG Asset Management UK LLP,2025-01-16,archive
AMG Critical Materials N.V.,0.85,NL0000888691,Actus Ray Partners Limited,2025-01-15,archive
Alfen N.V.,0.77,NL0012817175,"Arrowstreet Capital, Limited Partnership",2025-01-15,archive
Koninklijke Ahold Delhaize N.V.,0.49,NL0011794037,Ilex Capital Partners (UK) LLP,2025-01-15,archive
Akzo Nobel N.V.,0.66,NL0013267909,Marshall Wace LLP,2025-01-15,archive
AMG Critical Materials N.V.,0.74,NL0000888691,Marshall Wace LLP,2025-01-15,archive
OCI N.V.,1.49,NL0010558797,Marshall Wace LLP,2025-01-15,archive
Alfen N.V.,1.26,NL0012817175,Qube Research & Technologies Ltd.,2025-01-15,archive
AMG Critical Materials N.V.,1.75,NL0000888691,Qube Research & Technologies Ltd.,2025-01-15,archive
Flow Traders Ltd.,0.88,BMG3602E1084,Qube Research & Technologies Ltd.,2025-01-15,archive
Pharming Group N.V.,1.0,NL0010391025,Qube Research & Technologies Ltd.,2025-01-15,archive
AMG Critical Materials N.V.,0.59,NL0000888691,Capital Fund Management S.A.,2025-01-14,archive
