position_date,isin,issuer_name,position_holder,net_short_position,source
2026-08-17,NL0011821392,Signify N.V.,Citadel Advisors LLC,1.0,current
2026-08-17,NL0013267909,Akzo Nobel N.V.,Millennium Capital Partners LLP,0.63,current
2026-08-17,NL0011821392,Signify N.V.,SIH Partners LLLP,0.51,current
2026-08-17,NL0010391025,Pharming Group N.V.,"Two Sigma Investments, LP",1.48,current
2026-08-14,NL0013267909,Akzo Nobel N.V.,"BlackRock Advisors, LLC",1.33,current
2026-08-14,NL0011821392,Signify N.V.,"BlackRock Institutional Trust Company, National Association",0.7,current
2026-08-14,NL0010391025,Pharming Group N.V.,Citadel Advisors LLC,1.04,current
2026-08-14,NL0015002IE0,Avantium N.V.,Citadel Securities (Europe) Limited,0.79,current
2026-08-14,NL0009739416,PostNL N.V.,Goldman Sachs Asset Management International,0.51,current
2026-08-14,NL0012365084,NSI N.V.,Marshall Wace LLP,0.7,current
2026-08-14,NL0013267909,Akzo Nobel N.V.,Millennium International Management LP,1.4,current
2026-08-14,NL0011821392,Signify N.V.,"PDT Partners, LLC",1.29,current
2026-08-14,NL0010391025,Pharming Group N.V.,Walleye Capital LLC,1.0,current
2026-08-13,NL0013267909,Akzo Nobel N.V.,"BlackRock Advisors, LLC",1.27,current
2026-08-13,NL0011821392,Signify N.V.,Citadel Advisors LLC,0.93,current
2026-08-13,NL0015002IE0,Avantium N.V.,Citadel Securities (Europe) Limited,0.69,current
2026-08-13,NL0010391025,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",0.69,current
2026-08-13,NL0012817175,Alfen N.V.,"WorldQuant, LLC",1.06,current
2026-08-12,NL0010391025,Pharming Group N.V.,Capstone Volatility Master (Cayman) Limited,0.8,current
2026-08-12,NL00150003E1,Fugro N.V.,Citadel Advisors LLC,0.91,current
2026-08-12,NL0010391025,Pharming Group N.V.,Citadel Advisors LLC,0.9,current
2026-08-12,NL0013267909,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,1.7,current
2026-08-12,NL0013267909,Akzo Nobel N.V.,Millennium Capital Partners LLP,0.56,current
2026-08-11,NL0000852523,TKH Group N.V.,Capital Fund Management S.A.,0.63,current
2026-08-11,NL0010391025,Pharming Group N.V.,Capstone Volatility Master (Cayman) Limited,0.77,current
2026-08-11,NL0010391025,Pharming Group N.V.,Citadel Advisors LLC,0.88,current
2026-08-11,NL0000817179,Sligro Food Group N.V.,Citadel Advisors LLC,0.69,current
2026-08-11,NL0010391025,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",0.76,current
2026-08-11,NL0010801007,IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,0.89,current
2026-08-11,NL0010391025,Pharming Group N.V.,Lazard Asset Management LLC,0.6,current
2026-08-11,NL0011821392,Signify N.V.,Marshall Wace LLP,0.89,current
2026-08-11,NL0013267909,Akzo Nobel N.V.,Millennium International Management LP,1.35,current
2026-08-10,NL0006237562,ARCADIS N.V.,"AQR Capital Management, LLC",0.69,current
2026-08-10,NL0011821392,Signify N.V.,Citadel Advisors LLC,0.84,current
2026-08-10,NL0011821392,Signify N.V.,Marshall Wace LLP,0.91,current
2026-08-10,NL0011872650,Basic-Fit N.V.,Syquant Capital,0.69,current
2026-08-10,NL0010391025,Pharming Group N.V.,"Two Sigma Investments, LP",1.59,current
2026-08-07,NL0013267909,Akzo Nobel N.V.,"BlackRock Advisors, LLC",1.1,current
2026-08-07,NL0010801007,IMCD N.V.,"BlackRock Financial Management, Inc.",0.69,current
2026-08-07,NL0010391025,Pharming Group N.V.,Citadel Advisors LLC,0.92,current
2026-08-07,NL0011872650,Basic-Fit N.V.,"D. E. Shaw & Co., L.P.",0.5,current
2026-08-07,NL0011872650,Basic-Fit N.V.,Linden Advisors LP,0.67,current
2026-08-07,NL0013267909,Akzo Nobel N.V.,Millennium International Management LP,1.2,current
2026-08-07,CY0200751713,Theon International Plc,"Two Sigma Investments, LP",0.59,current
2026-08-06,NL0010801007,IMCD N.V.,"Arrowstreet Capital, Limited Partnership",1.19,current
2026-08-06,NL00150003E1,Fugro N.V.,Citadel Advisors LLC,0.85,current
2026-08-06,NL0010391025,Pharming Group N.V.,Citadel Advisors LLC,0.85,current
2026-08-06,NL0011821392,Signify N.V.,Citadel Advisors LLC,0.79,current
2026-08-06,NL0010391025,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",0.87,current
2026-08-06,NL0011821392,Signify N.V.,Squarepoint Ops LLC,0.68,current
2026-08-06,NL0010391025,Pharming Group N.V.,Walleye Capital LLC,0.99,current
2026-08-05,NL0010391025,Pharming Group N.V.,Citadel Advisors LLC,0.78,current
2026-08-05,GB00BP6MXD84,Shell plc,"Elliott Investment Management, L.P",0.68,current
2026-08-05,NL0013267909,Akzo Nobel N.V.,LMR Partners LLP,1.08,current
2026-08-05,NL0011821392,Signify N.V.,Marshall Wace LLP,0.87,current
2026-08-05,NL0013267909,Akzo Nobel N.V.,Millennium International Management LP,1.11,current
2026-08-05,NL0012365084,NSI N.V.,Numeric Investors LLC,1.01,current
2026-08-05,NL0013267909,Akzo Nobel N.V.,"O'Connor Alternative Investments, LLC",1.29,current
2026-08-05,NL0010391025,Pharming Group N.V.,Walleye Capital LLC,1.05,current
2026-08-04,NL00150003E1,Fugro N.V.,Citadel Advisors LLC,0.73,current
2026-08-04,NL0010391025,Pharming Group N.V.,Citadel Advisors LLC,0.67,current
2026-08-04,NL0013267909,Akzo Nobel N.V.,Millennium International Management LP,1.03,current
2026-08-04,NL0012817175,Alfen N.V.,"WorldQuant, LLC",1.1,current
2026-08-03,NL0013267909,Akzo Nobel N.V.,"BlackRock Financial Management, Inc.",0.6,current
2026-08-03,NL0010391025,Pharming Group N.V.,Citadel Advisors LLC,0.57,current
2026-08-03,NL0015002IE0,Avantium N.V.,Citadel Securities (Europe) Limited,0.79,current
2026-08-03,NL0010391025,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",0.97,current
2026-08-03,CH1216478797,DSM-Firmenich AG,Marshall Wace LLP,0.99,current
2026-08-03,NL0010391025,Pharming Group N.V.,"Two Sigma Investments, LP",1.63,current
2026-08-03,NL0012817175,Alfen N.V.,"WorldQuant, LLC",1.09,current
2026-07-31,NL00150003E1,Fugro N.V.,Citadel Advisors LLC,0.61,current
2026-07-31,NL0000817179,Sligro Food Group N.V.,Citadel Advisors LLC,0.77,current
2026-07-31,NL0015002IE0,Avantium N.V.,Citadel Securities (Europe) Limited,0.8,current
2026-07-31,NL0010391025,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",0.82,current
2026-07-31,CH1216478797,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,2.1,current
2026-07-31,NL0013267909,Akzo Nobel N.V.,Millennium International Management LP,0.93,current
2026-07-31,NL0011872650,Basic-Fit N.V.,Syquant Capital,0.71,current
2026-07-31,NL0010391025,Pharming Group N.V.,"Two Sigma Investments, LP",1.56,current
2026-07-30,NL0010801007,IMCD N.V.,Capital Fund Management S.A.,0.74,current
2026-07-30,NL0000852523,TKH Group N.V.,Capital Fund Management S.A.,0.51,current
2026-07-30,NL0010391025,Pharming Group N.V.,Capstone Volatility Master (Cayman) Limited,0.69,current
2026-07-30,NL0011821392,Signify N.V.,Citadel Advisors LLC,0.85,current
2026-07-30,NL0010391025,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",0.62,current
2026-07-30,NL0010391025,Pharming Group N.V.,Lazard Asset Management LLC,0.56,current
