net_short_position,position_holder,isin,position_date,issuer_name,source
0.6,Squarepoint Ops LLC,NL0010801007,2026-03-25,IMCD N.V.,current
0.86,Voleon Capital Management LP,NL0015002IE0,2026-03-25,Avantium N.V.,current
0.56,JPMorgan Asset Management (UK) Ltd.,NL0010801007,2026-03-24,IMCD N.V.,current
1.14,Lazard Asset Management LLC,NL0010391025,2026-03-24,Pharming Group N.V.,current
0.91,Marshall Wace LLP,NL0000379121,2026-03-24,Randstad N.V.,current
2.0,Marshall Wace LLP,NL0011821392,2026-03-24,Signify N.V.,current
1.6,Marshall Wace LLP,NL0015002MS2,2026-03-24,The Magnum Ice Cream Company N.V.,current
0.79,Millennium Capital (DIFC) Limited,NL0011821392,2026-03-24,Signify N.V.,current
0.9,"PDT Partners, LLC",NL0010801007,2026-03-24,IMCD N.V.,current
0.81,Qube Research & Technologies Ltd.,JE00BRX98089,2026-03-24,CVC Capital Partners plc,current
0.89,Qube Research & Technologies Ltd.,NL0011821392,2026-03-24,Signify N.V.,current
0.59,Squarepoint Ops LLC,NL0010801007,2026-03-24,IMCD N.V.,current
1.44,"Two Sigma Investments, LP",LU2290522684,2026-03-24,InPost S.A.,current
0.6,"Two Sigma Investments, LP",CY0200751713,2026-03-24,Theon International Plc,current
2.0,Voleon Capital Management LP,NL0012817175,2026-03-24,Alfen N.V.,current
1.01,Voleon Capital Management LP,NL0015002IE0,2026-03-24,Avantium N.V.,current
0.62,Actus Ray Partners Limited,NL0015000GX8,2026-03-23,Envipco Holding N.V.,current
0.72,"AQR Capital Management, LLC",NL0012969182,2026-03-23,Adyen N.V.,current
0.64,"AQR Capital Management, LLC",NL0012817175,2026-03-23,Alfen N.V.,current
1.01,"Arrowstreet Capital, Limited Partnership",NL0010801007,2026-03-23,IMCD N.V.,current
0.6,"BlackRock Financial Management, Inc.",NL0011821392,2026-03-23,Signify N.V.,current
1.19,Citadel Advisors Europe Limited,NL0011821392,2026-03-23,Signify N.V.,current
2.3,Citadel Advisors LLC,NL0011821392,2026-03-23,Signify N.V.,current
1.18,"D. E. Shaw & Co., L.P.",NL0012817175,2026-03-23,Alfen N.V.,current
0.69,"D. E. Shaw & Co., L.P.",NL0009739416,2026-03-23,PostNL N.V.,current
0.51,GLG Partners LP,NL0015002MS2,2026-03-23,The Magnum Ice Cream Company N.V.,current
0.78,Kintbury Capital LLP,NL0013267909,2026-03-23,Akzo Nobel N.V.,current
0.7,Marshall Wace LLP,NL0009739416,2026-03-23,PostNL N.V.,current
0.69,Millennium International Management LP,NL0013267909,2026-03-23,Akzo Nobel N.V.,current
0.5,"Point72 Europe (London), LLP",NL0000379121,2026-03-23,Randstad N.V.,current
1.01,Qube Research & Technologies Ltd.,CY0200751713,2026-03-23,Theon International Plc,current
1.05,Squarepoint Ops LLC,NL0006237562,2026-03-23,ARCADIS N.V.,current
0.6,Squarepoint Ops LLC,NL0010801007,2026-03-23,IMCD N.V.,current
1.36,"Two Sigma Investments, LP",LU2290522684,2026-03-23,InPost S.A.,current
1.16,Voleon Capital Management LP,NL0015002IE0,2026-03-23,Avantium N.V.,current
0.58,"BlackRock Financial Management, Inc.",NL0011821392,2026-03-20,Signify N.V.,current
0.7,Capital Fund Management S.A.,NL0012969182,2026-03-20,Adyen N.V.,current
0.67,Citadel Advisors LLC,NL0000379121,2026-03-20,Randstad N.V.,current
0.59,"D. E. Shaw & Co., L.P.",NL0012866412,2026-03-20,BE Semiconductor Industries N.V.,current
0.75,Ilex Capital Partners (UK) LLP,CH1216478797,2026-03-20,DSM-Firmenich AG,current
0.87,Kintbury Capital LLP,NL0013267909,2026-03-20,Akzo Nobel N.V.,current
0.83,Marshall Wace LLP,NL0000379121,2026-03-20,Randstad N.V.,current
1.52,Marshall Wace LLP,NL0015002MS2,2026-03-20,The Magnum Ice Cream Company N.V.,current
0.8,Millennium Capital (DIFC) Limited,NL0011821392,2026-03-20,Signify N.V.,current
0.91,Qube Research & Technologies Ltd.,NL0011821392,2026-03-20,Signify N.V.,current
0.99,Qube Research & Technologies Ltd.,CY0200751713,2026-03-20,Theon International Plc,current
0.57,Squarepoint Ops LLC,NL0010801007,2026-03-20,IMCD N.V.,current
0.81,"Two Sigma Investments, LP",NL0010801007,2026-03-20,IMCD N.V.,current
1.26,"Two Sigma Investments, LP",LU2290522684,2026-03-20,InPost S.A.,current
0.51,Viking Global Investors LP,NL0011821202,2026-03-20,ING Groep N.V.,current
1.31,AKO Capital LLP,NL0013267909,2026-03-19,Akzo Nobel N.V.,current
0.51,"AQR Capital Management, LLC",NL0012817175,2026-03-19,Alfen N.V.,current
0.8,"AQR Capital Management, LLC",NL0006237562,2026-03-19,ARCADIS N.V.,current
0.59,Marshall Wace LLP,NL0013267909,2026-03-19,Akzo Nobel N.V.,current
0.6,Marshall Wace LLP,JE00BRX98089,2026-03-19,CVC Capital Partners plc,current
0.73,Marshall Wace LLP,NL0000379121,2026-03-19,Randstad N.V.,current
1.43,Marshall Wace LLP,NL0015002MS2,2026-03-19,The Magnum Ice Cream Company N.V.,current
0.52,Qube Research & Technologies Ltd.,NL0015002MS2,2026-03-19,The Magnum Ice Cream Company N.V.,current
1.29,Voleon Capital Management LP,NL0015002IE0,2026-03-19,Avantium N.V.,current
0.61,Winton Capital Management Limited,NL0013332471,2026-03-19,TomTom N.V.,current
2.83,"WorldQuant, LLC",NL0012817175,2026-03-19,Alfen N.V.,current
0.6,"WorldQuant, LLC",NL0010801007,2026-03-19,IMCD N.V.,current
0.6,"AQR Capital Management, LLC",NL0012969182,2026-03-18,Adyen N.V.,current
1.21,Citadel Advisors Europe Limited,NL0011821392,2026-03-18,Signify N.V.,current
0.52,"Empyrean Capital Overseas Master Fund, Ltd",NL0013267909,2026-03-18,Akzo Nobel N.V.,current
0.87,Ilex Capital Partners (UK) LLP,CH1216478797,2026-03-18,DSM-Firmenich AG,current
0.57,Qube Research & Technologies Ltd.,CY0200751713,2026-03-18,Theon International Plc,current
1.11,"Two Sigma Investments, LP",LU2290522684,2026-03-18,InPost S.A.,current
1.97,Voleon Capital Management LP,NL0012817175,2026-03-18,Alfen N.V.,current
1.43,Voleon Capital Management LP,NL0015002IE0,2026-03-18,Avantium N.V.,current
2.98,"WorldQuant, LLC",NL0012817175,2026-03-18,Alfen N.V.,current
0.59,"AQR Capital Management, LLC",NL0013267909,2026-03-17,Akzo Nobel N.V.,current
0.91,Kintbury Capital LLP,NL0013267909,2026-03-17,Akzo Nobel N.V.,current
0.7,Millennium International Management LP,NL0013267909,2026-03-17,Akzo Nobel N.V.,current
0.71,Qube Research & Technologies Ltd.,JE00BRX98089,2026-03-17,CVC Capital Partners plc,current
1.3,Marshall Wace LLP,NL0015002MS2,2026-03-16,The Magnum Ice Cream Company N.V.,current
0.8,"PDT Partners, LLC",NL0010801007,2026-03-16,IMCD N.V.,current
0.63,Squarepoint Ops LLC,NL0010801007,2026-03-16,IMCD N.V.,current
3.08,"WorldQuant, LLC",NL0012817175,2026-03-16,Alfen N.V.,current
0.52,"AQR Capital Management, LLC",NL0012969182,2026-03-13,Adyen N.V.,current
0.5,Citadel Advisors LLC,NL0000379121,2026-03-13,Randstad N.V.,current
0.98,Ilex Capital Partners (UK) LLP,CH1216478797,2026-03-13,DSM-Firmenich AG,current
0.52,Marshall Wace LLP,JE00BRX98089,2026-03-13,CVC Capital Partners plc,current
0.61,Marshall Wace LLP,NL0000379121,2026-03-13,Randstad N.V.,current
0.6,Millennium International Management LP,NL0013267909,2026-03-13,Akzo Nobel N.V.,current
1.56,Voleon Capital Management LP,NL0015002IE0,2026-03-13,Avantium N.V.,current
3.14,"WorldQuant, LLC",NL0012817175,2026-03-13,Alfen N.V.,current
0.52,"WorldQuant, LLC",NL0010801007,2026-03-13,IMCD N.V.,current
0.54,Actus Ray Partners Limited,NL0015000GX8,2026-03-12,Envipco Holding N.V.,current
0.64,Albar Capital Partners LLP,NL0013267909,2026-03-12,Akzo Nobel N.V.,current
0.65,Canada Pension Plan Investment Board,NL0011821392,2026-03-12,Signify N.V.,current
0.64,JPMorgan Asset Management (UK) Ltd.,NL0010801007,2026-03-12,IMCD N.V.,current
1.1,Squarepoint Ops LLC,NL0006237562,2026-03-12,ARCADIS N.V.,current
0.5,Squarepoint Ops LLC,NL0010801007,2026-03-12,IMCD N.V.,current
0.57,Canada Pension Plan Investment Board,NL0011821392,2026-03-11,Signify N.V.,current
0.6,Capital Fund Management S.A.,NL0012969182,2026-03-11,Adyen N.V.,current
2.24,Citadel Advisors LLC,NL0011821392,2026-03-11,Signify N.V.,current
0.69,"D. E. Shaw & Co., L.P.",NL0012866412,2026-03-11,BE Semiconductor Industries N.V.,current
0.63,Marshall Wace LLP,NL0013267909,2026-03-11,Akzo Nobel N.V.,current
1.91,Marshall Wace LLP,NL0011821392,2026-03-11,Signify N.V.,current
2.17,Citadel Advisors LLC,NL0011821392,2026-03-10,Signify N.V.,current
0.59,"Connor, Clark & Lunn Investment Management Ltd.",LU2290522684,2026-03-10,InPost S.A.,current
0.7,"D. E. Shaw & Co., L.P.",NL0012866412,2026-03-10,BE Semiconductor Industries N.V.,current
0.86,Kintbury Capital LLP,NL0013267909,2026-03-10,Akzo Nobel N.V.,current
0.96,Lazard Asset Management LLC,NL0010391025,2026-03-10,Pharming Group N.V.,current
0.59,Marshall Wace LLP,NL0013267909,2026-03-10,Akzo Nobel N.V.,current
0.72,Marshall Wace LLP,NL0000009082,2026-03-10,Koninklijke KPN N.V.,current
1.21,Marshall Wace LLP,NL0015002MS2,2026-03-10,The Magnum Ice Cream Company N.V.,current
1.03,"Two Sigma Investments, LP",LU2290522684,2026-03-10,InPost S.A.,current
0.52,Winton Capital Management Limited,NL0013332471,2026-03-10,TomTom N.V.,current
0.72,Acadian Asset Management LLC.,NL0010801007,2026-03-09,IMCD N.V.,current
1.21,AKO Capital LLP,NL0013267909,2026-03-09,Akzo Nobel N.V.,current
0.51,Capital Fund Management S.A.,NL0012969182,2026-03-09,Adyen N.V.,current
1.18,Citadel Advisors Europe Limited,NL0011821392,2026-03-09,Signify N.V.,current
0.69,Citadel Advisors LLC,NL0009739416,2026-03-09,PostNL N.V.,current
2.06,Citadel Advisors LLC,NL0011821392,2026-03-09,Signify N.V.,current
1.29,"D. E. Shaw & Co., L.P.",NL0012817175,2026-03-09,Alfen N.V.,current
0.5,"D. E. Shaw & Co., L.P.",NL0010801007,2026-03-09,IMCD N.V.,current
0.51,Millennium International Management LP,NL0013267909,2026-03-09,Akzo Nobel N.V.,current
0.71,"Two Sigma Investments, LP",NL0010801007,2026-03-09,IMCD N.V.,current
0.51,Wellington Management International Ltd.,NL0011872650,2026-03-09,Basic-Fit N.V.,current
0.67,"AQR Capital Management, LLC",NL0013267909,2026-03-06,Akzo Nobel N.V.,current
0.6,"AQR Capital Management, LLC",NL0015000IY2,2026-03-06,Universal Music Group N.V.,current
0.7,"BlackRock Advisors, LLC",NL0010801007,2026-03-06,IMCD N.V.,current
1.88,Citadel Advisors LLC,NL0011821392,2026-03-06,Signify N.V.,current
0.81,JPMorgan Asset Management (UK) Ltd.,NL00150003E1,2026-03-06,Fugro N.V.,current
1.09,Squarepoint Ops LLC,NL0006237562,2026-03-06,ARCADIS N.V.,current
0.59,Voleon Capital Management LP,NL00150003E1,2026-03-06,Fugro N.V.,current
1.1,"BlackRock Financial Management, Inc.",NL0010801007,2026-03-05,IMCD N.V.,current
0.63,Citadel Advisors LLC,NL0000289213,2026-03-05,Wereldhave N.V.,current
0.5,Marshall Wace LLP,NL0000379121,2026-03-05,Randstad N.V.,current
1.11,Marshall Wace LLP,NL0015002MS2,2026-03-05,The Magnum Ice Cream Company N.V.,current
0.6,Qube Research & Technologies Ltd.,JE00BRX98089,2026-03-05,CVC Capital Partners plc,current
0.64,Qube Research & Technologies Ltd.,CY0200751713,2026-03-05,Theon International Plc,current
0.61,Acadian Asset Management LLC.,NL0010801007,2026-03-04,IMCD N.V.,current
0.52,"AQR Capital Management, LLC",NL0000852564,2026-03-04,Aalberts N.V.,current
