net_short_position,position_holder,isin,position_date,issuer_name,source
0.5,Marshall Wace LLP,NL0000009165,2025-10-16,Heineken N.V.,archive
1.75,Millennium International Management LP,NL0010391025,2025-10-16,Pharming Group N.V.,archive
1.59,"Arrowstreet Capital, Limited Partnership",BE0003818359,2025-10-15,Galapagos NV,archive
1.81,Millennium International Management LP,NL0010391025,2025-10-15,Pharming Group N.V.,archive
1.48,"PDT Partners, LLC",NL0012817175,2025-10-15,Alfen N.V.,archive
0.74,"Point72 Europe (London), LLP",NL0011821392,2025-10-15,Signify N.V.,archive
0.8,Qube Research & Technologies Ltd.,NL0012817175,2025-10-15,Alfen N.V.,archive
0.49,Trexquant Investment LP,NL0012817175,2025-10-15,Alfen N.V.,archive
0.59,"Arrowstreet Capital, Limited Partnership",NL0012866412,2025-10-14,BE Semiconductor Industries N.V.,archive
0.71,Citadel Advisors LLC,NL00150003E1,2025-10-14,Fugro N.V.,archive
1.23,Citadel Advisors LLC,NL0010391025,2025-10-14,Pharming Group N.V.,archive
0.7,GSA Capital Partners LLP,NL0012817175,2025-10-14,Alfen N.V.,archive
0.51,JPMorgan Asset Management (UK) Ltd.,NL0009739416,2025-10-14,PostNL N.V.,archive
0.51,Millennium International Management LP,NL0011821392,2025-10-14,Signify N.V.,archive
0.65,"Point72 Europe (London), LLP",NL0011821392,2025-10-14,Signify N.V.,archive
0.51,Citadel Advisors LLC,NL0010776944,2025-10-13,Brunel International N.V.,archive
0.69,Citadel Advisors LLC,NL00150003E1,2025-10-13,Fugro N.V.,archive
0.69,GSA Capital Partners LLP,NL0012817175,2025-10-13,Alfen N.V.,archive
0.49,Marshall Wace LLP,NL0000009165,2025-10-13,Heineken N.V.,archive
1.6,Marshall Wace LLP,LU2290522684,2025-10-13,InPost S.A.,archive
0.79,Millennium International Management LP,NL00150003E1,2025-10-13,Fugro N.V.,archive
1.99,Millennium International Management LP,NL0010391025,2025-10-13,Pharming Group N.V.,archive
0.49,Citadel Advisors LLC,NL0010776944,2025-10-10,Brunel International N.V.,archive
0.7,Citadel Advisors LLC,NL00150003E1,2025-10-10,Fugro N.V.,archive
0.89,Citadel Advisors LLC,NL0009739416,2025-10-10,PostNL N.V.,archive
2.05,Millennium International Management LP,NL0010391025,2025-10-10,Pharming Group N.V.,archive
1.56,"PDT Partners, LLC",NL0012817175,2025-10-10,Alfen N.V.,archive
0.51,"PDT Partners, LLC",NL0009739416,2025-10-10,PostNL N.V.,archive
0.79,Qube Research & Technologies Ltd.,NL0012817175,2025-10-10,Alfen N.V.,archive
0.68,"Arrowstreet Capital, Limited Partnership",NL0012866412,2025-10-09,BE Semiconductor Industries N.V.,archive
0.69,Citadel Advisors LLC,NL00150003E1,2025-10-09,Fugro N.V.,archive
1.17,Citadel Advisors LLC,NL0010391025,2025-10-09,Pharming Group N.V.,archive
1.2,Citadel Advisors LLC,NL0011821392,2025-10-09,Signify N.V.,archive
0.6,Marshall Wace LLP,NL0000379121,2025-10-09,Randstad N.V.,archive
1.61,"PDT Partners, LLC",NL0012817175,2025-10-09,Alfen N.V.,archive
0.65,Qube Research & Technologies Ltd.,NL0012817175,2025-10-09,Alfen N.V.,archive
0.49,Citadel Advisors LLC,LU0569974404,2025-10-08,Aperam S.A.,archive
1.19,Citadel Advisors LLC,NL0011821392,2025-10-08,Signify N.V.,archive
1.74,"PDT Partners, LLC",NL0012817175,2025-10-08,Alfen N.V.,archive
0.83,Qube Research & Technologies Ltd.,NL0012817175,2025-10-08,Alfen N.V.,archive
0.82,Wellington Management International Ltd.,NL0011872650,2025-10-08,Basic-Fit N.V.,archive
1.22,Citadel Advisors LLC,NL0010391025,2025-10-07,Pharming Group N.V.,archive
1.22,Citadel Advisors LLC,NL0011821392,2025-10-07,Signify N.V.,archive
1.5,Marshall Wace LLP,LU2290522684,2025-10-07,InPost S.A.,archive
0.59,Marshall Wace LLP,NL0000379121,2025-10-07,Randstad N.V.,archive
0.62,Numeric Investors LLC,NL0000352565,2025-10-07,Fugro N.V.,archive
1.86,"PDT Partners, LLC",NL0012817175,2025-10-07,Alfen N.V.,archive
0.91,Qube Research & Technologies Ltd.,NL0012817175,2025-10-07,Alfen N.V.,archive
0.8,Wellington Management International Ltd.,NL00150003E1,2025-10-07,Fugro N.V.,archive
0.79,"Arrowstreet Capital, Limited Partnership",NL0012866412,2025-10-06,BE Semiconductor Industries N.V.,archive
0.79,"BlackRock Advisors, LLC",NL0011821392,2025-10-06,Signify N.V.,archive
1.15,Citadel Advisors LLC,NL0010391025,2025-10-06,Pharming Group N.V.,archive
0.68,Kintbury Capital LLP,LU2290522684,2025-10-06,InPost S.A.,archive
0.49,"PDT Partners, LLC",NL0011872650,2025-10-06,Basic-Fit N.V.,archive
0.49,"AQR Capital Management, LLC",NL0012866412,2025-10-03,BE Semiconductor Industries N.V.,archive
0.5,Citadel Advisors LLC,LU0569974404,2025-10-03,Aperam S.A.,archive
0.49,Citadel Advisors LLC,NL0015002AH0,2025-10-03,Havas N.V.,archive
1.04,Citadel Advisors LLC,NL0010391025,2025-10-03,Pharming Group N.V.,archive
0.78,Kintbury Capital LLP,LU2290522684,2025-10-03,InPost S.A.,archive
0.46,Marchant MC Ltd.,NL0011872650,2025-10-03,Basic-Fit N.V.,archive
0.05,Millennium Capital (DIFC) Limited,NL0012817175,2025-10-03,Alfen N.V.,archive
0.82,Qube Research & Technologies Ltd.,NL0012817175,2025-10-03,Alfen N.V.,archive
0.59,"AQR Capital Management, LLC",NL0000009538,2025-10-02,Koninklijke Philips N.V.,archive
0.92,Citadel Advisors Europe Limited,NL0011821392,2025-10-02,Signify N.V.,archive
0.53,Marchant MC Ltd.,NL0011872650,2025-10-02,Basic-Fit N.V.,archive
1.96,Millennium International Management LP,NL0010391025,2025-10-02,Pharming Group N.V.,archive
0.49,"WorldQuant, LLC",NL0009739416,2025-10-02,PostNL N.V.,archive
0.59,"AQR Capital Management, LLC",NL0010801007,2025-10-01,IMCD N.V.,archive
0.48,Citadel Advisors LLC,NL0000888691,2025-10-01,AMG Critical Materials N.V.,archive
1.1,Citadel Advisors LLC,NL0011821392,2025-10-01,Signify N.V.,archive
0.39,Highbridge Capital Management LLC,NL0010391025,2025-10-01,Pharming Group N.V.,archive
0.47,Marshall Wace LLP,NL0010776944,2025-10-01,Brunel International N.V.,archive
1.43,Marshall Wace LLP,LU2290522684,2025-10-01,InPost S.A.,archive
0.5,Millennium Capital (DIFC) Limited,NL0011821392,2025-10-01,Signify N.V.,archive
0.42,Millennium International Management LP,LU0569974404,2025-10-01,Aperam S.A.,archive
1.01,Qube Research & Technologies Ltd.,NL0012817175,2025-10-01,Alfen N.V.,archive
0.69,Trexquant Investment LP,NL0012817175,2025-10-01,Alfen N.V.,archive
0.5,Citadel Advisors LLC,NL0000888691,2025-09-30,AMG Critical Materials N.V.,archive
0.72,Citadel Advisors LLC,NL00150003E1,2025-09-30,Fugro N.V.,archive
0.79,GSA Capital Partners LLP,NL0012817175,2025-09-30,Alfen N.V.,archive
0.53,Highbridge Capital Management LLC,NL0010391025,2025-09-30,Pharming Group N.V.,archive
0.89,Millennium International Management LP,NL00150003E1,2025-09-30,Fugro N.V.,archive
2.02,Millennium International Management LP,NL0010391025,2025-09-30,Pharming Group N.V.,archive
1.99,"PDT Partners, LLC",NL0012817175,2025-09-30,Alfen N.V.,archive
0.57,"WorldQuant, LLC",NL0009739416,2025-09-30,PostNL N.V.,archive
0.79,"BlackRock Institutional Trust Company, National Association",NL0010801007,2025-09-29,IMCD N.V.,archive
1.1,Citadel Advisors LLC,NL0010391025,2025-09-29,Pharming Group N.V.,archive
0.38,Citadel Securities (Europe) Limited,NL0010391025,2025-09-29,Pharming Group N.V.,archive
0.49,Millennium Capital (DIFC) Limited,NL0011821392,2025-09-29,Signify N.V.,archive
0.48,"AQR Capital Management, LLC",NL0012817175,2025-09-26,Alfen N.V.,archive
0.89,"Arrowstreet Capital, Limited Partnership",NL0012866412,2025-09-26,BE Semiconductor Industries N.V.,archive
0.8,"BlackRock Institutional Trust Company, National Association",NL0010801007,2025-09-26,IMCD N.V.,archive
0.48,Citadel Advisors LLC,LU0569974404,2025-09-26,Aperam S.A.,archive
1.01,Citadel Advisors LLC,NL0010391025,2025-09-26,Pharming Group N.V.,archive
0.9,Citadel Advisors LLC,NL0009739416,2025-09-26,PostNL N.V.,archive
0.54,Citadel Securities (Europe) Limited,NL0010391025,2025-09-26,Pharming Group N.V.,archive
0.48,Marshall Wace LLP,NL00150003E1,2025-09-26,Fugro N.V.,archive
1.33,Marshall Wace LLP,LU2290522684,2025-09-26,InPost S.A.,archive
2.17,Millennium International Management LP,NL0010391025,2025-09-26,Pharming Group N.V.,archive
0.67,Actus Ray Partners Limited,NL0000888691,2025-09-25,AMG Critical Materials N.V.,archive
0.71,"Algert Global, LLC",NL0010391025,2025-09-25,Pharming Group N.V.,archive
0.49,Citadel Advisors LLC,NL0000888691,2025-09-25,AMG Critical Materials N.V.,archive
0.68,Citadel Advisors LLC,NL00150003E1,2025-09-25,Fugro N.V.,archive
0.81,GSA Capital Partners LLP,NL0012817175,2025-09-25,Alfen N.V.,archive
0.52,Marshall Wace LLP,NL00150003E1,2025-09-25,Fugro N.V.,archive
0.47,Millennium International Management LP,CY0200751713,2025-09-25,Theon International Plc,archive
0.49,"WorldQuant, LLC",NL0010776944,2025-09-25,Brunel International N.V.,archive
0.68,"BlackRock Advisors, LLC",NL0000852564,2025-09-24,Aalberts N.V.,archive
0.51,Citadel Advisors LLC,LU0569974404,2025-09-24,Aperam S.A.,archive
0.72,Citadel Advisors LLC,NL0010391025,2025-09-24,Pharming Group N.V.,archive
0.76,Highbridge Capital Management LLC,NL0010391025,2025-09-24,Pharming Group N.V.,archive
1.22,Marshall Wace LLP,LU2290522684,2025-09-24,InPost S.A.,archive
0.46,Wellington Management International Ltd.,LU2290522684,2025-09-24,InPost S.A.,archive
0.49,Acadian Asset Management LLC.,NL0011872650,2025-09-23,Basic-Fit N.V.,archive
0.97,"Arrowstreet Capital, Limited Partnership",NL0012866412,2025-09-23,BE Semiconductor Industries N.V.,archive
0.98,Canada Pension Plan Investment Board,NL0012866412,2025-09-23,BE Semiconductor Industries N.V.,archive
0.49,Citadel Advisors LLC,LU0569974404,2025-09-23,Aperam S.A.,archive
0.79,GSA Capital Partners LLP,NL0012817175,2025-09-23,Alfen N.V.,archive
0.46,Millennium International Management LP,NL0012817175,2025-09-23,Alfen N.V.,archive
0.93,Millennium International Management LP,NL00150003E1,2025-09-23,Fugro N.V.,archive
0.48,Numeric Investors LLC,NL0012866412,2025-09-23,BE Semiconductor Industries N.V.,archive
0.58,"AQR Capital Management, LLC",NL0012817175,2025-09-22,Alfen N.V.,archive
0.28,BlackRock Investment Management (UK) Limited,NL00150003E1,2025-09-22,Fugro N.V.,archive
0.59,Citadel Advisors LLC,NL0000888691,2025-09-22,AMG Critical Materials N.V.,archive
0.5,Citadel Advisors LLC,LU0569974404,2025-09-22,Aperam S.A.,archive
0.7,Citadel Advisors LLC,NL00150003E1,2025-09-22,Fugro N.V.,archive
0.87,Citadel Advisors LLC,NL0009739416,2025-09-22,PostNL N.V.,archive
0.7,Marshall Wace LLP,NL00150003E1,2025-09-22,Fugro N.V.,archive
2.02,Millennium International Management LP,NL0010391025,2025-09-22,Pharming Group N.V.,archive
0.72,Wellington Management International Ltd.,NL00150003E1,2025-09-22,Fugro N.V.,archive
0.6,"AQR Capital Management, LLC",NL0012817175,2025-09-19,Alfen N.V.,archive
0.51,Citadel Advisors LLC,NL0015002AH0,2025-09-19,Havas N.V.,archive
0.83,Citadel Advisors LLC,NL0010391025,2025-09-19,Pharming Group N.V.,archive
0.9,Citadel Advisors LLC,NL0009739416,2025-09-19,PostNL N.V.,archive
1.11,Marshall Wace LLP,LU2290522684,2025-09-19,InPost S.A.,archive
0.76,Millennium Capital (DIFC) Limited,NL0012817175,2025-09-19,Alfen N.V.,archive
0.52,Millennium International Management LP,CY0200751713,2025-09-19,Theon International Plc,archive
1.19,Qube Research & Technologies Ltd.,NL0012817175,2025-09-19,Alfen N.V.,archive
0.51,Squarepoint Ops LLC,NL0011821392,2025-09-19,Signify N.V.,archive
0.65,Citadel Advisors LLC,NL0000888691,2025-09-18,AMG Critical Materials N.V.,archive
0.49,Citadel Advisors LLC,NL0015002AH0,2025-09-18,Havas N.V.,archive
1.09,Citadel Advisors LLC,NL0011821392,2025-09-18,Signify N.V.,archive
0.47,Citadel Securities (Europe) Limited,NL0015002AG2,2025-09-18,Ebusco Holding N.V.,archive
0.46,Kintbury Capital LLP,NL0013267909,2025-09-18,Akzo Nobel N.V.,archive
0.5,Marshall Wace LLP,NL00150003E1,2025-09-18,Fugro N.V.,archive
1.9,Millennium International Management LP,NL0010391025,2025-09-18,Pharming Group N.V.,archive
0.5,"WorldQuant, LLC",NL0010776944,2025-09-18,Brunel International N.V.,archive
1.02,Marshall Wace LLP,LU2290522684,2025-09-17,InPost S.A.,archive
0.67,Millennium Capital (DIFC) Limited,NL0012817175,2025-09-17,Alfen N.V.,archive
1.24,Qube Research & Technologies Ltd.,NL0012817175,2025-09-17,Alfen N.V.,archive
0.58,Citadel Securities (Europe) Limited,NL0015002AG2,2025-09-16,Ebusco Holding N.V.,archive
0.61,Marshall Wace LLP,NL0000379121,2025-09-16,Randstad N.V.,archive
0.58,Millennium International Management LP,NL0012817175,2025-09-16,Alfen N.V.,archive
1.08,Millennium International Management LP,NL00150003E1,2025-09-16,Fugro N.V.,archive
0.78,Citadel Advisors LLC,NL0000888691,2025-09-15,AMG Critical Materials N.V.,archive
0.9,Citadel Advisors LLC,NL0010391025,2025-09-15,Pharming Group N.V.,archive
1.12,Qube Research & Technologies Ltd.,NL0012817175,2025-09-15,Alfen N.V.,archive
0.62,Wellington Management International Ltd.,NL00150003E1,2025-09-15,Fugro N.V.,archive
0.67,"WorldQuant, LLC",NL0009739416,2025-09-15,PostNL N.V.,archive
0.8,Citadel Advisors LLC,NL0000888691,2025-09-12,AMG Critical Materials N.V.,archive
0.85,Citadel Advisors LLC,NL0010391025,2025-09-12,Pharming Group N.V.,archive
0.59,Marshall Wace LLP,NL0010776944,2025-09-12,Brunel International N.V.,archive
0.68,Millennium International Management LP,NL0012817175,2025-09-12,Alfen N.V.,archive
0.51,Millennium International Management LP,LU0569974404,2025-09-12,Aperam S.A.,archive
1.8,Millennium International Management LP,NL0010391025,2025-09-12,Pharming Group N.V.,archive
0.71,"WorldQuant, LLC",NL0009739416,2025-09-12,PostNL N.V.,archive
0.62,"Algert Global, LLC",NL0010391025,2025-09-11,Pharming Group N.V.,archive
0.7,"BlackRock Institutional Trust Company, National Association",NL0010801007,2025-09-11,IMCD N.V.,archive
0.71,Citadel Advisors LLC,NL0000888691,2025-09-11,AMG Critical Materials N.V.,archive
0.76,Citadel Advisors LLC,NL0010391025,2025-09-11,Pharming Group N.V.,archive
0.51,Marshall Wace LLP,NL0000009165,2025-09-11,Heineken N.V.,archive
0.59,Marshall Wace LLP,NL0000379121,2025-09-11,Randstad N.V.,archive
1.75,Millennium International Management LP,NL0010391025,2025-09-11,Pharming Group N.V.,archive
0.69,Citadel Advisors LLC,NL0000888691,2025-09-10,AMG Critical Materials N.V.,archive
0.61,Citadel Advisors LLC,NL0010391025,2025-09-10,Pharming Group N.V.,archive
0.47,Marshall Wace LLP,NL0000009082,2025-09-10,Koninklijke KPN N.V.,archive
0.49,Numeric Investors LLC,NL0010776944,2025-09-10,Brunel International N.V.,archive
1.1,Citadel Advisors LLC,NL0011821392,2025-09-09,Signify N.V.,archive
0.68,Citadel Securities (Europe) Limited,NL0015002AG2,2025-09-09,Ebusco Holding N.V.,archive
0.77,Millennium International Management LP,NL0012817175,2025-09-09,Alfen N.V.,archive
0.0,Syquant Capital,NL0015001OJ9,2025-09-09,MFE-MEDIAFOREUROPE N.V.,archive
0.69,"AQR Capital Management, LLC",NL0000360618,2025-09-08,SBM Offshore N.V.,archive
0.8,Citadel Advisors Europe Limited,NL0011821392,2025-09-08,Signify N.V.,archive
0.57,Citadel Advisors LLC,NL0000888691,2025-09-08,AMG Critical Materials N.V.,archive
0.8,GSA Capital Partners LLP,NL0012817175,2025-09-08,Alfen N.V.,archive
1.6,Millennium International Management LP,NL0010391025,2025-09-08,Pharming Group N.V.,archive
0.51,Wellington Management International Ltd.,LU2290522684,2025-09-08,InPost S.A.,archive
0.47,"WorldQuant, LLC",NL00150003E1,2025-09-08,Fugro N.V.,archive
0.69,"WorldQuant, LLC",NL0009739416,2025-09-08,PostNL N.V.,archive
0.5,"Algert Global, LLC",NL0010391025,2025-09-05,Pharming Group N.V.,archive
0.47,Citadel Advisors LLC,NL0010558797,2025-09-05,OCI N.V.,archive
0.59,Citadel Advisors LLC,NL0010391025,2025-09-05,Pharming Group N.V.,archive
0.85,Citadel Advisors LLC,NL0009739416,2025-09-05,PostNL N.V.,archive
0.81,Kintbury Capital LLP,LU2290522684,2025-09-05,InPost S.A.,archive
0.88,Millennium International Management LP,NL0012817175,2025-09-05,Alfen N.V.,archive
0.8,"BlackRock Advisors, LLC",NL0011821392,2025-09-04,Signify N.V.,archive
0.61,Citadel Advisors LLC,NL0000888691,2025-09-04,AMG Critical Materials N.V.,archive
0.49,"Connor, Clark & Lunn Investment Management Ltd.",NL0015002IE0,2025-09-04,Avantium N.V.,archive
0.57,Marshall Wace LLP,NL0000009082,2025-09-04,Koninklijke KPN N.V.,archive
1.1,Millennium International Management LP,NL00150003E1,2025-09-04,Fugro N.V.,archive
0.52,Numeric Investors LLC,NL0000352565,2025-09-04,Fugro N.V.,archive
0.71,Citadel Advisors Europe Limited,NL0011821392,2025-09-03,Signify N.V.,archive
0.57,Citadel Advisors LLC,NL0000888691,2025-09-03,AMG Critical Materials N.V.,archive
1.02,Citadel Advisors LLC,NL0011821392,2025-09-03,Signify N.V.,archive
1.07,Highbridge Capital Management LLC,NL0010391025,2025-09-03,Pharming Group N.V.,archive
0.51,JPMorgan Asset Management (UK) Ltd.,NL0010583399,2025-09-03,Corbion N.V.,archive
0.71,Kintbury Capital LLP,LU2290522684,2025-09-03,InPost S.A.,archive
0.69,Marshall Wace LLP,NL0000379121,2025-09-03,Randstad N.V.,archive
0.93,Millennium International Management LP,NL0012817175,2025-09-03,Alfen N.V.,archive
0.49,Numeric Investors LLC,NL0010558797,2025-09-03,OCI N.V.,archive
0.49,Squarepoint Ops LLC,NL0011821392,2025-09-03,Signify N.V.,archive
0.7,"WorldQuant, LLC",NL0009739416,2025-09-03,PostNL N.V.,archive
0.62,Citadel Advisors Europe Limited,NL0011821392,2025-09-02,Signify N.V.,archive
0.61,Citadel Advisors LLC,NL0010391025,2025-09-02,Pharming Group N.V.,archive
0.6,Marshall Wace LLP,NL0010776944,2025-09-02,Brunel International N.V.,archive
0.71,Marshall Wace LLP,NL0000379121,2025-09-02,Randstad N.V.,archive
1.24,Qube Research & Technologies Ltd.,NL0012817175,2025-09-02,Alfen N.V.,archive
0.6,Qube Research & Technologies Ltd.,NL0010776944,2025-09-02,Brunel International N.V.,archive
0.5,Citadel Advisors LLC,NL0010776944,2025-09-01,Brunel International N.V.,archive
0.59,Citadel Advisors LLC,NL0010391025,2025-09-01,Pharming Group N.V.,archive
0.49,Marshall Wace LLP,NL0009739416,2025-09-01,PostNL N.V.,archive
0.69,Marshall Wace LLP,NL0000379121,2025-09-01,Randstad N.V.,archive
0.74,Millennium Capital (DIFC) Limited,NL0012817175,2025-09-01,Alfen N.V.,archive
1.53,Millennium International Management LP,NL0010391025,2025-09-01,Pharming Group N.V.,archive
1.13,Qube Research & Technologies Ltd.,NL0012817175,2025-09-01,Alfen N.V.,archive
0.73,"BlackRock Advisors, LLC",NL0000852564,2025-08-29,Aalberts N.V.,archive
0.56,BlackRock Investment Management (UK) Limited,NL00150003E1,2025-08-29,Fugro N.V.,archive
0.51,Citadel Advisors Europe Limited,NL0011821392,2025-08-29,Signify N.V.,archive
0.7,GSA Capital Partners LLP,NL0012817175,2025-08-29,Alfen N.V.,archive
0.9,Marshall Wace LLP,LU2290522684,2025-08-29,InPost S.A.,archive
0.7,Marshall Wace LLP,NL0000379121,2025-08-29,Randstad N.V.,archive
0.83,Millennium International Management LP,NL0012817175,2025-08-29,Alfen N.V.,archive
1.47,Millennium International Management LP,NL0010391025,2025-08-29,Pharming Group N.V.,archive
0.54,Numeric Investors LLC,NL0010558797,2025-08-29,OCI N.V.,archive
1.04,Qube Research & Technologies Ltd.,NL0012817175,2025-08-29,Alfen N.V.,archive
2.26,Syquant Capital,NL0015001OJ9,2025-08-29,MFE-MEDIAFOREUROPE N.V.,archive
0.56,"WorldQuant, LLC",NL00150003E1,2025-08-29,Fugro N.V.,archive
0.6,"AQR Capital Management, LLC",NL0010801007,2025-08-28,IMCD N.V.,archive
0.68,BlackRock Investment Management (UK) Limited,NL00150003E1,2025-08-28,Fugro N.V.,archive
0.62,Citadel Advisors LLC,NL0000888691,2025-08-28,AMG Critical Materials N.V.,archive
0.59,Citadel Advisors LLC,NL0015002AH0,2025-08-28,Havas N.V.,archive
0.9,Citadel Advisors LLC,NL0011821392,2025-08-28,Signify N.V.,archive
1.22,Highbridge Capital Management LLC,NL0010391025,2025-08-28,Pharming Group N.V.,archive
0.94,Millennium International Management LP,NL0012817175,2025-08-28,Alfen N.V.,archive
1.0,Millennium International Management LP,NL00150003E1,2025-08-28,Fugro N.V.,archive
1.51,Millennium International Management LP,NL0010391025,2025-08-28,Pharming Group N.V.,archive
0.49,"PDT Partners, LLC",NL0009739416,2025-08-28,PostNL N.V.,archive
1.15,Qube Research & Technologies Ltd.,NL0012817175,2025-08-28,Alfen N.V.,archive
2.19,Syquant Capital,NL0015001OJ9,2025-08-28,MFE-MEDIAFOREUROPE N.V.,archive
0.6,"AQR Capital Management, LLC",NL0000009538,2025-08-27,Koninklijke Philips N.V.,archive
0.41,Balyasny Asset Management (UK) LLP,NL0010391025,2025-08-27,Pharming Group N.V.,archive
0.6,Citadel Advisors LLC,NL0015002AH0,2025-08-27,Havas N.V.,archive
0.7,Citadel Securities (Europe) Limited,NL0015002AG2,2025-08-27,Ebusco Holding N.V.,archive
0.64,Marchant MC Ltd.,NL0011872650,2025-08-27,Basic-Fit N.V.,archive
0.6,Millennium Capital (DIFC) Limited,NL0012817175,2025-08-27,Alfen N.V.,archive
0.5,Millennium Capital (DIFC) Limited,NL0011821392,2025-08-27,Signify N.V.,archive
0.8,Millennium International Management LP,NL0012817175,2025-08-27,Alfen N.V.,archive
1.04,Syquant Capital,NL0015001OJ9,2025-08-27,MFE-MEDIAFOREUROPE N.V.,archive
0.54,Citadel Advisors LLC,NL0000888691,2025-08-26,AMG Critical Materials N.V.,archive
0.59,Citadel Advisors LLC,NL0015002AH0,2025-08-26,Havas N.V.,archive
0.57,Citadel Securities (Europe) Limited,NL0015002AG2,2025-08-26,Ebusco Holding N.V.,archive
0.6,GSA Capital Partners LLP,NL0012817175,2025-08-26,Alfen N.V.,archive
0.2,Millennium International Management LP,NL0012866412,2025-08-26,BE Semiconductor Industries N.V.,archive
0.29,Millennium International Management LP,BE0003818359,2025-08-26,Galapagos NV,archive
0.5,Qube Research & Technologies Ltd.,NL0012817175,2025-08-26,Alfen N.V.,archive
0.56,"AQR Capital Management, LLC",NL0012817175,2025-08-25,Alfen N.V.,archive
0.86,Citadel Advisors LLC,NL0011821392,2025-08-25,Signify N.V.,archive
0.58,"Connor, Clark & Lunn Investment Management Ltd.",NL0015002IE0,2025-08-25,Avantium N.V.,archive
0.93,Millennium International Management LP,NL00150003E1,2025-08-25,Fugro N.V.,archive
0.59,Qube Research & Technologies Ltd.,BE0003818359,2025-08-25,Galapagos NV,archive
0.95,Syquant Capital,NL0015001OJ9,2025-08-25,MFE-MEDIAFOREUROPE N.V.,archive
0.47,"WorldQuant, LLC",NL00150003E1,2025-08-25,Fugro N.V.,archive
0.6,"WorldQuant, LLC",NL0009739416,2025-08-25,PostNL N.V.,archive
0.54,Balyasny Asset Management (UK) LLP,NL0010391025,2025-08-22,Pharming Group N.V.,archive
1.02,Canada Pension Plan Investment Board,NL0012866412,2025-08-22,BE Semiconductor Industries N.V.,archive
0.6,Citadel Advisors LLC,NL0015002AH0,2025-08-22,Havas N.V.,archive
0.5,Citadel Advisors LLC,NL0010558797,2025-08-22,OCI N.V.,archive
0.32,"D. E. Shaw & Co., L.P.",NL0010391025,2025-08-22,Pharming Group N.V.,archive
0.48,"D. E. Shaw & Co., L.P.",NL0011821392,2025-08-22,Signify N.V.,archive
0.7,Millennium International Management LP,NL0012817175,2025-08-22,Alfen N.V.,archive
0.51,Millennium International Management LP,NL0012866412,2025-08-22,BE Semiconductor Industries N.V.,archive
0.5,Millennium International Management LP,BE0003818359,2025-08-22,Galapagos NV,archive
1.45,Millennium International Management LP,NL0010391025,2025-08-22,Pharming Group N.V.,archive
0.69,Numeric Investors LLC,NL0010558797,2025-08-22,OCI N.V.,archive
2.06,"PDT Partners, LLC",NL0012817175,2025-08-22,Alfen N.V.,archive
0.49,Citadel Advisors LLC,NL0010776944,2025-08-21,Brunel International N.V.,archive
0.59,Citadel Advisors LLC,NL0015002AH0,2025-08-21,Havas N.V.,archive
0.69,Marshall Wace LLP,NL0000009082,2025-08-21,Koninklijke KPN N.V.,archive
0.63,Millennium International Management LP,NL0012817175,2025-08-21,Alfen N.V.,archive
0.62,"BlackRock Advisors, LLC",NL0000852564,2025-08-20,Aalberts N.V.,archive
0.34,Citadel Securities (Europe) Limited,NL0015002AG2,2025-08-20,Ebusco Holding N.V.,archive
0.5,Millennium Capital (DIFC) Limited,NL0012817175,2025-08-20,Alfen N.V.,archive
0.51,"WorldQuant, LLC",NL0009739416,2025-08-20,PostNL N.V.,archive
1.69,"Arrowstreet Capital, Limited Partnership",BE0003818359,2025-08-19,Galapagos NV,archive
0.6,"BlackRock Institutional Trust Company, National Association",NL0010801007,2025-08-19,IMCD N.V.,archive
0.68,Citadel Securities (Europe) Limited,NL0015002AG2,2025-08-19,Ebusco Holding N.V.,archive
0.69,Marshall Wace LLP,NL0000379121,2025-08-19,Randstad N.V.,archive
0.49,Citadel Advisors LLC,NL0000888691,2025-08-18,AMG Critical Materials N.V.,archive
0.48,Citadel Advisors LLC,NL0010391025,2025-08-18,Pharming Group N.V.,archive
0.92,Citadel Securities (Europe) Limited,NL0015002AG2,2025-08-18,Ebusco Holding N.V.,archive
1.51,Millennium International Management LP,NL0010391025,2025-08-18,Pharming Group N.V.,archive
0.43,Citadel Securities (Europe) Limited,NL0015002AG2,2025-08-15,Ebusco Holding N.V.,archive
0.59,"D. E. Shaw & Co., L.P.",NL0010391025,2025-08-15,Pharming Group N.V.,archive
0.81,Millennium International Management LP,NL00150003E1,2025-08-15,Fugro N.V.,archive
1.49,Millennium International Management LP,NL0010391025,2025-08-15,Pharming Group N.V.,archive
2.18,"PDT Partners, LLC",NL0012817175,2025-08-15,Alfen N.V.,archive
0.7,Citadel Securities (Europe) Limited,NL0015002AG2,2025-08-14,Ebusco Holding N.V.,archive
0.5,Kintbury Capital LLP,NL0013267909,2025-08-14,Akzo Nobel N.V.,archive
0.63,Kintbury Capital LLP,LU2290522684,2025-08-14,InPost S.A.,archive
1.5,Millennium International Management LP,NL0010391025,2025-08-14,Pharming Group N.V.,archive
0.81,Syquant Capital,NL0015001OJ9,2025-08-14,MFE-MEDIAFOREUROPE N.V.,archive
0.5,"BlackRock Advisors, LLC",NL0000852564,2025-08-13,Aalberts N.V.,archive
0.6,"D. E. Shaw & Co., L.P.",NL0010391025,2025-08-13,Pharming Group N.V.,archive
0.86,Marshall Wace LLP,LU2290522684,2025-08-13,InPost S.A.,archive
