isin,position_holder,issuer_name,net_short_position,position_date,source
NL0000337319,"WorldQuant, LLC",Koninklijke BAM Groep N.V.,0.8,2014-08-08,archive
NL0000352565,"AQR Capital Management, LLC",Fugro N.V.,1.29,2014-08-07,archive
NL0000387058,"Discovery Capital Management, LLC",TomTom N.V.,0.79,2014-08-07,archive
NL0000337319,Marshall Wace LLP,Koninklijke BAM Groep N.V.,1.8,2014-08-07,archive
LU0323134006,Odey Asset Management LLP,ArcelorMittal S.A.,0.5,2014-08-07,archive
NL0000337319,Oxford Asset Management,Koninklijke BAM Groep N.V.,0.62,2014-08-06,archive
NL0000337319,"WorldQuant, LLC",Koninklijke BAM Groep N.V.,0.72,2014-08-06,archive
NL0009432491,Adelphi Capital LLP,Koninklijke Vopak N.V.,0.51,2014-08-05,archive
NL0000352565,GAM Investment Management Lugano SA,Fugro N.V.,0.56,2014-08-05,archive
LU0323134006,"Discovery Capital Management, LLC",ArcelorMittal S.A.,0.46,2014-08-04,archive
NL0000337319,"WorldQuant, LLC",Koninklijke BAM Groep N.V.,0.62,2014-08-04,archive
NL0000360618,AKO Capital LLP,SBM Offshore N.V.,0.82,2014-08-01,archive
NL0000352565,Marshall Wace LLP,Fugro N.V.,0.9,2014-08-01,archive
NL0000337319,Marshall Wace LLP,Koninklijke BAM Groep N.V.,1.6,2014-08-01,archive
NL0000360618,AKO Capital LLP,SBM Offshore N.V.,0.74,2014-07-31,archive
NL0000360618,"AQR Capital Management, LLC",SBM Offshore N.V.,1.4,2014-07-31,archive
NL0000352565,BlackRock Investment Management (UK) Limited,Fugro N.V.,0.59,2014-07-31,archive
NL0000352565,Marshall Wace LLP,Fugro N.V.,0.86,2014-07-31,archive
NL0000337319,Marshall Wace LLP,Koninklijke BAM Groep N.V.,1.55,2014-07-31,archive
NL0000337319,"WorldQuant, LLC",Koninklijke BAM Groep N.V.,0.53,2014-07-31,archive
NL0000352565,BlackRock Investment Management (UK) Limited,Fugro N.V.,0.6,2014-07-30,archive
NL0000352565,Marshall Wace LLP,Fugro N.V.,0.79,2014-07-30,archive
NL0000337319,Marshall Wace LLP,Koninklijke BAM Groep N.V.,1.46,2014-07-30,archive
LU0569974404,Adage Capital Management L.P.,Aperam S.A.,2.72,2014-07-25,archive
LU0569974404,BNP Paribas S.A.,Aperam S.A.,0.57,2014-07-25,archive
LU0569974404,CQS (UK) LLP,Aperam S.A.,1.82,2014-07-25,archive
NL0000337319,Marshall Wace LLP,Koninklijke BAM Groep N.V.,1.31,2014-07-25,archive
LU0569974404,BNP Paribas S.A.,Aperam S.A.,0.62,2014-07-24,archive
LU0323134006,"Discovery Capital Management, LLC",ArcelorMittal S.A.,0.5,2014-07-24,archive
NL0000360618,"AQR Capital Management, LLC",SBM Offshore N.V.,1.32,2014-07-23,archive
NL0000352565,BlackRock Investment Management (UK) Limited,Fugro N.V.,0.84,2014-07-23,archive
NL0000337319,Marshall Wace LLP,Koninklijke BAM Groep N.V.,1.22,2014-07-23,archive
NL0000352565,"AQR Capital Management, LLC",Fugro N.V.,1.32,2014-07-22,archive
NL0000337319,Marshall Wace LLP,Koninklijke BAM Groep N.V.,1.1,2014-07-22,archive
NL0000337319,TT International,Koninklijke BAM Groep N.V.,0.72,2014-07-22,archive
NL0000337319,"WorldQuant, LLC",Koninklijke BAM Groep N.V.,0.44,2014-07-22,archive
NL0000360618,"AQR Capital Management, LLC",SBM Offshore N.V.,1.23,2014-07-21,archive
NL0000352565,AKO Capital LLP,Fugro N.V.,0.26,2014-07-18,archive
NL0000337319,Marshall Wace LLP,Koninklijke BAM Groep N.V.,1.08,2014-07-18,archive
NL0000337319,"WorldQuant, LLC",Koninklijke BAM Groep N.V.,0.55,2014-07-18,archive
LU0569974404,BNP Paribas S.A.,Aperam S.A.,0.51,2014-07-16,archive
NL0000337319,Marshall Wace LLP,Koninklijke BAM Groep N.V.,1.19,2014-07-16,archive
NL0000352565,AKO Capital LLP,Fugro N.V.,0.5,2014-07-15,archive
NL0000360618,AKO Capital LLP,SBM Offshore N.V.,0.65,2014-07-15,archive
NL0000352565,Marshall Wace LLP,Fugro N.V.,0.82,2014-07-15,archive
NL0000337319,Marshall Wace LLP,Koninklijke BAM Groep N.V.,1.23,2014-07-15,archive
NL0000352565,AKO Capital LLP,Fugro N.V.,0.7,2014-07-14,archive
NL0000360618,AKO Capital LLP,SBM Offshore N.V.,0.57,2014-07-14,archive
NL0000337319,Marshall Wace LLP,Koninklijke BAM Groep N.V.,1.08,2014-07-14,archive
NL0000337319,"WorldQuant, LLC",Koninklijke BAM Groep N.V.,0.62,2014-07-14,archive
NL0000352565,AKO Capital LLP,Fugro N.V.,0.82,2014-07-11,archive
NL0000352565,Marshall Wace LLP,Fugro N.V.,0.72,2014-07-11,archive
NL0000337319,Marshall Wace LLP,Koninklijke BAM Groep N.V.,0.99,2014-07-11,archive
NL0000337319,"WorldQuant, LLC",Koninklijke BAM Groep N.V.,0.51,2014-07-11,archive
NL0000352565,Adelphi Capital LLP,Fugro N.V.,0.63,2014-07-10,archive
NL0000352565,AKO Capital LLP,Fugro N.V.,1.05,2014-07-10,archive
NL0000337319,AKO Capital LLP,Koninklijke BAM Groep N.V.,0.29,2014-07-10,archive
NL0000352565,"AQR Capital Management, LLC",Fugro N.V.,1.29,2014-07-10,archive
NL0000352565,BlackRock Investment Management (UK) Limited,Fugro N.V.,0.91,2014-07-10,archive
NL0000352565,Citadel Europe LLP,Fugro N.V.,0.36,2014-07-10,archive
NL0000352565,Marshall Wace LLP,Fugro N.V.,0.64,2014-07-10,archive
NL0000337319,Marshall Wace LLP,Koninklijke BAM Groep N.V.,0.89,2014-07-10,archive
NL0000352565,"AQR Capital Management, LLC",Fugro N.V.,1.37,2014-07-09,archive
NL0000337319,Marshall Wace LLP,Koninklijke BAM Groep N.V.,0.74,2014-07-09,archive
NL0000352565,"AQR Capital Management, LLC",Fugro N.V.,1.46,2014-07-08,archive
NL0000337319,Marshall Wace LLP,Koninklijke BAM Groep N.V.,0.58,2014-07-08,archive
NL0000337319,TT International,Koninklijke BAM Groep N.V.,0.53,2014-07-07,archive
NL0009269109,"BlackRock Institutional Trust Company, National Association",Koninklijke Heijmans N.V.,0.57,2014-07-03,archive
NL0000352565,AKO Capital LLP,Fugro N.V.,1.45,2014-07-01,archive
LU0569974404,CQS (UK) LLP,Aperam S.A.,1.77,2014-07-01,archive
NL0000352565,Lansdowne Partners (UK) LLP,Fugro N.V.,0.76,2014-07-01,archive
NL0000352565,Lansdowne Partners Limited,Fugro N.V.,0.0,2014-07-01,archive
LU0323134006,Odey Asset Management LLP,ArcelorMittal S.A.,0.52,2014-07-01,archive
NL0000352565,BlackRock Investment Management (UK) Limited,Fugro N.V.,0.8,2014-06-27,archive
NL0009269109,BlackRock Investment Management (UK) Limited,Koninklijke Heijmans N.V.,0.48,2014-06-27,archive
NL0000360618,"AQR Capital Management, LLC",SBM Offshore N.V.,1.0,2014-06-24,archive
NL0009269109,"BlackRock Institutional Trust Company, National Association",Koninklijke Heijmans N.V.,0.68,2014-06-20,archive
LU0569974404,CQS (UK) LLP,Aperam S.A.,1.52,2014-06-18,archive
LU0569974404,CQS (UK) LLP,Aperam S.A.,1.42,2014-06-17,archive
NL0000352565,Marshall Wace LLP,Fugro N.V.,0.39,2014-06-17,archive
NL0000360618,"AQR Capital Management, LLC",SBM Offshore N.V.,0.9,2014-06-16,archive
LU0569974404,CQS (UK) LLP,Aperam S.A.,1.27,2014-06-13,archive
NL0000352565,BlackRock Investment Management (UK) Limited,Fugro N.V.,0.7,2014-06-12,archive
NL0000352565,Citadel Europe LLP,Fugro N.V.,0.79,2014-06-11,archive
NL0000352565,BlackRock Investment Management (UK) Limited,Fugro N.V.,0.69,2014-06-10,archive
LU0569974404,CQS (UK) LLP,Aperam S.A.,1.3,2014-06-10,archive
NL0000352565,Marshall Wace LLP,Fugro N.V.,0.58,2014-06-10,archive
NL0000387058,TT International,TomTom N.V.,0.48,2014-06-10,archive
NL0000360618,"AQR Capital Management, LLC",SBM Offshore N.V.,0.81,2014-06-09,archive
LU0569974404,BNP Paribas S.A.,Aperam S.A.,0.35,2014-06-09,archive
LU0569974404,CQS (UK) LLP,Aperam S.A.,1.2,2014-06-09,archive
NL0000352565,BlackRock Investment Management (UK) Limited,Fugro N.V.,0.7,2014-06-06,archive
NL0000352565,Citadel Europe LLP,Fugro N.V.,0.8,2014-06-06,archive
LU0569974404,CQS (UK) LLP,Aperam S.A.,1.06,2014-06-06,archive
NL0000352565,UBS Global Asset Management (UK) Ltd.,Fugro N.V.,0.32,2014-06-06,archive
NL0000352565,Marshall Wace LLP,Fugro N.V.,0.65,2014-06-05,archive
NL0009269109,"BlackRock Institutional Trust Company, National Association",Koninklijke Heijmans N.V.,0.79,2014-06-04,archive
NL0009269109,BlackRock Investment Management (UK) Limited,Koninklijke Heijmans N.V.,0.59,2014-06-04,archive
LU0569974404,BNP Paribas S.A.,Aperam S.A.,0.51,2014-06-04,archive
NL0000352565,Marshall Wace LLP,Fugro N.V.,0.7,2014-06-04,archive
NL0000387058,TT International,TomTom N.V.,0.59,2014-06-04,archive
NL0000352565,Marshall Wace LLP,Fugro N.V.,0.69,2014-06-03,archive
NL0000352565,Adelphi Capital LLP,Fugro N.V.,0.71,2014-06-02,archive
LU0323134006,Odey Asset Management LLP,ArcelorMittal S.A.,0.5,2014-05-30,archive
NL0000352565,AKO Capital LLP,Fugro N.V.,1.73,2014-05-28,archive
LU0569974404,CQS (UK) LLP,Aperam S.A.,0.96,2014-05-23,archive
LU0569974404,CQS (UK) LLP,Aperam S.A.,0.81,2014-05-20,archive
NL0000360618,"AQR Capital Management, LLC",SBM Offshore N.V.,0.7,2014-05-19,archive
NL0000352565,BlackRock Investment Management (UK) Limited,Fugro N.V.,0.67,2014-05-16,archive
LU0569974404,BNP Paribas S.A.,Aperam S.A.,0.45,2014-05-16,archive
