isin,position_holder,issuer_name,position_date,net_short_position,source
NL0010801007,"D. E. Shaw & Co., L.P.",IMCD N.V.,2026-03-30,0.6,current
NL0011821392,Eleva Capital SAS,Signify N.V.,2026-03-30,1.05,current
NL0015002MS2,GLG Partners LP,The Magnum Ice Cream Company N.V.,2026-03-30,0.64,current
CH1216478797,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,2026-03-30,0.91,current
NL0011821392,Marshall Wace LLP,Signify N.V.,2026-03-30,1.87,current
NL0015002MS2,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-03-30,1.59,current
NL0012365084,Numeric Investors LLC,NSI N.V.,2026-03-30,0.61,current
NL0006237562,Squarepoint Ops LLC,ARCADIS N.V.,2026-03-30,0.99,current
CY0200751713,"Two Sigma Investments, LP",Theon International Plc,2026-03-30,0.7,current
NL0011821202,Viking Global Investors LP,ING Groep N.V.,2026-03-30,0.61,current
NL0006237562,"AQR Capital Management, LLC",ARCADIS N.V.,2026-03-27,0.9,current
NL0010801007,"Arrowstreet Capital, Limited Partnership",IMCD N.V.,2026-03-27,1.12,current
NL0010801007,"BlackRock Financial Management, Inc.",IMCD N.V.,2026-03-27,1.09,current
NL0010801007,Capital Fund Management S.A.,IMCD N.V.,2026-03-27,0.51,current
NL0006237562,"D. E. Shaw & Co., L.P.",ARCADIS N.V.,2026-03-27,0.7,current
NL0010391025,"D. E. Shaw & Co., L.P.",Pharming Group N.V.,2026-03-27,0.59,current
NL0015002MS2,GLG Partners LP,The Magnum Ice Cream Company N.V.,2026-03-27,0.59,current
NL0000379121,Marshall Wace LLP,Randstad N.V.,2026-03-27,0.86,current
NL0013267909,Millennium International Management LP,Akzo Nobel N.V.,2026-03-27,0.75,current
NL0011821392,Qube Research & Technologies Ltd.,Signify N.V.,2026-03-27,0.79,current
CY0200751713,Voleon Capital Management LP,Theon International Plc,2026-03-27,0.52,current
NL0011872650,Wellington Management International Ltd.,Basic-Fit N.V.,2026-03-27,0.6,current
NL0006237562,"D. E. Shaw & Co., L.P.",ARCADIS N.V.,2026-03-26,0.69,current
NL0015002MS2,Ilex Capital Partners (UK) LLP,The Magnum Ice Cream Company N.V.,2026-03-26,0.64,current
NL0011821392,Marshall Wace LLP,Signify N.V.,2026-03-26,1.96,current
CY0200751713,Qube Research & Technologies Ltd.,Theon International Plc,2026-03-26,1.14,current
LU2290522684,"Two Sigma Investments, LP",InPost S.A.,2026-03-26,1.5,current
NL0010801007,Voleon Capital Management LP,IMCD N.V.,2026-03-26,0.5,current
NL0012817175,"WorldQuant, LLC",Alfen N.V.,2026-03-26,2.92,current
NL0010801007,"WorldQuant, LLC",IMCD N.V.,2026-03-26,0.71,current
NL0012969182,"AQR Capital Management, LLC",Adyen N.V.,2026-03-25,0.8,current
NL0013267909,"AQR Capital Management, LLC",Akzo Nobel N.V.,2026-03-25,0.6,current
JE00BRX98089,"AQR Capital Management, LLC",CVC Capital Partners plc,2026-03-25,0.5,current
