isin,position_holder,issuer_name,position_date,net_short_position,source
NL0015002AG2,Citadel Securities (Europe) Limited,Ebusco Holding N.V.,2024-12-03,0.51,archive
NL0000888691,Millennium International Management LP,AMG Critical Materials N.V.,2024-12-03,0.51,archive
NL0010391025,Millennium International Management LP,Pharming Group N.V.,2024-12-03,3.23,archive
NL0012817175,"PDT Partners, LLC",Alfen N.V.,2024-12-03,2.03,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2024-12-03,2.18,archive
NL0013332471,Qube Research & Technologies Ltd.,TomTom N.V.,2024-12-03,0.7,archive
NL0011872650,Wellington Management International Ltd.,Basic-Fit N.V.,2024-12-03,0.6,archive
NL0009739416,"WorldQuant, LLC",PostNL N.V.,2024-12-03,0.61,archive
NL0011872643,"AQR Capital Management, LLC",ASR Nederland N.V.,2024-12-02,0.79,archive
NL0015002AG2,Citadel Securities (Europe) Limited,Ebusco Holding N.V.,2024-12-02,0.7,archive
NL00150002Q7,Citadel Securities (Europe) Limited,Vivoryon Therapeutics N.V.,2024-12-02,0.54,archive
NL0000888691,"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,2024-12-02,0.69,archive
NL0013267909,Marshall Wace LLP,Akzo Nobel N.V.,2024-12-02,0.99,archive
NL0012817175,Millennium Capital Partners LLP,Alfen N.V.,2024-12-02,1.26,archive
BMG3602E1084,Qube Research & Technologies Ltd.,Flow Traders Ltd.,2024-12-02,0.97,archive
NL0012747059,TFG Asset Management UK LLP,CM.com N.V.,2024-12-02,0.7,archive
NL0011872650,Wellington Management International Ltd.,Basic-Fit N.V.,2024-12-02,0.59,archive
NL0000888691,Actus Ray Partners Limited,AMG Critical Materials N.V.,2024-11-29,0.66,archive
NL0015002AG2,Citadel Securities (Europe) Limited,Ebusco Holding N.V.,2024-11-29,0.61,archive
NL0012817175,"PDT Partners, LLC",Alfen N.V.,2024-11-29,1.91,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2024-11-29,2.0,archive
NL0010558797,Qube Research & Technologies Ltd.,OCI N.V.,2024-11-29,2.1,archive
NL0012866412,"WorldQuant, LLC",BE Semiconductor Industries N.V.,2024-11-29,0.68,archive
NL0010558797,Citadel Advisors LLC,OCI N.V.,2024-11-28,0.87,archive
NL0010391025,GSA Capital Partners LLP,Pharming Group N.V.,2024-11-28,0.49,archive
NL0000888691,Marshall Wace LLP,AMG Critical Materials N.V.,2024-11-28,1.38,archive
NL0009739416,Marshall Wace LLP,PostNL N.V.,2024-11-28,0.89,archive
NL0012866412,"WorldQuant, LLC",BE Semiconductor Industries N.V.,2024-11-28,0.7,archive
NL0012866412,Canada Pension Plan Investment Board,BE Semiconductor Industries N.V.,2024-11-27,0.7,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,2024-11-27,1.13,archive
NL0010558797,Citadel Advisors LLC,OCI N.V.,2024-11-27,0.94,archive
NL0009739416,GSA Capital Partners LLP,PostNL N.V.,2024-11-27,0.54,archive
NL0013267909,Marshall Wace LLP,Akzo Nobel N.V.,2024-11-27,1.09,archive
NL0000888691,Marshall Wace LLP,AMG Critical Materials N.V.,2024-11-27,1.4,archive
NL0000852523,Marshall Wace LLP,TKH Group N.V.,2024-11-27,0.6,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2024-11-27,1.99,archive
NL0012817175,"Arrowstreet Capital, Limited Partnership",Alfen N.V.,2024-11-26,1.38,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,2024-11-26,1.08,archive
NL0010558797,Citadel Advisors LLC,OCI N.V.,2024-11-26,1.0,archive
NL0000888691,Marshall Wace LLP,AMG Critical Materials N.V.,2024-11-26,1.39,archive
NL0012817175,Millennium Capital Partners LLP,Alfen N.V.,2024-11-26,1.36,archive
LU0569974404,Millennium International Management LP,Aperam S.A.,2024-11-26,1.0,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2024-11-26,2.09,archive
NL0000888691,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2024-11-26,2.12,archive
NL0009739416,Qube Research & Technologies Ltd.,PostNL N.V.,2024-11-26,1.59,archive
NL0000888691,Acadian Asset Management LLC.,AMG Critical Materials N.V.,2024-11-25,0.52,archive
NL0012817175,"Arrowstreet Capital, Limited Partnership",Alfen N.V.,2024-11-25,1.51,archive
LU1598757687,Citadel Advisors LLC,ArcelorMittal S.A.,2024-11-25,0.52,archive
NL0015002AG2,Guevoura Fund Limited,Ebusco Holding N.V.,2024-11-25,0.0,archive
NL0000009082,Marshall Wace LLP,Koninklijke KPN N.V.,2024-11-25,0.89,archive
NL0010558797,Marshall Wace LLP,OCI N.V.,2024-11-25,1.84,archive
NL0009739416,Marshall Wace LLP,PostNL N.V.,2024-11-25,0.97,archive
LU0569974404,Millennium Capital Partners LLP,Aperam S.A.,2024-11-25,1.01,archive
NL0015002AG2,Millennium Capital Partners LLP,Ebusco Holding N.V.,2024-11-25,0.2,archive
NL0012817175,Millennium International Management LP,Alfen N.V.,2024-11-25,0.04,archive
LU0569974404,Millennium International Management LP,Aperam S.A.,2024-11-25,0.97,archive
NL0000888691,"PDT Partners, LLC",AMG Critical Materials N.V.,2024-11-25,0.49,archive
NL0015002AG2,Quartys Limited,Ebusco Holding N.V.,2024-11-25,0.0,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2024-11-25,2.19,archive
LU0569974404,Qube Research & Technologies Ltd.,Aperam S.A.,2024-11-25,0.42,archive
BMG3602E1084,Qube Research & Technologies Ltd.,Flow Traders Ltd.,2024-11-25,1.08,archive
NL0000888691,Acadian Asset Management LLC.,AMG Critical Materials N.V.,2024-11-22,0.47,archive
NL0000379121,AKO Capital LLP,Randstad N.V.,2024-11-22,0.71,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,2024-11-22,1.18,archive
NL0015002AG2,Citadel Securities (Europe) Limited,Ebusco Holding N.V.,2024-11-22,0.0,archive
NL0015002AG2,Guevoura Fund Limited,Ebusco Holding N.V.,2024-11-22,1.08,archive
NL0011794037,Ilex Capital Partners (UK) LLP,Koninklijke Ahold Delhaize N.V.,2024-11-22,0.53,archive
NL0015002AG2,Jane Street Group LLC,Ebusco Holding N.V.,2024-11-22,0.43,archive
NL0011794037,Marshall Wace LLP,Koninklijke Ahold Delhaize N.V.,2024-11-22,0.6,archive
NL0012817175,Millennium International Management LP,Alfen N.V.,2024-11-22,1.15,archive
NL0015002AG2,Quartys Limited,Ebusco Holding N.V.,2024-11-22,0.8,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2024-11-22,2.39,archive
NL0012047823,Qube Research & Technologies Ltd.,Avantium N.V.,2024-11-22,0.9,archive
NL0011872643,"AQR Capital Management, LLC",ASR Nederland N.V.,2024-11-21,0.8,archive
NL0010391025,"Arrowstreet Capital, Limited Partnership",Pharming Group N.V.,2024-11-21,1.12,archive
NL0000888691,Capital Fund Management S.A.,AMG Critical Materials N.V.,2024-11-21,0.5,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,2024-11-21,1.27,archive
NL0015002AG2,Citadel Securities (Europe) Limited,Ebusco Holding N.V.,2024-11-21,0.51,archive
NL0009739416,GSA Capital Partners LLP,PostNL N.V.,2024-11-21,0.6,archive
NL0015002AG2,Guevoura Fund Limited,Ebusco Holding N.V.,2024-11-21,0.8,archive
NL0011794037,Ilex Capital Partners (UK) LLP,Koninklijke Ahold Delhaize N.V.,2024-11-21,0.6,archive
NL0010558797,Marshall Wace LLP,OCI N.V.,2024-11-21,1.73,archive
NL0000852523,Marshall Wace LLP,TKH Group N.V.,2024-11-21,0.51,archive
LU0569974404,Millennium Capital Partners LLP,Aperam S.A.,2024-11-21,0.97,archive
NL0012817175,Millennium International Management LP,Alfen N.V.,2024-11-21,1.04,archive
LU0569974404,Millennium International Management LP,Aperam S.A.,2024-11-21,0.8,archive
NL0010558797,Qube Research & Technologies Ltd.,OCI N.V.,2024-11-21,2.02,archive
NL0012747059,TFG Asset Management UK LLP,CM.com N.V.,2024-11-21,0.61,archive
NL0012817175,"Arrowstreet Capital, Limited Partnership",Alfen N.V.,2024-11-20,1.89,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,2024-11-20,1.33,archive
NL0010558797,Citadel Advisors LLC,OCI N.V.,2024-11-20,0.91,archive
NL0010558797,Marshall Wace LLP,OCI N.V.,2024-11-20,1.66,archive
NL0012817175,Millennium Capital Partners LLP,Alfen N.V.,2024-11-20,1.4,archive
NL0012817175,Millennium International Management LP,Alfen N.V.,2024-11-20,0.92,archive
LU0569974404,Millennium International Management LP,Aperam S.A.,2024-11-20,0.72,archive
NL0010391025,Millennium International Management LP,Pharming Group N.V.,2024-11-20,3.1,archive
NL0012817175,"PDT Partners, LLC",Alfen N.V.,2024-11-20,1.87,archive
NL0011821392,"Point72 Europe (London), LLP",Signify N.V.,2024-11-20,0.43,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2024-11-20,2.41,archive
LU0569974404,Qube Research & Technologies Ltd.,Aperam S.A.,2024-11-20,0.59,archive
BE0003818359,Qube Research & Technologies Ltd.,Galapagos NV,2024-11-20,0.61,archive
NL0000379121,AKO Capital LLP,Randstad N.V.,2024-11-19,0.69,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,2024-11-19,1.29,archive
NL0000009082,Marshall Wace LLP,Koninklijke KPN N.V.,2024-11-19,0.98,archive
LU0569974404,Millennium Capital Partners LLP,Aperam S.A.,2024-11-19,0.82,archive
NL0012817175,Millennium International Management LP,Alfen N.V.,2024-11-19,0.82,archive
NL0012817175,"PDT Partners, LLC",Alfen N.V.,2024-11-19,1.94,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2024-11-19,2.38,archive
BMG3602E1084,Qube Research & Technologies Ltd.,Flow Traders Ltd.,2024-11-19,1.1,archive
NL0010558797,Qube Research & Technologies Ltd.,OCI N.V.,2024-11-19,1.92,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,2024-11-18,1.11,archive
NL0000888691,Marshall Wace LLP,AMG Critical Materials N.V.,2024-11-18,1.41,archive
NL0011794037,Marshall Wace LLP,Koninklijke Ahold Delhaize N.V.,2024-11-18,0.59,archive
NL0010558797,Marshall Wace LLP,OCI N.V.,2024-11-18,1.53,archive
NL0012817175,Millennium Capital Partners LLP,Alfen N.V.,2024-11-18,1.32,archive
LU0569974404,Millennium Capital Partners LLP,Aperam S.A.,2024-11-18,0.76,archive
LU0569974404,Millennium International Management LP,Aperam S.A.,2024-11-18,0.61,archive
LU0569974404,Qube Research & Technologies Ltd.,Aperam S.A.,2024-11-18,0.6,archive
NL0010391025,Qube Research & Technologies Ltd.,Pharming Group N.V.,2024-11-18,0.71,archive
NL0012866412,"WorldQuant, LLC",BE Semiconductor Industries N.V.,2024-11-18,0.6,archive
NL0012866412,"AQR Capital Management, LLC",BE Semiconductor Industries N.V.,2024-11-15,0.52,archive
NL0012866412,"Connor, Clark & Lunn Investment Management Ltd.",BE Semiconductor Industries N.V.,2024-11-15,0.52,archive
NL0015002AG2,Jane Street Group LLC,Ebusco Holding N.V.,2024-11-15,0.6,archive
NL0009739416,Marshall Wace LLP,PostNL N.V.,2024-11-15,1.08,archive
NL0012817175,Millennium International Management LP,Alfen N.V.,2024-11-15,0.62,archive
NL0013332471,Otus Capital Management Ltd.,TomTom N.V.,2024-11-15,1.08,archive
NL0012817175,"PDT Partners, LLC",Alfen N.V.,2024-11-15,1.74,archive
BE0003818359,Qube Research & Technologies Ltd.,Galapagos NV,2024-11-15,0.51,archive
NL0000888691,SIH Partners LLLP,AMG Critical Materials N.V.,2024-11-15,0.26,archive
NL0012747059,TFG Asset Management UK LLP,CM.com N.V.,2024-11-15,0.51,archive
NL0012817175,"WorldQuant, LLC",Alfen N.V.,2024-11-15,0.43,archive
NL0000888691,Capital Fund Management S.A.,AMG Critical Materials N.V.,2024-11-14,0.46,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,2024-11-14,1.05,archive
NL0010558797,Citadel Advisors LLC,OCI N.V.,2024-11-14,0.83,archive
NL0012817175,"Connor, Clark & Lunn Investment Management Ltd.",Alfen N.V.,2024-11-14,0.48,archive
NL0000009082,Marshall Wace LLP,Koninklijke KPN N.V.,2024-11-14,1.06,archive
NL0010558797,Marshall Wace LLP,OCI N.V.,2024-11-14,1.41,archive
NL0015002AG2,Millennium Capital Partners LLP,Ebusco Holding N.V.,2024-11-14,0.91,archive
NL0012817175,"PDT Partners, LLC",Alfen N.V.,2024-11-14,1.8,archive
NL0010558797,Qube Research & Technologies Ltd.,OCI N.V.,2024-11-14,1.81,archive
NL0000888691,SIH Partners LLLP,AMG Critical Materials N.V.,2024-11-14,0.58,archive
NL0012817175,"WorldQuant, LLC",Alfen N.V.,2024-11-14,0.56,archive
NL0011872650,BlackRock Investment Management (UK) Limited,Basic-Fit N.V.,2024-11-13,0.01,archive
NL0000888691,Capital Fund Management S.A.,AMG Critical Materials N.V.,2024-11-13,0.54,archive
NL0013267909,Marshall Wace LLP,Akzo Nobel N.V.,2024-11-13,1.1,archive
NL0010558797,Marshall Wace LLP,OCI N.V.,2024-11-13,1.36,archive
NL0012817175,Millennium International Management LP,Alfen N.V.,2024-11-13,0.52,archive
LU0569974404,Millennium International Management LP,Aperam S.A.,2024-11-13,0.51,archive
NL0011821392,"Point72 Europe (London), LLP",Signify N.V.,2024-11-13,0.55,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2024-11-13,2.28,archive
NL0000888691,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2024-11-13,2.09,archive
LU0569974404,Qube Research & Technologies Ltd.,Aperam S.A.,2024-11-13,0.54,archive
BMG3602E1084,Qube Research & Technologies Ltd.,Flow Traders Ltd.,2024-11-13,1.09,archive
NL0010558797,Qube Research & Technologies Ltd.,OCI N.V.,2024-11-13,1.76,archive
NL0009739416,Qube Research & Technologies Ltd.,PostNL N.V.,2024-11-13,1.6,archive
NL0012866412,"WorldQuant, LLC",BE Semiconductor Industries N.V.,2024-11-13,0.54,archive
NL0009739416,"WorldQuant, LLC",PostNL N.V.,2024-11-13,0.51,archive
NL0012866412,"AQR Capital Management, LLC",BE Semiconductor Industries N.V.,2024-11-12,0.49,archive
NL0012817175,"Arrowstreet Capital, Limited Partnership",Alfen N.V.,2024-11-12,1.98,archive
NL0006237562,Boldhaven Management LLP,ARCADIS N.V.,2024-11-12,0.69,archive
NL0000888691,Capital Fund Management S.A.,AMG Critical Materials N.V.,2024-11-12,0.6,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,2024-11-12,1.19,archive
NL0010558797,Citadel Advisors LLC,OCI N.V.,2024-11-12,0.78,archive
NL0015002AG2,Jane Street Group LLC,Ebusco Holding N.V.,2024-11-12,0.82,archive
NL0000888691,Marshall Wace LLP,AMG Critical Materials N.V.,2024-11-12,1.31,archive
NL0012817175,Millennium Capital Partners LLP,Alfen N.V.,2024-11-12,1.28,archive
LU0569974404,Millennium Capital Partners LLP,Aperam S.A.,2024-11-12,0.6,archive
NL0010391025,Millennium International Management LP,Pharming Group N.V.,2024-11-12,3.02,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2024-11-12,2.32,archive
NL0000888691,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2024-11-12,2.15,archive
BMG3602E1084,Qube Research & Technologies Ltd.,Flow Traders Ltd.,2024-11-12,1.14,archive
NL0010558797,Qube Research & Technologies Ltd.,OCI N.V.,2024-11-12,1.66,archive
NL0000888691,SIH Partners LLLP,AMG Critical Materials N.V.,2024-11-12,0.66,archive
NL0012817175,"WorldQuant, LLC",Alfen N.V.,2024-11-12,0.64,archive
NL0012866412,"AQR Capital Management, LLC",BE Semiconductor Industries N.V.,2024-11-11,0.5,archive
NL0000888691,Capital Fund Management S.A.,AMG Critical Materials N.V.,2024-11-11,0.47,archive
NL0015002AG2,Citadel Securities (Europe) Limited,Ebusco Holding N.V.,2024-11-11,0.37,archive
LU0569974404,JPMorgan Asset Management (UK) Ltd.,Aperam S.A.,2024-11-11,0.42,archive
NL0000009082,Marshall Wace LLP,Koninklijke KPN N.V.,2024-11-11,0.99,archive
NL0010558797,Marshall Wace LLP,OCI N.V.,2024-11-11,1.21,archive
NL0011821392,Mirabella Financial Services LLP,Signify N.V.,2024-11-11,0.49,archive
NL0012817175,"PDT Partners, LLC",Alfen N.V.,2024-11-11,1.76,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2024-11-11,2.24,archive
NL0010558797,Qube Research & Technologies Ltd.,OCI N.V.,2024-11-11,1.59,archive
NL0012866412,"AQR Capital Management, LLC",BE Semiconductor Industries N.V.,2024-11-08,0.49,archive
NL0000888691,Capital Fund Management S.A.,AMG Critical Materials N.V.,2024-11-08,0.53,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,2024-11-08,1.22,archive
NL0015002AG2,Citadel Securities (Europe) Limited,Ebusco Holding N.V.,2024-11-08,0.79,archive
NL0011821392,Mirabella Financial Services LLP,Signify N.V.,2024-11-08,0.51,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2024-11-08,2.48,archive
NL0011872650,Qube Research & Technologies Ltd.,Basic-Fit N.V.,2024-11-08,0.99,archive
NL0010558797,Qube Research & Technologies Ltd.,OCI N.V.,2024-11-08,1.6,archive
NL0009739416,Qube Research & Technologies Ltd.,PostNL N.V.,2024-11-08,1.51,archive
NL0011821392,AKO Capital LLP,Signify N.V.,2024-11-07,0.79,archive
NL0012817175,"Connor, Clark & Lunn Investment Management Ltd.",Alfen N.V.,2024-11-07,0.56,archive
NL0000888691,Marshall Wace LLP,AMG Critical Materials N.V.,2024-11-07,1.21,archive
NL0009739416,Marshall Wace LLP,PostNL N.V.,2024-11-07,1.1,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2024-11-07,2.04,archive
BE0003818359,Qube Research & Technologies Ltd.,Galapagos NV,2024-11-07,0.49,archive
NL0010558797,Qube Research & Technologies Ltd.,OCI N.V.,2024-11-07,1.58,archive
NL0000888691,SIH Partners LLLP,AMG Critical Materials N.V.,2024-11-07,0.58,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,2024-11-06,1.18,archive
NL0013267909,Marshall Wace LLP,Akzo Nobel N.V.,2024-11-06,1.04,archive
NL0011794037,Marshall Wace LLP,Koninklijke Ahold Delhaize N.V.,2024-11-06,0.6,archive
NL0010558797,Marshall Wace LLP,OCI N.V.,2024-11-06,1.12,archive
NL0012817175,Millennium Capital Partners LLP,Alfen N.V.,2024-11-06,1.38,archive
NL0010391025,Millennium International Management LP,Pharming Group N.V.,2024-11-06,2.9,archive
NL0012817175,"PDT Partners, LLC",Alfen N.V.,2024-11-06,1.86,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2024-11-06,2.23,archive
BMG3602E1084,Qube Research & Technologies Ltd.,Flow Traders Ltd.,2024-11-06,1.25,archive
NL0012817175,"WorldQuant, LLC",Alfen N.V.,2024-11-06,0.78,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,2024-11-05,1.27,archive
NL0013332471,Citadel Advisors LLC,TomTom N.V.,2024-11-05,0.49,archive
NL0000888691,Marshall Wace LLP,AMG Critical Materials N.V.,2024-11-05,1.1,archive
NL0010558797,Marshall Wace LLP,OCI N.V.,2024-11-05,1.04,archive
NL0009739416,Marshall Wace LLP,PostNL N.V.,2024-11-05,1.02,archive
LU0569974404,Qube Research & Technologies Ltd.,Aperam S.A.,2024-11-05,0.48,archive
NL0012817175,"WorldQuant, LLC",Alfen N.V.,2024-11-05,0.84,archive
NL0010558797,"Arrowstreet Capital, Limited Partnership",OCI N.V.,2024-11-04,0.51,archive
NL0006237562,Boldhaven Management LLP,ARCADIS N.V.,2024-11-04,0.7,archive
NL0011794037,Marshall Wace LLP,Koninklijke Ahold Delhaize N.V.,2024-11-04,0.5,archive
NL0010558797,Marshall Wace LLP,OCI N.V.,2024-11-04,0.94,archive
NL0009739416,Marshall Wace LLP,PostNL N.V.,2024-11-04,0.99,archive
NL0012817175,Millennium Capital Partners LLP,Alfen N.V.,2024-11-04,1.4,archive
NL0010391025,Millennium International Management LP,Pharming Group N.V.,2024-11-04,2.8,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2024-11-04,1.92,archive
NL0000888691,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2024-11-04,2.09,archive
BMG3602E1084,Qube Research & Technologies Ltd.,Flow Traders Ltd.,2024-11-04,1.39,archive
BE0003818359,Qube Research & Technologies Ltd.,Galapagos NV,2024-11-04,0.5,archive
NL0010558797,Qube Research & Technologies Ltd.,OCI N.V.,2024-11-04,1.64,archive
NL0009739416,Qube Research & Technologies Ltd.,PostNL N.V.,2024-11-04,1.42,archive
NL0011872650,BlackRock Investment Management (UK) Limited,Basic-Fit N.V.,2024-11-01,0.58,archive
NL0010558797,Citadel Advisors LLC,OCI N.V.,2024-11-01,0.62,archive
NL0000888691,Marshall Wace LLP,AMG Critical Materials N.V.,2024-11-01,1.09,archive
NL0010558797,Marshall Wace LLP,OCI N.V.,2024-11-01,0.81,archive
NL0000888691,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2024-11-01,2.1,archive
BMG3602E1084,Qube Research & Technologies Ltd.,Flow Traders Ltd.,2024-11-01,1.44,archive
NL0011872650,Wellington Management International Ltd.,Basic-Fit N.V.,2024-11-01,0.6,archive
NL0012817175,"WorldQuant, LLC",Alfen N.V.,2024-11-01,0.98,archive
NL0010558797,Citadel Advisors LLC,OCI N.V.,2024-10-31,0.52,archive
NL0010391025,Millennium International Management LP,Pharming Group N.V.,2024-10-31,2.71,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2024-10-31,1.86,archive
BMG3602E1084,Qube Research & Technologies Ltd.,Flow Traders Ltd.,2024-10-31,1.51,archive
NL0000888691,Acadian Asset Management LLC.,AMG Critical Materials N.V.,2024-10-30,0.56,archive
NL0011872650,BlackRock Investment Management (UK) Limited,Basic-Fit N.V.,2024-10-30,0.74,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,2024-10-30,1.39,archive
NL0010558797,Marshall Wace LLP,OCI N.V.,2024-10-30,0.5,archive
NL0012817175,Millennium Capital Partners LLP,Alfen N.V.,2024-10-30,1.31,archive
LU0569974404,Millennium Capital Partners LLP,Aperam S.A.,2024-10-30,0.56,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2024-10-30,1.76,archive
BMG3602E1084,Qube Research & Technologies Ltd.,Flow Traders Ltd.,2024-10-30,1.48,archive
NL0010558797,Qube Research & Technologies Ltd.,OCI N.V.,2024-10-30,1.52,archive
NL0000352565,TFG Asset Management UK LLP,Fugro N.V.,2024-10-30,0.2,archive
BE0003818359,"Arrowstreet Capital, Limited Partnership",Galapagos NV,2024-10-29,1.19,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,2024-10-29,1.4,archive
NL0012817175,Millennium Capital Partners LLP,Alfen N.V.,2024-10-29,1.29,archive
LU0569974404,Millennium Capital Partners LLP,Aperam S.A.,2024-10-29,0.6,archive
NL0010558797,Qube Research & Technologies Ltd.,OCI N.V.,2024-10-29,1.41,archive
NL0010391025,Qube Research & Technologies Ltd.,Pharming Group N.V.,2024-10-29,0.69,archive
NL0012817175,"WorldQuant, LLC",Alfen N.V.,2024-10-29,1.07,archive
NL0012817175,Millennium International Management LP,Alfen N.V.,2024-10-28,0.44,archive
NL0010558797,Millennium International Management LP,OCI N.V.,2024-10-28,0.0,archive
NL0009739416,Millennium International Management LP,PostNL N.V.,2024-10-28,0.39,archive
NL0011821392,"Point72 Europe (London), LLP",Signify N.V.,2024-10-28,0.44,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2024-10-28,1.64,archive
NL0010558797,Qube Research & Technologies Ltd.,OCI N.V.,2024-10-28,1.31,archive
NL0010391025,Qube Research & Technologies Ltd.,Pharming Group N.V.,2024-10-28,0.7,archive
NL0009739416,Qube Research & Technologies Ltd.,PostNL N.V.,2024-10-28,1.31,archive
NL0012817175,"WorldQuant, LLC",Alfen N.V.,2024-10-28,1.11,archive
NL0011821392,AKO Capital LLP,Signify N.V.,2024-10-25,0.69,archive
NL0012817175,"Arrowstreet Capital, Limited Partnership",Alfen N.V.,2024-10-25,2.0,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,2024-10-25,1.38,archive
NL0000888691,Marshall Wace LLP,AMG Critical Materials N.V.,2024-10-25,1.12,archive
NL0012817175,Millennium International Management LP,Alfen N.V.,2024-10-25,0.54,archive
NL0010558797,Millennium International Management LP,OCI N.V.,2024-10-25,0.75,archive
NL0010391025,Millennium International Management LP,Pharming Group N.V.,2024-10-25,2.61,archive
NL0011821392,"Point72 Europe (London), LLP",Signify N.V.,2024-10-25,0.5,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2024-10-25,1.76,archive
NL0000888691,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2024-10-25,2.07,archive
BMG3602E1084,Qube Research & Technologies Ltd.,Flow Traders Ltd.,2024-10-25,1.58,archive
NL0010391025,Qube Research & Technologies Ltd.,Pharming Group N.V.,2024-10-25,0.68,archive
NL0012817175,Teacher Retirement System of Texas,Alfen N.V.,2024-10-25,0.05,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,2024-10-24,1.44,archive
NL0013267909,Marshall Wace LLP,Akzo Nobel N.V.,2024-10-24,0.91,archive
NL0012817175,Millennium International Management LP,Alfen N.V.,2024-10-24,0.66,archive
NL0010558797,Millennium International Management LP,OCI N.V.,2024-10-24,0.61,archive
NL0010391025,Millennium International Management LP,Pharming Group N.V.,2024-10-24,2.51,archive
NL0009739416,Millennium International Management LP,PostNL N.V.,2024-10-24,0.5,archive
NL0012817175,"PDT Partners, LLC",Alfen N.V.,2024-10-24,1.99,archive
NL0000888691,"PDT Partners, LLC",AMG Critical Materials N.V.,2024-10-24,0.57,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2024-10-24,1.89,archive
NL0010391025,Qube Research & Technologies Ltd.,Pharming Group N.V.,2024-10-24,0.8,archive
NL0013332471,Qube Research & Technologies Ltd.,TomTom N.V.,2024-10-24,0.6,archive
NL0000888691,"AQR Capital Management, LLC",AMG Critical Materials N.V.,2024-10-23,0.68,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,2024-10-23,1.6,archive
NL0012817175,Millennium International Management LP,Alfen N.V.,2024-10-23,0.78,archive
NL0000888691,"PDT Partners, LLC",AMG Critical Materials N.V.,2024-10-23,0.6,archive
NL0012047823,Qube Research & Technologies Ltd.,Avantium N.V.,2024-10-23,0.8,archive
NL0011872650,Qube Research & Technologies Ltd.,Basic-Fit N.V.,2024-10-23,1.09,archive
NL0010558797,Qube Research & Technologies Ltd.,OCI N.V.,2024-10-23,1.13,archive
NL0000379121,AKO Capital LLP,Randstad N.V.,2024-10-22,0.76,archive
NL0012817175,"BlackRock Advisors, LLC",Alfen N.V.,2024-10-22,0.47,archive
NL0012866412,Canada Pension Plan Investment Board,BE Semiconductor Industries N.V.,2024-10-22,0.68,archive
NL0010391025,Millennium International Management LP,Pharming Group N.V.,2024-10-22,2.25,archive
NL0011872650,Qube Research & Technologies Ltd.,Basic-Fit N.V.,2024-10-22,1.1,archive
NL0010391025,Qube Research & Technologies Ltd.,Pharming Group N.V.,2024-10-22,0.66,archive
NL0012817175,"BlackRock Advisors, LLC",Alfen N.V.,2024-10-21,0.57,archive
NL0012817175,"BlackRock Financial Management, Inc.",Alfen N.V.,2024-10-21,0.26,archive
