position_holder,isin,issuer_name,position_date,net_short_position,source
Citadel Advisors LLC,NL0000289213,Wereldhave N.V.,2026-04-22,0.68,current
Davidson Kempner Capital Management LP,NL0013267909,Akzo Nobel N.V.,2026-04-22,1.55,current
JPMorgan Asset Management (UK) Ltd.,NL00150003E1,Fugro N.V.,2026-04-22,1.73,current
Marshall Wace LLP,NL0010801007,IMCD N.V.,2026-04-22,0.56,current
Marshall Wace LLP,NL0011821392,Signify N.V.,2026-04-22,1.76,current
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-04-22,1.09,current
Voleon Capital Management LP,NL0012817175,Alfen N.V.,2026-04-22,1.29,current
"WorldQuant, LLC",NL0012817175,Alfen N.V.,2026-04-22,2.37,current
"AQR Capital Management, LLC",NL0012969182,Adyen N.V.,2026-04-21,1.3,current
"BlackRock Advisors, LLC",NL0011821392,Signify N.V.,2026-04-21,0.5,current
Canada Pension Plan Investment Board,NL0011821392,Signify N.V.,2026-04-21,0.91,current
Capital Fund Management S.A.,NL0012969182,Adyen N.V.,2026-04-21,0.57,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,2026-04-21,1.82,current
Citadel Advisors LLC,NL0000289213,Wereldhave N.V.,2026-04-21,0.7,current
"Empyrean Capital Overseas Master Fund, Ltd",NL0013267909,Akzo Nobel N.V.,2026-04-21,0.65,current
JPMorgan Asset Management (UK) Ltd.,NL00150003E1,Fugro N.V.,2026-04-21,1.56,current
Marshall Wace LLP,NL0000379121,Randstad N.V.,2026-04-21,0.67,current
Millennium International Management LP,NL0013267909,Akzo Nobel N.V.,2026-04-21,0.57,current
"PDT Partners, LLC",NL0011821392,Signify N.V.,2026-04-21,0.88,current
Qube Research & Technologies Ltd.,CY0200751713,Theon International Plc,2026-04-21,1.03,current
Voleon Capital Management LP,NL0012817175,Alfen N.V.,2026-04-21,1.48,current
White Creek Capital LLP,NL0006237562,ARCADIS N.V.,2026-04-21,0.61,current
"WorldQuant, LLC",NL0012817175,Alfen N.V.,2026-04-21,2.54,current
"AQR Capital Management, LLC",NL0012969182,Adyen N.V.,2026-04-20,1.29,current
Canada Pension Plan Investment Board,NL0011821392,Signify N.V.,2026-04-20,0.87,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,2026-04-20,2.0,current
"D. E. Shaw & Co., L.P.",NL0011872650,Basic-Fit N.V.,2026-04-20,1.06,current
JPMorgan Asset Management (UK) Ltd.,NL00150003E1,Fugro N.V.,2026-04-20,1.45,current
Linden Advisors LP,NL0011872650,Basic-Fit N.V.,2026-04-20,0.7,current
"O'Connor Alternative Investments, LLC",NL0013267909,Akzo Nobel N.V.,2026-04-20,1.16,current
Qube Research & Technologies Ltd.,JE00BRX98089,CVC Capital Partners plc,2026-04-20,1.01,current
Voleon Capital Management LP,NL0012817175,Alfen N.V.,2026-04-20,1.58,current
White Creek Capital LLP,NL0006237562,ARCADIS N.V.,2026-04-20,0.57,current
"WorldQuant, LLC",NL0012817175,Alfen N.V.,2026-04-20,2.67,current
"BlackRock Financial Management, Inc.",NL0010801007,IMCD N.V.,2026-04-17,0.89,current
Citadel Advisors LLC,NL0010801007,IMCD N.V.,2026-04-17,0.53,current
Citadel Advisors LLC,NL0000379121,Randstad N.V.,2026-04-17,0.5,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,2026-04-17,2.22,current
Citadel Advisors LLC,NL0000817179,Sligro Food Group N.V.,2026-04-17,0.71,current
"D. E. Shaw & Co., L.P.",NL0011872650,Basic-Fit N.V.,2026-04-17,1.12,current
Davidson Kempner Capital Management LP,NL0013267909,Akzo Nobel N.V.,2026-04-17,1.41,current
Fosse Capital Partners LLP,NL0011872650,Basic-Fit N.V.,2026-04-17,1.02,current
JPMorgan Asset Management (UK) Ltd.,NL00150003E1,Fugro N.V.,2026-04-17,1.06,current
JPMorgan Asset Management (UK) Ltd.,NL0010801007,IMCD N.V.,2026-04-17,0.91,current
JPMorgan Asset Management (UK) Ltd.,NL0013332471,TomTom N.V.,2026-04-17,1.22,current
Linden Advisors LP,NL0011872650,Basic-Fit N.V.,2026-04-17,0.59,current
Marshall Wace LLP,NL0010801007,IMCD N.V.,2026-04-17,0.65,current
Marshall Wace LLP,NL0009739416,PostNL N.V.,2026-04-17,0.81,current
"PDT Partners, LLC",NL0011821392,Signify N.V.,2026-04-17,0.9,current
Sculptor Capital Management Europe Limited,NL0011872650,Basic-Fit N.V.,2026-04-17,0.6,current
"Two Sigma Investments, LP",LU2290522684,InPost S.A.,2026-04-17,1.47,current
Walleye Capital LLC,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-04-17,0.62,current
Acadian Asset Management LLC.,NL0010801007,IMCD N.V.,2026-04-16,0.69,current
AKO Capital LLP,NL0013267909,Akzo Nobel N.V.,2026-04-16,1.07,current
