position_holder,isin,issuer_name,position_date,net_short_position,source
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,2024-04-03,1.8,archive
Marshall Wace LLP,LU1598757687,ArcelorMittal S.A.,2024-04-03,0.73,archive
Qube Research & Technologies Ltd.,BMG3602E1084,Flow Traders Ltd.,2024-04-03,0.82,archive
Qube Research & Technologies Ltd.,NL0000360618,SBM Offshore N.V.,2024-04-03,0.48,archive
Citadel Securities (Europe) Limited,NL0012817175,Alfen N.V.,2024-04-02,0.54,archive
"D. E. Shaw & Co., L.P.",NL0000888691,AMG Critical Materials N.V.,2024-04-02,0.89,archive
Marshall Wace LLP,NL0011872643,ASR Nederland N.V.,2024-04-02,0.91,archive
Marshall Wace LLP,NL0000009538,Koninklijke Philips N.V.,2024-04-02,0.88,archive
Millennium International Management LP,NL0012817175,Alfen N.V.,2024-04-02,1.64,archive
"PDT Partners, LLC",NL0012817175,Alfen N.V.,2024-04-02,0.62,archive
Qube Research & Technologies Ltd.,NL0012817175,Alfen N.V.,2024-04-02,1.83,archive
Qube Research & Technologies Ltd.,LU0569974404,Aperam S.A.,2024-04-02,0.46,archive
Qube Research & Technologies Ltd.,NL0015000CZ2,Ebusco Holding N.V.,2024-04-02,0.5,archive
Otus Capital Management Ltd.,NL0015000D50,NX Filtration N.V.,2024-03-28,0.64,archive
Qube Research & Technologies Ltd.,BMG3602E1084,Flow Traders Ltd.,2024-03-28,0.75,archive
Qube Research & Technologies Ltd.,NL0010558797,OCI N.V.,2024-03-28,0.69,archive
Qube Research & Technologies Ltd.,NL0000360618,SBM Offshore N.V.,2024-03-28,0.54,archive
Qube Research & Technologies Ltd.,NL0012817175,Alfen N.V.,2024-03-27,1.6,archive
GLG Partners LP,NL0012866412,BE Semiconductor Industries N.V.,2024-03-26,0.57,archive
Marshall Wace LLP,NL0000302636,Van Lanschot Kempen N.V.,2024-03-26,0.49,archive
Qube Research & Technologies Ltd.,BMG3602E1084,Flow Traders Ltd.,2024-03-26,0.63,archive
Qube Research & Technologies Ltd.,NL0010558797,OCI N.V.,2024-03-26,0.7,archive
TFG Asset Management UK LLP,NL0000352565,Fugro N.V.,2024-03-26,0.55,archive
Voleon Capital Management LP,NL0012817175,Alfen N.V.,2024-03-26,0.79,archive
Citadel Advisors LLC,NL0000009538,Koninklijke Philips N.V.,2024-03-25,0.89,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,2024-03-25,1.7,archive
Qube Research & Technologies Ltd.,BMG3602E1084,Flow Traders Ltd.,2024-03-25,0.58,archive
JPMorgan Asset Management (UK) Ltd.,NL0009739416,PostNL N.V.,2024-03-22,0.58,archive
Qube Research & Technologies Ltd.,NL0012817175,Alfen N.V.,2024-03-22,1.59,archive
Qube Research & Technologies Ltd.,NL0010558797,OCI N.V.,2024-03-22,0.69,archive
Voleon Capital Management LP,NL0012817175,Alfen N.V.,2024-03-22,0.81,archive
AKO Capital LLP,NL0000379121,Randstad N.V.,2024-03-21,1.1,archive
Citadel Advisors LLC,NL0013332471,TomTom N.V.,2024-03-21,0.49,archive
GSA Capital Partners LLP,NL00150002Q7,Vivoryon Therapeutics N.V.,2024-03-21,0.62,archive
Marshall Wace LLP,NL0011872643,ASR Nederland N.V.,2024-03-21,0.8,archive
Marshall Wace LLP,BMG3602E1084,Flow Traders Ltd.,2024-03-21,1.1,archive
Qube Research & Technologies Ltd.,LU0569974404,Aperam S.A.,2024-03-21,0.51,archive
Qube Research & Technologies Ltd.,NL0009739416,PostNL N.V.,2024-03-21,0.47,archive
"Connor, Clark & Lunn Investment Management Ltd.",NL0012817175,Alfen N.V.,2024-03-20,0.5,archive
Millennium International Management LP,NL0010391025,Pharming Group N.V.,2024-03-20,1.29,archive
Qube Research & Technologies Ltd.,BMG3602E1084,Flow Traders Ltd.,2024-03-20,0.61,archive
Voleon Capital Management LP,NL0012817175,Alfen N.V.,2024-03-20,0.79,archive
Wellington Management International Ltd.,NL0012817175,Alfen N.V.,2024-03-20,0.6,archive
Marshall Wace LLP,LU1598757687,ArcelorMittal S.A.,2024-03-19,0.6,archive
Millennium International Management LP,NL0012817175,Alfen N.V.,2024-03-19,1.51,archive
Millennium International Management LP,NL0010391025,Pharming Group N.V.,2024-03-19,1.31,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,2024-03-18,1.68,archive
Marshall Wace LLP,NL0000852523,TKH Group N.V.,2024-03-18,0.49,archive
Qube Research & Technologies Ltd.,NL0011821392,Signify N.V.,2024-03-18,0.3,archive
Citadel Advisors LLC,NL0010391025,Pharming Group N.V.,2024-03-15,1.48,archive
Greenvale Capital LLP,NL0000009538,Koninklijke Philips N.V.,2024-03-15,0.51,archive
Marshall Wace LLP,NL0000852523,TKH Group N.V.,2024-03-15,0.5,archive
Millennium International Management LP,NL0010391025,Pharming Group N.V.,2024-03-15,1.28,archive
Qube Research & Technologies Ltd.,NL0012817175,Alfen N.V.,2024-03-15,1.67,archive
Qube Research & Technologies Ltd.,BMG3602E1084,Flow Traders Ltd.,2024-03-15,0.57,archive
Qube Research & Technologies Ltd.,NL0009739416,PostNL N.V.,2024-03-15,0.58,archive
Walleye Capital LLC,NL0012817175,Alfen N.V.,2024-03-15,0.5,archive
BlackRock Investment Management (UK) Limited,NL0011872650,Basic-Fit N.V.,2024-03-14,2.69,archive
Citadel Advisors LLC,NL0010391025,Pharming Group N.V.,2024-03-14,1.67,archive
GSA Capital Partners LLP,NL00150002Q7,Vivoryon Therapeutics N.V.,2024-03-14,0.53,archive
Marshall Wace LLP,NL0011872643,ASR Nederland N.V.,2024-03-14,0.71,archive
Marshall Wace LLP,NL0000852523,TKH Group N.V.,2024-03-14,0.49,archive
Millennium International Management LP,NL0010391025,Pharming Group N.V.,2024-03-14,1.5,archive
Qube Research & Technologies Ltd.,NL0009739416,PostNL N.V.,2024-03-14,0.6,archive
Qube Research & Technologies Ltd.,NL0011821392,Signify N.V.,2024-03-14,0.57,archive
Walleye Capital LLC,NL0012817175,Alfen N.V.,2024-03-14,0.47,archive
Citadel Advisors LLC,NL0010391025,Pharming Group N.V.,2024-03-13,1.5,archive
Marshall Wace LLP,LU1598757687,ArcelorMittal S.A.,2024-03-13,0.5,archive
Qube Research & Technologies Ltd.,NL0012817175,Alfen N.V.,2024-03-13,1.77,archive
SIH Partners LLLP,NL0012817175,Alfen N.V.,2024-03-13,0.45,archive
Voleon Capital Management LP,NL0012817175,Alfen N.V.,2024-03-13,0.89,archive
"WorldQuant, LLC",NL0012817175,Alfen N.V.,2024-03-13,0.56,archive
Citadel Advisors LLC,NL0010391025,Pharming Group N.V.,2024-03-12,1.44,archive
Millennium International Management LP,NL0010391025,Pharming Group N.V.,2024-03-12,1.43,archive
SIH Partners LLLP,NL0012817175,Alfen N.V.,2024-03-12,0.51,archive
AKO Capital LLP,NL0011821392,Signify N.V.,2024-03-11,1.39,archive
Canada Pension Plan Investment Board,NL0012817175,Alfen N.V.,2024-03-11,1.0,archive
Qube Research & Technologies Ltd.,NL0012817175,Alfen N.V.,2024-03-11,1.83,archive
Qube Research & Technologies Ltd.,NL0011821392,Signify N.V.,2024-03-11,0.61,archive
"WorldQuant, LLC",NL0012817175,Alfen N.V.,2024-03-11,0.6,archive
AKO Capital LLP,NL0011821392,Signify N.V.,2024-03-08,1.43,archive
Canada Pension Plan Investment Board,NL0012817175,Alfen N.V.,2024-03-08,0.94,archive
Millennium International Management LP,NL0012817175,Alfen N.V.,2024-03-08,1.41,archive
Millennium International Management LP,NL0010391025,Pharming Group N.V.,2024-03-08,1.37,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,2024-03-07,1.77,archive
Marshall Wace LLP,NL0015000RT3,NEPI Rockcastle N.V.,2024-03-07,0.7,archive
Marshall Wace LLP,NL0013332471,TomTom N.V.,2024-03-07,0.9,archive
Qube Research & Technologies Ltd.,NL0011821392,Signify N.V.,2024-03-07,0.5,archive
Canada Pension Plan Investment Board,NL0012817175,Alfen N.V.,2024-03-06,0.85,archive
Citadel Advisors LLC,NL0000009538,Koninklijke Philips N.V.,2024-03-06,0.92,archive
Citadel Advisors LLC,NL0010558797,OCI N.V.,2024-03-06,0.49,archive
Jupiter Investment Management Limited,NL0012817175,Alfen N.V.,2024-03-06,0.59,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,2024-03-06,1.8,archive
Marshall Wace LLP,NL0000009538,Koninklijke Philips N.V.,2024-03-06,0.99,archive
Marshall Wace LLP,NL0009739416,PostNL N.V.,2024-03-06,1.21,archive
Millennium Capital Management France SAS,NL0012866412,BE Semiconductor Industries N.V.,2024-03-06,0.27,archive
SIH Partners LLLP,NL0012817175,Alfen N.V.,2024-03-06,0.43,archive
AKO Capital LLP,NL0011821392,Signify N.V.,2024-03-05,1.57,archive
Citadel Advisors LLC,NL0010558797,OCI N.V.,2024-03-05,0.5,archive
Citadel Advisors LLC,NL0010391025,Pharming Group N.V.,2024-03-05,1.31,archive
Janus Henderson Investors UK Limited,NL00150002Q7,Vivoryon Therapeutics N.V.,2024-03-05,0.0,archive
Marshall Wace LLP,NL0000009538,Koninklijke Philips N.V.,2024-03-05,1.0,archive
Marshall Wace LLP,NL0009739416,PostNL N.V.,2024-03-05,1.18,archive
Qube Research & Technologies Ltd.,NL0012817175,Alfen N.V.,2024-03-05,1.79,archive
SIH Partners LLLP,NL0012817175,Alfen N.V.,2024-03-05,0.5,archive
Adage Capital Management L.P.,NL00150002Q7,Vivoryon Therapeutics N.V.,2024-03-04,0.0,archive
Canada Pension Plan Investment Board,NL0012817175,Alfen N.V.,2024-03-04,0.74,archive
Citadel Advisors LLC,NL0010391025,Pharming Group N.V.,2024-03-04,1.2,archive
Janus Henderson Investors UK Limited,NL00150002Q7,Vivoryon Therapeutics N.V.,2024-03-04,1.24,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,2024-03-04,1.71,archive
Marshall Wace LLP,NL0011872643,ASR Nederland N.V.,2024-03-04,0.62,archive
Marshall Wace LLP,NL0015000RT3,NEPI Rockcastle N.V.,2024-03-04,0.63,archive
Marshall Wace LLP,NL0000852523,TKH Group N.V.,2024-03-04,0.51,archive
Qube Research & Technologies Ltd.,NL0012969182,Adyen N.V.,2024-03-04,0.49,archive
Adage Capital Management L.P.,NL00150002Q7,Vivoryon Therapeutics N.V.,2024-03-01,0.92,archive
BlackRock Investment Management (UK) Limited,NL0011821392,Signify N.V.,2024-03-01,0.89,archive
Canada Pension Plan Investment Board,NL0012817175,Alfen N.V.,2024-03-01,0.65,archive
Citadel Advisors LLC,NL0000009538,Koninklijke Philips N.V.,2024-03-01,0.81,archive
Citadel Advisors LLC,NL0010558797,OCI N.V.,2024-03-01,0.49,archive
Marshall Wace LLP,NL0000852523,TKH Group N.V.,2024-03-01,0.49,archive
Qube Research & Technologies Ltd.,NL0012817175,Alfen N.V.,2024-03-01,1.89,archive
Qube Research & Technologies Ltd.,NL0009739416,PostNL N.V.,2024-03-01,0.56,archive
Adage Capital Management L.P.,NL00150002Q7,Vivoryon Therapeutics N.V.,2024-02-29,0.87,archive
Citadel Advisors LLC,NL0010391025,Pharming Group N.V.,2024-02-29,1.13,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,2024-02-29,1.67,archive
Marshall Wace LLP,NL0011872643,ASR Nederland N.V.,2024-02-29,0.54,archive
"PDT Partners, LLC",NL0012817175,Alfen N.V.,2024-02-29,0.59,archive
Qube Research & Technologies Ltd.,NL0012817175,Alfen N.V.,2024-02-29,1.96,archive
Qube Research & Technologies Ltd.,NL0011821202,ING Groep N.V.,2024-02-29,0.41,archive
Qube Research & Technologies Ltd.,NL0010558797,OCI N.V.,2024-02-29,0.77,archive
Qube Research & Technologies Ltd.,NL0000360618,SBM Offshore N.V.,2024-02-29,0.46,archive
AKO Capital LLP,NL0000379121,Randstad N.V.,2024-02-28,1.0,archive
Citadel Advisors LLC,NL0000009538,Koninklijke Philips N.V.,2024-02-28,0.78,archive
"Connor, Clark & Lunn Investment Management Ltd.",NL0012817175,Alfen N.V.,2024-02-28,0.49,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,2024-02-28,1.72,archive
Qube Research & Technologies Ltd.,NL0012817175,Alfen N.V.,2024-02-28,2.0,archive
Voleon Capital Management LP,NL0012817175,Alfen N.V.,2024-02-28,0.94,archive
"AQR Capital Management, LLC",NL0000360618,SBM Offshore N.V.,2024-02-27,0.49,archive
Citadel Advisors LLC,NL0010391025,Pharming Group N.V.,2024-02-27,1.0,archive
Janus Henderson Investors UK Limited,NL00150002Q7,Vivoryon Therapeutics N.V.,2024-02-27,2.97,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,2024-02-27,1.81,archive
Qube Research & Technologies Ltd.,NL0012817175,Alfen N.V.,2024-02-27,2.16,archive
Qube Research & Technologies Ltd.,NL0009739416,PostNL N.V.,2024-02-27,0.66,archive
Adage Capital Management L.P.,NL00150002Q7,Vivoryon Therapeutics N.V.,2024-02-26,0.74,archive
"D. E. Shaw & Co., L.P.",NL0000888691,AMG Critical Materials N.V.,2024-02-26,0.98,archive
Janus Henderson Investors UK Limited,NL00150002Q7,Vivoryon Therapeutics N.V.,2024-02-26,2.8,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,2024-02-26,1.93,archive
Marshall Wace LLP,NL0009739416,PostNL N.V.,2024-02-26,1.23,archive
Millennium International Management LP,NL0012817175,Alfen N.V.,2024-02-26,1.3,archive
Qube Research & Technologies Ltd.,NL0010558797,OCI N.V.,2024-02-26,0.97,archive
Qube Research & Technologies Ltd.,NL0011821392,Signify N.V.,2024-02-26,0.49,archive
"Connor, Clark & Lunn Investment Management Ltd.",NL0012817175,Alfen N.V.,2024-02-23,0.5,archive
Greenvale Capital LLP,NL0000009538,Koninklijke Philips N.V.,2024-02-23,0.49,archive
Marshall Wace LLP,NL0009739416,PostNL N.V.,2024-02-23,1.11,archive
Qube Research & Technologies Ltd.,NL0012817175,Alfen N.V.,2024-02-23,2.24,archive
Qube Research & Technologies Ltd.,NL0000360618,SBM Offshore N.V.,2024-02-23,0.51,archive
Voleon Capital Management LP,NL0012817175,Alfen N.V.,2024-02-23,0.83,archive
Walleye Capital LLC,NL0012817175,Alfen N.V.,2024-02-23,0.59,archive
BlackRock Investment Management (UK) Limited,NL0011872650,Basic-Fit N.V.,2024-02-22,2.29,archive
Canada Pension Plan Investment Board,NL0012817175,Alfen N.V.,2024-02-22,0.53,archive
Citadel Advisors LLC,NL0000009538,Koninklijke Philips N.V.,2024-02-22,0.8,archive
Citadel Advisors LLC,NL0013332471,TomTom N.V.,2024-02-22,0.58,archive
Janus Henderson Investors UK Limited,NL00150002Q7,Vivoryon Therapeutics N.V.,2024-02-22,2.72,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,2024-02-22,2.02,archive
Millennium International Management LP,NL0012817175,Alfen N.V.,2024-02-22,1.21,archive
Qube Research & Technologies Ltd.,NL0011821392,Signify N.V.,2024-02-22,0.52,archive
"WorldQuant, LLC",NL0012817175,Alfen N.V.,2024-02-22,0.5,archive
BlackRock Investment Management (UK) Limited,NL0011872650,Basic-Fit N.V.,2024-02-21,2.31,archive
Citadel Advisors LLC,NL0012817175,Alfen N.V.,2024-02-21,0.39,archive
Citadel Advisors LLC,NL0010558797,OCI N.V.,2024-02-21,0.53,archive
Citadel Advisors LLC,NL0010391025,Pharming Group N.V.,2024-02-21,0.91,archive
Greenvale Capital LLP,NL0000009538,Koninklijke Philips N.V.,2024-02-21,0.54,archive
Janus Henderson Investors UK Limited,NL00150002Q7,Vivoryon Therapeutics N.V.,2024-02-21,2.61,archive
JPMorgan Asset Management (UK) Ltd.,NL0000360618,SBM Offshore N.V.,2024-02-21,0.44,archive
Marshall Wace LLP,NL0015000RT3,NEPI Rockcastle N.V.,2024-02-21,0.5,archive
Qube Research & Technologies Ltd.,NL0011821202,ING Groep N.V.,2024-02-21,0.51,archive
Qube Research & Technologies Ltd.,NL0011821392,Signify N.V.,2024-02-21,0.47,archive
Capital Fund Management S.A.,NL0011540547,ABN AMRO Bank NV,2024-02-20,0.49,archive
Citadel Advisors LLC,NL0012817175,Alfen N.V.,2024-02-20,0.55,archive
Citadel Advisors LLC,NL0000009538,Koninklijke Philips N.V.,2024-02-20,0.78,archive
"D. E. Shaw & Co., L.P.",NL0000888691,AMG Critical Materials N.V.,2024-02-20,1.0,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,2024-02-20,1.93,archive
Marshall Wace LLP,BMG3602E1084,Flow Traders Ltd.,2024-02-20,1.0,archive
Marshall Wace LLP,NL0011821202,ING Groep N.V.,2024-02-20,0.46,archive
Marshall Wace LLP,NL0009739416,PostNL N.V.,2024-02-20,1.02,archive
Millennium International Management LP,NL0012817175,Alfen N.V.,2024-02-20,1.14,archive
"PDT Partners, LLC",NL0012817175,Alfen N.V.,2024-02-20,0.69,archive
Walleye Capital LLC,NL0012817175,Alfen N.V.,2024-02-20,0.61,archive
BNP Paribas S.A.,NL0000009082,Koninklijke KPN N.V.,2024-02-19,0.13,archive
Citadel Advisors LLC,NL0012817175,Alfen N.V.,2024-02-19,0.66,archive
Marshall Wace LLP,NL0000302636,Van Lanschot Kempen N.V.,2024-02-19,0.5,archive
Millennium International Management LP,NL0012817175,Alfen N.V.,2024-02-19,1.06,archive
Millennium International Management LP,NL0009739416,PostNL N.V.,2024-02-19,0.46,archive
Qube Research & Technologies Ltd.,NL0012817175,Alfen N.V.,2024-02-19,2.1,archive
Citadel Advisors LLC,NL0012817175,Alfen N.V.,2024-02-16,0.73,archive
Citadel Advisors LLC,NL0010391025,Pharming Group N.V.,2024-02-16,0.8,archive
"Connor, Clark & Lunn Investment Management Ltd.",NL0012817175,Alfen N.V.,2024-02-16,0.49,archive
JPMorgan Asset Management (UK) Ltd.,NL0000360618,SBM Offshore N.V.,2024-02-16,0.57,archive
Marshall Wace LLP,BMG3602E1084,Flow Traders Ltd.,2024-02-16,0.9,archive
Marshall Wace LLP,NL0009739416,PostNL N.V.,2024-02-16,0.95,archive
Millennium International Management LP,NL0012817175,Alfen N.V.,2024-02-16,0.82,archive
Millennium International Management LP,NL0010391025,Pharming Group N.V.,2024-02-16,1.4,archive
"PDT Partners, LLC",NL0012817175,Alfen N.V.,2024-02-16,0.7,archive
"Point72 Asset Management, L.P.",NL0012866412,BE Semiconductor Industries N.V.,2024-02-16,0.43,archive
Qube Research & Technologies Ltd.,NL0010558797,OCI N.V.,2024-02-16,1.07,archive
Qube Research & Technologies Ltd.,NL0009739416,PostNL N.V.,2024-02-16,0.73,archive
Syquant Capital,NL0000009082,Koninklijke KPN N.V.,2024-02-16,0.0,archive
Walleye Capital LLC,NL0012817175,Alfen N.V.,2024-02-16,0.59,archive
BNP Paribas S.A.,NL0000009082,Koninklijke KPN N.V.,2024-02-15,0.59,archive
Citadel Advisors Europe Limited,NL0000009082,Koninklijke KPN N.V.,2024-02-15,0.0,archive
Citadel Advisors LLC,NL0010391025,Pharming Group N.V.,2024-02-15,0.73,archive
"D. E. Shaw & Co., L.P.",NL0000888691,AMG Critical Materials N.V.,2024-02-15,0.96,archive
LMR Partners LLP,NL0000009082,Koninklijke KPN N.V.,2024-02-15,0.21,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,2024-02-15,1.8,archive
Marshall Wace LLP,NL0000302636,Van Lanschot Kempen N.V.,2024-02-15,0.49,archive
Millennium International Management LP,NL0012817175,Alfen N.V.,2024-02-15,0.79,archive
Millennium International Management LP,NL0009739416,PostNL N.V.,2024-02-15,0.62,archive
Qube Research & Technologies Ltd.,NL0012817175,Alfen N.V.,2024-02-15,2.0,archive
Qube Research & Technologies Ltd.,NL0010558797,OCI N.V.,2024-02-15,1.13,archive
Capital Fund Management S.A.,NL0012817175,Alfen N.V.,2024-02-14,0.49,archive
Citadel Advisors LLC,NL0010391025,Pharming Group N.V.,2024-02-14,0.68,archive
JPMorgan Asset Management (UK) Ltd.,NL0009739416,PostNL N.V.,2024-02-14,0.64,archive
Marshall Wace LLP,BMG3602E1084,Flow Traders Ltd.,2024-02-14,0.81,archive
Millennium International Management LP,NL0012817175,Alfen N.V.,2024-02-14,0.85,archive
Millennium International Management LP,NL0010391025,Pharming Group N.V.,2024-02-14,1.3,archive
"PDT Partners, LLC",NL0012817175,Alfen N.V.,2024-02-14,0.66,archive
"Point72 Asset Management, L.P.",NL0012866412,BE Semiconductor Industries N.V.,2024-02-14,0.56,archive
Qube Research & Technologies Ltd.,NL0012817175,Alfen N.V.,2024-02-14,1.96,archive
Qube Research & Technologies Ltd.,LU1598757687,ArcelorMittal S.A.,2024-02-14,0.47,archive
Qube Research & Technologies Ltd.,NL0009739416,PostNL N.V.,2024-02-14,0.68,archive
Voleon Capital Management LP,NL0012817175,Alfen N.V.,2024-02-14,0.65,archive
Citadel Advisors Europe Limited,NL0000009082,Koninklijke KPN N.V.,2024-02-13,0.85,archive
Citadel Advisors LLC,NL0012817175,Alfen N.V.,2024-02-13,0.58,archive
Citadel Advisors LLC,NL0000009538,Koninklijke Philips N.V.,2024-02-13,0.81,archive
Citadel Advisors LLC,NL0010391025,Pharming Group N.V.,2024-02-13,0.5,archive
Janus Henderson Investors UK Limited,NL00150002Q7,Vivoryon Therapeutics N.V.,2024-02-13,2.51,archive
JPMorgan Asset Management (UK) Ltd.,NL0000360618,SBM Offshore N.V.,2024-02-13,0.68,archive
LMR Partners LLP,NL0000009082,Koninklijke KPN N.V.,2024-02-13,0.65,archive
Marshall Wace LLP,NL0013267909,Akzo Nobel N.V.,2024-02-13,0.46,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,2024-02-13,1.73,archive
Marshall Wace LLP,BMG3602E1084,Flow Traders Ltd.,2024-02-13,0.78,archive
Marshall Wace LLP,NL0000302636,Van Lanschot Kempen N.V.,2024-02-13,0.5,archive
Millennium International Management LP,NL0012817175,Alfen N.V.,2024-02-13,0.91,archive
Millennium International Management LP,NL0010391025,Pharming Group N.V.,2024-02-13,1.19,archive
Millennium International Management LP,NL0009739416,PostNL N.V.,2024-02-13,0.58,archive
"Point72 Asset Management, L.P.",NL0012866412,BE Semiconductor Industries N.V.,2024-02-13,0.65,archive
Qube Research & Technologies Ltd.,NL0012817175,Alfen N.V.,2024-02-13,1.87,archive
Qube Research & Technologies Ltd.,LU1598757687,ArcelorMittal S.A.,2024-02-13,0.51,archive
Voleon Capital Management LP,NL0012817175,Alfen N.V.,2024-02-13,0.71,archive
Capital Fund Management S.A.,NL0012817175,Alfen N.V.,2024-02-12,0.5,archive
JPMorgan Asset Management (UK) Ltd.,NL0009739416,PostNL N.V.,2024-02-12,0.51,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,2024-02-12,1.65,archive
Marshall Wace LLP,NL0009739416,PostNL N.V.,2024-02-12,0.83,archive
Marshall Wace LLP,NL0013332471,TomTom N.V.,2024-02-12,0.89,archive
Millennium International Management LP,NL0012817175,Alfen N.V.,2024-02-12,1.11,archive
Millennium International Management LP,NL0010391025,Pharming Group N.V.,2024-02-12,0.9,archive
"Point72 Asset Management, L.P.",NL0012866412,BE Semiconductor Industries N.V.,2024-02-12,0.77,archive
Qube Research & Technologies Ltd.,NL0011821392,Signify N.V.,2024-02-12,0.5,archive
Wellington Management International Ltd.,NL0012817175,Alfen N.V.,2024-02-12,0.55,archive
BlackRock Investment Management (UK) Limited,NL0011821392,Signify N.V.,2024-02-09,0.99,archive
Citadel Advisors LLC,NL0010558797,OCI N.V.,2024-02-09,0.49,archive
Greenvale Capital LLP,NL0000009538,Koninklijke Philips N.V.,2024-02-09,0.64,archive
Marshall Wace LLP,NL0000009538,Koninklijke Philips N.V.,2024-02-09,0.9,archive
Millennium Capital Management (Hong Kong) Limited,NL0012047823,Avantium N.V.,2024-02-09,0.43,archive
Pentwater Capital Management LP,NL0012047823,Avantium N.V.,2024-02-09,0.37,archive
"Point72 Asset Management, L.P.",NL0012866412,BE Semiconductor Industries N.V.,2024-02-09,0.89,archive
Qube Research & Technologies Ltd.,NL0012969182,Adyen N.V.,2024-02-09,0.58,archive
Qube Research & Technologies Ltd.,NL0012817175,Alfen N.V.,2024-02-09,1.99,archive
BlackRock Investment Management (UK) Limited,NL0011872650,Basic-Fit N.V.,2024-02-08,2.44,archive
Greenvale Capital LLP,NL0000009538,Koninklijke Philips N.V.,2024-02-08,0.73,archive
Millennium International Management LP,NL0012817175,Alfen N.V.,2024-02-08,1.28,archive
Millennium International Management LP,NL0009739416,PostNL N.V.,2024-02-08,0.69,archive
Pentwater Capital Management LP,NL0012047823,Avantium N.V.,2024-02-08,1.1,archive
Walleye Capital LLC,NL0012817175,Alfen N.V.,2024-02-08,0.6,archive
AKO Capital LLP,NL0011821392,Signify N.V.,2024-02-07,1.63,archive
BNP Paribas S.A.,NL0000009082,Koninklijke KPN N.V.,2024-02-07,0.99,archive
Citadel Advisors LLC,NL0012817175,Alfen N.V.,2024-02-07,0.64,archive
"ExodusPoint Capital Management, LP",LU0569974404,Aperam S.A.,2024-02-07,0.46,archive
Janus Henderson Investors UK Limited,NL00150002Q7,Vivoryon Therapeutics N.V.,2024-02-07,2.39,archive
LMR Partners LLP,NL0000009082,Koninklijke KPN N.V.,2024-02-07,0.9,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,2024-02-07,1.57,archive
Millennium International Management LP,NL0012817175,Alfen N.V.,2024-02-07,1.3,archive
Qube Research & Technologies Ltd.,NL0009739416,PostNL N.V.,2024-02-07,0.78,archive
AKO Capital LLP,NL0000379121,Randstad N.V.,2024-02-06,0.91,archive
"Arrowstreet Capital, Limited Partnership",NL0012817175,Alfen N.V.,2024-02-06,1.47,archive
BNP Paribas S.A.,NL0000009082,Koninklijke KPN N.V.,2024-02-06,0.73,archive
Citadel Advisors LLC,NL0012817175,Alfen N.V.,2024-02-06,0.74,archive
LMR Partners LLP,NL0000009082,Koninklijke KPN N.V.,2024-02-06,0.66,archive
Pentwater Capital Management LP,NL0012047823,Avantium N.V.,2024-02-06,1.03,archive
Qube Research & Technologies Ltd.,NL0009739416,PostNL N.V.,2024-02-06,0.69,archive
AKO Capital LLP,NL0011821392,Signify N.V.,2024-02-05,1.42,archive
BNP Paribas S.A.,NL0000009082,Koninklijke KPN N.V.,2024-02-05,0.57,archive
Citadel Advisors Europe Limited,NL0000009082,Koninklijke KPN N.V.,2024-02-05,1.61,archive
Citadel Advisors LLC,NL0012817175,Alfen N.V.,2024-02-05,0.82,archive
LMR Partners LLP,NL0000009082,Koninklijke KPN N.V.,2024-02-05,0.54,archive
Marshall Wace LLP,NL0013267909,Akzo Nobel N.V.,2024-02-05,0.52,archive
Marshall Wace LLP,NL0011821202,ING Groep N.V.,2024-02-05,0.69,archive
Marshall Wace LLP,NL0000009538,Koninklijke Philips N.V.,2024-02-05,0.81,archive
"PDT Partners, LLC",NL0012817175,Alfen N.V.,2024-02-05,0.71,archive
Qube Research & Technologies Ltd.,NL0009739416,PostNL N.V.,2024-02-05,0.72,archive
Citadel Advisors LLC,NL0000009538,Koninklijke Philips N.V.,2024-02-02,0.72,archive
Citadel Advisors LLC,NL0013332471,TomTom N.V.,2024-02-02,0.68,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,2024-02-02,1.61,archive
Otus Capital Management Ltd.,NL0013332471,TomTom N.V.,2024-02-02,1.31,archive
Pentwater Capital Management LP,NL0012047823,Avantium N.V.,2024-02-02,1.18,archive
Whitebox Advisors LLC,NL0012747059,CM.com N.V.,2024-02-02,1.04,archive
AKO Capital LLP,NL0011821392,Signify N.V.,2024-02-01,1.2,archive
