position_date,isin,position_holder,issuer_name,net_short_position,source
2026-07-03,NL0010391025,"D. E. Shaw & Co. (London), LLP",Pharming Group N.V.,0.5,current
2026-07-03,NL0011872650,"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,0.69,current
2026-07-03,NL0000817179,JPMorgan Asset Management (UK) Ltd.,Sligro Food Group N.V.,0.67,current
2026-07-03,CH1216478797,Marshall Wace LLP,DSM-Firmenich AG,0.99,current
2026-07-03,NL0012817175,Millennium International Management LP,Alfen N.V.,0.62,current
2026-07-03,LU2290522684,"Two Sigma Investments, LP",InPost S.A.,1.08,current
2026-07-02,NL0013267909,"BlackRock Advisors, LLC",Akzo Nobel N.V.,0.92,current
2026-07-02,NL0011821392,"BlackRock Financial Management, Inc.",Signify N.V.,0.7,current
2026-07-02,NL0011821392,Marshall Wace LLP,Signify N.V.,1.27,current
2026-07-02,LU2290522684,"Two Sigma Investments, LP",InPost S.A.,1.1,current
2026-07-01,NL00150003E1,Actus Ray Partners Limited,Fugro N.V.,0.5,current
2026-07-01,NL0013267909,"BlackRock Advisors, LLC",Akzo Nobel N.V.,0.85,current
2026-07-01,NL0012969182,Capital Fund Management S.A.,Adyen N.V.,0.76,current
2026-07-01,CH1216478797,Citadel Advisors LLC,DSM-Firmenich AG,0.88,current
2026-07-01,NL0011821392,Eleva Capital SAS,Signify N.V.,1.38,current
2026-07-01,NL0011872650,Fosse Capital Partners LLP,Basic-Fit N.V.,0.83,current
2026-07-01,CH1216478797,Marshall Wace LLP,DSM-Firmenich AG,1.0,current
2026-07-01,NL0011821392,Marshall Wace LLP,Signify N.V.,1.37,current
2026-07-01,NL0013267909,Millennium International Management LP,Akzo Nobel N.V.,0.72,current
2026-07-01,NL0013267909,"O'Connor Alternative Investments, LLC",Akzo Nobel N.V.,1.09,current
2026-06-30,NL0012969182,"AQR Capital Management, LLC",Adyen N.V.,0.79,current
2026-06-30,NL0011821392,"AQR Capital Management, LLC",Signify N.V.,1.09,current
2026-06-30,NL0011821392,"BlackRock Financial Management, Inc.",Signify N.V.,0.69,current
2026-06-30,NL0010801007,Caisse de dépôt et placement du Québec,IMCD N.V.,0.72,current
2026-06-30,NL0011821392,Citadel Advisors LLC,Signify N.V.,1.25,current
2026-06-30,NL0015002IE0,Citadel Securities (Europe) Limited,Avantium N.V.,0.75,current
2026-06-30,NL00150003E1,JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,2.16,current
2026-06-30,NL0011821392,Marshall Wace LLP,Signify N.V.,1.47,current
2026-06-30,NL0012817175,"WorldQuant, LLC",Alfen N.V.,1.01,current
2026-06-29,NL0011821392,"BlackRock Institutional Trust Company, National Association",Signify N.V.,0.6,current
2026-06-29,NL0010801007,Capital Fund Management S.A.,IMCD N.V.,1.0,current
2026-06-29,CH1216478797,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,2.01,current
