issuer_name,isin,position_holder,net_short_position,position_date,source
BE Semiconductor Industries N.V.,NL0012866412,"D. E. Shaw & Co., L.P.",0.71,2025-05-07,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",0.99,2025-05-06,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.33,2025-05-02,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",1.06,2025-05-02,current
PostNL N.V.,NL0009739416,"D. E. Shaw & Co., L.P.",0.52,2025-04-30,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",1.28,2025-04-29,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",1.33,2025-04-28,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",1.49,2025-04-24,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",1.58,2025-04-22,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,2.19,2025-04-22,current
BE Semiconductor Industries N.V.,NL0012866412,"D. E. Shaw & Co., L.P.",0.6,2025-04-17,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,2.27,2025-04-16,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.2,2025-04-15,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,2.36,2025-04-15,current
Basic-Fit N.V.,NL0011872650,JPMorgan Asset Management (UK) Ltd.,1.62,2025-04-14,current
Basic-Fit N.V.,NL0011872650,JPMorgan Asset Management (UK) Ltd.,1.57,2025-04-11,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.17,2025-04-10,current
Basic-Fit N.V.,NL0011872650,"D. E. Shaw & Co., L.P.",1.05,2025-04-10,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",1.66,2025-04-09,current
Fugro N.V.,NL00150003E1,JPMorgan Asset Management (UK) Ltd.,1.03,2025-04-09,current
Pharming Group N.V.,NL0010391025,Lazard Asset Management LLC,0.61,2025-04-09,current
Fugro N.V.,NL00150003E1,JPMorgan Asset Management (UK) Ltd.,0.93,2025-04-08,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.08,2025-04-07,current
Fugro N.V.,NL00150003E1,JPMorgan Asset Management (UK) Ltd.,0.85,2025-04-07,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.2,2025-04-04,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",1.5,2025-04-04,current
Basic-Fit N.V.,NL0011872650,"D. E. Shaw & Co., L.P.",0.91,2025-04-04,current
Shell plc,GB00BP6MXD84,"Elliott Investment Management, L.P",0.63,2025-04-04,current
Fugro N.V.,NL00150003E1,JPMorgan Asset Management (UK) Ltd.,0.7,2025-04-04,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.31,2025-04-03,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",1.39,2025-04-03,current
Fugro N.V.,NL00150003E1,JPMorgan Asset Management (UK) Ltd.,0.61,2025-04-03,current
Basic-Fit N.V.,NL0011872650,JPMorgan Asset Management (UK) Ltd.,1.44,2025-04-02,current
Pharming Group N.V.,NL0010391025,Lazard Asset Management LLC,0.58,2025-04-02,current
IMCD N.V.,NL0010801007,"Arrowstreet Capital, Limited Partnership",0.7,2025-04-01,current
Fugro N.V.,NL00150003E1,JPMorgan Asset Management (UK) Ltd.,0.52,2025-04-01,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",1.21,2025-03-31,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",1.11,2025-03-27,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.41,2025-03-26,current
Shell plc,GB00BP6MXD84,"Elliott Investment Management, L.P",0.5,2025-03-25,current
Pharming Group N.V.,NL0010391025,Lazard Asset Management LLC,0.61,2025-03-25,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",1.07,2025-03-19,current
BE Semiconductor Industries N.V.,NL0012866412,"D. E. Shaw & Co., L.P.",0.5,2025-03-18,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",1.19,2025-03-17,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",1.28,2025-03-14,current
Basic-Fit N.V.,NL0011872650,"D. E. Shaw & Co., L.P.",0.85,2025-03-13,current
Pharming Group N.V.,NL0010391025,Lazard Asset Management LLC,0.58,2025-03-13,current
Basic-Fit N.V.,NL0011872650,"D. E. Shaw & Co., L.P.",0.72,2025-03-12,current
Basic-Fit N.V.,NL0011872650,JPMorgan Asset Management (UK) Ltd.,1.39,2025-03-12,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.37,2025-03-11,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",1.38,2025-03-06,current
Pharming Group N.V.,NL0010391025,Lazard Asset Management LLC,0.65,2025-03-06,current
Basic-Fit N.V.,NL0011872650,JPMorgan Asset Management (UK) Ltd.,1.22,2025-03-03,current
Basic-Fit N.V.,NL0011872650,JPMorgan Asset Management (UK) Ltd.,1.14,2025-02-28,current
Basic-Fit N.V.,NL0011872650,JPMorgan Asset Management (UK) Ltd.,1.04,2025-02-26,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.43,2025-02-25,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",1.59,2025-02-19,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,2.62,2025-02-19,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,2.52,2025-02-18,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",1.69,2025-02-17,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",1.71,2025-02-13,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",1.21,2025-02-12,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.34,2025-02-10,current
Basic-Fit N.V.,NL0011872650,"D. E. Shaw & Co., L.P.",0.55,2025-02-07,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,2.1,2025-02-06,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.91,2025-02-04,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.22,2025-01-31,current
Basic-Fit N.V.,NL0011872650,JPMorgan Asset Management (UK) Ltd.,0.9,2025-01-28,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",0.9,2025-01-17,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.62,2025-01-16,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.11,2025-01-14,current
Pharming Group N.V.,NL0010391025,Lazard Asset Management LLC,0.79,2025-01-13,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",0.8,2025-01-08,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.53,2025-01-08,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",0.77,2024-12-27,current
Pharming Group N.V.,NL0010391025,Lazard Asset Management LLC,0.82,2024-12-27,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",0.83,2024-12-20,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",0.6,2024-12-18,current
IMCD N.V.,NL0010801007,"Arrowstreet Capital, Limited Partnership",0.6,2024-12-16,current
Pharming Group N.V.,NL0010391025,Lazard Asset Management LLC,0.71,2024-12-11,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.07,2024-12-10,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.18,2024-12-06,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",0.51,2024-12-06,current
Pharming Group N.V.,NL0010391025,Lazard Asset Management LLC,0.6,2024-12-05,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.25,2024-11-19,current
Basic-Fit N.V.,NL0011872650,JPMorgan Asset Management (UK) Ltd.,0.81,2024-11-08,current
Pharming Group N.V.,NL0010391025,Lazard Asset Management LLC,0.59,2024-10-31,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.31,2024-10-30,current
Pharming Group N.V.,NL0010391025,Lazard Asset Management LLC,0.62,2024-10-25,current
Pharming Group N.V.,NL0010391025,Lazard Asset Management LLC,0.58,2024-10-24,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.22,2024-10-23,current
Pharming Group N.V.,NL0010391025,Lazard Asset Management LLC,0.62,2024-10-18,current
Pharming Group N.V.,NL0010391025,Lazard Asset Management LLC,0.59,2024-10-11,current
Pharming Group N.V.,NL0010391025,Lazard Asset Management LLC,0.63,2024-10-10,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.12,2024-10-08,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.22,2024-10-04,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.38,2024-09-27,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.48,2024-09-26,current
IMCD N.V.,NL0010801007,"Arrowstreet Capital, Limited Partnership",0.5,2024-09-24,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.49,2024-09-20,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.54,2024-09-19,current
Basic-Fit N.V.,NL0011872650,JPMorgan Asset Management (UK) Ltd.,0.7,2024-09-18,current
Pharming Group N.V.,NL0010391025,Lazard Asset Management LLC,0.51,2024-09-17,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.51,2024-08-30,current
Basic-Fit N.V.,NL0011872650,JPMorgan Asset Management (UK) Ltd.,0.6,2024-08-09,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.67,2024-08-08,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.48,2024-08-05,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.53,2024-07-24,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.45,2024-07-23,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.31,2024-06-24,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.27,2024-06-12,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.58,2024-06-12,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.1,2024-06-06,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.0,2024-06-05,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,0.92,2024-04-24,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,0.8,2024-04-15,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,0.72,2024-04-10,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.48,2024-03-26,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,0.64,2024-03-25,current
Basic-Fit N.V.,NL0011872650,JPMorgan Asset Management (UK) Ltd.,0.55,2024-03-22,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.58,2024-03-21,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,0.51,2024-03-19,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.69,2024-03-04,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.79,2024-02-23,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.89,2024-02-19,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.96,2024-02-15,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,2.08,2024-02-13,current
argenx SE,NL0010832176,Jefferies Financial Group Inc.,0.66,2024-01-30,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,2.18,2024-01-29,current
argenx SE,NL0010832176,Jefferies Financial Group Inc.,0.55,2024-01-24,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,2.25,2023-12-08,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,2.15,2023-12-07,current
Basic-Fit N.V.,NL0011872650,JPMorgan Asset Management (UK) Ltd.,0.62,2023-12-06,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,2.09,2023-12-06,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.92,2023-12-05,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.83,2023-12-04,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.72,2023-11-30,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.69,2023-11-29,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.5,2023-11-23,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.43,2023-11-21,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.36,2023-11-06,current
Basic-Fit N.V.,NL0011872650,JPMorgan Asset Management (UK) Ltd.,0.52,2023-11-01,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.4,2023-11-01,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.12,2023-10-30,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.0,2023-10-25,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,0.92,2023-10-20,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,0.82,2023-10-17,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,0.75,2023-10-16,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,0.64,2023-09-20,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,0.54,2023-07-21,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,0.64,2023-07-19,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,0.79,2023-07-18,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,0.87,2023-07-17,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.91,2023-07-06,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.8,2023-06-13,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.7,2023-06-02,current
Basic-Fit N.V.,NL0011872650,Fosse Capital Partners LLP,1.43,2022-12-01,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.58,2022-11-15,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.74,2022-11-14,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.88,2022-10-14,current
Basic-Fit N.V.,NL0011872650,Fosse Capital Partners LLP,1.17,2022-10-07,current
Basic-Fit N.V.,NL0011872650,Fosse Capital Partners LLP,1.05,2022-10-04,current
Basic-Fit N.V.,NL0011872650,Fosse Capital Partners LLP,0.56,2022-10-03,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.7,2022-09-12,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.6,2022-09-07,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.53,2022-09-05,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.48,2022-09-02,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.3,2022-06-08,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.22,2022-06-03,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.17,2022-05-11,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.28,2022-03-01,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.38,2022-02-04,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.2,2021-08-26,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.11,2021-08-20,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.06,2021-08-18,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,0.8,2021-08-17,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,0.7,2021-08-13,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,0.67,2021-08-12,current
Koninklijke Boskalis Westminster N.V.,NL0000852580,Millennium International Management LP,0.5,2018-03-09,current
IMCD N.V.,NL0010801007,Citadel Advisors LLC,0.47,2026-04-16,archive
Theon International Plc,CY0200751713,Voleon Capital Management LP,0.48,2026-04-16,archive
Akzo Nobel N.V.,NL0013267909,"AQR Capital Management, LLC",0.49,2026-04-15,archive
Alfen N.V.,NL0012817175,"AQR Capital Management, LLC",0.48,2026-04-15,archive
Akzo Nobel N.V.,NL0013267909,Kintbury Capital LLP,0.44,2026-04-15,archive
Akzo Nobel N.V.,NL0013267909,Millennium International Management LP,0.47,2026-04-15,archive
Basic-Fit N.V.,NL0011872650,Wellington Management International Ltd.,0.49,2026-04-15,archive
Akzo Nobel N.V.,NL0013267909,Kintbury Capital LLP,0.61,2026-04-14,archive
Akzo Nobel N.V.,NL0013267909,Marshall Wace LLP,0.49,2026-04-14,archive
AMG Critical Materials N.V.,NL0000888691,Voleon Capital Management LP,0.44,2026-04-14,archive
Havas N.V.,NL0015002K83,Citadel Advisors LLC,0.49,2026-04-13,archive
Alfen N.V.,NL0012817175,Citadel Securities (Europe) Limited,0.48,2026-04-13,archive
Alfen N.V.,NL0012817175,"AQR Capital Management, LLC",0.58,2026-04-10,archive
IMCD N.V.,NL0010801007,Citadel Advisors LLC,0.5,2026-04-10,archive
Alfen N.V.,NL0012817175,Citadel Securities (Europe) Limited,0.51,2026-04-10,archive
Akzo Nobel N.V.,NL0013267909,Millennium International Management LP,0.52,2026-04-10,archive
Pharming Group N.V.,NL0010391025,Citadel Advisors LLC,0.43,2026-04-09,archive
Randstad N.V.,NL0000379121,Citadel Advisors LLC,0.49,2026-04-09,archive
InPost S.A.,LU2290522684,"Connor, Clark & Lunn Investment Management Ltd.",0.48,2026-04-09,archive
Akzo Nobel N.V.,NL0013267909,Marshall Wace LLP,0.5,2026-04-09,archive
AMG Critical Materials N.V.,NL0000888691,Voleon Capital Management LP,0.52,2026-04-09,archive
Alfen N.V.,NL0012817175,"AQR Capital Management, LLC",0.67,2026-04-08,archive
IMCD N.V.,NL0010801007,Citadel Advisors LLC,0.46,2026-04-08,archive
Akzo Nobel N.V.,NL0013267909,Marshall Wace LLP,0.48,2026-04-08,archive
Randstad N.V.,NL0000379121,Millennium Capital (DIFC) Limited,0.48,2026-04-08,archive
Fugro N.V.,NL00150003E1,"PDT Partners, LLC",0.49,2026-04-08,archive
Randstad N.V.,NL0000379121,"Point72 Europe (London), LLP",0.48,2026-04-08,archive
IMCD N.V.,NL0010801007,Citadel Advisors LLC,0.51,2026-04-07,archive
Pharming Group N.V.,NL0010391025,Citadel Advisors LLC,0.56,2026-04-07,archive
Randstad N.V.,NL0000379121,Citadel Advisors LLC,0.59,2026-04-07,archive
The Magnum Ice Cream Company N.V.,NL0015002MS2,Qube Research & Technologies Ltd.,0.48,2026-04-07,archive
Avantium N.V.,NL0015002IE0,Voleon Capital Management LP,0.46,2026-04-07,archive
Fugro N.V.,NL00150003E1,Voleon Capital Management LP,0.49,2026-04-07,archive
Alfen N.V.,NL0012817175,"AQR Capital Management, LLC",0.7,2026-04-02,archive
Galapagos NV,BE0003818359,"Arrowstreet Capital, Limited Partnership",0.48,2026-04-02,archive
Akzo Nobel N.V.,NL0013267909,"BlackRock Advisors, LLC",0.48,2026-04-02,archive
Randstad N.V.,NL0000379121,Citadel Advisors LLC,0.6,2026-04-02,archive
Pharming Group N.V.,NL0010391025,Millennium International Management LP,0.49,2026-04-02,archive
Randstad N.V.,NL0000379121,Millennium International Management LP,0.49,2026-04-02,archive
Koninklijke Heijmans N.V.,NL0009269109,Marshall Wace LLP,0.48,2026-04-01,archive
Akzo Nobel N.V.,NL0013267909,Millennium International Management LP,0.69,2026-04-01,archive
Randstad N.V.,NL0000379121,Millennium International Management LP,0.5,2026-04-01,archive
Signify N.V.,NL0011821392,Premier Miton Group plc,0.45,2026-04-01,archive
Akzo Nobel N.V.,NL0013267909,UBS Asset Management (Americas) LLC,0.0,2026-04-01,archive
Avantium N.V.,NL0015002IE0,Voleon Capital Management LP,0.59,2026-04-01,archive
ARCADIS N.V.,NL0006237562,White Creek Capital LLP,0.49,2026-04-01,archive
IMCD N.V.,NL0010801007,"BlackRock Institutional Trust Company, National Association",0.49,2026-03-31,archive
Alfen N.V.,NL0012817175,"Cubist Systematic Strategies, LLC",0.49,2026-03-31,archive
Akzo Nobel N.V.,NL0013267909,Marshall Wace LLP,0.58,2026-03-31,archive
Signify N.V.,NL0011821392,Millennium International Management LP,0.48,2026-03-31,archive
Akzo Nobel N.V.,NL0013267909,"AQR Capital Management, LLC",0.59,2026-03-30,archive
Akzo Nobel N.V.,NL0013267909,"Arrowstreet Capital, Limited Partnership",0.49,2026-03-30,archive
Galapagos NV,BE0003818359,"Arrowstreet Capital, Limited Partnership",0.58,2026-03-30,archive
Akzo Nobel N.V.,NL0013267909,Marshall Wace LLP,0.6,2026-03-30,archive
Pharming Group N.V.,NL0010391025,Millennium International Management LP,0.58,2026-03-30,archive
Fugro N.V.,NL00150003E1,"PDT Partners, LLC",0.58,2026-03-30,archive
Avantium N.V.,NL0015002IE0,Voleon Capital Management LP,0.69,2026-03-30,archive
Randstad N.V.,NL0000379121,Citadel Advisors LLC,0.59,2026-03-27,archive
Alfen N.V.,NL0012817175,Citadel Securities (Europe) Limited,0.48,2026-03-27,archive
Randstad N.V.,NL0000379121,Millennium Capital (DIFC) Limited,0.51,2026-03-27,archive
Akzo Nobel N.V.,NL0013267909,Millennium International Management LP,0.75,2026-03-27,archive
Avantium N.V.,NL0015002IE0,Voleon Capital Management LP,0.73,2026-03-27,archive
Theon International Plc,CY0200751713,Voleon Capital Management LP,0.52,2026-03-27,archive
Basic-Fit N.V.,NL0011872650,Wellington Management International Ltd.,0.6,2026-03-27,archive
Akzo Nobel N.V.,NL0013267909,"AQR Capital Management, LLC",0.6,2026-03-25,archive
Avantium N.V.,NL0015002IE0,Voleon Capital Management LP,0.86,2026-03-25,archive
Galapagos NV,BE0003818359,"Arrowstreet Capital, Limited Partnership",0.69,2026-03-24,archive
IMCD N.V.,NL0010801007,Citadel Advisors LLC,0.47,2026-03-24,archive
Alfen N.V.,NL0012817175,Citadel Securities (Europe) Limited,0.57,2026-03-24,archive
Avantium N.V.,NL0015002IE0,Voleon Capital Management LP,1.01,2026-03-24,archive
Alfen N.V.,NL0012817175,"AQR Capital Management, LLC",0.64,2026-03-23,archive
IMCD N.V.,NL0010801007,Citadel Advisors LLC,0.58,2026-03-23,archive
Alfen N.V.,NL0012817175,"Cubist Systematic Strategies, LLC",0.5,2026-03-23,archive
Akzo Nobel N.V.,NL0013267909,Kintbury Capital LLP,0.78,2026-03-23,archive
Akzo Nobel N.V.,NL0013267909,Millennium International Management LP,0.69,2026-03-23,archive
Randstad N.V.,NL0000379121,"Point72 Europe (London), LLP",0.5,2026-03-23,archive
Alfen N.V.,NL0012817175,Qube Research & Technologies Ltd.,0.37,2026-03-23,archive
Avantium N.V.,NL0015002IE0,Voleon Capital Management LP,1.16,2026-03-23,archive
Akzo Nobel N.V.,NL0013267909,"BlackRock Advisors, LLC",0.5,2026-03-20,archive
Randstad N.V.,NL0000379121,Citadel Advisors LLC,0.67,2026-03-20,archive
Alfen N.V.,NL0012817175,Citadel Securities (Europe) Limited,0.69,2026-03-20,archive
Akzo Nobel N.V.,NL0013267909,Kintbury Capital LLP,0.87,2026-03-20,archive
NSI N.V.,NL0012365084,Millennium International Management LP,0.0,2026-03-20,archive
Pharming Group N.V.,NL0010391025,Millennium International Management LP,0.68,2026-03-20,archive
Signify N.V.,NL0011821392,Millennium International Management LP,0.54,2026-03-20,archive
Randstad N.V.,NL0000379121,"Point72 Europe (London), LLP",0.46,2026-03-20,archive
Alfen N.V.,NL0012817175,Tudor Capital Europe LLP,0.49,2026-03-20,archive
Alfen N.V.,NL0012817175,"AQR Capital Management, LLC",0.51,2026-03-19,archive
Akzo Nobel N.V.,NL0013267909,Marshall Wace LLP,0.59,2026-03-19,archive
The Magnum Ice Cream Company N.V.,NL0015002MS2,Qube Research & Technologies Ltd.,0.52,2026-03-19,archive
Avantium N.V.,NL0015002IE0,Voleon Capital Management LP,1.29,2026-03-19,archive
Signify N.V.,NL0011821392,"BlackRock Financial Management, Inc.",0.4,2026-03-18,archive
BE Semiconductor Industries N.V.,NL0012866412,Canada Pension Plan Investment Board,0.48,2026-03-18,archive
Koninklijke KPN N.V.,NL0000009082,Citadel Advisors LLC,0.47,2026-03-18,archive
Envipco Holding N.V.,NL0015000GX8,Citadel Securities (Europe) Limited,0.49,2026-03-18,archive
TomTom N.V.,NL0013332471,Marshall Wace LLP,0.48,2026-03-18,archive
NSI N.V.,NL0012365084,Millennium International Management LP,0.6,2026-03-18,archive
Alfen N.V.,NL0012817175,Qube Research & Technologies Ltd.,0.52,2026-03-18,archive
Avantium N.V.,NL0015002IE0,Voleon Capital Management LP,1.43,2026-03-18,archive
Akzo Nobel N.V.,NL0013267909,"AQR Capital Management, LLC",0.59,2026-03-17,archive
Signify N.V.,NL0011821392,"BlackRock Financial Management, Inc.",0.79,2026-03-17,archive
BE Semiconductor Industries N.V.,NL0012866412,Canada Pension Plan Investment Board,0.57,2026-03-17,archive
Akzo Nobel N.V.,NL0013267909,Kintbury Capital LLP,0.91,2026-03-17,archive
Akzo Nobel N.V.,NL0013267909,Millennium International Management LP,0.7,2026-03-17,archive
Fugro N.V.,NL00150003E1,Millennium International Management LP,0.48,2026-03-17,archive
ArcelorMittal S.A.,LU1598757687,"Two Sigma Investments, LP",0.49,2026-03-17,archive
Signify N.V.,NL0011821392,"BlackRock Financial Management, Inc.",0.8,2026-03-16,archive
IMCD N.V.,NL0010801007,Citadel Advisors LLC,0.61,2026-03-16,archive
Adyen N.V.,NL0012969182,"D. E. Shaw & Co., L.P.",0.49,2026-03-16,archive
IMCD N.V.,NL0010801007,Marshall Wace LLP,0.4,2026-03-16,archive
NSI N.V.,NL0012365084,Millennium International Management LP,0.52,2026-03-16,archive
Galapagos NV,BE0003818359,"Arrowstreet Capital, Limited Partnership",0.77,2026-03-13,archive
IMCD N.V.,NL0010801007,Citadel Advisors LLC,0.56,2026-03-13,archive
Randstad N.V.,NL0000379121,Citadel Advisors LLC,0.5,2026-03-13,archive
IMCD N.V.,NL0010801007,Marshall Wace LLP,0.59,2026-03-13,archive
Koninklijke Heijmans N.V.,NL0009269109,Marshall Wace LLP,0.5,2026-03-13,archive
Akzo Nobel N.V.,NL0013267909,Millennium International Management LP,0.6,2026-03-13,archive
Fugro N.V.,NL00150003E1,Millennium International Management LP,0.55,2026-03-13,archive
Pharming Group N.V.,NL0010391025,Millennium International Management LP,0.75,2026-03-13,archive
Avantium N.V.,NL0015002IE0,Voleon Capital Management LP,1.56,2026-03-13,archive
