issuer_name,isin,position_holder,net_short_position,position_date,source
IMCD N.V.,NL0010801007,"PDT Partners, LLC",0.89,2026-04-13,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,Walleye Capital LLC,0.5,2026-04-13,current
ArcelorMittal S.A.,LU1598757687,"AQR Capital Management, LLC",0.58,2026-04-10,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",0.89,2026-04-10,current
Wolters Kluwer N.V.,NL0000395903,"D. E. Shaw & Co., L.P.",0.8,2026-04-10,current
Koninklijke KPN N.V.,NL0000009082,Marshall Wace LLP,0.58,2026-04-10,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,Marshall Wace LLP,1.38,2026-04-10,current
Akzo Nobel N.V.,NL0013267909,"O'Connor Alternative Investments, LLC",1.17,2026-04-10,current
IMCD N.V.,NL0010801007,"PDT Partners, LLC",0.9,2026-04-10,current
Theon International Plc,CY0200751713,Qube Research & Technologies Ltd.,1.22,2026-04-10,current
IMCD N.V.,NL0010801007,Squarepoint Ops LLC,0.59,2026-04-10,current
Adyen N.V.,NL0012969182,"AQR Capital Management, LLC",1.13,2026-04-09,current
IMCD N.V.,NL0010801007,"AQR Capital Management, LLC",0.51,2026-04-09,current
Signify N.V.,NL0011821392,Citadel Advisors Europe Limited,1.19,2026-04-09,current
Signify N.V.,NL0011821392,Citadel Advisors LLC,2.42,2026-04-09,current
DSM-Firmenich AG,CH1216478797,Ilex Capital Partners (UK) LLP,1.0,2026-04-09,current
NSI N.V.,NL0012365084,Numeric Investors LLC,0.71,2026-04-09,current
Akzo Nobel N.V.,NL0013267909,"O'Connor Alternative Investments, LLC",1.28,2026-04-09,current
IMCD N.V.,NL0010801007,"PDT Partners, LLC",0.89,2026-04-09,current
Signify N.V.,NL0011821392,Qube Research & Technologies Ltd.,0.67,2026-04-09,current
Aalberts N.V.,NL0000852564,"AQR Capital Management, LLC",0.61,2026-04-08,current
Signify N.V.,NL0011821392,"AQR Capital Management, LLC",1.22,2026-04-08,current
Signify N.V.,NL0011821392,Citadel Advisors LLC,2.39,2026-04-08,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",0.95,2026-04-08,current
IMCD N.V.,NL0010801007,"D. E. Shaw & Co., L.P.",0.59,2026-04-08,current
Signify N.V.,NL0011821392,Millennium Capital (DIFC) Limited,0.79,2026-04-08,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,Qube Research & Technologies Ltd.,0.5,2026-04-08,current
IMCD N.V.,NL0010801007,"Two Sigma Investments, LP",0.79,2026-04-08,current
