position_holder,net_short_position,isin,position_date,issuer_name,source
"Arrowstreet Capital, Limited Partnership",1.12,NL0010801007,2026-03-27,IMCD N.V.,current
"BlackRock Financial Management, Inc.",1.09,NL0010801007,2026-03-27,IMCD N.V.,current
Capital Fund Management S.A.,0.51,NL0010801007,2026-03-27,IMCD N.V.,current
Citadel Advisors LLC,0.59,NL0000379121,2026-03-27,Randstad N.V.,current
"D. E. Shaw & Co., L.P.",0.7,NL0006237562,2026-03-27,ARCADIS N.V.,current
"D. E. Shaw & Co., L.P.",0.59,NL0010391025,2026-03-27,Pharming Group N.V.,current
GLG Partners LP,0.59,NL0015002MS2,2026-03-27,The Magnum Ice Cream Company N.V.,current
Marshall Wace LLP,0.86,NL0000379121,2026-03-27,Randstad N.V.,current
Millennium Capital (DIFC) Limited,0.51,NL0000379121,2026-03-27,Randstad N.V.,current
Millennium International Management LP,0.75,NL0013267909,2026-03-27,Akzo Nobel N.V.,current
Qube Research & Technologies Ltd.,0.79,NL0011821392,2026-03-27,Signify N.V.,current
Voleon Capital Management LP,0.52,CY0200751713,2026-03-27,Theon International Plc,current
Wellington Management International Ltd.,0.6,NL0011872650,2026-03-27,Basic-Fit N.V.,current
"D. E. Shaw & Co., L.P.",0.69,NL0006237562,2026-03-26,ARCADIS N.V.,current
Ilex Capital Partners (UK) LLP,0.64,NL0015002MS2,2026-03-26,The Magnum Ice Cream Company N.V.,current
Marshall Wace LLP,1.96,NL0011821392,2026-03-26,Signify N.V.,current
Qube Research & Technologies Ltd.,1.14,CY0200751713,2026-03-26,Theon International Plc,current
"Two Sigma Investments, LP",1.5,LU2290522684,2026-03-26,InPost S.A.,current
Voleon Capital Management LP,0.5,NL0010801007,2026-03-26,IMCD N.V.,current
"WorldQuant, LLC",2.92,NL0012817175,2026-03-26,Alfen N.V.,current
"WorldQuant, LLC",0.71,NL0010801007,2026-03-26,IMCD N.V.,current
"AQR Capital Management, LLC",0.8,NL0012969182,2026-03-25,Adyen N.V.,current
"AQR Capital Management, LLC",0.6,NL0013267909,2026-03-25,Akzo Nobel N.V.,current
"AQR Capital Management, LLC",0.5,JE00BRX98089,2026-03-25,CVC Capital Partners plc,current
GLG Partners LP,0.6,NL0015002MS2,2026-03-25,The Magnum Ice Cream Company N.V.,current
Ilex Capital Partners (UK) LLP,0.82,CH1216478797,2026-03-25,DSM-Firmenich AG,current
Ilex Capital Partners (UK) LLP,0.57,NL0015002MS2,2026-03-25,The Magnum Ice Cream Company N.V.,current
Millennium Capital (DIFC) Limited,0.81,NL0011821392,2026-03-25,Signify N.V.,current
Squarepoint Ops LLC,0.6,NL0010801007,2026-03-25,IMCD N.V.,current
JPMorgan Asset Management (UK) Ltd.,0.56,NL0010801007,2026-03-24,IMCD N.V.,current
Lazard Asset Management LLC,1.14,NL0010391025,2026-03-24,Pharming Group N.V.,current
Marshall Wace LLP,0.91,NL0000379121,2026-03-24,Randstad N.V.,current
Marshall Wace LLP,2.0,NL0011821392,2026-03-24,Signify N.V.,current
Marshall Wace LLP,1.6,NL0015002MS2,2026-03-24,The Magnum Ice Cream Company N.V.,current
Millennium Capital (DIFC) Limited,0.79,NL0011821392,2026-03-24,Signify N.V.,current
"PDT Partners, LLC",0.9,NL0010801007,2026-03-24,IMCD N.V.,current
Qube Research & Technologies Ltd.,0.81,JE00BRX98089,2026-03-24,CVC Capital Partners plc,current
Qube Research & Technologies Ltd.,0.89,NL0011821392,2026-03-24,Signify N.V.,current
Squarepoint Ops LLC,0.59,NL0010801007,2026-03-24,IMCD N.V.,current
"Two Sigma Investments, LP",1.44,LU2290522684,2026-03-24,InPost S.A.,current
"Two Sigma Investments, LP",0.6,CY0200751713,2026-03-24,Theon International Plc,current
