position_holder,net_short_position,isin,position_date,issuer_name,source
Voleon Capital Management LP,0.95,NL0012817175,2023-11-10,Alfen N.V.,archive
"WorldQuant, LLC",0.74,NL0012817175,2023-11-10,Alfen N.V.,archive
"AQR Capital Management, LLC",0.49,NL0015001FS8,2023-11-09,Ferrovial SE,archive
CapeView Capital LLP,0.49,NL0011872650,2023-11-09,Basic-Fit N.V.,archive
Capital Fund Management S.A.,0.58,NL0000888691,2023-11-09,AMG Critical Materials N.V.,archive
Citadel Advisors Europe Limited,0.44,NL0000009082,2023-11-09,Koninklijke KPN N.V.,archive
Citadel Advisors LLC,0.67,NL0012817175,2023-11-09,Alfen N.V.,archive
Citadel Advisors LLC,0.83,NL0000888691,2023-11-09,AMG Critical Materials N.V.,archive
"D. E. Shaw & Co., L.P.",0.63,NL0012817175,2023-11-09,Alfen N.V.,archive
"D. E. Shaw & Co., L.P.",1.39,NL0000888691,2023-11-09,AMG Critical Materials N.V.,archive
Marshall Wace LLP,0.24,NL0012969182,2023-11-09,Adyen N.V.,archive
Marshall Wace LLP,1.03,NL0000888691,2023-11-09,AMG Critical Materials N.V.,archive
Marshall Wace LLP,0.78,BMG3602E1084,2023-11-09,Flow Traders Ltd.,archive
Qube Research & Technologies Ltd.,0.48,NL0012969182,2023-11-09,Adyen N.V.,archive
Qube Research & Technologies Ltd.,1.01,NL0012817175,2023-11-09,Alfen N.V.,archive
Qube Research & Technologies Ltd.,0.49,BE0003818359,2023-11-09,Galapagos NV,archive
Syquant Capital,0.59,NL0000009082,2023-11-09,Koninklijke KPN N.V.,archive
AHL Partners LLP,1.05,NL0012817175,2023-11-08,Alfen N.V.,archive
AHL Partners LLP,0.46,NL0000888691,2023-11-08,AMG Critical Materials N.V.,archive
Citadel Advisors LLC,0.58,NL0012817175,2023-11-08,Alfen N.V.,archive
"D. E. Shaw & Co., L.P.",0.7,NL0012817175,2023-11-08,Alfen N.V.,archive
Marshall Wace LLP,0.66,NL0012969182,2023-11-08,Adyen N.V.,archive
Marshall Wace LLP,0.51,NL0000009538,2023-11-08,Koninklijke Philips N.V.,archive
Millennium International Management LP,0.78,NL0012866412,2023-11-08,BE Semiconductor Industries N.V.,archive
Syquant Capital,0.6,NL0000009082,2023-11-08,Koninklijke KPN N.V.,archive
Wellington Management International Ltd.,0.49,NL0011872650,2023-11-08,Basic-Fit N.V.,archive
BlackRock Investment Management (UK) Limited,2.62,NL0011872650,2023-11-07,Basic-Fit N.V.,archive
Citadel Advisors LLC,0.98,NL0000009538,2023-11-07,Koninklijke Philips N.V.,archive
Janus Henderson Investors UK Limited,1.42,NL00150002Q7,2023-11-07,Vivoryon Therapeutics N.V.,archive
Marshall Wace LLP,0.48,NL0012866412,2023-11-07,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,0.99,NL0010391025,2023-11-07,Pharming Group N.V.,archive
Qube Research & Technologies Ltd.,0.59,NL0012969182,2023-11-07,Adyen N.V.,archive
Qube Research & Technologies Ltd.,0.51,BE0003818359,2023-11-07,Galapagos NV,archive
AHL Partners LLP,1.18,NL0012817175,2023-11-06,Alfen N.V.,archive
Citadel Advisors Europe Limited,0.56,NL0000009082,2023-11-06,Koninklijke KPN N.V.,archive
Citadel Advisors LLC,1.0,NL0000009538,2023-11-06,Koninklijke Philips N.V.,archive
"D. E. Shaw & Co., L.P.",0.68,NL0012817175,2023-11-06,Alfen N.V.,archive
"D. E. Shaw & Co., L.P.",1.1,NL0000888691,2023-11-06,AMG Critical Materials N.V.,archive
JPMorgan Asset Management (UK) Ltd.,0.79,NL0000360618,2023-11-06,SBM Offshore N.V.,archive
Qube Research & Technologies Ltd.,0.6,NL0012969182,2023-11-06,Adyen N.V.,archive
Voleon Capital Management LP,0.81,NL0012817175,2023-11-06,Alfen N.V.,archive
Citadel Advisors LLC,0.55,NL0000888691,2023-11-03,AMG Critical Materials N.V.,archive
"ExodusPoint Capital Management, LP",0.61,LU0569974404,2023-11-03,Aperam S.A.,archive
FIL Investments International,0.42,NL0012817175,2023-11-03,Alfen N.V.,archive
Marshall Wace LLP,0.75,NL0012969182,2023-11-03,Adyen N.V.,archive
Marshall Wace LLP,0.57,NL0012866412,2023-11-03,BE Semiconductor Industries N.V.,archive
"Point72 Asset Management, L.P.",1.47,NL0012866412,2023-11-03,BE Semiconductor Industries N.V.,archive
Qube Research & Technologies Ltd.,0.59,NL0012969182,2023-11-03,Adyen N.V.,archive
AHL Partners LLP,1.29,NL0012817175,2023-11-02,Alfen N.V.,archive
AHL Partners LLP,0.59,NL0000888691,2023-11-02,AMG Critical Materials N.V.,archive
CapeView Capital LLP,0.57,NL0011872650,2023-11-02,Basic-Fit N.V.,archive
Citadel Advisors Europe Limited,0.68,NL0000009082,2023-11-02,Koninklijke KPN N.V.,archive
"D. E. Shaw & Co., L.P.",1.09,NL0000888691,2023-11-02,AMG Critical Materials N.V.,archive
Janus Henderson Investors UK Limited,1.36,NL00150002Q7,2023-11-02,Vivoryon Therapeutics N.V.,archive
Marshall Wace LLP,0.64,NL0012866412,2023-11-02,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,1.09,NL0010391025,2023-11-02,Pharming Group N.V.,archive
"Point72 Asset Management, L.P.",1.52,NL0012866412,2023-11-02,BE Semiconductor Industries N.V.,archive
"WorldQuant, LLC",0.6,NL0012817175,2023-11-02,Alfen N.V.,archive
AHL Partners LLP,1.36,NL0012817175,2023-11-01,Alfen N.V.,archive
"Davidson Kempner European Partners, LLP",0.8,NL0012866412,2023-11-01,BE Semiconductor Industries N.V.,archive
JPMorgan Asset Management (UK) Ltd.,0.55,NL0010583399,2023-11-01,Corbion N.V.,archive
Marshall Wace LLP,0.73,NL0012866412,2023-11-01,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,0.49,NL0000337319,2023-11-01,Koninklijke BAM Groep N.V.,archive
CapeView Capital LLP,0.61,NL0011872650,2023-10-31,Basic-Fit N.V.,archive
Citadel Advisors Europe Limited,0.78,NL0000009082,2023-10-31,Koninklijke KPN N.V.,archive
Janus Henderson Investors UK Limited,1.2,NL00150002Q7,2023-10-31,Vivoryon Therapeutics N.V.,archive
Marshall Wace LLP,0.69,NL0012866412,2023-10-31,BE Semiconductor Industries N.V.,archive
"Point72 Asset Management, L.P.",1.4,NL0012866412,2023-10-31,BE Semiconductor Industries N.V.,archive
Qube Research & Technologies Ltd.,0.96,NL0012817175,2023-10-31,Alfen N.V.,archive
"AQR Capital Management, LLC",0.5,NL0012969182,2023-10-30,Adyen N.V.,archive
BlackRock Investment Management (UK) Limited,0.94,NL0011821392,2023-10-30,Signify N.V.,archive
Citadel Advisors LLC,0.44,NL0000888691,2023-10-30,AMG Critical Materials N.V.,archive
Qube Research & Technologies Ltd.,1.02,NL0012817175,2023-10-30,Alfen N.V.,archive
Qube Research & Technologies Ltd.,0.49,BE0003818359,2023-10-30,Galapagos NV,archive
AKO Capital LLP,0.41,NL0011821392,2023-10-27,Signify N.V.,archive
BlackRock Investment Management (UK) Limited,0.8,NL0011821392,2023-10-27,Signify N.V.,archive
Citadel Advisors Europe Limited,0.82,NL0000009082,2023-10-27,Koninklijke KPN N.V.,archive
"D. E. Shaw & Co., L.P.",0.79,NL0012817175,2023-10-27,Alfen N.V.,archive
Marshall Wace LLP,1.16,NL0010391025,2023-10-27,Pharming Group N.V.,archive
"Point72 Asset Management, L.P.",1.35,NL0012866412,2023-10-27,BE Semiconductor Industries N.V.,archive
AHL Partners LLP,0.6,NL0000888691,2023-10-26,AMG Critical Materials N.V.,archive
BlackRock Investment Management (UK) Limited,0.55,NL0011821392,2023-10-26,Signify N.V.,archive
"ExodusPoint Capital Management, LP",0.5,LU0569974404,2023-10-26,Aperam S.A.,archive
GLG Partners LP,0.5,NL0012866412,2023-10-26,BE Semiconductor Industries N.V.,archive
Millennium International Management LP,0.85,NL0012866412,2023-10-26,BE Semiconductor Industries N.V.,archive
"Point72 Asset Management, L.P.",1.26,NL0012866412,2023-10-26,BE Semiconductor Industries N.V.,archive
Citadel Advisors Europe Limited,0.71,NL0000009082,2023-10-25,Koninklijke KPN N.V.,archive
Citadel Advisors LLC,0.9,NL0000009538,2023-10-25,Koninklijke Philips N.V.,archive
"D. E. Shaw & Co., L.P.",0.82,NL0012817175,2023-10-25,Alfen N.V.,archive
Franklin Templeton Investment Management Limited,0.6,NL0013332471,2023-10-25,TomTom N.V.,archive
Marshall Wace LLP,0.72,NL0012866412,2023-10-25,BE Semiconductor Industries N.V.,archive
Millennium International Management LP,0.93,NL0012866412,2023-10-25,BE Semiconductor Industries N.V.,archive
Otus Capital Management Ltd.,0.77,NL0013332471,2023-10-25,TomTom N.V.,archive
"Point72 Asset Management, L.P.",1.06,NL0012866412,2023-10-25,BE Semiconductor Industries N.V.,archive
Syquant Capital,0.51,NL0000009082,2023-10-25,Koninklijke KPN N.V.,archive
"AQR Capital Management, LLC",0.5,CH1216478797,2023-10-24,DSM-Firmenich AG,archive
Citadel Advisors LLC,0.89,NL0000009538,2023-10-24,Koninklijke Philips N.V.,archive
"D. E. Shaw & Co., L.P.",1.14,NL0000888691,2023-10-24,AMG Critical Materials N.V.,archive
Franklin Templeton Investment Management Limited,0.55,NL0013332471,2023-10-24,TomTom N.V.,archive
Marshall Wace LLP,0.49,NL0006237562,2023-10-24,ARCADIS N.V.,archive
Marshall Wace LLP,0.82,BMG3602E1084,2023-10-24,Flow Traders Ltd.,archive
Qube Research & Technologies Ltd.,0.61,NL0012969182,2023-10-24,Adyen N.V.,archive
Qube Research & Technologies Ltd.,1.15,NL0012817175,2023-10-24,Alfen N.V.,archive
AHL Partners LLP,0.59,NL0000888691,2023-10-23,AMG Critical Materials N.V.,archive
Citadel Advisors Europe Limited,0.66,NL0000009082,2023-10-23,Koninklijke KPN N.V.,archive
Citadel Advisors LLC,0.54,NL0000888691,2023-10-23,AMG Critical Materials N.V.,archive
"D. E. Shaw & Co., L.P.",0.78,NL0012817175,2023-10-23,Alfen N.V.,archive
FIL Investments International,0.52,NL0012817175,2023-10-23,Alfen N.V.,archive
GSA Capital Partners LLP,0.49,NL0015000CZ2,2023-10-23,Ebusco Holding N.V.,archive
JPMorgan Asset Management (UK) Ltd.,0.8,NL0000360618,2023-10-23,SBM Offshore N.V.,archive
Marshall Wace LLP,0.88,NL0012969182,2023-10-23,Adyen N.V.,archive
Marshall Wace LLP,0.5,NL0006237562,2023-10-23,ARCADIS N.V.,archive
Millennium International Management LP,1.02,NL0012866412,2023-10-23,BE Semiconductor Industries N.V.,archive
Otus Capital Management Ltd.,0.87,NL0013332471,2023-10-23,TomTom N.V.,archive
"Point72 Asset Management, L.P.",0.91,NL0012866412,2023-10-23,BE Semiconductor Industries N.V.,archive
Voleon Capital Management LP,0.71,NL0012817175,2023-10-23,Alfen N.V.,archive
AHL Partners LLP,1.43,NL0012817175,2023-10-20,Alfen N.V.,archive
Citadel Advisors Europe Limited,0.72,NL0000009082,2023-10-20,Koninklijke KPN N.V.,archive
Citadel Advisors LLC,0.98,NL0000009538,2023-10-20,Koninklijke Philips N.V.,archive
"D. E. Shaw & Co., L.P.",1.21,NL0000888691,2023-10-20,AMG Critical Materials N.V.,archive
Otus Capital Management Ltd.,0.91,NL0013332471,2023-10-20,TomTom N.V.,archive
Voleon Capital Management LP,0.68,NL0012817175,2023-10-20,Alfen N.V.,archive
AHL Partners LLP,1.39,NL0012817175,2023-10-19,Alfen N.V.,archive
AKO Capital LLP,0.51,NL0000379121,2023-10-19,Randstad N.V.,archive
CapeView Capital LLP,0.52,NL0011872650,2023-10-19,Basic-Fit N.V.,archive
Citadel Advisors Europe Limited,0.62,NL0000009082,2023-10-19,Koninklijke KPN N.V.,archive
Marshall Wace LLP,0.72,BMG3602E1084,2023-10-19,Flow Traders Ltd.,archive
Millennium International Management LP,0.99,NL0012866412,2023-10-19,BE Semiconductor Industries N.V.,archive
Qube Research & Technologies Ltd.,1.28,NL0012817175,2023-10-19,Alfen N.V.,archive
"AQR Capital Management, LLC",0.5,NL0015001FS8,2023-10-18,Ferrovial SE,archive
Millennium International Management LP,1.0,NL0012866412,2023-10-18,BE Semiconductor Industries N.V.,archive
"Point72 Asset Management, L.P.",0.8,NL0012866412,2023-10-18,BE Semiconductor Industries N.V.,archive
AHL Partners LLP,1.41,NL0012817175,2023-10-17,Alfen N.V.,archive
"D. E. Shaw & Co., L.P.",0.82,NL0012817175,2023-10-17,Alfen N.V.,archive
GSA Capital Partners LLP,0.58,NL0015000CZ2,2023-10-17,Ebusco Holding N.V.,archive
Marshall Wace LLP,0.99,NL0012969182,2023-10-17,Adyen N.V.,archive
Millennium Capital Management France SAS,0.6,NL0012866412,2023-10-17,BE Semiconductor Industries N.V.,archive
Qube Research & Technologies Ltd.,0.43,NL0011872643,2023-10-17,ASR Nederland N.V.,archive
Voleon Capital Management LP,0.7,NL0012817175,2023-10-17,Alfen N.V.,archive
"D. E. Shaw & Co., L.P.",0.79,NL0012817175,2023-10-16,Alfen N.V.,archive
Marshall Wace LLP,1.2,NL0010391025,2023-10-16,Pharming Group N.V.,archive
Qube Research & Technologies Ltd.,0.53,NL0011872643,2023-10-16,ASR Nederland N.V.,archive
AHL Partners LLP,0.68,NL0000888691,2023-10-13,AMG Critical Materials N.V.,archive
Citadel Advisors LLC,1.0,NL0000009538,2023-10-13,Koninklijke Philips N.V.,archive
"D. E. Shaw & Co., L.P.",0.8,NL0012817175,2023-10-13,Alfen N.V.,archive
Jupiter Investment Management Limited,0.5,NL0012817175,2023-10-13,Alfen N.V.,archive
Marshall Wace LLP,0.62,BMG3602E1084,2023-10-13,Flow Traders Ltd.,archive
Millennium Capital Management France SAS,0.59,NL0012866412,2023-10-13,BE Semiconductor Industries N.V.,archive
Qube Research & Technologies Ltd.,1.34,NL0012817175,2023-10-13,Alfen N.V.,archive
"AQR Capital Management, LLC",0.49,NL0000360618,2023-10-12,SBM Offshore N.V.,archive
Citadel Advisors LLC,0.49,BMG3602E1084,2023-10-12,Flow Traders Ltd.,archive
"D. E. Shaw & Co., L.P.",1.16,NL0000888691,2023-10-12,AMG Critical Materials N.V.,archive
JPMorgan Asset Management (UK) Ltd.,1.97,NL0012817175,2023-10-12,Alfen N.V.,archive
Millennium Capital Partners LLP,0.25,NL0000888691,2023-10-12,AMG Critical Materials N.V.,archive
Citadel Advisors Europe Limited,0.52,NL0000009082,2023-10-11,Koninklijke KPN N.V.,archive
"D. E. Shaw & Co., L.P.",1.2,NL0000888691,2023-10-11,AMG Critical Materials N.V.,archive
JPMorgan Asset Management (UK) Ltd.,2.08,NL0012817175,2023-10-11,Alfen N.V.,archive
Marshall Wace LLP,0.5,NL0000337319,2023-10-11,Koninklijke BAM Groep N.V.,archive
Qube Research & Technologies Ltd.,0.54,NL0012969182,2023-10-11,Adyen N.V.,archive
Capital Fund Management S.A.,0.38,NL0000888691,2023-10-10,AMG Critical Materials N.V.,archive
Citadel Advisors Europe Limited,0.49,NL0000009082,2023-10-10,Koninklijke KPN N.V.,archive
Citadel Advisors LLC,0.48,NL0012365084,2023-10-10,NSI N.V.,archive
"D. E. Shaw & Co., L.P.",1.18,NL0000888691,2023-10-10,AMG Critical Materials N.V.,archive
Marshall Wace LLP,0.61,NL0012866412,2023-10-10,BE Semiconductor Industries N.V.,archive
Millennium Capital Partners LLP,0.5,NL0000888691,2023-10-10,AMG Critical Materials N.V.,archive
"Point72 Asset Management, L.P.",0.7,NL0012866412,2023-10-10,BE Semiconductor Industries N.V.,archive
Qube Research & Technologies Ltd.,1.24,NL0012817175,2023-10-10,Alfen N.V.,archive
Viking Global Investors LP,0.61,NL0000009538,2023-10-10,Koninklijke Philips N.V.,archive
Citadel Advisors Europe Limited,0.52,NL0000009082,2023-10-09,Koninklijke KPN N.V.,archive
Marshall Wace LLP,0.51,BMG3602E1084,2023-10-09,Flow Traders Ltd.,archive
"WorldQuant, LLC",0.58,NL0012817175,2023-10-09,Alfen N.V.,archive
AHL Partners LLP,1.35,NL0012817175,2023-10-06,Alfen N.V.,archive
Citadel Advisors LLC,0.95,NL0000009538,2023-10-06,Koninklijke Philips N.V.,archive
Citadel Advisors LLC,0.5,NL0012365084,2023-10-06,NSI N.V.,archive
Greenvale Capital LLP,0.72,NL0000009538,2023-10-06,Koninklijke Philips N.V.,archive
Marshall Wace LLP,0.48,NL0012817175,2023-10-06,Alfen N.V.,archive
Qube Research & Technologies Ltd.,1.31,NL0012817175,2023-10-06,Alfen N.V.,archive
Marshall Wace LLP,1.12,NL0010391025,2023-10-05,Pharming Group N.V.,archive
"AQR Capital Management, LLC",0.5,NL0000360618,2023-10-04,SBM Offshore N.V.,archive
Citadel Advisors LLC,0.58,BMG3602E1084,2023-10-04,Flow Traders Ltd.,archive
GSA Capital Partners LLP,0.62,NL0015000CZ2,2023-10-04,Ebusco Holding N.V.,archive
Marshall Wace LLP,0.53,NL0012817175,2023-10-04,Alfen N.V.,archive
Millennium Capital Management France SAS,0.6,NL0012866412,2023-10-04,BE Semiconductor Industries N.V.,archive
Voleon Capital Management LP,0.69,NL0012817175,2023-10-04,Alfen N.V.,archive
AHL Partners LLP,1.22,NL0012817175,2023-10-03,Alfen N.V.,archive
Citadel Advisors LLC,0.6,BMG3602E1084,2023-10-03,Flow Traders Ltd.,archive
"D. E. Shaw & Co., L.P.",1.22,NL0000888691,2023-10-03,AMG Critical Materials N.V.,archive
Marshall Wace LLP,1.04,NL0012969182,2023-10-03,Adyen N.V.,archive
Marshall Wace LLP,1.04,NL0010391025,2023-10-03,Pharming Group N.V.,archive
Capital Fund Management S.A.,0.51,NL0000888691,2023-10-02,AMG Critical Materials N.V.,archive
Citadel Advisors LLC,0.57,BMG3602E1084,2023-10-02,Flow Traders Ltd.,archive
Marshall Wace LLP,0.51,NL0012866412,2023-10-02,BE Semiconductor Industries N.V.,archive
Millennium Capital Management France SAS,0.59,NL0012866412,2023-10-02,BE Semiconductor Industries N.V.,archive
Millennium International Management LP,0.92,NL0012866412,2023-09-29,BE Semiconductor Industries N.V.,archive
Qube Research & Technologies Ltd.,0.49,NL0009739416,2023-09-29,PostNL N.V.,archive
AHL Partners LLP,1.13,NL0012817175,2023-09-28,Alfen N.V.,archive
Millennium Capital Partners LLP,0.46,NL0000888691,2023-09-28,AMG Critical Materials N.V.,archive
Wellington Management International Ltd.,0.5,NL0011872650,2023-09-28,Basic-Fit N.V.,archive
"WorldQuant, LLC",0.68,NL0012817175,2023-09-28,Alfen N.V.,archive
AHL Partners LLP,0.7,NL0000888691,2023-09-27,AMG Critical Materials N.V.,archive
Capital Fund Management S.A.,0.49,NL0000888691,2023-09-27,AMG Critical Materials N.V.,archive
Millennium Capital Management France SAS,0.6,NL0012866412,2023-09-27,BE Semiconductor Industries N.V.,archive
"Point72 Asset Management, L.P.",0.6,NL0012866412,2023-09-27,BE Semiconductor Industries N.V.,archive
Qube Research & Technologies Ltd.,1.29,NL0012817175,2023-09-27,Alfen N.V.,archive
AHL Partners LLP,1.05,NL0012817175,2023-09-26,Alfen N.V.,archive
"AQR Capital Management, LLC",0.49,NL0000360618,2023-09-26,SBM Offshore N.V.,archive
Citadel Advisors Europe Limited,0.48,NL0000009082,2023-09-26,Koninklijke KPN N.V.,archive
"D. E. Shaw & Co., L.P.",0.71,NL0012817175,2023-09-26,Alfen N.V.,archive
Marshall Wace LLP,0.49,NL0000337319,2023-09-26,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,0.93,NL0010391025,2023-09-26,Pharming Group N.V.,archive
Millennium Capital Management France SAS,0.57,NL0012866412,2023-09-26,BE Semiconductor Industries N.V.,archive
Pantechnicon Advisors LLP,0.39,LU0569974404,2023-09-26,Aperam S.A.,archive
Citadel Advisors LLC,0.88,NL0000009538,2023-09-25,Koninklijke Philips N.V.,archive
Marshall Wace LLP,0.93,NL0012969182,2023-09-25,Adyen N.V.,archive
Syquant Capital,0.47,NL0000009082,2023-09-25,Koninklijke KPN N.V.,archive
CapeView Capital LLP,0.6,NL0011872650,2023-09-22,Basic-Fit N.V.,archive
Citadel Advisors LLC,0.9,NL0000009538,2023-09-22,Koninklijke Philips N.V.,archive
"Point72 Asset Management, L.P.",0.54,NL0012866412,2023-09-22,BE Semiconductor Industries N.V.,archive
Qube Research & Technologies Ltd.,0.58,NL0009739416,2023-09-22,PostNL N.V.,archive
AHL Partners LLP,0.93,NL0012817175,2023-09-21,Alfen N.V.,archive
Citadel Advisors Europe Limited,0.57,NL0000009082,2023-09-21,Koninklijke KPN N.V.,archive
GSA Capital Partners LLP,0.5,NL0015000CZ2,2023-09-21,Ebusco Holding N.V.,archive
Marshall Wace LLP,0.86,NL0012969182,2023-09-21,Adyen N.V.,archive
Marshall Wace LLP,0.82,NL0010391025,2023-09-21,Pharming Group N.V.,archive
Millennium Capital Partners LLP,0.6,NL0000888691,2023-09-21,AMG Critical Materials N.V.,archive
Millennium International Management LP,0.82,NL0012866412,2023-09-21,BE Semiconductor Industries N.V.,archive
Squarepoint Ops LLC,0.49,NL0012817175,2023-09-21,Alfen N.V.,archive
"WorldQuant, LLC",0.79,NL0012817175,2023-09-21,Alfen N.V.,archive
Citadel Advisors LLC,0.89,NL0000009538,2023-09-20,Koninklijke Philips N.V.,archive
Millennium Capital Partners LLP,0.5,NL0000888691,2023-09-20,AMG Critical Materials N.V.,archive
Citadel Advisors Europe Limited,0.61,NL0000009082,2023-09-19,Koninklijke KPN N.V.,archive
Marshall Wace LLP,0.77,NL0012969182,2023-09-19,Adyen N.V.,archive
AHL Partners LLP,0.81,NL0012817175,2023-09-18,Alfen N.V.,archive
Marshall Wace LLP,0.59,NL0000337319,2023-09-18,Koninklijke BAM Groep N.V.,archive
Millennium International Management LP,0.79,NL0012866412,2023-09-18,BE Semiconductor Industries N.V.,archive
Qube Research & Technologies Ltd.,0.5,BE0003818359,2023-09-18,Galapagos NV,archive
Squarepoint Ops LLC,0.58,NL0012817175,2023-09-18,Alfen N.V.,archive
"WorldQuant, LLC",0.81,NL0012817175,2023-09-18,Alfen N.V.,archive
Citadel Advisors Europe Limited,0.57,NL0000009082,2023-09-15,Koninklijke KPN N.V.,archive
Millennium Capital Management France SAS,0.62,NL0012866412,2023-09-15,BE Semiconductor Industries N.V.,archive
Qube Research & Technologies Ltd.,0.49,BE0003818359,2023-09-15,Galapagos NV,archive
Voleon Capital Management LP,0.7,NL0012817175,2023-09-15,Alfen N.V.,archive
AHL Partners LLP,0.74,NL0012817175,2023-09-14,Alfen N.V.,archive
"D. E. Shaw & Co., L.P.",1.13,NL0000888691,2023-09-14,AMG Critical Materials N.V.,archive
Marshall Wace LLP,0.6,NL0012969182,2023-09-14,Adyen N.V.,archive
Millennium Capital Management France SAS,0.59,NL0012866412,2023-09-14,BE Semiconductor Industries N.V.,archive
Capital Fund Management S.A.,0.56,NL0000888691,2023-09-13,AMG Critical Materials N.V.,archive
Citadel Advisors LLC,0.39,NL0012817175,2023-09-13,Alfen N.V.,archive
Citadel Advisors LLC,0.9,NL0000009538,2023-09-13,Koninklijke Philips N.V.,archive
"D. E. Shaw & Co., L.P.",1.2,NL0000888691,2023-09-13,AMG Critical Materials N.V.,archive
Marshall Wace LLP,0.7,NL0010391025,2023-09-13,Pharming Group N.V.,archive
Qube Research & Technologies Ltd.,0.69,NL0009739416,2023-09-13,PostNL N.V.,archive
Squarepoint Ops LLC,0.64,NL0012817175,2023-09-13,Alfen N.V.,archive
Capital Fund Management S.A.,0.6,NL0000888691,2023-09-12,AMG Critical Materials N.V.,archive
"Davidson Kempner European Partners, LLP",0.78,NL0012866412,2023-09-12,BE Semiconductor Industries N.V.,archive
Millennium Capital Management France SAS,0.67,NL0012866412,2023-09-12,BE Semiconductor Industries N.V.,archive
Squarepoint Ops LLC,0.71,NL0012817175,2023-09-12,Alfen N.V.,archive
AHL Partners LLP,0.63,NL0012817175,2023-09-11,Alfen N.V.,archive
CapeView Capital LLP,0.59,NL0011872650,2023-09-11,Basic-Fit N.V.,archive
Marshall Wace LLP,0.52,NL0012969182,2023-09-11,Adyen N.V.,archive
Marshall Wace LLP,0.68,NL0000337319,2023-09-11,Koninklijke BAM Groep N.V.,archive
Citadel Advisors LLC,0.53,NL0012817175,2023-09-08,Alfen N.V.,archive
Voleon Capital Management LP,0.67,NL0012817175,2023-09-08,Alfen N.V.,archive
Citadel Advisors LLC,0.6,NL0012817175,2023-09-07,Alfen N.V.,archive
"D. E. Shaw & Co., L.P.",1.1,NL0000888691,2023-09-07,AMG Critical Materials N.V.,archive
AHL Partners LLP,0.51,NL0012817175,2023-09-06,Alfen N.V.,archive
CapeView Capital LLP,0.6,NL0011872650,2023-09-06,Basic-Fit N.V.,archive
Citadel Advisors LLC,0.59,NL0012817175,2023-09-06,Alfen N.V.,archive
"D. E. Shaw & Co., L.P.",0.65,NL0012817175,2023-09-06,Alfen N.V.,archive
"D. E. Shaw & Co., L.P.",1.01,NL0000888691,2023-09-06,AMG Critical Materials N.V.,archive
Qube Research & Technologies Ltd.,0.51,BE0003818359,2023-09-06,Galapagos NV,archive
"WorldQuant, LLC",0.79,NL0012817175,2023-09-06,Alfen N.V.,archive
AHL Partners LLP,0.69,NL0000888691,2023-09-05,AMG Critical Materials N.V.,archive
CapeView Capital LLP,0.59,NL0011872650,2023-09-05,Basic-Fit N.V.,archive
"D. E. Shaw & Co., L.P.",0.96,NL0000888691,2023-09-05,AMG Critical Materials N.V.,archive
CapeView Capital LLP,0.71,NL0011872650,2023-09-04,Basic-Fit N.V.,archive
"D. E. Shaw & Co., L.P.",0.88,NL0000888691,2023-09-04,AMG Critical Materials N.V.,archive
Qube Research & Technologies Ltd.,1.3,NL0012817175,2023-09-04,Alfen N.V.,archive
Qube Research & Technologies Ltd.,0.49,BE0003818359,2023-09-04,Galapagos NV,archive
Voleon Capital Management LP,0.7,NL0012817175,2023-09-04,Alfen N.V.,archive
Millennium International Management LP,0.8,NL0012866412,2023-09-01,BE Semiconductor Industries N.V.,archive
Pantechnicon Advisors LLP,0.63,LU0569974404,2023-09-01,Aperam S.A.,archive
Qube Research & Technologies Ltd.,0.5,BE0003818359,2023-09-01,Galapagos NV,archive
"WorldQuant, LLC",0.83,NL0012817175,2023-09-01,Alfen N.V.,archive
"AQR Capital Management, LLC",0.5,NL0000360618,2023-08-31,SBM Offshore N.V.,archive
"Arrowstreet Capital, Limited Partnership",1.56,BE0003818359,2023-08-31,Galapagos NV,archive
Millennium International Management LP,0.78,NL0012866412,2023-08-31,BE Semiconductor Industries N.V.,archive
Syquant Capital,0.51,NL0000009082,2023-08-31,Koninklijke KPN N.V.,archive
"AQR Capital Management, LLC",0.5,NL0010801007,2023-08-30,IMCD N.V.,archive
Capital Fund Management S.A.,0.52,NL0000888691,2023-08-30,AMG Critical Materials N.V.,archive
Citadel Advisors LLC,0.6,NL0012817175,2023-08-30,Alfen N.V.,archive
"D. E. Shaw & Co., L.P.",0.97,NL0000888691,2023-08-30,AMG Critical Materials N.V.,archive
Marshall Wace LLP,0.6,NL0010391025,2023-08-30,Pharming Group N.V.,archive
"WorldQuant, LLC",0.72,NL0012817175,2023-08-30,Alfen N.V.,archive
Citadel Advisors LLC,0.58,NL0012817175,2023-08-29,Alfen N.V.,archive
Citadel Advisors LLC,0.44,NL0000337319,2023-08-29,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,0.78,NL0000337319,2023-08-29,Koninklijke BAM Groep N.V.,archive
Qube Research & Technologies Ltd.,1.26,NL0012817175,2023-08-29,Alfen N.V.,archive
Qube Research & Technologies Ltd.,0.49,BE0003818359,2023-08-29,Galapagos NV,archive
"D. E. Shaw & Co., L.P.",0.88,NL0000888691,2023-08-28,AMG Critical Materials N.V.,archive
