isin,net_short_position,position_date,position_holder,issuer_name,source
NL0015002IE0,0.73,2026-03-27,Voleon Capital Management LP,Avantium N.V.,current
CY0200751713,0.52,2026-03-27,Voleon Capital Management LP,Theon International Plc,current
NL0011872650,0.6,2026-03-27,Wellington Management International Ltd.,Basic-Fit N.V.,current
NL0006237562,0.69,2026-03-26,"D. E. Shaw & Co., L.P.",ARCADIS N.V.,current
NL0015002MS2,0.64,2026-03-26,Ilex Capital Partners (UK) LLP,The Magnum Ice Cream Company N.V.,current
NL0011821392,1.96,2026-03-26,Marshall Wace LLP,Signify N.V.,current
CY0200751713,1.14,2026-03-26,Qube Research & Technologies Ltd.,Theon International Plc,current
LU2290522684,1.5,2026-03-26,"Two Sigma Investments, LP",InPost S.A.,current
NL0010801007,0.5,2026-03-26,Voleon Capital Management LP,IMCD N.V.,current
NL0012817175,2.92,2026-03-26,"WorldQuant, LLC",Alfen N.V.,current
NL0010801007,0.71,2026-03-26,"WorldQuant, LLC",IMCD N.V.,current
NL0012969182,0.8,2026-03-25,"AQR Capital Management, LLC",Adyen N.V.,current
NL0013267909,0.6,2026-03-25,"AQR Capital Management, LLC",Akzo Nobel N.V.,current
JE00BRX98089,0.5,2026-03-25,"AQR Capital Management, LLC",CVC Capital Partners plc,current
NL0015002MS2,0.6,2026-03-25,GLG Partners LP,The Magnum Ice Cream Company N.V.,current
CH1216478797,0.82,2026-03-25,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,current
NL0015002MS2,0.57,2026-03-25,Ilex Capital Partners (UK) LLP,The Magnum Ice Cream Company N.V.,current
NL0011821392,0.81,2026-03-25,Millennium Capital (DIFC) Limited,Signify N.V.,current
NL0010801007,0.6,2026-03-25,Squarepoint Ops LLC,IMCD N.V.,current
NL0015002IE0,0.86,2026-03-25,Voleon Capital Management LP,Avantium N.V.,current
NL0010801007,0.56,2026-03-24,JPMorgan Asset Management (UK) Ltd.,IMCD N.V.,current
NL0010391025,1.14,2026-03-24,Lazard Asset Management LLC,Pharming Group N.V.,current
