isin,net_short_position,position_date,position_holder,issuer_name,source
NL0012169213,0.58,2023-06-30,"Tenor Capital Management Company, L.P.",Qiagen N.V.,archive
NL0012817175,0.47,2023-06-29,Citadel Advisors LLC,Alfen N.V.,archive
NL0012817175,0.7,2023-06-29,Qube Research & Technologies Ltd.,Alfen N.V.,archive
NL0012817175,0.57,2023-06-29,Voleon Capital Management LP,Alfen N.V.,archive
NL0010391025,0.73,2023-06-29,"WorldQuant, LLC",Pharming Group N.V.,archive
NL0012817175,0.55,2023-06-28,Citadel Advisors LLC,Alfen N.V.,archive
NL00150002Q7,0.81,2023-06-28,Janus Henderson Investors UK Limited,Vivoryon Therapeutics N.V.,archive
NL0000337319,0.57,2023-06-28,Marshall Wace LLP,Koninklijke BAM Groep N.V.,archive
NL0000379121,0.61,2023-06-28,Marshall Wace LLP,Randstad N.V.,archive
NL0012817175,0.69,2023-06-28,Qube Research & Technologies Ltd.,Alfen N.V.,archive
BE0003818359,0.6,2023-06-28,Qube Research & Technologies Ltd.,Galapagos NV,archive
NL0012817175,0.76,2023-06-28,"WorldQuant, LLC",Alfen N.V.,archive
NL0012866412,0.57,2023-06-27,Millennium Capital Management France SAS,BE Semiconductor Industries N.V.,archive
NL0000888691,0.49,2023-06-27,Millennium Capital Partners LLP,AMG Critical Materials N.V.,archive
NL0010391025,0.63,2023-06-27,"WorldQuant, LLC",Pharming Group N.V.,archive
NL0000009538,0.48,2023-06-26,Greenvale Capital LLP,Koninklijke Philips N.V.,archive
NL00150002Q7,0.7,2023-06-26,Janus Henderson Investors UK Limited,Vivoryon Therapeutics N.V.,archive
NL0012817175,0.7,2023-06-26,Qube Research & Technologies Ltd.,Alfen N.V.,archive
NL0012817175,0.61,2023-06-23,Citadel Advisors LLC,Alfen N.V.,archive
NL0000009538,0.47,2023-06-23,Citadel Advisors LLC,Koninklijke Philips N.V.,archive
NL0012817175,0.5,2023-06-23,"D. E. Shaw & Co., L.P.",Alfen N.V.,archive
NL0000009538,0.55,2023-06-23,Greenvale Capital LLP,Koninklijke Philips N.V.,archive
NL0012817175,0.74,2023-06-23,Kuvari Partners LLP,Alfen N.V.,archive
NL0012817175,0.58,2023-06-23,Squarepoint Ops LLC,Alfen N.V.,archive
NL0012817175,0.8,2023-06-23,"WorldQuant, LLC",Alfen N.V.,archive
NL0010391025,0.5,2023-06-23,"WorldQuant, LLC",Pharming Group N.V.,archive
NL0012817175,0.48,2023-06-22,"D. E. Shaw & Co., L.P.",Alfen N.V.,archive
NL0000009538,0.67,2023-06-22,Greenvale Capital LLP,Koninklijke Philips N.V.,archive
NL00150002Q7,0.59,2023-06-22,Janus Henderson Investors UK Limited,Vivoryon Therapeutics N.V.,archive
NL0012817175,0.6,2023-06-22,Squarepoint Ops LLC,Alfen N.V.,archive
NL0012817175,0.5,2023-06-21,"D. E. Shaw & Co., L.P.",Alfen N.V.,archive
NL0000888691,0.52,2023-06-21,Millennium Capital Partners LLP,AMG Critical Materials N.V.,archive
NL0012817175,0.79,2023-06-21,"WorldQuant, LLC",Alfen N.V.,archive
NL0000009538,0.57,2023-06-20,Citadel Advisors LLC,Koninklijke Philips N.V.,archive
NL0010391025,0.77,2023-06-20,Citadel Advisors LLC,Pharming Group N.V.,archive
NL0012817175,0.6,2023-06-20,Kuvari Partners LLP,Alfen N.V.,archive
NL0000379121,0.51,2023-06-20,Marshall Wace LLP,Randstad N.V.,archive
NL0012866412,0.61,2023-06-20,Millennium Capital Management France SAS,BE Semiconductor Industries N.V.,archive
NL0012866412,0.36,2023-06-20,"Point72 Europe (London), LLP",BE Semiconductor Industries N.V.,archive
NL0012817175,0.59,2023-06-20,Squarepoint Ops LLC,Alfen N.V.,archive
NL0012817175,0.52,2023-06-19,Kuvari Partners LLP,Alfen N.V.,archive
NL0012866412,0.51,2023-06-19,"Point72 Europe (London), LLP",BE Semiconductor Industries N.V.,archive
NL0000888691,0.46,2023-06-16,Millennium International Management LP,AMG Critical Materials N.V.,archive
NL0000888691,0.43,2023-06-16,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,archive
NL0009739416,0.5,2023-06-16,Qube Research & Technologies Ltd.,PostNL N.V.,archive
NL0012817175,0.61,2023-06-16,Squarepoint Ops LLC,Alfen N.V.,archive
NL0000888691,0.49,2023-06-15,Millennium Capital Partners LLP,AMG Critical Materials N.V.,archive
LU0569974404,0.62,2023-06-15,Millennium Capital Partners LLP,Aperam S.A.,archive
NL0012817175,0.69,2023-06-15,Qube Research & Technologies Ltd.,Alfen N.V.,archive
BE0003818359,0.59,2023-06-15,Qube Research & Technologies Ltd.,Galapagos NV,archive
NL0009739416,0.47,2023-06-15,Qube Research & Technologies Ltd.,PostNL N.V.,archive
NL0012817175,2.05,2023-06-14,JPMorgan Asset Management (UK) Ltd.,Alfen N.V.,archive
NL0000379121,0.49,2023-06-14,Marshall Wace LLP,Randstad N.V.,archive
NL0009739416,0.56,2023-06-14,Qube Research & Technologies Ltd.,PostNL N.V.,archive
NL0000009538,0.69,2023-06-13,Citadel Advisors LLC,Koninklijke Philips N.V.,archive
NL0010391025,0.8,2023-06-13,Citadel Advisors LLC,Pharming Group N.V.,archive
NL0012866412,0.8,2023-06-13,"Davidson Kempner European Partners, LLP",BE Semiconductor Industries N.V.,archive
NL0012817175,1.91,2023-06-13,JPMorgan Asset Management (UK) Ltd.,Alfen N.V.,archive
NL0000888691,0.57,2023-06-13,Millennium International Management LP,AMG Critical Materials N.V.,archive
LU0569974404,0.6,2023-06-13,Millennium International Management LP,Aperam S.A.,archive
NL0013332471,1.0,2023-06-13,Otus Capital Management Ltd.,TomTom N.V.,archive
NL0000888691,0.5,2023-06-13,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,archive
BE0003818359,1.6,2023-06-12,"Arrowstreet Capital, Limited Partnership",Galapagos NV,archive
NL0010391025,0.78,2023-06-12,Citadel Advisors LLC,Pharming Group N.V.,archive
NL0012817175,0.49,2023-06-12,"D. E. Shaw & Co., L.P.",Alfen N.V.,archive
NL0012817175,1.82,2023-06-12,JPMorgan Asset Management (UK) Ltd.,Alfen N.V.,archive
NL0012817175,0.77,2023-06-12,Qube Research & Technologies Ltd.,Alfen N.V.,archive
NL0000888691,0.48,2023-06-12,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,archive
NL0012169213,0.63,2023-06-12,"Tenor Capital Management Company, L.P.",Qiagen N.V.,archive
NL0012817175,0.81,2023-06-12,"WorldQuant, LLC",Alfen N.V.,archive
NL0000888691,0.5,2023-06-09,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,archive
NL0012817175,1.31,2023-06-08,"Arrowstreet Capital, Limited Partnership",Alfen N.V.,archive
NL0012817175,1.62,2023-06-08,JPMorgan Asset Management (UK) Ltd.,Alfen N.V.,archive
NL0000379121,0.5,2023-06-08,Marshall Wace LLP,Randstad N.V.,archive
NL0012169213,0.51,2023-06-08,"Tenor Capital Management Company, L.P.",Qiagen N.V.,archive
NL0012817175,0.79,2023-06-08,"WorldQuant, LLC",Alfen N.V.,archive
NL0010391025,0.8,2023-06-07,Citadel Advisors LLC,Pharming Group N.V.,archive
NL0012817175,0.51,2023-06-07,"D. E. Shaw & Co., L.P.",Alfen N.V.,archive
NL0012866412,0.79,2023-06-07,"Davidson Kempner European Partners, LLP",BE Semiconductor Industries N.V.,archive
NL0012817175,1.51,2023-06-07,JPMorgan Asset Management (UK) Ltd.,Alfen N.V.,archive
NL0012817175,1.63,2023-06-07,Marshall Wace LLP,Alfen N.V.,archive
NL0012866412,0.57,2023-06-07,Millennium Capital Management France SAS,BE Semiconductor Industries N.V.,archive
NL0012866412,0.33,2023-06-07,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,archive
NL0012866412,0.61,2023-06-07,"Point72 Europe (London), LLP",BE Semiconductor Industries N.V.,archive
NL0010391025,0.77,2023-06-06,Citadel Advisors LLC,Pharming Group N.V.,archive
NL0012866412,0.68,2023-06-06,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,archive
NL0012866412,0.53,2023-06-06,"Point72 Europe (London), LLP",BE Semiconductor Industries N.V.,archive
NL0012817175,0.88,2023-06-06,"WorldQuant, LLC",Alfen N.V.,archive
NL0012817175,0.5,2023-06-05,Citadel Advisors LLC,Alfen N.V.,archive
NL0000888691,0.49,2023-06-05,Citadel Advisors LLC,AMG Critical Materials N.V.,archive
NL0012866412,0.81,2023-06-05,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,archive
NL0011872650,2.52,2023-06-02,BlackRock Investment Management (UK) Limited,Basic-Fit N.V.,archive
NL0013332471,0.9,2023-06-02,Otus Capital Management Ltd.,TomTom N.V.,archive
NL0012866412,0.94,2023-06-02,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,archive
NL0011872650,0.5,2023-06-01,"Arrowstreet Capital, Limited Partnership",Basic-Fit N.V.,archive
NL0010391025,0.86,2023-06-01,Citadel Advisors LLC,Pharming Group N.V.,archive
NL0012866412,1.03,2023-06-01,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,archive
NL0012817175,0.91,2023-06-01,"WorldQuant, LLC",Alfen N.V.,archive
BE0003818359,1.5,2023-05-31,"Arrowstreet Capital, Limited Partnership",Galapagos NV,archive
NL0000337319,0.61,2023-05-31,Marshall Wace LLP,Koninklijke BAM Groep N.V.,archive
NL0000888691,0.62,2023-05-31,Millennium International Management LP,AMG Critical Materials N.V.,archive
NL0012866412,1.19,2023-05-31,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,archive
NL0009739416,0.65,2023-05-31,Qube Research & Technologies Ltd.,PostNL N.V.,archive
BE0003818359,0.5,2023-05-30,AHL Partners LLP,Galapagos NV,archive
NL0010391025,0.92,2023-05-30,Citadel Advisors LLC,Pharming Group N.V.,archive
NL0013332471,0.82,2023-05-30,Otus Capital Management Ltd.,TomTom N.V.,archive
NL0012866412,1.24,2023-05-30,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,archive
NL0012817175,0.85,2023-05-30,"WorldQuant, LLC",Alfen N.V.,archive
NL0012866412,1.39,2023-05-29,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,archive
NL0010391025,0.44,2023-05-29,"WorldQuant, LLC",Pharming Group N.V.,archive
NL0012866412,0.81,2023-05-26,"Davidson Kempner European Partners, LLP",BE Semiconductor Industries N.V.,archive
NL0000337319,0.59,2023-05-26,Marshall Wace LLP,Koninklijke BAM Groep N.V.,archive
LU0569974404,0.51,2023-05-26,Millennium Capital Partners LLP,Aperam S.A.,archive
NL0012866412,1.42,2023-05-26,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,archive
NL0012817175,0.88,2023-05-26,Qube Research & Technologies Ltd.,Alfen N.V.,archive
NL0012817175,0.75,2023-05-26,"WorldQuant, LLC",Alfen N.V.,archive
NL0000888691,0.58,2023-05-25,Citadel Advisors LLC,AMG Critical Materials N.V.,archive
NL0012817175,1.54,2023-05-25,Marshall Wace LLP,Alfen N.V.,archive
NL0000888691,0.5,2023-05-25,Millennium Capital Partners LLP,AMG Critical Materials N.V.,archive
LU0569974404,0.5,2023-05-25,Millennium International Management LP,Aperam S.A.,archive
NL0012866412,1.55,2023-05-25,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,archive
NL0012817175,0.9,2023-05-25,Qube Research & Technologies Ltd.,Alfen N.V.,archive
NL0010391025,0.57,2023-05-25,"WorldQuant, LLC",Pharming Group N.V.,archive
BE0003818359,1.4,2023-05-24,"Arrowstreet Capital, Limited Partnership",Galapagos NV,archive
NL0012866412,1.66,2023-05-24,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,archive
NL0012817175,0.64,2023-05-24,"WorldQuant, LLC",Alfen N.V.,archive
NL0000888691,0.87,2023-05-23,Citadel Advisors LLC,AMG Critical Materials N.V.,archive
NL0000009538,0.72,2023-05-23,Citadel Advisors LLC,Koninklijke Philips N.V.,archive
NL0012817175,1.42,2023-05-23,Marshall Wace LLP,Alfen N.V.,archive
NL0012866412,1.92,2023-05-23,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,archive
NL0009739416,0.51,2023-05-23,Qube Research & Technologies Ltd.,PostNL N.V.,archive
NL00150003E1,0.46,2023-05-23,Voleon Capital Management LP,Fugro N.V.,archive
NL0010391025,0.69,2023-05-23,"WorldQuant, LLC",Pharming Group N.V.,archive
NL0012817175,0.45,2023-05-22,Citadel Advisors LLC,Alfen N.V.,archive
NL0012817175,1.34,2023-05-22,Marshall Wace LLP,Alfen N.V.,archive
NL0012866412,3.33,2023-05-22,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,archive
LU1598757687,0.0,2023-05-22,Polar Asset Management Partners Inc.,ArcelorMittal S.A.,archive
NL0012817175,0.88,2023-05-22,Qube Research & Technologies Ltd.,Alfen N.V.,archive
NL0000289213,1.17,2023-05-22,"Woodson Capital Master Fund, LP",Wereldhave N.V.,archive
NL0012817175,0.52,2023-05-22,"WorldQuant, LLC",Alfen N.V.,archive
BE0003818359,1.3,2023-05-19,"Arrowstreet Capital, Limited Partnership",Galapagos NV,archive
NL0012817175,0.5,2023-05-19,Citadel Advisors LLC,Alfen N.V.,archive
NL0000888691,1.02,2023-05-19,Citadel Advisors LLC,AMG Critical Materials N.V.,archive
NL0010391025,0.89,2023-05-19,Citadel Advisors LLC,Pharming Group N.V.,archive
BE0003818359,0.49,2023-05-19,Marshall Wace LLP,Galapagos NV,archive
NL0000888691,0.53,2023-05-19,Millennium International Management LP,AMG Critical Materials N.V.,archive
NL0012866412,3.66,2023-05-19,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,archive
NL0012817175,0.55,2023-05-19,Squarepoint Ops LLC,Alfen N.V.,archive
NL0012817175,0.67,2023-05-19,Voleon Capital Management LP,Alfen N.V.,archive
NL0010391025,0.79,2023-05-19,"WorldQuant, LLC",Pharming Group N.V.,archive
NL0012817175,1.32,2023-05-18,JPMorgan Asset Management (UK) Ltd.,Alfen N.V.,archive
NL0012817175,1.27,2023-05-18,Marshall Wace LLP,Alfen N.V.,archive
NL0012866412,3.78,2023-05-18,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,archive
NL0012817175,0.94,2023-05-18,Qube Research & Technologies Ltd.,Alfen N.V.,archive
NL0010391025,0.8,2023-05-18,"WorldQuant, LLC",Pharming Group N.V.,archive
NL0000009538,0.63,2023-05-17,Citadel Advisors LLC,Koninklijke Philips N.V.,archive
NL0013332471,0.49,2023-05-17,Citadel Advisors LLC,TomTom N.V.,archive
NL0012817175,1.12,2023-05-17,JPMorgan Asset Management (UK) Ltd.,Alfen N.V.,archive
NL0012817175,1.39,2023-05-17,Marshall Wace LLP,Alfen N.V.,archive
NL0012817175,0.81,2023-05-17,Qube Research & Technologies Ltd.,Alfen N.V.,archive
NL0000334118,0.49,2023-05-17,Qube Research & Technologies Ltd.,ASM International N.V.,archive
NL0000009538,0.76,2023-05-17,Viking Global Investors LP,Koninklijke Philips N.V.,archive
NL0012817175,0.7,2023-05-17,Voleon Capital Management LP,Alfen N.V.,archive
NL0000289213,1.27,2023-05-17,"Woodson Capital Master Fund, LP",Wereldhave N.V.,archive
NL0010391025,0.77,2023-05-17,"WorldQuant, LLC",Pharming Group N.V.,archive
NL0000888691,0.98,2023-05-16,Citadel Advisors LLC,AMG Critical Materials N.V.,archive
NL0010391025,0.96,2023-05-16,Citadel Advisors LLC,Pharming Group N.V.,archive
NL0012866412,3.82,2023-05-16,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,archive
BE0003818359,0.6,2023-05-16,Qube Research & Technologies Ltd.,Galapagos NV,archive
NL0010391025,0.64,2023-05-16,"WorldQuant, LLC",Pharming Group N.V.,archive
NL0000888691,1.01,2023-05-15,Citadel Advisors LLC,AMG Critical Materials N.V.,archive
NL0009739416,0.59,2023-05-15,JPMorgan Asset Management (UK) Ltd.,PostNL N.V.,archive
NL0012817175,0.7,2023-05-15,Marble Bar Asset Management LLP,Alfen N.V.,archive
NL0012817175,1.24,2023-05-15,Marshall Wace LLP,Alfen N.V.,archive
NL0012817175,0.56,2023-05-15,Qube Research & Technologies Ltd.,Alfen N.V.,archive
NL00150003E1,0.58,2023-05-15,Voleon Capital Management LP,Fugro N.V.,archive
NL0000289213,1.36,2023-05-15,"Woodson Capital Master Fund, LP",Wereldhave N.V.,archive
NL0009739416,0.6,2023-05-12,JPMorgan Asset Management (UK) Ltd.,PostNL N.V.,archive
NL0000360618,0.7,2023-05-12,JPMorgan Asset Management (UK) Ltd.,SBM Offshore N.V.,archive
NL0012866412,0.6,2023-05-12,Millennium Capital Management France SAS,BE Semiconductor Industries N.V.,archive
NL0000888691,0.45,2023-05-12,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,archive
BE0003818359,0.59,2023-05-12,Qube Research & Technologies Ltd.,Galapagos NV,archive
NL0010391025,1.07,2023-05-11,Citadel Advisors LLC,Pharming Group N.V.,archive
NL0009739416,0.59,2023-05-11,JPMorgan Asset Management (UK) Ltd.,PostNL N.V.,archive
NL0012817175,0.69,2023-05-11,Marble Bar Asset Management LLP,Alfen N.V.,archive
BE0003818359,0.5,2023-05-11,Marshall Wace LLP,Galapagos NV,archive
NL0000337319,0.68,2023-05-11,Marshall Wace LLP,Koninklijke BAM Groep N.V.,archive
NL0015000CZ2,0.91,2023-05-11,Otus Capital Management Ltd.,Ebusco Holding N.V.,archive
NL0012866412,3.77,2023-05-11,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,archive
NL0000888691,0.92,2023-05-10,Citadel Advisors LLC,AMG Critical Materials N.V.,archive
NL0010391025,0.44,2023-05-10,Citadel Advisors LLC,Pharming Group N.V.,archive
NL0012817175,0.74,2023-05-10,Marble Bar Asset Management LLP,Alfen N.V.,archive
NL0000888691,0.56,2023-05-10,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,archive
NL0012817175,0.52,2023-05-10,Voleon Capital Management LP,Alfen N.V.,archive
NL0000009538,0.49,2023-05-09,"AQR Capital Management, LLC",Koninklijke Philips N.V.,archive
NL0000888691,0.86,2023-05-09,Citadel Advisors LLC,AMG Critical Materials N.V.,archive
NL0010391025,0.71,2023-05-09,Citadel Advisors LLC,Pharming Group N.V.,archive
NL0009739416,0.69,2023-05-09,JPMorgan Asset Management (UK) Ltd.,PostNL N.V.,archive
BE0003818359,0.6,2023-05-09,Qube Research & Technologies Ltd.,Galapagos NV,archive
NL0000888691,0.66,2023-05-08,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,archive
NL0000360618,0.52,2023-05-05,"AQR Capital Management, LLC",SBM Offshore N.V.,archive
BE0003818359,1.2,2023-05-05,"Arrowstreet Capital, Limited Partnership",Galapagos NV,archive
NL0000888691,0.74,2023-05-05,Citadel Advisors LLC,AMG Critical Materials N.V.,archive
NL0010391025,0.6,2023-05-05,Citadel Advisors LLC,Pharming Group N.V.,archive
NL0012817175,0.82,2023-05-05,Marble Bar Asset Management LLP,Alfen N.V.,archive
NL0012866412,0.51,2023-05-05,Millennium Capital Management France SAS,BE Semiconductor Industries N.V.,archive
NL0012817175,0.61,2023-05-05,Qube Research & Technologies Ltd.,Alfen N.V.,archive
NL0000888691,0.55,2023-05-05,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,archive
NL0010801007,0.51,2023-05-04,"AQR Capital Management, LLC",IMCD N.V.,archive
BE0003818359,1.11,2023-05-04,"Arrowstreet Capital, Limited Partnership",Galapagos NV,archive
NL0000888691,0.69,2023-05-04,Citadel Advisors LLC,AMG Critical Materials N.V.,archive
NL0011872650,0.42,2023-05-04,"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,archive
NL0012817175,1.14,2023-05-04,Marshall Wace LLP,Alfen N.V.,archive
NL0000337319,0.79,2023-05-04,Marshall Wace LLP,Koninklijke BAM Groep N.V.,archive
NL0011821392,0.75,2023-05-03,AKO Capital LLP,Signify N.V.,archive
NL0010801007,0.49,2023-05-03,"AQR Capital Management, LLC",IMCD N.V.,archive
NL0012817175,0.44,2023-05-03,Pictet Asset Management S.A.,Alfen N.V.,archive
NL0000888691,0.54,2023-05-02,Citadel Advisors LLC,AMG Critical Materials N.V.,archive
NL0012866412,3.88,2023-05-02,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,archive
BE0003818359,0.51,2023-05-01,Qube Research & Technologies Ltd.,Galapagos NV,archive
BE0003818359,1.02,2023-04-28,"Arrowstreet Capital, Limited Partnership",Galapagos NV,archive
NL0000337319,0.48,2023-04-28,Citadel Advisors LLC,Koninklijke BAM Groep N.V.,archive
NL0000009538,0.55,2023-04-28,Citadel Advisors LLC,Koninklijke Philips N.V.,archive
BE0003818359,0.49,2023-04-28,Qube Research & Technologies Ltd.,Galapagos NV,archive
BE0003818359,0.91,2023-04-27,"Arrowstreet Capital, Limited Partnership",Galapagos NV,archive
NL0000888691,0.49,2023-04-27,Citadel Advisors LLC,AMG Critical Materials N.V.,archive
NL0010391025,0.71,2023-04-27,Citadel Advisors LLC,Pharming Group N.V.,archive
NL0012866412,0.7,2023-04-27,"Davidson Kempner European Partners, LLP",BE Semiconductor Industries N.V.,archive
NL0012866412,3.96,2023-04-27,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,archive
NL0011821392,1.12,2023-04-26,AKO Capital LLP,Signify N.V.,archive
NL0000009538,0.5,2023-04-26,"AQR Capital Management, LLC",Koninklijke Philips N.V.,archive
NL0013332471,0.59,2023-04-26,Citadel Advisors LLC,TomTom N.V.,archive
NL0000334118,0.45,2023-04-26,Marshall Wace LLP,ASM International N.V.,archive
NL0012866412,4.02,2023-04-26,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,archive
NL0012817175,0.5,2023-04-26,Qube Research & Technologies Ltd.,Alfen N.V.,archive
BE0003818359,0.52,2023-04-26,Qube Research & Technologies Ltd.,Galapagos NV,archive
NL0011821392,1.21,2023-04-25,AKO Capital LLP,Signify N.V.,archive
NL0012866412,0.64,2023-04-25,"Davidson Kempner European Partners, LLP",BE Semiconductor Industries N.V.,archive
NL0012817175,1.21,2023-04-25,Marshall Wace LLP,Alfen N.V.,archive
NL0012866412,3.76,2023-04-25,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,archive
NL0000009538,0.82,2023-04-25,Viking Global Investors LP,Koninklijke Philips N.V.,archive
NL0000009538,0.64,2023-04-24,Citadel Advisors LLC,Koninklijke Philips N.V.,archive
NL0009739416,0.41,2023-04-24,Eleva Capital SAS,PostNL N.V.,archive
NL0012866412,3.96,2023-04-24,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,archive
NL0000009538,1.05,2023-04-24,Viking Global Investors LP,Koninklijke Philips N.V.,archive
NL0000888691,0.59,2023-04-21,Citadel Advisors LLC,AMG Critical Materials N.V.,archive
NL0000337319,0.59,2023-04-21,Citadel Advisors LLC,Koninklijke BAM Groep N.V.,archive
NL0009739416,0.64,2023-04-21,Eleva Capital SAS,PostNL N.V.,archive
NL0012817175,1.13,2023-04-21,Marshall Wace LLP,Alfen N.V.,archive
BE0003818359,0.84,2023-04-20,"Arrowstreet Capital, Limited Partnership",Galapagos NV,archive
NL0000334118,0.5,2023-04-20,Marshall Wace LLP,ASM International N.V.,archive
NL0000337319,0.8,2023-04-20,Marshall Wace LLP,Koninklijke BAM Groep N.V.,archive
NL0012866412,4.06,2023-04-20,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,archive
NL0000334118,0.5,2023-04-20,Qube Research & Technologies Ltd.,ASM International N.V.,archive
NL0011872650,0.46,2023-04-19,CapeView Capital LLP,Basic-Fit N.V.,archive
NL0000334118,0.49,2023-04-19,Qube Research & Technologies Ltd.,ASM International N.V.,archive
NL0011872650,0.52,2023-04-18,CapeView Capital LLP,Basic-Fit N.V.,archive
NL0010391025,0.62,2023-04-18,Citadel Advisors LLC,Pharming Group N.V.,archive
NL00150003E1,0.6,2023-04-18,Voleon Capital Management LP,Fugro N.V.,archive
NL0000360618,0.49,2023-04-17,"AQR Capital Management, LLC",SBM Offshore N.V.,archive
FR0013326246,0.0,2023-04-17,CapeView Capital LLP,Unibail-Rodamco-Westfield SE,archive
NL0000888691,0.7,2023-04-17,Citadel Advisors LLC,AMG Critical Materials N.V.,archive
NL0000337319,0.69,2023-04-17,Citadel Advisors LLC,Koninklijke BAM Groep N.V.,archive
NL0013332471,0.63,2023-04-17,Citadel Advisors LLC,TomTom N.V.,archive
FR0013326246,0.0,2023-04-17,Kintbury Capital LLP,Unibail-Rodamco-Westfield SE,archive
NL0012866412,3.94,2023-04-17,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,archive
NL0010801007,0.5,2023-04-14,"AQR Capital Management, LLC",IMCD N.V.,archive
NL0000337319,0.7,2023-04-14,Citadel Advisors LLC,Koninklijke BAM Groep N.V.,archive
NL0010391025,0.58,2023-04-14,Citadel Advisors LLC,Pharming Group N.V.,archive
NL0012817175,1.09,2023-04-14,Marshall Wace LLP,Alfen N.V.,archive
NL0000337319,0.73,2023-04-14,Marshall Wace LLP,Koninklijke BAM Groep N.V.,archive
NL0012866412,4.0,2023-04-14,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,archive
NL0009739416,0.48,2023-04-14,Qube Research & Technologies Ltd.,PostNL N.V.,archive
NL0010391025,0.6,2023-04-13,Citadel Advisors LLC,Pharming Group N.V.,archive
NL0013332471,0.79,2023-04-13,Citadel Advisors LLC,TomTom N.V.,archive
NL0012866412,3.94,2023-04-13,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,archive
NL0012817175,0.45,2023-04-12,AllianceBernstein L.P.,Alfen N.V.,archive
NL0000360618,0.5,2023-04-12,"AQR Capital Management, LLC",SBM Offshore N.V.,archive
NL0010391025,0.7,2023-04-12,Citadel Advisors LLC,Pharming Group N.V.,archive
NL0011872650,0.49,2023-04-12,JPMorgan Asset Management (UK) Ltd.,Basic-Fit N.V.,archive
NL0009739416,0.77,2023-04-12,JPMorgan Asset Management (UK) Ltd.,PostNL N.V.,archive
NL0000337319,0.61,2023-04-12,Marshall Wace LLP,Koninklijke BAM Groep N.V.,archive
NL0012817175,0.52,2023-04-12,Pictet Asset Management S.A.,Alfen N.V.,archive
NL0012866412,3.85,2023-04-12,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,archive
NL0009739416,0.56,2023-04-12,Qube Research & Technologies Ltd.,PostNL N.V.,archive
NL0009739416,0.52,2023-04-12,UBS Asset Management (UK) Ltd.,PostNL N.V.,archive
NL0012817175,0.49,2023-04-12,"WorldQuant, LLC",Alfen N.V.,archive
NL0009739416,0.69,2023-04-11,JPMorgan Asset Management (UK) Ltd.,PostNL N.V.,archive
LU0569974404,0.58,2023-04-11,Pantechnicon Advisors LLP,Aperam S.A.,archive
NL0012866412,3.94,2023-04-11,"Point72 Asset Management, L.P.",BE Semiconductor Industries N.V.,archive
NL0000289213,1.49,2023-04-11,"Woodson Capital Master Fund, LP",Wereldhave N.V.,archive
NL0011821392,1.33,2023-04-06,AKO Capital LLP,Signify N.V.,archive
NL0000337319,0.61,2023-04-06,Citadel Advisors LLC,Koninklijke BAM Groep N.V.,archive
NL0010391025,0.66,2023-04-06,Citadel Advisors LLC,Pharming Group N.V.,archive
NL0009739416,0.52,2023-04-06,JPMorgan Asset Management (UK) Ltd.,PostNL N.V.,archive
NL0012817175,1.19,2023-04-06,Marshall Wace LLP,Alfen N.V.,archive
NL0000009538,1.37,2023-04-06,Viking Global Investors LP,Koninklijke Philips N.V.,archive
NL0000289213,1.5,2023-04-06,"Woodson Capital Master Fund, LP",Wereldhave N.V.,archive
