position_holder,position_date,isin,net_short_position,issuer_name,source
Qube Research & Technologies Ltd.,2025-03-27,NL0000852523,0.7,TKH Group N.V.,archive
"WorldQuant, LLC",2025-03-27,NL0012866412,0.5,BE Semiconductor Industries N.V.,archive
"WorldQuant, LLC",2025-03-27,NL0009739416,0.6,PostNL N.V.,archive
Marshall Wace LLP,2025-03-26,LU1598757687,0.7,ArcelorMittal S.A.,archive
Marshall Wace LLP,2025-03-26,NL0000379121,0.59,Randstad N.V.,archive
"PDT Partners, LLC",2025-03-26,NL0012817175,1.88,Alfen N.V.,archive
Qube Research & Technologies Ltd.,2025-03-26,NL0012047823,1.69,Avantium N.V.,archive
Spark Investment Management LLC,2025-03-26,NL0012817175,0.68,Alfen N.V.,archive
"Arrowstreet Capital, Limited Partnership",2025-03-25,NL0010391025,0.69,Pharming Group N.V.,archive
Marshall Wace LLP,2025-03-25,LU1598757687,0.69,ArcelorMittal S.A.,archive
Marshall Wace LLP,2025-03-25,NL00150003E1,0.8,Fugro N.V.,archive
Marshall Wace LLP,2025-03-25,LU2290522684,0.88,InPost S.A.,archive
Marshall Wace LLP,2025-03-25,NL0000009082,0.64,Koninklijke KPN N.V.,archive
Marshall Wace LLP,2025-03-25,NL0000009538,0.57,Koninklijke Philips N.V.,archive
Marshall Wace LLP,2025-03-25,NL0010558797,0.78,OCI N.V.,archive
Marshall Wace LLP,2025-03-25,NL0000379121,0.61,Randstad N.V.,archive
Voleon Capital Management LP,2025-03-25,NL0015002AG2,0.44,Ebusco Holding N.V.,archive
"D. E. Shaw & Co., L.P.",2025-03-24,NL0000888691,0.6,AMG Critical Materials N.V.,archive
"D. E. Shaw & Co., L.P.",2025-03-24,NL0009739416,0.49,PostNL N.V.,archive
Marshall Wace LLP,2025-03-24,LU2290522684,0.9,InPost S.A.,archive
Millennium Capital Partners LLP,2025-03-24,NL0012817175,0.46,Alfen N.V.,archive
Millennium International Management LP,2025-03-24,NL0010391025,2.88,Pharming Group N.V.,archive
Qube Research & Technologies Ltd.,2025-03-24,NL0000852523,0.68,TKH Group N.V.,archive
Citadel Advisors LLC,2025-03-21,NL0012817175,0.82,Alfen N.V.,archive
Citadel Advisors LLC,2025-03-21,NL0010558797,0.49,OCI N.V.,archive
Clean Energy Transition LLP,2025-03-21,NL0011821392,0.71,Signify N.V.,archive
Marshall Wace LLP,2025-03-21,LU1598757687,0.72,ArcelorMittal S.A.,archive
Marshall Wace LLP,2025-03-21,BE0003818359,0.59,Galapagos NV,archive
Millennium International Management LP,2025-03-21,NL0012817175,0.0,Alfen N.V.,archive
Millennium International Management LP,2025-03-21,NL0000888691,0.09,AMG Critical Materials N.V.,archive
Millennium International Management LP,2025-03-21,NL0010391025,2.9,Pharming Group N.V.,archive
Qube Research & Technologies Ltd.,2025-03-21,NL0012047823,1.79,Avantium N.V.,archive
"AQR Capital Management, LLC",2025-03-20,NL0011872643,0.77,ASR Nederland N.V.,archive
"Arrowstreet Capital, Limited Partnership",2025-03-20,NL0010391025,0.76,Pharming Group N.V.,archive
Capital Fund Management S.A.,2025-03-20,NL0000852523,0.46,TKH Group N.V.,archive
Citadel Advisors LLC,2025-03-20,NL0012817175,0.78,Alfen N.V.,archive
Millennium International Management LP,2025-03-20,NL0012817175,0.6,Alfen N.V.,archive
"WorldQuant, LLC",2025-03-20,NL0009739416,0.59,PostNL N.V.,archive
Marshall Wace LLP,2025-03-19,NL0000009538,0.6,Koninklijke Philips N.V.,archive
Marshall Wace LLP,2025-03-19,NL0010558797,0.87,OCI N.V.,archive
Marshall Wace LLP,2025-03-19,NL0000379121,0.51,Randstad N.V.,archive
Marshall Wace LLP,2025-03-19,NL0000852523,0.72,TKH Group N.V.,archive
Millennium International Management LP,2025-03-19,NL0000888691,0.52,AMG Critical Materials N.V.,archive
Millennium International Management LP,2025-03-19,NL0010391025,2.86,Pharming Group N.V.,archive
Qube Research & Technologies Ltd.,2025-03-19,NL0012047823,1.85,Avantium N.V.,archive
Voleon Capital Management LP,2025-03-19,NL0015002AG2,0.59,Ebusco Holding N.V.,archive
Acadian Asset Management LLC.,2025-03-18,NL0000888691,1.21,AMG Critical Materials N.V.,archive
"Arrowstreet Capital, Limited Partnership",2025-03-18,NL0010391025,0.87,Pharming Group N.V.,archive
Canada Pension Plan Investment Board,2025-03-18,NL0012866412,1.02,BE Semiconductor Industries N.V.,archive
Citadel Advisors LLC,2025-03-18,NL0012817175,0.8,Alfen N.V.,archive
"D. E. Shaw & Co., L.P.",2025-03-18,NL0012866412,0.5,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,2025-03-18,LU2290522684,0.89,InPost S.A.,archive
Qube Research & Technologies Ltd.,2025-03-18,NL0000852523,0.71,TKH Group N.V.,archive
"WorldQuant, LLC",2025-03-18,NL0009739416,0.6,PostNL N.V.,archive
"AQR Capital Management, LLC",2025-03-17,NL0013267909,0.51,Akzo Nobel N.V.,archive
Capital Fund Management S.A.,2025-03-17,NL0000852523,0.5,TKH Group N.V.,archive
Citadel Advisors LLC,2025-03-17,NL0012817175,0.7,Alfen N.V.,archive
Citadel Advisors LLC,2025-03-17,NL0010558797,0.51,OCI N.V.,archive
"D. E. Shaw & Co., L.P.",2025-03-17,NL0010391025,0.95,Pharming Group N.V.,archive
Marshall Wace LLP,2025-03-17,LU2290522684,0.9,InPost S.A.,archive
Marshall Wace LLP,2025-03-17,NL0009739416,0.69,PostNL N.V.,archive
"PDT Partners, LLC",2025-03-17,NL0012817175,1.96,Alfen N.V.,archive
"PDT Partners, LLC",2025-03-17,NL0000888691,0.65,AMG Critical Materials N.V.,archive
Citadel Advisors LLC,2025-03-14,NL0012817175,0.61,Alfen N.V.,archive
Marshall Wace LLP,2025-03-14,NL0000009082,0.5,Koninklijke KPN N.V.,archive
Marshall Wace LLP,2025-03-14,NL0000379121,0.49,Randstad N.V.,archive
"PDT Partners, LLC",2025-03-14,NL0012817175,2.01,Alfen N.V.,archive
Voleon Capital Management LP,2025-03-14,NL0015002AG2,0.68,Ebusco Holding N.V.,archive
Wellington Management International Ltd.,2025-03-14,NL0011872650,0.57,Basic-Fit N.V.,archive
"AQR Capital Management, LLC",2025-03-13,NL0011872643,0.8,ASR Nederland N.V.,archive
Marshall Wace LLP,2025-03-13,NL0000009082,0.49,Koninklijke KPN N.V.,archive
Marshall Wace LLP,2025-03-13,NL0000379121,0.5,Randstad N.V.,archive
Millennium Capital Partners LLP,2025-03-13,NL0012817175,0.58,Alfen N.V.,archive
"PDT Partners, LLC",2025-03-13,NL0012817175,2.11,Alfen N.V.,archive
Spark Investment Management LLC,2025-03-13,NL0012817175,0.74,Alfen N.V.,archive
"AQR Capital Management, LLC",2025-03-12,NL0010801007,0.61,IMCD N.V.,archive
Citadel Advisors LLC,2025-03-12,NL0000888691,0.46,AMG Critical Materials N.V.,archive
Marshall Wace LLP,2025-03-12,NL0000009082,0.5,Koninklijke KPN N.V.,archive
Millennium Capital Partners LLP,2025-03-12,NL0012817175,0.62,Alfen N.V.,archive
Millennium International Management LP,2025-03-12,NL0010391025,2.77,Pharming Group N.V.,archive
"PDT Partners, LLC",2025-03-12,NL0012817175,2.03,Alfen N.V.,archive
Qube Research & Technologies Ltd.,2025-03-12,NL0000852523,0.69,TKH Group N.V.,archive
BlackRock Investment Management (UK) Limited,2025-03-11,NL0011872650,0.64,Basic-Fit N.V.,archive
Citadel Securities (Europe) Limited,2025-03-11,NL0015002AG2,0.49,Ebusco Holding N.V.,archive
"D. E. Shaw & Co., L.P.",2025-03-11,NL0000888691,0.51,AMG Critical Materials N.V.,archive
JPMorgan Asset Management (UK) Ltd.,2025-03-11,NL0000852523,0.46,TKH Group N.V.,archive
Marshall Wace LLP,2025-03-11,LU1598757687,0.6,ArcelorMittal S.A.,archive
Marshall Wace LLP,2025-03-11,NL0000009538,0.51,Koninklijke Philips N.V.,archive
Marshall Wace LLP,2025-03-11,NL0010558797,0.96,OCI N.V.,archive
Millennium Capital Partners LLP,2025-03-11,NL0012817175,0.54,Alfen N.V.,archive
Millennium Capital Partners LLP,2025-03-11,LU0569974404,0.11,Aperam S.A.,archive
Millennium International Management LP,2025-03-11,NL0010391025,2.49,Pharming Group N.V.,archive
"PDT Partners, LLC",2025-03-11,NL0012817175,1.99,Alfen N.V.,archive
Qube Research & Technologies Ltd.,2025-03-11,NL0000852523,0.7,TKH Group N.V.,archive
"WorldQuant, LLC",2025-03-11,NL0009739416,0.52,PostNL N.V.,archive
Citadel Advisors LLC,2025-03-10,NL0010558797,0.49,OCI N.V.,archive
Marshall Wace LLP,2025-03-10,LU1598757687,0.59,ArcelorMittal S.A.,archive
Marshall Wace LLP,2025-03-10,NL00150003E1,0.71,Fugro N.V.,archive
Marshall Wace LLP,2025-03-10,NL0000009538,0.48,Koninklijke Philips N.V.,archive
Marshall Wace LLP,2025-03-10,NL0010558797,1.0,OCI N.V.,archive
Millennium International Management LP,2025-03-10,NL0010391025,2.25,Pharming Group N.V.,archive
"PDT Partners, LLC",2025-03-10,NL0012817175,2.02,Alfen N.V.,archive
"PDT Partners, LLC",2025-03-10,NL0000888691,0.71,AMG Critical Materials N.V.,archive
Qube Research & Technologies Ltd.,2025-03-10,NL0012047823,1.75,Avantium N.V.,archive
Qube Research & Technologies Ltd.,2025-03-10,BE0003818359,1.2,Galapagos NV,archive
Citadel Advisors LLC,2025-03-07,NL0000888691,0.52,AMG Critical Materials N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",2025-03-07,NL0012866412,0.5,BE Semiconductor Industries N.V.,archive
"D. E. Shaw & Co., L.P.",2025-03-07,NL0010391025,1.0,Pharming Group N.V.,archive
Millennium International Management LP,2025-03-07,NL0010391025,2.48,Pharming Group N.V.,archive
Citadel Securities (Europe) Limited,2025-03-06,NL0015002AG2,0.56,Ebusco Holding N.V.,archive
"D. E. Shaw & Co., L.P.",2025-03-06,NL0000888691,0.42,AMG Critical Materials N.V.,archive
Marshall Wace LLP,2025-03-06,LU1598757687,0.61,ArcelorMittal S.A.,archive
Millennium International Management LP,2025-03-06,NL0010391025,2.57,Pharming Group N.V.,archive
Numeric Investors LLC,2025-03-06,NL0010776944,0.48,Brunel International N.V.,archive
"PDT Partners, LLC",2025-03-06,NL0012817175,1.94,Alfen N.V.,archive
"PDT Partners, LLC",2025-03-06,NL0000888691,0.69,AMG Critical Materials N.V.,archive
"AQR Capital Management, LLC",2025-03-05,NL0012866412,0.6,BE Semiconductor Industries N.V.,archive
Citadel Advisors LLC,2025-03-05,NL0000888691,0.48,AMG Critical Materials N.V.,archive
Citadel Advisors LLC,2025-03-05,NL0013332471,0.49,TomTom N.V.,archive
Citadel Securities (Europe) Limited,2025-03-05,NL0015002AG2,0.7,Ebusco Holding N.V.,archive
"D. E. Shaw & Co., L.P.",2025-03-05,NL0010391025,0.99,Pharming Group N.V.,archive
Qube Research & Technologies Ltd.,2025-03-05,NL0000852523,0.65,TKH Group N.V.,archive
"Arrowstreet Capital, Limited Partnership",2025-03-04,NL0012817175,0.61,Alfen N.V.,archive
BlackRock Investment Management (UK) Limited,2025-03-04,NL0011872650,0.7,Basic-Fit N.V.,archive
Citadel Advisors LLC,2025-03-04,NL0013332471,0.51,TomTom N.V.,archive
"D. E. Shaw & Co., L.P.",2025-03-04,NL0000888691,0.59,AMG Critical Materials N.V.,archive
Marshall Wace LLP,2025-03-04,NL0000852523,0.65,TKH Group N.V.,archive
Millennium Capital Partners LLP,2025-03-04,NL0012817175,0.39,Alfen N.V.,archive
Millennium International Management LP,2025-03-04,NL0010391025,2.67,Pharming Group N.V.,archive
Mirabella Financial Services LLP,2025-03-04,NL0011821392,0.51,Signify N.V.,archive
"PDT Partners, LLC",2025-03-04,NL0012817175,2.01,Alfen N.V.,archive
"PDT Partners, LLC",2025-03-04,NL0000888691,0.84,AMG Critical Materials N.V.,archive
"Point72 Europe (London), LLP",2025-03-04,NL0011794037,0.54,Koninklijke Ahold Delhaize N.V.,archive
Qube Research & Technologies Ltd.,2025-03-04,NL0000852523,0.7,TKH Group N.V.,archive
"AQR Capital Management, LLC",2025-03-03,NL0000888691,0.48,AMG Critical Materials N.V.,archive
"AQR Capital Management, LLC",2025-03-03,NL0010801007,0.51,IMCD N.V.,archive
"Arrowstreet Capital, Limited Partnership",2025-03-03,BE0003818359,0.88,Galapagos NV,archive
Citadel Advisors LLC,2025-03-03,NL0000888691,0.54,AMG Critical Materials N.V.,archive
Clean Energy Transition LLP,2025-03-03,NL0011821392,0.59,Signify N.V.,archive
"D. E. Shaw & Co., L.P.",2025-03-03,NL0010391025,1.0,Pharming Group N.V.,archive
Marshall Wace LLP,2025-03-03,NL00150003E1,0.6,Fugro N.V.,archive
Marshall Wace LLP,2025-03-03,NL0011794037,0.49,Koninklijke Ahold Delhaize N.V.,archive
Mirabella Financial Services LLP,2025-03-03,NL0011821392,0.49,Signify N.V.,archive
BlackRock Investment Management (UK) Limited,2025-02-28,NL0011872650,0.6,Basic-Fit N.V.,archive
Citadel Securities (Europe) Limited,2025-02-28,NL0015002AG2,0.8,Ebusco Holding N.V.,archive
Eleva Capital SAS,2025-02-28,NL00150003E1,0.81,Fugro N.V.,archive
Marshall Wace LLP,2025-02-28,NL00150003E1,0.58,Fugro N.V.,archive
Marshall Wace LLP,2025-02-28,NL0000009538,0.5,Koninklijke Philips N.V.,archive
Marshall Wace LLP,2025-02-28,NL0010558797,0.98,OCI N.V.,archive
Millennium Capital Partners LLP,2025-02-28,NL0012817175,0.5,Alfen N.V.,archive
Mirabella Financial Services LLP,2025-02-28,NL0011821392,0.5,Signify N.V.,archive
"PDT Partners, LLC",2025-02-28,NL0012817175,1.91,Alfen N.V.,archive
Acadian Asset Management LLC.,2025-02-27,NL0000888691,1.1,AMG Critical Materials N.V.,archive
Citadel Advisors LLC,2025-02-27,NL0000888691,0.61,AMG Critical Materials N.V.,archive
Citadel Securities (Europe) Limited,2025-02-27,NL0015002AG2,0.79,Ebusco Holding N.V.,archive
"D. E. Shaw & Co., L.P.",2025-02-27,NL0000888691,0.44,AMG Critical Materials N.V.,archive
Millennium Capital Partners LLP,2025-02-27,LU0569974404,0.92,Aperam S.A.,archive
"PDT Partners, LLC",2025-02-27,NL0000888691,0.77,AMG Critical Materials N.V.,archive
AKO Capital LLP,2025-02-26,NL0000379121,0.49,Randstad N.V.,archive
Citadel Securities (Europe) Limited,2025-02-26,NL0015002AG2,0.61,Ebusco Holding N.V.,archive
"D. E. Shaw & Co., L.P.",2025-02-26,NL0000888691,0.59,AMG Critical Materials N.V.,archive
Marshall Wace LLP,2025-02-26,NL00150003E1,0.69,Fugro N.V.,archive
Millennium International Management LP,2025-02-26,NL0010391025,2.78,Pharming Group N.V.,archive
"PDT Partners, LLC",2025-02-26,NL0012817175,1.88,Alfen N.V.,archive
Voleon Capital Management LP,2025-02-26,NL0015002AG2,0.73,Ebusco Holding N.V.,archive
"Arrowstreet Capital, Limited Partnership",2025-02-25,NL0010391025,0.99,Pharming Group N.V.,archive
BlackRock Investment Management (UK) Limited,2025-02-25,NL0011872650,0.56,Basic-Fit N.V.,archive
Marshall Wace LLP,2025-02-25,NL00150003E1,0.74,Fugro N.V.,archive
Millennium Capital Partners LLP,2025-02-25,LU0569974404,0.88,Aperam S.A.,archive
"PDT Partners, LLC",2025-02-25,NL0012817175,1.98,Alfen N.V.,archive
"Arrowstreet Capital, Limited Partnership",2025-02-24,BE0003818359,0.98,Galapagos NV,archive
Eleva Capital SAS,2025-02-24,NL00150003E1,0.65,Fugro N.V.,archive
Marshall Wace LLP,2025-02-24,LU1598757687,0.5,ArcelorMittal S.A.,archive
Millennium Capital Partners LLP,2025-02-24,NL0012817175,0.49,Alfen N.V.,archive
"PDT Partners, LLC",2025-02-24,NL0009739416,0.46,PostNL N.V.,archive
Voleon Capital Management LP,2025-02-24,NL0015002AG2,0.64,Ebusco Holding N.V.,archive
Acadian Asset Management LLC.,2025-02-21,NL0000888691,1.08,AMG Critical Materials N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",2025-02-21,BE0003818359,0.49,Galapagos NV,archive
Marshall Wace LLP,2025-02-21,NL0000852523,0.58,TKH Group N.V.,archive
AKO Capital LLP,2025-02-20,NL0000379121,0.64,Randstad N.V.,archive
"Arrowstreet Capital, Limited Partnership",2025-02-20,BE0003818359,1.06,Galapagos NV,archive
"D. E. Shaw & Co., L.P.",2025-02-20,NL0000888691,0.67,AMG Critical Materials N.V.,archive
Marshall Wace LLP,2025-02-20,BE0003818359,0.61,Galapagos NV,archive
"PDT Partners, LLC",2025-02-20,NL0000888691,0.8,AMG Critical Materials N.V.,archive
Southpoint Capital Advisors LP,2025-02-20,NL0012866412,0.41,BE Semiconductor Industries N.V.,archive
Acadian Asset Management LLC.,2025-02-19,NL0000888691,1.13,AMG Critical Materials N.V.,archive
AKO Capital LLP,2025-02-19,NL0000379121,0.75,Randstad N.V.,archive
Citadel Advisors LLC,2025-02-19,NL0000888691,0.7,AMG Critical Materials N.V.,archive
Marshall Wace LLP,2025-02-19,NL0000009082,0.48,Koninklijke KPN N.V.,archive
Millennium International Management LP,2025-02-19,NL0010391025,2.89,Pharming Group N.V.,archive
"WorldQuant, LLC",2025-02-19,NL0012817175,0.46,Alfen N.V.,archive
Citadel Advisors LLC,2025-02-18,NL0010558797,0.58,OCI N.V.,archive
JPMorgan Asset Management (UK) Ltd.,2025-02-18,NL0000852523,0.58,TKH Group N.V.,archive
Millennium Capital Partners LLP,2025-02-18,NL0012817175,0.59,Alfen N.V.,archive
"PDT Partners, LLC",2025-02-18,NL0012817175,2.07,Alfen N.V.,archive
"WorldQuant, LLC",2025-02-18,NL0012817175,0.5,Alfen N.V.,archive
"D. E. Shaw & Co., L.P.",2025-02-17,NL0000888691,0.79,AMG Critical Materials N.V.,archive
Marshall Wace LLP,2025-02-17,BE0003818359,0.58,Galapagos NV,archive
Qube Research & Technologies Ltd.,2025-02-17,NL0012817175,0.48,Alfen N.V.,archive
Voleon Capital Management LP,2025-02-17,NL0015002AG2,0.51,Ebusco Holding N.V.,archive
Citadel Securities (Europe) Limited,2025-02-14,NL00150002Q7,0.49,Vivoryon Therapeutics N.V.,archive
Marshall Wace LLP,2025-02-14,NL0010558797,1.08,OCI N.V.,archive
Millennium International Management LP,2025-02-14,LU0569974404,0.48,Aperam S.A.,archive
Qube Research & Technologies Ltd.,2025-02-14,NL0012817175,0.59,Alfen N.V.,archive
Voleon Capital Management LP,2025-02-14,NL0015002AG2,0.49,Ebusco Holding N.V.,archive
Marshall Wace LLP,2025-02-13,BE0003818359,0.63,Galapagos NV,archive
Millennium International Management LP,2025-02-13,LU0569974404,0.56,Aperam S.A.,archive
"PDT Partners, LLC",2025-02-13,NL0012817175,2.12,Alfen N.V.,archive
Qube Research & Technologies Ltd.,2025-02-13,NL0012817175,0.61,Alfen N.V.,archive
Qube Research & Technologies Ltd.,2025-02-13,BE0003818359,1.12,Galapagos NV,archive
Qube Research & Technologies Ltd.,2025-02-13,NL0000852523,0.61,TKH Group N.V.,archive
TFG Asset Management UK LLP,2025-02-13,NL0012747059,0.0,CM.com N.V.,archive
Whitebox Advisors LLC,2025-02-13,NL0012747059,0.0,CM.com N.V.,archive
Citadel Advisors LLC,2025-02-12,NL0000888691,0.64,AMG Critical Materials N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",2025-02-12,BE0003818359,0.5,Galapagos NV,archive
"PDT Partners, LLC",2025-02-12,NL0012817175,2.21,Alfen N.V.,archive
Southpoint Capital Advisors LP,2025-02-12,NL0012866412,0.55,BE Semiconductor Industries N.V.,archive
Voleon Capital Management LP,2025-02-12,NL0015002AG2,0.5,Ebusco Holding N.V.,archive
Citadel Advisors LLC,2025-02-11,NL0000888691,0.59,AMG Critical Materials N.V.,archive
Millennium Capital Partners LLP,2025-02-11,LU0569974404,0.99,Aperam S.A.,archive
Millennium International Management LP,2025-02-11,NL0010391025,2.98,Pharming Group N.V.,archive
"PDT Partners, LLC",2025-02-11,NL0012817175,1.89,Alfen N.V.,archive
"PDT Partners, LLC",2025-02-11,NL0000888691,0.71,AMG Critical Materials N.V.,archive
"AQR Capital Management, LLC",2025-02-10,NL0010801007,0.49,IMCD N.V.,archive
Citadel Advisors LLC,2025-02-10,NL0000888691,0.61,AMG Critical Materials N.V.,archive
Citadel Advisors LLC,2025-02-10,NL0010558797,0.69,OCI N.V.,archive
Otus Capital Management Ltd.,2025-02-10,NL0013332471,0.55,TomTom N.V.,archive
Capital Fund Management S.A.,2025-02-07,LU1598757687,0.44,ArcelorMittal S.A.,archive
Citadel Advisors LLC,2025-02-07,LU1598757687,0.48,ArcelorMittal S.A.,archive
"D. E. Shaw & Co., L.P.",2025-02-07,NL0000888691,0.88,AMG Critical Materials N.V.,archive
"D. E. Shaw & Co., L.P.",2025-02-07,NL0010391025,0.97,Pharming Group N.V.,archive
Marshall Wace LLP,2025-02-07,NL0010558797,1.18,OCI N.V.,archive
Marshall Wace LLP,2025-02-07,NL0000852523,0.69,TKH Group N.V.,archive
Millennium Capital Partners LLP,2025-02-07,NL0012817175,0.6,Alfen N.V.,archive
Millennium Capital Partners LLP,2025-02-07,LU0569974404,1.02,Aperam S.A.,archive
Millennium International Management LP,2025-02-07,LU0569974404,0.68,Aperam S.A.,archive
"PDT Partners, LLC",2025-02-07,NL0000888691,0.69,AMG Critical Materials N.V.,archive
Capital Fund Management S.A.,2025-02-06,LU1598757687,0.52,ArcelorMittal S.A.,archive
Citadel Advisors LLC,2025-02-06,LU1598757687,0.51,ArcelorMittal S.A.,archive
Marshall Wace LLP,2025-02-06,NL00150003E1,0.82,Fugro N.V.,archive
Marshall Wace LLP,2025-02-06,NL0000009082,0.57,Koninklijke KPN N.V.,archive
Otus Capital Management Ltd.,2025-02-06,NL0013332471,0.71,TomTom N.V.,archive
"WorldQuant, LLC",2025-02-06,NL0009739416,0.47,PostNL N.V.,archive
Marshall Wace LLP,2025-02-05,NL0011794037,0.52,Koninklijke Ahold Delhaize N.V.,archive
"PDT Partners, LLC",2025-02-05,NL0012817175,1.92,Alfen N.V.,archive
"WorldQuant, LLC",2025-02-05,BE0003818359,0.48,Galapagos NV,archive
Acadian Asset Management LLC.,2025-02-04,NL0000888691,1.03,AMG Critical Materials N.V.,archive
"AQR Capital Management, LLC",2025-02-04,NL0011872643,0.79,ASR Nederland N.V.,archive
Canada Pension Plan Investment Board,2025-02-04,NL0012866412,0.93,BE Semiconductor Industries N.V.,archive
Citadel Advisors LLC,2025-02-04,NL0000888691,0.58,AMG Critical Materials N.V.,archive
Marshall Wace LLP,2025-02-04,NL00150003E1,0.62,Fugro N.V.,archive
Marshall Wace LLP,2025-02-04,BE0003818359,0.5,Galapagos NV,archive
Mirabella Financial Services LLP,2025-02-04,NL0011821392,0.49,Signify N.V.,archive
Numeric Investors LLC,2025-02-04,NL0010776944,0.5,Brunel International N.V.,archive
Otus Capital Management Ltd.,2025-02-04,NL0013332471,0.89,TomTom N.V.,archive
Citadel Advisors LLC,2025-02-03,LU1598757687,0.47,ArcelorMittal S.A.,archive
Citadel Advisors LLC,2025-02-03,NL0010558797,0.79,OCI N.V.,archive
Mirabella Financial Services LLP,2025-02-03,NL0011821392,0.51,Signify N.V.,archive
"PDT Partners, LLC",2025-02-03,NL0000888691,0.79,AMG Critical Materials N.V.,archive
Qube Research & Technologies Ltd.,2025-02-03,NL0000852523,0.5,TKH Group N.V.,archive
Acadian Asset Management LLC.,2025-01-31,NL0000888691,0.92,AMG Critical Materials N.V.,archive
"AQR Capital Management, LLC",2025-01-31,NL0000888691,0.59,AMG Critical Materials N.V.,archive
Boldhaven Management LLP,2025-01-31,NL0006237562,0.7,ARCADIS N.V.,archive
Canada Pension Plan Investment Board,2025-01-31,NL0012866412,0.89,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,2025-01-31,NL00150003E1,0.5,Fugro N.V.,archive
Marshall Wace LLP,2025-01-31,LU2290522684,0.8,InPost S.A.,archive
"PDT Partners, LLC",2025-01-31,NL0012817175,1.89,Alfen N.V.,archive
Acadian Asset Management LLC.,2025-01-30,NL0000888691,0.87,AMG Critical Materials N.V.,archive
Citadel Advisors LLC,2025-01-30,NL0000888691,0.6,AMG Critical Materials N.V.,archive
Marshall Wace LLP,2025-01-30,NL0000009082,0.68,Koninklijke KPN N.V.,archive
Marshall Wace LLP,2025-01-30,NL0000852523,0.79,TKH Group N.V.,archive
Millennium Capital Partners LLP,2025-01-30,NL0012817175,0.5,Alfen N.V.,archive
Mirabella Financial Services LLP,2025-01-30,NL0011821392,0.49,Signify N.V.,archive
AKO Capital LLP,2025-01-29,NL0000379121,0.8,Randstad N.V.,archive
Citadel Advisors LLC,2025-01-29,LU1598757687,0.59,ArcelorMittal S.A.,archive
Citadel Advisors LLC,2025-01-29,NL0010558797,0.89,OCI N.V.,archive
Citadel Securities (Europe) Limited,2025-01-29,NL00150002Q7,0.57,Vivoryon Therapeutics N.V.,archive
Marshall Wace LLP,2025-01-29,NL0013267909,0.47,Akzo Nobel N.V.,archive
Marshall Wace LLP,2025-01-29,NL0011794037,0.48,Koninklijke Ahold Delhaize N.V.,archive
Marshall Wace LLP,2025-01-29,NL0010558797,1.29,OCI N.V.,archive
Millennium Capital Partners LLP,2025-01-29,LU0569974404,0.9,Aperam S.A.,archive
"WorldQuant, LLC",2025-01-29,BE0003818359,0.51,Galapagos NV,archive
Canada Pension Plan Investment Board,2025-01-28,NL0012866412,0.9,BE Semiconductor Industries N.V.,archive
Capital Fund Management S.A.,2025-01-28,NL0000888691,0.48,AMG Critical Materials N.V.,archive
Marshall Wace LLP,2025-01-28,NL0000888691,0.46,AMG Critical Materials N.V.,archive
Marshall Wace LLP,2025-01-28,NL0000009082,0.74,Koninklijke KPN N.V.,archive
Millennium Capital Partners LLP,2025-01-28,NL0012817175,0.47,Alfen N.V.,archive
Millennium International Management LP,2025-01-28,LU0569974404,0.79,Aperam S.A.,archive
"PDT Partners, LLC",2025-01-28,NL0012817175,1.97,Alfen N.V.,archive
"PDT Partners, LLC",2025-01-28,NL0000888691,0.88,AMG Critical Materials N.V.,archive
Acadian Asset Management LLC.,2025-01-27,NL0000888691,0.78,AMG Critical Materials N.V.,archive
"Arrowstreet Capital, Limited Partnership",2025-01-27,NL0012817175,0.53,Alfen N.V.,archive
Canada Pension Plan Investment Board,2025-01-27,NL0012866412,0.89,BE Semiconductor Industries N.V.,archive
"Arrowstreet Capital, Limited Partnership",2025-01-24,NL0010391025,1.09,Pharming Group N.V.,archive
Canada Pension Plan Investment Board,2025-01-24,NL0012866412,1.02,BE Semiconductor Industries N.V.,archive
Citadel Advisors LLC,2025-01-24,NL0000888691,0.58,AMG Critical Materials N.V.,archive
Citadel Securities (Europe) Limited,2025-01-24,NL00150002Q7,0.62,Vivoryon Therapeutics N.V.,archive
Teacher Retirement System of Texas,2025-01-24,NL0000888691,0.49,AMG Critical Materials N.V.,archive
"WorldQuant, LLC",2025-01-24,NL0012866412,0.47,BE Semiconductor Industries N.V.,archive
Citadel Securities (Europe) Limited,2025-01-23,NL00150002Q7,0.71,Vivoryon Therapeutics N.V.,archive
"D. E. Shaw & Co., L.P.",2025-01-23,NL0000888691,0.91,AMG Critical Materials N.V.,archive
Marshall Wace LLP,2025-01-23,NL0010558797,1.39,OCI N.V.,archive
Millennium Capital Partners LLP,2025-01-23,LU0569974404,0.89,Aperam S.A.,archive
Millennium International Management LP,2025-01-23,LU0569974404,0.88,Aperam S.A.,archive
"PDT Partners, LLC",2025-01-23,NL0012817175,2.2,Alfen N.V.,archive
"Arrowstreet Capital, Limited Partnership",2025-01-22,NL0012817175,0.68,Alfen N.V.,archive
Capital Fund Management S.A.,2025-01-22,NL0000888691,0.54,AMG Critical Materials N.V.,archive
