position_holder,position_date,isin,net_short_position,issuer_name,source
"BlackRock Financial Management, Inc.",2026-04-17,NL0010801007,0.89,IMCD N.V.,current
Citadel Advisors Europe Limited,2026-04-17,NL0011821392,1.07,Signify N.V.,current
Citadel Advisors LLC,2026-04-17,NL0010801007,0.53,IMCD N.V.,current
Citadel Advisors LLC,2026-04-17,NL0000379121,0.5,Randstad N.V.,current
Citadel Advisors LLC,2026-04-17,NL0011821392,2.22,Signify N.V.,current
Citadel Advisors LLC,2026-04-17,NL0000817179,0.71,Sligro Food Group N.V.,current
"D. E. Shaw & Co., L.P.",2026-04-17,NL0011872650,1.12,Basic-Fit N.V.,current
Davidson Kempner Capital Management LP,2026-04-17,NL0013267909,1.41,Akzo Nobel N.V.,current
Fosse Capital Partners LLP,2026-04-17,NL0011872650,1.02,Basic-Fit N.V.,current
JPMorgan Asset Management (UK) Ltd.,2026-04-17,NL00150003E1,1.06,Fugro N.V.,current
JPMorgan Asset Management (UK) Ltd.,2026-04-17,NL0010801007,0.91,IMCD N.V.,current
JPMorgan Asset Management (UK) Ltd.,2026-04-17,NL0013332471,1.22,TomTom N.V.,current
Linden Advisors LP,2026-04-17,NL0011872650,0.59,Basic-Fit N.V.,current
Marshall Wace LLP,2026-04-17,NL0010801007,0.65,IMCD N.V.,current
Marshall Wace LLP,2026-04-17,NL0009739416,0.81,PostNL N.V.,current
"PDT Partners, LLC",2026-04-17,NL0011821392,0.9,Signify N.V.,current
Sculptor Capital Management Europe Limited,2026-04-17,NL0011872650,0.6,Basic-Fit N.V.,current
"Two Sigma Investments, LP",2026-04-17,LU2290522684,1.47,InPost S.A.,current
Walleye Capital LLC,2026-04-17,NL0015002MS2,0.62,The Magnum Ice Cream Company N.V.,current
"WorldQuant, LLC",2026-04-17,NL0010801007,0.66,IMCD N.V.,current
Acadian Asset Management LLC.,2026-04-16,NL0010801007,0.69,IMCD N.V.,current
AKO Capital LLP,2026-04-16,NL0013267909,1.07,Akzo Nobel N.V.,current
"AQR Capital Management, LLC",2026-04-16,NL0012969182,1.3,Adyen N.V.,current
"AQR Capital Management, LLC",2026-04-16,NL0015000IY2,0.58,Universal Music Group N.V.,current
Citadel Advisors LLC,2026-04-16,NL0011821392,2.32,Signify N.V.,current
"D. E. Shaw & Co., L.P.",2026-04-16,NL0012817175,0.78,Alfen N.V.,current
JPMorgan Asset Management (UK) Ltd.,2026-04-16,NL0010801007,0.85,IMCD N.V.,current
JPMorgan Asset Management (UK) Ltd.,2026-04-16,NL0015002MS2,0.58,The Magnum Ice Cream Company N.V.,current
Lazard Asset Management LLC,2026-04-16,NL0010391025,1.18,Pharming Group N.V.,current
Marshall Wace LLP,2026-04-16,NL0010801007,0.52,IMCD N.V.,current
Millennium Capital (DIFC) Limited,2026-04-16,NL0011821392,0.79,Signify N.V.,current
Voleon Capital Management LP,2026-04-16,NL0012817175,1.79,Alfen N.V.,current
"WorldQuant, LLC",2026-04-16,NL0012817175,2.75,Alfen N.V.,current
AKO Capital LLP,2026-04-15,NL0013267909,1.41,Akzo Nobel N.V.,current
Capital Fund Management S.A.,2026-04-15,NL0012969182,0.68,Adyen N.V.,current
Citadel Advisors Europe Limited,2026-04-15,NL0011821392,1.17,Signify N.V.,current
Ilex Capital Partners (UK) LLP,2026-04-15,CH1216478797,1.23,DSM-Firmenich AG,current
JPMorgan Asset Management (UK) Ltd.,2026-04-15,NL0010801007,0.76,IMCD N.V.,current
Lazard Asset Management LLC,2026-04-15,NL0010391025,1.2,Pharming Group N.V.,current
Marshall Wace LLP,2026-04-15,NL0011821392,1.82,Signify N.V.,current
Marshall Wace LLP,2026-04-15,NL0015002MS2,1.15,The Magnum Ice Cream Company N.V.,current
Millennium Capital (DIFC) Limited,2026-04-15,NL0011821392,0.8,Signify N.V.,current
Qube Research & Technologies Ltd.,2026-04-15,CY0200751713,1.16,Theon International Plc,current
Squarepoint Ops LLC,2026-04-15,NL0006237562,0.88,ARCADIS N.V.,current
Voleon Capital Management LP,2026-04-15,NL0012817175,1.89,Alfen N.V.,current
"BlackRock Financial Management, Inc.",2026-04-14,NL0010801007,0.97,IMCD N.V.,current
Citadel Advisors LLC,2026-04-14,NL0015002K83,0.51,Havas N.V.,current
Fosse Capital Partners LLP,2026-04-14,NL0011872650,1.23,Basic-Fit N.V.,current
JPMorgan Asset Management (UK) Ltd.,2026-04-14,NL0010801007,0.66,IMCD N.V.,current
Marshall Wace LLP,2026-04-14,NL0015002MS2,1.22,The Magnum Ice Cream Company N.V.,current
"PDT Partners, LLC",2026-04-14,NL0009739416,0.5,PostNL N.V.,current
"WorldQuant, LLC",2026-04-14,NL0012817175,2.84,Alfen N.V.,current
"AQR Capital Management, LLC",2026-04-13,NL0012969182,1.21,Adyen N.V.,current
"AQR Capital Management, LLC",2026-04-13,NL0006237562,1.01,ARCADIS N.V.,current
"AQR Capital Management, LLC",2026-04-13,JE00BRX98089,0.71,CVC Capital Partners plc,current
Citadel Advisors Europe Limited,2026-04-13,NL0011821392,1.2,Signify N.V.,current
Citadel Advisors LLC,2026-04-13,NL0000817179,0.61,Sligro Food Group N.V.,current
"PDT Partners, LLC",2026-04-13,NL0010801007,0.89,IMCD N.V.,current
Walleye Capital LLC,2026-04-13,NL0015002MS2,0.5,The Magnum Ice Cream Company N.V.,current
"AQR Capital Management, LLC",2026-04-10,LU1598757687,0.58,ArcelorMittal S.A.,current
"D. E. Shaw & Co., L.P.",2026-04-10,NL0012817175,0.89,Alfen N.V.,current
"D. E. Shaw & Co., L.P.",2026-04-10,NL0000395903,0.8,Wolters Kluwer N.V.,current
Marshall Wace LLP,2026-04-10,NL0015002MS2,1.38,The Magnum Ice Cream Company N.V.,current
"PDT Partners, LLC",2026-04-10,NL0010801007,0.9,IMCD N.V.,current
Qube Research & Technologies Ltd.,2026-04-10,CY0200751713,1.22,Theon International Plc,current
"AQR Capital Management, LLC",2026-04-09,NL0012969182,1.13,Adyen N.V.,current
"AQR Capital Management, LLC",2026-04-09,NL0010801007,0.51,IMCD N.V.,current
Citadel Advisors Europe Limited,2026-04-09,NL0011821392,1.19,Signify N.V.,current
Citadel Advisors LLC,2026-04-09,NL0011821392,2.42,Signify N.V.,current
Ilex Capital Partners (UK) LLP,2026-04-09,CH1216478797,1.0,DSM-Firmenich AG,current
Numeric Investors LLC,2026-04-09,NL0012365084,0.71,NSI N.V.,current
"PDT Partners, LLC",2026-04-09,NL0010801007,0.89,IMCD N.V.,current
"AQR Capital Management, LLC",2026-04-08,NL0000852564,0.61,Aalberts N.V.,current
"AQR Capital Management, LLC",2026-04-08,NL0011821392,1.22,Signify N.V.,current
Citadel Advisors LLC,2026-04-08,NL0011821392,2.39,Signify N.V.,current
"D. E. Shaw & Co., L.P.",2026-04-08,NL0012817175,0.95,Alfen N.V.,current
Millennium Capital (DIFC) Limited,2026-04-08,NL0011821392,0.79,Signify N.V.,current
Qube Research & Technologies Ltd.,2026-04-08,NL0015002MS2,0.5,The Magnum Ice Cream Company N.V.,current
"Two Sigma Investments, LP",2026-04-08,NL0010801007,0.79,IMCD N.V.,current
"BlackRock Advisors, LLC",2026-04-07,NL0010801007,0.66,IMCD N.V.,current
"BlackRock Financial Management, Inc.",2026-04-07,NL0010801007,1.0,IMCD N.V.,current
Capital Fund Management S.A.,2026-04-07,NL0010801007,0.76,IMCD N.V.,current
Citadel Advisors Europe Limited,2026-04-07,NL0011821392,1.21,Signify N.V.,current
Citadel Advisors LLC,2026-04-07,NL0009739416,0.58,PostNL N.V.,current
Citadel Advisors LLC,2026-04-07,NL0011821392,2.41,Signify N.V.,current
"D. E. Shaw & Co., L.P.",2026-04-07,NL0006237562,0.69,ARCADIS N.V.,current
Marshall Wace LLP,2026-04-07,NL0015002MS2,1.46,The Magnum Ice Cream Company N.V.,current
Voleon Capital Management LP,2026-04-07,NL0012817175,1.98,Alfen N.V.,current
"WorldQuant, LLC",2026-04-07,NL0012817175,2.77,Alfen N.V.,current
"AQR Capital Management, LLC",2026-04-02,NL0012969182,1.0,Adyen N.V.,current
"AQR Capital Management, LLC",2026-04-02,JE00BRX98089,0.61,CVC Capital Partners plc,current
"BlackRock Financial Management, Inc.",2026-04-02,NL0010801007,0.99,IMCD N.V.,current
Citadel Advisors LLC,2026-04-02,NL0000817179,0.5,Sligro Food Group N.V.,current
"D. E. Shaw & Co., L.P.",2026-04-02,NL0006237562,0.7,ARCADIS N.V.,current
