position_holder,isin,issuer_name,net_short_position,position_date,source
Balyasny Asset Management LP,NL0013267909,Akzo Nobel N.V.,0.6,2026-02-27,archive
"BlackRock Institutional Trust Company, National Association",NL0010801007,IMCD N.V.,0.54,2026-02-27,archive
Citadel Advisors LLC,NL00150003E1,Fugro N.V.,0.45,2026-02-27,archive
Citadel Advisors LLC,NL0015002K83,Havas N.V.,0.5,2026-02-27,archive
"D. E. Shaw & Co., L.P.",NL0010801007,IMCD N.V.,0.4,2026-02-27,archive
GSA Capital Partners LLP,NL0012817175,Alfen N.V.,0.69,2026-02-27,archive
Marshall Wace LLP,NL0000009082,Koninklijke KPN N.V.,0.51,2026-02-27,archive
Millennium International Management LP,NL0010801007,IMCD N.V.,0.13,2026-02-27,archive
Qube Research & Technologies Ltd.,NL0010801007,IMCD N.V.,0.0,2026-02-27,archive
Squarepoint Ops LLC,NL0010801007,IMCD N.V.,0.47,2026-02-27,archive
Voleon Capital Management LP,NL00150003E1,Fugro N.V.,0.7,2026-02-27,archive
"Arrowstreet Capital, Limited Partnership",BE0003818359,Galapagos NV,1.05,2026-02-26,archive
Citadel Advisors Europe Limited,NL0011821392,Signify N.V.,1.0,2026-02-26,archive
Citadel Advisors LLC,NL0000888691,AMG Critical Materials N.V.,0.55,2026-02-26,archive
Citadel Advisors LLC,NL00150003E1,Fugro N.V.,0.5,2026-02-26,archive
"D. E. Shaw & Co., L.P.",NL0012817175,Alfen N.V.,1.38,2026-02-26,archive
Marshall Wace LLP,NL0000379121,Randstad N.V.,0.48,2026-02-26,archive
Millennium International Management LP,NL00150003E1,Fugro N.V.,0.96,2026-02-26,archive
Millennium International Management LP,NL0010801007,IMCD N.V.,2.0,2026-02-26,archive
"PDT Partners, LLC",NL00150003E1,Fugro N.V.,0.66,2026-02-26,archive
"Point72 Asset Management, L.P.",NL0015002K83,Havas N.V.,0.4,2026-02-26,archive
Qube Research & Technologies Ltd.,NL0010391025,Pharming Group N.V.,0.51,2026-02-26,archive
Voleon Capital Management LP,NL0015002IE0,Avantium N.V.,1.78,2026-02-26,archive
AKO Capital LLP,NL0013267909,Akzo Nobel N.V.,1.14,2026-02-25,archive
Millennium International Management LP,NL0010801007,IMCD N.V.,1.96,2026-02-25,archive
Numeric Investors LLC,NL00150003E1,Fugro N.V.,0.47,2026-02-25,archive
Qube Research & Technologies Ltd.,NL0012817175,Alfen N.V.,0.55,2026-02-25,archive
Qube Research & Technologies Ltd.,NL0010801007,IMCD N.V.,0.58,2026-02-25,archive
Qube Research & Technologies Ltd.,NL0010391025,Pharming Group N.V.,0.49,2026-02-25,archive
Squarepoint Ops LLC,NL0010801007,IMCD N.V.,0.51,2026-02-25,archive
UBS Asset Management (Americas) LLC,NL0013267909,Akzo Nobel N.V.,1.24,2026-02-25,archive
Capital Fund Management S.A.,NL0010391025,Pharming Group N.V.,0.84,2026-02-24,archive
Citadel Securities (Europe) Limited,NL0011821392,Signify N.V.,0.47,2026-02-24,archive
"D. E. Shaw & Co., L.P.",NL0010801007,IMCD N.V.,0.7,2026-02-24,archive
GSA Capital Partners LLP,NL0012817175,Alfen N.V.,0.79,2026-02-24,archive
Marshall Wace LLP,NL0013267909,Akzo Nobel N.V.,0.61,2026-02-24,archive
Marshall Wace LLP,NL0000379121,Randstad N.V.,0.5,2026-02-24,archive
Marshall Wace LLP,NL0013332471,TomTom N.V.,0.7,2026-02-24,archive
Voleon Capital Management LP,NL0015002IE0,Avantium N.V.,1.85,2026-02-24,archive
Citadel Advisors LLC,NL0009739416,PostNL N.V.,0.61,2026-02-23,archive
Millennium International Management LP,NL0010801007,IMCD N.V.,1.82,2026-02-23,archive
Qube Research & Technologies Ltd.,NL0012817175,Alfen N.V.,0.61,2026-02-23,archive
Qube Research & Technologies Ltd.,NL0010801007,IMCD N.V.,0.61,2026-02-23,archive
"Two Sigma Investments, LP",LU1598757687,ArcelorMittal S.A.,0.5,2026-02-23,archive
Capital Fund Management S.A.,NL0010391025,Pharming Group N.V.,0.93,2026-02-20,archive
Citadel Securities (Europe) Limited,NL0015000GX8,Envipco Holding N.V.,0.49,2026-02-20,archive
Marshall Wace LLP,NL0010801007,IMCD N.V.,0.54,2026-02-20,archive
Millennium International Management LP,NL0012817175,Alfen N.V.,0.43,2026-02-20,archive
Millennium International Management LP,NL0010801007,IMCD N.V.,1.74,2026-02-20,archive
Squarepoint Ops LLC,NL0006237562,ARCADIS N.V.,1.17,2026-02-20,archive
White Creek Capital LLP,NL0006237562,ARCADIS N.V.,0.48,2026-02-20,archive
Balyasny Asset Management LP,NL0013267909,Akzo Nobel N.V.,0.58,2026-02-19,archive
Capital Fund Management S.A.,LU0569974404,Aperam S.A.,0.51,2026-02-19,archive
Citadel Securities (Europe) Limited,NL0012817175,Alfen N.V.,0.72,2026-02-19,archive
Citadel Securities (Europe) Limited,NL0015000GX8,Envipco Holding N.V.,0.5,2026-02-19,archive
"D. E. Shaw & Co., L.P.",NL0012969182,Adyen N.V.,0.6,2026-02-19,archive
"D. E. Shaw & Co., L.P.",NL0012817175,Alfen N.V.,1.48,2026-02-19,archive
"D. E. Shaw & Co., L.P.",NL0010801007,IMCD N.V.,0.63,2026-02-19,archive
"Empyrean Capital Overseas Master Fund, Ltd",NL0013267909,Akzo Nobel N.V.,0.49,2026-02-19,archive
GSA Capital Partners LLP,NL0012817175,Alfen N.V.,0.87,2026-02-19,archive
Marble Bar Asset Management LLP,NL0006237562,ARCADIS N.V.,0.32,2026-02-19,archive
Marshall Wace LLP,NL0012817175,Alfen N.V.,0.45,2026-02-19,archive
Millennium International Management LP,NL0010801007,IMCD N.V.,1.65,2026-02-19,archive
Numeric Investors LLC,NL0010801007,IMCD N.V.,0.49,2026-02-19,archive
Qube Research & Technologies Ltd.,NL0010801007,IMCD N.V.,0.54,2026-02-19,archive
Squarepoint Ops LLC,NL0010801007,IMCD N.V.,0.49,2026-02-19,archive
Voleon Capital Management LP,NL0012817175,Alfen N.V.,1.84,2026-02-19,archive
Voleon Capital Management LP,NL0015002IE0,Avantium N.V.,1.97,2026-02-19,archive
Citadel Advisors LLC,NL0010801007,IMCD N.V.,0.51,2026-02-18,archive
"D. E. Shaw & Co., L.P.",NL0010801007,IMCD N.V.,0.58,2026-02-18,archive
"D. E. Shaw & Co., L.P.",NL0011821392,Signify N.V.,0.49,2026-02-18,archive
Marble Bar Asset Management LLP,NL0006237562,ARCADIS N.V.,0.51,2026-02-18,archive
Numeric Investors LLC,NL0010801007,IMCD N.V.,0.5,2026-02-18,archive
"Point72 Asset Management, L.P.",NL0015002K83,Havas N.V.,0.54,2026-02-18,archive
Qube Research & Technologies Ltd.,NL0010391025,Pharming Group N.V.,0.56,2026-02-18,archive
Qube Research & Technologies Ltd.,NL0015002MS2,The Magnum Ice Cream Company N.V.,0.22,2026-02-18,archive
Squarepoint Ops LLC,NL0010801007,IMCD N.V.,0.53,2026-02-18,archive
Tudor Capital Europe LLP,NL0012817175,Alfen N.V.,0.5,2026-02-18,archive
UBS Asset Management (Americas) LLC,NL0013267909,Akzo Nobel N.V.,1.1,2026-02-18,archive
Voleon Capital Management LP,NL0012817175,Alfen N.V.,1.77,2026-02-18,archive
"WorldQuant, LLC",NL0012817175,Alfen N.V.,3.25,2026-02-18,archive
Citadel Securities (Europe) Limited,NL0012817175,Alfen N.V.,0.69,2026-02-17,archive
"D. E. Shaw & Co., L.P.",NL0012969182,Adyen N.V.,0.52,2026-02-17,archive
Marshall Wace LLP,NL0012817175,Alfen N.V.,0.5,2026-02-17,archive
Millennium Capital (DIFC) Limited,NL0010801007,IMCD N.V.,0.44,2026-02-17,archive
Millennium International Management LP,NL0012817175,Alfen N.V.,0.54,2026-02-17,archive
Qube Research & Technologies Ltd.,NL0012817175,Alfen N.V.,0.52,2026-02-17,archive
Squarepoint Ops LLC,NL0010801007,IMCD N.V.,0.63,2026-02-17,archive
UBS Asset Management (Americas) LLC,NL0013267909,Akzo Nobel N.V.,1.06,2026-02-17,archive
Voleon Capital Management LP,NL0012817175,Alfen N.V.,1.68,2026-02-17,archive
Voleon Capital Management LP,NL00150003E1,Fugro N.V.,0.6,2026-02-17,archive
"WorldQuant, LLC",NL0012817175,Alfen N.V.,3.11,2026-02-17,archive
Capital Fund Management S.A.,LU0569974404,Aperam S.A.,0.49,2026-02-16,archive
Millennium International Management LP,NL0010801007,IMCD N.V.,1.5,2026-02-16,archive
Qube Research & Technologies Ltd.,NL0015002MS2,The Magnum Ice Cream Company N.V.,1.11,2026-02-16,archive
Voleon Capital Management LP,NL0015002IE0,Avantium N.V.,2.09,2026-02-16,archive
White Creek Capital LLP,NL0006237562,ARCADIS N.V.,0.51,2026-02-16,archive
"AQR Capital Management, LLC",NL0013267909,Akzo Nobel N.V.,0.74,2026-02-13,archive
Balyasny Asset Management LP,NL0013267909,Akzo Nobel N.V.,0.61,2026-02-13,archive
"Connor, Clark & Lunn Investment Management Ltd.",LU2290522684,InPost S.A.,0.68,2026-02-13,archive
"D. E. Shaw & Co., L.P.",NL0010801007,IMCD N.V.,0.49,2026-02-13,archive
GSA Capital Partners LLP,NL0012817175,Alfen N.V.,0.96,2026-02-13,archive
Marshall Wace LLP,NL0010801007,IMCD N.V.,0.68,2026-02-13,archive
Millennium Capital (DIFC) Limited,NL0010801007,IMCD N.V.,0.5,2026-02-13,archive
Millennium International Management LP,NL0010801007,IMCD N.V.,1.42,2026-02-13,archive
Qube Research & Technologies Ltd.,NL0015002MS2,The Magnum Ice Cream Company N.V.,1.09,2026-02-13,archive
Voleon Capital Management LP,NL0012817175,Alfen N.V.,1.51,2026-02-13,archive
"WorldQuant, LLC",NL0012817175,Alfen N.V.,3.01,2026-02-13,archive
Balyasny Asset Management LP,NL0013267909,Akzo Nobel N.V.,0.59,2026-02-12,archive
Citadel Advisors LLC,NL00150003E1,Fugro N.V.,0.45,2026-02-12,archive
Citadel Securities (Europe) Limited,NL0012817175,Alfen N.V.,0.54,2026-02-12,archive
"D. E. Shaw & Co., L.P.",NL0010801007,IMCD N.V.,0.5,2026-02-12,archive
Marshall Wace LLP,NL0010801007,IMCD N.V.,0.74,2026-02-12,archive
Millennium International Management LP,NL0010801007,IMCD N.V.,1.3,2026-02-12,archive
Qube Research & Technologies Ltd.,NL0010391025,Pharming Group N.V.,0.69,2026-02-12,archive
UBS Asset Management (Americas) LLC,NL0013267909,Akzo Nobel N.V.,0.94,2026-02-12,archive
Voleon Capital Management LP,NL0012817175,Alfen N.V.,1.43,2026-02-12,archive
"WorldQuant, LLC",NL0012817175,Alfen N.V.,2.9,2026-02-12,archive
Acadian Asset Management LLC.,NL0010801007,IMCD N.V.,0.5,2026-02-11,archive
AKO Capital LLP,NL0013267909,Akzo Nobel N.V.,1.08,2026-02-11,archive
"Arrowstreet Capital, Limited Partnership",NL0013267909,Akzo Nobel N.V.,0.59,2026-02-11,archive
"BlackRock Advisors, LLC",NL0000379121,Randstad N.V.,0.45,2026-02-11,archive
Citadel Advisors LLC,NL0006237562,ARCADIS N.V.,0.47,2026-02-11,archive
Citadel Advisors LLC,NL00150003E1,Fugro N.V.,0.5,2026-02-11,archive
"D. E. Shaw & Co., L.P.",NL0012817175,Alfen N.V.,1.57,2026-02-11,archive
Millennium Capital (DIFC) Limited,NL0010801007,IMCD N.V.,0.43,2026-02-11,archive
Millennium International Management LP,NL00150003E1,Fugro N.V.,0.88,2026-02-11,archive
Millennium International Management LP,NL0010801007,IMCD N.V.,1.12,2026-02-11,archive
Qube Research & Technologies Ltd.,NL0010391025,Pharming Group N.V.,0.7,2026-02-11,archive
UBS Asset Management (Americas) LLC,NL0013267909,Akzo Nobel N.V.,0.86,2026-02-11,archive
Voleon Capital Management LP,NL0012817175,Alfen N.V.,1.39,2026-02-11,archive
"Arrowstreet Capital, Limited Partnership",LU2290522684,InPost S.A.,0.31,2026-02-10,archive
Capital Fund Management S.A.,LU2290522684,InPost S.A.,0.33,2026-02-10,archive
Citadel Securities (Europe) Limited,NL0011821392,Signify N.V.,0.56,2026-02-10,archive
Marshall Wace LLP,NL0013267909,Akzo Nobel N.V.,0.57,2026-02-10,archive
Millennium International Management LP,NL0010801007,IMCD N.V.,1.04,2026-02-10,archive
Qube Research & Technologies Ltd.,CY0200751713,Theon International Plc,0.5,2026-02-10,archive
Squarepoint Ops LLC,NL0006237562,ARCADIS N.V.,1.09,2026-02-10,archive
Squarepoint Ops LLC,NL0010801007,IMCD N.V.,0.51,2026-02-10,archive
Voleon Capital Management LP,NL0012817175,Alfen N.V.,1.41,2026-02-10,archive
Voleon Capital Management LP,NL0015002IE0,Avantium N.V.,2.16,2026-02-10,archive
"BlackRock Advisors, LLC",NL0000852564,Aalberts N.V.,0.48,2026-02-09,archive
"BlackRock Financial Management, Inc.",NL0011821392,Signify N.V.,0.7,2026-02-09,archive
Capital Fund Management S.A.,NL0010391025,Pharming Group N.V.,1.01,2026-02-09,archive
Citadel Advisors Europe Limited,NL0015002MS2,The Magnum Ice Cream Company N.V.,0.45,2026-02-09,archive
Marshall Wace LLP,NL0010801007,IMCD N.V.,0.69,2026-02-09,archive
Marshall Wace LLP,LU2290522684,InPost S.A.,0.05,2026-02-09,archive
Voleon Capital Management LP,NL0015002IE0,Avantium N.V.,2.26,2026-02-09,archive
"BlackRock Advisors, LLC",NL0013267909,Akzo Nobel N.V.,0.49,2026-02-06,archive
"BlackRock Advisors, LLC",NL0000379121,Randstad N.V.,0.58,2026-02-06,archive
Capital Fund Management S.A.,NL0010391025,Pharming Group N.V.,0.95,2026-02-06,archive
Citadel Advisors Europe Limited,NL0015002MS2,The Magnum Ice Cream Company N.V.,0.59,2026-02-06,archive
Citadel Advisors LLC,NL0009739416,PostNL N.V.,0.59,2026-02-06,archive
"D. E. Shaw & Co., L.P.",NL0010391025,Pharming Group N.V.,0.6,2026-02-06,archive
JPMorgan Asset Management (UK) Ltd.,NL0011872650,Basic-Fit N.V.,1.59,2026-02-06,archive
Millennium International Management LP,NL0010801007,IMCD N.V.,0.91,2026-02-06,archive
"Two Sigma Investments, LP",LU1598757687,ArcelorMittal S.A.,0.49,2026-02-06,archive
"BlackRock Advisors, LLC",NL0013267909,Akzo Nobel N.V.,0.5,2026-02-05,archive
Capital Fund Management S.A.,LU0569974404,Aperam S.A.,0.5,2026-02-05,archive
Capital Fund Management S.A.,NL0010391025,Pharming Group N.V.,0.84,2026-02-05,archive
Citadel Advisors Europe Limited,NL0011821392,Signify N.V.,0.93,2026-02-05,archive
Citadel Advisors Europe Limited,NL0015002MS2,The Magnum Ice Cream Company N.V.,0.65,2026-02-05,archive
Citadel Securities (Europe) Limited,NL0011821392,Signify N.V.,0.62,2026-02-05,archive
Qube Research & Technologies Ltd.,NL0010391025,Pharming Group N.V.,0.61,2026-02-05,archive
UBS Asset Management (Americas) LLC,NL0013267909,Akzo Nobel N.V.,0.7,2026-02-05,archive
"Arrowstreet Capital, Limited Partnership",BE0003818359,Galapagos NV,1.19,2026-02-04,archive
Canada Pension Plan Investment Board,NL0012866412,BE Semiconductor Industries N.V.,0.73,2026-02-04,archive
Capital Fund Management S.A.,LU0569974404,Aperam S.A.,0.48,2026-02-04,archive
Citadel Securities (Europe) Limited,NL0011821392,Signify N.V.,0.59,2026-02-04,archive
"D. E. Shaw & Co., L.P.",NL0010391025,Pharming Group N.V.,0.59,2026-02-04,archive
Marshall Wace LLP,NL0010801007,IMCD N.V.,0.76,2026-02-04,archive
Millennium International Management LP,NL0010801007,IMCD N.V.,0.83,2026-02-04,archive
Qube Research & Technologies Ltd.,NL0010391025,Pharming Group N.V.,0.56,2026-02-04,archive
Voleon Capital Management LP,NL0012817175,Alfen N.V.,1.38,2026-02-04,archive
Voleon Capital Management LP,NL0015002IE0,Avantium N.V.,2.38,2026-02-04,archive
AKO Capital LLP,NL0013267909,Akzo Nobel N.V.,1.12,2026-02-03,archive
"BlackRock Financial Management, Inc.",NL0011821392,Signify N.V.,0.61,2026-02-03,archive
Capital Fund Management S.A.,LU0569974404,Aperam S.A.,0.5,2026-02-03,archive
Capital Fund Management S.A.,NL0010391025,Pharming Group N.V.,0.79,2026-02-03,archive
Citadel Advisors Europe Limited,NL0011821392,Signify N.V.,0.8,2026-02-03,archive
Citadel Advisors Europe Limited,NL0015002MS2,The Magnum Ice Cream Company N.V.,0.78,2026-02-03,archive
"Empyrean Capital Overseas Master Fund, Ltd",NL0013267909,Akzo Nobel N.V.,0.68,2026-02-03,archive
Kintbury Capital LLP,NL0013267909,Akzo Nobel N.V.,0.7,2026-02-03,archive
Marshall Wace LLP,NL0013267909,Akzo Nobel N.V.,0.63,2026-02-03,archive
Millennium International Management LP,NL0010801007,IMCD N.V.,0.91,2026-02-03,archive
Millennium International Management LP,NL0010391025,Pharming Group N.V.,0.46,2026-02-03,archive
Qube Research & Technologies Ltd.,JE00BRX98089,CVC Capital Partners plc,0.5,2026-02-03,archive
Voleon Capital Management LP,NL0012817175,Alfen N.V.,1.46,2026-02-03,archive
Citadel Advisors Europe Limited,NL0011821392,Signify N.V.,0.74,2026-02-02,archive
Citadel Securities (Europe) Limited,NL0011821392,Signify N.V.,0.61,2026-02-02,archive
"D. E. Shaw & Co., L.P.",NL0011821392,Signify N.V.,0.53,2026-02-02,archive
Millennium International Management LP,GB00BNTJ3546,Allfunds Group plc,0.49,2026-02-02,archive
Millennium International Management LP,NL00150003E1,Fugro N.V.,0.9,2026-02-02,archive
Millennium International Management LP,NL0010391025,Pharming Group N.V.,0.68,2026-02-02,archive
"Point72 Asset Management, L.P.",NL0011821392,Signify N.V.,0.48,2026-02-02,archive
Voleon Capital Management LP,NL0015002IE0,Avantium N.V.,2.4,2026-02-02,archive
"AQR Capital Management, LLC",NL0015000IY2,Universal Music Group N.V.,0.5,2026-01-30,archive
Citadel Advisors Europe Limited,NL0011821392,Signify N.V.,0.63,2026-01-30,archive
Citadel Advisors Europe Limited,NL0015002MS2,The Magnum Ice Cream Company N.V.,0.8,2026-01-30,archive
Citadel Advisors LLC,NL00150003E1,Fugro N.V.,0.42,2026-01-30,archive
Citadel Securities (Europe) Limited,NL0011821392,Signify N.V.,0.58,2026-01-30,archive
Marshall Wace LLP,NL0013267909,Akzo Nobel N.V.,0.83,2026-01-30,archive
Marshall Wace LLP,NL0000379121,Randstad N.V.,0.49,2026-01-30,archive
Marshall Wace LLP,NL0013332471,TomTom N.V.,0.6,2026-01-30,archive
Millennium International Management LP,NL0010801007,IMCD N.V.,0.82,2026-01-30,archive
"Point72 Asset Management, L.P.",NL0011821392,Signify N.V.,0.52,2026-01-30,archive
Qube Research & Technologies Ltd.,NL0015002MS2,The Magnum Ice Cream Company N.V.,0.92,2026-01-30,archive
Squarepoint Ops LLC,NL0006237562,ARCADIS N.V.,1.19,2026-01-30,archive
UBS Asset Management (Americas) LLC,NL0013267909,Akzo Nobel N.V.,0.6,2026-01-30,archive
"AQR Capital Management, LLC",NL0013267909,Akzo Nobel N.V.,0.69,2026-01-29,archive
JPMorgan Asset Management (UK) Ltd.,NL0011872650,Basic-Fit N.V.,1.68,2026-01-29,archive
Marshall Wace LLP,NL0013267909,Akzo Nobel N.V.,0.79,2026-01-29,archive
Millennium International Management LP,GB00BNTJ3546,Allfunds Group plc,0.5,2026-01-29,archive
"AQR Capital Management, LLC",NL0000360618,SBM Offshore N.V.,0.49,2026-01-28,archive
Marchant MC Ltd.,NL0011872650,Basic-Fit N.V.,0.48,2026-01-28,archive
Marshall Wace LLP,NL0010801007,IMCD N.V.,0.68,2026-01-28,archive
Millennium International Management LP,NL00150003E1,Fugro N.V.,0.83,2026-01-28,archive
"PDT Partners, LLC",NL00150003E1,Fugro N.V.,0.78,2026-01-28,archive
Perbak Capital Partners LLP,NL0010801007,IMCD N.V.,0.49,2026-01-28,archive
"Point72 Asset Management, L.P.",NL0011821392,Signify N.V.,0.46,2026-01-28,archive
AKO Capital LLP,NL0013267909,Akzo Nobel N.V.,1.07,2026-01-27,archive
"BlackRock Advisors, LLC",NL0000852564,Aalberts N.V.,0.59,2026-01-27,archive
Capital Fund Management S.A.,NL0010391025,Pharming Group N.V.,0.81,2026-01-27,archive
Citadel Advisors LLC,NL00150003E1,Fugro N.V.,0.57,2026-01-27,archive
JPMorgan Asset Management (UK) Ltd.,NL0011872650,Basic-Fit N.V.,1.72,2026-01-27,archive
Marchant MC Ltd.,NL0011872650,Basic-Fit N.V.,0.52,2026-01-27,archive
Marshall Wace LLP,NL0013267909,Akzo Nobel N.V.,0.81,2026-01-27,archive
Marshall Wace LLP,NL0010801007,IMCD N.V.,0.7,2026-01-27,archive
UBS Asset Management (Americas) LLC,NL0013267909,Akzo Nobel N.V.,0.51,2026-01-27,archive
Voleon Capital Management LP,NL00150003E1,Fugro N.V.,0.5,2026-01-27,archive
Wellington Management International Ltd.,NL0011872650,Basic-Fit N.V.,0.43,2026-01-27,archive
"AQR Capital Management, LLC",NL0010801007,IMCD N.V.,0.49,2026-01-26,archive
"BlackRock Advisors, LLC",NL0000379121,Randstad N.V.,0.6,2026-01-26,archive
Capital Fund Management S.A.,LU0569974404,Aperam S.A.,0.48,2026-01-26,archive
Capital Fund Management S.A.,NL0010391025,Pharming Group N.V.,0.7,2026-01-26,archive
Citadel Advisors LLC,NL0006237562,ARCADIS N.V.,0.58,2026-01-26,archive
Citadel Advisors LLC,NL0009739416,PostNL N.V.,0.62,2026-01-26,archive
JPMorgan Asset Management (UK) Ltd.,NL0009739416,PostNL N.V.,0.37,2026-01-26,archive
Kintbury Capital LLP,NL0013267909,Akzo Nobel N.V.,0.5,2026-01-26,archive
Millennium International Management LP,NL0010391025,Pharming Group N.V.,0.81,2026-01-26,archive
Voleon Capital Management LP,NL0012817175,Alfen N.V.,1.5,2026-01-26,archive
Wellington Management International Ltd.,NL0011872650,Basic-Fit N.V.,0.58,2026-01-26,archive
"WorldQuant, LLC",NL0012817175,Alfen N.V.,2.72,2026-01-26,archive
Actus Ray Partners Limited,NL0000888691,AMG Critical Materials N.V.,0.49,2026-01-23,archive
Marshall Wace LLP,NL0010801007,IMCD N.V.,0.69,2026-01-23,archive
Marshall Wace LLP,NL0013332471,TomTom N.V.,0.5,2026-01-23,archive
Qube Research & Technologies Ltd.,NL0015002MS2,The Magnum Ice Cream Company N.V.,0.84,2026-01-23,archive
Voleon Capital Management LP,NL0015002IE0,Avantium N.V.,2.34,2026-01-23,archive
Canada Pension Plan Investment Board,NL0012866412,BE Semiconductor Industries N.V.,0.89,2026-01-22,archive
Capital Fund Management S.A.,LU0569974404,Aperam S.A.,0.5,2026-01-22,archive
Capital Fund Management S.A.,NL0010391025,Pharming Group N.V.,0.64,2026-01-22,archive
Citadel Advisors LLC,NL00150003E1,Fugro N.V.,0.79,2026-01-22,archive
"D. E. Shaw & Co., L.P.",NL0012817175,Alfen N.V.,1.69,2026-01-22,archive
JPMorgan Asset Management (UK) Ltd.,NL0009739416,PostNL N.V.,0.57,2026-01-22,archive
Millennium International Management LP,NL0010801007,IMCD N.V.,0.71,2026-01-22,archive
Qube Research & Technologies Ltd.,NL0015002MS2,The Magnum Ice Cream Company N.V.,0.65,2026-01-22,archive
Voleon Capital Management LP,NL0012817175,Alfen N.V.,1.49,2026-01-22,archive
Voleon Capital Management LP,NL0015002IE0,Avantium N.V.,2.09,2026-01-22,archive
"AQR Capital Management, LLC",NL0000009538,Koninklijke Philips N.V.,0.48,2026-01-21,archive
"Arrowstreet Capital, Limited Partnership",BE0003818359,Galapagos NV,1.29,2026-01-21,archive
Citadel Advisors Europe Limited,NL0015002MS2,The Magnum Ice Cream Company N.V.,0.72,2026-01-21,archive
Citadel Advisors LLC,NL0006237562,ARCADIS N.V.,0.6,2026-01-21,archive
Marshall Wace LLP,NL0000379121,Randstad N.V.,0.69,2026-01-21,archive
Voleon Capital Management LP,NL0015002IE0,Avantium N.V.,2.1,2026-01-21,archive
"WorldQuant, LLC",NL0012817175,Alfen N.V.,2.61,2026-01-21,archive
"BlackRock Advisors, LLC",NL0013267909,Akzo Nobel N.V.,0.61,2026-01-20,archive
Citadel Advisors LLC,NL0000379121,Randstad N.V.,0.48,2026-01-20,archive
"Connor, Clark & Lunn Investment Management Ltd.",LU2290522684,InPost S.A.,0.71,2026-01-20,archive
Marshall Wace LLP,NL0013267909,Akzo Nobel N.V.,0.7,2026-01-20,archive
Millennium Capital (DIFC) Limited,NL0010801007,IMCD N.V.,0.59,2026-01-20,archive
Millennium International Management LP,NL0010391025,Pharming Group N.V.,0.78,2026-01-20,archive
Qube Research & Technologies Ltd.,NL0015002MS2,The Magnum Ice Cream Company N.V.,0.81,2026-01-20,archive
"D. E. Shaw & Co., L.P.",NL0012866412,BE Semiconductor Industries N.V.,0.78,2026-01-19,archive
Millennium Capital (DIFC) Limited,NL0010801007,IMCD N.V.,0.61,2026-01-19,archive
Millennium International Management LP,NL0010801007,IMCD N.V.,0.6,2026-01-19,archive
Millennium International Management LP,NL0010391025,Pharming Group N.V.,0.82,2026-01-19,archive
Voleon Capital Management LP,NL0012817175,Alfen N.V.,1.55,2026-01-19,archive
Voleon Capital Management LP,NL0015002IE0,Avantium N.V.,2.01,2026-01-19,archive
Winton Capital Management Limited,NL0009739416,PostNL N.V.,0.48,2026-01-19,archive
"WorldQuant, LLC",NL0012817175,Alfen N.V.,2.53,2026-01-19,archive
Capital Fund Management S.A.,NL0010391025,Pharming Group N.V.,0.55,2026-01-16,archive
Citadel Advisors Europe Limited,NL0015002MS2,The Magnum Ice Cream Company N.V.,0.61,2026-01-16,archive
Citadel Advisors LLC,NL0006237562,ARCADIS N.V.,0.58,2026-01-16,archive
GSA Capital Partners LLP,NL0012817175,Alfen N.V.,1.09,2026-01-16,archive
Marshall Wace LLP,NL0000379121,Randstad N.V.,0.7,2026-01-16,archive
Millennium International Management LP,NL0010391025,Pharming Group N.V.,0.79,2026-01-16,archive
Wellington Management International Ltd.,NL0011872650,Basic-Fit N.V.,0.78,2026-01-16,archive
"Arrowstreet Capital, Limited Partnership",BE0003818359,Galapagos NV,1.38,2026-01-15,archive
Citadel Advisors LLC,NL0009739416,PostNL N.V.,0.59,2026-01-15,archive
"D. E. Shaw & Co., L.P.",NL0012866412,BE Semiconductor Industries N.V.,0.81,2026-01-15,archive
Marshall Wace LLP,NL0013267909,Akzo Nobel N.V.,0.62,2026-01-15,archive
Millennium International Management LP,NL0010801007,IMCD N.V.,0.5,2026-01-15,archive
Millennium International Management LP,NL0010391025,Pharming Group N.V.,0.88,2026-01-15,archive
Capital Fund Management S.A.,LU2290522684,InPost S.A.,0.5,2026-01-14,archive
Citadel Advisors LLC,NL00150003E1,Fugro N.V.,0.82,2026-01-14,archive
"D. E. Shaw & Co., L.P.",NL0012866412,BE Semiconductor Industries N.V.,0.78,2026-01-14,archive
Marshall Wace LLP,NL0010801007,IMCD N.V.,0.7,2026-01-14,archive
Marshall Wace LLP,LU2290522684,InPost S.A.,0.87,2026-01-14,archive
Millennium International Management LP,NL0010801007,IMCD N.V.,0.46,2026-01-14,archive
Millennium International Management LP,NL0010391025,Pharming Group N.V.,0.99,2026-01-14,archive
Numeric Investors LLC,NL0000352565,Fugro N.V.,0.59,2026-01-14,archive
"PDT Partners, LLC",NL00150003E1,Fugro N.V.,0.8,2026-01-14,archive
Squarepoint Ops LLC,NL0006237562,ARCADIS N.V.,1.28,2026-01-14,archive
"AQR Capital Management, LLC",NL0013267909,Akzo Nobel N.V.,0.79,2026-01-13,archive
Citadel Advisors LLC,NL00150003E1,Fugro N.V.,0.79,2026-01-13,archive
Citadel Advisors LLC,NL0000379121,Randstad N.V.,0.58,2026-01-13,archive
Marshall Wace LLP,NL0013267909,Akzo Nobel N.V.,0.57,2026-01-13,archive
Marshall Wace LLP,LU2290522684,InPost S.A.,0.9,2026-01-13,archive
