position_holder,isin,issuer_name,net_short_position,position_date,source
"D. E. Shaw & Co., L.P.",NL0010391025,Pharming Group N.V.,0.6,2026-05-19,current
Linden Advisors LP,NL0011872650,Basic-Fit N.V.,0.9,2026-05-19,current
"PDT Partners, LLC",NL0011821392,Signify N.V.,1.0,2026-05-19,current
"Two Sigma Investments, LP",NL0010801007,IMCD N.V.,0.68,2026-05-19,current
"AQR Capital Management, LLC",NL0006237562,ARCADIS N.V.,0.99,2026-05-18,current
Citadel Advisors LLC,CH1216478797,DSM-Firmenich AG,0.62,2026-05-18,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,1.59,2026-05-18,current
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,0.73,2026-05-18,current
"BlackRock Financial Management, Inc.",NL0010801007,IMCD N.V.,0.79,2026-05-15,current
Citadel Advisors LLC,NL0000289213,Wereldhave N.V.,0.82,2026-05-15,current
"D. E. Shaw & Co., L.P.",NL0000395903,Wolters Kluwer N.V.,0.68,2026-05-15,current
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,0.68,2026-05-15,current
"Point72 Europe (London), LLP",NL0000379121,Randstad N.V.,0.51,2026-05-15,current
Qube Research & Technologies Ltd.,NL0015002MS2,The Magnum Ice Cream Company N.V.,0.71,2026-05-15,current
Squarepoint Ops LLC,NL0012817175,Alfen N.V.,0.55,2026-05-15,current
Capital Fund Management S.A.,BMG3602E1084,Flow Traders Ltd.,0.51,2026-05-14,current
Capital Fund Management S.A.,NL0010801007,IMCD N.V.,0.78,2026-05-14,current
"D. E. Shaw & Co., L.P.",NL0011872650,Basic-Fit N.V.,0.89,2026-05-14,current
"PDT Partners, LLC",NL0010801007,IMCD N.V.,0.8,2026-05-14,current
Sculptor Capital Management Europe Limited,NL0011872650,Basic-Fit N.V.,0.77,2026-05-14,current
Capital Fund Management S.A.,NL0010801007,IMCD N.V.,0.8,2026-05-13,current
Citadel Advisors Europe Limited,NL0000379121,Randstad N.V.,0.6,2026-05-13,current
Citadel Advisors LLC,NL0010801007,IMCD N.V.,0.7,2026-05-13,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,1.61,2026-05-13,current
"D. E. Shaw & Co., L.P.",NL0010391025,Pharming Group N.V.,0.53,2026-05-13,current
"Two Sigma Investments, LP",NL0010391025,Pharming Group N.V.,0.91,2026-05-13,current
Walleye Capital LLC,NL0010391025,Pharming Group N.V.,0.74,2026-05-13,current
"BlackRock Advisors, LLC",NL0010801007,IMCD N.V.,0.59,2026-05-12,current
"BlackRock Financial Management, Inc.",NL0011821392,Signify N.V.,0.71,2026-05-12,current
Capital Fund Management S.A.,NL0010801007,IMCD N.V.,0.79,2026-05-12,current
Citadel Advisors LLC,NL0010801007,IMCD N.V.,0.69,2026-05-12,current
Lazard Asset Management LLC,NL0010391025,Pharming Group N.V.,0.82,2026-05-12,current
Numeric Investors LLC,NL0012365084,NSI N.V.,0.8,2026-05-12,current
"Two Sigma Investments, LP",LU2290522684,InPost S.A.,1.36,2026-05-12,current
Capital Fund Management S.A.,NL0010801007,IMCD N.V.,0.8,2026-05-11,current
Capital Fund Management S.A.,NL0000852523,TKH Group N.V.,0.52,2026-05-11,current
Citadel Advisors Europe Limited,NL0011821392,Signify N.V.,1.02,2026-05-11,current
Citadel Advisors LLC,CH1216478797,DSM-Firmenich AG,0.5,2026-05-11,current
Citadel Advisors LLC,NL0010801007,IMCD N.V.,0.79,2026-05-11,current
Citadel Advisors LLC,NL0000289213,Wereldhave N.V.,0.7,2026-05-11,current
"Two Sigma Investments, LP",NL0010391025,Pharming Group N.V.,0.86,2026-05-11,current
"Two Sigma Investments, LP",CY0200751713,Theon International Plc,0.8,2026-05-11,current
Walleye Capital LLC,NL0010391025,Pharming Group N.V.,0.63,2026-05-11,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,1.5,2026-05-08,current
Davidson Kempner Capital Management LP,NL0013267909,Akzo Nobel N.V.,1.72,2026-05-08,current
"Two Sigma Investments, LP",NL0010391025,Pharming Group N.V.,0.75,2026-05-08,current
Walleye Capital LLC,NL0010391025,Pharming Group N.V.,0.53,2026-05-08,current
Citadel Advisors Europe Limited,NL0000379121,Randstad N.V.,0.5,2026-05-07,current
Citadel Advisors Europe Limited,NL0011821392,Signify N.V.,0.97,2026-05-07,current
"D. E. Shaw & Co., L.P.",NL0009739416,PostNL N.V.,0.69,2026-05-07,current
Lazard Asset Management LLC,NL0010391025,Pharming Group N.V.,0.76,2026-05-07,current
Marshall Wace LLP,NL0010801007,IMCD N.V.,0.79,2026-05-07,current
Marshall Wace LLP,NL0011821392,Signify N.V.,1.69,2026-05-07,current
Capital Fund Management S.A.,NL0010801007,IMCD N.V.,0.79,2026-05-06,current
Citadel Advisors LLC,NL0010801007,IMCD N.V.,0.82,2026-05-06,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,1.41,2026-05-06,current
Ilex Capital Partners (UK) LLP,CH1216478797,DSM-Firmenich AG,1.4,2026-05-06,current
Marshall Wace LLP,JE00BRX98089,CVC Capital Partners plc,0.69,2026-05-06,current
Marshall Wace LLP,NL0010801007,IMCD N.V.,0.83,2026-05-06,current
"PDT Partners, LLC",NL0010801007,IMCD N.V.,0.77,2026-05-06,current
"PDT Partners, LLC",NL0011821392,Signify N.V.,0.9,2026-05-06,current
Citadel Advisors Europe Limited,NL0011821392,Signify N.V.,0.8,2026-05-05,current
Citadel Advisors LLC,NL0010801007,IMCD N.V.,0.9,2026-05-05,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,1.36,2026-05-05,current
"D. E. Shaw & Co., L.P.",NL0011872650,Basic-Fit N.V.,0.98,2026-05-05,current
