position_holder,issuer_name,net_short_position,isin,position_date,source
JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,1.03,NL00150003E1,2025-04-09,current
Lazard Asset Management LLC,Pharming Group N.V.,0.61,NL0010391025,2025-04-09,current
JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,0.93,NL00150003E1,2025-04-08,current
AKO Capital LLP,Akzo Nobel N.V.,1.08,NL0013267909,2025-04-07,current
JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,0.85,NL00150003E1,2025-04-07,current
AKO Capital LLP,Akzo Nobel N.V.,1.2,NL0013267909,2025-04-04,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,0.9,BE0003818359,2025-04-04,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,1.5,NL0012817175,2025-04-04,current
"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,0.91,NL0011872650,2025-04-04,current
"Elliott Investment Management, L.P",Shell plc,0.63,GB00BP6MXD84,2025-04-04,current
JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,0.7,NL00150003E1,2025-04-04,current
AKO Capital LLP,Akzo Nobel N.V.,1.31,NL0013267909,2025-04-03,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,1.39,NL0012817175,2025-04-03,current
JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,0.61,NL00150003E1,2025-04-03,current
JPMorgan Asset Management (UK) Ltd.,Basic-Fit N.V.,1.44,NL0011872650,2025-04-02,current
Lazard Asset Management LLC,Pharming Group N.V.,0.58,NL0010391025,2025-04-02,current
"Arrowstreet Capital, Limited Partnership",IMCD N.V.,0.7,NL0010801007,2025-04-01,current
JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,0.52,NL00150003E1,2025-04-01,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,1.21,NL0012817175,2025-03-31,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,1.11,NL0012817175,2025-03-27,current
AKO Capital LLP,Akzo Nobel N.V.,1.41,NL0013267909,2025-03-26,current
"Elliott Investment Management, L.P",Shell plc,0.5,GB00BP6MXD84,2025-03-25,current
Lazard Asset Management LLC,Pharming Group N.V.,0.61,NL0010391025,2025-03-25,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,1.07,NL0012817175,2025-03-19,current
"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,0.5,NL0012866412,2025-03-18,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,1.19,NL0012817175,2025-03-17,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,1.28,NL0012817175,2025-03-14,current
"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,0.85,NL0011872650,2025-03-13,current
Lazard Asset Management LLC,Pharming Group N.V.,0.58,NL0010391025,2025-03-13,current
"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,0.72,NL0011872650,2025-03-12,current
JPMorgan Asset Management (UK) Ltd.,Basic-Fit N.V.,1.39,NL0011872650,2025-03-12,current
AKO Capital LLP,Akzo Nobel N.V.,1.37,NL0013267909,2025-03-11,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,1.38,NL0012817175,2025-03-06,current
Lazard Asset Management LLC,Pharming Group N.V.,0.65,NL0010391025,2025-03-06,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,0.88,BE0003818359,2025-03-03,current
JPMorgan Asset Management (UK) Ltd.,Basic-Fit N.V.,1.22,NL0011872650,2025-03-03,current
JPMorgan Asset Management (UK) Ltd.,Basic-Fit N.V.,1.14,NL0011872650,2025-02-28,current
JPMorgan Asset Management (UK) Ltd.,Basic-Fit N.V.,1.04,NL0011872650,2025-02-26,current
AKO Capital LLP,Akzo Nobel N.V.,1.43,NL0013267909,2025-02-25,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,0.98,BE0003818359,2025-02-24,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,1.06,BE0003818359,2025-02-20,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,1.59,NL0012817175,2025-02-19,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,2.62,NL0013332471,2025-02-19,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,2.52,NL0013332471,2025-02-18,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,1.69,NL0012817175,2025-02-17,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,1.71,NL0012817175,2025-02-13,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,1.21,NL0012817175,2025-02-12,current
AKO Capital LLP,Akzo Nobel N.V.,1.34,NL0013267909,2025-02-10,current
"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,0.55,NL0011872650,2025-02-07,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,2.1,NL0013332471,2025-02-06,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.91,NL0013332471,2025-02-04,current
AKO Capital LLP,Akzo Nobel N.V.,1.22,NL0013267909,2025-01-31,current
JPMorgan Asset Management (UK) Ltd.,Basic-Fit N.V.,0.9,NL0011872650,2025-01-28,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,0.9,NL0012817175,2025-01-17,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.62,NL0013332471,2025-01-16,current
AKO Capital LLP,Akzo Nobel N.V.,1.11,NL0013267909,2025-01-14,current
Lazard Asset Management LLC,Pharming Group N.V.,0.79,NL0010391025,2025-01-13,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,0.8,NL0012817175,2025-01-08,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.53,NL0013332471,2025-01-08,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,1.19,BE0003818359,2025-01-07,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,0.77,NL0012817175,2024-12-27,current
Lazard Asset Management LLC,Pharming Group N.V.,0.82,NL0010391025,2024-12-27,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,0.83,NL0012817175,2024-12-20,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,1.2,BE0003818359,2024-12-19,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,0.6,NL0012817175,2024-12-18,current
"Arrowstreet Capital, Limited Partnership",IMCD N.V.,0.6,NL0010801007,2024-12-16,current
Lazard Asset Management LLC,Pharming Group N.V.,0.71,NL0010391025,2024-12-11,current
AKO Capital LLP,Akzo Nobel N.V.,1.07,NL0013267909,2024-12-10,current
AKO Capital LLP,Akzo Nobel N.V.,1.18,NL0013267909,2024-12-06,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,0.51,NL0012817175,2024-12-06,current
Lazard Asset Management LLC,Pharming Group N.V.,0.6,NL0010391025,2024-12-05,current
AKO Capital LLP,Akzo Nobel N.V.,1.25,NL0013267909,2024-11-19,current
JPMorgan Asset Management (UK) Ltd.,Basic-Fit N.V.,0.81,NL0011872650,2024-11-08,current
Lazard Asset Management LLC,Pharming Group N.V.,0.59,NL0010391025,2024-10-31,current
AKO Capital LLP,Akzo Nobel N.V.,1.31,NL0013267909,2024-10-30,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,1.19,BE0003818359,2024-10-29,current
Lazard Asset Management LLC,Pharming Group N.V.,0.62,NL0010391025,2024-10-25,current
Lazard Asset Management LLC,Pharming Group N.V.,0.58,NL0010391025,2024-10-24,current
AKO Capital LLP,Akzo Nobel N.V.,1.22,NL0013267909,2024-10-23,current
Lazard Asset Management LLC,Pharming Group N.V.,0.62,NL0010391025,2024-10-18,current
Lazard Asset Management LLC,Pharming Group N.V.,0.59,NL0010391025,2024-10-11,current
Lazard Asset Management LLC,Pharming Group N.V.,0.63,NL0010391025,2024-10-10,current
AKO Capital LLP,Akzo Nobel N.V.,1.12,NL0013267909,2024-10-08,current
AKO Capital LLP,Akzo Nobel N.V.,1.22,NL0013267909,2024-10-04,current
AKO Capital LLP,Akzo Nobel N.V.,1.38,NL0013267909,2024-09-27,current
AKO Capital LLP,Akzo Nobel N.V.,1.48,NL0013267909,2024-09-26,current
"Arrowstreet Capital, Limited Partnership",IMCD N.V.,0.5,NL0010801007,2024-09-24,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.49,NL0013332471,2024-09-20,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.54,NL0013332471,2024-09-19,current
JPMorgan Asset Management (UK) Ltd.,Basic-Fit N.V.,0.7,NL0011872650,2024-09-18,current
Lazard Asset Management LLC,Pharming Group N.V.,0.51,NL0010391025,2024-09-17,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,1.27,BE0003818359,2024-09-12,current
AKO Capital LLP,Akzo Nobel N.V.,1.51,NL0013267909,2024-08-30,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,1.39,BE0003818359,2024-08-13,current
JPMorgan Asset Management (UK) Ltd.,Basic-Fit N.V.,0.6,NL0011872650,2024-08-09,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.67,NL0013332471,2024-08-08,current
AKO Capital LLP,Akzo Nobel N.V.,1.48,NL0013267909,2024-08-05,current
AKO Capital LLP,Akzo Nobel N.V.,1.53,NL0013267909,2024-07-24,current
AKO Capital LLP,Akzo Nobel N.V.,1.45,NL0013267909,2024-07-23,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,1.49,BE0003818359,2024-06-25,current
AKO Capital LLP,Akzo Nobel N.V.,1.31,NL0013267909,2024-06-24,current
AKO Capital LLP,Akzo Nobel N.V.,1.27,NL0013267909,2024-06-12,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.58,NL0013332471,2024-06-12,current
AKO Capital LLP,Akzo Nobel N.V.,1.1,NL0013267909,2024-06-06,current
AKO Capital LLP,Akzo Nobel N.V.,1.0,NL0013267909,2024-06-05,current
AKO Capital LLP,Akzo Nobel N.V.,0.92,NL0013267909,2024-04-24,current
AKO Capital LLP,Akzo Nobel N.V.,0.8,NL0013267909,2024-04-15,current
AKO Capital LLP,Akzo Nobel N.V.,0.72,NL0013267909,2024-04-10,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.48,NL0013332471,2024-03-26,current
AKO Capital LLP,Akzo Nobel N.V.,0.64,NL0013267909,2024-03-25,current
JPMorgan Asset Management (UK) Ltd.,Basic-Fit N.V.,0.55,NL0011872650,2024-03-22,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.58,NL0013332471,2024-03-21,current
AKO Capital LLP,Akzo Nobel N.V.,0.51,NL0013267909,2024-03-19,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.69,NL0013332471,2024-03-04,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.79,NL0013332471,2024-02-23,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.89,NL0013332471,2024-02-19,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.96,NL0013332471,2024-02-15,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,2.08,NL0013332471,2024-02-13,current
Jefferies Financial Group Inc.,argenx SE,0.66,NL0010832176,2024-01-30,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,2.18,NL0013332471,2024-01-29,current
Jefferies Financial Group Inc.,argenx SE,0.55,NL0010832176,2024-01-24,current
