issuer_name,isin,position_date,position_holder,net_short_position,source
Aperam S.A.,LU0569974404,2013-10-21,Adage Capital Management L.P.,2.56,archive
TomTom N.V.,NL0000387058,2013-10-21,AKO Capital LLP,2.88,archive
TomTom N.V.,NL0000387058,2013-10-18,AKO Capital LLP,2.94,archive
TomTom N.V.,NL0000387058,2013-10-18,"Marble Arch Investments, LP",1.35,archive
Koninklijke BAM Groep N.V.,NL0000337319,2013-10-18,Marshall Wace LLP,0.59,archive
Fugro N.V.,NL0000352565,2013-10-17,"AQR Capital Management, LLC",1.31,archive
PostNL N.V.,NL0009739416,2013-10-17,"AQR Capital Management, LLC",0.59,archive
Fugro N.V.,NL0000352565,2013-10-17,"Arrowstreet Capital, Limited Partnership",0.49,archive
Koninklijke BAM Groep N.V.,NL0000337319,2013-10-17,Marshall Wace LLP,0.6,archive
Aperam S.A.,LU0569974404,2013-10-16,Adage Capital Management L.P.,2.36,archive
Koninklijke Heijmans N.V.,NL0009269109,2013-10-16,BlackRock Advisors (UK) Limited,0.61,archive
Fugro N.V.,NL0000352565,2013-10-16,Marshall Wace LLP,0.83,archive
Aperam S.A.,LU0569974404,2013-10-15,Adage Capital Management L.P.,2.23,archive
NSI N.V.,NL0000292324,2013-10-15,Thames River Capital LLP,0.49,archive
Fugro N.V.,NL0000352565,2013-10-14,AKO Capital LLP,2.2,archive
TomTom N.V.,NL0000387058,2013-10-14,AKO Capital LLP,3.06,archive
Koninklijke BAM Groep N.V.,NL0000337319,2013-10-14,Marshall Wace LLP,0.56,archive
Koninklijke BAM Groep N.V.,NL0000337319,2013-10-11,Marshall Wace LLP,0.6,archive
NSI N.V.,NL0000292324,2013-10-11,Thames River Capital LLP,0.5,archive
Aperam S.A.,LU0569974404,2013-10-10,Adage Capital Management L.P.,1.98,archive
TomTom N.V.,NL0000387058,2013-10-10,AKO Capital LLP,3.11,archive
TomTom N.V.,NL0000387058,2013-10-09,AKO Capital LLP,3.25,archive
Aperam S.A.,LU0569974404,2013-10-07,Adage Capital Management L.P.,1.81,archive
TomTom N.V.,NL0000387058,2013-10-07,AKO Capital LLP,3.39,archive
Fugro N.V.,NL0000352565,2013-10-07,"Arrowstreet Capital, Limited Partnership",0.59,archive
TomTom N.V.,NL0000387058,2013-10-03,AKO Capital LLP,3.49,archive
Koninklijke BAM Groep N.V.,NL0000337319,2013-10-03,Marshall Wace LLP,0.57,archive
Fugro N.V.,NL0000352565,2013-10-02,"AQR Capital Management, LLC",1.23,archive
PostNL N.V.,NL0009739416,2013-10-02,"AQR Capital Management, LLC",0.66,archive
Koninklijke BAM Groep N.V.,NL0000337319,2013-10-02,"WorldQuant, LLC",0.37,archive
