issuer_name,net_short_position,isin,position_date,position_holder,source
DSM-Firmenich AG,1.4,CH1216478797,2026-05-06,Ilex Capital Partners (UK) LLP,current
Basic-Fit N.V.,0.91,NL0011872650,2026-05-06,JPMorgan Asset Management (UK) Ltd.,current
CVC Capital Partners plc,0.69,JE00BRX98089,2026-05-06,Marshall Wace LLP,current
IMCD N.V.,0.83,NL0010801007,2026-05-06,Marshall Wace LLP,current
IMCD N.V.,0.77,NL0010801007,2026-05-06,"PDT Partners, LLC",current
Signify N.V.,0.9,NL0011821392,2026-05-06,"PDT Partners, LLC",current
Signify N.V.,0.8,NL0011821392,2026-05-05,Citadel Advisors Europe Limited,current
IMCD N.V.,0.9,NL0010801007,2026-05-05,Citadel Advisors LLC,current
Signify N.V.,1.36,NL0011821392,2026-05-05,Citadel Advisors LLC,current
Basic-Fit N.V.,0.98,NL0011872650,2026-05-05,"D. E. Shaw & Co., L.P.",current
PostNL N.V.,0.7,NL0009739416,2026-05-05,"D. E. Shaw & Co., L.P.",current
TomTom N.V.,1.09,NL0013332471,2026-05-05,JPMorgan Asset Management (UK) Ltd.,current
Signify N.V.,1.76,NL0011821392,2026-05-05,Marshall Wace LLP,current
Basic-Fit N.V.,0.65,NL0011872650,2026-05-05,Sculptor Capital Management Europe Limited,current
Alfen N.V.,1.65,NL0012817175,2026-05-05,"WorldQuant, LLC",current
IMCD N.V.,0.81,NL0010801007,2026-05-04,Capital Fund Management S.A.,current
Signify N.V.,0.7,NL0011821392,2026-05-04,Citadel Advisors Europe Limited,current
PostNL N.V.,0.69,NL0009739416,2026-05-04,"D. E. Shaw & Co., L.P.",current
Akzo Nobel N.V.,1.61,NL0013267909,2026-05-04,Davidson Kempner Capital Management LP,current
The Magnum Ice Cream Company N.V.,0.67,NL0015002MS2,2026-05-04,Walleye Capital LLC,current
Signify N.V.,0.55,NL0011821392,2026-04-30,Citadel Advisors Europe Limited,current
ARCADIS N.V.,0.57,NL0006237562,2026-04-30,"D. E. Shaw & Co., L.P.",current
PostNL N.V.,0.7,NL0009739416,2026-04-30,"D. E. Shaw & Co., L.P.",current
Pharming Group N.V.,0.5,NL0010391025,2026-04-30,Jupiter Asset Management Ltd.,current
PostNL N.V.,0.89,NL0009739416,2026-04-30,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,0.86,NL0015002MS2,2026-04-30,Marshall Wace LLP,current
Signify N.V.,0.89,NL0011821392,2026-04-30,"PDT Partners, LLC",current
The Magnum Ice Cream Company N.V.,0.6,NL0015002MS2,2026-04-30,Qube Research & Technologies Ltd.,current
Basic-Fit N.V.,0.59,NL0011872650,2026-04-30,Sculptor Capital Management Europe Limited,current
Alfen N.V.,0.73,NL0012817175,2026-04-30,Squarepoint Ops LLC,current
ARCADIS N.V.,0.56,NL0006237562,2026-04-30,White Creek Capital LLP,current
Alfen N.V.,1.71,NL0012817175,2026-04-30,"WorldQuant, LLC",current
IMCD N.V.,0.83,NL0010801007,2026-04-29,Citadel Advisors LLC,current
Signify N.V.,1.29,NL0011821392,2026-04-29,Citadel Advisors LLC,current
Sligro Food Group N.V.,0.9,NL0000817179,2026-04-29,Citadel Advisors LLC,current
Wolters Kluwer N.V.,0.79,NL0000395903,2026-04-29,"D. E. Shaw & Co., L.P.",current
CVC Capital Partners plc,0.71,JE00BRX98089,2026-04-29,Marshall Wace LLP,current
IMCD N.V.,0.74,NL0010801007,2026-04-29,Marshall Wace LLP,current
Koninklijke Ahold Delhaize N.V.,0.51,NL0011794037,2026-04-29,Marshall Wace LLP,current
PostNL N.V.,0.9,NL0009739416,2026-04-29,Marshall Wace LLP,current
Signify N.V.,0.9,NL0011821392,2026-04-29,"PDT Partners, LLC",current
The Magnum Ice Cream Company N.V.,0.7,NL0015002MS2,2026-04-29,Walleye Capital LLC,current
The Magnum Ice Cream Company N.V.,0.51,NL0015002MS2,2026-04-28,"AQR Capital Management, LLC",current
IMCD N.V.,0.75,NL0010801007,2026-04-28,Citadel Advisors LLC,current
Signify N.V.,1.32,NL0011821392,2026-04-28,Citadel Advisors LLC,current
TomTom N.V.,1.17,NL0013332471,2026-04-28,JPMorgan Asset Management (UK) Ltd.,current
Randstad N.V.,0.6,NL0000379121,2026-04-28,Marshall Wace LLP,current
Signify N.V.,1.8,NL0011821392,2026-04-28,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,0.98,NL0015002MS2,2026-04-28,Marshall Wace LLP,current
Alfen N.V.,0.62,NL0012817175,2026-04-28,Squarepoint Ops LLC,current
Alfen N.V.,1.87,NL0012817175,2026-04-28,"WorldQuant, LLC",current
Adyen N.V.,1.27,NL0012969182,2026-04-27,"AQR Capital Management, LLC",current
Randstad N.V.,0.69,NL0000379121,2026-04-27,Citadel Advisors LLC,current
Signify N.V.,1.43,NL0011821392,2026-04-27,Citadel Advisors LLC,current
DSM-Firmenich AG,1.3,CH1216478797,2026-04-27,Ilex Capital Partners (UK) LLP,current
Fugro N.V.,2.15,NL00150003E1,2026-04-27,JPMorgan Asset Management (UK) Ltd.,current
Alfen N.V.,1.96,NL0012817175,2026-04-27,"WorldQuant, LLC",current
Randstad N.V.,0.7,NL0000379121,2026-04-24,Citadel Advisors LLC,current
Fugro N.V.,2.06,NL00150003E1,2026-04-24,JPMorgan Asset Management (UK) Ltd.,current
Basic-Fit N.V.,0.82,NL0011872650,2026-04-24,Linden Advisors LP,current
IMCD N.V.,0.61,NL0010801007,2026-04-24,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,1.04,NL0015002MS2,2026-04-24,Marshall Wace LLP,current
Alfen N.V.,2.08,NL0012817175,2026-04-24,"WorldQuant, LLC",current
Signify N.V.,1.68,NL0011821392,2026-04-23,Citadel Advisors LLC,current
Sligro Food Group N.V.,0.8,NL0000817179,2026-04-23,Citadel Advisors LLC,current
Basic-Fit N.V.,0.84,NL0011872650,2026-04-23,Eleva Capital SAS,current
Randstad N.V.,0.58,NL0000379121,2026-04-23,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,1.11,NL0015002MS2,2026-04-23,Marshall Wace LLP,current
Alfen N.V.,0.5,NL0012817175,2026-04-23,Squarepoint Ops LLC,current
Alfen N.V.,2.21,NL0012817175,2026-04-23,"WorldQuant, LLC",current
Pharming Group N.V.,0.77,NL0010391025,2026-04-22,Capstone Volatility Master (Cayman) Limited,current
IMCD N.V.,0.62,NL0010801007,2026-04-22,Citadel Advisors LLC,current
Randstad N.V.,0.66,NL0000379121,2026-04-22,Citadel Advisors LLC,current
Signify N.V.,1.71,NL0011821392,2026-04-22,Citadel Advisors LLC,current
Wereldhave N.V.,0.68,NL0000289213,2026-04-22,Citadel Advisors LLC,current
Akzo Nobel N.V.,1.55,NL0013267909,2026-04-22,Davidson Kempner Capital Management LP,current
Fugro N.V.,1.73,NL00150003E1,2026-04-22,JPMorgan Asset Management (UK) Ltd.,current
IMCD N.V.,0.56,NL0010801007,2026-04-22,Marshall Wace LLP,current
Signify N.V.,1.76,NL0011821392,2026-04-22,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,1.09,NL0015002MS2,2026-04-22,Marshall Wace LLP,current
Alfen N.V.,2.37,NL0012817175,2026-04-22,"WorldQuant, LLC",current
Adyen N.V.,1.3,NL0012969182,2026-04-21,"AQR Capital Management, LLC",current
Signify N.V.,0.5,NL0011821392,2026-04-21,"BlackRock Advisors, LLC",current
Signify N.V.,0.91,NL0011821392,2026-04-21,Canada Pension Plan Investment Board,current
Signify N.V.,1.82,NL0011821392,2026-04-21,Citadel Advisors LLC,current
Wereldhave N.V.,0.7,NL0000289213,2026-04-21,Citadel Advisors LLC,current
Akzo Nobel N.V.,0.65,NL0013267909,2026-04-21,"Empyrean Capital Overseas Master Fund, Ltd",current
Fugro N.V.,1.56,NL00150003E1,2026-04-21,JPMorgan Asset Management (UK) Ltd.,current
Randstad N.V.,0.67,NL0000379121,2026-04-21,Marshall Wace LLP,current
Signify N.V.,0.88,NL0011821392,2026-04-21,"PDT Partners, LLC",current
ARCADIS N.V.,0.61,NL0006237562,2026-04-21,White Creek Capital LLP,current
Alfen N.V.,2.54,NL0012817175,2026-04-21,"WorldQuant, LLC",current
Adyen N.V.,1.29,NL0012969182,2026-04-20,"AQR Capital Management, LLC",current
Signify N.V.,0.87,NL0011821392,2026-04-20,Canada Pension Plan Investment Board,current
Signify N.V.,2.0,NL0011821392,2026-04-20,Citadel Advisors LLC,current
Basic-Fit N.V.,1.06,NL0011872650,2026-04-20,"D. E. Shaw & Co., L.P.",current
Fugro N.V.,1.45,NL00150003E1,2026-04-20,JPMorgan Asset Management (UK) Ltd.,current
Basic-Fit N.V.,0.7,NL0011872650,2026-04-20,Linden Advisors LP,current
Akzo Nobel N.V.,1.16,NL0013267909,2026-04-20,"O'Connor Alternative Investments, LLC",current
ARCADIS N.V.,0.57,NL0006237562,2026-04-20,White Creek Capital LLP,current
Alfen N.V.,2.67,NL0012817175,2026-04-20,"WorldQuant, LLC",current
IMCD N.V.,0.89,NL0010801007,2026-04-17,"BlackRock Financial Management, Inc.",current
IMCD N.V.,0.53,NL0010801007,2026-04-17,Citadel Advisors LLC,current
Randstad N.V.,0.5,NL0000379121,2026-04-17,Citadel Advisors LLC,current
Signify N.V.,2.22,NL0011821392,2026-04-17,Citadel Advisors LLC,current
Sligro Food Group N.V.,0.71,NL0000817179,2026-04-17,Citadel Advisors LLC,current
Basic-Fit N.V.,1.12,NL0011872650,2026-04-17,"D. E. Shaw & Co., L.P.",current
Akzo Nobel N.V.,1.41,NL0013267909,2026-04-17,Davidson Kempner Capital Management LP,current
Basic-Fit N.V.,1.02,NL0011872650,2026-04-17,Fosse Capital Partners LLP,current
Fugro N.V.,1.06,NL00150003E1,2026-04-17,JPMorgan Asset Management (UK) Ltd.,current
IMCD N.V.,0.91,NL0010801007,2026-04-17,JPMorgan Asset Management (UK) Ltd.,current
TomTom N.V.,1.22,NL0013332471,2026-04-17,JPMorgan Asset Management (UK) Ltd.,current
Basic-Fit N.V.,0.59,NL0011872650,2026-04-17,Linden Advisors LP,current
IMCD N.V.,0.65,NL0010801007,2026-04-17,Marshall Wace LLP,current
PostNL N.V.,0.81,NL0009739416,2026-04-17,Marshall Wace LLP,current
Signify N.V.,0.9,NL0011821392,2026-04-17,"PDT Partners, LLC",current
Basic-Fit N.V.,0.6,NL0011872650,2026-04-17,Sculptor Capital Management Europe Limited,current
InPost S.A.,1.47,LU2290522684,2026-04-17,"Two Sigma Investments, LP",current
The Magnum Ice Cream Company N.V.,0.62,NL0015002MS2,2026-04-17,Walleye Capital LLC,current
IMCD N.V.,0.69,NL0010801007,2026-04-16,Acadian Asset Management LLC.,current
Akzo Nobel N.V.,1.07,NL0013267909,2026-04-16,AKO Capital LLP,current
Adyen N.V.,1.3,NL0012969182,2026-04-16,"AQR Capital Management, LLC",current
Signify N.V.,2.32,NL0011821392,2026-04-16,Citadel Advisors LLC,current
IMCD N.V.,0.85,NL0010801007,2026-04-16,JPMorgan Asset Management (UK) Ltd.,current
Pharming Group N.V.,1.18,NL0010391025,2026-04-16,Lazard Asset Management LLC,current
IMCD N.V.,0.52,NL0010801007,2026-04-16,Marshall Wace LLP,current
Alfen N.V.,2.75,NL0012817175,2026-04-16,"WorldQuant, LLC",current
Akzo Nobel N.V.,1.41,NL0013267909,2026-04-15,AKO Capital LLP,current
DSM-Firmenich AG,1.23,CH1216478797,2026-04-15,Ilex Capital Partners (UK) LLP,current
IMCD N.V.,0.76,NL0010801007,2026-04-15,JPMorgan Asset Management (UK) Ltd.,current
Pharming Group N.V.,1.2,NL0010391025,2026-04-15,Lazard Asset Management LLC,current
Signify N.V.,1.82,NL0011821392,2026-04-15,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,1.15,NL0015002MS2,2026-04-15,Marshall Wace LLP,current
IMCD N.V.,0.97,NL0010801007,2026-04-14,"BlackRock Financial Management, Inc.",current
Basic-Fit N.V.,1.23,NL0011872650,2026-04-14,Fosse Capital Partners LLP,current
IMCD N.V.,0.66,NL0010801007,2026-04-14,JPMorgan Asset Management (UK) Ltd.,current
The Magnum Ice Cream Company N.V.,1.22,NL0015002MS2,2026-04-14,Marshall Wace LLP,current
PostNL N.V.,0.5,NL0009739416,2026-04-14,"PDT Partners, LLC",current
Alfen N.V.,2.84,NL0012817175,2026-04-14,"WorldQuant, LLC",current
Adyen N.V.,1.21,NL0012969182,2026-04-13,"AQR Capital Management, LLC",current
ARCADIS N.V.,1.01,NL0006237562,2026-04-13,"AQR Capital Management, LLC",current
CVC Capital Partners plc,0.71,JE00BRX98089,2026-04-13,"AQR Capital Management, LLC",current
Sligro Food Group N.V.,0.61,NL0000817179,2026-04-13,Citadel Advisors LLC,current
IMCD N.V.,0.89,NL0010801007,2026-04-13,"PDT Partners, LLC",current
The Magnum Ice Cream Company N.V.,0.5,NL0015002MS2,2026-04-13,Walleye Capital LLC,current
Wolters Kluwer N.V.,0.8,NL0000395903,2026-04-10,"D. E. Shaw & Co., L.P.",current
The Magnum Ice Cream Company N.V.,1.38,NL0015002MS2,2026-04-10,Marshall Wace LLP,current
IMCD N.V.,0.9,NL0010801007,2026-04-10,"PDT Partners, LLC",current
Adyen N.V.,1.13,NL0012969182,2026-04-09,"AQR Capital Management, LLC",current
Signify N.V.,2.42,NL0011821392,2026-04-09,Citadel Advisors LLC,current
DSM-Firmenich AG,1.0,CH1216478797,2026-04-09,Ilex Capital Partners (UK) LLP,current
NSI N.V.,0.71,NL0012365084,2026-04-09,Numeric Investors LLC,current
IMCD N.V.,0.89,NL0010801007,2026-04-09,"PDT Partners, LLC",current
Aalberts N.V.,0.61,NL0000852564,2026-04-08,"AQR Capital Management, LLC",current
Signify N.V.,1.22,NL0011821392,2026-04-08,"AQR Capital Management, LLC",current
Signify N.V.,2.39,NL0011821392,2026-04-08,Citadel Advisors LLC,current
The Magnum Ice Cream Company N.V.,0.5,NL0015002MS2,2026-04-08,Qube Research & Technologies Ltd.,current
IMCD N.V.,0.79,NL0010801007,2026-04-08,"Two Sigma Investments, LP",current
IMCD N.V.,0.66,NL0010801007,2026-04-07,"BlackRock Advisors, LLC",current
IMCD N.V.,1.0,NL0010801007,2026-04-07,"BlackRock Financial Management, Inc.",current
IMCD N.V.,0.76,NL0010801007,2026-04-07,Capital Fund Management S.A.,current
Signify N.V.,2.41,NL0011821392,2026-04-07,Citadel Advisors LLC,current
ARCADIS N.V.,0.69,NL0006237562,2026-04-07,"D. E. Shaw & Co., L.P.",current
The Magnum Ice Cream Company N.V.,1.46,NL0015002MS2,2026-04-07,Marshall Wace LLP,current
Alfen N.V.,2.77,NL0012817175,2026-04-07,"WorldQuant, LLC",current
Adyen N.V.,1.0,NL0012969182,2026-04-02,"AQR Capital Management, LLC",current
CVC Capital Partners plc,0.61,JE00BRX98089,2026-04-02,"AQR Capital Management, LLC",current
IMCD N.V.,0.99,NL0010801007,2026-04-02,"BlackRock Financial Management, Inc.",current
Sligro Food Group N.V.,0.5,NL0000817179,2026-04-02,Citadel Advisors LLC,current
ARCADIS N.V.,0.7,NL0006237562,2026-04-02,"D. E. Shaw & Co., L.P.",current
Basic-Fit N.V.,0.62,NL0011872650,2026-04-02,Eleva Capital SAS,current
Randstad N.V.,0.78,NL0000379121,2026-04-02,Marshall Wace LLP,current
