issuer_name,net_short_position,isin,position_date,position_holder,source
TomTom N.V.,0.71,NL0013332471,2023-03-29,Citadel Advisors LLC,archive
Alfen N.V.,0.8,NL0012817175,2023-03-29,JPMorgan Asset Management (UK) Ltd.,archive
Unibail-Rodamco-Westfield SE,0.83,FR0013326246,2023-03-29,Kintbury Capital LLP,archive
Akzo Nobel N.V.,0.64,NL0013267909,2023-03-29,Marshall Wace LLP,archive
Koninklijke BAM Groep N.V.,0.59,NL0000337319,2023-03-29,Marshall Wace LLP,archive
Koninklijke Philips N.V.,0.49,NL0000009538,2023-03-29,Marshall Wace LLP,archive
Pharming Group N.V.,0.79,NL0010391025,2023-03-28,Citadel Advisors LLC,archive
Alfen N.V.,1.0,NL0012817175,2023-03-28,Marble Bar Asset Management LLP,archive
Aperam S.A.,0.58,LU0569974404,2023-03-28,Pantechnicon Advisors LLP,archive
Koninklijke Philips N.V.,1.4,NL0000009538,2023-03-28,Viking Global Investors LP,archive
Pharming Group N.V.,0.37,NL0010391025,2023-03-28,"WorldQuant, LLC",archive
Alfen N.V.,1.11,NL0012817175,2023-03-27,"Arrowstreet Capital, Limited Partnership",archive
Basic-Fit N.V.,0.56,NL0011872650,2023-03-27,JPMorgan Asset Management (UK) Ltd.,archive
Koninklijke Philips N.V.,0.5,NL0000009538,2023-03-27,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,3.61,NL0012866412,2023-03-27,"Point72 Asset Management, L.P.",archive
Pharming Group N.V.,0.63,NL0010391025,2023-03-27,"WorldQuant, LLC",archive
Galapagos NV,0.52,BE0003818359,2023-03-24,"Arrowstreet Capital, Limited Partnership",archive
OCI N.V.,0.48,NL0010558797,2023-03-24,Citadel Advisors LLC,archive
Alfen N.V.,0.91,NL0012817175,2023-03-24,Marble Bar Asset Management LLP,archive
Alfen N.V.,1.29,NL0012817175,2023-03-24,Marshall Wace LLP,archive
Aperam S.A.,0.6,LU0569974404,2023-03-24,Pantechnicon Advisors LLP,archive
PostNL N.V.,0.6,NL0009739416,2023-03-24,Qube Research & Technologies Ltd.,archive
Wereldhave N.V.,1.33,NL0000289213,2023-03-24,Toscafund Asset Management LLP,archive
Alfen N.V.,0.53,NL0012817175,2023-03-24,"WorldQuant, LLC",archive
BE Semiconductor Industries N.V.,3.54,NL0012866412,2023-03-23,"Point72 Asset Management, L.P.",archive
Pharming Group N.V.,0.75,NL0010391025,2023-03-23,"WorldQuant, LLC",archive
Alfen N.V.,0.55,NL0012817175,2023-03-22,AllianceBernstein L.P.,archive
Alfen N.V.,1.01,NL0012817175,2023-03-22,"Arrowstreet Capital, Limited Partnership",archive
Koninklijke Philips N.V.,0.6,NL0000009538,2023-03-22,Citadel Advisors LLC,archive
Pharming Group N.V.,0.85,NL0010391025,2023-03-22,Citadel Advisors LLC,archive
Unibail-Rodamco-Westfield SE,0.71,FR0013326246,2023-03-22,Kintbury Capital LLP,archive
BE Semiconductor Industries N.V.,3.42,NL0012866412,2023-03-22,"Point72 Asset Management, L.P.",archive
Koninklijke Philips N.V.,1.39,NL0000009538,2023-03-22,Viking Global Investors LP,archive
Pharming Group N.V.,0.84,NL0010391025,2023-03-22,"WorldQuant, LLC",archive
Alfen N.V.,0.8,NL0012817175,2023-03-21,Marble Bar Asset Management LLP,archive
BE Semiconductor Industries N.V.,3.36,NL0012866412,2023-03-21,"Point72 Asset Management, L.P.",archive
PostNL N.V.,0.58,NL0009739416,2023-03-21,Qube Research & Technologies Ltd.,archive
Pharming Group N.V.,0.69,NL0010391025,2023-03-21,"WorldQuant, LLC",archive
OCI N.V.,0.51,NL0010558797,2023-03-20,Citadel Advisors LLC,archive
Alfen N.V.,1.39,NL0012817175,2023-03-20,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,3.26,NL0012866412,2023-03-20,"Point72 Asset Management, L.P.",archive
Pharming Group N.V.,0.54,NL0010391025,2023-03-20,"WorldQuant, LLC",archive
PostNL N.V.,0.54,NL0009739416,2023-03-20,"WorldQuant, LLC",archive
Alfen N.V.,0.91,NL0012817175,2023-03-17,"Arrowstreet Capital, Limited Partnership",archive
Pharming Group N.V.,0.98,NL0010391025,2023-03-17,Citadel Advisors LLC,archive
TomTom N.V.,0.61,NL0013332471,2023-03-17,Citadel Advisors LLC,archive
Alfen N.V.,0.46,NL0012817175,2023-03-17,"Clear Sky Advisers, LLC",archive
Koninklijke Philips N.V.,0.49,NL0000009538,2023-03-17,Marshall Wace LLP,archive
Alfen N.V.,0.59,NL0012817175,2023-03-17,Pictet Asset Management S.A.,archive
BE Semiconductor Industries N.V.,3.17,NL0012866412,2023-03-17,"Point72 Asset Management, L.P.",archive
PostNL N.V.,0.61,NL0009739416,2023-03-17,Qube Research & Technologies Ltd.,archive
Fugro N.V.,0.61,NL00150003E1,2023-03-17,Voleon Capital Management LP,archive
Signify N.V.,1.22,NL0011821392,2023-03-16,AKO Capital LLP,archive
IMCD N.V.,0.45,NL0010801007,2023-03-16,"AQR Capital Management, LLC",archive
Unibail-Rodamco-Westfield SE,0.63,FR0013326246,2023-03-16,Kintbury Capital LLP,archive
Alfen N.V.,1.49,NL0012817175,2023-03-16,Marshall Wace LLP,archive
Pharming Group N.V.,0.44,NL0010391025,2023-03-16,Millennium International Management LP,archive
Galapagos NV,0.5,BE0003818359,2023-03-16,Qube Research & Technologies Ltd.,archive
Basic-Fit N.V.,0.49,NL0011872650,2023-03-15,CapeView Capital LLP,archive
Alfen N.V.,0.51,NL0012817175,2023-03-15,"Clear Sky Advisers, LLC",archive
Unibail-Rodamco-Westfield SE,0.57,FR0013326246,2023-03-15,Kintbury Capital LLP,archive
Alfen N.V.,1.5,NL0012817175,2023-03-15,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,0.49,NL0012866412,2023-03-15,"WorldQuant, LLC",archive
Alfen N.V.,0.81,NL0012817175,2023-03-14,"Arrowstreet Capital, Limited Partnership",archive
Koninklijke Philips N.V.,0.5,NL0000009538,2023-03-14,Citadel Advisors LLC,archive
TomTom N.V.,0.57,NL0013332471,2023-03-14,Citadel Advisors LLC,archive
SBM Offshore N.V.,0.69,NL0000360618,2023-03-14,JPMorgan Asset Management (UK) Ltd.,archive
Akzo Nobel N.V.,0.7,NL0013267909,2023-03-14,Marshall Wace LLP,archive
Koninklijke Philips N.V.,0.56,NL0000009538,2023-03-14,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,3.0,NL0012866412,2023-03-14,"Point72 Asset Management, L.P.",archive
PostNL N.V.,0.49,NL0009739416,2023-03-14,"WorldQuant, LLC",archive
Signify N.V.,1.17,NL0011821392,2023-03-13,AKO Capital LLP,archive
Basic-Fit N.V.,0.53,NL0011872650,2023-03-13,CapeView Capital LLP,archive
Unibail-Rodamco-Westfield SE,0.5,FR0013326246,2023-03-13,CapeView Capital LLP,archive
TomTom N.V.,0.6,NL0013332471,2023-03-13,Citadel Advisors LLC,archive
Koninklijke Philips N.V.,0.62,NL0000009538,2023-03-13,Marshall Wace LLP,archive
Pharming Group N.V.,0.58,NL0010391025,2023-03-13,Millennium International Management LP,archive
BE Semiconductor Industries N.V.,2.8,NL0012866412,2023-03-13,"Point72 Asset Management, L.P.",archive
Basic-Fit N.V.,0.49,NL0011872650,2023-03-10,CapeView Capital LLP,archive
Unibail-Rodamco-Westfield SE,0.49,FR0013326246,2023-03-10,Kintbury Capital LLP,archive
Alfen N.V.,0.77,NL0012817175,2023-03-10,Marble Bar Asset Management LLP,archive
Akzo Nobel N.V.,0.62,NL0013267909,2023-03-10,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,2.76,NL0012866412,2023-03-10,"Point72 Asset Management, L.P.",archive
Fugro N.V.,0.54,NL00150003E1,2023-03-10,Voleon Capital Management LP,archive
Pharming Group N.V.,0.61,NL0010391025,2023-03-09,Millennium International Management LP,archive
BE Semiconductor Industries N.V.,2.66,NL0012866412,2023-03-09,"Point72 Asset Management, L.P.",archive
Wereldhave N.V.,1.87,NL0000289213,2023-03-09,"Woodson Capital Master Fund, LP",archive
Koninklijke BAM Groep N.V.,0.48,NL0000337319,2023-03-08,Citadel Advisors LLC,archive
Alfen N.V.,0.6,NL0012817175,2023-03-08,Pictet Asset Management S.A.,archive
Wereldhave N.V.,1.28,NL0000289213,2023-03-08,Toscafund Asset Management LLP,archive
Wereldhave N.V.,1.98,NL0000289213,2023-03-08,"Woodson Capital Master Fund, LP",archive
BE Semiconductor Industries N.V.,0.51,NL0012866412,2023-03-08,"WorldQuant, LLC",archive
Alfen N.V.,0.6,NL0012817175,2023-03-07,AllianceBernstein L.P.,archive
Koninklijke Philips N.V.,0.7,NL0000009538,2023-03-07,Marshall Wace LLP,archive
Fugro N.V.,0.6,NL00150003E1,2023-03-07,Voleon Capital Management LP,archive
Alfen N.V.,0.59,NL0012817175,2023-03-06,AllianceBernstein L.P.,archive
TomTom N.V.,0.59,NL0013332471,2023-03-06,Citadel Advisors LLC,archive
Alfen N.V.,1.42,NL0012817175,2023-03-06,Marshall Wace LLP,archive
Koninklijke Philips N.V.,0.69,NL0000009538,2023-03-06,Marshall Wace LLP,archive
Wereldhave N.V.,2.04,NL0000289213,2023-03-06,"Woodson Capital Master Fund, LP",archive
PostNL N.V.,0.5,NL0009739416,2023-03-03,"WorldQuant, LLC",archive
Basic-Fit N.V.,0.51,NL0011872650,2023-03-02,"D. E. Shaw & Co., L.P.",archive
PostNL N.V.,0.49,NL0009739416,2023-03-02,Marshall Wace LLP,archive
Alfen N.V.,0.7,NL0012817175,2023-03-01,"Arrowstreet Capital, Limited Partnership",archive
TomTom N.V.,0.68,NL0013332471,2023-03-01,Citadel Advisors LLC,archive
Unibail-Rodamco-Westfield SE,0.51,FR0013326246,2023-03-01,Kintbury Capital LLP,archive
Alfen N.V.,0.81,NL0012817175,2023-03-01,Marble Bar Asset Management LLP,archive
PostNL N.V.,0.54,NL0009739416,2023-03-01,Marshall Wace LLP,archive
Alfen N.V.,0.55,NL0012817175,2023-03-01,Pictet Asset Management S.A.,archive
BE Semiconductor Industries N.V.,2.51,NL0012866412,2023-03-01,"Point72 Asset Management, L.P.",archive
PostNL N.V.,0.45,NL0009739416,2023-03-01,Qube Research & Technologies Ltd.,archive
Wereldhave N.V.,2.16,NL0000289213,2023-03-01,"Woodson Capital Master Fund, LP",archive
PostNL N.V.,0.74,NL0009739416,2023-02-28,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,2.38,NL0012866412,2023-02-28,"Point72 Asset Management, L.P.",archive
PostNL N.V.,0.58,NL0009739416,2023-02-28,Qube Research & Technologies Ltd.,archive
Akzo Nobel N.V.,0.51,NL0013267909,2023-02-27,Marshall Wace LLP,archive
PostNL N.V.,0.91,NL0009739416,2023-02-27,Marshall Wace LLP,archive
PostNL N.V.,0.41,NL0009739416,2023-02-27,Millennium Capital Partners LLP,archive
Signify N.V.,0.49,NL0011821392,2023-02-27,Millennium International Management LP,archive
BE Semiconductor Industries N.V.,2.26,NL0012866412,2023-02-27,"Point72 Asset Management, L.P.",archive
Wereldhave N.V.,2.27,NL0000289213,2023-02-27,"Woodson Capital Master Fund, LP",archive
Koninklijke BAM Groep N.V.,0.55,NL0000337319,2023-02-24,Citadel Advisors LLC,archive
Koninklijke BAM Groep N.V.,0.61,NL0000337319,2023-02-24,Marshall Wace LLP,archive
Pharming Group N.V.,0.5,NL0010391025,2023-02-24,Millennium International Management LP,archive
BE Semiconductor Industries N.V.,2.17,NL0012866412,2023-02-24,"Point72 Asset Management, L.P.",archive
Fugro N.V.,0.5,NL00150003E1,2023-02-24,Voleon Capital Management LP,archive
BE Semiconductor Industries N.V.,2.08,NL0012866412,2023-02-23,"Point72 Asset Management, L.P.",archive
TomTom N.V.,0.77,NL0013332471,2023-02-22,Citadel Advisors LLC,archive
BE Semiconductor Industries N.V.,0.7,NL0012866412,2023-02-22,"Davidson Kempner European Partners, LLP",archive
BE Semiconductor Industries N.V.,0.48,NL0012866412,2023-02-22,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,1.89,NL0012866412,2023-02-22,"Point72 Asset Management, L.P.",archive
Koninklijke Philips N.V.,1.45,NL0000009538,2023-02-22,Viking Global Investors LP,archive
Alfen N.V.,0.61,NL0012817175,2023-02-21,"Arrowstreet Capital, Limited Partnership",archive
Koninklijke BAM Groep N.V.,0.6,NL0000337319,2023-02-21,Citadel Advisors LLC,archive
Alfen N.V.,0.73,NL0012817175,2023-02-21,JPMorgan Asset Management (UK) Ltd.,archive
Unibail-Rodamco-Westfield SE,0.49,FR0013326246,2023-02-21,Kintbury Capital LLP,archive
BE Semiconductor Industries N.V.,1.63,NL0012866412,2023-02-21,"Point72 Asset Management, L.P.",archive
Koninklijke Philips N.V.,1.5,NL0000009538,2023-02-21,Viking Global Investors LP,archive
Koninklijke BAM Groep N.V.,0.58,NL0000337319,2023-02-20,Citadel Advisors LLC,archive
Pharming Group N.V.,0.47,NL0010391025,2023-02-20,Millennium International Management LP,archive
BE Semiconductor Industries N.V.,1.56,NL0012866412,2023-02-17,"Point72 Asset Management, L.P.",archive
Koninklijke Philips N.V.,1.49,NL0000009538,2023-02-17,Viking Global Investors LP,archive
TomTom N.V.,0.88,NL0013332471,2023-02-16,Citadel Advisors LLC,archive
Unibail-Rodamco-Westfield SE,0.53,FR0013326246,2023-02-16,Kintbury Capital LLP,archive
BE Semiconductor Industries N.V.,0.45,NL0012866412,2023-02-16,Millennium International Management LP,archive
Signify N.V.,0.59,NL0011821392,2023-02-16,Millennium International Management LP,archive
BE Semiconductor Industries N.V.,1.61,NL0012866412,2023-02-16,"Point72 Asset Management, L.P.",archive
Pharming Group N.V.,0.49,NL0010391025,2023-02-15,Lazard Asset Management LLC,archive
Alfen N.V.,0.77,NL0012817175,2023-02-15,Marble Bar Asset Management LLP,archive
Alfen N.V.,1.3,NL0012817175,2023-02-15,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,0.54,NL0012866412,2023-02-15,Millennium International Management LP,archive
IMCD N.V.,0.59,NL0010801007,2023-02-14,"AQR Capital Management, LLC",archive
Alfen N.V.,0.67,NL0012817175,2023-02-14,Marble Bar Asset Management LLP,archive
Akzo Nobel N.V.,0.49,NL0013267909,2023-02-14,Marshall Wace LLP,archive
Alfen N.V.,1.29,NL0012817175,2023-02-13,Marshall Wace LLP,archive
Koninklijke Philips N.V.,0.78,NL0000009538,2023-02-13,Marshall Wace LLP,archive
Signify N.V.,0.69,NL0011821392,2023-02-13,Millennium International Management LP,archive
Koninklijke Heijmans N.V.,0.44,NL0009269109,2023-02-13,SIH Partners LLLP,archive
Alfen N.V.,1.33,NL0012817175,2023-02-10,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,0.53,NL0012866412,2023-02-10,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,0.63,NL0012866412,2023-02-10,Millennium International Management LP,archive
Koninklijke Philips N.V.,1.54,NL0000009538,2023-02-10,Viking Global Investors LP,archive
Akzo Nobel N.V.,0.58,NL0013267909,2023-02-08,Marshall Wace LLP,archive
Koninklijke BAM Groep N.V.,0.58,NL0000337319,2023-02-08,Marshall Wace LLP,archive
PostNL N.V.,1.27,NL0009739416,2023-02-08,Marshall Wace LLP,archive
Signify N.V.,0.7,NL0011821392,2023-02-08,Millennium International Management LP,archive
Koninklijke Heijmans N.V.,0.51,NL0009269109,2023-02-08,SIH Partners LLLP,archive
TomTom N.V.,0.9,NL0013332471,2023-02-07,Citadel Advisors LLC,archive
BE Semiconductor Industries N.V.,0.7,NL0012866412,2023-02-07,Millennium International Management LP,archive
BE Semiconductor Industries N.V.,1.54,NL0012866412,2023-02-07,"Point72 Asset Management, L.P.",archive
BE Semiconductor Industries N.V.,0.69,NL0012866412,2023-02-06,Millennium International Management LP,archive
BE Semiconductor Industries N.V.,1.44,NL0012866412,2023-02-06,"Point72 Asset Management, L.P.",archive
Basic-Fit N.V.,0.49,NL0011872650,2023-02-06,SIH Partners LLLP,archive
Koninklijke Philips N.V.,1.79,NL0000009538,2023-02-06,Viking Global Investors LP,archive
Unibail-Rodamco-Westfield SE,0.49,FR0013326246,2023-02-03,Kintbury Capital LLP,archive
Akzo Nobel N.V.,0.6,NL0013267909,2023-02-03,Marshall Wace LLP,archive
Signify N.V.,0.48,NL0011821392,2023-02-03,Millennium Capital Partners LLP,archive
Signify N.V.,0.66,NL0011821392,2023-02-03,Millennium International Management LP,archive
Aperam S.A.,0.54,LU0569974404,2023-02-03,Pantechnicon Advisors LLP,archive
BE Semiconductor Industries N.V.,1.38,NL0012866412,2023-02-03,"Point72 Asset Management, L.P.",archive
Basic-Fit N.V.,0.5,NL0011872650,2023-02-03,SIH Partners LLLP,archive
Koninklijke Heijmans N.V.,0.49,NL0009269109,2023-02-03,SIH Partners LLLP,archive
Koninklijke Philips N.V.,1.81,NL0000009538,2023-02-03,Viking Global Investors LP,archive
BE Semiconductor Industries N.V.,0.46,NL0012866412,2023-02-03,"WorldQuant, LLC",archive
Koninklijke Philips N.V.,0.44,NL0000009538,2023-02-02,Citadel Advisors Europe Limited,archive
Alfen N.V.,0.76,NL0012817175,2023-02-02,Marble Bar Asset Management LLP,archive
Signify N.V.,0.54,NL0011821392,2023-02-02,Millennium Capital Partners LLP,archive
Basic-Fit N.V.,0.49,NL0011872650,2023-02-02,SIH Partners LLLP,archive
Koninklijke Philips N.V.,1.94,NL0000009538,2023-02-02,Viking Global Investors LP,archive
Koninklijke Philips N.V.,0.65,NL0000009538,2023-02-01,Greenvale Capital LLP,archive
SBM Offshore N.V.,0.7,NL0000360618,2023-02-01,JPMorgan Asset Management (UK) Ltd.,archive
Alfen N.V.,1.29,NL0012817175,2023-02-01,Marshall Wace LLP,archive
Signify N.V.,0.61,NL0011821392,2023-02-01,Millennium Capital Partners LLP,archive
OCI N.V.,0.48,NL0010558797,2023-02-01,Millennium International Management LP,archive
Ebusco Holding N.V.,0.83,NL0015000CZ2,2023-02-01,Otus Capital Management Ltd.,archive
BE Semiconductor Industries N.V.,1.27,NL0012866412,2023-02-01,"Point72 Asset Management, L.P.",archive
Koninklijke Philips N.V.,0.83,NL0000009538,2023-01-31,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,0.87,NL0012866412,2023-01-31,Millennium International Management LP,archive
BE Semiconductor Industries N.V.,1.5,NL0012866412,2023-01-31,"Point72 Asset Management, L.P.",archive
Wereldhave N.V.,1.3,NL0000289213,2023-01-31,Toscafund Asset Management LLP,archive
Koninklijke Philips N.V.,0.56,NL0000009538,2023-01-30,Citadel Advisors Europe Limited,archive
TomTom N.V.,0.82,NL0013332471,2023-01-30,Citadel Advisors LLC,archive
BE Semiconductor Industries N.V.,1.42,NL0012866412,2023-01-30,"Point72 Asset Management, L.P.",archive
Basic-Fit N.V.,0.49,NL0011872650,2023-01-30,Praxis Alpha Partners LLP,archive
Signify N.V.,1.21,NL0011821392,2023-01-27,AKO Capital LLP,archive
Flow Traders Ltd.,0.55,BMG3602E1084,2023-01-27,Canada Pension Plan Investment Board,archive
Akzo Nobel N.V.,0.52,NL0013267909,2023-01-27,Marshall Wace LLP,archive
Alfen N.V.,1.39,NL0012817175,2023-01-27,Marshall Wace LLP,archive
Koninklijke Philips N.V.,0.71,NL0000009538,2023-01-27,Marshall Wace LLP,archive
PostNL N.V.,0.58,NL0009739416,2023-01-27,Millennium Capital Partners LLP,archive
Signify N.V.,0.57,NL0011821392,2023-01-27,Millennium Capital Partners LLP,archive
Basic-Fit N.V.,0.5,NL0011872650,2023-01-27,Praxis Alpha Partners LLP,archive
BE Semiconductor Industries N.V.,0.49,NL0012866412,2023-01-26,"AQR Capital Management, LLC",archive
Koninklijke Heijmans N.V.,0.51,NL0009269109,2023-01-26,SIH Partners LLLP,archive
Wereldhave N.V.,2.39,NL0000289213,2023-01-26,"Woodson Capital Master Fund, LP",archive
PostNL N.V.,1.37,NL0009739416,2023-01-25,Marshall Wace LLP,archive
Ebusco Holding N.V.,0.71,NL0015000CZ2,2023-01-25,Otus Capital Management Ltd.,archive
Aperam S.A.,0.48,LU0569974404,2023-01-25,Pantechnicon Advisors LLP,archive
Koninklijke Heijmans N.V.,0.49,NL0009269109,2023-01-25,SIH Partners LLLP,archive
Wereldhave N.V.,2.47,NL0000289213,2023-01-25,"Woodson Capital Master Fund, LP",archive
Basic-Fit N.V.,0.68,NL0011872650,2023-01-24,CapeView Capital LLP,archive
Koninklijke Philips N.V.,0.62,NL0000009538,2023-01-24,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,1.39,NL0012866412,2023-01-24,"Point72 Asset Management, L.P.",archive
PostNL N.V.,1.41,NL0009739416,2023-01-23,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,1.27,NL0012866412,2023-01-23,"Point72 Asset Management, L.P.",archive
Koninklijke BAM Groep N.V.,0.49,NL0000337319,2023-01-20,Citadel Advisors LLC,archive
Unibail-Rodamco-Westfield SE,0.51,FR0013326246,2023-01-20,Kintbury Capital LLP,archive
Signify N.V.,0.47,NL0011821392,2023-01-20,Millennium Capital Partners LLP,archive
OCI N.V.,0.5,NL0010558797,2023-01-20,Millennium International Management LP,archive
Koninklijke Heijmans N.V.,0.51,NL0009269109,2023-01-20,SIH Partners LLLP,archive
BE Semiconductor Industries N.V.,0.5,NL0012866412,2023-01-20,"WorldQuant, LLC",archive
Alfen N.V.,0.59,NL0012817175,2023-01-19,"Arrowstreet Capital, Limited Partnership",archive
TomTom N.V.,0.7,NL0013332471,2023-01-19,Citadel Advisors LLC,archive
Unibail-Rodamco-Westfield SE,0.47,FR0013326246,2023-01-19,Kintbury Capital LLP,archive
Pharming Group N.V.,0.58,NL0010391025,2023-01-19,Lazard Asset Management LLC,archive
BE Semiconductor Industries N.V.,0.99,NL0012866412,2023-01-19,Millennium International Management LP,archive
Koninklijke Heijmans N.V.,0.49,NL0009269109,2023-01-19,SIH Partners LLLP,archive
Alfen N.V.,0.6,NL0012817175,2023-01-18,Marble Bar Asset Management LLP,archive
Alfen N.V.,0.47,NL0012817175,2023-01-18,Pictet Asset Management S.A.,archive
Koninklijke Philips N.V.,0.44,NL0000009538,2023-01-17,Citadel Advisors Europe Limited,archive
Signify N.V.,0.53,NL0011821392,2023-01-17,Millennium Capital Partners LLP,archive
BE Semiconductor Industries N.V.,0.5,NL0012866412,2023-01-16,"AQR Capital Management, LLC",archive
TomTom N.V.,0.52,NL0013332471,2023-01-16,Citadel Advisors LLC,archive
Alfen N.V.,1.56,NL0012817175,2023-01-16,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,1.08,NL0012866412,2023-01-16,Millennium International Management LP,archive
Wereldhave N.V.,2.58,NL0000289213,2023-01-16,"Woodson Capital Master Fund, LP",archive
Galapagos NV,0.49,BE0003818359,2023-01-13,AHL Partners LLP,archive
Signify N.V.,0.65,NL0011821392,2023-01-13,Millennium Capital Partners LLP,archive
Pharming Group N.V.,0.5,NL0010391025,2023-01-13,Millennium International Management LP,archive
Alfen N.V.,0.52,NL0012817175,2023-01-13,Pictet Asset Management S.A.,archive
BE Semiconductor Industries N.V.,0.46,NL0012866412,2023-01-13,"WorldQuant, LLC",archive
Unibail-Rodamco-Westfield SE,0.56,FR0013326246,2023-01-12,Kintbury Capital LLP,archive
Alfen N.V.,0.59,NL0012817175,2023-01-12,Marble Bar Asset Management LLP,archive
Alfen N.V.,1.66,NL0012817175,2023-01-12,Marshall Wace LLP,archive
Koninklijke BAM Groep N.V.,0.69,NL0000337319,2023-01-12,Marshall Wace LLP,archive
PostNL N.V.,1.39,NL0009739416,2023-01-12,Marshall Wace LLP,archive
Pharming Group N.V.,0.49,NL0010391025,2023-01-12,Millennium International Management LP,archive
Koninklijke Philips N.V.,0.52,NL0000009538,2023-01-11,Citadel Advisors Europe Limited,archive
Alfen N.V.,1.7,NL0012817175,2023-01-11,Marshall Wace LLP,archive
Koninklijke Philips N.V.,0.59,NL0000009538,2023-01-11,Marshall Wace LLP,archive
PostNL N.V.,0.61,NL0009739416,2023-01-11,Millennium Capital Partners LLP,archive
Pharming Group N.V.,0.5,NL0010391025,2023-01-11,Millennium International Management LP,archive
Signify N.V.,0.71,NL0011821392,2023-01-11,Millennium International Management LP,archive
BE Semiconductor Industries N.V.,1.36,NL0012866412,2023-01-11,"Point72 Asset Management, L.P.",archive
Wereldhave N.V.,2.68,NL0000289213,2023-01-11,"Woodson Capital Master Fund, LP",archive
SBM Offshore N.V.,0.65,NL0000360618,2023-01-10,JPMorgan Asset Management (UK) Ltd.,archive
Alfen N.V.,0.62,NL0012817175,2023-01-10,Marble Bar Asset Management LLP,archive
BE Semiconductor Industries N.V.,0.62,NL0012866412,2023-01-09,"Davidson Kempner European Partners, LLP",archive
Signify N.V.,0.62,NL0011821392,2023-01-09,Millennium International Management LP,archive
BE Semiconductor Industries N.V.,0.59,NL0012866412,2023-01-09,"WorldQuant, LLC",archive
BE Semiconductor Industries N.V.,1.59,NL0012866412,2023-01-06,"Point72 Asset Management, L.P.",archive
ABN AMRO Bank NV,0.49,NL0011540547,2023-01-06,Qube Research & Technologies Ltd.,archive
PostNL N.V.,0.48,NL0009739416,2023-01-06,Qube Research & Technologies Ltd.,archive
BE Semiconductor Industries N.V.,1.7,NL0012866412,2023-01-05,"Point72 Asset Management, L.P.",archive
Wereldhave N.V.,1.26,NL0000289213,2023-01-05,Toscafund Asset Management LLP,archive
Koninklijke BAM Groep N.V.,0.76,NL0000337319,2023-01-04,Marshall Wace LLP,archive
PostNL N.V.,1.47,NL0009739416,2023-01-04,Marshall Wace LLP,archive
Signify N.V.,0.53,NL0011821392,2023-01-04,Millennium Capital Partners LLP,archive
Koninklijke Philips N.V.,2.01,NL0000009538,2023-01-04,Viking Global Investors LP,archive
Koninklijke Philips N.V.,0.69,NL0000009538,2023-01-03,Marshall Wace LLP,archive
Signify N.V.,0.48,NL0011821392,2023-01-03,Sandbar Assets Management LLP,archive
Koninklijke Heijmans N.V.,0.56,NL0009269109,2023-01-03,SIH Partners LLLP,archive
Unibail-Rodamco-Westfield SE,0.61,FR0013326246,2023-01-02,Kintbury Capital LLP,archive
PostNL N.V.,1.59,NL0009739416,2023-01-02,Marshall Wace LLP,archive
PostNL N.V.,0.57,NL0009739416,2023-01-02,Qube Research & Technologies Ltd.,archive
Basic-Fit N.V.,0.59,NL0011872650,2023-01-02,SIH Partners LLLP,archive
Koninklijke Philips N.V.,0.7,NL0000009538,2022-12-30,Greenvale Capital LLP,archive
Koninklijke Philips N.V.,0.72,NL0000009538,2022-12-30,Marshall Wace LLP,archive
Basic-Fit N.V.,0.6,NL0011872650,2022-12-30,Praxis Alpha Partners LLP,archive
Koninklijke BAM Groep N.V.,0.89,NL0000337319,2022-12-29,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,1.17,NL0012866412,2022-12-28,Millennium International Management LP,archive
BE Semiconductor Industries N.V.,0.62,NL0012866412,2022-12-28,"WorldQuant, LLC",archive
AMG Critical Materials N.V.,0.49,NL0000888691,2022-12-27,Citadel Advisors LLC,archive
Unibail-Rodamco-Westfield SE,0.49,FR0013326246,2022-12-27,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,1.69,NL0012866412,2022-12-27,"Point72 Asset Management, L.P.",archive
Signify N.V.,0.6,NL0011821392,2022-12-23,Millennium Capital Partners LLP,archive
Pharming Group N.V.,0.45,NL0010391025,2022-12-22,Citadel Advisors LLC,archive
Koninklijke Philips N.V.,0.66,NL0000009538,2022-12-22,Greenvale Capital LLP,archive
BE Semiconductor Industries N.V.,1.77,NL0012866412,2022-12-22,"Point72 Asset Management, L.P.",archive
Koninklijke Philips N.V.,1.9,NL0000009538,2022-12-22,Viking Global Investors LP,archive
PostNL N.V.,0.48,NL0009739416,2022-12-22,"WorldQuant, LLC",archive
