issuer_name,position_date,net_short_position,isin,position_holder,source
Adyen N.V.,2026-06-08,0.5,NL0012969182,Marshall Wace LLP,current
Signify N.V.,2026-06-08,1.2,NL0011821392,"PDT Partners, LLC",current
InPost S.A.,2026-06-08,1.09,LU2290522684,"Two Sigma Investments, LP",current
Akzo Nobel N.V.,2026-06-05,0.51,NL0013267909,AKO Capital LLP,current
Signify N.V.,2026-06-05,0.51,NL0011821392,"BlackRock Institutional Trust Company, National Association",current
Pharming Group N.V.,2026-06-05,0.63,NL0010391025,"D. E. Shaw & Co., L.P.",current
Akzo Nobel N.V.,2026-06-05,1.24,NL0013267909,Davidson Kempner Capital Management LP,current
Signify N.V.,2026-06-05,1.59,NL0011821392,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,2026-06-05,0.92,NL0015002MS2,Qube Research & Technologies Ltd.,current
Adyen N.V.,2026-06-04,1.07,NL0012969182,"AQR Capital Management, LLC",current
Akzo Nobel N.V.,2026-06-04,0.65,NL0013267909,"BlackRock Advisors, LLC",current
Pharming Group N.V.,2026-06-04,0.7,NL0010391025,"D. E. Shaw & Co., L.P.",current
Akzo Nobel N.V.,2026-06-04,1.17,NL0013267909,Davidson Kempner Capital Management LP,current
Akzo Nobel N.V.,2026-06-04,0.91,NL0013267909,LMR Partners LLP,current
Signify N.V.,2026-06-04,0.62,NL0011821392,Squarepoint Ops LLC,current
CVC Capital Partners plc,2026-06-03,0.69,JE00BRX98089,"AQR Capital Management, LLC",current
Adyen N.V.,2026-06-03,0.52,NL0012969182,Capital Fund Management S.A.,current
Akzo Nobel N.V.,2026-06-03,1.02,NL0013267909,Davidson Kempner Capital Management LP,current
Akzo Nobel N.V.,2026-06-03,0.83,NL0013267909,LMR Partners LLP,current
DSM-Firmenich AG,2026-06-03,0.91,CH1216478797,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,2026-06-03,0.81,NL0015002MS2,Marshall Wace LLP,current
Pharming Group N.V.,2026-06-03,0.58,NL0010391025,Whitebox Advisors LLC,current
Pharming Group N.V.,2026-06-02,0.62,NL0010391025,"D. E. Shaw & Co., L.P.",current
Fugro N.V.,2026-06-02,2.2,NL00150003E1,JPMorgan Asset Management (UK) Ltd.,current
Basic-Fit N.V.,2026-06-02,0.79,NL0011872650,Sculptor Capital Management Europe Limited,current
Pharming Group N.V.,2026-06-02,1.02,NL0010391025,Walleye Capital LLC,current
NSI N.V.,2026-06-01,0.81,NL0012365084,Numeric Investors LLC,current
Aalberts N.V.,2026-05-29,0.59,NL0000852564,"AQR Capital Management, LLC",current
IMCD N.V.,2026-05-29,0.69,NL0010801007,"BlackRock Financial Management, Inc.",current
Signify N.V.,2026-05-29,0.83,NL0011821392,"BlackRock Financial Management, Inc.",current
Signify N.V.,2026-05-29,1.0,NL0011821392,Citadel Advisors Europe Limited,current
Akzo Nobel N.V.,2026-05-29,0.58,NL0013267909,Davidson Kempner Capital Management LP,current
DSM-Firmenich AG,2026-05-29,1.85,CH1216478797,Ilex Capital Partners (UK) LLP,current
DSM-Firmenich AG,2026-05-29,0.85,CH1216478797,Marshall Wace LLP,current
Signify N.V.,2026-05-29,1.11,NL0011821392,"PDT Partners, LLC",current
The Magnum Ice Cream Company N.V.,2026-05-29,0.83,NL0015002MS2,Qube Research & Technologies Ltd.,current
Signify N.V.,2026-05-29,0.5,NL0011821392,Squarepoint Ops LLC,current
Pharming Group N.V.,2026-05-29,1.09,NL0010391025,"Two Sigma Investments, LP",current
Adyen N.V.,2026-05-28,1.18,NL0012969182,"AQR Capital Management, LLC",current
Akzo Nobel N.V.,2026-05-28,0.66,NL0013267909,Davidson Kempner Capital Management LP,current
Basic-Fit N.V.,2026-05-28,0.87,NL0011872650,Linden Advisors LP,current
InPost S.A.,2026-05-28,1.18,LU2290522684,"Two Sigma Investments, LP",current
Pharming Group N.V.,2026-05-28,0.92,NL0010391025,Walleye Capital LLC,current
Akzo Nobel N.V.,2026-05-27,0.6,NL0013267909,"AQR Capital Management, LLC",current
Wereldhave N.V.,2026-05-27,0.91,NL0000289213,Citadel Advisors LLC,current
Pharming Group N.V.,2026-05-27,0.58,NL0010391025,"D. E. Shaw & Co., L.P.",current
Akzo Nobel N.V.,2026-05-27,1.01,NL0013267909,Davidson Kempner Capital Management LP,current
IMCD N.V.,2026-05-27,0.65,NL0010801007,Marshall Wace LLP,current
NSI N.V.,2026-05-27,0.79,NL0012365084,Numeric Investors LLC,current
The Magnum Ice Cream Company N.V.,2026-05-27,0.78,NL0015002MS2,Qube Research & Technologies Ltd.,current
Signify N.V.,2026-05-26,1.18,NL0011821392,"AQR Capital Management, LLC",current
IMCD N.V.,2026-05-26,1.3,NL0010801007,"Arrowstreet Capital, Limited Partnership",current
IMCD N.V.,2026-05-26,0.8,NL0010801007,Capital Fund Management S.A.,current
DSM-Firmenich AG,2026-05-26,0.91,CH1216478797,Citadel Advisors LLC,current
Pharming Group N.V.,2026-05-26,0.61,NL0010391025,"D. E. Shaw & Co., L.P.",current
PostNL N.V.,2026-05-26,0.75,NL0009739416,Marshall Wace LLP,current
Signify N.V.,2026-05-26,1.6,NL0011821392,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,2026-05-26,0.8,NL0015002MS2,Qube Research & Technologies Ltd.,current
Pharming Group N.V.,2026-05-25,0.58,NL0010391025,"D. E. Shaw & Co., L.P.",current
IMCD N.V.,2026-05-25,0.8,NL0010801007,"PDT Partners, LLC",current
Basic-Fit N.V.,2026-05-25,0.8,NL0011872650,Sculptor Capital Management Europe Limited,current
Fugro N.V.,2026-05-22,0.53,NL00150003E1,"Algert Global, LLC",current
Signify N.V.,2026-05-22,0.98,NL0011821392,Citadel Advisors Europe Limited,current
DSM-Firmenich AG,2026-05-22,0.86,CH1216478797,Citadel Advisors LLC,current
Signify N.V.,2026-05-22,1.6,NL0011821392,Citadel Advisors LLC,current
Pharming Group N.V.,2026-05-22,0.61,NL0010391025,"D. E. Shaw & Co., L.P.",current
DSM-Firmenich AG,2026-05-22,0.78,CH1216478797,Marshall Wace LLP,current
IMCD N.V.,2026-05-22,0.79,NL0010801007,"PDT Partners, LLC",current
Pharming Group N.V.,2026-05-22,0.8,NL0010391025,Walleye Capital LLC,current
Signify N.V.,2026-05-21,1.0,NL0011821392,Canada Pension Plan Investment Board,current
DSM-Firmenich AG,2026-05-21,0.74,CH1216478797,Citadel Advisors LLC,current
Pharming Group N.V.,2026-05-21,0.59,NL0010391025,"D. E. Shaw & Co., L.P.",current
DSM-Firmenich AG,2026-05-21,1.71,CH1216478797,Ilex Capital Partners (UK) LLP,current
DSM-Firmenich AG,2026-05-21,0.6,CH1216478797,Marshall Wace LLP,current
Signify N.V.,2026-05-21,1.58,NL0011821392,Marshall Wace LLP,current
Pharming Group N.V.,2026-05-21,0.99,NL0010391025,"Two Sigma Investments, LP",current
InPost S.A.,2026-05-20,1.29,LU2290522684,"Two Sigma Investments, LP",current
