issuer_name,position_date,net_short_position,isin,position_holder,source
Alfen N.V.,2026-03-20,0.49,NL0012817175,Tudor Capital Europe LLP,archive
ING Groep N.V.,2026-03-20,0.51,NL0011821202,Viking Global Investors LP,archive
Akzo Nobel N.V.,2026-03-19,1.31,NL0013267909,AKO Capital LLP,archive
Alfen N.V.,2026-03-19,0.51,NL0012817175,"AQR Capital Management, LLC",archive
Akzo Nobel N.V.,2026-03-19,0.59,NL0013267909,Marshall Wace LLP,archive
Randstad N.V.,2026-03-19,0.73,NL0000379121,Marshall Wace LLP,archive
The Magnum Ice Cream Company N.V.,2026-03-19,0.52,NL0015002MS2,Qube Research & Technologies Ltd.,archive
Avantium N.V.,2026-03-19,1.29,NL0015002IE0,Voleon Capital Management LP,archive
TomTom N.V.,2026-03-19,0.61,NL0013332471,Winton Capital Management Limited,archive
Alfen N.V.,2026-03-19,2.83,NL0012817175,"WorldQuant, LLC",archive
IMCD N.V.,2026-03-19,0.6,NL0010801007,"WorldQuant, LLC",archive
Signify N.V.,2026-03-18,0.4,NL0011821392,"BlackRock Financial Management, Inc.",archive
BE Semiconductor Industries N.V.,2026-03-18,0.48,NL0012866412,Canada Pension Plan Investment Board,archive
Signify N.V.,2026-03-18,1.21,NL0011821392,Citadel Advisors Europe Limited,archive
Koninklijke KPN N.V.,2026-03-18,0.47,NL0000009082,Citadel Advisors LLC,archive
Envipco Holding N.V.,2026-03-18,0.49,NL0015000GX8,Citadel Securities (Europe) Limited,archive
Akzo Nobel N.V.,2026-03-18,0.52,NL0013267909,"Empyrean Capital Overseas Master Fund, Ltd",archive
TomTom N.V.,2026-03-18,0.48,NL0013332471,Marshall Wace LLP,archive
NSI N.V.,2026-03-18,0.6,NL0012365084,Millennium International Management LP,archive
Alfen N.V.,2026-03-18,0.52,NL0012817175,Qube Research & Technologies Ltd.,archive
Theon International Plc,2026-03-18,0.57,CY0200751713,Qube Research & Technologies Ltd.,archive
Alfen N.V.,2026-03-18,1.97,NL0012817175,Voleon Capital Management LP,archive
Avantium N.V.,2026-03-18,1.43,NL0015002IE0,Voleon Capital Management LP,archive
Alfen N.V.,2026-03-18,2.98,NL0012817175,"WorldQuant, LLC",archive
Akzo Nobel N.V.,2026-03-17,0.59,NL0013267909,"AQR Capital Management, LLC",archive
Signify N.V.,2026-03-17,0.79,NL0011821392,"BlackRock Financial Management, Inc.",archive
BE Semiconductor Industries N.V.,2026-03-17,0.57,NL0012866412,Canada Pension Plan Investment Board,archive
Akzo Nobel N.V.,2026-03-17,0.91,NL0013267909,Kintbury Capital LLP,archive
Akzo Nobel N.V.,2026-03-17,0.7,NL0013267909,Millennium International Management LP,archive
Fugro N.V.,2026-03-17,0.48,NL00150003E1,Millennium International Management LP,archive
CVC Capital Partners plc,2026-03-17,0.71,JE00BRX98089,Qube Research & Technologies Ltd.,archive
ArcelorMittal S.A.,2026-03-17,0.49,LU1598757687,"Two Sigma Investments, LP",archive
Signify N.V.,2026-03-16,0.8,NL0011821392,"BlackRock Financial Management, Inc.",archive
IMCD N.V.,2026-03-16,0.61,NL0010801007,Citadel Advisors LLC,archive
Adyen N.V.,2026-03-16,0.49,NL0012969182,"D. E. Shaw & Co., L.P.",archive
IMCD N.V.,2026-03-16,0.4,NL0010801007,Marshall Wace LLP,archive
NSI N.V.,2026-03-16,0.52,NL0012365084,Millennium International Management LP,archive
IMCD N.V.,2026-03-16,0.63,NL0010801007,Squarepoint Ops LLC,archive
Alfen N.V.,2026-03-16,3.08,NL0012817175,"WorldQuant, LLC",archive
Lakefront Biotherapeutics NV,2026-03-13,0.77,BE0003818359,"Arrowstreet Capital, Limited Partnership",archive
IMCD N.V.,2026-03-13,0.56,NL0010801007,Citadel Advisors LLC,archive
Randstad N.V.,2026-03-13,0.5,NL0000379121,Citadel Advisors LLC,archive
IMCD N.V.,2026-03-13,0.59,NL0010801007,Marshall Wace LLP,archive
Koninklijke Heijmans N.V.,2026-03-13,0.5,NL0009269109,Marshall Wace LLP,archive
Randstad N.V.,2026-03-13,0.61,NL0000379121,Marshall Wace LLP,archive
Akzo Nobel N.V.,2026-03-13,0.6,NL0013267909,Millennium International Management LP,archive
Fugro N.V.,2026-03-13,0.55,NL00150003E1,Millennium International Management LP,archive
Pharming Group N.V.,2026-03-13,0.75,NL0010391025,Millennium International Management LP,archive
Avantium N.V.,2026-03-13,1.56,NL0015002IE0,Voleon Capital Management LP,archive
Alfen N.V.,2026-03-13,3.14,NL0012817175,"WorldQuant, LLC",archive
IMCD N.V.,2026-03-13,0.52,NL0010801007,"WorldQuant, LLC",archive
Akzo Nobel N.V.,2026-03-12,0.64,NL0013267909,Albar Capital Partners LLP,archive
Pharming Group N.V.,2026-03-12,0.44,NL0010391025,Capital Fund Management S.A.,archive
Envipco Holding N.V.,2026-03-12,0.46,NL0015000GX8,Citadel Advisors LLC,archive
Pharming Group N.V.,2026-03-12,0.69,NL0010391025,Millennium International Management LP,archive
ARCADIS N.V.,2026-03-12,1.1,NL0006237562,Squarepoint Ops LLC,archive
IMCD N.V.,2026-03-12,0.5,NL0010801007,Squarepoint Ops LLC,archive
Adyen N.V.,2026-03-11,0.6,NL0012969182,Capital Fund Management S.A.,archive
Aperam S.A.,2026-03-11,0.48,LU0569974404,Capital Fund Management S.A.,archive
Pharming Group N.V.,2026-03-11,0.5,NL0010391025,Capital Fund Management S.A.,archive
Envipco Holding N.V.,2026-03-11,0.5,NL0015000GX8,Citadel Advisors LLC,archive
IMCD N.V.,2026-03-11,0.64,NL0010801007,Citadel Advisors LLC,archive
Koninklijke KPN N.V.,2026-03-11,0.58,NL0000009082,Citadel Advisors LLC,archive
Envipco Holding N.V.,2026-03-11,0.56,NL0015000GX8,Citadel Securities (Europe) Limited,archive
BE Semiconductor Industries N.V.,2026-03-11,0.69,NL0012866412,"D. E. Shaw & Co., L.P.",archive
Akzo Nobel N.V.,2026-03-11,0.63,NL0013267909,Marshall Wace LLP,archive
TomTom N.V.,2026-03-11,0.58,NL0013332471,Marshall Wace LLP,archive
Randstad N.V.,2026-03-11,0.51,NL0000379121,"Point72 Europe (London), LLP",archive
Akzo Nobel N.V.,2026-03-10,0.48,NL0013267909,Albar Capital Partners LLP,archive
Akzo Nobel N.V.,2026-03-10,0.47,NL0013267909,BlackRock Investment Management (UK) Limited,archive
Aperam S.A.,2026-03-10,0.5,LU0569974404,Capital Fund Management S.A.,archive
IMCD N.V.,2026-03-10,0.7,NL0010801007,Citadel Advisors LLC,archive
InPost S.A.,2026-03-10,0.59,LU2290522684,"Connor, Clark & Lunn Investment Management Ltd.",archive
BE Semiconductor Industries N.V.,2026-03-10,0.7,NL0012866412,"D. E. Shaw & Co., L.P.",archive
Akzo Nobel N.V.,2026-03-10,0.86,NL0013267909,Kintbury Capital LLP,archive
Akzo Nobel N.V.,2026-03-10,0.59,NL0013267909,Marshall Wace LLP,archive
Koninklijke KPN N.V.,2026-03-10,0.72,NL0000009082,Marshall Wace LLP,archive
Fugro N.V.,2026-03-10,0.67,NL00150003E1,Millennium International Management LP,archive
Pharming Group N.V.,2026-03-10,0.79,NL0010391025,Millennium International Management LP,archive
TomTom N.V.,2026-03-10,0.52,NL0013332471,Winton Capital Management Limited,archive
IMCD N.V.,2026-03-09,0.72,NL0010801007,Acadian Asset Management LLC.,archive
Akzo Nobel N.V.,2026-03-09,1.21,NL0013267909,AKO Capital LLP,archive
Akzo Nobel N.V.,2026-03-09,0.5,NL0013267909,Albar Capital Partners LLP,archive
Adyen N.V.,2026-03-09,0.51,NL0012969182,Capital Fund Management S.A.,archive
Aperam S.A.,2026-03-09,0.49,LU0569974404,Capital Fund Management S.A.,archive
Pharming Group N.V.,2026-03-09,0.66,NL0010391025,Capital Fund Management S.A.,archive
Signify N.V.,2026-03-09,1.18,NL0011821392,Citadel Advisors Europe Limited,archive
Koninklijke KPN N.V.,2026-03-09,0.6,NL0000009082,Citadel Advisors LLC,archive
PostNL N.V.,2026-03-09,0.69,NL0009739416,Citadel Advisors LLC,archive
Alfen N.V.,2026-03-09,1.29,NL0012817175,"D. E. Shaw & Co., L.P.",archive
IMCD N.V.,2026-03-09,0.5,NL0010801007,"D. E. Shaw & Co., L.P.",archive
Akzo Nobel N.V.,2026-03-09,0.51,NL0013267909,Millennium International Management LP,archive
Alfen N.V.,2026-03-09,0.49,NL0012817175,Qube Research & Technologies Ltd.,archive
Basic-Fit N.V.,2026-03-09,0.51,NL0011872650,Wellington Management International Ltd.,archive
Akzo Nobel N.V.,2026-03-06,0.67,NL0013267909,"AQR Capital Management, LLC",archive
Universal Music Group N.V.,2026-03-06,0.6,NL0015000IY2,"AQR Capital Management, LLC",archive
Lakefront Biotherapeutics NV,2026-03-06,0.89,BE0003818359,"Arrowstreet Capital, Limited Partnership",archive
Akzo Nobel N.V.,2026-03-06,0.47,NL0013267909,Balyasny Asset Management LP,archive
AMG Critical Materials N.V.,2026-03-06,0.45,NL0000888691,Citadel Advisors LLC,archive
Alfen N.V.,2026-03-06,0.48,NL0012817175,GSA Capital Partners LLP,archive
IMCD N.V.,2026-03-06,0.63,NL0010801007,Marshall Wace LLP,archive
TomTom N.V.,2026-03-06,0.68,NL0013332471,Marshall Wace LLP,archive
Pharming Group N.V.,2026-03-06,0.61,NL0010391025,Millennium International Management LP,archive
Signify N.V.,2026-03-06,0.39,NL0011821392,"Point72 Europe (London), LLP",archive
ARCADIS N.V.,2026-03-06,1.09,NL0006237562,Squarepoint Ops LLC,archive
Fugro N.V.,2026-03-06,0.59,NL00150003E1,Voleon Capital Management LP,archive
Akzo Nobel N.V.,2026-03-05,0.5,NL0013267909,Balyasny Asset Management LP,archive
BE Semiconductor Industries N.V.,2026-03-05,0.64,NL0012866412,Canada Pension Plan Investment Board,archive
Pharming Group N.V.,2026-03-05,0.77,NL0010391025,Capital Fund Management S.A.,archive
AMG Critical Materials N.V.,2026-03-05,0.55,NL0000888691,Citadel Advisors LLC,archive
IMCD N.V.,2026-03-05,0.62,NL0010801007,Citadel Advisors LLC,archive
Randstad N.V.,2026-03-05,0.5,NL0000379121,Marshall Wace LLP,archive
Pharming Group N.V.,2026-03-05,0.55,NL0010391025,Millennium International Management LP,archive
CVC Capital Partners plc,2026-03-05,0.6,JE00BRX98089,Qube Research & Technologies Ltd.,archive
Theon International Plc,2026-03-05,0.64,CY0200751713,Qube Research & Technologies Ltd.,archive
IMCD N.V.,2026-03-04,0.61,NL0010801007,Acadian Asset Management LLC.,archive
Akzo Nobel N.V.,2026-03-04,0.44,NL0013267909,Balyasny Asset Management LP,archive
AMG Critical Materials N.V.,2026-03-04,0.47,NL0000888691,Citadel Advisors LLC,archive
PostNL N.V.,2026-03-04,0.7,NL0009739416,Citadel Advisors LLC,archive
Alfen N.V.,2026-03-04,0.79,NL0012817175,Citadel Securities (Europe) Limited,archive
Alfen N.V.,2026-03-04,0.55,NL0012817175,GSA Capital Partners LLP,archive
Koninklijke KPN N.V.,2026-03-04,0.64,NL0000009082,Marshall Wace LLP,archive
Fugro N.V.,2026-03-04,0.78,NL00150003E1,Millennium International Management LP,archive
Theon International Plc,2026-03-04,0.59,CY0200751713,Qube Research & Technologies Ltd.,archive
Akzo Nobel N.V.,2026-03-03,0.56,NL0013267909,Balyasny Asset Management LP,archive
AMG Critical Materials N.V.,2026-03-03,0.5,NL0000888691,Citadel Advisors LLC,archive
Signify N.V.,2026-03-03,0.54,NL0011821392,"Point72 Europe (London), LLP",archive
Signify N.V.,2026-03-03,0.55,NL0011821392,Premier Miton Group plc,archive
Theon International Plc,2026-03-03,0.6,CY0200751713,Qube Research & Technologies Ltd.,archive
Alfen N.V.,2026-03-03,2.01,NL0012817175,Voleon Capital Management LP,archive
Avantium N.V.,2026-03-03,1.68,NL0015002IE0,Voleon Capital Management LP,archive
Lakefront Biotherapeutics NV,2026-03-02,0.98,BE0003818359,"Arrowstreet Capital, Limited Partnership",archive
AMG Critical Materials N.V.,2026-03-02,0.48,NL0000888691,Citadel Advisors LLC,archive
Koninklijke KPN N.V.,2026-03-02,0.53,NL0000009082,Citadel Advisors LLC,archive
Alfen N.V.,2026-03-02,0.8,NL0012817175,Citadel Securities (Europe) Limited,archive
Adyen N.V.,2026-03-02,0.58,NL0012969182,"D. E. Shaw & Co., L.P.",archive
BE Semiconductor Industries N.V.,2026-03-02,0.69,NL0012866412,"D. E. Shaw & Co., L.P.",archive
Fugro N.V.,2026-03-02,0.87,NL00150003E1,Millennium International Management LP,archive
Pharming Group N.V.,2026-03-02,0.46,NL0010391025,Qube Research & Technologies Ltd.,archive
Alfen N.V.,2026-03-02,1.95,NL0012817175,Voleon Capital Management LP,archive
Fugro N.V.,2026-03-02,0.66,NL00150003E1,Voleon Capital Management LP,archive
ARCADIS N.V.,2026-03-02,0.5,NL0006237562,White Creek Capital LLP,archive
Akzo Nobel N.V.,2026-02-27,0.6,NL0013267909,Balyasny Asset Management LP,archive
IMCD N.V.,2026-02-27,0.54,NL0010801007,"BlackRock Institutional Trust Company, National Association",archive
Fugro N.V.,2026-02-27,0.45,NL00150003E1,Citadel Advisors LLC,archive
Havas N.V.,2026-02-27,0.5,NL0015002K83,Citadel Advisors LLC,archive
IMCD N.V.,2026-02-27,0.4,NL0010801007,"D. E. Shaw & Co., L.P.",archive
Alfen N.V.,2026-02-27,0.69,NL0012817175,GSA Capital Partners LLP,archive
Koninklijke KPN N.V.,2026-02-27,0.51,NL0000009082,Marshall Wace LLP,archive
IMCD N.V.,2026-02-27,0.13,NL0010801007,Millennium International Management LP,archive
IMCD N.V.,2026-02-27,0.0,NL0010801007,Qube Research & Technologies Ltd.,archive
IMCD N.V.,2026-02-27,0.47,NL0010801007,Squarepoint Ops LLC,archive
Fugro N.V.,2026-02-27,0.7,NL00150003E1,Voleon Capital Management LP,archive
Lakefront Biotherapeutics NV,2026-02-26,1.05,BE0003818359,"Arrowstreet Capital, Limited Partnership",archive
Signify N.V.,2026-02-26,1.0,NL0011821392,Citadel Advisors Europe Limited,archive
AMG Critical Materials N.V.,2026-02-26,0.55,NL0000888691,Citadel Advisors LLC,archive
Fugro N.V.,2026-02-26,0.5,NL00150003E1,Citadel Advisors LLC,archive
Alfen N.V.,2026-02-26,1.38,NL0012817175,"D. E. Shaw & Co., L.P.",archive
Randstad N.V.,2026-02-26,0.48,NL0000379121,Marshall Wace LLP,archive
Fugro N.V.,2026-02-26,0.96,NL00150003E1,Millennium International Management LP,archive
IMCD N.V.,2026-02-26,2.0,NL0010801007,Millennium International Management LP,archive
Fugro N.V.,2026-02-26,0.66,NL00150003E1,"PDT Partners, LLC",archive
Havas N.V.,2026-02-26,0.4,NL0015002K83,"Point72 Asset Management, L.P.",archive
Pharming Group N.V.,2026-02-26,0.51,NL0010391025,Qube Research & Technologies Ltd.,archive
Avantium N.V.,2026-02-26,1.78,NL0015002IE0,Voleon Capital Management LP,archive
Akzo Nobel N.V.,2026-02-25,1.14,NL0013267909,AKO Capital LLP,archive
IMCD N.V.,2026-02-25,1.96,NL0010801007,Millennium International Management LP,archive
Fugro N.V.,2026-02-25,0.47,NL00150003E1,Numeric Investors LLC,archive
Alfen N.V.,2026-02-25,0.55,NL0012817175,Qube Research & Technologies Ltd.,archive
IMCD N.V.,2026-02-25,0.58,NL0010801007,Qube Research & Technologies Ltd.,archive
Pharming Group N.V.,2026-02-25,0.49,NL0010391025,Qube Research & Technologies Ltd.,archive
IMCD N.V.,2026-02-25,0.51,NL0010801007,Squarepoint Ops LLC,archive
Akzo Nobel N.V.,2026-02-25,1.24,NL0013267909,UBS Asset Management (Americas) LLC,archive
Pharming Group N.V.,2026-02-24,0.84,NL0010391025,Capital Fund Management S.A.,archive
Signify N.V.,2026-02-24,0.47,NL0011821392,Citadel Securities (Europe) Limited,archive
IMCD N.V.,2026-02-24,0.7,NL0010801007,"D. E. Shaw & Co., L.P.",archive
Alfen N.V.,2026-02-24,0.79,NL0012817175,GSA Capital Partners LLP,archive
Akzo Nobel N.V.,2026-02-24,0.61,NL0013267909,Marshall Wace LLP,archive
Randstad N.V.,2026-02-24,0.5,NL0000379121,Marshall Wace LLP,archive
TomTom N.V.,2026-02-24,0.7,NL0013332471,Marshall Wace LLP,archive
Avantium N.V.,2026-02-24,1.85,NL0015002IE0,Voleon Capital Management LP,archive
PostNL N.V.,2026-02-23,0.61,NL0009739416,Citadel Advisors LLC,archive
IMCD N.V.,2026-02-23,1.82,NL0010801007,Millennium International Management LP,archive
Alfen N.V.,2026-02-23,0.61,NL0012817175,Qube Research & Technologies Ltd.,archive
IMCD N.V.,2026-02-23,0.61,NL0010801007,Qube Research & Technologies Ltd.,archive
ArcelorMittal S.A.,2026-02-23,0.5,LU1598757687,"Two Sigma Investments, LP",archive
Pharming Group N.V.,2026-02-20,0.93,NL0010391025,Capital Fund Management S.A.,archive
Envipco Holding N.V.,2026-02-20,0.49,NL0015000GX8,Citadel Securities (Europe) Limited,archive
IMCD N.V.,2026-02-20,0.54,NL0010801007,Marshall Wace LLP,archive
Alfen N.V.,2026-02-20,0.43,NL0012817175,Millennium International Management LP,archive
IMCD N.V.,2026-02-20,1.74,NL0010801007,Millennium International Management LP,archive
ARCADIS N.V.,2026-02-20,1.17,NL0006237562,Squarepoint Ops LLC,archive
ARCADIS N.V.,2026-02-20,0.48,NL0006237562,White Creek Capital LLP,archive
Akzo Nobel N.V.,2026-02-19,0.58,NL0013267909,Balyasny Asset Management LP,archive
Aperam S.A.,2026-02-19,0.51,LU0569974404,Capital Fund Management S.A.,archive
Alfen N.V.,2026-02-19,0.72,NL0012817175,Citadel Securities (Europe) Limited,archive
Envipco Holding N.V.,2026-02-19,0.5,NL0015000GX8,Citadel Securities (Europe) Limited,archive
Adyen N.V.,2026-02-19,0.6,NL0012969182,"D. E. Shaw & Co., L.P.",archive
Alfen N.V.,2026-02-19,1.48,NL0012817175,"D. E. Shaw & Co., L.P.",archive
IMCD N.V.,2026-02-19,0.63,NL0010801007,"D. E. Shaw & Co., L.P.",archive
Akzo Nobel N.V.,2026-02-19,0.49,NL0013267909,"Empyrean Capital Overseas Master Fund, Ltd",archive
Alfen N.V.,2026-02-19,0.87,NL0012817175,GSA Capital Partners LLP,archive
ARCADIS N.V.,2026-02-19,0.32,NL0006237562,Marble Bar Asset Management LLP,archive
Alfen N.V.,2026-02-19,0.45,NL0012817175,Marshall Wace LLP,archive
IMCD N.V.,2026-02-19,1.65,NL0010801007,Millennium International Management LP,archive
IMCD N.V.,2026-02-19,0.49,NL0010801007,Numeric Investors LLC,archive
IMCD N.V.,2026-02-19,0.54,NL0010801007,Qube Research & Technologies Ltd.,archive
IMCD N.V.,2026-02-19,0.49,NL0010801007,Squarepoint Ops LLC,archive
Alfen N.V.,2026-02-19,1.84,NL0012817175,Voleon Capital Management LP,archive
Avantium N.V.,2026-02-19,1.97,NL0015002IE0,Voleon Capital Management LP,archive
IMCD N.V.,2026-02-18,0.51,NL0010801007,Citadel Advisors LLC,archive
IMCD N.V.,2026-02-18,0.58,NL0010801007,"D. E. Shaw & Co., L.P.",archive
Signify N.V.,2026-02-18,0.49,NL0011821392,"D. E. Shaw & Co., L.P.",archive
ARCADIS N.V.,2026-02-18,0.51,NL0006237562,Marble Bar Asset Management LLP,archive
IMCD N.V.,2026-02-18,0.5,NL0010801007,Numeric Investors LLC,archive
Havas N.V.,2026-02-18,0.54,NL0015002K83,"Point72 Asset Management, L.P.",archive
Pharming Group N.V.,2026-02-18,0.56,NL0010391025,Qube Research & Technologies Ltd.,archive
The Magnum Ice Cream Company N.V.,2026-02-18,0.22,NL0015002MS2,Qube Research & Technologies Ltd.,archive
IMCD N.V.,2026-02-18,0.53,NL0010801007,Squarepoint Ops LLC,archive
Alfen N.V.,2026-02-18,0.5,NL0012817175,Tudor Capital Europe LLP,archive
Akzo Nobel N.V.,2026-02-18,1.1,NL0013267909,UBS Asset Management (Americas) LLC,archive
Alfen N.V.,2026-02-18,1.77,NL0012817175,Voleon Capital Management LP,archive
Alfen N.V.,2026-02-18,3.25,NL0012817175,"WorldQuant, LLC",archive
Alfen N.V.,2026-02-17,0.69,NL0012817175,Citadel Securities (Europe) Limited,archive
Adyen N.V.,2026-02-17,0.52,NL0012969182,"D. E. Shaw & Co., L.P.",archive
Alfen N.V.,2026-02-17,0.5,NL0012817175,Marshall Wace LLP,archive
IMCD N.V.,2026-02-17,0.44,NL0010801007,Millennium Capital (DIFC) Limited,archive
Alfen N.V.,2026-02-17,0.54,NL0012817175,Millennium International Management LP,archive
Alfen N.V.,2026-02-17,0.52,NL0012817175,Qube Research & Technologies Ltd.,archive
IMCD N.V.,2026-02-17,0.63,NL0010801007,Squarepoint Ops LLC,archive
Akzo Nobel N.V.,2026-02-17,1.06,NL0013267909,UBS Asset Management (Americas) LLC,archive
Alfen N.V.,2026-02-17,1.68,NL0012817175,Voleon Capital Management LP,archive
Fugro N.V.,2026-02-17,0.6,NL00150003E1,Voleon Capital Management LP,archive
Alfen N.V.,2026-02-17,3.11,NL0012817175,"WorldQuant, LLC",archive
Aperam S.A.,2026-02-16,0.49,LU0569974404,Capital Fund Management S.A.,archive
IMCD N.V.,2026-02-16,1.5,NL0010801007,Millennium International Management LP,archive
The Magnum Ice Cream Company N.V.,2026-02-16,1.11,NL0015002MS2,Qube Research & Technologies Ltd.,archive
Avantium N.V.,2026-02-16,2.09,NL0015002IE0,Voleon Capital Management LP,archive
ARCADIS N.V.,2026-02-16,0.51,NL0006237562,White Creek Capital LLP,archive
Akzo Nobel N.V.,2026-02-13,0.74,NL0013267909,"AQR Capital Management, LLC",archive
Akzo Nobel N.V.,2026-02-13,0.61,NL0013267909,Balyasny Asset Management LP,archive
InPost S.A.,2026-02-13,0.68,LU2290522684,"Connor, Clark & Lunn Investment Management Ltd.",archive
IMCD N.V.,2026-02-13,0.49,NL0010801007,"D. E. Shaw & Co., L.P.",archive
Alfen N.V.,2026-02-13,0.96,NL0012817175,GSA Capital Partners LLP,archive
IMCD N.V.,2026-02-13,0.68,NL0010801007,Marshall Wace LLP,archive
IMCD N.V.,2026-02-13,0.5,NL0010801007,Millennium Capital (DIFC) Limited,archive
IMCD N.V.,2026-02-13,1.42,NL0010801007,Millennium International Management LP,archive
The Magnum Ice Cream Company N.V.,2026-02-13,1.09,NL0015002MS2,Qube Research & Technologies Ltd.,archive
Alfen N.V.,2026-02-13,1.51,NL0012817175,Voleon Capital Management LP,archive
Alfen N.V.,2026-02-13,3.01,NL0012817175,"WorldQuant, LLC",archive
Akzo Nobel N.V.,2026-02-12,0.59,NL0013267909,Balyasny Asset Management LP,archive
Fugro N.V.,2026-02-12,0.45,NL00150003E1,Citadel Advisors LLC,archive
Alfen N.V.,2026-02-12,0.54,NL0012817175,Citadel Securities (Europe) Limited,archive
IMCD N.V.,2026-02-12,0.5,NL0010801007,"D. E. Shaw & Co., L.P.",archive
IMCD N.V.,2026-02-12,0.74,NL0010801007,Marshall Wace LLP,archive
IMCD N.V.,2026-02-12,1.3,NL0010801007,Millennium International Management LP,archive
Pharming Group N.V.,2026-02-12,0.69,NL0010391025,Qube Research & Technologies Ltd.,archive
Akzo Nobel N.V.,2026-02-12,0.94,NL0013267909,UBS Asset Management (Americas) LLC,archive
Alfen N.V.,2026-02-12,1.43,NL0012817175,Voleon Capital Management LP,archive
Alfen N.V.,2026-02-12,2.9,NL0012817175,"WorldQuant, LLC",archive
IMCD N.V.,2026-02-11,0.5,NL0010801007,Acadian Asset Management LLC.,archive
Akzo Nobel N.V.,2026-02-11,1.08,NL0013267909,AKO Capital LLP,archive
Akzo Nobel N.V.,2026-02-11,0.59,NL0013267909,"Arrowstreet Capital, Limited Partnership",archive
Randstad N.V.,2026-02-11,0.45,NL0000379121,"BlackRock Advisors, LLC",archive
ARCADIS N.V.,2026-02-11,0.47,NL0006237562,Citadel Advisors LLC,archive
Fugro N.V.,2026-02-11,0.5,NL00150003E1,Citadel Advisors LLC,archive
Alfen N.V.,2026-02-11,1.57,NL0012817175,"D. E. Shaw & Co., L.P.",archive
IMCD N.V.,2026-02-11,0.43,NL0010801007,Millennium Capital (DIFC) Limited,archive
Fugro N.V.,2026-02-11,0.88,NL00150003E1,Millennium International Management LP,archive
IMCD N.V.,2026-02-11,1.12,NL0010801007,Millennium International Management LP,archive
Pharming Group N.V.,2026-02-11,0.7,NL0010391025,Qube Research & Technologies Ltd.,archive
Akzo Nobel N.V.,2026-02-11,0.86,NL0013267909,UBS Asset Management (Americas) LLC,archive
Alfen N.V.,2026-02-11,1.39,NL0012817175,Voleon Capital Management LP,archive
InPost S.A.,2026-02-10,0.31,LU2290522684,"Arrowstreet Capital, Limited Partnership",archive
InPost S.A.,2026-02-10,0.33,LU2290522684,Capital Fund Management S.A.,archive
Signify N.V.,2026-02-10,0.56,NL0011821392,Citadel Securities (Europe) Limited,archive
PostNL N.V.,2026-02-10,0.79,NL0009739416,"D. E. Shaw & Co., L.P.",archive
Akzo Nobel N.V.,2026-02-10,0.57,NL0013267909,Marshall Wace LLP,archive
IMCD N.V.,2026-02-10,1.04,NL0010801007,Millennium International Management LP,archive
Theon International Plc,2026-02-10,0.5,CY0200751713,Qube Research & Technologies Ltd.,archive
ARCADIS N.V.,2026-02-10,1.09,NL0006237562,Squarepoint Ops LLC,archive
IMCD N.V.,2026-02-10,0.51,NL0010801007,Squarepoint Ops LLC,archive
Alfen N.V.,2026-02-10,1.41,NL0012817175,Voleon Capital Management LP,archive
Avantium N.V.,2026-02-10,2.16,NL0015002IE0,Voleon Capital Management LP,archive
Aalberts N.V.,2026-02-09,0.48,NL0000852564,"BlackRock Advisors, LLC",archive
Signify N.V.,2026-02-09,0.7,NL0011821392,"BlackRock Financial Management, Inc.",archive
Pharming Group N.V.,2026-02-09,1.01,NL0010391025,Capital Fund Management S.A.,archive
The Magnum Ice Cream Company N.V.,2026-02-09,0.45,NL0015002MS2,Citadel Advisors Europe Limited,archive
IMCD N.V.,2026-02-09,0.69,NL0010801007,Marshall Wace LLP,archive
InPost S.A.,2026-02-09,0.05,LU2290522684,Marshall Wace LLP,archive
Avantium N.V.,2026-02-09,2.26,NL0015002IE0,Voleon Capital Management LP,archive
Akzo Nobel N.V.,2026-02-06,0.49,NL0013267909,"BlackRock Advisors, LLC",archive
Randstad N.V.,2026-02-06,0.58,NL0000379121,"BlackRock Advisors, LLC",archive
Pharming Group N.V.,2026-02-06,0.95,NL0010391025,Capital Fund Management S.A.,archive
The Magnum Ice Cream Company N.V.,2026-02-06,0.59,NL0015002MS2,Citadel Advisors Europe Limited,archive
PostNL N.V.,2026-02-06,0.59,NL0009739416,Citadel Advisors LLC,archive
Pharming Group N.V.,2026-02-06,0.6,NL0010391025,"D. E. Shaw & Co., L.P.",archive
Basic-Fit N.V.,2026-02-06,1.59,NL0011872650,JPMorgan Asset Management (UK) Ltd.,archive
IMCD N.V.,2026-02-06,0.91,NL0010801007,Millennium International Management LP,archive
ArcelorMittal S.A.,2026-02-06,0.49,LU1598757687,"Two Sigma Investments, LP",archive
Akzo Nobel N.V.,2026-02-05,0.5,NL0013267909,"BlackRock Advisors, LLC",archive
Aperam S.A.,2026-02-05,0.5,LU0569974404,Capital Fund Management S.A.,archive
Pharming Group N.V.,2026-02-05,0.84,NL0010391025,Capital Fund Management S.A.,archive
Signify N.V.,2026-02-05,0.93,NL0011821392,Citadel Advisors Europe Limited,archive
The Magnum Ice Cream Company N.V.,2026-02-05,0.65,NL0015002MS2,Citadel Advisors Europe Limited,archive
Signify N.V.,2026-02-05,0.62,NL0011821392,Citadel Securities (Europe) Limited,archive
Pharming Group N.V.,2026-02-05,0.61,NL0010391025,Qube Research & Technologies Ltd.,archive
Akzo Nobel N.V.,2026-02-05,0.7,NL0013267909,UBS Asset Management (Americas) LLC,archive
