position_holder,isin,net_short_position,issuer_name,position_date,source
Qube Research & Technologies Ltd.,NL0012817175,2.17,Alfen N.V.,2024-07-26,archive
Qube Research & Technologies Ltd.,BMG3602E1084,1.22,Flow Traders Ltd.,2024-07-26,archive
Voleon Capital Management LP,NL0011872650,0.46,Basic-Fit N.V.,2024-07-26,archive
BlackRock Investment Management (UK) Limited,NL0011872650,1.87,Basic-Fit N.V.,2024-07-25,archive
Citadel Securities (Europe) Limited,NL0012817175,0.52,Alfen N.V.,2024-07-25,archive
Citadel Securities (Europe) Limited,NL0015000CZ2,0.51,Ebusco Holding N.V.,2024-07-25,archive
"Connor, Clark & Lunn Investment Management Ltd.",NL0012817175,1.0,Alfen N.V.,2024-07-25,archive
Marshall Wace LLP,NL0000888691,2.09,AMG Critical Materials N.V.,2024-07-25,archive
"AQR Capital Management, LLC",NL0010801007,0.5,IMCD N.V.,2024-07-24,archive
"Arrowstreet Capital, Limited Partnership",NL0012817175,1.64,Alfen N.V.,2024-07-24,archive
"Arrowstreet Capital, Limited Partnership",NL0010558797,0.6,OCI N.V.,2024-07-24,archive
"BlackRock Advisors, LLC",NL0012817175,1.01,Alfen N.V.,2024-07-24,archive
Citadel Advisors LLC,NL0012817175,1.52,Alfen N.V.,2024-07-24,archive
Citadel Securities (Europe) Limited,NL0012817175,0.69,Alfen N.V.,2024-07-24,archive
Marshall Wace LLP,NL0000888691,2.16,AMG Critical Materials N.V.,2024-07-24,archive
Marshall Wace LLP,NL0000009082,0.53,Koninklijke KPN N.V.,2024-07-24,archive
Marshall Wace LLP,NL0013332471,0.99,TomTom N.V.,2024-07-24,archive
Millennium Capital Partners LLP,NL0012817175,1.44,Alfen N.V.,2024-07-24,archive
Voleon Capital Management LP,NL00150002Q7,1.11,Vivoryon Therapeutics N.V.,2024-07-24,archive
"Arrowstreet Capital, Limited Partnership",NL0012817175,1.55,Alfen N.V.,2024-07-23,archive
BlackRock Investment Management (UK) Limited,NL0011872650,1.93,Basic-Fit N.V.,2024-07-23,archive
Citadel Advisors LLC,NL0012817175,1.61,Alfen N.V.,2024-07-23,archive
GSA Capital Partners LLP,NL0009739416,0.6,PostNL N.V.,2024-07-23,archive
Millennium Capital Partners LLP,NL0012817175,1.33,Alfen N.V.,2024-07-23,archive
Millennium International Management LP,NL0012817175,2.16,Alfen N.V.,2024-07-23,archive
ShadowFall Capital & Research LLP,NL0011872650,0.42,Basic-Fit N.V.,2024-07-23,archive
Citadel Advisors LLC,NL0012817175,1.56,Alfen N.V.,2024-07-22,archive
Citadel Securities (Europe) Limited,NL00150002Q7,0.2,Vivoryon Therapeutics N.V.,2024-07-22,archive
Marshall Wace LLP,NL0009739416,0.99,PostNL N.V.,2024-07-22,archive
Millennium Capital Partners LLP,NL0012817175,1.24,Alfen N.V.,2024-07-22,archive
"PDT Partners, LLC",NL0012817175,0.91,Alfen N.V.,2024-07-22,archive
Qube Research & Technologies Ltd.,NL0009739416,0.99,PostNL N.V.,2024-07-22,archive
Canada Pension Plan Investment Board,NL0012866412,0.6,BE Semiconductor Industries N.V.,2024-07-19,archive
Capital Fund Management S.A.,NL0000888691,0.73,AMG Critical Materials N.V.,2024-07-19,archive
Citadel Advisors LLC,NL0013332471,0.48,TomTom N.V.,2024-07-19,archive
Citadel Securities (Europe) Limited,NL0012817175,0.73,Alfen N.V.,2024-07-19,archive
Citadel Securities (Europe) Limited,NL0013332471,0.49,TomTom N.V.,2024-07-19,archive
Marshall Wace LLP,NL0000888691,2.2,AMG Critical Materials N.V.,2024-07-19,archive
Millennium International Management LP,NL0010391025,1.61,Pharming Group N.V.,2024-07-19,archive
Qube Research & Technologies Ltd.,NL0000888691,1.5,AMG Critical Materials N.V.,2024-07-19,archive
Voleon Capital Management LP,NL00150002Q7,1.0,Vivoryon Therapeutics N.V.,2024-07-19,archive
BlackRock Investment Management (UK) Limited,NL0011872650,2.06,Basic-Fit N.V.,2024-07-18,archive
Canada Pension Plan Investment Board,NL0012866412,0.51,BE Semiconductor Industries N.V.,2024-07-18,archive
Citadel Advisors LLC,NL0012817175,1.62,Alfen N.V.,2024-07-18,archive
Citadel Securities (Europe) Limited,NL00150002Q7,0.6,Vivoryon Therapeutics N.V.,2024-07-18,archive
GSA Capital Partners LLP,NL0009739416,0.59,PostNL N.V.,2024-07-18,archive
Marshall Wace LLP,NL0013332471,1.09,TomTom N.V.,2024-07-18,archive
Millennium Capital Partners LLP,NL0012817175,1.12,Alfen N.V.,2024-07-18,archive
Millennium International Management LP,NL0010391025,1.59,Pharming Group N.V.,2024-07-18,archive
"PDT Partners, LLC",NL0012817175,0.86,Alfen N.V.,2024-07-18,archive
Qube Research & Technologies Ltd.,NL0012817175,2.23,Alfen N.V.,2024-07-18,archive
"AQR Capital Management, LLC",NL0010801007,0.49,IMCD N.V.,2024-07-17,archive
Citadel Advisors LLC,NL0012817175,1.51,Alfen N.V.,2024-07-17,archive
Citadel Advisors LLC,LU1598757687,0.44,ArcelorMittal S.A.,2024-07-17,archive
Citadel Securities (Europe) Limited,NL0012817175,0.63,Alfen N.V.,2024-07-17,archive
Citadel Securities (Europe) Limited,NL0013332471,0.5,TomTom N.V.,2024-07-17,archive
Marshall Wace LLP,NL0000888691,2.11,AMG Critical Materials N.V.,2024-07-17,archive
Marshall Wace LLP,NL0000009538,0.7,Koninklijke Philips N.V.,2024-07-17,archive
Millennium Capital Partners LLP,NL0012817175,1.03,Alfen N.V.,2024-07-17,archive
Millennium International Management LP,NL0010801007,0.48,IMCD N.V.,2024-07-17,archive
Qube Research & Technologies Ltd.,NL0012817175,2.17,Alfen N.V.,2024-07-17,archive
Qube Research & Technologies Ltd.,NL0009739416,1.09,PostNL N.V.,2024-07-17,archive
Walleye Capital LLC,NL0012817175,0.46,Alfen N.V.,2024-07-17,archive
Whitebox Advisors LLC,NL0012747059,0.97,CM.com N.V.,2024-07-17,archive
Citadel Advisors LLC,NL0012817175,1.64,Alfen N.V.,2024-07-16,archive
Citadel Securities (Europe) Limited,NL00150002Q7,0.77,Vivoryon Therapeutics N.V.,2024-07-16,archive
"D. E. Shaw & Co., L.P.",NL0000888691,0.92,AMG Critical Materials N.V.,2024-07-16,archive
Marshall Wace LLP,NL0009739416,1.09,PostNL N.V.,2024-07-16,archive
"Point72 Europe (London), LLP",NL0011821392,0.45,Signify N.V.,2024-07-16,archive
Qube Research & Technologies Ltd.,NL0012817175,2.23,Alfen N.V.,2024-07-16,archive
Qube Research & Technologies Ltd.,NL0000888691,1.41,AMG Critical Materials N.V.,2024-07-16,archive
Qube Research & Technologies Ltd.,NL0011872650,0.81,Basic-Fit N.V.,2024-07-16,archive
Voleon Capital Management LP,NL00150002Q7,0.92,Vivoryon Therapeutics N.V.,2024-07-16,archive
Walleye Capital LLC,NL0012817175,0.51,Alfen N.V.,2024-07-16,archive
BlackRock Investment Management (UK) Limited,NL0011821392,1.03,Signify N.V.,2024-07-15,archive
Capital Fund Management S.A.,NL0000888691,0.62,AMG Critical Materials N.V.,2024-07-15,archive
Citadel Advisors LLC,NL0012817175,1.55,Alfen N.V.,2024-07-15,archive
Citadel Advisors LLC,LU1598757687,0.53,ArcelorMittal S.A.,2024-07-15,archive
Citadel Advisors LLC,NL0013332471,0.52,TomTom N.V.,2024-07-15,archive
Citadel Securities (Europe) Limited,NL0012817175,0.54,Alfen N.V.,2024-07-15,archive
"Cubist Systematic Strategies, LLC",NL0012817175,0.49,Alfen N.V.,2024-07-15,archive
Millennium International Management LP,NL0010801007,0.58,IMCD N.V.,2024-07-15,archive
Millennium International Management LP,NL0010391025,1.67,Pharming Group N.V.,2024-07-15,archive
"PDT Partners, LLC",NL0012817175,0.93,Alfen N.V.,2024-07-15,archive
"Point72 Europe (London), LLP",NL0011821392,0.53,Signify N.V.,2024-07-15,archive
Qube Research & Technologies Ltd.,NL0012817175,2.14,Alfen N.V.,2024-07-15,archive
Qube Research & Technologies Ltd.,NL0000888691,1.37,AMG Critical Materials N.V.,2024-07-15,archive
SIH Partners LLLP,NL0000888691,0.5,AMG Critical Materials N.V.,2024-07-15,archive
Voleon Capital Management LP,NL00150002Q7,0.83,Vivoryon Therapeutics N.V.,2024-07-15,archive
Walleye Capital LLC,NL0012817175,0.49,Alfen N.V.,2024-07-15,archive
BlackRock Investment Management (UK) Limited,NL0011821392,0.96,Signify N.V.,2024-07-12,archive
Citadel Securities (Europe) Limited,NL00150002Q7,0.51,Vivoryon Therapeutics N.V.,2024-07-12,archive
GSA Capital Partners LLP,NL0009739416,0.6,PostNL N.V.,2024-07-12,archive
Millennium Capital Partners LLP,NL0012817175,0.92,Alfen N.V.,2024-07-12,archive
Voleon Capital Management LP,NL00150002Q7,0.74,Vivoryon Therapeutics N.V.,2024-07-12,archive
Capital Fund Management S.A.,NL0000888691,0.58,AMG Critical Materials N.V.,2024-07-11,archive
Citadel Advisors LLC,LU1598757687,0.64,ArcelorMittal S.A.,2024-07-11,archive
Citadel Advisors LLC,NL0009432491,0.48,Koninklijke Vopak N.V.,2024-07-11,archive
Marshall Wace LLP,NL0000888691,2.0,AMG Critical Materials N.V.,2024-07-11,archive
Marshall Wace LLP,NL0000009538,0.6,Koninklijke Philips N.V.,2024-07-11,archive
Millennium International Management LP,NL0012817175,2.01,Alfen N.V.,2024-07-11,archive
Millennium International Management LP,NL0013332471,0.52,TomTom N.V.,2024-07-11,archive
Qube Research & Technologies Ltd.,NL0012817175,2.07,Alfen N.V.,2024-07-11,archive
Qube Research & Technologies Ltd.,BMG3602E1084,0.89,Flow Traders Ltd.,2024-07-11,archive
Walleye Capital LLC,NL0012817175,0.52,Alfen N.V.,2024-07-11,archive
Citadel Securities (Europe) Limited,NL0012817175,0.46,Alfen N.V.,2024-07-10,archive
"D. E. Shaw & Co., L.P.",NL0000888691,0.87,AMG Critical Materials N.V.,2024-07-10,archive
Millennium International Management LP,NL0012817175,1.92,Alfen N.V.,2024-07-10,archive
Qube Research & Technologies Ltd.,NL0012817175,2.15,Alfen N.V.,2024-07-10,archive
Capital Fund Management S.A.,NL0000888691,0.6,AMG Critical Materials N.V.,2024-07-09,archive
Citadel Advisors LLC,NL0012817175,1.46,Alfen N.V.,2024-07-09,archive
"D. E. Shaw & Co., L.P.",NL0000888691,0.9,AMG Critical Materials N.V.,2024-07-09,archive
Millennium International Management LP,NL0012817175,1.88,Alfen N.V.,2024-07-09,archive
Qube Research & Technologies Ltd.,BMG3602E1084,0.91,Flow Traders Ltd.,2024-07-09,archive
Walleye Capital LLC,NL0012817175,0.65,Alfen N.V.,2024-07-09,archive
Citadel Securities (Europe) Limited,NL0012817175,0.52,Alfen N.V.,2024-07-08,archive
"Connor, Clark & Lunn Investment Management Ltd.",NL0012817175,0.91,Alfen N.V.,2024-07-08,archive
Millennium Capital Partners LLP,NL0012817175,1.05,Alfen N.V.,2024-07-08,archive
Millennium International Management LP,NL0010391025,1.79,Pharming Group N.V.,2024-07-08,archive
"PDT Partners, LLC",NL0012817175,0.81,Alfen N.V.,2024-07-08,archive
Qube Research & Technologies Ltd.,NL0010558797,0.51,OCI N.V.,2024-07-08,archive
Citadel Advisors LLC,NL0012817175,1.32,Alfen N.V.,2024-07-05,archive
"Cubist Systematic Strategies, LLC",NL0012817175,0.51,Alfen N.V.,2024-07-05,archive
Qube Research & Technologies Ltd.,NL0000888691,1.27,AMG Critical Materials N.V.,2024-07-05,archive
Qube Research & Technologies Ltd.,BMG3602E1084,0.89,Flow Traders Ltd.,2024-07-05,archive
Qube Research & Technologies Ltd.,NL0009739416,1.16,PostNL N.V.,2024-07-05,archive
Walleye Capital LLC,NL0012817175,0.72,Alfen N.V.,2024-07-05,archive
Citadel Advisors LLC,NL0012817175,1.24,Alfen N.V.,2024-07-04,archive
"Cubist Systematic Strategies, LLC",NL0012817175,0.48,Alfen N.V.,2024-07-04,archive
Marshall Wace LLP,NL0000888691,1.9,AMG Critical Materials N.V.,2024-07-04,archive
Marshall Wace LLP,NL0009739416,1.12,PostNL N.V.,2024-07-04,archive
Qube Research & Technologies Ltd.,NL0012817175,2.23,Alfen N.V.,2024-07-04,archive
Qube Research & Technologies Ltd.,NL0009739416,1.2,PostNL N.V.,2024-07-04,archive
Capital Fund Management S.A.,NL0000888691,0.55,AMG Critical Materials N.V.,2024-07-03,archive
Citadel Securities (Europe) Limited,NL0012817175,0.36,Alfen N.V.,2024-07-03,archive
"Connor, Clark & Lunn Investment Management Ltd.",NL0012817175,0.82,Alfen N.V.,2024-07-03,archive
"D. E. Shaw & Co., L.P.",NL0000888691,0.89,AMG Critical Materials N.V.,2024-07-03,archive
JPMorgan Asset Management (UK) Ltd.,NL0012817175,0.35,Alfen N.V.,2024-07-03,archive
Millennium Capital Partners LLP,NL0012817175,0.95,Alfen N.V.,2024-07-03,archive
Millennium International Management LP,NL0012817175,1.9,Alfen N.V.,2024-07-03,archive
Qube Research & Technologies Ltd.,NL0000888691,1.16,AMG Critical Materials N.V.,2024-07-03,archive
Qube Research & Technologies Ltd.,NL0009739416,1.12,PostNL N.V.,2024-07-03,archive
Voleon Capital Management LP,NL0012817175,0.48,Alfen N.V.,2024-07-03,archive
Walleye Capital LLC,NL0012817175,0.65,Alfen N.V.,2024-07-03,archive
"AQR Capital Management, LLC",NL0011872643,0.5,ASR Nederland N.V.,2024-07-02,archive
"BlackRock Financial Management, Inc.",NL0012817175,0.51,Alfen N.V.,2024-07-02,archive
Capital Fund Management S.A.,NL0000888691,0.6,AMG Critical Materials N.V.,2024-07-02,archive
Citadel Advisors LLC,NL0012817175,0.77,Alfen N.V.,2024-07-02,archive
Citadel Securities (Europe) Limited,NL0012817175,0.55,Alfen N.V.,2024-07-02,archive
"Connor, Clark & Lunn Investment Management Ltd.",NL0012817175,0.75,Alfen N.V.,2024-07-02,archive
JPMorgan Asset Management (UK) Ltd.,NL0012817175,0.68,Alfen N.V.,2024-07-02,archive
Qube Research & Technologies Ltd.,NL0012817175,1.99,Alfen N.V.,2024-07-02,archive
Qube Research & Technologies Ltd.,NL0000888691,1.2,AMG Critical Materials N.V.,2024-07-02,archive
Voleon Capital Management LP,NL00150002Q7,0.61,Vivoryon Therapeutics N.V.,2024-07-02,archive
Citadel Advisors LLC,NL0012817175,1.02,Alfen N.V.,2024-07-01,archive
"Connor, Clark & Lunn Investment Management Ltd.",NL0012817175,0.66,Alfen N.V.,2024-07-01,archive
Marshall Wace LLP,NL0000888691,1.81,AMG Critical Materials N.V.,2024-07-01,archive
Millennium Capital Partners LLP,NL0012817175,1.03,Alfen N.V.,2024-07-01,archive
Millennium International Management LP,NL0012817175,1.86,Alfen N.V.,2024-07-01,archive
Millennium International Management LP,NL0010391025,1.82,Pharming Group N.V.,2024-07-01,archive
Qube Research & Technologies Ltd.,NL0012817175,2.01,Alfen N.V.,2024-07-01,archive
Qube Research & Technologies Ltd.,NL0000888691,1.16,AMG Critical Materials N.V.,2024-07-01,archive
Systematica Investments Limited,NL0012817175,0.49,Alfen N.V.,2024-07-01,archive
"AQR Capital Management, LLC",NL0010801007,0.58,IMCD N.V.,2024-06-28,archive
Capital Fund Management S.A.,NL0000888691,0.59,AMG Critical Materials N.V.,2024-06-28,archive
"Cubist Systematic Strategies, LLC",NL0012817175,0.51,Alfen N.V.,2024-06-28,archive
"D. E. Shaw & Co., L.P.",NL0012817175,0.46,Alfen N.V.,2024-06-28,archive
Greenvale Capital LLP,NL0000009538,0.47,Koninklijke Philips N.V.,2024-06-28,archive
GSA Capital Partners LLP,NL0009739416,0.5,PostNL N.V.,2024-06-28,archive
Marshall Wace LLP,NL0009739416,1.01,PostNL N.V.,2024-06-28,archive
Millennium International Management LP,NL0012817175,2.03,Alfen N.V.,2024-06-28,archive
Millennium International Management LP,NL0010391025,1.72,Pharming Group N.V.,2024-06-28,archive
Qube Research & Technologies Ltd.,NL0012817175,2.22,Alfen N.V.,2024-06-28,archive
Qube Research & Technologies Ltd.,NL0011872650,0.7,Basic-Fit N.V.,2024-06-28,archive
Voleon Capital Management LP,NL0012817175,0.56,Alfen N.V.,2024-06-28,archive
Voleon Capital Management LP,NL00150002Q7,0.57,Vivoryon Therapeutics N.V.,2024-06-28,archive
BlackRock Investment Management (UK) Limited,NL0011872650,2.19,Basic-Fit N.V.,2024-06-27,archive
Capital Fund Management S.A.,NL0000888691,0.6,AMG Critical Materials N.V.,2024-06-27,archive
Citadel Advisors LLC,NL0012817175,1.27,Alfen N.V.,2024-06-27,archive
Citadel Advisors LLC,NL0009432491,0.5,Koninklijke Vopak N.V.,2024-06-27,archive
Citadel Securities (Europe) Limited,NL0012817175,0.84,Alfen N.V.,2024-06-27,archive
"Connor, Clark & Lunn Investment Management Ltd.",NL0012817175,0.56,Alfen N.V.,2024-06-27,archive
"D. E. Shaw & Co., L.P.",NL0012817175,0.5,Alfen N.V.,2024-06-27,archive
"D. E. Shaw & Co., L.P.",NL0000888691,0.96,AMG Critical Materials N.V.,2024-06-27,archive
Franklin Templeton Investment Management Limited,NL0013332471,0.63,TomTom N.V.,2024-06-27,archive
Millennium International Management LP,NL0012817175,2.13,Alfen N.V.,2024-06-27,archive
Millennium International Management LP,NL0010801007,0.6,IMCD N.V.,2024-06-27,archive
"PDT Partners, LLC",NL0012817175,0.75,Alfen N.V.,2024-06-27,archive
"Point72 Europe (London), LLP",NL0011821392,0.63,Signify N.V.,2024-06-27,archive
Qube Research & Technologies Ltd.,NL0012817175,2.63,Alfen N.V.,2024-06-27,archive
Qube Research & Technologies Ltd.,NL0015000CZ2,0.47,Ebusco Holding N.V.,2024-06-27,archive
Qube Research & Technologies Ltd.,NL0010558797,0.49,OCI N.V.,2024-06-27,archive
Qube Research & Technologies Ltd.,NL0009739416,0.92,PostNL N.V.,2024-06-27,archive
BlackRock Investment Management (UK) Limited,NL0011872650,2.21,Basic-Fit N.V.,2024-06-26,archive
Citadel Advisors LLC,NL0012817175,1.7,Alfen N.V.,2024-06-26,archive
Citadel Advisors LLC,LU1598757687,0.54,ArcelorMittal S.A.,2024-06-26,archive
"D. E. Shaw & Co., L.P.",NL0000888691,0.89,AMG Critical Materials N.V.,2024-06-26,archive
Marshall Wace LLP,NL0012817175,0.0,Alfen N.V.,2024-06-26,archive
Marshall Wace LLP,NL0000888691,1.71,AMG Critical Materials N.V.,2024-06-26,archive
Marshall Wace LLP,LU1598757687,1.1,ArcelorMittal S.A.,2024-06-26,archive
Millennium Capital Partners LLP,NL0012817175,0.92,Alfen N.V.,2024-06-26,archive
Millennium International Management LP,NL0012817175,2.29,Alfen N.V.,2024-06-26,archive
"PDT Partners, LLC",NL0012817175,1.09,Alfen N.V.,2024-06-26,archive
"Point72 Europe (London), LLP",NL0011821392,0.59,Signify N.V.,2024-06-26,archive
Qube Research & Technologies Ltd.,NL0012817175,3.25,Alfen N.V.,2024-06-26,archive
Qube Research & Technologies Ltd.,NL0000888691,1.23,AMG Critical Materials N.V.,2024-06-26,archive
Qube Research & Technologies Ltd.,NL0015000CZ2,0.51,Ebusco Holding N.V.,2024-06-26,archive
"Arrowstreet Capital, Limited Partnership",BE0003818359,1.49,Galapagos NV,2024-06-25,archive
Citadel Advisors LLC,NL0012817175,0.67,Alfen N.V.,2024-06-25,archive
Citadel Securities (Europe) Limited,NL0010391025,0.49,Pharming Group N.V.,2024-06-25,archive
"D. E. Shaw & Co., L.P.",NL0000888691,0.91,AMG Critical Materials N.V.,2024-06-25,archive
Marshall Wace LLP,LU1598757687,1.09,ArcelorMittal S.A.,2024-06-25,archive
Millennium International Management LP,NL0010391025,1.62,Pharming Group N.V.,2024-06-25,archive
Qube Research & Technologies Ltd.,NL0012817175,2.13,Alfen N.V.,2024-06-25,archive
Qube Research & Technologies Ltd.,NL0015000CZ2,0.61,Ebusco Holding N.V.,2024-06-25,archive
"D. E. Shaw & Co., L.P.",NL0000888691,0.89,AMG Critical Materials N.V.,2024-06-24,archive
Marshall Wace LLP,NL0011872643,0.48,ASR Nederland N.V.,2024-06-24,archive
Qube Research & Technologies Ltd.,NL0012817175,2.08,Alfen N.V.,2024-06-24,archive
Qube Research & Technologies Ltd.,NL0011872650,0.69,Basic-Fit N.V.,2024-06-24,archive
Qube Research & Technologies Ltd.,NL0009739416,0.81,PostNL N.V.,2024-06-24,archive
Balyasny Asset Management (UK) LLP,NL00150003E1,0.98,Fugro N.V.,2024-06-21,archive
BlackRock Investment Management (UK) Limited,NL0011872650,2.34,Basic-Fit N.V.,2024-06-21,archive
Millennium Capital Partners LLP,NL0012817175,0.87,Alfen N.V.,2024-06-21,archive
Millennium International Management LP,NL0012817175,1.95,Alfen N.V.,2024-06-21,archive
Millennium International Management LP,NL00150002Q7,0.45,Vivoryon Therapeutics N.V.,2024-06-21,archive
Qube Research & Technologies Ltd.,NL0000888691,1.1,AMG Critical Materials N.V.,2024-06-21,archive
Balyasny Asset Management (UK) LLP,NL00150003E1,0.84,Fugro N.V.,2024-06-20,archive
Citadel Advisors LLC,NL0012817175,0.76,Alfen N.V.,2024-06-20,archive
Marshall Wace LLP,NL0000888691,1.62,AMG Critical Materials N.V.,2024-06-20,archive
Millennium Capital Partners LLP,NL0012817175,0.9,Alfen N.V.,2024-06-20,archive
Qube Research & Technologies Ltd.,NL0000888691,1.01,AMG Critical Materials N.V.,2024-06-20,archive
"BlackRock Advisors, LLC",NL0000888691,0.69,AMG Critical Materials N.V.,2024-06-19,archive
Marshall Wace LLP,LU1598757687,1.1,ArcelorMittal S.A.,2024-06-19,archive
Millennium International Management LP,NL0012817175,1.8,Alfen N.V.,2024-06-19,archive
Millennium International Management LP,NL00150002Q7,0.51,Vivoryon Therapeutics N.V.,2024-06-19,archive
AKO Capital LLP,NL0011821392,1.18,Signify N.V.,2024-06-18,archive
BlackRock Investment Management (UK) Limited,NL0011872650,2.59,Basic-Fit N.V.,2024-06-18,archive
Citadel Advisors LLC,NL0012817175,0.88,Alfen N.V.,2024-06-18,archive
Greenvale Capital LLP,NL0000009538,0.5,Koninklijke Philips N.V.,2024-06-18,archive
Marshall Wace LLP,NL0012817175,0.68,Alfen N.V.,2024-06-18,archive
Marshall Wace LLP,NL0000888691,1.58,AMG Critical Materials N.V.,2024-06-18,archive
Qube Research & Technologies Ltd.,NL0012817175,2.19,Alfen N.V.,2024-06-18,archive
Qube Research & Technologies Ltd.,NL0000888691,0.93,AMG Critical Materials N.V.,2024-06-18,archive
SIH Partners LLLP,NL0000888691,0.49,AMG Critical Materials N.V.,2024-06-18,archive
Wellington Management International Ltd.,NL0011872650,0.6,Basic-Fit N.V.,2024-06-18,archive
AKO Capital LLP,NL0011821392,1.2,Signify N.V.,2024-06-17,archive
"BlackRock Advisors, LLC",NL0000888691,0.7,AMG Critical Materials N.V.,2024-06-17,archive
Citadel Advisors LLC,NL0012817175,0.96,Alfen N.V.,2024-06-17,archive
Marshall Wace LLP,NL0000395903,0.46,Wolters Kluwer N.V.,2024-06-17,archive
Millennium International Management LP,NL0012817175,1.71,Alfen N.V.,2024-06-17,archive
Millennium International Management LP,NL00150002Q7,0.61,Vivoryon Therapeutics N.V.,2024-06-17,archive
Qube Research & Technologies Ltd.,NL0000888691,0.81,AMG Critical Materials N.V.,2024-06-17,archive
Qube Research & Technologies Ltd.,BMG3602E1084,0.98,Flow Traders Ltd.,2024-06-17,archive
Qube Research & Technologies Ltd.,NL0009739416,0.73,PostNL N.V.,2024-06-17,archive
Voleon Capital Management LP,NL0012817175,0.69,Alfen N.V.,2024-06-17,archive
BlackRock Investment Management (UK) Limited,NL0011872650,2.64,Basic-Fit N.V.,2024-06-14,archive
Citadel Advisors LLC,NL0012817175,1.02,Alfen N.V.,2024-06-14,archive
"D. E. Shaw & Co., L.P.",NL0000888691,0.9,AMG Critical Materials N.V.,2024-06-14,archive
Marshall Wace LLP,NL0000395903,0.5,Wolters Kluwer N.V.,2024-06-14,archive
Millennium Capital Partners LLP,NL0012817175,0.8,Alfen N.V.,2024-06-14,archive
Millennium International Management LP,NL0010391025,1.52,Pharming Group N.V.,2024-06-14,archive
Qube Research & Technologies Ltd.,NL0000888691,0.67,AMG Critical Materials N.V.,2024-06-14,archive
Qube Research & Technologies Ltd.,NL0011872650,0.7,Basic-Fit N.V.,2024-06-14,archive
Balyasny Asset Management (UK) LLP,NL00150003E1,0.7,Fugro N.V.,2024-06-13,archive
Capital Fund Management S.A.,NL0000888691,0.52,AMG Critical Materials N.V.,2024-06-13,archive
Marshall Wace LLP,NL0011872643,0.5,ASR Nederland N.V.,2024-06-13,archive
Marshall Wace LLP,NL0000009538,0.5,Koninklijke Philips N.V.,2024-06-13,archive
Marshall Wace LLP,NL0009739416,0.91,PostNL N.V.,2024-06-13,archive
Millennium Capital Partners LLP,NL0012817175,0.73,Alfen N.V.,2024-06-13,archive
"PDT Partners, LLC",NL0012817175,1.2,Alfen N.V.,2024-06-13,archive
Qube Research & Technologies Ltd.,NL0012817175,2.2,Alfen N.V.,2024-06-13,archive
Qube Research & Technologies Ltd.,NL0000888691,0.54,AMG Critical Materials N.V.,2024-06-13,archive
Voleon Capital Management LP,NL0012817175,0.7,Alfen N.V.,2024-06-13,archive
Capital Fund Management S.A.,NL0000888691,0.48,AMG Critical Materials N.V.,2024-06-12,archive
Marshall Wace LLP,NL0011872643,0.49,ASR Nederland N.V.,2024-06-12,archive
Marshall Wace LLP,NL0000302636,0.49,Van Lanschot Kempen N.V.,2024-06-12,archive
Marshall Wace LLP,NL0000395903,0.49,Wolters Kluwer N.V.,2024-06-12,archive
Millennium International Management LP,NL0012817175,1.61,Alfen N.V.,2024-06-12,archive
Millennium International Management LP,NL00150002Q7,0.79,Vivoryon Therapeutics N.V.,2024-06-12,archive
Qube Research & Technologies Ltd.,NL0009739416,0.61,PostNL N.V.,2024-06-12,archive
Capital Fund Management S.A.,NL0000888691,0.51,AMG Critical Materials N.V.,2024-06-11,archive
Marshall Wace LLP,NL0012817175,0.79,Alfen N.V.,2024-06-11,archive
Marshall Wace LLP,NL0009739416,0.89,PostNL N.V.,2024-06-11,archive
Qube Research & Technologies Ltd.,NL0012817175,2.13,Alfen N.V.,2024-06-11,archive
"WorldQuant, LLC",NL0012817175,0.46,Alfen N.V.,2024-06-11,archive
Marshall Wace LLP,NL0009739416,0.9,PostNL N.V.,2024-06-10,archive
Millennium International Management LP,NL0010391025,1.42,Pharming Group N.V.,2024-06-10,archive
Millennium International Management LP,NL00150002Q7,0.84,Vivoryon Therapeutics N.V.,2024-06-10,archive
Qube Research & Technologies Ltd.,NL0009739416,0.55,PostNL N.V.,2024-06-10,archive
Voleon Capital Management LP,NL0012817175,0.68,Alfen N.V.,2024-06-10,archive
"Arrowstreet Capital, Limited Partnership",NL0011872650,0.6,Basic-Fit N.V.,2024-06-07,archive
Millennium Capital Partners LLP,NL0012817175,0.61,Alfen N.V.,2024-06-07,archive
Marshall Wace LLP,NL0000009538,0.49,Koninklijke Philips N.V.,2024-06-06,archive
Millennium International Management LP,NL00150002Q7,0.93,Vivoryon Therapeutics N.V.,2024-06-06,archive
Qube Research & Technologies Ltd.,NL0009739416,0.61,PostNL N.V.,2024-06-06,archive
SIH Partners LLLP,NL0000888691,0.5,AMG Critical Materials N.V.,2024-06-06,archive
Walleye Capital LLC,NL0012817175,0.5,Alfen N.V.,2024-06-06,archive
"AQR Capital Management, LLC",NL0000360618,0.51,SBM Offshore N.V.,2024-06-05,archive
"BlackRock Advisors, LLC",NL0012817175,0.9,Alfen N.V.,2024-06-05,archive
Citadel Advisors LLC,NL0012817175,0.98,Alfen N.V.,2024-06-05,archive
Citadel Advisors LLC,NL0010391025,0.48,Pharming Group N.V.,2024-06-05,archive
Marshall Wace LLP,NL0000888691,1.61,AMG Critical Materials N.V.,2024-06-05,archive
Millennium International Management LP,NL0010391025,1.38,Pharming Group N.V.,2024-06-05,archive
