isin,position_date,position_holder,net_short_position,issuer_name,source
NL0010391025,2026-02-05,Capital Fund Management S.A.,0.84,Pharming Group N.V.,archive
NL0015002MS2,2026-02-05,Citadel Advisors Europe Limited,0.65,The Magnum Ice Cream Company N.V.,archive
NL0011821392,2026-02-05,Citadel Securities (Europe) Limited,0.62,Signify N.V.,archive
NL0010391025,2026-02-05,Qube Research & Technologies Ltd.,0.61,Pharming Group N.V.,archive
NL0013267909,2026-02-05,UBS Asset Management (Americas) LLC,0.7,Akzo Nobel N.V.,archive
BE0003818359,2026-02-04,"Arrowstreet Capital, Limited Partnership",1.19,Galapagos NV,archive
NL0012866412,2026-02-04,Canada Pension Plan Investment Board,0.73,BE Semiconductor Industries N.V.,archive
LU0569974404,2026-02-04,Capital Fund Management S.A.,0.48,Aperam S.A.,archive
NL0011821392,2026-02-04,Citadel Securities (Europe) Limited,0.59,Signify N.V.,archive
NL0010801007,2026-02-04,Marshall Wace LLP,0.76,IMCD N.V.,archive
NL0010801007,2026-02-04,Millennium International Management LP,0.83,IMCD N.V.,archive
NL0010391025,2026-02-04,Qube Research & Technologies Ltd.,0.56,Pharming Group N.V.,archive
NL0015002IE0,2026-02-04,Voleon Capital Management LP,2.38,Avantium N.V.,archive
NL0011821392,2026-02-03,"BlackRock Financial Management, Inc.",0.61,Signify N.V.,archive
LU0569974404,2026-02-03,Capital Fund Management S.A.,0.5,Aperam S.A.,archive
NL0010391025,2026-02-03,Capital Fund Management S.A.,0.79,Pharming Group N.V.,archive
NL0015002MS2,2026-02-03,Citadel Advisors Europe Limited,0.78,The Magnum Ice Cream Company N.V.,archive
NL0013267909,2026-02-03,"Empyrean Capital Overseas Master Fund, Ltd",0.68,Akzo Nobel N.V.,archive
NL0013267909,2026-02-03,Kintbury Capital LLP,0.7,Akzo Nobel N.V.,archive
NL0013267909,2026-02-03,Marshall Wace LLP,0.63,Akzo Nobel N.V.,archive
NL0010801007,2026-02-03,Millennium International Management LP,0.91,IMCD N.V.,archive
NL0010391025,2026-02-03,Millennium International Management LP,0.46,Pharming Group N.V.,archive
NL0011821392,2026-02-02,Citadel Securities (Europe) Limited,0.61,Signify N.V.,archive
NL0011821392,2026-02-02,"D. E. Shaw & Co., L.P.",0.53,Signify N.V.,archive
GB00BNTJ3546,2026-02-02,Millennium International Management LP,0.49,Allfunds Group plc,archive
NL00150003E1,2026-02-02,Millennium International Management LP,0.9,Fugro N.V.,archive
NL0010391025,2026-02-02,Millennium International Management LP,0.68,Pharming Group N.V.,archive
NL0011821392,2026-02-02,"Point72 Asset Management, L.P.",0.48,Signify N.V.,archive
NL0015002IE0,2026-02-02,Voleon Capital Management LP,2.4,Avantium N.V.,archive
NL0015002MS2,2026-01-30,Citadel Advisors Europe Limited,0.8,The Magnum Ice Cream Company N.V.,archive
NL00150003E1,2026-01-30,Citadel Advisors LLC,0.42,Fugro N.V.,archive
NL0011821392,2026-01-30,Citadel Securities (Europe) Limited,0.58,Signify N.V.,archive
NL0013267909,2026-01-30,Marshall Wace LLP,0.83,Akzo Nobel N.V.,archive
NL0000379121,2026-01-30,Marshall Wace LLP,0.49,Randstad N.V.,archive
NL0013332471,2026-01-30,Marshall Wace LLP,0.6,TomTom N.V.,archive
NL0010801007,2026-01-30,Millennium International Management LP,0.82,IMCD N.V.,archive
NL0011821392,2026-01-30,"Point72 Asset Management, L.P.",0.52,Signify N.V.,archive
NL0015002MS2,2026-01-30,Qube Research & Technologies Ltd.,0.92,The Magnum Ice Cream Company N.V.,archive
NL0013267909,2026-01-30,UBS Asset Management (Americas) LLC,0.6,Akzo Nobel N.V.,archive
NL0013267909,2026-01-29,"AQR Capital Management, LLC",0.69,Akzo Nobel N.V.,archive
NL0013267909,2026-01-29,Marshall Wace LLP,0.79,Akzo Nobel N.V.,archive
GB00BNTJ3546,2026-01-29,Millennium International Management LP,0.5,Allfunds Group plc,archive
NL0000360618,2026-01-28,"AQR Capital Management, LLC",0.49,SBM Offshore N.V.,archive
NL0011872650,2026-01-28,Marchant MC Ltd.,0.48,Basic-Fit N.V.,archive
NL0010801007,2026-01-28,Marshall Wace LLP,0.68,IMCD N.V.,archive
NL00150003E1,2026-01-28,Millennium International Management LP,0.83,Fugro N.V.,archive
NL00150003E1,2026-01-28,"PDT Partners, LLC",0.78,Fugro N.V.,archive
NL0010801007,2026-01-28,Perbak Capital Partners LLP,0.49,IMCD N.V.,archive
NL0011821392,2026-01-28,"Point72 Asset Management, L.P.",0.46,Signify N.V.,archive
NL0000852564,2026-01-27,"BlackRock Advisors, LLC",0.59,Aalberts N.V.,archive
NL0010391025,2026-01-27,Capital Fund Management S.A.,0.81,Pharming Group N.V.,archive
NL00150003E1,2026-01-27,Citadel Advisors LLC,0.57,Fugro N.V.,archive
NL0011872650,2026-01-27,Marchant MC Ltd.,0.52,Basic-Fit N.V.,archive
NL0013267909,2026-01-27,Marshall Wace LLP,0.81,Akzo Nobel N.V.,archive
NL0010801007,2026-01-27,Marshall Wace LLP,0.7,IMCD N.V.,archive
NL0013267909,2026-01-27,UBS Asset Management (Americas) LLC,0.51,Akzo Nobel N.V.,archive
NL00150003E1,2026-01-27,Voleon Capital Management LP,0.5,Fugro N.V.,archive
NL0011872650,2026-01-27,Wellington Management International Ltd.,0.43,Basic-Fit N.V.,archive
NL0010801007,2026-01-26,"AQR Capital Management, LLC",0.49,IMCD N.V.,archive
NL0000379121,2026-01-26,"BlackRock Advisors, LLC",0.6,Randstad N.V.,archive
LU0569974404,2026-01-26,Capital Fund Management S.A.,0.48,Aperam S.A.,archive
NL0010391025,2026-01-26,Capital Fund Management S.A.,0.7,Pharming Group N.V.,archive
NL0006237562,2026-01-26,Citadel Advisors LLC,0.58,ARCADIS N.V.,archive
NL0009739416,2026-01-26,JPMorgan Asset Management (UK) Ltd.,0.37,PostNL N.V.,archive
NL0013267909,2026-01-26,Kintbury Capital LLP,0.5,Akzo Nobel N.V.,archive
NL0010391025,2026-01-26,Millennium International Management LP,0.81,Pharming Group N.V.,archive
NL0011872650,2026-01-26,Wellington Management International Ltd.,0.58,Basic-Fit N.V.,archive
NL0000888691,2026-01-23,Actus Ray Partners Limited,0.49,AMG Critical Materials N.V.,archive
NL0010801007,2026-01-23,Marshall Wace LLP,0.69,IMCD N.V.,archive
NL0013332471,2026-01-23,Marshall Wace LLP,0.5,TomTom N.V.,archive
NL0015002MS2,2026-01-23,Qube Research & Technologies Ltd.,0.84,The Magnum Ice Cream Company N.V.,archive
NL0015002IE0,2026-01-23,Voleon Capital Management LP,2.34,Avantium N.V.,archive
NL0012866412,2026-01-22,Canada Pension Plan Investment Board,0.89,BE Semiconductor Industries N.V.,archive
LU0569974404,2026-01-22,Capital Fund Management S.A.,0.5,Aperam S.A.,archive
NL0010391025,2026-01-22,Capital Fund Management S.A.,0.64,Pharming Group N.V.,archive
NL00150003E1,2026-01-22,Citadel Advisors LLC,0.79,Fugro N.V.,archive
NL0009739416,2026-01-22,JPMorgan Asset Management (UK) Ltd.,0.57,PostNL N.V.,archive
NL0010801007,2026-01-22,Millennium International Management LP,0.71,IMCD N.V.,archive
NL0015002MS2,2026-01-22,Qube Research & Technologies Ltd.,0.65,The Magnum Ice Cream Company N.V.,archive
NL0015002IE0,2026-01-22,Voleon Capital Management LP,2.09,Avantium N.V.,archive
NL0000009538,2026-01-21,"AQR Capital Management, LLC",0.48,Koninklijke Philips N.V.,archive
BE0003818359,2026-01-21,"Arrowstreet Capital, Limited Partnership",1.29,Galapagos NV,archive
NL0015002MS2,2026-01-21,Citadel Advisors Europe Limited,0.72,The Magnum Ice Cream Company N.V.,archive
NL0006237562,2026-01-21,Citadel Advisors LLC,0.6,ARCADIS N.V.,archive
NL0000379121,2026-01-21,Marshall Wace LLP,0.69,Randstad N.V.,archive
NL0015002IE0,2026-01-21,Voleon Capital Management LP,2.1,Avantium N.V.,archive
NL0013267909,2026-01-20,"BlackRock Advisors, LLC",0.61,Akzo Nobel N.V.,archive
NL0000379121,2026-01-20,Citadel Advisors LLC,0.48,Randstad N.V.,archive
LU2290522684,2026-01-20,"Connor, Clark & Lunn Investment Management Ltd.",0.71,InPost S.A.,archive
NL0013267909,2026-01-20,Marshall Wace LLP,0.7,Akzo Nobel N.V.,archive
NL0010801007,2026-01-20,Millennium Capital (DIFC) Limited,0.59,IMCD N.V.,archive
NL0010391025,2026-01-20,Millennium International Management LP,0.78,Pharming Group N.V.,archive
NL0015002MS2,2026-01-20,Qube Research & Technologies Ltd.,0.81,The Magnum Ice Cream Company N.V.,archive
NL0012866412,2026-01-19,"D. E. Shaw & Co., L.P.",0.78,BE Semiconductor Industries N.V.,archive
NL0010801007,2026-01-19,Millennium Capital (DIFC) Limited,0.61,IMCD N.V.,archive
NL0010801007,2026-01-19,Millennium International Management LP,0.6,IMCD N.V.,archive
NL0010391025,2026-01-19,Millennium International Management LP,0.82,Pharming Group N.V.,archive
NL0015002IE0,2026-01-19,Voleon Capital Management LP,2.01,Avantium N.V.,archive
NL0009739416,2026-01-19,Winton Capital Management Limited,0.48,PostNL N.V.,archive
NL0010391025,2026-01-16,Capital Fund Management S.A.,0.55,Pharming Group N.V.,archive
NL0015002MS2,2026-01-16,Citadel Advisors Europe Limited,0.61,The Magnum Ice Cream Company N.V.,archive
NL0006237562,2026-01-16,Citadel Advisors LLC,0.58,ARCADIS N.V.,archive
NL0012817175,2026-01-16,GSA Capital Partners LLP,1.09,Alfen N.V.,archive
NL0000379121,2026-01-16,Marshall Wace LLP,0.7,Randstad N.V.,archive
NL0010391025,2026-01-16,Millennium International Management LP,0.79,Pharming Group N.V.,archive
NL0011872650,2026-01-16,Wellington Management International Ltd.,0.78,Basic-Fit N.V.,archive
BE0003818359,2026-01-15,"Arrowstreet Capital, Limited Partnership",1.38,Galapagos NV,archive
NL0012866412,2026-01-15,"D. E. Shaw & Co., L.P.",0.81,BE Semiconductor Industries N.V.,archive
NL0013267909,2026-01-15,Marshall Wace LLP,0.62,Akzo Nobel N.V.,archive
NL0010801007,2026-01-15,Millennium International Management LP,0.5,IMCD N.V.,archive
NL0010391025,2026-01-15,Millennium International Management LP,0.88,Pharming Group N.V.,archive
LU2290522684,2026-01-14,Capital Fund Management S.A.,0.5,InPost S.A.,archive
NL00150003E1,2026-01-14,Citadel Advisors LLC,0.82,Fugro N.V.,archive
NL0012866412,2026-01-14,"D. E. Shaw & Co., L.P.",0.78,BE Semiconductor Industries N.V.,archive
NL0010801007,2026-01-14,Marshall Wace LLP,0.7,IMCD N.V.,archive
LU2290522684,2026-01-14,Marshall Wace LLP,0.87,InPost S.A.,archive
NL0010801007,2026-01-14,Millennium International Management LP,0.46,IMCD N.V.,archive
NL0010391025,2026-01-14,Millennium International Management LP,0.99,Pharming Group N.V.,archive
NL0000352565,2026-01-14,Numeric Investors LLC,0.59,Fugro N.V.,archive
NL00150003E1,2026-01-14,"PDT Partners, LLC",0.8,Fugro N.V.,archive
NL0013267909,2026-01-13,"AQR Capital Management, LLC",0.79,Akzo Nobel N.V.,archive
NL00150003E1,2026-01-13,Citadel Advisors LLC,0.79,Fugro N.V.,archive
NL0000379121,2026-01-13,Citadel Advisors LLC,0.58,Randstad N.V.,archive
NL0013267909,2026-01-13,Marshall Wace LLP,0.57,Akzo Nobel N.V.,archive
LU2290522684,2026-01-13,Marshall Wace LLP,0.9,InPost S.A.,archive
NL0000379121,2026-01-12,Citadel Advisors LLC,0.6,Randstad N.V.,archive
NL0012866412,2026-01-12,"D. E. Shaw & Co., L.P.",0.8,BE Semiconductor Industries N.V.,archive
NL0010801007,2026-01-12,Marshall Wace LLP,0.6,IMCD N.V.,archive
LU2290522684,2026-01-12,Marshall Wace LLP,1.4,InPost S.A.,archive
NL0000379121,2026-01-09,"BlackRock Advisors, LLC",0.5,Randstad N.V.,archive
NL0006237562,2026-01-09,Citadel Advisors LLC,0.6,ARCADIS N.V.,archive
LU2290522684,2026-01-09,Marshall Wace LLP,1.55,InPost S.A.,archive
NL0000379121,2026-01-09,Marshall Wace LLP,0.68,Randstad N.V.,archive
NL0010391025,2026-01-09,Millennium International Management LP,1.18,Pharming Group N.V.,archive
NL0012866412,2026-01-08,Canada Pension Plan Investment Board,1.07,BE Semiconductor Industries N.V.,archive
NL0006237562,2026-01-08,Citadel Advisors LLC,0.59,ARCADIS N.V.,archive
LU2290522684,2026-01-08,"Connor, Clark & Lunn Investment Management Ltd.",0.61,InPost S.A.,archive
NL0012866412,2026-01-08,"D. E. Shaw & Co., L.P.",0.78,BE Semiconductor Industries N.V.,archive
LU2290522684,2026-01-08,Marshall Wace LLP,1.69,InPost S.A.,archive
NL0013267909,2026-01-07,"AQR Capital Management, LLC",0.82,Akzo Nobel N.V.,archive
BE0003818359,2026-01-07,"Arrowstreet Capital, Limited Partnership",1.49,Galapagos NV,archive
NL0006237562,2026-01-07,Citadel Advisors LLC,0.6,ARCADIS N.V.,archive
LU2290522684,2026-01-07,"Connor, Clark & Lunn Investment Management Ltd.",0.59,InPost S.A.,archive
LU2290522684,2026-01-07,Marshall Wace LLP,1.75,InPost S.A.,archive
NL0010801007,2026-01-07,Millennium International Management LP,0.58,IMCD N.V.,archive
NL0010391025,2026-01-07,Millennium International Management LP,1.27,Pharming Group N.V.,archive
NL0013267909,2026-01-06,"AQR Capital Management, LLC",0.77,Akzo Nobel N.V.,archive
NL0000852564,2026-01-06,"BlackRock Advisors, LLC",0.69,Aalberts N.V.,archive
LU2290522684,2026-01-06,Marshall Wace LLP,1.89,InPost S.A.,archive
NL0010801007,2026-01-06,Millennium International Management LP,0.62,IMCD N.V.,archive
NL0010558797,2026-01-05,"D. E. Shaw & Co., L.P.",0.0,OCI N.V.,archive
NL0010801007,2026-01-05,Marshall Wace LLP,0.5,IMCD N.V.,archive
NL0015002MS2,2026-01-05,Qube Research & Technologies Ltd.,0.71,The Magnum Ice Cream Company N.V.,archive
NL0010558797,2026-01-05,"Two Sigma Investments, LP",0.0,OCI N.V.,archive
NL0013267909,2026-01-02,"AQR Capital Management, LLC",0.8,Akzo Nobel N.V.,archive
LU2290522684,2026-01-02,"Arrowstreet Capital, Limited Partnership",0.61,InPost S.A.,archive
NL0015002MS2,2026-01-02,Citadel Advisors Europe Limited,0.49,The Magnum Ice Cream Company N.V.,archive
LU2290522684,2026-01-02,"Connor, Clark & Lunn Investment Management Ltd.",0.6,InPost S.A.,archive
NL0012817175,2026-01-02,Millennium International Management LP,0.48,Alfen N.V.,archive
NL00150003E1,2026-01-02,Millennium International Management LP,0.78,Fugro N.V.,archive
NL0010801007,2026-01-02,Millennium International Management LP,0.5,IMCD N.V.,archive
NL00150003E1,2026-01-02,"PDT Partners, LLC",0.7,Fugro N.V.,archive
NL0010801007,2026-01-02,Perbak Capital Partners LLP,0.5,IMCD N.V.,archive
NL0012817175,2026-01-02,Qube Research & Technologies Ltd.,0.4,Alfen N.V.,archive
LU1598757687,2026-01-02,"Two Sigma Investments, LP",0.59,ArcelorMittal S.A.,archive
NL0010558797,2026-01-02,"Two Sigma Investments, LP",0.7,OCI N.V.,archive
NL0011872650,2026-01-02,Wellington Management International Ltd.,0.89,Basic-Fit N.V.,archive
NL0010558797,2025-12-31,"D. E. Shaw & Co., L.P.",0.59,OCI N.V.,archive
NL0012817175,2025-12-31,GSA Capital Partners LLP,1.1,Alfen N.V.,archive
NL0010391025,2025-12-31,Millennium International Management LP,1.3,Pharming Group N.V.,archive
NL0015002IE0,2025-12-31,Voleon Capital Management LP,1.89,Avantium N.V.,archive
NL00150003E1,2025-12-30,"PDT Partners, LLC",0.69,Fugro N.V.,archive
NL0010558797,2025-12-30,"Two Sigma Advisers, LLC",0.49,OCI N.V.,archive
NL0012866412,2025-12-29,"D. E. Shaw & Co., L.P.",0.8,BE Semiconductor Industries N.V.,archive
NL0009739416,2025-12-29,"PDT Partners, LLC",0.49,PostNL N.V.,archive
NL0015002IE0,2025-12-29,Voleon Capital Management LP,1.94,Avantium N.V.,archive
NL0009739416,2025-12-29,Winton Capital Management Limited,0.59,PostNL N.V.,archive
NL0012866412,2025-12-24,"D. E. Shaw & Co., L.P.",0.79,BE Semiconductor Industries N.V.,archive
NL0010801007,2025-12-23,Marshall Wace LLP,0.48,IMCD N.V.,archive
NL0010391025,2025-12-23,Millennium International Management LP,1.27,Pharming Group N.V.,archive
NL0011821392,2025-12-22,"BlackRock Advisors, LLC",0.48,Signify N.V.,archive
NL0006237562,2025-12-22,Citadel Advisors LLC,0.51,ARCADIS N.V.,archive
NL0010801007,2025-12-22,Perbak Capital Partners LLP,0.48,IMCD N.V.,archive
BE0003818359,2025-12-22,Qube Research & Technologies Ltd.,0.49,Galapagos NV,archive
NL0015002IE0,2025-12-22,Voleon Capital Management LP,2.07,Avantium N.V.,archive
NL0015002MS2,2025-12-19,Citadel Advisors Europe Limited,0.56,The Magnum Ice Cream Company N.V.,archive
NL0000379121,2025-12-19,Citadel Advisors LLC,0.5,Randstad N.V.,archive
NL0006237562,2025-12-19,"D. E. Shaw & Co., L.P.",0.49,ARCADIS N.V.,archive
NL0010558797,2025-12-19,"D. E. Shaw & Co., L.P.",0.69,OCI N.V.,archive
NL00150003E1,2025-12-19,Millennium International Management LP,0.81,Fugro N.V.,archive
NL0012817175,2025-12-19,Qube Research & Technologies Ltd.,0.69,Alfen N.V.,archive
BE0003818359,2025-12-18,Qube Research & Technologies Ltd.,0.5,Galapagos NV,archive
NL0015002IE0,2025-12-18,Voleon Capital Management LP,2.18,Avantium N.V.,archive
NL0013267909,2025-12-17,"BlackRock Advisors, LLC",0.55,Akzo Nobel N.V.,archive
NL00150003E1,2025-12-17,Citadel Advisors LLC,0.8,Fugro N.V.,archive
NL0000817179,2025-12-17,Citadel Advisors LLC,0.49,Sligro Food Group N.V.,archive
NL0010558797,2025-12-17,"D. E. Shaw & Co., L.P.",0.71,OCI N.V.,archive
NL00150003E1,2025-12-17,"PDT Partners, LLC",0.78,Fugro N.V.,archive
NL0000852564,2025-12-16,"BlackRock Advisors, LLC",0.7,Aalberts N.V.,archive
NL0009739416,2025-12-16,Citadel Advisors LLC,0.49,PostNL N.V.,archive
NL0011872650,2025-12-16,Marchant MC Ltd.,0.64,Basic-Fit N.V.,archive
NL0012817175,2025-12-16,Qube Research & Technologies Ltd.,0.78,Alfen N.V.,archive
NL0015002MS2,2025-12-16,Qube Research & Technologies Ltd.,0.67,The Magnum Ice Cream Company N.V.,archive
NL0015002IE0,2025-12-16,Voleon Capital Management LP,2.29,Avantium N.V.,archive
NL0015002MS2,2025-12-15,Citadel Advisors Europe Limited,0.69,The Magnum Ice Cream Company N.V.,archive
NL0010801007,2025-12-15,Marshall Wace LLP,0.56,IMCD N.V.,archive
NL0000379121,2025-12-15,Marshall Wace LLP,0.7,Randstad N.V.,archive
NL0015002MS2,2025-12-15,Qube Research & Technologies Ltd.,0.56,The Magnum Ice Cream Company N.V.,archive
NL0013267909,2025-12-12,"Arrowstreet Capital, Limited Partnership",0.6,Akzo Nobel N.V.,archive
NL0009739416,2025-12-12,"PDT Partners, LLC",0.59,PostNL N.V.,archive
NL0015002MS2,2025-12-12,Qube Research & Technologies Ltd.,0.63,The Magnum Ice Cream Company N.V.,archive
LU2290522684,2025-12-11,"Arrowstreet Capital, Limited Partnership",0.5,InPost S.A.,archive
NL0010801007,2025-12-11,Marshall Wace LLP,0.6,IMCD N.V.,archive
BE0003818359,2025-12-11,Qube Research & Technologies Ltd.,0.49,Galapagos NV,archive
NL0015002MS2,2025-12-11,Qube Research & Technologies Ltd.,0.54,The Magnum Ice Cream Company N.V.,archive
NL0010558797,2025-12-11,"Two Sigma Advisers, LLC",0.52,OCI N.V.,archive
NL0015002MS2,2025-12-10,Citadel Advisors Europe Limited,0.74,The Magnum Ice Cream Company N.V.,archive
NL0000817179,2025-12-10,Citadel Advisors LLC,0.5,Sligro Food Group N.V.,archive
NL0010558797,2025-12-10,"D. E. Shaw & Co., L.P.",0.62,OCI N.V.,archive
LU2290522684,2025-12-10,Marshall Wace LLP,2.0,InPost S.A.,archive
NL00150003E1,2025-12-10,Millennium International Management LP,0.79,Fugro N.V.,archive
NL0015002MS2,2025-12-10,Millennium International Management LP,0.19,The Magnum Ice Cream Company N.V.,archive
NL0015002MS2,2025-12-09,Citadel Advisors Europe Limited,0.54,The Magnum Ice Cream Company N.V.,archive
NL0012866412,2025-12-09,"D. E. Shaw & Co., L.P.",0.88,BE Semiconductor Industries N.V.,archive
NL0010558797,2025-12-09,"D. E. Shaw & Co., L.P.",0.56,OCI N.V.,archive
NL0010391025,2025-12-09,Millennium International Management LP,1.33,Pharming Group N.V.,archive
NL0015002MS2,2025-12-09,Millennium International Management LP,0.65,The Magnum Ice Cream Company N.V.,archive
NL0015002IE0,2025-12-09,Voleon Capital Management LP,2.31,Avantium N.V.,archive
NL0010391025,2025-12-08,Citadel Advisors LLC,0.41,Pharming Group N.V.,archive
NL0012866412,2025-12-08,"D. E. Shaw & Co., L.P.",0.91,BE Semiconductor Industries N.V.,archive
NL0010801007,2025-12-08,Perbak Capital Partners LLP,0.51,IMCD N.V.,archive
NL0013267909,2025-12-05,"AQR Capital Management, LLC",0.7,Akzo Nobel N.V.,archive
NL0009739416,2025-12-05,Citadel Advisors LLC,0.59,PostNL N.V.,archive
NL0000817179,2025-12-05,Citadel Advisors LLC,0.48,Sligro Food Group N.V.,archive
NL0012817175,2025-12-05,"PDT Partners, LLC",0.48,Alfen N.V.,archive
NL0011821392,2025-12-05,"Point72 Asset Management, L.P.",0.5,Signify N.V.,archive
NL0012817175,2025-12-05,Qube Research & Technologies Ltd.,0.83,Alfen N.V.,archive
NL0000360618,2025-12-04,"AQR Capital Management, LLC",0.59,SBM Offshore N.V.,archive
NL0010391025,2025-12-04,Citadel Advisors LLC,0.58,Pharming Group N.V.,archive
NL0000817179,2025-12-04,Citadel Advisors LLC,0.5,Sligro Food Group N.V.,archive
NL0012817175,2025-12-04,GSA Capital Partners LLP,1.09,Alfen N.V.,archive
LU2290522684,2025-12-04,Marshall Wace LLP,1.9,InPost S.A.,archive
NL00150003E1,2025-12-04,Millennium International Management LP,0.8,Fugro N.V.,archive
NL0015002IE0,2025-12-04,Voleon Capital Management LP,2.23,Avantium N.V.,archive
NL0009739416,2025-12-03,JPMorgan Asset Management (UK) Ltd.,0.6,PostNL N.V.,archive
LU2290522684,2025-12-03,Marshall Wace LLP,1.89,InPost S.A.,archive
NL0012817175,2025-12-03,"PDT Partners, LLC",0.58,Alfen N.V.,archive
NL0015002IE0,2025-12-03,Voleon Capital Management LP,2.1,Avantium N.V.,archive
NL0010391025,2025-12-02,"Algert Global, LLC",0.42,Pharming Group N.V.,archive
NL0010391025,2025-12-02,Citadel Advisors LLC,0.67,Pharming Group N.V.,archive
NL00150003E1,2025-12-02,Millennium International Management LP,0.79,Fugro N.V.,archive
NL0010391025,2025-12-02,Millennium International Management LP,1.25,Pharming Group N.V.,archive
NL0012817175,2025-12-02,"PDT Partners, LLC",0.62,Alfen N.V.,archive
NL0012817175,2025-12-02,Qube Research & Technologies Ltd.,0.77,Alfen N.V.,archive
NL0015002IE0,2025-12-02,Voleon Capital Management LP,2.01,Avantium N.V.,archive
NL0010391025,2025-12-01,Millennium International Management LP,1.14,Pharming Group N.V.,archive
CY0200751713,2025-12-01,Millennium International Management LP,0.47,Theon International Plc,archive
NL00150003E1,2025-12-01,"PDT Partners, LLC",0.8,Fugro N.V.,archive
NL0010801007,2025-12-01,Perbak Capital Partners LLP,0.49,IMCD N.V.,archive
NL0011872650,2025-12-01,Wellington Management International Ltd.,0.9,Basic-Fit N.V.,archive
NL0000852564,2025-11-28,"BlackRock Advisors, LLC",0.69,Aalberts N.V.,archive
LU2290522684,2025-11-28,Marshall Wace LLP,1.9,InPost S.A.,archive
CY0200751713,2025-11-28,Millennium International Management LP,0.5,Theon International Plc,archive
NL0010391025,2025-11-27,Citadel Advisors LLC,0.7,Pharming Group N.V.,archive
NL0011821392,2025-11-27,Citadel Advisors LLC,0.49,Signify N.V.,archive
NL0012817175,2025-11-27,GSA Capital Partners LLP,1.1,Alfen N.V.,archive
NL0010391025,2025-11-27,Millennium International Management LP,1.04,Pharming Group N.V.,archive
NL0012817175,2025-11-27,"PDT Partners, LLC",0.77,Alfen N.V.,archive
NL0015002IE0,2025-11-27,Voleon Capital Management LP,1.97,Avantium N.V.,archive
NL0011872650,2025-11-27,Wellington Management International Ltd.,0.88,Basic-Fit N.V.,archive
NL0010391025,2025-11-26,"Algert Global, LLC",0.54,Pharming Group N.V.,archive
NL0011821392,2025-11-26,"BlackRock Advisors, LLC",0.59,Signify N.V.,archive
NL0012866412,2025-11-26,"D. E. Shaw & Co., L.P.",0.81,BE Semiconductor Industries N.V.,archive
NL0010583399,2025-11-26,JPMorgan Asset Management (UK) Ltd.,0.48,Corbion N.V.,archive
NL0010391025,2025-11-26,Millennium International Management LP,0.9,Pharming Group N.V.,archive
NL0012817175,2025-11-26,Qube Research & Technologies Ltd.,0.84,Alfen N.V.,archive
NL0010391025,2025-11-25,"Algert Global, LLC",0.64,Pharming Group N.V.,archive
NL00150003E1,2025-11-25,Citadel Advisors LLC,0.71,Fugro N.V.,archive
NL00150003E1,2025-11-25,Millennium International Management LP,0.85,Fugro N.V.,archive
NL0012817175,2025-11-25,"PDT Partners, LLC",0.87,Alfen N.V.,archive
NL0015002IE0,2025-11-25,Voleon Capital Management LP,2.07,Avantium N.V.,archive
BMG3602E1084,2025-11-25,"WorldQuant, LLC",0.49,Flow Traders Ltd.,archive
NL0010391025,2025-11-24,Citadel Advisors LLC,0.6,Pharming Group N.V.,archive
NL0011821392,2025-11-24,"D. E. Shaw & Co., L.P.",0.48,Signify N.V.,archive
NL0010391025,2025-11-24,Millennium International Management LP,0.82,Pharming Group N.V.,archive
NL0010801007,2025-11-24,Perbak Capital Partners LLP,0.5,IMCD N.V.,archive
NL0012817175,2025-11-24,Qube Research & Technologies Ltd.,1.07,Alfen N.V.,archive
NL0015002IE0,2025-11-24,Voleon Capital Management LP,2.14,Avantium N.V.,archive
BMG3602E1084,2025-11-24,"WorldQuant, LLC",0.5,Flow Traders Ltd.,archive
NL0012817175,2025-11-21,GSA Capital Partners LLP,1.01,Alfen N.V.,archive
NL0012817175,2025-11-21,Millennium International Management LP,0.51,Alfen N.V.,archive
NL00150003E1,2025-11-21,Millennium International Management LP,0.92,Fugro N.V.,archive
NL0012817175,2025-11-21,Qube Research & Technologies Ltd.,1.28,Alfen N.V.,archive
BMG3602E1084,2025-11-21,"WorldQuant, LLC",0.49,Flow Traders Ltd.,archive
NL0013267909,2025-11-20,"AQR Capital Management, LLC",0.6,Akzo Nobel N.V.,archive
NL00150003E1,2025-11-20,Millennium International Management LP,0.89,Fugro N.V.,archive
NL0012817175,2025-11-20,Qube Research & Technologies Ltd.,1.12,Alfen N.V.,archive
NL0010391025,2025-11-19,Citadel Advisors LLC,0.54,Pharming Group N.V.,archive
NL0000379121,2025-11-19,Marshall Wace LLP,0.69,Randstad N.V.,archive
NL0012817175,2025-11-19,Qube Research & Technologies Ltd.,1.24,Alfen N.V.,archive
NL0009739416,2025-11-19,Winton Capital Management Limited,0.6,PostNL N.V.,archive
NL0013267909,2025-11-18,"AQR Capital Management, LLC",0.51,Akzo Nobel N.V.,archive
NL0010801007,2025-11-18,Marshall Wace LLP,0.52,IMCD N.V.,archive
NL0012817175,2025-11-18,Qube Research & Technologies Ltd.,1.13,Alfen N.V.,archive
NL00150003E1,2025-11-18,Wellington Management International Ltd.,0.42,Fugro N.V.,archive
NL0013267909,2025-11-17,"Arrowstreet Capital, Limited Partnership",0.5,Akzo Nobel N.V.,archive
NL0011821392,2025-11-17,Citadel Advisors LLC,0.57,Signify N.V.,archive
