isin,position_date,position_holder,net_short_position,issuer_name,source
NL0010801007,2026-04-14,JPMorgan Asset Management (UK) Ltd.,0.66,IMCD N.V.,current
NL0015002MS2,2026-04-14,Marshall Wace LLP,1.22,The Magnum Ice Cream Company N.V.,current
NL0009739416,2026-04-14,"PDT Partners, LLC",0.5,PostNL N.V.,current
NL0012817175,2026-04-14,"WorldQuant, LLC",2.84,Alfen N.V.,current
NL0012969182,2026-04-13,"AQR Capital Management, LLC",1.21,Adyen N.V.,current
NL0006237562,2026-04-13,"AQR Capital Management, LLC",1.01,ARCADIS N.V.,current
JE00BRX98089,2026-04-13,"AQR Capital Management, LLC",0.71,CVC Capital Partners plc,current
NL0011821392,2026-04-13,Citadel Advisors Europe Limited,1.2,Signify N.V.,current
NL0000817179,2026-04-13,Citadel Advisors LLC,0.61,Sligro Food Group N.V.,current
NL0010801007,2026-04-13,"PDT Partners, LLC",0.89,IMCD N.V.,current
NL0015002MS2,2026-04-13,Walleye Capital LLC,0.5,The Magnum Ice Cream Company N.V.,current
LU1598757687,2026-04-10,"AQR Capital Management, LLC",0.58,ArcelorMittal S.A.,current
NL0012817175,2026-04-10,"D. E. Shaw & Co., L.P.",0.89,Alfen N.V.,current
NL0000395903,2026-04-10,"D. E. Shaw & Co., L.P.",0.8,Wolters Kluwer N.V.,current
NL0000009082,2026-04-10,Marshall Wace LLP,0.58,Koninklijke KPN N.V.,current
NL0015002MS2,2026-04-10,Marshall Wace LLP,1.38,The Magnum Ice Cream Company N.V.,current
NL0010801007,2026-04-10,"PDT Partners, LLC",0.9,IMCD N.V.,current
CY0200751713,2026-04-10,Qube Research & Technologies Ltd.,1.22,Theon International Plc,current
NL0010801007,2026-04-10,Squarepoint Ops LLC,0.59,IMCD N.V.,current
NL0012969182,2026-04-09,"AQR Capital Management, LLC",1.13,Adyen N.V.,current
NL0010801007,2026-04-09,"AQR Capital Management, LLC",0.51,IMCD N.V.,current
NL0011821392,2026-04-09,Citadel Advisors Europe Limited,1.19,Signify N.V.,current
NL0011821392,2026-04-09,Citadel Advisors LLC,2.42,Signify N.V.,current
CH1216478797,2026-04-09,Ilex Capital Partners (UK) LLP,1.0,DSM-Firmenich AG,current
NL0012365084,2026-04-09,Numeric Investors LLC,0.71,NSI N.V.,current
NL0010801007,2026-04-09,"PDT Partners, LLC",0.89,IMCD N.V.,current
NL0011821392,2026-04-09,Qube Research & Technologies Ltd.,0.67,Signify N.V.,current
NL0000852564,2026-04-08,"AQR Capital Management, LLC",0.61,Aalberts N.V.,current
NL0011821392,2026-04-08,"AQR Capital Management, LLC",1.22,Signify N.V.,current
NL0011821392,2026-04-08,Citadel Advisors LLC,2.39,Signify N.V.,current
NL0012817175,2026-04-08,"D. E. Shaw & Co., L.P.",0.95,Alfen N.V.,current
NL0010801007,2026-04-08,"D. E. Shaw & Co., L.P.",0.59,IMCD N.V.,current
NL0011821392,2026-04-08,Millennium Capital (DIFC) Limited,0.79,Signify N.V.,current
NL0015002MS2,2026-04-08,Qube Research & Technologies Ltd.,0.5,The Magnum Ice Cream Company N.V.,current
NL0010801007,2026-04-08,"Two Sigma Investments, LP",0.79,IMCD N.V.,current
NL0010801007,2026-04-07,"BlackRock Advisors, LLC",0.66,IMCD N.V.,current
NL0010801007,2026-04-07,"BlackRock Financial Management, Inc.",1.0,IMCD N.V.,current
NL0010801007,2026-04-07,Capital Fund Management S.A.,0.76,IMCD N.V.,current
NL0011821392,2026-04-07,Citadel Advisors Europe Limited,1.21,Signify N.V.,current
NL0009739416,2026-04-07,Citadel Advisors LLC,0.58,PostNL N.V.,current
NL0011821392,2026-04-07,Citadel Advisors LLC,2.41,Signify N.V.,current
NL0006237562,2026-04-07,"D. E. Shaw & Co., L.P.",0.69,ARCADIS N.V.,current
NL0000009082,2026-04-07,Marshall Wace LLP,0.68,Koninklijke KPN N.V.,current
NL0015002MS2,2026-04-07,Marshall Wace LLP,1.46,The Magnum Ice Cream Company N.V.,current
NL0012817175,2026-04-07,Voleon Capital Management LP,1.98,Alfen N.V.,current
NL0012817175,2026-04-07,"WorldQuant, LLC",2.77,Alfen N.V.,current
NL0012969182,2026-04-02,"AQR Capital Management, LLC",1.0,Adyen N.V.,current
JE00BRX98089,2026-04-02,"AQR Capital Management, LLC",0.61,CVC Capital Partners plc,current
NL0010801007,2026-04-02,"BlackRock Financial Management, Inc.",0.99,IMCD N.V.,current
NL0000817179,2026-04-02,Citadel Advisors LLC,0.5,Sligro Food Group N.V.,current
NL0006237562,2026-04-02,"D. E. Shaw & Co., L.P.",0.7,ARCADIS N.V.,current
NL0011872650,2026-04-02,Eleva Capital SAS,0.62,Basic-Fit N.V.,current
NL0000379121,2026-04-02,Marshall Wace LLP,0.78,Randstad N.V.,current
LU1598757687,2026-04-01,"AQR Capital Management, LLC",0.61,ArcelorMittal S.A.,current
NL0011821392,2026-04-01,"AQR Capital Management, LLC",1.1,Signify N.V.,current
NL0010801007,2026-04-01,"Arrowstreet Capital, Limited Partnership",1.21,IMCD N.V.,current
NL0011821392,2026-04-01,Canada Pension Plan Investment Board,0.74,Signify N.V.,current
NL0011821392,2026-04-01,Citadel Advisors LLC,2.36,Signify N.V.,current
NL0006237562,2026-04-01,"D. E. Shaw & Co., L.P.",0.69,ARCADIS N.V.,current
NL0011872650,2026-04-01,Eleva Capital SAS,0.5,Basic-Fit N.V.,current
NL0011821392,2026-04-01,Marshall Wace LLP,1.79,Signify N.V.,current
NL0012817175,2026-04-01,"WorldQuant, LLC",2.86,Alfen N.V.,current
NL0010801007,2026-03-31,Capital Fund Management S.A.,0.62,IMCD N.V.,current
NL0011821392,2026-03-31,Citadel Advisors LLC,2.4,Signify N.V.,current
NL0012817175,2026-03-31,"D. E. Shaw & Co., L.P.",1.09,Alfen N.V.,current
NL0011821392,2026-03-31,Eleva Capital SAS,1.21,Signify N.V.,current
JE00BRX98089,2026-03-31,Qube Research & Technologies Ltd.,0.9,CVC Capital Partners plc,current
NL0012969182,2026-03-30,"AQR Capital Management, LLC",0.9,Adyen N.V.,current
NL0010801007,2026-03-30,"D. E. Shaw & Co., L.P.",0.6,IMCD N.V.,current
NL0011821392,2026-03-30,Eleva Capital SAS,1.05,Signify N.V.,current
NL0015002MS2,2026-03-30,GLG Partners LP,0.64,The Magnum Ice Cream Company N.V.,current
CH1216478797,2026-03-30,Ilex Capital Partners (UK) LLP,0.91,DSM-Firmenich AG,current
NL0011821392,2026-03-30,Marshall Wace LLP,1.87,Signify N.V.,current
NL0015002MS2,2026-03-30,Marshall Wace LLP,1.59,The Magnum Ice Cream Company N.V.,current
NL0012365084,2026-03-30,Numeric Investors LLC,0.61,NSI N.V.,current
NL0006237562,2026-03-30,Squarepoint Ops LLC,0.99,ARCADIS N.V.,current
CY0200751713,2026-03-30,"Two Sigma Investments, LP",0.7,Theon International Plc,current
NL0006237562,2026-03-27,"AQR Capital Management, LLC",0.9,ARCADIS N.V.,current
NL0010801007,2026-03-27,"Arrowstreet Capital, Limited Partnership",1.12,IMCD N.V.,current
NL0010801007,2026-03-27,"BlackRock Financial Management, Inc.",1.09,IMCD N.V.,current
NL0010801007,2026-03-27,Capital Fund Management S.A.,0.51,IMCD N.V.,current
NL0006237562,2026-03-27,"D. E. Shaw & Co., L.P.",0.7,ARCADIS N.V.,current
NL0010391025,2026-03-27,"D. E. Shaw & Co., L.P.",0.59,Pharming Group N.V.,current
NL0015002MS2,2026-03-27,GLG Partners LP,0.59,The Magnum Ice Cream Company N.V.,current
NL0000379121,2026-03-27,Marshall Wace LLP,0.86,Randstad N.V.,current
NL0011821392,2026-03-27,Qube Research & Technologies Ltd.,0.79,Signify N.V.,current
NL0006237562,2026-03-26,"D. E. Shaw & Co., L.P.",0.69,ARCADIS N.V.,current
NL0015002MS2,2026-03-26,Ilex Capital Partners (UK) LLP,0.64,The Magnum Ice Cream Company N.V.,current
NL0011821392,2026-03-26,Marshall Wace LLP,1.96,Signify N.V.,current
CY0200751713,2026-03-26,Qube Research & Technologies Ltd.,1.14,Theon International Plc,current
LU2290522684,2026-03-26,"Two Sigma Investments, LP",1.5,InPost S.A.,current
NL0010801007,2026-03-26,Voleon Capital Management LP,0.5,IMCD N.V.,current
NL0012817175,2026-03-26,"WorldQuant, LLC",2.92,Alfen N.V.,current
NL0010801007,2026-03-26,"WorldQuant, LLC",0.71,IMCD N.V.,current
NL0012969182,2026-03-25,"AQR Capital Management, LLC",0.8,Adyen N.V.,current
JE00BRX98089,2026-03-25,"AQR Capital Management, LLC",0.5,CVC Capital Partners plc,current
NL0015002MS2,2026-03-25,GLG Partners LP,0.6,The Magnum Ice Cream Company N.V.,current
CH1216478797,2026-03-25,Ilex Capital Partners (UK) LLP,0.82,DSM-Firmenich AG,current
NL0015002MS2,2026-03-25,Ilex Capital Partners (UK) LLP,0.57,The Magnum Ice Cream Company N.V.,current
NL0011821392,2026-03-25,Millennium Capital (DIFC) Limited,0.81,Signify N.V.,current
NL0010801007,2026-03-25,Squarepoint Ops LLC,0.6,IMCD N.V.,current
NL0010801007,2026-03-24,JPMorgan Asset Management (UK) Ltd.,0.56,IMCD N.V.,current
NL0010391025,2026-03-24,Lazard Asset Management LLC,1.14,Pharming Group N.V.,current
NL0000379121,2026-03-24,Marshall Wace LLP,0.91,Randstad N.V.,current
NL0011821392,2026-03-24,Marshall Wace LLP,2.0,Signify N.V.,current
NL0015002MS2,2026-03-24,Marshall Wace LLP,1.6,The Magnum Ice Cream Company N.V.,current
NL0011821392,2026-03-24,Millennium Capital (DIFC) Limited,0.79,Signify N.V.,current
NL0010801007,2026-03-24,"PDT Partners, LLC",0.9,IMCD N.V.,current
JE00BRX98089,2026-03-24,Qube Research & Technologies Ltd.,0.81,CVC Capital Partners plc,current
NL0011821392,2026-03-24,Qube Research & Technologies Ltd.,0.89,Signify N.V.,current
NL0010801007,2026-03-24,Squarepoint Ops LLC,0.59,IMCD N.V.,current
LU2290522684,2026-03-24,"Two Sigma Investments, LP",1.44,InPost S.A.,current
CY0200751713,2026-03-24,"Two Sigma Investments, LP",0.6,Theon International Plc,current
NL0012817175,2026-03-24,Voleon Capital Management LP,2.0,Alfen N.V.,current
NL0015000GX8,2026-03-23,Actus Ray Partners Limited,0.62,Envipco Holding N.V.,current
NL0012969182,2026-03-23,"AQR Capital Management, LLC",0.72,Adyen N.V.,current
NL0010801007,2026-03-23,"Arrowstreet Capital, Limited Partnership",1.01,IMCD N.V.,current
NL0011821392,2026-03-23,"BlackRock Financial Management, Inc.",0.6,Signify N.V.,current
NL0011821392,2026-03-23,Citadel Advisors Europe Limited,1.19,Signify N.V.,current
NL0011821392,2026-03-23,Citadel Advisors LLC,2.3,Signify N.V.,current
NL0012817175,2026-03-23,"D. E. Shaw & Co., L.P.",1.18,Alfen N.V.,current
NL0009739416,2026-03-23,"D. E. Shaw & Co., L.P.",0.69,PostNL N.V.,current
NL0015002MS2,2026-03-23,GLG Partners LP,0.51,The Magnum Ice Cream Company N.V.,current
NL0009739416,2026-03-23,Marshall Wace LLP,0.7,PostNL N.V.,current
CY0200751713,2026-03-23,Qube Research & Technologies Ltd.,1.01,Theon International Plc,current
NL0006237562,2026-03-23,Squarepoint Ops LLC,1.05,ARCADIS N.V.,current
NL0010801007,2026-03-23,Squarepoint Ops LLC,0.6,IMCD N.V.,current
LU2290522684,2026-03-23,"Two Sigma Investments, LP",1.36,InPost S.A.,current
NL0011821392,2026-03-20,"BlackRock Financial Management, Inc.",0.58,Signify N.V.,current
NL0012969182,2026-03-20,Capital Fund Management S.A.,0.7,Adyen N.V.,current
CH1216478797,2026-03-20,Ilex Capital Partners (UK) LLP,0.75,DSM-Firmenich AG,current
