isin,position_date,issuer_name,position_holder,net_short_position,source
NL0010558797,2025-02-03,OCI N.V.,Citadel Advisors LLC,0.79,archive
NL0011821392,2025-02-03,Signify N.V.,Mirabella Financial Services LLP,0.51,archive
NL0000888691,2025-02-03,AMG Critical Materials N.V.,"PDT Partners, LLC",0.79,archive
NL0000852523,2025-02-03,TKH Group N.V.,Qube Research & Technologies Ltd.,0.5,archive
NL0000888691,2025-01-31,AMG Critical Materials N.V.,Acadian Asset Management LLC.,0.92,archive
NL0013267909,2025-01-31,Akzo Nobel N.V.,AKO Capital LLP,1.22,archive
NL0000888691,2025-01-31,AMG Critical Materials N.V.,"AQR Capital Management, LLC",0.59,archive
NL0006237562,2025-01-31,ARCADIS N.V.,Boldhaven Management LLP,0.7,archive
NL0012866412,2025-01-31,BE Semiconductor Industries N.V.,Canada Pension Plan Investment Board,0.89,archive
NL00150003E1,2025-01-31,Fugro N.V.,Marshall Wace LLP,0.5,archive
LU2290522684,2025-01-31,InPost S.A.,Marshall Wace LLP,0.8,archive
NL0012817175,2025-01-31,Alfen N.V.,"PDT Partners, LLC",1.89,archive
NL0000888691,2025-01-30,AMG Critical Materials N.V.,Acadian Asset Management LLC.,0.87,archive
NL0000888691,2025-01-30,AMG Critical Materials N.V.,Citadel Advisors LLC,0.6,archive
NL0000009082,2025-01-30,Koninklijke KPN N.V.,Marshall Wace LLP,0.68,archive
NL0000852523,2025-01-30,TKH Group N.V.,Marshall Wace LLP,0.79,archive
NL0012817175,2025-01-30,Alfen N.V.,Millennium Capital Partners LLP,0.5,archive
NL0011821392,2025-01-30,Signify N.V.,Mirabella Financial Services LLP,0.49,archive
NL0000379121,2025-01-29,Randstad N.V.,AKO Capital LLP,0.8,archive
LU1598757687,2025-01-29,ArcelorMittal S.A.,Citadel Advisors LLC,0.59,archive
NL0010558797,2025-01-29,OCI N.V.,Citadel Advisors LLC,0.89,archive
NL00150002Q7,2025-01-29,Vivoryon Therapeutics N.V.,Citadel Securities (Europe) Limited,0.57,archive
NL0013267909,2025-01-29,Akzo Nobel N.V.,Marshall Wace LLP,0.47,archive
NL0011794037,2025-01-29,Koninklijke Ahold Delhaize N.V.,Marshall Wace LLP,0.48,archive
NL0010558797,2025-01-29,OCI N.V.,Marshall Wace LLP,1.29,archive
LU0569974404,2025-01-29,Aperam S.A.,Millennium Capital Partners LLP,0.9,archive
BE0003818359,2025-01-29,Galapagos NV,"WorldQuant, LLC",0.51,archive
NL0012866412,2025-01-28,BE Semiconductor Industries N.V.,Canada Pension Plan Investment Board,0.9,archive
NL0000888691,2025-01-28,AMG Critical Materials N.V.,Capital Fund Management S.A.,0.48,archive
NL0011872650,2025-01-28,Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,0.9,archive
NL0000888691,2025-01-28,AMG Critical Materials N.V.,Marshall Wace LLP,0.46,archive
NL0000009082,2025-01-28,Koninklijke KPN N.V.,Marshall Wace LLP,0.74,archive
NL0012817175,2025-01-28,Alfen N.V.,Millennium Capital Partners LLP,0.47,archive
LU0569974404,2025-01-28,Aperam S.A.,Millennium International Management LP,0.79,archive
NL0012817175,2025-01-28,Alfen N.V.,"PDT Partners, LLC",1.97,archive
NL0000888691,2025-01-28,AMG Critical Materials N.V.,"PDT Partners, LLC",0.88,archive
NL0000888691,2025-01-27,AMG Critical Materials N.V.,Acadian Asset Management LLC.,0.78,archive
NL0012817175,2025-01-27,Alfen N.V.,"Arrowstreet Capital, Limited Partnership",0.53,archive
NL0012866412,2025-01-27,BE Semiconductor Industries N.V.,Canada Pension Plan Investment Board,0.89,archive
NL0010391025,2025-01-24,Pharming Group N.V.,"Arrowstreet Capital, Limited Partnership",1.09,archive
NL0012866412,2025-01-24,BE Semiconductor Industries N.V.,Canada Pension Plan Investment Board,1.02,archive
NL0000888691,2025-01-24,AMG Critical Materials N.V.,Citadel Advisors LLC,0.58,archive
NL00150002Q7,2025-01-24,Vivoryon Therapeutics N.V.,Citadel Securities (Europe) Limited,0.62,archive
NL0000888691,2025-01-24,AMG Critical Materials N.V.,Teacher Retirement System of Texas,0.49,archive
NL0012866412,2025-01-24,BE Semiconductor Industries N.V.,"WorldQuant, LLC",0.47,archive
NL00150002Q7,2025-01-23,Vivoryon Therapeutics N.V.,Citadel Securities (Europe) Limited,0.71,archive
NL0000888691,2025-01-23,AMG Critical Materials N.V.,"D. E. Shaw & Co., L.P.",0.91,archive
NL0010558797,2025-01-23,OCI N.V.,Marshall Wace LLP,1.39,archive
LU0569974404,2025-01-23,Aperam S.A.,Millennium Capital Partners LLP,0.89,archive
LU0569974404,2025-01-23,Aperam S.A.,Millennium International Management LP,0.88,archive
NL0012817175,2025-01-23,Alfen N.V.,"PDT Partners, LLC",2.2,archive
NL0012817175,2025-01-22,Alfen N.V.,"Arrowstreet Capital, Limited Partnership",0.68,archive
NL0000888691,2025-01-22,AMG Critical Materials N.V.,Capital Fund Management S.A.,0.54,archive
NL0000888691,2025-01-22,AMG Critical Materials N.V.,Citadel Advisors LLC,0.63,archive
NL00150002Q7,2025-01-22,Vivoryon Therapeutics N.V.,Citadel Securities (Europe) Limited,0.67,archive
NL0000888691,2025-01-22,AMG Critical Materials N.V.,"D. E. Shaw & Co., L.P.",0.84,archive
LU0569974404,2025-01-22,Aperam S.A.,Millennium Capital Partners LLP,0.93,archive
NL0000888691,2025-01-22,AMG Critical Materials N.V.,"PDT Partners, LLC",0.95,archive
NL0012047823,2025-01-22,Avantium N.V.,Qube Research & Technologies Ltd.,1.61,archive
NL0010558797,2025-01-21,OCI N.V.,Citadel Advisors LLC,0.99,archive
NL0000888691,2025-01-21,AMG Critical Materials N.V.,Marshall Wace LLP,0.59,archive
LU2290522684,2025-01-21,InPost S.A.,Marshall Wace LLP,0.7,archive
NL0010391025,2025-01-21,Pharming Group N.V.,Millennium International Management LP,3.08,archive
NL0012817175,2025-01-21,Alfen N.V.,Qube Research & Technologies Ltd.,0.01,archive
NL0000888691,2025-01-21,AMG Critical Materials N.V.,Qube Research & Technologies Ltd.,0.03,archive
LU0569974404,2025-01-21,Aperam S.A.,Qube Research & Technologies Ltd.,0.01,archive
NL0011872650,2025-01-21,Basic-Fit N.V.,Qube Research & Technologies Ltd.,0.01,archive
BMG3602E1084,2025-01-21,Flow Traders Ltd.,Qube Research & Technologies Ltd.,0.0,archive
NL0010391025,2025-01-21,Pharming Group N.V.,Qube Research & Technologies Ltd.,0.0,archive
NL0009739416,2025-01-21,PostNL N.V.,Qube Research & Technologies Ltd.,0.05,archive
NL0013332471,2025-01-21,TomTom N.V.,Qube Research & Technologies Ltd.,0.0,archive
NL0012866412,2025-01-21,BE Semiconductor Industries N.V.,"WorldQuant, LLC",0.57,archive
NL0011821392,2025-01-20,Signify N.V.,AKO Capital LLP,0.47,archive
NL0009739416,2025-01-20,PostNL N.V.,"D. E. Shaw & Co., L.P.",0.5,archive
NL0013267909,2025-01-20,Akzo Nobel N.V.,Marshall Wace LLP,0.59,archive
NL0011794037,2025-01-20,Koninklijke Ahold Delhaize N.V.,Marshall Wace LLP,0.5,archive
NL0012817175,2025-01-20,Alfen N.V.,Millennium Capital Partners LLP,0.51,archive
NL0009739416,2025-01-20,PostNL N.V.,"PDT Partners, LLC",0.56,archive
BMG3602E1084,2025-01-20,Flow Traders Ltd.,Qube Research & Technologies Ltd.,0.93,archive
NL0009739416,2025-01-20,PostNL N.V.,Qube Research & Technologies Ltd.,1.8,archive
NL0012817175,2025-01-20,Alfen N.V.,Spark Investment Management LLC,0.85,archive
NL0012866412,2025-01-20,BE Semiconductor Industries N.V.,"WorldQuant, LLC",0.6,archive
NL0012817175,2025-01-17,Alfen N.V.,"D. E. Shaw & Co., L.P.",0.9,archive
NL0000888691,2025-01-17,AMG Critical Materials N.V.,Marshall Wace LLP,0.68,archive
NL0000009082,2025-01-17,Koninklijke KPN N.V.,Marshall Wace LLP,0.88,archive
NL0012817175,2025-01-17,Alfen N.V.,"PDT Partners, LLC",2.1,archive
NL0012817175,2025-01-17,Alfen N.V.,Qube Research & Technologies Ltd.,1.08,archive
NL0000888691,2025-01-17,AMG Critical Materials N.V.,Qube Research & Technologies Ltd.,1.84,archive
NL0012866412,2025-01-17,BE Semiconductor Industries N.V.,"WorldQuant, LLC",0.59,archive
NL0011821392,2025-01-16,Signify N.V.,AKO Capital LLP,0.55,archive
NL0000888691,2025-01-16,AMG Critical Materials N.V.,Capital Fund Management S.A.,0.44,archive
LU1598757687,2025-01-16,ArcelorMittal S.A.,Citadel Advisors LLC,0.68,archive
NL0011794037,2025-01-16,Koninklijke Ahold Delhaize N.V.,Marshall Wace LLP,0.49,archive
LU0569974404,2025-01-16,Aperam S.A.,Millennium Capital Partners LLP,1.08,archive
NL0012817175,2025-01-16,Alfen N.V.,Qube Research & Technologies Ltd.,1.16,archive
BE0003818359,2025-01-16,Galapagos NV,Qube Research & Technologies Ltd.,1.0,archive
NL0012747059,2025-01-16,CM.com N.V.,TFG Asset Management UK LLP,0.93,archive
NL0000888691,2025-01-15,AMG Critical Materials N.V.,Actus Ray Partners Limited,0.85,archive
NL0012817175,2025-01-15,Alfen N.V.,"Arrowstreet Capital, Limited Partnership",0.77,archive
NL0011794037,2025-01-15,Koninklijke Ahold Delhaize N.V.,Ilex Capital Partners (UK) LLP,0.49,archive
NL0013267909,2025-01-15,Akzo Nobel N.V.,Marshall Wace LLP,0.66,archive
NL0000888691,2025-01-15,AMG Critical Materials N.V.,Marshall Wace LLP,0.74,archive
NL0010558797,2025-01-15,OCI N.V.,Marshall Wace LLP,1.49,archive
NL0012817175,2025-01-15,Alfen N.V.,Qube Research & Technologies Ltd.,1.26,archive
NL0000888691,2025-01-15,AMG Critical Materials N.V.,Qube Research & Technologies Ltd.,1.75,archive
BMG3602E1084,2025-01-15,Flow Traders Ltd.,Qube Research & Technologies Ltd.,0.88,archive
NL0010391025,2025-01-15,Pharming Group N.V.,Qube Research & Technologies Ltd.,1.0,archive
NL0013267909,2025-01-14,Akzo Nobel N.V.,AKO Capital LLP,1.11,archive
NL0000888691,2025-01-14,AMG Critical Materials N.V.,Capital Fund Management S.A.,0.59,archive
NL00150002Q7,2025-01-14,Vivoryon Therapeutics N.V.,Citadel Securities (Europe) Limited,0.79,archive
NL0000888691,2025-01-14,AMG Critical Materials N.V.,"D. E. Shaw & Co., L.P.",0.69,archive
NL0000009082,2025-01-14,Koninklijke KPN N.V.,Marshall Wace LLP,0.98,archive
NL0000852523,2025-01-14,TKH Group N.V.,Marshall Wace LLP,0.89,archive
NL0012817175,2025-01-14,Alfen N.V.,Millennium Capital Partners LLP,0.48,archive
NL0011821392,2025-01-14,Signify N.V.,Mirabella Financial Services LLP,0.51,archive
NL0012817175,2025-01-14,Alfen N.V.,Qube Research & Technologies Ltd.,1.42,archive
NL0000888691,2025-01-14,AMG Critical Materials N.V.,Qube Research & Technologies Ltd.,1.87,archive
NL0012817175,2025-01-14,Alfen N.V.,Spark Investment Management LLC,0.75,archive
NL0012866412,2025-01-14,BE Semiconductor Industries N.V.,"WorldQuant, LLC",0.6,archive
NL0000888691,2025-01-13,AMG Critical Materials N.V.,Actus Ray Partners Limited,0.91,archive
NL00150002Q7,2025-01-13,Vivoryon Therapeutics N.V.,Citadel Securities (Europe) Limited,0.6,archive
LU2290522684,2025-01-13,InPost S.A.,Marshall Wace LLP,0.6,archive
NL0012817175,2025-01-13,Alfen N.V.,Qube Research & Technologies Ltd.,1.36,archive
BE0003818359,2025-01-13,Galapagos NV,Qube Research & Technologies Ltd.,0.9,archive
NL0009739416,2025-01-13,PostNL N.V.,Qube Research & Technologies Ltd.,1.61,archive
NL0012866412,2025-01-11,BE Semiconductor Industries N.V.,Canada Pension Plan Investment Board,0.91,archive
NL0011872643,2025-01-10,ASR Nederland N.V.,"AQR Capital Management, LLC",0.8,archive
NL00150002Q7,2025-01-10,Vivoryon Therapeutics N.V.,Citadel Securities (Europe) Limited,0.57,archive
NL0011794037,2025-01-10,Koninklijke Ahold Delhaize N.V.,Ilex Capital Partners (UK) LLP,0.59,archive
NL0000888691,2025-01-10,AMG Critical Materials N.V.,Marshall Wace LLP,0.88,archive
NL0012817175,2025-01-10,Alfen N.V.,Qube Research & Technologies Ltd.,1.24,archive
BE0003818359,2025-01-10,Galapagos NV,Qube Research & Technologies Ltd.,0.86,archive
NL0013267909,2025-01-09,Akzo Nobel N.V.,Marshall Wace LLP,0.78,archive
NL0012817175,2025-01-09,Alfen N.V.,Millennium Capital Partners LLP,0.58,archive
NL0012817175,2025-01-09,Alfen N.V.,Qube Research & Technologies Ltd.,1.14,archive
NL0012817175,2025-01-09,Alfen N.V.,Spark Investment Management LLC,0.61,archive
NL0000379121,2025-01-08,Randstad N.V.,AKO Capital LLP,0.7,archive
LU1598757687,2025-01-08,ArcelorMittal S.A.,Citadel Advisors LLC,0.78,archive
NL0012817175,2025-01-08,Alfen N.V.,"D. E. Shaw & Co., L.P.",0.8,archive
NL0000888691,2025-01-08,AMG Critical Materials N.V.,"D. E. Shaw & Co., L.P.",0.71,archive
NL0011794037,2025-01-08,Koninklijke Ahold Delhaize N.V.,Ilex Capital Partners (UK) LLP,0.6,archive
NL0000888691,2025-01-08,AMG Critical Materials N.V.,Marshall Wace LLP,0.96,archive
LU0569974404,2025-01-08,Aperam S.A.,Millennium International Management LP,0.99,archive
NL0010391025,2025-01-08,Pharming Group N.V.,Millennium International Management LP,3.15,archive
NL0013332471,2025-01-08,TomTom N.V.,Otus Capital Management Ltd.,0.98,archive
NL0012817175,2025-01-08,Alfen N.V.,"PDT Partners, LLC",2.01,archive
NL0012817175,2025-01-08,Alfen N.V.,Qube Research & Technologies Ltd.,1.08,archive
NL0012817175,2025-01-07,Alfen N.V.,"AQR Capital Management, LLC",0.49,archive
NL0012817175,2025-01-07,Alfen N.V.,"Arrowstreet Capital, Limited Partnership",0.88,archive
BE0003818359,2025-01-07,Galapagos NV,"Arrowstreet Capital, Limited Partnership",1.19,archive
NL0012866412,2025-01-07,BE Semiconductor Industries N.V.,Canada Pension Plan Investment Board,0.82,archive
NL0012817175,2025-01-07,Alfen N.V.,Citadel Advisors LLC,0.47,archive
NL0012866412,2025-01-07,BE Semiconductor Industries N.V.,"Connor, Clark & Lunn Investment Management Ltd.",0.47,archive
NL0010391025,2025-01-07,Pharming Group N.V.,Millennium International Management LP,3.22,archive
NL0012817175,2025-01-07,Alfen N.V.,Qube Research & Technologies Ltd.,1.16,archive
NL0013332471,2025-01-07,TomTom N.V.,Qube Research & Technologies Ltd.,0.69,archive
NL0012817175,2025-01-07,Alfen N.V.,Spark Investment Management LLC,0.52,archive
NL0012817175,2025-01-06,Alfen N.V.,"AQR Capital Management, LLC",0.5,archive
NL0012817175,2025-01-06,Alfen N.V.,Citadel Advisors LLC,0.54,archive
LU1598757687,2025-01-06,ArcelorMittal S.A.,Citadel Advisors LLC,0.83,archive
NL0000888691,2025-01-06,AMG Critical Materials N.V.,"D. E. Shaw & Co., L.P.",0.68,archive
NL0010391025,2025-01-06,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",0.5,archive
NL0010558797,2025-01-06,OCI N.V.,Marshall Wace LLP,1.59,archive
NL0010391025,2025-01-06,Pharming Group N.V.,Millennium International Management LP,3.3,archive
NL0012817175,2025-01-06,Alfen N.V.,Qube Research & Technologies Ltd.,1.31,archive
NL0000888691,2025-01-06,AMG Critical Materials N.V.,Qube Research & Technologies Ltd.,1.99,archive
LU0569974404,2025-01-06,Aperam S.A.,Qube Research & Technologies Ltd.,0.62,archive
NL0010391025,2025-01-06,Pharming Group N.V.,Qube Research & Technologies Ltd.,0.96,archive
NL0012817175,2025-01-03,Alfen N.V.,Citadel Advisors LLC,0.6,archive
LU1598757687,2025-01-03,ArcelorMittal S.A.,Citadel Advisors LLC,0.79,archive
NL0010391025,2025-01-03,Pharming Group N.V.,Millennium International Management LP,3.2,archive
NL0012817175,2025-01-03,Alfen N.V.,Qube Research & Technologies Ltd.,1.6,archive
LU0569974404,2025-01-03,Aperam S.A.,Qube Research & Technologies Ltd.,0.59,archive
NL0013332471,2025-01-03,TomTom N.V.,Qube Research & Technologies Ltd.,0.79,archive
NL0012866412,2025-01-03,BE Semiconductor Industries N.V.,"WorldQuant, LLC",0.59,archive
NL0000888691,2025-01-02,AMG Critical Materials N.V.,Capital Fund Management S.A.,0.66,archive
NL0012817175,2025-01-02,Alfen N.V.,Citadel Advisors LLC,0.52,archive
NL00150002Q7,2025-01-02,Vivoryon Therapeutics N.V.,Citadel Securities (Europe) Limited,0.47,archive
NL0000888691,2025-01-02,AMG Critical Materials N.V.,"D. E. Shaw & Co., L.P.",0.76,archive
NL0010558797,2025-01-02,OCI N.V.,"PDT Partners, LLC",0.49,archive
NL0012817175,2025-01-02,Alfen N.V.,Qube Research & Technologies Ltd.,1.98,archive
NL0012047823,2025-01-02,Avantium N.V.,Qube Research & Technologies Ltd.,1.5,archive
NL0010391025,2025-01-02,Pharming Group N.V.,Qube Research & Technologies Ltd.,1.0,archive
NL0013332471,2025-01-02,TomTom N.V.,Qube Research & Technologies Ltd.,0.81,archive
NL0011872650,2024-12-31,Basic-Fit N.V.,"Arrowstreet Capital, Limited Partnership",0.49,archive
NL0010391025,2024-12-31,Pharming Group N.V.,Millennium International Management LP,3.1,archive
NL0010801007,2024-12-30,IMCD N.V.,"AQR Capital Management, LLC",0.5,archive
NL0012817175,2024-12-30,Alfen N.V.,Citadel Advisors LLC,0.45,archive
LU1598757687,2024-12-30,ArcelorMittal S.A.,Citadel Advisors LLC,0.81,archive
NL0010558797,2024-12-30,OCI N.V.,Citadel Advisors LLC,1.09,archive
NL00150002Q7,2024-12-30,Vivoryon Therapeutics N.V.,Citadel Securities (Europe) Limited,0.58,archive
NL0010391025,2024-12-30,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",0.49,archive
LU0569974404,2024-12-30,Aperam S.A.,Qube Research & Technologies Ltd.,0.6,archive
BE0003818359,2024-12-30,Galapagos NV,Qube Research & Technologies Ltd.,0.71,archive
NL0000888691,2024-12-27,AMG Critical Materials N.V.,Actus Ray Partners Limited,0.81,archive
NL0012817175,2024-12-27,Alfen N.V.,Citadel Advisors LLC,0.51,archive
NL00150002Q7,2024-12-27,Vivoryon Therapeutics N.V.,Citadel Securities (Europe) Limited,0.61,archive
NL0012817175,2024-12-27,Alfen N.V.,"D. E. Shaw & Co., L.P.",0.77,archive
NL0000888691,2024-12-27,AMG Critical Materials N.V.,Marshall Wace LLP,1.08,archive
NL0010558797,2024-12-27,OCI N.V.,Marshall Wace LLP,1.65,archive
NL0009739416,2024-12-27,PostNL N.V.,Marshall Wace LLP,0.78,archive
NL0012817175,2024-12-27,Alfen N.V.,Millennium Capital Partners LLP,0.69,archive
NL0010391025,2024-12-27,Pharming Group N.V.,Millennium International Management LP,3.08,archive
NL0012817175,2024-12-27,Alfen N.V.,Qube Research & Technologies Ltd.,2.2,archive
BE0003818359,2024-12-27,Galapagos NV,Qube Research & Technologies Ltd.,0.69,archive
NL0010391025,2024-12-27,Pharming Group N.V.,Qube Research & Technologies Ltd.,0.96,archive
NL0012866412,2024-12-27,BE Semiconductor Industries N.V.,"WorldQuant, LLC",0.68,archive
NL0009739416,2024-12-27,PostNL N.V.,"WorldQuant, LLC",0.59,archive
NL0000888691,2024-12-24,AMG Critical Materials N.V.,"D. E. Shaw & Co., L.P.",0.89,archive
NL0009739416,2024-12-24,PostNL N.V.,GSA Capital Partners LLP,0.6,archive
LU1598757687,2024-12-23,ArcelorMittal S.A.,Citadel Advisors LLC,0.78,archive
NL0013332471,2024-12-23,TomTom N.V.,Citadel Advisors LLC,0.49,archive
NL0000888691,2024-12-23,AMG Critical Materials N.V.,Marshall Wace LLP,1.19,archive
NL0000852523,2024-12-23,TKH Group N.V.,Marshall Wace LLP,0.91,archive
NL0012817175,2024-12-23,Alfen N.V.,Millennium Capital Partners LLP,0.77,archive
NL0012817175,2024-12-23,Alfen N.V.,"PDT Partners, LLC",1.99,archive
NL0000888691,2024-12-23,AMG Critical Materials N.V.,Qube Research & Technologies Ltd.,2.19,archive
LU0569974404,2024-12-23,Aperam S.A.,Qube Research & Technologies Ltd.,0.58,archive
NL0011872650,2024-12-23,Basic-Fit N.V.,Qube Research & Technologies Ltd.,1.0,archive
NL0009739416,2024-12-23,PostNL N.V.,Qube Research & Technologies Ltd.,1.58,archive
NL0000379121,2024-12-20,Randstad N.V.,AKO Capital LLP,0.67,archive
NL0011821392,2024-12-20,Signify N.V.,AKO Capital LLP,0.64,archive
NL0000888691,2024-12-20,AMG Critical Materials N.V.,Capital Fund Management S.A.,0.7,archive
NL0010558797,2024-12-20,OCI N.V.,Citadel Advisors LLC,1.11,archive
NL0012817175,2024-12-20,Alfen N.V.,"D. E. Shaw & Co., L.P.",0.83,archive
NL0000888691,2024-12-20,AMG Critical Materials N.V.,"D. E. Shaw & Co., L.P.",0.92,archive
NL0010558797,2024-12-20,OCI N.V.,Marshall Wace LLP,1.71,archive
NL0000888691,2024-12-20,AMG Critical Materials N.V.,Millennium International Management LP,0.42,archive
NL0012817175,2024-12-20,Alfen N.V.,"PDT Partners, LLC",2.03,archive
NL0012817175,2024-12-20,Alfen N.V.,Qube Research & Technologies Ltd.,2.33,archive
NL0000888691,2024-12-20,AMG Critical Materials N.V.,Qube Research & Technologies Ltd.,2.21,archive
NL0012047823,2024-12-20,Avantium N.V.,Qube Research & Technologies Ltd.,1.41,archive
BMG3602E1084,2024-12-20,Flow Traders Ltd.,Qube Research & Technologies Ltd.,0.99,archive
NL0010391025,2024-12-20,Pharming Group N.V.,Qube Research & Technologies Ltd.,0.8,archive
NL0000888691,2024-12-20,AMG Critical Materials N.V.,SIH Partners LLLP,0.38,archive
NL0000888691,2024-12-20,AMG Critical Materials N.V.,Teacher Retirement System of Texas,0.61,archive
NL0009739416,2024-12-20,PostNL N.V.,"WorldQuant, LLC",0.6,archive
BE0003818359,2024-12-19,Galapagos NV,"Arrowstreet Capital, Limited Partnership",1.2,archive
NL0000888691,2024-12-19,AMG Critical Materials N.V.,"D. E. Shaw & Co., L.P.",0.84,archive
NL0000852523,2024-12-19,TKH Group N.V.,Marshall Wace LLP,0.8,archive
NL0012817175,2024-12-19,Alfen N.V.,Qube Research & Technologies Ltd.,1.94,archive
BE0003818359,2024-12-19,Galapagos NV,Qube Research & Technologies Ltd.,0.71,archive
NL0006237562,2024-12-19,ARCADIS N.V.,SIH Partners LLLP,0.0,archive
NL0009739416,2024-12-19,PostNL N.V.,"WorldQuant, LLC",0.59,archive
NL0000888691,2024-12-18,AMG Critical Materials N.V.,Acadian Asset Management LLC.,0.84,archive
NL0012817175,2024-12-18,Alfen N.V.,Citadel Advisors LLC,0.65,archive
NL0012817175,2024-12-18,Alfen N.V.,"D. E. Shaw & Co., L.P.",0.6,archive
NL0012817175,2024-12-18,Alfen N.V.,Qube Research & Technologies Ltd.,1.86,archive
NL0013332471,2024-12-18,TomTom N.V.,Qube Research & Technologies Ltd.,0.7,archive
NL0006237562,2024-12-18,ARCADIS N.V.,SIH Partners LLLP,0.55,archive
NL0009739416,2024-12-18,PostNL N.V.,"WorldQuant, LLC",0.6,archive
NL0000888691,2024-12-17,AMG Critical Materials N.V.,Actus Ray Partners Limited,0.7,archive
BMG3602E1084,2024-12-17,Flow Traders Ltd.,Canada Pension Plan Investment Board,0.6,archive
LU1598757687,2024-12-17,ArcelorMittal S.A.,Citadel Advisors LLC,0.8,archive
NL0010558797,2024-12-17,OCI N.V.,Citadel Advisors LLC,1.02,archive
NL0010391025,2024-12-17,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",0.51,archive
NL0012817175,2024-12-17,Alfen N.V.,Millennium Capital Partners LLP,0.89,archive
NL0012817175,2024-12-17,Alfen N.V.,"PDT Partners, LLC",1.91,archive
NL0010558797,2024-12-17,OCI N.V.,"PDT Partners, LLC",0.5,archive
NL0012817175,2024-12-17,Alfen N.V.,Qube Research & Technologies Ltd.,1.73,archive
NL0000888691,2024-12-17,AMG Critical Materials N.V.,Qube Research & Technologies Ltd.,2.18,archive
LU0569974404,2024-12-17,Aperam S.A.,Qube Research & Technologies Ltd.,0.62,archive
NL0000888691,2024-12-17,AMG Critical Materials N.V.,SIH Partners LLLP,0.5,archive
NL0000888691,2024-12-16,AMG Critical Materials N.V.,Acadian Asset Management LLC.,0.76,archive
NL0000888691,2024-12-16,AMG Critical Materials N.V.,Capital Fund Management S.A.,0.62,archive
NL0012817175,2024-12-16,Alfen N.V.,Citadel Advisors LLC,0.79,archive
LU1598757687,2024-12-16,ArcelorMittal S.A.,Citadel Advisors LLC,0.75,archive
NL0000888691,2024-12-16,AMG Critical Materials N.V.,"D. E. Shaw & Co., L.P.",0.78,archive
NL0012817175,2024-12-16,Alfen N.V.,Qube Research & Technologies Ltd.,1.6,archive
NL0000888691,2024-12-16,AMG Critical Materials N.V.,Qube Research & Technologies Ltd.,2.2,archive
NL0009739416,2024-12-16,PostNL N.V.,Qube Research & Technologies Ltd.,1.6,archive
LU1598757687,2024-12-13,ArcelorMittal S.A.,Citadel Advisors LLC,0.63,archive
LU2290522684,2024-12-13,InPost S.A.,Marshall Wace LLP,0.5,archive
NL0000009082,2024-12-13,Koninklijke KPN N.V.,Marshall Wace LLP,1.0,archive
LU0569974404,2024-12-13,Aperam S.A.,Millennium International Management LP,1.09,archive
NL0012817175,2024-12-13,Alfen N.V.,Qube Research & Technologies Ltd.,1.51,archive
NL0000888691,2024-12-13,AMG Critical Materials N.V.,Qube Research & Technologies Ltd.,2.11,archive
LU0569974404,2024-12-13,Aperam S.A.,Qube Research & Technologies Ltd.,0.54,archive
NL0012047823,2024-12-13,Avantium N.V.,Qube Research & Technologies Ltd.,1.3,archive
BMG3602E1084,2024-12-13,Flow Traders Ltd.,Qube Research & Technologies Ltd.,1.04,archive
NL0012817175,2024-12-12,Alfen N.V.,Citadel Advisors LLC,0.84,archive
NL0010558797,2024-12-12,OCI N.V.,Citadel Advisors LLC,0.91,archive
NL0000888691,2024-12-12,AMG Critical Materials N.V.,Marshall Wace LLP,1.25,archive
NL0010558797,2024-12-12,OCI N.V.,Marshall Wace LLP,1.68,archive
NL0012817175,2024-12-12,Alfen N.V.,Millennium Capital Partners LLP,0.98,archive
NL0010801007,2024-12-11,IMCD N.V.,"AQR Capital Management, LLC",0.49,archive
NL0010558797,2024-12-11,OCI N.V.,"Arrowstreet Capital, Limited Partnership",0.49,archive
NL0015002AG2,2024-12-11,Ebusco Holding N.V.,Citadel Securities (Europe) Limited,0.48,archive
LU0569974404,2024-12-11,Aperam S.A.,Millennium Capital Partners LLP,1.18,archive
NL0000888691,2024-12-11,AMG Critical Materials N.V.,Millennium International Management LP,0.6,archive
NL0010391025,2024-12-11,Pharming Group N.V.,Millennium International Management LP,3.16,archive
NL0012817175,2024-12-11,Alfen N.V.,"PDT Partners, LLC",1.81,archive
NL0000888691,2024-12-11,AMG Critical Materials N.V.,Qube Research & Technologies Ltd.,2.01,archive
NL0012047823,2024-12-11,Avantium N.V.,Qube Research & Technologies Ltd.,1.23,archive
NL0010391025,2024-12-11,Pharming Group N.V.,Qube Research & Technologies Ltd.,0.75,archive
NL0012747059,2024-12-11,CM.com N.V.,TFG Asset Management UK LLP,0.81,archive
NL0013267909,2024-12-10,Akzo Nobel N.V.,AKO Capital LLP,1.07,archive
NL0012817175,2024-12-10,Alfen N.V.,"Arrowstreet Capital, Limited Partnership",0.99,archive
NL0011872650,2024-12-10,Basic-Fit N.V.,"Arrowstreet Capital, Limited Partnership",0.59,archive
NL0000888691,2024-12-10,AMG Critical Materials N.V.,Capital Fund Management S.A.,0.52,archive
NL0012817175,2024-12-10,Alfen N.V.,Citadel Advisors LLC,0.77,archive
