isin,position_date,issuer_name,position_holder,net_short_position,source
NL0011872650,2026-05-25,Basic-Fit N.V.,Sculptor Capital Management Europe Limited,0.8,current
NL00150003E1,2026-05-22,Fugro N.V.,"Algert Global, LLC",0.53,current
NL0011821392,2026-05-22,Signify N.V.,Citadel Advisors Europe Limited,0.98,current
CH1216478797,2026-05-22,DSM-Firmenich AG,Citadel Advisors LLC,0.86,current
NL0010801007,2026-05-22,IMCD N.V.,Citadel Advisors LLC,0.81,current
NL0011821392,2026-05-22,Signify N.V.,Citadel Advisors LLC,1.6,current
NL0010391025,2026-05-22,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",0.61,current
CH1216478797,2026-05-22,DSM-Firmenich AG,Marshall Wace LLP,0.78,current
NL0010801007,2026-05-22,IMCD N.V.,"PDT Partners, LLC",0.79,current
NL0000379121,2026-05-22,Randstad N.V.,"Point72 Europe (London), LLP",0.63,current
NL0012817175,2026-05-22,Alfen N.V.,Squarepoint Ops LLC,0.62,current
NL0010391025,2026-05-22,Pharming Group N.V.,Walleye Capital LLC,0.8,current
NL0013332471,2026-05-22,TomTom N.V.,Winton Capital Management Limited,0.59,current
NL0011821392,2026-05-21,Signify N.V.,Canada Pension Plan Investment Board,1.0,current
CH1216478797,2026-05-21,DSM-Firmenich AG,Citadel Advisors LLC,0.74,current
NL0010391025,2026-05-21,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",0.59,current
NL0009739416,2026-05-21,PostNL N.V.,"D. E. Shaw & Co., L.P.",0.59,current
CH1216478797,2026-05-21,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,1.71,current
CH1216478797,2026-05-21,DSM-Firmenich AG,Marshall Wace LLP,0.6,current
NL0011821392,2026-05-21,Signify N.V.,Marshall Wace LLP,1.58,current
NL00150003E1,2026-05-21,Fugro N.V.,"Point72 Asset Management, L.P.",0.51,current
NL0010391025,2026-05-21,Pharming Group N.V.,"Two Sigma Investments, LP",0.99,current
LU2290522684,2026-05-20,InPost S.A.,"Two Sigma Investments, LP",1.29,current
NL0010391025,2026-05-20,Pharming Group N.V.,"Two Sigma Investments, LP",1.0,current
NL0010391025,2026-05-19,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",0.6,current
NL0011872650,2026-05-19,Basic-Fit N.V.,Linden Advisors LP,0.9,current
NL0011821392,2026-05-19,Signify N.V.,"PDT Partners, LLC",1.0,current
NL0010801007,2026-05-19,IMCD N.V.,"Two Sigma Investments, LP",0.68,current
NL0006237562,2026-05-18,ARCADIS N.V.,"AQR Capital Management, LLC",0.99,current
CH1216478797,2026-05-18,DSM-Firmenich AG,Citadel Advisors LLC,0.62,current
NL0011821392,2026-05-18,Signify N.V.,Citadel Advisors LLC,1.59,current
NL0015002MS2,2026-05-18,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,0.73,current
NL0010801007,2026-05-15,IMCD N.V.,"BlackRock Financial Management, Inc.",0.79,current
NL0000289213,2026-05-15,Wereldhave N.V.,Citadel Advisors LLC,0.82,current
NL0000395903,2026-05-15,Wolters Kluwer N.V.,"D. E. Shaw & Co., L.P.",0.68,current
NL0015002MS2,2026-05-15,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,0.68,current
NL0000379121,2026-05-15,Randstad N.V.,"Point72 Europe (London), LLP",0.51,current
NL0015002MS2,2026-05-15,The Magnum Ice Cream Company N.V.,Qube Research & Technologies Ltd.,0.71,current
NL0012817175,2026-05-15,Alfen N.V.,Squarepoint Ops LLC,0.55,current
BMG3602E1084,2026-05-14,Flow Traders Ltd.,Capital Fund Management S.A.,0.51,current
NL0010801007,2026-05-14,IMCD N.V.,Capital Fund Management S.A.,0.78,current
NL0011872650,2026-05-14,Basic-Fit N.V.,"D. E. Shaw & Co., L.P.",0.89,current
NL0010801007,2026-05-14,IMCD N.V.,"PDT Partners, LLC",0.8,current
NL0011872650,2026-05-14,Basic-Fit N.V.,Sculptor Capital Management Europe Limited,0.77,current
