isin,position_holder,position_date,net_short_position,issuer_name,source
NL0011821392,Citadel Advisors LLC,2026-06-19,1.3,Signify N.V.,current
NL0011872650,"D. E. Shaw & Co., L.P.",2026-06-19,0.79,Basic-Fit N.V.,current
CH1216478797,Marshall Wace LLP,2026-06-19,0.91,DSM-Firmenich AG,current
NL00150003E1,"Point72 Asset Management, L.P.",2026-06-19,0.56,Fugro N.V.,current
NL0015002MS2,Qube Research & Technologies Ltd.,2026-06-19,0.79,The Magnum Ice Cream Company N.V.,current
NL0010391025,Spark Investment Management LLC,2026-06-19,0.52,Pharming Group N.V.,current
NL0012817175,"WorldQuant, LLC",2026-06-19,0.68,Alfen N.V.,current
NL0012969182,Capital Fund Management S.A.,2026-06-18,0.71,Adyen N.V.,current
NL0000852523,Capital Fund Management S.A.,2026-06-18,0.59,TKH Group N.V.,current
NL0011821392,Citadel Advisors Europe Limited,2026-06-18,0.88,Signify N.V.,current
NL0011821392,"Farallon Capital Management, L.L.C.",2026-06-18,0.85,Signify N.V.,current
NL0009739416,Marshall Wace LLP,2026-06-18,0.8,PostNL N.V.,current
NL0012817175,Millennium International Management LP,2026-06-18,0.62,Alfen N.V.,current
NL0010801007,"PDT Partners, LLC",2026-06-18,0.79,IMCD N.V.,current
NL0011872650,SQUARE CIRCLE IA LP,2026-06-18,0.54,Basic-Fit N.V.,current
NL0012817175,"WorldQuant, LLC",2026-06-18,0.71,Alfen N.V.,current
NL0012969182,"AQR Capital Management, LLC",2026-06-17,0.89,Adyen N.V.,current
NL0010801007,"Arrowstreet Capital, Limited Partnership",2026-06-17,1.29,IMCD N.V.,current
NL0011821392,"BlackRock Financial Management, Inc.",2026-06-17,0.79,Signify N.V.,current
NL0015002MS2,Capital Fund Management S.A.,2026-06-17,0.51,The Magnum Ice Cream Company N.V.,current
NL0011821392,Citadel Advisors LLC,2026-06-17,1.46,Signify N.V.,current
NL0000817179,Citadel Advisors LLC,2026-06-17,0.89,Sligro Food Group N.V.,current
NL0011821392,"Farallon Capital Management, L.L.C.",2026-06-17,0.75,Signify N.V.,current
CH1216478797,Ilex Capital Partners (UK) LLP,2026-06-17,1.91,DSM-Firmenich AG,current
NL0011821392,Marshall Wace LLP,2026-06-17,1.51,Signify N.V.,current
NL0015002MS2,Qube Research & Technologies Ltd.,2026-06-17,0.88,The Magnum Ice Cream Company N.V.,current
NL0012969182,Capital Fund Management S.A.,2026-06-16,0.62,Adyen N.V.,current
NL0013267909,Davidson Kempner Capital Management LP,2026-06-16,1.3,Akzo Nobel N.V.,current
NL0011821392,"Farallon Capital Management, L.L.C.",2026-06-16,0.61,Signify N.V.,current
NL0009739416,Winton Capital Management Limited,2026-06-16,0.51,PostNL N.V.,current
NL0012817175,"WorldQuant, LLC",2026-06-16,0.63,Alfen N.V.,current
NL0000817179,"WorldQuant, LLC",2026-06-16,0.51,Sligro Food Group N.V.,current
NL0011821392,Citadel Advisors Europe Limited,2026-06-15,0.99,Signify N.V.,current
NL0010391025,"D. E. Shaw & Co., L.P.",2026-06-15,0.57,Pharming Group N.V.,current
NL0011821392,"Farallon Capital Management, L.L.C.",2026-06-15,0.56,Signify N.V.,current
NL0015002MS2,Marshall Wace LLP,2026-06-15,0.9,The Magnum Ice Cream Company N.V.,current
NL0013267909,Millennium International Management LP,2026-06-15,0.5,Akzo Nobel N.V.,current
NL0013267909,"O'Connor Alternative Investments, LLC",2026-06-15,1.09,Akzo Nobel N.V.,current
NL0015002MS2,Qube Research & Technologies Ltd.,2026-06-15,0.9,The Magnum Ice Cream Company N.V.,current
NL0013267909,"BlackRock Advisors, LLC",2026-06-12,0.7,Akzo Nobel N.V.,current
NL0000852523,Capital Fund Management S.A.,2026-06-12,0.61,TKH Group N.V.,current
NL0011821392,Citadel Advisors LLC,2026-06-12,1.56,Signify N.V.,current
JE00BRX98089,Marshall Wace LLP,2026-06-12,0.59,CVC Capital Partners plc,current
CH1216478797,Marshall Wace LLP,2026-06-12,0.88,DSM-Firmenich AG,current
NL0011821392,Marshall Wace LLP,2026-06-12,1.48,Signify N.V.,current
NL0000852523,Capital Fund Management S.A.,2026-06-11,0.59,TKH Group N.V.,current
NL0011872650,Linden Advisors LP,2026-06-11,0.75,Basic-Fit N.V.,current
NL0015002MS2,Marshall Wace LLP,2026-06-11,0.89,The Magnum Ice Cream Company N.V.,current
NL0015073TS8,Qube Research & Technologies Ltd.,2026-06-11,0.5,CSG N.V.,current
NL0015002MS2,Qube Research & Technologies Ltd.,2026-06-11,0.89,The Magnum Ice Cream Company N.V.,current
NL0012817175,"WorldQuant, LLC",2026-06-11,0.56,Alfen N.V.,current
NL0012969182,"AQR Capital Management, LLC",2026-06-10,0.99,Adyen N.V.,current
NL0006237562,"AQR Capital Management, LLC",2026-06-10,0.89,ARCADIS N.V.,current
NL0000852523,Capital Fund Management S.A.,2026-06-10,0.6,TKH Group N.V.,current
NL0011821392,Citadel Advisors LLC,2026-06-10,1.6,Signify N.V.,current
NL0011872650,Sculptor Capital Management Europe Limited,2026-06-10,0.83,Basic-Fit N.V.,current
NL0010391025,Walleye Capital LLC,2026-06-10,1.1,Pharming Group N.V.,current
NL0010801007,Capital Fund Management S.A.,2026-06-09,0.9,IMCD N.V.,current
NL0011821392,Citadel Advisors LLC,2026-06-09,1.59,Signify N.V.,current
NL0000289213,Citadel Advisors LLC,2026-06-09,1.0,Wereldhave N.V.,current
NL0013267909,LMR Partners LLP,2026-06-09,1.12,Akzo Nobel N.V.,current
NL0015002MS2,Marshall Wace LLP,2026-06-09,0.9,The Magnum Ice Cream Company N.V.,current
NL0012817175,Millennium International Management LP,2026-06-09,0.5,Alfen N.V.,current
CY0200751713,"Two Sigma Investments, LP",2026-06-09,0.77,Theon International Plc,current
CH1216478797,Citadel Advisors LLC,2026-06-08,1.01,DSM-Firmenich AG,current
NL0013267909,LMR Partners LLP,2026-06-08,1.08,Akzo Nobel N.V.,current
NL0012969182,Marshall Wace LLP,2026-06-08,0.5,Adyen N.V.,current
NL0011821392,"PDT Partners, LLC",2026-06-08,1.2,Signify N.V.,current
LU2290522684,"Two Sigma Investments, LP",2026-06-08,1.09,InPost S.A.,current
NL0013267909,AKO Capital LLP,2026-06-05,0.51,Akzo Nobel N.V.,current
NL0011821392,"BlackRock Institutional Trust Company, National Association",2026-06-05,0.51,Signify N.V.,current
NL0010391025,"D. E. Shaw & Co., L.P.",2026-06-05,0.63,Pharming Group N.V.,current
NL0013267909,Davidson Kempner Capital Management LP,2026-06-05,1.24,Akzo Nobel N.V.,current
NL0011821392,Marshall Wace LLP,2026-06-05,1.59,Signify N.V.,current
NL0015002MS2,Qube Research & Technologies Ltd.,2026-06-05,0.92,The Magnum Ice Cream Company N.V.,current
NL0012969182,"AQR Capital Management, LLC",2026-06-04,1.07,Adyen N.V.,current
